qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,English Horn,A Clarinet 1,A Clarinet 2,A Bass Clarinet,Bassoon 1,Bassoon 2,Bass Sarrusophone,F Horn 1,F Horn 2,F Horn 3,F Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Cymbal,Tambourine,Triangle,Celesta,Harp,Violin,Violin 1,Violin 1 div(2),Violin 1 div(3),Violin 2,Violins,Viola,Violoncello,Contrabass,Piano
234.5,240.5,,,,,Main Part,,,,P8(Contrabass),,,,,U(F Horn 4),,U(F Horn 2),,,,,,,,,,,,,,,,,,U(Piano),,P8(A Bass Clarinet),U(Viola)
240.5,246.0,,,Main Part,,,,,,P8(Contrabass),,,,U(F Horn 3)&P8(Violin 2),,U(F Horn 1)&P8(Violin 2),,U(Piano),P5(Trombone 1)&P7(Trombone 2)&P4(Trombone 3)&P5(Tuba),P5(C Trumpet 2)&P3(Trombone 2)&P2(Trombone 3),P7(C Trumpet 2)&P3(Trombone 1)&P4(Trombone 3)&P3(Tuba),P4(C Trumpet 2)&P2(Trombone 1)&P4(Trombone 2)&P2(Tuba),P5(C Trumpet 2)&P3(Trombone 2)&P2(Trombone 3),,,,,,,,,,P8(F Horn 1)&P8(F Horn 3),,,,P8(A Bass Clarinet),U(C Trumpet 1)
246.0,258.0,,U(Flute 2),U(Flute 1),Main Part,,,,,,,,,,,,,,,,,,,,,,,,U(Violin 1)&P8(Violin 1 div(2)),U(Violin)&P8(Violin 1 div(2)),P8(Violin)&P8(Violin 1),,,,,,,
258.0,273.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P8(Violin 1 div(2)),P8(Violin 1),,Main Part,,,,,
273.5,284.0,,U(Flute 2),U(Flute 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,
284.0,285.0,,,,Main Part,U(Main)&P5(F Horn 3)&P2(F Horn 4)&P5(Viola)&U(Piano),,,,,,,,,,P5(Main)&P5(Oboe 2)&P4(F Horn 4)&P5(Piano),P2(Main)&P2(Oboe 2)&P4(F Horn 3)&P4(Viola)&P2(Piano),P4(Tambourine),,,,,,,P4(C Trumpet 1),,,,,,,,,,P5(Main)&P5(Oboe 2)&P4(F Horn 4)&P5(Piano),,,U(Main)&U(Oboe 2)&P5(F Horn 3)&P2(F Horn 4)&P5(Viola)
285.0,288.0,,P3(Flute 2),P3(Flute 1),U(Oboe 2),U(Oboe 1),,,,,,,,,,P4(F Horn 4),P4(F Horn 3),Main Part,,,,,,,P4(Main),,,,,,,,,,,,,
288.0,294.0,,Main Part,,U(Oboe 2),U(Oboe 1),,U(C Trumpet 1)&U(Violin 1)&P5(Violoncello),,,,,,,,,,U(A Clarinet 1)&U(Violin 1)&P5(Violoncello),,,,,,,,,,,,U(A Clarinet 1)&U(C Trumpet 1)&P5(Violoncello),,,,,,P5(A Clarinet 1)&P5(C Trumpet 1)&P5(Violin 1),,U(Main)
294.0,303.0,,U(Piano),,Main Part,U(Main),,P3(A Clarinet 2)&P4(Bassoon 1),P3(A Clarinet 1)&P2(Bassoon 1),,P4(A Clarinet 1)&P2(A Clarinet 2),,,,,,,,,,,,,,,,,,,,,,,,,,,U(Flute 1)
303.0,312.0,,,,P3(Oboe 2),P3(Oboe 1),,,,,Main Part,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.0,315.0,,Main Part,U(Main),U(Piano),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U(Oboe 1)
315.0,318.0,,U(Flute 2),U(Flute 1),U(Piano),,,U(A Clarinet 2),U(A Clarinet 1),,,,,,,,,Main Part,,,,,,,,,,,,,,,,,,,,U(Oboe 1)
318.0,321.0,,,,U(Piano),,,Main Part,U(Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,U(Oboe 1)
321.0,324.0,,P3(Flute 2)&P2(Cymbal)&U(Violin 1)&P3(Violin 1 div(2))&U(Violin 2),P3(Flute 1)&P2(Cymbal)&P3(Violin 1)&U(Violin 1 div(2))&P3(Violin 2),,,,,,,,,,Main Part,,,,,,,,,,P2(Flute 1)&P2(Flute 2)&P2(Violin 1)&P2(Violin 1 div(2))&P2(Violin 2),,,,,,U(Flute 1)&P3(Flute 2)&P2(Cymbal)&P3(Violin 1 div(2))&U(Violin 2),P3(Flute 1)&U(Flute 2)&P2(Cymbal)&P3(Violin 1)&P3(Violin 2),,U(Flute 1)&P3(Flute 2)&P2(Cymbal)&U(Violin 1)&P3(Violin 1 div(2)),,,,,
324.0,327.0,,Main Part,,P3(Oboe 2),P3(Oboe 1),,,,,,,,,,,,,,,,,,P2(Piano),,,,,U(Violin 2),,,,U(Violin),,,,,P2(Cymbal)
327.0,330.0,,P3(Flute 2),P3(Flute 1),Main Part,,,,,,,,,,,,,,,,,,,P2(Piano),,,,,U(Violin 2),,,,U(Violin),,,,,P2(Cymbal)
330.0,333.0,,Main Part,,,,,P3(A Clarinet 2),P3(A Clarinet 1),,,,,,,,,,,,,,,,,,,,U(Violin 2),,,,U(Violin),,,,,
333.0,336.0,,P3(Flute 2),P3(Flute 1),,,,Main Part,,,,,,,,,,,,,,,,,,,,,U(Violin 2),,,,U(Violin),,,,,
336.0,339.0,,Main Part,,,,,,,,,,,,,,,P3(Harp)&P3(Violin 1 div(3))&P5(Viola),,,,,,,,,,P3(C Trumpet 1)&U(Violin 1 div(3))&P3(Viola),P8(Violin 1),P8(Violin),,P3(C Trumpet 1)&U(Harp)&P3(Viola),,,P5(C Trumpet 1)&P3(Harp)&P3(Violin 1 div(3)),,,
339.0,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,P8(Violin 1)&P8(Violin 1 div(2))&P8(Violin 1 div(3))&P3(Viola)&U(Piano),Main Part,P8(Harp)&P8(Violin 1 div(2))&P8(Violin 1 div(3))&P3(Viola)&P8(Piano),P8(Harp)&P8(Violin 1)&P8(Violin 1 div(3))&P3(Viola)&P8(Piano),P8(Harp)&P8(Violin 1)&P8(Violin 1 div(2))&P3(Viola)&P8(Piano),,,P3(Harp)&P3(Violin 1)&P3(Violin 1 div(2))&P3(Violin 1 div(3))&P3(Piano),,,U(Harp)&P8(Violin 1)&P8(Violin 1 div(2))&P8(Violin 1 div(3))&P3(Viola)
351.0,363.0,,,,,,,,,,,,,P3(Violoncello),,,,,P8(Violin 2),,,,,,,,,P8(Violin 1)&P8(Violin 1 div(2))&P8(Violin 1 div(3))&P3(Viola)&U(Piano),Main Part,P8(Harp)&P8(Violin 1 div(2))&P8(Violin 1 div(3))&P3(Viola)&P8(Piano),P8(Harp)&P8(Violin 1)&P8(Violin 1 div(3))&P3(Viola)&P8(Piano),P8(Harp)&P8(Violin 1)&P8(Violin 1 div(2))&P3(Viola)&P8(Piano),P8(C Trumpet 2),,P3(Harp)&P3(Violin 1)&P3(Violin 1 div(2))&P3(Violin 1 div(3))&P3(Piano),P3(F Horn 1),,U(Harp)&P8(Violin 1)&P8(Violin 1 div(2))&P8(Violin 1 div(3))&P3(Viola)
363.0,375.0,,,,,,,,,,,,,,P4(F Horn 4),,P4(F Horn 2),,,,,,,,,,,P8(Violin 1)&P8(Violin 1 div(2))&P8(Violin 1 div(3))&U(Piano),Main Part,P8(Harp)&P8(Violin 1 div(2))&P8(Violin 1 div(3))&P8(Piano),P8(Harp)&P8(Violin 1)&P8(Violin 1 div(3))&P8(Piano),P8(Harp)&P8(Violin 1)&P8(Violin 1 div(2))&P8(Piano),,,,,,U(Harp)&P8(Violin 1)&P8(Violin 1 div(2))&P8(Violin 1 div(3))
375.0,383.0,,,,,,,,,,,,,P5(F Horn 3)&P2(C Trumpet 1)&P3(Harp)&P3(Violin 1)&P3(Violin 1 div(2))&P3(Violin 1 div(3)),P4(F Horn 4),P5(F Horn 1)&P4(C Trumpet 1)&P3(Harp)&P3(Violin 1)&P3(Violin 1 div(2))&P3(Violin 1 div(3)),P4(F Horn 2),P2(F Horn 1)&P4(F Horn 3)&P2(Harp)&P2(Violin 1)&P2(Violin 1 div(2))&P2(Violin 1 div(3)),,,,,,,,,,P3(F Horn 1)&P3(F Horn 3)&P2(C Trumpet 1)&P8(Violin 1)&P8(Violin 1 div(2))&P8(Violin 1 div(3)),,P3(F Horn 1)&P3(F Horn 3)&P2(C Trumpet 1)&P8(Harp)&P8(Violin 1 div(2))&P8(Violin 1 div(3)),P3(F Horn 1)&P3(F Horn 3)&P2(C Trumpet 1)&P8(Harp)&P8(Violin 1)&P8(Violin 1 div(3)),P3(F Horn 1)&P3(F Horn 3)&P2(C Trumpet 1)&P8(Harp)&P8(Violin 1)&P8(Violin 1 div(2)),,,Main Part,,,
383.0,387.0,U(Flute 1)&U(Flute 2)&U(Celesta)&U(Violin)&P5(Violin 2)&P5(Violoncello),U(Piccolo)&U(Flute 2)&U(Celesta)&U(Violin)&P5(Violin 2)&P5(Violoncello),U(Piccolo)&U(Flute 1)&U(Celesta)&U(Violin)&P5(Violin 2)&P5(Violoncello),,,,,,,,,,,,,,,,,,,,,,,U(Piccolo)&U(Flute 1)&U(Flute 2)&U(Violin)&P5(Violin 2)&P5(Violoncello),,U(Piccolo)&U(Flute 1)&U(Flute 2)&U(Celesta)&P5(Violin 2)&P5(Violoncello),P8(Violin 1 div(2))&P8(Violin 1 div(3)),P8(Violin 1)&P8(Violin 1 div(3)),P8(Violin 1)&P8(Violin 1 div(2)),P5(Piccolo)&P5(Flute 1)&P5(Flute 2)&P5(Celesta)&P5(Violin)&P8(Violoncello),,Main Part,P5(Piccolo)&P5(Flute 1)&P5(Flute 2)&P5(Celesta)&P5(Violin)&P8(Violin 2),,
387.0,399.0,U(Celesta),Main Part,U(Main),,,,,,,,,,U(F Horn 3)&P5(Violin 1 div(2))&P5(Violin 1 div(3)),,U(F Horn 1)&P5(Violin 1 div(2))&P5(Violin 1 div(3)),,,,,,,,,,,U(Piccolo),,,,P5(F Horn 1)&P5(F Horn 3)&P8(Violin 1 div(3)),P5(F Horn 1)&P5(F Horn 3)&P8(Violin 1 div(2)),P8(Violoncello),,,P8(Violin 2),,
399.0,412.3333,,Main Part,U(Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,P8(Violoncello)&U(Piano),,,P8(Violin 2)&P8(Piano),,U(Violin 2)&P8(Violoncello)
412.3333,425.5,,Main Part,U(Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,P8(Violoncello)&U(Piano),,,P8(Violin 2)&P8(Piano),,U(Violin 2)&P8(Violoncello)
425.5,433.0,,,,Main Part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433.0,456.0,,Main Part,,,,,,,P4(Bassoon 1)&P2(Violin 1),P4(A Bass Clarinet)&P3(Violin 1),,,,,,,,,,,,,,,,,,,P2(A Bass Clarinet)&P3(Bassoon 1),,,,,,,,
456.0,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Part,,,,,U(Piano),,,U(Viola)
468.0,483.0,,,,P3(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2),P3(Oboe 1)&P3(A Clarinet 1)&P5(A Clarinet 2),P3(Bassoon 2),P5(Oboe 1)&P3(Oboe 2)&P7(A Clarinet 2),P3(Oboe 1)&P5(Oboe 2)&P7(A Clarinet 1),,,P3(English Horn),,,,,,,,,,,,,,,,,,Main Part,,,,,,,,
483.0,492.0,,,,P3(Oboe 2)&P5(A Clarinet 1),P3(Oboe 1)&P3(A Clarinet 1),,P5(Oboe 1)&P3(Oboe 2),,P3(Bassoon 1),P3(A Bass Clarinet)&P3(Bassoon 2),P3(Bassoon 1),,P4(Triangle),,,,,,,,,,,,P4(F Horn 1),,,,Main Part,,,,,,,,
492.0,504.0,,,,,,,,,,U(Bassoon 2),U(Bassoon 1),,Main Part,P4(Cymbal),,,,,,,,,P4(F Horn 2),,,,,,,,,,,,,,
504.0,510.0,,,,U(Violin 2)&U(Piano),P3(A Clarinet 1),Main Part,P3(Oboe 2),,,,,,,P3(F Horn 3),P3(F Horn 2),,,,,,,,,,,,,,,,,U(Oboe 1)&U(Piano),,,,,U(Oboe 1)&U(Violin 2)
510.0,516.0,,Main Part,U(Oboe 2)&P8(F Horn 3),U(Main)&U(Violin 2)&U(Piano),U(Flute 2)&P8(F Horn 3),U(A Clarinet 2),P8(F Horn 2),U(English Horn),,,,,,P8(A Clarinet 1),P8(Flute 2)&P8(Oboe 2),,,P5(Trombone 1)&P3(Trombone 2),P5(C Trumpet 2)&P3(Trombone 2),P3(C Trumpet 2)&P3(Trombone 1),,,,,,,,P8(Viola),P8(Violoncello),,,U(Main)&U(Oboe 1)&U(Piano),,P8(Violin),P8(Violin 1),,U(Main)&U(Oboe 1)&U(Violin 2)
516.0,519.0,,P5(Flute 2)&U(Oboe 1)&P5(Oboe 2)&P2(English Horn)&P2(A Clarinet 2),P5(Flute 1)&P5(Oboe 1)&U(Oboe 2)&P4(English Horn)&P4(A Clarinet 2),U(Flute 1)&P5(Flute 2)&P5(Oboe 2)&P2(English Horn)&P2(A Clarinet 2),P5(Flute 1)&U(Flute 2)&P5(Oboe 1)&P4(English Horn)&P4(A Clarinet 2),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&U(A Clarinet 2),,P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&U(English Horn),P8(Bassoon 1)&P8(Bassoon 2),P8(A Bass Clarinet)&P8(Bassoon 2),P8(A Bass Clarinet)&P8(Bassoon 1),,P3(F Horn 2)&P5(F Horn 3)&P5(Trombone 1)&P3(Trombone 2)&P4(Cymbal)&P8(Violin 2)&P3(Viola)&P5(Contrabass)&P8(Piano),P3(F Horn 1)&P3(F Horn 3)&P3(Trombone 1)&U(Trombone 2)&P2(Cymbal)&P3(Violin 2)&P8(Viola)&P3(Contrabass)&P3(Piano),P5(F Horn 1)&P3(F Horn 2)&U(Trombone 1)&P3(Trombone 2)&P2(Cymbal)&P5(Violin 2)&P3(Viola)&P8(Contrabass)&P5(Piano),,,,P5(F Horn 1)&P3(F Horn 2)&U(F Horn 3)&P3(Trombone 2)&P2(Cymbal)&P5(Violin 2)&P3(Viola)&P8(Contrabass)&P5(Piano),P3(F Horn 1)&U(F Horn 2)&P3(F Horn 3)&P3(Trombone 1)&P2(Cymbal)&P3(Violin 2)&P8(Viola)&P3(Contrabass)&P3(Piano),,,P4(F Horn 1)&P2(F Horn 2)&P2(F Horn 3)&P2(Trombone 1)&P2(Trombone 2)&P4(Violin 2)&P2(Viola)&P2(Contrabass)&P4(Piano),,,,,U(Main),Main Part,,,P8(F Horn 1)&P3(F Horn 2)&P5(F Horn 3)&P5(Trombone 1)&P3(Trombone 2)&P4(Cymbal)&P3(Viola)&P5(Contrabass)&U(Piano),,P3(F Horn 1)&P8(F Horn 2)&P3(F Horn 3)&P3(Trombone 1)&P8(Trombone 2)&P2(Cymbal)&P3(Violin 2)&P3(Contrabass)&P3(Piano),,P5(F Horn 1)&P3(F Horn 2)&P8(F Horn 3)&P8(Trombone 1)&P3(Trombone 2)&P2(Cymbal)&P5(Violin 2)&P3(Viola)&P5(Piano),P8(F Horn 1)&P3(F Horn 2)&P5(F Horn 3)&P5(Trombone 1)&P3(Trombone 2)&P4(Cymbal)&U(Violin 2)&P3(Viola)&P5(Contrabass)
519.0,522.0,,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(English Horn)&P8(A Clarinet 2)&P8(Tuba),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(English Horn)&P8(A Clarinet 2)&P8(Tuba),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(English Horn)&P8(A Clarinet 2)&P8(Tuba),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(English Horn)&P8(A Clarinet 2)&P8(Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(A Clarinet 2)&P8(Tuba),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(English Horn)&P8(Tuba),P8(Main)&P8(Bassoon 1)&P8(Bassoon 2),U(Main)&P8(A Bass Clarinet)&P8(Bassoon 2),P8(Main)&P8(A Bass Clarinet)&P8(Bassoon 1),,P3(F Horn 2)&P5(F Horn 3)&P2(F Horn 4)&P5(Trombone 1)&P3(Trombone 2)&P4(Cymbal)&P8(Violin 2)&P3(Viola)&P8(Piano),P3(F Horn 1)&P3(F Horn 3)&P2(F Horn 4)&P3(Trombone 1)&U(Trombone 2)&P2(Cymbal)&P3(Violin 2)&P8(Viola)&P3(Piano),P5(F Horn 1)&P3(F Horn 2)&P4(F Horn 4)&U(Trombone 1)&P3(Trombone 2)&P2(Cymbal)&P5(Violin 2)&P3(Viola)&P5(Piano),P2(F Horn 1)&P2(F Horn 2)&P4(F Horn 3)&P4(Trombone 1)&P2(Trombone 2)&P3(Cymbal)&P2(Violin 2)&P2(Viola)&P2(Piano),P3(C Trumpet 2),P3(C Trumpet 1),P5(F Horn 1)&P3(F Horn 2)&U(F Horn 3)&P4(F Horn 4)&P3(Trombone 2)&P2(Cymbal)&P5(Violin 2)&P3(Viola)&P5(Piano),P3(F Horn 1)&U(F Horn 2)&P3(F Horn 3)&P2(F Horn 4)&P3(Trombone 1)&P2(Cymbal)&P3(Violin 2)&P8(Viola)&P3(Piano),,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(English Horn)&P8(A Clarinet 2),P4(F Horn 1)&P2(F Horn 2)&P2(F Horn 3)&P3(F Horn 4)&P2(Trombone 1)&P2(Trombone 2)&P4(Violin 2)&P2(Viola)&P4(Piano),,,,,,,,,P8(F Horn 1)&P3(F Horn 2)&P5(F Horn 3)&P2(F Horn 4)&P5(Trombone 1)&P3(Trombone 2)&P4(Cymbal)&P3(Viola)&U(Piano),,P3(F Horn 1)&P8(F Horn 2)&P3(F Horn 3)&P2(F Horn 4)&P3(Trombone 1)&P8(Trombone 2)&P2(Cymbal)&P3(Violin 2)&P3(Piano),,,P8(F Horn 1)&P3(F Horn 2)&P5(F Horn 3)&P2(F Horn 4)&P5(Trombone 1)&P3(Trombone 2)&P4(Cymbal)&U(Violin 2)&P3(Viola)
