qstamp,tstamp,measure,beat,Violin,Soprano 1 solo,Soprano 2 solo,Continuo
28.5,21.375,8,1.5,D5,r,r,C#3
28.75,21.5625,8,1.75,E5,r,r,C#3
29.0,21.75,8,2.0,F#4,r,r,D3
29.25,21.9375,8,2.25,A4,r,r,D3
29.5,22.125,8,2.5,G4,r,r,B2
29.75,22.3125,8,2.75,F#4,r,r,B2
30.0,22.5,8,3.0,E4,r,r,C#3
30.25,22.6875,8,3.25,A4,r,r,C#3
30.5,22.875,8,3.5,B4,r,r,A2
30.75,23.0625,8,3.75,C#5,r,r,A2
31.0,23.25,8,4.0,D4,r,r,B2
31.25,23.4375,8,4.25,F#4,r,r,B2
31.5,23.625,8,4.5,E4,r,r,G3
31.75,23.8125,8,4.75,D4,r,r,G3
32.0,24.0,9,1.0,C#4,r,r,A2
32.25,24.1875,9,1.25,A3,r,r,A2
32.5,24.375,9,1.5,B3,r,r,G3
32.75,24.5625,9,1.75,C#4,r,r,G3
33.0,24.75,9,2.0,D4,r,r,F#3
33.25,24.9375,9,2.25,E4,r,r,F#3
33.5,25.125,9,2.5,F#4,r,r,D3
33.75,25.3125,9,2.75,E4,r,r,D3
34.0,25.5,9,3.0,G4,r,r,B2
34.25,25.6875,9,3.25,F#4,r,r,B2
34.5,25.875,9,3.5,B4,r,r,G2
34.75,26.0625,9,3.75,A4,r,r,G2
35.0,26.25,9,4.0,G4,r,r,A2
35.25,26.4375,9,4.25,F#4,r,r,A2
35.5,26.625,9,4.5,E4,r,r,A2
35.75,26.8125,9,4.75,D4,r,r,A2
36.0,27.0,10,1.0,D4,A4,F#4,D2
36.5,27.375,10,1.5,D4,A4,F#4,D3
37.0,27.75,10,2.0,r,A4,F#4,A2
37.5,28.125,10,2.5,r,A4,F#4,B2
38.0,28.5,10,3.0,r,A4,F#4,C3
38.5,28.875,10,3.5,r,A4,F#4,A2
39.0,29.25,10,4.0,r,C5,A4,F#2
39.25,29.4375,10,4.25,r,B4,G4,F#2
39.5,29.625,10,4.5,r,C5,A4,D2
40.0,30.0,11,1.0,D4,C5,A4,r
40.5,30.375,11,1.5,D4,B4,G4,G3
41.0,30.75,11,2.0,r,r,r,C#3
41.5,31.125,11,2.5,r,B4,G4,E3
42.0,31.5,11,3.0,r,E4,C#4,G3
42.5,31.875,11,3.5,r,G4,E4,E3
42.75,32.0625,11,3.75,r,F#4,D4,E3
43.0,32.25,11,4.0,r,G4,E4,C#3
43.5,32.625,11,4.5,r,B4,G4,A2
43.6667,32.75,11,4.6667,r,A4,F#4,A2
43.8333,32.875,11,4.8333,r,A4,F#4,A2
44.0,33.0,12,1.0,r,G4,E4,D3
44.5,33.375,12,1.5,D4,F#4,D4,D3
45.0,33.75,12,2.0,A3,F#4,D4,D3
45.5,34.125,12,2.5,B3,G4,E4,D3
46.0,34.5,12,3.0,C4,A4,F#4,D3
46.25,34.6875,12,3.25,C4,B4,G4,D3
46.5,34.875,12,3.5,A4,C5,A4,F#3
46.75,35.0625,12,3.75,G4,C5,A4,F#3
47.0,35.25,12,4.0,F#4,C5,A4,A3
47.25,35.4375,12,4.25,E4,C5,A4,A3
47.5,35.625,12,4.5,D4,B4,G4,D4
47.75,35.8125,12,4.75,C4,A4,F#4,D4
48.0,36.0,13,1.0,B3,B4,G4,D3
48.25,36.1875,13,1.25,D4,B4,F#4,D3
48.5,36.375,13,1.5,G4,C#5,E4,D3
48.75,36.5625,13,1.75,E4,D5,F#4,D3
49.0,36.75,13,2.0,D4,E5,G4,D3
49.25,36.9375,13,2.25,C#4,E5,A4,D3
49.5,37.125,13,2.5,G4,E5,B-4,D3
50.0,37.5,13,3.0,G4,E5,B-4,D3
50.25,37.6875,13,3.25,F#4,E5,B-4,D3
50.5,37.875,13,3.5,G4,C#5,A4,F#3
50.75,38.0625,13,3.75,A4,C#5,A4,F#3
51.0,38.25,13,4.0,A3,D5,F#4,A3
51.25,38.4375,13,4.25,B4,D5,F#4,A3
51.5,38.625,13,4.5,A4,r,r,C#4
51.75,38.8125,13,4.75,G4,r,r,C#4
52.0,39.0,14,1.0,F#4,r,r,D3
52.25,39.1875,14,1.25,G4,r,r,D3
52.5,39.375,14,1.5,F#4,r,r,F#3
52.75,39.5625,14,1.75,E4,r,r,F#3
53.0,39.75,14,2.0,D4,F#5,r,B2
53.25,39.9375,14,2.25,C#4,F#5,r,B2
53.5,40.125,14,2.5,B3,F#5,r,D3
53.75,40.3125,14,2.75,A3,F#5,r,D3
54.0,40.5,14,3.0,B3,F#5,r,G#2
54.5,40.875,14,3.5,r,E5,r,D3
54.75,41.0625,14,3.75,r,D5,r,D3
55.0,41.25,14,4.0,r,E5,B4,G#2
55.25,41.4375,14,4.25,r,D5,B4,G#2
55.5,41.625,14,4.5,r,C#5,B4,B2
55.75,41.8125,14,4.75,r,B4,B4,B2
56.0,42.0,15,1.0,r,E5,B4,C#3
56.5,42.375,15,1.5,r,E5,A4,E3
56.75,42.5625,15,1.75,r,E5,G#4,E3
57.0,42.75,15,2.0,r,E5,A4,A2
57.25,42.9375,15,2.25,r,E5,G#4,A2
57.5,43.125,15,2.5,r,E5,F#4,C#3
57.75,43.3125,15,2.75,r,E5,E4,C#3
58.0,43.5,15,3.0,r,E5,A4,F#2
58.5,43.875,15,3.5,F#5,A4,A4,C#3
58.75,44.0625,15,3.75,E5,A4,A4,C#3
59.0,44.25,15,4.0,D5,B4,A4,F#2
59.25,44.4375,15,4.25,C#5,B4,A4,F#2
59.5,44.625,15,4.5,B4,C#5,A4,A2
59.75,44.8125,15,4.75,A4,C#5,A4,A2
60.0,45.0,16,1.0,B4,D5,A4,B2
60.25,45.1875,16,1.25,C#5,D5,A4,B2
60.5,45.375,16,1.5,D5,D5,G#4,B3
60.75,45.5625,16,1.75,C#5,D5,G#4,B3
61.0,45.75,16,2.0,B4,D5,A4,C#4
61.25,45.9375,16,2.25,A4,D5,A4,C#4
61.5,46.125,16,2.5,G#4,D5,B4,D4
61.75,46.3125,16,2.75,F#4,D5,B4,D4
62.0,46.5,16,3.0,B4,D5,E4,G#3
62.25,46.6875,16,3.25,D4,D5,E4,G#3
62.5,46.875,16,3.5,E4,B4,E4,B3
62.75,47.0625,16,3.75,F#4,B4,E4,B3
63.0,47.25,16,4.0,B3,G#4,E4,E3
63.25,47.4375,16,4.25,D4,G#4,E4,E3
63.5,47.625,16,4.5,C#4,D5,E4,G#3
63.75,47.8125,16,4.75,B3,D5,E4,G#3
64.0,48.0,17,1.0,A3,C#5,E4,A2
64.25,48.1875,17,1.25,A3,B4,E4,A2
64.5,48.375,17,1.5,A3,A4,A4,A2
64.75,48.5625,17,1.75,A3,G#4,A4,A2
65.0,48.75,17,2.0,A3,A4,C#5,A2
65.25,48.9375,17,2.25,A3,B4,C#5,A2
65.5,49.125,17,2.5,A3,C5,E4,G2
66.0,49.5,17,3.0,A3,C5,D4,F2
66.5,49.875,17,3.5,A3,B4,E4,A3
66.75,50.0625,17,3.75,A3,C5,E4,G3
67.0,50.25,17,4.0,A3,D5,F4,F3
67.25,50.4375,17,4.25,A3,D5,F4,E3
67.5,50.625,17,4.5,D4,B4,F4,D3
67.75,50.8125,17,4.75,D4,B4,F4,C3
68.0,51.0,18,1.0,D4,A4,F4,B2
68.25,51.1875,18,1.25,B3,A4,F4,B2
68.5,51.375,18,1.5,C4,G#4,E4,E3
68.75,51.5625,18,1.75,D4,G#4,E4,F3
69.0,51.75,18,2.0,G#3,G#4,E4,E3
69.25,51.9375,18,2.25,B3,G#4,E4,D3
69.5,52.125,18,2.5,A3,r,r,C#3
69.75,52.3125,18,2.75,G#3,r,r,B2
70.0,52.5,18,3.0,A3,C#5,E4,A2
70.5,52.875,18,3.5,A3,C#5,E4,A3
71.0,53.25,18,4.0,r,C#5,E4,E3
71.5,53.625,18,4.5,r,C#5,E4,F#3
72.0,54.0,19,1.0,r,C#5,E4,G3
72.5,54.375,19,1.5,r,C#5,E4,E3
73.0,54.75,19,2.0,r,E5,G4,C#3
73.25,54.9375,19,2.25,r,D5,F#4,C#3
73.5,55.125,19,2.5,r,E5,G4,A2
74.0,55.5,19,3.0,A3,E5,G4,r
74.5,55.875,19,3.5,A3,D5,F#4,D3
75.0,56.25,19,4.0,r,r,r,G#2
75.5,56.625,19,4.5,r,D5,F#4,B2
76.0,57.0,20,1.0,r,G#4,B3,D3
76.5,57.375,20,1.5,r,B4,D4,B2
76.75,57.5625,20,1.75,r,A4,C#4,B2
77.0,57.75,20,2.0,r,B4,D4,G#2
77.5,58.125,20,2.5,r,D5,F#4,E2
77.6667,58.25,20,2.6667,r,C#5,E4,E2
77.8333,58.375,20,2.8333,r,C#5,E4,E2
78.0,58.5,20,3.0,r,B4,D4,A2
78.5,58.875,20,3.5,A4,A4,C#4,A2
79.0,59.25,20,4.0,E4,A4,C#4,A2
79.5,59.625,20,4.5,F#4,B4,D4,A2
80.0,60.0,21,1.0,G4,C#5,E4,A2
80.25,60.1875,21,1.25,G4,D5,F#4,A2
80.5,60.375,21,1.5,E5,E5,G4,C#3
80.75,60.5625,21,1.75,D5,E5,G4,C#3
81.0,60.75,21,2.0,C#5,E5,G4,E3
81.25,60.9375,21,2.25,B4,E5,G4,E3
81.5,61.125,21,2.5,A4,D5,F#4,A3
81.75,61.3125,21,2.75,G4,C#5,E4,A3
82.0,61.5,21,3.0,F#4,D5,F#4,A2
82.25,61.6875,21,3.25,A4,C#5,F#4,A2
82.5,61.875,21,3.5,D5,B4,G#4,A2
82.75,62.0625,21,3.75,B4,C#5,A4,A2
83.0,62.25,21,4.0,A4,D5,B4,A2
83.25,62.4375,21,4.25,G#4,E5,B4,A2
83.5,62.625,21,4.5,D5,F5,B4,A2
84.0,63.0,22,1.0,D5,F5,B4,A2
84.25,63.1875,22,1.25,C#5,F5,B4,A2
84.5,63.375,22,1.5,D5,E5,G#4,C#3
84.75,63.5625,22,1.75,E5,E5,G#4,C#3
85.0,63.75,22,2.0,E4,C#5,A4,E3
85.25,63.9375,22,2.25,F#5,C#5,A4,E3
85.5,64.125,22,2.5,E5,r,r,G#3
85.75,64.3125,22,2.75,D5,r,r,G#3
86.0,64.5,22,3.0,C#5,r,r,A2
86.25,64.6875,22,3.25,D5,r,r,A2
86.5,64.875,22,3.5,C#5,r,r,C#4
86.75,65.0625,22,3.75,B4,r,r,C#4
87.0,65.25,22,4.0,A4,r,C#5,F#3
87.25,65.4375,22,4.25,G#4,r,C#5,F#3
87.5,65.625,22,4.5,F#4,r,C#5,A3
87.75,65.8125,22,4.75,E4,r,C#5,A3
88.0,66.0,23,1.0,F#4,r,C#5,E-3
88.5,66.375,23,1.5,r,r,B4,A3
88.75,66.5625,23,1.75,r,r,A4,A3
89.0,66.75,23,2.0,r,F#5,B4,E-3
89.25,66.9375,23,2.25,r,F#5,A4,E-3
89.5,67.125,23,2.5,r,F#5,G#4,F#3
89.75,67.3125,23,2.75,r,F#5,F#4,F#3
90.0,67.5,23,3.0,r,F#5,B4,G#2
90.5,67.875,23,3.5,r,E5,B4,B3
90.75,68.0625,23,3.75,r,E-5,B4,B3
91.0,68.25,23,4.0,r,E5,B4,E3
91.25,68.4375,23,4.25,r,E-5,B4,E3
91.5,68.625,23,4.5,r,C#5,B4,G#3
91.75,68.8125,23,4.75,r,B4,B4,G#3
92.0,69.0,24,1.0,r,E5,B4,C#3
92.5,69.375,24,1.5,C#5,E5,E4,G#3
92.75,69.5625,24,1.75,B4,E5,E4,G#3
93.0,69.75,24,2.0,A4,E5,F#4,C#3
93.25,69.9375,24,2.25,G#4,E5,F#4,C#3
93.5,70.125,24,2.5,F#4,E5,G#4,E3
93.75,70.3125,24,2.75,E4,E5,G#4,E3
94.0,70.5,24,3.0,F#4,E5,A4,F#2
94.25,70.6875,24,3.25,G#4,E5,A4,F#2
94.5,70.875,24,3.5,A4,E-5,A4,F#3
94.75,71.0625,24,3.75,G#4,E-5,A4,F#3
95.0,71.25,24,4.0,F#4,E5,A4,G#3
95.25,71.4375,24,4.25,E4,E5,A4,G#3
95.5,71.625,24,4.5,E-4,F#5,A4,A3
95.75,71.8125,24,4.75,C#4,F#5,A4,A3
96.0,72.0,25,1.0,F#4,B4,A4,E-3
96.25,72.1875,25,1.25,A4,B4,A4,E-3
96.5,72.375,25,1.5,B4,B4,F#4,F#3
96.75,72.5625,25,1.75,C#5,B4,F#4,F#3
97.0,72.75,25,2.0,F#4,B4,E-4,B2
97.25,72.9375,25,2.25,A4,B4,E-4,B2
97.5,73.125,25,2.5,G#4,B4,A4,E-3
97.75,73.3125,25,2.75,F#4,B4,A4,E-3
98.0,73.5,25,3.0,E4,B4,G#4,E3
98.25,73.6875,25,3.25,E4,B4,F#4,E3
98.5,73.875,25,3.5,E4,G#4,E4,E3
98.75,74.0625,25,3.75,E4,G#4,E-4,E3
99.0,74.25,25,4.0,E4,E4,E4,E3
99.25,74.4375,25,4.25,E4,E4,F#4,E3
99.5,74.625,25,4.5,E4,B4,G4,D4
100.0,75.0,26,1.0,E4,A4,G4,C4
100.25,75.1875,26,1.25,E4,A4,G4,B3
100.5,75.375,26,1.5,E4,B4,F#4,A3
100.75,75.5625,26,1.75,E4,B4,G4,G3
101.0,75.75,26,2.0,E4,C5,A4,F#3
101.25,75.9375,26,2.25,E4,C5,A4,E3
101.5,76.125,26,2.5,A4,C5,F#4,E-3
101.75,76.3125,26,2.75,A4,C5,F#4,F#3
102.0,76.5,26,3.0,A4,C5,E4,B2
102.5,76.875,26,3.5,B4,B4,E-4,B2
103.0,77.25,26,4.0,F#4,B4,E-4,r
103.5,77.625,26,4.5,G#4,r,r,r
104.0,78.0,27,1.0,A4,r,r,r
104.5,78.375,27,1.5,F#5,r,r,B2
104.75,78.5625,27,1.75,E5,r,r,B2
105.0,78.75,27,2.0,E-5,r,r,C#3
105.25,78.9375,27,2.25,C#5,r,r,C#3
105.5,79.125,27,2.5,B4,r,r,E-3
105.75,79.3125,27,2.75,A4,r,r,E-3
106.0,79.5,27,3.0,G#4,D5,B4,E2
106.25,79.6875,27,3.25,A4,D5,B4,E2
106.5,79.875,27,3.5,B4,D5,B4,G#2
106.75,80.0625,27,3.75,D5,D5,B4,G#2
107.0,80.25,27,4.0,E4,D5,B4,B2
107.25,80.4375,27,4.25,C#5,D5,B4,B2
107.5,80.625,27,4.5,B4,D5,B4,E3
107.75,80.8125,27,4.75,A4,D5,B4,E3
108.0,81.0,28,1.0,G#4,D5,B4,E3
108.25,81.1875,28,1.25,A4,D5,B4,E3
108.5,81.375,28,1.5,B4,D5,B4,G#2
108.75,81.5625,28,1.75,D5,D5,B4,F#2
109.0,81.75,28,2.0,E4,C#5,A4,E2
109.25,81.9375,28,2.25,F#4,D5,B4,E2
109.5,82.125,28,2.5,E4,B4,G#4,E3
109.75,82.3125,28,2.75,D4,B4,G#4,E3
110.0,82.5,28,3.0,C#4,C#5,A4,A2
110.25,82.6875,28,3.25,D4,C#5,A4,A2
110.5,82.875,28,3.5,E4,B4,G4,C#3
110.75,83.0625,28,3.75,G4,A4,F#4,C#3
111.0,83.25,28,4.0,A3,E5,G4,E3
111.25,83.4375,28,4.25,F#4,E5,G4,E3
111.5,83.625,28,4.5,E4,E5,G4,A3
111.75,83.8125,28,4.75,D4,E5,G4,A3
112.0,84.0,29,1.0,C#4,E5,G4,A3
112.25,84.1875,29,1.25,D4,E5,G4,A3
112.5,84.375,29,1.5,E4,E5,G4,C#3
112.75,84.5625,29,1.75,G4,E5,G4,B2
113.0,84.75,29,2.0,A3,D5,F#4,A2
113.25,84.9375,29,2.25,B4,E5,G4,A2
113.5,85.125,29,2.5,A4,C#5,E4,A3
113.75,85.3125,29,2.75,G4,C#5,E4,A3
114.0,85.5,29,3.0,F#4,D5,F#4,D3
114.25,85.6875,29,3.25,B4,D5,F#4,D3
114.5,85.875,29,3.5,C#5,D5,G#4,B2
114.75,86.0625,29,3.75,D5,D5,A4,B2
115.0,86.25,29,4.0,E4,D5,B4,G#2
115.25,86.4375,29,4.25,G4,B4,B4,G#2
115.5,86.625,29,4.5,F#4,C#5,A4,A2
115.75,86.8125,29,4.75,E4,C#5,G4,A2
116.0,87.0,30,1.0,D4,C#5,F#4,A2
116.25,87.1875,30,1.25,G#4,D5,F#4,A2
116.5,87.375,30,1.5,A4,B4,F#4,G#2
116.75,87.5625,30,1.75,B4,B4,E4,G#2
116.875,87.6562,30,1.875,B4,B4,D4,G#2
117.0,87.75,30,2.0,C#4,B4,C#4,A2
117.25,87.9375,30,2.25,E4,G#4,C#4,A2
117.5,88.125,30,2.5,D4,A4,C#4,C#3
117.75,88.3125,30,2.75,C#4,A4,D4,C#3
117.875,88.4062,30,2.875,C#4,A4,E4,C#3
118.0,88.5,30,3.0,B3,A4,F#4,E-2
118.25,88.6875,30,3.25,E4,A4,G#4,E-2
118.5,88.875,30,3.5,F#4,E-5,A4,F#3
118.75,89.0625,30,3.75,G#4,E5,A4,F#3
119.0,89.25,30,4.0,A3,F#5,E-4,B2
119.25,89.4375,30,4.25,C#4,F#5,E-4,B2
119.5,89.625,30,4.5,B3,E5,A4,B3
119.75,89.8125,30,4.75,A3,E-5,A4,B3
120.0,90.0,31,1.0,G#3,E5,G#4,E2
120.25,90.1875,31,1.25,E4,E5,G#4,E2
120.5,90.375,31,1.5,F#4,D5,A4,E3
120.75,90.5625,31,1.75,G#4,D5,B4,E3
121.0,90.75,31,2.0,A4,C#5,A4,F#3
121.25,90.9375,31,2.25,B4,C#5,A4,F#3
121.5,91.125,31,2.5,C#5,F#5,A4,E3
121.75,91.3125,31,2.75,B4,F#5,A4,E3
122.0,91.5,31,3.0,D5,B4,A4,D3
122.25,91.6875,31,3.25,C#5,B4,A4,D3
122.5,91.875,31,3.5,F#5,B4,A4,C#3
122.75,92.0625,31,3.75,E5,B4,A4,C#3
123.0,92.25,31,4.0,D5,B4,A4,B2
123.25,92.4375,31,4.25,C#5,B4,A4,B2
123.5,92.625,31,4.5,B4,B4,A4,C#3
123.75,92.8125,31,4.75,A4,B4,A4,D3
124.0,93.0,32,1.0,D5,B4,A4,E3
124.25,93.1875,32,1.25,D5,B4,G#4,E3
124.5,93.375,32,1.5,r,A4,D5,E2
124.75,93.5625,32,1.75,r,G#4,D5,E2
125.0,93.75,32,2.0,r,A4,C#5,F#2
125.5,94.125,32,2.5,r,B4,F#5,D2
125.75,94.3125,32,2.75,r,B4,E5,D2
126.0,94.5,32,3.0,r,E4,C#5,E2
126.5,94.875,32,3.5,r,A4,B4,D2
127.0,95.25,32,4.0,r,A4,B4,E2
127.5,95.625,32,4.5,r,G#4,B4,E3
128.0,96.0,33,1.0,r,A4,A4,A2
128.5,96.375,33,1.5,A4,A4,A4,A2
129.0,96.75,33,2.0,E4,r,r,A2
129.5,97.125,33,2.5,F#4,r,r,A2
130.0,97.5,33,3.0,G4,r,r,A2
130.5,97.875,33,3.5,E5,r,r,A2
130.75,98.0625,33,3.75,D5,r,r,A2
131.0,98.25,33,4.0,C#5,r,r,B2
131.25,98.4375,33,4.25,B4,r,r,B2
131.5,98.625,33,4.5,A4,r,r,C#3
131.75,98.8125,33,4.75,G4,r,r,C#3
132.0,99.0,34,1.0,F#4,r,r,D3
132.25,99.1875,34,1.25,A4,r,r,D3
132.5,99.375,34,1.5,D5,r,r,B2
132.75,99.5625,34,1.75,B4,r,r,B2
133.0,99.75,34,2.0,A4,r,r,E3
133.25,99.9375,34,2.25,G#4,r,r,E3
133.5,100.125,34,2.5,D5,r,r,E2
134.0,100.5,34,3.0,D5,r,r,A2
134.5,100.875,34,3.5,C#5,r,r,A2
134.75,101.0625,34,3.75,B4,r,r,A2
135.0,101.25,34,4.0,A4,r,r,r
135.25,101.4375,34,4.25,G#4,r,r,r
135.5,101.625,34,4.5,F#4,r,r,A3
135.75,101.8125,34,4.75,E4,r,r,A3
136.0,102.0,35,1.0,E-4,r,r,A3
136.25,102.1875,35,1.25,F#4,r,r,A3
136.5,102.375,35,1.5,B4,r,r,G#3
136.75,102.5625,35,1.75,G#4,r,r,G#3
137.0,102.75,35,2.0,F#4,r,r,C#4
137.25,102.9375,35,2.25,F4,r,r,C#4
137.5,103.125,35,2.5,B4,r,r,C#3
138.0,103.5,35,3.0,B4,r,r,F#3
138.25,103.6875,35,3.25,A4,r,r,F#3
138.5,103.875,35,3.5,B4,r,r,F#3
138.75,104.0625,35,3.75,C#5,r,r,F#3
139.0,104.25,35,4.0,D5,r,r,r
139.25,104.4375,35,4.25,E5,r,r,r
139.5,104.625,35,4.5,F#5,r,r,D3
139.75,104.8125,35,4.75,D5,r,r,D3
140.0,105.0,36,1.0,E5,r,r,D3
140.25,105.1875,36,1.25,G#5,r,r,D3
140.5,105.375,36,1.5,B5,r,r,G#2
140.75,105.5625,36,1.75,A5,r,r,G#2
141.0,105.75,36,2.0,G#5,r,r,E2
141.25,105.9375,36,2.25,F#5,r,r,E2
141.5,106.125,36,2.5,E5,r,r,G#2
141.75,106.3125,36,2.75,D5,r,r,G#2
142.0,106.5,36,3.0,C#5,r,r,A2
142.25,106.6875,36,3.25,E5,r,r,A2
142.5,106.875,36,3.5,A5,r,r,C#3
142.75,107.0625,36,3.75,G5,r,r,C#3
143.0,107.25,36,4.0,F#5,r,r,D3
143.25,107.4375,36,4.25,E5,r,r,D3
143.5,107.625,36,4.5,D5,r,r,B2
143.75,107.8125,36,4.75,C#5,r,r,B2
144.0,108.0,37,1.0,B4,r,r,E3
144.5,108.375,37,1.5,B4,r,r,G#2
145.0,108.75,37,2.0,B4,r,r,A2
145.25,108.9375,37,2.25,C#5,r,r,A2
145.5,109.125,37,2.5,B4,r,r,B2
145.75,109.3125,37,2.75,A4,r,r,B2
146.0,109.5,37,3.0,G#4,r,r,E2
146.25,109.6875,37,3.25,A4,r,r,E2
146.5,109.875,37,3.5,B4,r,r,G#2
146.75,110.0625,37,3.75,D5,r,r,G#2
147.0,110.25,37,4.0,E4,r,r,B2
147.25,110.4375,37,4.25,C#5,r,r,B2
147.5,110.625,37,4.5,B4,r,r,D3
147.75,110.8125,37,4.75,A4,r,r,D3
148.0,111.0,38,1.0,G#4,r,r,D3
148.25,111.1875,38,1.25,B4,r,r,D3
148.5,111.375,38,1.5,C#5,r,r,G#2
148.75,111.5625,38,1.75,D5,r,r,F#2
149.0,111.75,38,2.0,E4,r,r,G#2
149.25,111.9375,38,2.25,F#4,r,r,G#2
149.5,112.125,38,2.5,E4,r,r,E2
149.75,112.3125,38,2.75,D4,r,r,E2
150.0,112.5,38,3.0,C#4,r,r,A2
150.25,112.6875,38,3.25,D4,r,r,A2
