qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 3,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,Eb Horn 3,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
330.5,331.5,P6(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P6(Violin 1)&P4(Viola),P6(Flute 1)&P4(Oboe 1)&P6(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 3)&P4(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P3(Eb Horn 3)&P4(C Trumpet 1)&P4(C Trumpet 2)&P8(Violin 1)&P3(Viola),P3(Flute 1)&P4(Flute 2)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 1)&U(C Trumpet 2)&P4(Violin 1)&P2(Viola),P8(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P6(Violin 1)&P4(Viola),P6(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P3(Bb Clarinet 3)&P4(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P3(Eb Horn 3)&P4(C Trumpet 1)&P4(C Trumpet 2)&U(Violin 1)&P3(Viola),P4(Flute 1)&P3(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&U(Eb Horn 3)&P2(C Trumpet 1)&P2(C Trumpet 2)&P3(Violin 1)&P8(Viola),P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P3(Bassoon 2)&U(C Horn 1)&U(C Horn 2)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P4(Violin 1)&P2(Viola),P8(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P6(Violin 1)&P4(Viola),P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&U(Bassoon 1)&P3(Bassoon 2)&U(C Horn 2)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P4(Violin 1)&P2(Viola),P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&U(Bassoon 1)&P3(Bassoon 2)&U(C Horn 1)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P4(Violin 1)&P2(Viola),P4(Flute 1)&P3(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 3)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P3(Violin 1)&P8(Viola),P3(Flute 1)&P4(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 2)&P4(Violin 1)&P2(Viola),P3(Flute 1)&P4(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 1)&P4(Violin 1)&P2(Viola),,P6(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 3)&P4(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P3(Eb Horn 3)&P4(C Trumpet 1)&P4(C Trumpet 2)&P3(Viola),,P4(Flute 1)&P3(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P8(Eb Horn 3)&P2(C Trumpet 1)&P2(C Trumpet 2)&P3(Violin 1),Main Part,P8(Main)
331.5,332.5,P6(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P4(Viola),P6(Flute 1)&P4(Oboe 1)&P6(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 3)&P4(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P3(Eb Horn 3)&P4(C Trumpet 1)&P4(C Trumpet 2)&P3(Viola),P3(Flute 1)&P4(Flute 2)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 1)&U(C Trumpet 2)&P2(Viola),P8(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P4(Viola),P6(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P3(Bb Clarinet 3)&P4(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P3(Eb Horn 3)&P4(C Trumpet 1)&P4(C Trumpet 2)&P3(Viola),P4(Flute 1)&P3(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&U(Eb Horn 3)&P2(C Trumpet 1)&P2(C Trumpet 2)&P8(Viola),P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P3(Bassoon 2)&U(C Horn 1)&U(C Horn 2)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P2(Viola),P8(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P4(Viola),P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&U(Bassoon 1)&P3(Bassoon 2)&U(C Horn 2)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P2(Viola),P3(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&U(Bassoon 1)&P3(Bassoon 2)&U(C Horn 1)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P2(Viola),P4(Flute 1)&P3(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 3)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P8(Viola),P3(Flute 1)&P4(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 2)&P2(Viola),P3(Flute 1)&P4(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 1)&P2(Viola),,,Main Part,P4(Flute 1)&P3(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P8(Eb Horn 3)&P2(C Trumpet 1)&P2(C Trumpet 2),P8(Contrabass),P8(Violoncello)
332.5,333.5,P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P8(Violin 2)&P4(Viola),,P3(Flute 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 1)&U(C Trumpet 2)&P3(Violin 2)&P2(Viola),P8(Flute 1)&P3(Oboe 1)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P8(Violin 2)&P4(Viola),P6(Flute 1)&P4(Oboe 1)&P6(Oboe 2)&P3(Bb Clarinet 3)&P4(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P3(Eb Horn 3)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Violin 2)&P3(Viola),P4(Flute 1)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&U(Eb Horn 3)&P2(C Trumpet 1)&P2(C Trumpet 2)&P4(Violin 2)&P8(Viola),P3(Flute 1)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P3(Bassoon 2)&U(C Horn 1)&U(C Horn 2)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Violin 2)&P2(Viola),P8(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P8(Violin 2)&P4(Viola),P3(Flute 1)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&U(Bassoon 1)&P3(Bassoon 2)&U(C Horn 2)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Violin 2)&P2(Viola),P3(Flute 1)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&U(Bassoon 1)&P3(Bassoon 2)&U(C Horn 1)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Violin 2)&P2(Viola),P4(Flute 1)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 3)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P4(Violin 2)&P8(Viola),P3(Flute 1)&U(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 2)&P3(Violin 2)&P2(Viola),P3(Flute 1)&U(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 1)&P3(Violin 2)&P2(Viola),,Main Part,P8(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P4(Viola),P4(Flute 1)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P8(Eb Horn 3)&P2(C Trumpet 1)&P2(C Trumpet 2)&P4(Violin 2),,
333.5,334.5,Main Part,P8(Main),P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 1)&U(C Trumpet 2)&P2(Violin 1)&P3(Violin 2),P3(Oboe 1)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P4(Violin 1)&P8(Violin 2),P4(Oboe 1)&P6(Oboe 2)&P3(Bb Clarinet 3)&P4(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P3(Eb Horn 3)&P4(C Trumpet 1)&P4(C Trumpet 2)&P3(Violin 1)&P6(Violin 2),P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&U(Eb Horn 3)&P2(C Trumpet 1)&P2(C Trumpet 2)&P8(Violin 1)&P4(Violin 2),P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P3(Bassoon 2)&U(C Horn 1)&U(C Horn 2)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P2(Violin 1)&P3(Violin 2),P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P4(Violin 1)&U(Violin 2),P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&U(Bassoon 1)&P3(Bassoon 2)&U(C Horn 2)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P2(Violin 1)&P3(Violin 2),P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&U(Bassoon 1)&P3(Bassoon 2)&U(C Horn 1)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2)&P2(Violin 1)&P3(Violin 2),P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 3)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P8(Violin 1)&P4(Violin 2),U(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 2)&P2(Violin 1)&P3(Violin 2),U(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 1)&P2(Violin 1)&P3(Violin 2),,P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P2(Bassoon 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P8(Eb Horn 3)&P2(C Trumpet 1)&P2(C Trumpet 2)&P4(Violin 2),P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(Bassoon 1)&U(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2)&P4(Violin 1),,P8(Contrabass),P8(Violoncello)
334.5,341.0,Main Part,P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 3)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P8(Eb Horn 3)&P2(C Trumpet 1)&P2(C Trumpet 2),P2(Flute 2)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 1)&U(C Trumpet 2),P4(Flute 2)&P3(Oboe 1)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2),P3(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P3(Bb Clarinet 3)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P3(Eb Horn 3)&P4(C Trumpet 1)&P4(C Trumpet 2),P8(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&U(Eb Horn 3)&P2(C Trumpet 1)&P2(C Trumpet 2),,P4(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Bb Clarinet 3)&P3(C Horn 1)&P3(C Horn 2)&P4(Eb Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2),P2(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P3(Bassoon 2)&U(C Horn 2)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2),P2(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P3(Bassoon 2)&U(C Horn 1)&P2(Eb Horn 3)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 3)&P4(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2),P2(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 2),P2(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P4(Bb Clarinet 1)&P2(Bb Clarinet 3)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P2(Eb Horn 3)&U(C Trumpet 1),,P8(Main),P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
341.0,344.5,P8(Violin 1),,P8(Bb Clarinet 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Timpani),,P8(Oboe 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Timpani),,Main Part,,,,,P5(Oboe 1)&P5(Bb Clarinet 1)&P8(C Trumpet 2)&P5(Timpani),P5(Oboe 1)&P5(Bb Clarinet 1)&P8(C Trumpet 1)&P5(Timpani),P8(Oboe 1)&P8(Bb Clarinet 1)&P5(C Trumpet 1)&P5(C Trumpet 2),P8(Flute 1),P3(Viola),P3(Violin 2),P8(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
344.5,352.5,P8(Violin 1),,Main Part,,P8(Main),,,P3(Eb Horn 3),P8(C Horn 2),P8(C Horn 1),P3(Bassoon 2),P8(C Trumpet 2),P8(C Trumpet 1),,P8(Flute 1),,,P8(Contrabass),P8(Violoncello)
352.5,360.0,,,Main Part,,,,,,U(C Horn 2),U(C Horn 1),,,,,,,,P8(Contrabass),P8(Violoncello)
360.0,368.5,,,P3(Oboe 2)&P7(Bb Clarinet 1)&P8(Bb Clarinet 3)&P7(Bassoon 1)&P4(Bassoon 2)&P7(Timpani),P3(Oboe 1)&P5(Bb Clarinet 1)&P3(Bb Clarinet 3)&P5(Bassoon 1)&P2(Bassoon 2)&P5(Timpani),P7(Oboe 1)&P5(Oboe 2)&P7(Bb Clarinet 3)&P8(Bassoon 1)&P4(Bassoon 2)&P8(Timpani),P8(Oboe 1)&P3(Oboe 2)&P7(Bb Clarinet 1)&P7(Bassoon 1)&P4(Bassoon 2)&P7(Timpani),P7(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 1)&P7(Bb Clarinet 3)&P4(Bassoon 2)&P8(Timpani),P4(Oboe 1)&P2(Oboe 2)&P4(Bb Clarinet 1)&P4(Bb Clarinet 3)&P4(Bassoon 1)&P4(Timpani),,,,,,P7(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 1)&P7(Bb Clarinet 3)&P8(Bassoon 1)&P4(Bassoon 2),Main Part,,,,
368.5,374.5,,,Main Part,,,,,,,,,,,,,,,,
374.5,380.5,,,Main Part,,,,,,P8(C Horn 2)&P8(Contrabass),P8(C Horn 1)&P8(Contrabass),,,,,,,,,P8(C Horn 1)&P8(C Horn 2)
380.5,384.75,P3(Flute 2)&P3(Bb Clarinet 1)&P3(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(Timpani)&P3(Viola)&P3(Contrabass),P3(Flute 1)&U(Bb Clarinet 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(Timpani)&P8(Viola)&P8(Contrabass),P8(Bassoon 1),,P3(Flute 1)&U(Flute 2)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(Timpani)&P8(Viola)&P8(Contrabass),,P8(Oboe 1),P3(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&U(C Horn 1)&P8(C Horn 2)&P8(Timpani)&U(Viola)&P8(Contrabass),P3(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&U(Bassoon 2)&P8(C Horn 2)&P8(Timpani)&U(Viola)&P8(Contrabass),P3(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bassoon 2)&P8(C Horn 1)&U(Timpani)&P8(Viola)&P8(Contrabass),,,,P3(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bassoon 2)&P8(C Horn 1)&U(C Horn 2)&P8(Viola)&P8(Contrabass),Main Part,,P3(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&U(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&P8(Timpani)&P8(Contrabass),,P3(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(Timpani)&P8(Viola)
384.75,386.75,P8(Bb Clarinet 1),,Main Part,,P8(Flute 1),,P8(Main),,,,,,,,P8(Violin 2),P8(Violin 1),,,
386.75,388.5,Main Part,,,,,,,P8(Contrabass),P8(C Horn 2)&U(Viola),P8(C Horn 1)&P8(Viola),,,,,,,U(C Horn 1)&P8(C Horn 2),,P8(Bassoon 2)
388.5,398.5,,,Main Part,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
398.5,406.5,,,,P8(C Horn 1)&P8(C Horn 2),,,,,P8(Oboe 2)&P8(C Horn 2),P8(Oboe 2)&P8(C Horn 1),,,,,Main Part,,,,
406.5,416.5,Main Part,,,,,,,P8(Violoncello),,,,,,,,,,P8(Bassoon 2),
