qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Pauken,Violin 1,Violin 2,Viola,Violoncello,Contrabass
232.0,236.0,Main Part,U(Main),P8(Oboe 2)&U(Bb Clarinet)&P8(Bb Clarinet 2),P8(Oboe 1)&P8(Bb Clarinet)&U(Bb Clarinet 2),U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet),,,U(F Horn 2),U(F Horn 1),P6(F Horn 4),P6(F Horn 3),U(F Trumpet 2)&U(Viola),U(F Trumpet 1)&U(Viola),,,,,,,,U(F Trumpet 1)&U(F Trumpet 2),P8(Contrabass),P8(Violoncello)
236.0,240.0,Main Part,U(Main),U(Bb Clarinet),U(Bb Clarinet 2),U(Oboe 1),U(Oboe 2),P7(Bassoon 2),P7(Bassoon 1),U(F Horn 2),U(F Horn 1),,,U(F Trumpet 2),U(F Trumpet 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
240.0,248.0,Main Part,U(Main)&P8(Oboe 1)&P8(Bb Clarinet)&U(Violin 1),P8(Main)&P8(Flute 2)&U(Bb Clarinet)&P8(Violin 1),U(Bb Clarinet 2)&U(Viola),P8(Main)&P8(Flute 2)&U(Oboe 1)&P8(Violin 1),U(Oboe 2)&U(Viola),,U(Violoncello)&P8(Contrabass),,,,,U(F Trumpet 2)&P5(Alto Trombone)&P3(Tenor Trombone)&P8(Bass Trombone),U(F Trumpet 1)&P5(Alto Trombone)&P3(Tenor Trombone)&P8(Bass Trombone),,P5(F Trumpet 1)&P5(F Trumpet 2)&P3(Tenor Trombone)&P5(Bass Trombone),P3(F Trumpet 1)&P3(F Trumpet 2)&P3(Alto Trombone)&P3(Bass Trombone),P8(F Trumpet 1)&P8(F Trumpet 2)&P5(Alto Trombone)&P3(Tenor Trombone),,U(Main)&U(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet),,U(Oboe 2)&U(Bb Clarinet 2),U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
248.0,256.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Bb Clarinet 2),,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P3(Alto Trombone),U(Bass Trombone)&U(Violoncello)&P8(Contrabass),,,,,Main Part,,,P3(Bassoon 1)&P3(Tenor Trombone),P3(Alto Trombone),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),,P8(Viola),,P8(Violin 1),U(Bassoon 2)&U(Bass Trombone)&P8(Contrabass),P8(Bassoon 2)&P8(Bass Trombone)&P8(Violoncello)
256.0,264.0,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(F Trumpet 1),U(Main)&U(Flute 2)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(F Trumpet 1),U(Main)&U(Flute 2)&U(Oboe 1)&P8(Bb Clarinet 2)&P8(F Trumpet 1),,P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(F Trumpet 1),P8(Bassoon 2),P8(Bassoon 1),U(F Horn 2),U(F Horn 1),,,P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2),,,P3(Tenor Trombone),P3(Alto Trombone),U(Violoncello)&P8(Contrabass),,,,,U(Bass Trombone)&P8(Contrabass),P8(Bass Trombone)&P8(Violoncello)
264.0,268.0,U(Flute 2)&P3(Oboe 1)&P6(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&P8(F Trumpet 1),U(Flute 1)&P3(Oboe 1)&P6(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&P8(F Trumpet 1),P3(Flute 1)&P3(Flute 2)&P4(Oboe 2)&P3(Bb Clarinet)&P3(Bb Clarinet 2)&P3(F Trumpet 1),P6(Flute 1)&P6(Flute 2)&P4(Oboe 1)&P6(Bb Clarinet)&P6(Bb Clarinet 2)&P6(F Trumpet 1),P8(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P6(Oboe 2)&U(Bb Clarinet 2)&U(F Trumpet 1),P8(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P6(Oboe 2)&U(Bb Clarinet)&U(F Trumpet 1),,,U(F Horn 2)&U(F Horn 3)&U(F Horn 4),U(F Horn 1)&U(F Horn 3)&U(F Horn 4),U(F Horn 1)&U(F Horn 2)&U(F Horn 4),U(F Horn 1)&U(F Horn 2)&U(F Horn 3),P8(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P6(Oboe 2)&U(Bb Clarinet)&U(Bb Clarinet 2),,,P3(Tenor Trombone)&P6(Bass Trombone)&P6(Pauken)&P6(Violoncello)&P6(Contrabass),P3(Alto Trombone)&P4(Bass Trombone)&P4(Pauken)&P4(Violoncello)&P4(Contrabass),P6(Alto Trombone)&P4(Tenor Trombone)&U(Pauken)&U(Violoncello)&P8(Contrabass),P6(Alto Trombone)&P4(Tenor Trombone)&U(Bass Trombone)&U(Violoncello)&P8(Contrabass),Main Part,,,P6(Alto Trombone)&P4(Tenor Trombone)&U(Bass Trombone)&U(Pauken)&P8(Contrabass),P6(Alto Trombone)&P4(Tenor Trombone)&P8(Bass Trombone)&P8(Pauken)&P8(Violoncello)
268.0,280.0,Main Part,U(Main)&P8(Bb Clarinet)&P8(Bb Clarinet 2),,,P8(Main)&P8(Flute 2)&U(Bb Clarinet 2),P8(Main)&P8(Flute 2)&U(Bb Clarinet),,,,,,,,,,P3(Tenor Trombone)&P6(Bass Trombone)&P6(Pauken),P3(Alto Trombone)&P4(Bass Trombone)&P4(Pauken),P6(Alto Trombone)&P4(Tenor Trombone)&U(Pauken),P6(Alto Trombone)&P4(Tenor Trombone)&U(Bass Trombone),,,,P8(Contrabass),P8(Violoncello)
280.0,288.0,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2),U(Main)&U(Flute 2)&U(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2),U(Main)&U(Flute 2)&U(Oboe 1)&P8(Bb Clarinet)&P8(Bb Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet),,,,,,,,,,,,,,U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
288.0,296.0,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2),U(Main)&U(Flute 2)&U(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2),U(Main)&U(Flute 2)&U(Oboe 1)&P8(Bb Clarinet)&P8(Bb Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet),P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,,U(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 2)&P8(Viola)&P8(Violoncello)
296.0,304.0,,,,,P3(Bb Clarinet 2),P3(Bb Clarinet),Main Part,P8(Main)&P8(Violoncello)&U(Contrabass),P8(F Horn 3),,P8(F Horn 1),,,,,,,,,,,,U(Main)&P8(Bassoon 2)&P8(Contrabass),P8(Main)&U(Bassoon 2)&P8(Violoncello)
