qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Pauken,Violin 1,Violin 2,Viola,Violoncello,Contrabass
536.3333,552.3333,,P8(F Trumpet 1)&P8(F Trumpet 2),,P8(F Horn 1)&P8(F Horn 2),,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),P8(Oboe 2)&U(F Horn 2),P8(Oboe 2)&U(F Horn 1),,,P8(Flute 2)&U(F Trumpet 2),P8(Flute 2)&U(F Trumpet 1),,P3(Tenor Trombone)&P6(Bass Trombone)&P6(Pauken),P3(Alto Trombone)&P4(Bass Trombone)&P4(Pauken),P6(Alto Trombone)&P4(Tenor Trombone)&U(Pauken),P6(Alto Trombone)&P4(Tenor Trombone)&U(Bass Trombone),Main Part,P8(Main),,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
552.3333,559.3333,Main Part,,,,,,P8(Bassoon 2)&P6(Violin 1)&P6(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P6(Violin 1)&P6(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),,,,,,,,P6(Bass Trombone),,P6(Alto Trombone),,P6(Bassoon 1)&P6(Bassoon 2)&P8(Violin 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass),P6(Bassoon 1)&P6(Bassoon 2)&P8(Violin 1)&P6(Viola)&P6(Violoncello)&P6(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P6(Violin 1)&P6(Violin 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P6(Violin 1)&P6(Violin 2)&U(Viola)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P6(Violin 1)&P6(Violin 2)&P8(Viola)&P8(Violoncello)
559.3333,567.8333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
567.8333,571.8333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
571.8333,575.8333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
575.8333,579.8333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
579.8333,583.8333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
583.8333,600.3333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
600.3333,608.3333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
608.3333,612.3333,,,Main Part,,P3(Bb Clarinet 2),P3(Bb Clarinet),P8(Viola),,,,,,,,,,,,,,,P8(Bassoon 1),,
612.3333,616.3333,,,,,P3(Bb Clarinet 2)&P2(Pauken),P3(Bb Clarinet),Main Part,,,,,,,,,,,,P2(Bb Clarinet),,,P8(Main),,
616.3333,620.3333,,,Main Part,,P3(Bb Clarinet 2),P3(Bb Clarinet),P8(Viola),,,,,,,,,,,,,,,P8(Bassoon 1),,
620.3333,624.3333,P3(Violin 1)&P5(Violin 2),,,,P3(Bb Clarinet 2),P3(Bb Clarinet),Main Part,,,,,,,,,,,,,P3(Flute 1)&P3(Violin 2),P5(Flute 1)&P3(Violin 1),,,
624.3333,632.3333,Main Part,,,,,,,,,,P3(F Horn 4),P3(F Horn 3),,,,,,,,P3(Violin 2),P3(Violin 1),,,
632.3333,640.3333,Main Part,,,,,,,,,,P3(F Horn 4)&P4(Pauken),P3(F Horn 3)&P6(Pauken),,,,,,,P4(F Horn 3)&P6(F Horn 4),P3(Violin 2),P3(Violin 1),,,
640.3333,644.3333,Main Part,,,,,,,,,,P3(F Horn 4)&P4(Pauken),P3(F Horn 3)&P6(Pauken),,,,,,,P4(F Horn 3)&P6(F Horn 4),,,,,
644.3333,648.3333,Main Part,U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(F Horn 1)&P5(Violin 2)&P5(Violoncello)&P5(Contrabass),U(Flute 2)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(F Horn 1)&P5(Violin 2)&P5(Violoncello)&P5(Contrabass),U(Flute 2)&U(Oboe 1)&P8(Bb Clarinet 2)&P8(F Horn 1)&P5(Violin 2)&P5(Violoncello)&P5(Contrabass),,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(F Horn 1)&P5(Violin 2)&P5(Violoncello)&P5(Contrabass),,,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2)&P5(Violin 2)&P5(Violoncello)&P5(Contrabass),,P3(F Horn 4),P3(F Horn 3),,,,,,,,,P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P5(Bb Clarinet 2)&P5(F Horn 1)&P8(Violoncello)&P8(Contrabass),,P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P5(Bb Clarinet 2)&P5(F Horn 1)&P8(Violin 2)&P8(Contrabass),P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P5(Bb Clarinet 2)&P5(F Horn 1)&P8(Violin 2)&P8(Violoncello)
648.3333,656.3333,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2),U(Main)&U(Flute 2)&U(Oboe 2)&P8(Bb Clarinet 2),U(Main)&U(Flute 2)&U(Oboe 1)&P8(Bb Clarinet 2),,P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
656.3333,664.3333,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2),U(Main)&U(Flute 2)&U(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2),U(Main)&U(Flute 2)&U(Oboe 1)&P8(Bb Clarinet)&P8(Bb Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet),,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
664.3333,672.3333,Main Part,U(Main)&P8(Oboe 2)&P8(Bb Clarinet 2),,P8(Main)&P8(Flute 2)&P8(Bb Clarinet 2),,P8(Main)&P8(Flute 2)&P8(Oboe 2),,P3(F Trumpet 1)&P3(F Trumpet 2)&P8(Alto Trombone)&P3(Tenor Trombone)&U(Bass Trombone),,,,,P3(Bassoon 2)&U(F Trumpet 2)&P3(Alto Trombone)&P8(Tenor Trombone)&P3(Bass Trombone),P3(Bassoon 2)&U(F Trumpet 1)&P3(Alto Trombone)&P8(Tenor Trombone)&P3(Bass Trombone),,P8(Bassoon 2)&P3(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone)&P8(Bass Trombone),P3(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P3(Alto Trombone)&P3(Bass Trombone),U(Bassoon 2)&P3(F Trumpet 1)&P3(F Trumpet 2)&P8(Alto Trombone)&P3(Tenor Trombone),,,,,P8(Contrabass),P8(Violoncello)
672.3333,680.3333,Main Part,U(Main)&P8(Oboe 2)&P8(Bb Clarinet 2),U(Bb Clarinet),P8(Main)&P8(Flute 2)&U(Bb Clarinet 2),U(Oboe 1),P8(Main)&P8(Flute 2)&U(Oboe 2),U(Bassoon 2)&U(Bass Trombone),U(Bassoon 1)&U(Bass Trombone),,,,,,,,,,U(Bassoon 1)&U(Bassoon 2),,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
680.3333,688.3333,U(Flute 2)&P3(F Trumpet 1)&P8(Alto Trombone)&P3(Tenor Trombone)&P3(Bass Trombone),U(Flute 1)&P3(F Trumpet 1)&P8(Alto Trombone)&P3(Tenor Trombone)&P3(Bass Trombone),,,,,U(Bassoon 2),U(Bassoon 1),Main Part,U(F Trumpet 2),U(F Horn 4),U(F Horn 3),P3(Flute 1)&P3(Flute 2)&P3(Alto Trombone)&P5(Tenor Trombone)&P8(Bass Trombone),U(F Horn 2),,P8(Flute 1)&P8(Flute 2)&P3(F Trumpet 1)&P3(Tenor Trombone)&P3(Bass Trombone),P3(Flute 1)&P3(Flute 2)&P5(F Trumpet 1)&P3(Alto Trombone)&P5(Bass Trombone),P3(Flute 1)&P3(Flute 2)&P8(F Trumpet 1)&P3(Alto Trombone)&P5(Tenor Trombone),,,,,,
688.3333,692.3333,U(Flute 2)&P6(Viola),U(Flute 1)&P6(Viola),Main Part,U(Main)&U(Bb Clarinet),U(Main)&U(Oboe 2),,U(Bassoon 2),U(Bassoon 1),,,,,,,,,,,,,,P6(Flute 1)&P6(Flute 2),,
692.3333,696.3333,Main Part,U(Main),U(Oboe 2)&U(Bb Clarinet)&P8(F Horn 1)&P3(Violoncello),U(Oboe 1)&U(Bb Clarinet)&P8(F Horn 1)&P3(Violoncello),U(Oboe 1)&U(Oboe 2)&P8(F Horn 1)&P3(Violoncello),,,,P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P3(Violoncello),,,,,,,,,,,,,,P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet)&P3(F Horn 1),
696.3333,700.3333,U(Flute 2)&P3(Viola),U(Flute 1)&P3(Viola),Main Part,U(Main),,,,,,,,,,,,,,,,,,P3(Flute 1)&P3(Flute 2),,
700.3333,708.3333,Main Part,U(Main),U(Oboe 2),U(Oboe 1),U(Bb Clarinet 2),U(Bb Clarinet),,,,,,,,,,,,,,,,,,
708.3333,710.3333,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P4(Bb Clarinet)&P4(Bb Clarinet 2)&P3(Viola),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&P4(Bb Clarinet)&P4(Bb Clarinet 2)&P3(Viola),U(Flute 1)&U(Flute 2)&U(Oboe 2)&P4(Bb Clarinet)&P4(Bb Clarinet 2)&P3(Viola),U(Flute 1)&U(Flute 2)&U(Oboe 1)&P4(Bb Clarinet)&P4(Bb Clarinet 2)&P3(Viola),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&U(Bb Clarinet 2)&P2(Viola),P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&U(Bb Clarinet)&P2(Viola),,,,,,,,,,,,,,Main Part,,P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P2(Bb Clarinet)&P2(Bb Clarinet 2),,
710.3333,712.3333,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2),U(Main)&U(Flute 2)&U(Oboe 2),U(Main)&U(Flute 2)&U(Oboe 1),U(Bb Clarinet 2),U(Bb Clarinet),U(Bassoon 2)&P2(F Horn 2)&P6(F Horn 3)&P6(F Horn 4)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&P2(F Horn 2)&P6(F Horn 3)&P6(F Horn 4)&U(Violoncello)&P8(Contrabass),,P2(Bassoon 1)&P2(Bassoon 2)&P5(F Horn 3)&P5(F Horn 4)&P2(Violoncello)&P2(Contrabass),P6(Bassoon 1)&P6(Bassoon 2)&P5(F Horn 2)&U(F Horn 4)&P6(Violoncello)&P6(Contrabass),P6(Bassoon 1)&P6(Bassoon 2)&P5(F Horn 2)&U(F Horn 3)&P6(Violoncello)&P6(Contrabass),,,,,,,,,,,U(Bassoon 1)&U(Bassoon 2)&P2(F Horn 2)&P6(F Horn 3)&P6(F Horn 4)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P2(F Horn 2)&P6(F Horn 3)&P6(F Horn 4)&P8(Violoncello)
712.3333,716.3333,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P6(Bass Trombone),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P6(Bass Trombone),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P6(Bass Trombone),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P6(Bass Trombone),U(Bb Clarinet 2)&P8(Main)&P8(F Horn 2),U(Bb Clarinet)&P8(Main)&P8(F Horn 2),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),Main Part,P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Main),U(F Horn 4),U(F Horn 3),,U(F Trumpet 3),U(F Trumpet 2),,,P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P6(Oboe 2),,,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
716.3333,720.3333,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P3(Tenor Trombone)&P3(Bass Trombone),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P3(Tenor Trombone)&P3(Bass Trombone),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P3(Tenor Trombone)&P3(Bass Trombone),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P3(Tenor Trombone)&P3(Bass Trombone),U(Bb Clarinet 2)&U(Main),U(Bb Clarinet)&U(Main),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),U(F Horn 2),U(F Horn 1),U(F Horn 4),U(F Horn 3),,Main Part,,,P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&U(Bass Trombone),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&U(Tenor Trombone),,,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
720.3333,724.3333,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1),U(Bb Clarinet 2)&U(Main)&U(F Trumpet 2),U(Bb Clarinet)&U(Main)&U(F Trumpet 2),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),U(F Horn 2),U(F Horn 1),U(F Horn 4)&U(F Trumpet 3),U(F Horn 3)&U(F Trumpet 3),Main Part,U(Bb Clarinet)&U(Bb Clarinet 2)&U(Main),U(F Horn 3)&U(F Horn 4),U(Tenor Trombone),U(Alto Trombone),,,,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
724.3333,728.3333,U(Flute 2)&P8(Oboe 1),U(Flute 1)&P8(Oboe 1),P8(Flute 1)&P8(Flute 2),,,,U(Bassoon 2),U(Bassoon 1),,,U(F Horn 4)&U(F Trumpet 3),U(F Horn 3)&U(F Trumpet 3),Main Part,U(Main),U(F Horn 3)&U(F Horn 4),U(Tenor Trombone),U(Alto Trombone),,,,,,P8(Contrabass),P8(Violoncello)
728.3333,736.3333,Main Part,U(Main)&U(Oboe 1),U(Main)&U(Flute 2),,,,,,,,,,P2(Alto Trombone)&P8(Tenor Trombone)&P5(Bass Trombone),,,P2(F Trumpet 1)&P2(Tenor Trombone)&P4(Bass Trombone),P8(F Trumpet 1)&P2(Alto Trombone)&P5(Bass Trombone),P5(F Trumpet 1)&P4(Alto Trombone)&P5(Tenor Trombone),,,,,P8(Contrabass),P8(Violoncello)
736.3333,744.3333,,,,,,,,,,,,,Main Part,,,P4(Bass Trombone),,P4(Alto Trombone),,,,,P8(Contrabass),P8(Violoncello)
744.3333,749.3333,,,,,,,,,P3(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2),P3(F Horn 1)&U(F Horn 3)&P8(F Horn 4)&P5(F Trumpet 1)&P5(F Trumpet 2),P3(F Horn 1)&U(F Horn 2)&P8(F Horn 4)&P5(F Trumpet 1)&P5(F Trumpet 2),P3(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P5(F Trumpet 1)&P5(F Trumpet 2),P3(F Horn 1)&P5(F Horn 2)&P5(F Horn 3)&P5(F Horn 4)&U(F Trumpet 2),P3(F Horn 1)&P5(F Horn 2)&P5(F Horn 3)&P5(F Horn 4)&U(F Trumpet 1),,Main Part,,,,U(Violin 2),U(Violin 1),,P8(Contrabass),P8(Violoncello)
749.3333,752.3333,P4(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P4(Flute 1)&P4(Oboe 1)&P4(Oboe 2)&P6(Bb Clarinet)&P8(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2),P8(Flute 1)&P4(Flute 2)&U(Oboe 2)&P3(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P4(Flute 2)&U(Oboe 1)&P3(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P3(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P6(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P4(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P6(Bb Clarinet)&P4(Bassoon 1)&P4(Bassoon 2),P8(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet)&P4(Bb Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet)&P4(Bb Clarinet 2)&U(Bassoon 1),,,,,Main Part,U(Main),,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
752.3333,760.3333,,,U(Oboe 2),U(Oboe 1),,,P8(Violoncello),P8(Contrabass),,,,,Main Part,,,,P8(Main),,,P8(Violin 2),P8(Violin 1),,P8(Bassoon 1),P8(Bassoon 2)
760.3333,768.3333,U(Flute 2),U(Flute 1),,,,,U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),,,,,Main Part,U(Main),,,,,,,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
768.3333,776.3333,U(Flute 2),U(Flute 1),U(Bb Clarinet),,U(Oboe 1),,U(Bassoon 2),U(Bassoon 1),,,,,Main Part,,,,,,,,,,P8(Contrabass),P8(Violoncello)
776.3333,782.3333,,,Main Part,U(Main)&U(Bb Clarinet),U(Main)&U(Oboe 2),,U(Bassoon 2)&P3(F Horn 1)&P4(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(F Trumpet 3)&P3(Alto Trombone)&P4(Tenor Trombone)&U(Bass Trombone),U(Bassoon 1)&P3(F Horn 1)&P4(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(F Trumpet 3)&P3(Alto Trombone)&P4(Tenor Trombone)&U(Bass Trombone),P3(Bassoon 1)&P3(Bassoon 2)&P6(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P7(F Trumpet 1)&P7(F Trumpet 2)&P7(F Trumpet 3)&U(Alto Trombone)&P6(Tenor Trombone)&P3(Bass Trombone),P4(Bassoon 1)&P4(Bassoon 2)&P6(F Horn 1)&P4(F Horn 3)&P4(F Horn 4)&P2(F Trumpet 1)&P2(F Trumpet 2)&P2(F Trumpet 3)&P6(Alto Trombone)&U(Tenor Trombone)&P4(Bass Trombone),U(Bassoon 1)&U(Bassoon 2)&P3(F Horn 1)&P4(F Horn 2)&U(F Horn 4)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(F Trumpet 3)&P3(Alto Trombone)&P4(Tenor Trombone)&U(Bass Trombone),U(Bassoon 1)&U(Bassoon 2)&P3(F Horn 1)&P4(F Horn 2)&U(F Horn 3)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(F Trumpet 3)&P3(Alto Trombone)&P4(Tenor Trombone)&U(Bass Trombone),P5(Bassoon 1)&P5(Bassoon 2)&P7(F Horn 1)&P2(F Horn 2)&P5(F Horn 3)&P5(F Horn 4)&U(F Trumpet 2)&U(F Trumpet 3)&P7(Alto Trombone)&P2(Tenor Trombone)&P5(Bass Trombone),P5(Bassoon 1)&P5(Bassoon 2)&P7(F Horn 1)&P2(F Horn 2)&P5(F Horn 3)&P5(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 3)&P7(Alto Trombone)&P2(Tenor Trombone)&P5(Bass Trombone),P5(Bassoon 1)&P5(Bassoon 2)&P7(F Horn 1)&P2(F Horn 2)&P5(F Horn 3)&P5(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2)&P7(Alto Trombone)&P2(Tenor Trombone)&P5(Bass Trombone),P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&P6(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P7(F Trumpet 1)&P7(F Trumpet 2)&P7(F Trumpet 3)&P6(Tenor Trombone)&P3(Bass Trombone),P4(Bassoon 1)&P4(Bassoon 2)&P6(F Horn 1)&U(F Horn 2)&P4(F Horn 3)&P4(F Horn 4)&P2(F Trumpet 1)&P2(F Trumpet 2)&P2(F Trumpet 3)&P6(Alto Trombone)&P4(Bass Trombone),U(Bassoon 1)&U(Bassoon 2)&P3(F Horn 1)&P4(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(F Trumpet 3)&P3(Alto Trombone)&P4(Tenor Trombone),,,,,,
782.3333,786.3333,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),,,U(F Horn 4)&P3(Alto Trombone),U(F Horn 3)&P3(Alto Trombone),Main Part,U(Main)&U(F Trumpet 3),U(Main)&U(F Trumpet 2),P3(F Horn 3)&P3(F Horn 4)&P3(Bass Trombone),,P3(Alto Trombone),,,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
786.3333,791.3333,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3),P8(Main)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet)&U(Bb Clarinet 2)&P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet)&U(Bb Clarinet 2)&P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet)&P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(F Horn 2)&U(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(F Horn 1)&U(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3),U(F Horn 4),U(F Horn 3),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(F Horn 1)&U(F Horn 2)&U(F Trumpet 2)&U(F Trumpet 3),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(F Horn 1)&U(F Horn 2)&U(F Trumpet 1)&U(F Trumpet 3),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(F Horn 1)&U(F Horn 2)&U(F Trumpet 1)&U(F Trumpet 2),P3(Bass Trombone),,P3(Alto Trombone),,,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
