qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,B Horn 3 [NB: B natural],B Horn 4 [NB: B natural],B Trumpet 1 [NB: B natural],B Trumpet 2 [NB: B natural],Violin 1,Violin 2,Viola,Violoncello,Contrabass
78.0,80.0,,,Main Part,,,P8(Eb Horn 1),,,P8(Bb Clarinet 2),,,,,,,,,,
80.0,84.0,P8(Oboe 1),,P8(Flute 1),,Main Part,P8(Bassoon 2),P8(Main),P8(Bb Clarinet 2),P8(Eb Horn 2),P8(Eb Horn 1),,,,,,,,P8(Contrabass),P8(Violoncello)
84.0,89.5,Main Part,,P8(Main)&P8(Oboe 2),P8(Main)&P8(Oboe 1),,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
89.5,93.75,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1),Main Part,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
93.75,98.0,Main Part,,U(Oboe 2),U(Oboe 1),,P2(Bassoon 1)&P8(Bassoon 2),P2(Bb Clarinet 2)&P2(Bassoon 2),P8(Bb Clarinet 2)&P2(Bassoon 1),,,,,,,,,,U(Contrabass),U(Violoncello)
98.0,105.75,Main Part,,,,P8(Main)&P8(Bassoon 1),P8(Bassoon 2),P8(Main)&P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,,,,,,,,,
105.75,114.0,P8(Bassoon 1),U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Eb Horn 2),Main Part,U(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Eb Horn 2),,P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2)&P8(Eb Horn 2),P8(Flute 1),P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Eb Horn 2),,P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),,,,,,,,P8(Contrabass),P8(Violoncello)
114.0,116.0,Main Part,U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),U(Main)&P8(Bb Clarinet 1)&P8(Bassoon 1),U(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Oboe 1)&P8(Bassoon 1),P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Oboe 1)&P8(Bb Clarinet 1),P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Eb Horn 2)&P5(Contrabass),P8(Eb Horn 1)&P5(Contrabass),,,,,,,,,P5(Eb Horn 1)&P5(Eb Horn 2)
116.0,118.0,,,P4(Bb Clarinet 1)&P8(Bassoon 1)&P4(Bassoon 2)&P4(Eb Horn 1)&P6(Eb Horn 2)&P6(Violoncello)&P6(Contrabass),,P4(Oboe 1)&P4(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P3(Eb Horn 2)&P3(Violoncello)&P3(Contrabass),,P8(Oboe 1)&P4(Bb Clarinet 1)&P4(Bassoon 2)&P4(Eb Horn 1)&P6(Eb Horn 2)&P6(Violoncello)&P6(Contrabass),P4(Oboe 1)&P8(Bb Clarinet 1)&P4(Bassoon 1)&P8(Eb Horn 1)&P3(Eb Horn 2)&P3(Violoncello)&P3(Contrabass),P4(Oboe 1)&P8(Bb Clarinet 1)&P4(Bassoon 1)&P8(Bassoon 2)&P3(Eb Horn 2)&P3(Violoncello)&P3(Contrabass),P6(Oboe 1)&P3(Bb Clarinet 1)&P6(Bassoon 1)&P3(Bassoon 2)&P3(Eb Horn 1)&U(Violoncello)&P8(Contrabass),,,,,Main Part,,P8(Main),P6(Oboe 1)&P3(Bb Clarinet 1)&P6(Bassoon 1)&P3(Bassoon 2)&P3(Eb Horn 1)&U(Eb Horn 2)&P8(Contrabass),P6(Oboe 1)&P3(Bb Clarinet 1)&P6(Bassoon 1)&P3(Bassoon 2)&P3(Eb Horn 1)&P8(Eb Horn 2)&P8(Violoncello)
118.0,120.0,,,P8(Bassoon 1)&P4(Bassoon 2)&P4(Eb Horn 1)&P6(Eb Horn 2),,Main Part,,P8(Oboe 1)&P4(Bassoon 2)&P4(Eb Horn 1)&P6(Eb Horn 2),P4(Oboe 1)&P4(Bassoon 1)&P8(Eb Horn 1)&P3(Eb Horn 2),P4(Oboe 1)&P4(Bassoon 1)&P8(Bassoon 2)&P3(Eb Horn 2),P6(Oboe 1)&P6(Bassoon 1)&P3(Bassoon 2)&P3(Eb Horn 1),,,,,,,,,
120.0,122.0,,,,,P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Violoncello),P3(Bb Clarinet 1)&P8(Bassoon 1)&P5(Eb Horn 1)&P5(Eb Horn 2)&P5(Violoncello),P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Eb Horn 1)&P5(Eb Horn 2)&P5(Violoncello),,P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(Bassoon 1)&U(Eb Horn 2)&P8(Violoncello),P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(Bassoon 1)&U(Eb Horn 1)&P8(Violoncello),,,,,Main Part,,P8(Main),P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(Bassoon 1)&P8(Eb Horn 1)&P8(Eb Horn 2),
122.0,140.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Bassoon 2),Main Part,,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),,,,,,,,,,,
140.5,152.5,P8(Main)&P8(Bassoon 2),P8(Oboe 2),Main Part,P8(Flute 2),P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P8(Bb Clarinet 1)&U(Eb Horn 1)&P8(Eb Horn 2),,P8(Flute 1)&P8(Main),P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Eb Horn 2),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Eb Horn 1),,,,,,,P8(Violoncello),P8(Viola),
152.5,164.5,U(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&P2(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P2(Flute 1)&P2(Flute 2)&P2(Oboe 2)&P2(Bassoon 1)&P2(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),Main Part,,P8(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),,,,,,,,,P8(Violoncello),P8(Viola),
164.5,176.5,Main Part,P8(Oboe 2),,P8(Flute 2),,,,P8(Main),P8(Eb Horn 2),P8(Eb Horn 1),P8(B Horn 4 [NB: B natural])&U(B Trumpet 1 [NB: B natural])&U(B Trumpet 2 [NB: B natural]),P8(B Horn 3 [NB: B natural])&P8(B Trumpet 1 [NB: B natural])&P8(B Trumpet 2 [NB: B natural]),U(B Horn 3 [NB: B natural])&P8(B Horn 4 [NB: B natural])&U(B Trumpet 2 [NB: B natural]),U(B Horn 3 [NB: B natural])&P8(B Horn 4 [NB: B natural])&U(B Trumpet 1 [NB: B natural]),,,P8(Violoncello),P8(Viola),
176.5,188.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 1)&P8(Eb Horn 2),,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bassoon 2)&U(Eb Horn 1)&P8(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Eb Horn 1)&U(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(Eb Horn 1),Main Part,,,,,,,,
188.5,200.5,Main Part,U(Oboe 1)&P8(Oboe 2),U(Flute 2)&P8(Oboe 2),P8(Flute 2)&P8(Oboe 1),,,,,,,,,,,,,P8(Violoncello),P8(Viola),
200.5,206.5,Main Part,U(Main)&P8(Oboe 2)&P2(Bb Clarinet 1)&P8(B Horn 4 [NB: B natural]),,P8(Main)&P8(Flute 2)&P2(Bb Clarinet 1)&P8(B Horn 4 [NB: B natural]),P2(Main)&P2(Flute 2)&P2(Oboe 2)&P2(B Horn 4 [NB: B natural]),,P2(Bassoon 2)&U(B Horn 3 [NB: B natural]),P2(Bassoon 1)&P2(B Horn 3 [NB: B natural]),U(Eb Horn 2),U(Eb Horn 1),U(Bassoon 1)&P2(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 2)&P2(Bb Clarinet 1),P8(B Trumpet 2 [NB: B natural]),P8(B Trumpet 1 [NB: B natural]),,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
206.5,223.0,,P8(Oboe 2),U(Bb Clarinet 1),P8(Flute 2),U(Oboe 1),,,,P8(Eb Horn 2),P8(Eb Horn 1),Main Part,,P8(B Trumpet 2 [NB: B natural]),P8(B Trumpet 1 [NB: B natural]),,,P8(Violoncello),P8(Viola),
223.0,236.0,P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Main),P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Main),P8(Flute 2)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&P8(Bassoon 1)&P8(Main),P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Main),P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Eb Horn 2),P8(Eb Horn 1),Main Part,,,,,,,,
236.0,254.5,Main Part,P8(Oboe 2),,P8(Flute 2),,,,,,,P8(B Trumpet 1 [NB: B natural]),P8(B Trumpet 2 [NB: B natural]),P8(B Horn 3 [NB: B natural]),P8(B Horn 4 [NB: B natural]),,,,P8(Contrabass),P8(Violoncello)
254.5,266.5,Main Part,U(Oboe 1)&P8(Oboe 2),U(Flute 2)&P8(Oboe 2),P8(Flute 2)&P8(Oboe 1),,,,,,,,,,,,,P8(Violoncello),P8(Viola),
266.5,272.5,Main Part,U(Main)&P8(Oboe 2)&P2(Bb Clarinet 1)&P8(B Horn 4 [NB: B natural]),,P8(Main)&P8(Flute 2)&P2(Bb Clarinet 1)&P8(B Horn 4 [NB: B natural]),P2(Main)&P2(Flute 2)&P2(Oboe 2)&P2(B Horn 4 [NB: B natural]),,P2(Bassoon 2)&U(B Horn 3 [NB: B natural]),P2(Bassoon 1)&P2(B Horn 3 [NB: B natural]),U(Eb Horn 2),U(Eb Horn 1),U(Bassoon 1)&P2(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 2)&P2(Bb Clarinet 1),P8(B Trumpet 2 [NB: B natural]),P8(B Trumpet 1 [NB: B natural]),,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
272.5,289.0,Main Part,P8(Oboe 2),U(Bb Clarinet 1),P8(Flute 2),U(Oboe 1),,,,P8(Eb Horn 2),P8(Eb Horn 1),,,P8(B Trumpet 2 [NB: B natural]),P8(B Trumpet 1 [NB: B natural]),,,P8(Violoncello),P8(Viola),
289.0,302.0,P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(B Horn 3 [NB: B natural]),P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(B Horn 3 [NB: B natural]),P8(Flute 2)&U(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&P8(Bassoon 1)&P8(B Horn 3 [NB: B natural]),P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(B Horn 3 [NB: B natural]),P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Eb Horn 2),P8(Eb Horn 1),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bassoon 1),,,,Main Part,,,,
302.0,320.0,,P8(Oboe 2),,P8(Flute 2),,,,,,,P8(B Horn 4 [NB: B natural])&P8(B Trumpet 1 [NB: B natural])&U(B Trumpet 2 [NB: B natural]),P8(B Horn 3 [NB: B natural])&P8(B Trumpet 1 [NB: B natural])&P8(B Trumpet 2 [NB: B natural]),P8(B Horn 3 [NB: B natural])&P8(B Horn 4 [NB: B natural])&P8(B Trumpet 2 [NB: B natural]),U(B Horn 3 [NB: B natural])&P8(B Horn 4 [NB: B natural])&P8(B Trumpet 1 [NB: B natural]),Main Part,,,P8(Contrabass),P8(Violoncello)
320.0,332.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 2),P3(Bb Clarinet 2)&P3(Eb Horn 1),P3(Bb Clarinet 1)&P5(Eb Horn 1),,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P3(Bb Clarinet 1)&P5(Bb Clarinet 2),,P8(B Horn 4 [NB: B natural]),P8(B Horn 3 [NB: B natural]),P8(B Trumpet 2 [NB: B natural]),P8(B Trumpet 1 [NB: B natural]),Main Part,,,P8(Contrabass),P8(Violoncello)
332.0,342.0,P8(Oboe 1),P8(Oboe 2)&P3(Contrabass),P8(Flute 1),P8(Flute 2)&P3(Contrabass),Main Part,P8(Bassoon 1),P8(Bb Clarinet 2),,,,,,,,,P8(Viola),P8(Violin 2),,P3(Flute 2)&P3(Oboe 2)
342.0,352.25,P8(Oboe 1)&P7(Eb Horn 1)&P7(Eb Horn 2),,P8(Flute 1)&P7(Eb Horn 1)&P7(Eb Horn 2),,,,,,P7(Flute 1)&P7(Oboe 1)&P8(Eb Horn 2),P7(Flute 1)&P7(Oboe 1)&P8(Eb Horn 1),,,,,Main Part,,,,
352.25,362.0,,,U(Oboe 2),U(Oboe 1),Main Part,,,,P8(Eb Horn 2),P8(Eb Horn 1),U(B Horn 4 [NB: B natural]),U(B Horn 3 [NB: B natural]),,,,,,,
362.0,380.0,,,Main Part,,,,,,,,,,,,,,,,
380.0,382.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Eb Horn 1)&P8(Eb Horn 2)&P3(Violoncello),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Eb Horn 1)&P8(Eb Horn 2)&P3(Violoncello),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Eb Horn 1)&P8(Eb Horn 2)&P3(Violoncello),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Eb Horn 1)&P8(Eb Horn 2)&P3(Violoncello),P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P5(Eb Horn 2)&P3(Violoncello),P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 1)&P3(Eb Horn 1)&P5(Eb Horn 2)&P3(Violoncello),,,P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Eb Horn 2)&P8(Violoncello),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Violoncello),,,,,Main Part,,,P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P3(Eb Horn 2),
382.0,384.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2),P8(Main)&P8(Flute 2)&U(Oboe 2),P8(Main)&P8(Flute 2)&U(Oboe 1),P8(Bb Clarinet 2)&P3(Eb Horn 1)&P5(Eb Horn 2),P8(Bb Clarinet 1)&P3(Eb Horn 1)&P5(Eb Horn 2),,,P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Eb Horn 2),P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Eb Horn 1),,,,,,,,,
384.0,386.0,,,,,U(Bb Clarinet 2)&U(Eb Horn 1)&P6(Eb Horn 2)&P5(Violoncello),U(Bb Clarinet 1)&U(Eb Horn 1)&P6(Eb Horn 2)&P5(Violoncello),,,U(Bb Clarinet 1)&U(Bb Clarinet 2)&P6(Eb Horn 2)&P5(Violoncello),P6(Bb Clarinet 1)&P6(Bb Clarinet 2)&P6(Eb Horn 1)&P2(Violoncello),,,,,Main Part,,P8(Main),P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(Eb Horn 1)&P2(Eb Horn 2),
386.0,402.0,P7(Flute 2)&U(Oboe 1)&P7(Oboe 2),P7(Flute 1)&P7(Oboe 1)&U(Oboe 2),U(Flute 1)&P7(Flute 2)&P7(Oboe 2),P7(Flute 1)&U(Flute 2)&P7(Oboe 1),Main Part,,,,,,,,,,,,P8(Contrabass),,P8(Viola)
402.0,406.0,Main Part,U(Oboe 2),U(Main),U(Flute 2),,,,,P8(Eb Horn 2),P8(Eb Horn 1),,,,,,P3(Viola),P3(Violin 2),,
406.0,410.3333,P7(Flute 2)&U(Oboe 1)&P7(Oboe 2)&P5(Bassoon 1)&P3(Bassoon 2),P7(Flute 1)&P7(Oboe 1)&U(Oboe 2)&P3(Bassoon 1)&P5(Bassoon 2),U(Flute 1)&P7(Flute 2)&P7(Oboe 2)&P5(Bassoon 1)&P3(Bassoon 2),P7(Flute 1)&U(Flute 2)&P7(Oboe 1)&P3(Bassoon 1)&P5(Bassoon 2),Main Part,,P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(Bassoon 1),P8(Eb Horn 2),P8(Eb Horn 1),,,,,,,P8(Violoncello),P8(Viola),
410.3333,414.3333,P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1),,,,,,,Main Part,P8(Main),,,
414.3333,422.3333,Main Part,,P3(Oboe 2),P3(Oboe 1),,,,,P8(Eb Horn 2)&U(B Horn 3 [NB: B natural])&P5(B Horn 4 [NB: B natural]),P8(Eb Horn 1)&P8(B Horn 3 [NB: B natural])&P5(B Horn 4 [NB: B natural]),U(Eb Horn 1)&P8(Eb Horn 2)&P5(B Horn 4 [NB: B natural]),P5(Eb Horn 1)&P5(Eb Horn 2)&P5(B Horn 3 [NB: B natural]),,,,,,P8(Contrabass),P8(Violoncello)
422.3333,430.0,P8(Oboe 1)&P3(Bb Clarinet 1),P8(Oboe 2),P8(Flute 1)&P3(Bb Clarinet 1),P8(Flute 2),P3(Flute 1)&P3(Oboe 1),,P3(Eb Horn 1)&P3(Eb Horn 2)&P3(B Horn 3 [NB: B natural]),,P3(Bassoon 1)&P8(Eb Horn 2)&U(B Horn 3 [NB: B natural]),P3(Bassoon 1)&P8(Eb Horn 1)&P8(B Horn 3 [NB: B natural]),P3(Bassoon 1)&U(Eb Horn 1)&P8(Eb Horn 2),,P8(B Trumpet 2 [NB: B natural]),P8(B Trumpet 1 [NB: B natural]),Main Part,,,P8(Contrabass),P8(Violoncello)
