score_qstamp,qstamp,measure,beat,736441_tstamp,729167_tstamp,711707_tstamp,723421_tstamp,RNS_tstamp,measure_fraction,label,part,part_num,instrument
247.125,247.125,72,1.0,214.6271,201.3671,206.7871,213.2271,219.2071,0.0,e,Vln 1,13,Vln
247.125,647.125,72,1.0,298.7471,259.0147,244.3377,297.0671,349.6471,0.0,e,Vln 1,13,Vln
255.125,255.125,74,1.0,217.5871,204.0871,209.6271,216.3071,222.0871,0.0,f,Cl 1,4,Cl
255.125,655.125,74,1.0,299.7671,259.5871,244.5271,297.9271,352.4071,0.0,f,Cl 1,4,Cl
271.125,271.125,78,1.0,223.1471,209.2671,215.0342,222.1471,227.0355,0.0,f,Vln 1,13,Vln
271.125,671.125,78,1.0,300.1871,260.8122,244.8044,298.706,357.4884,0.0,f,Vln 1,13,Vln
287.125,287.125,82,1.0,228.8142,214.4013,220.4342,228.0755,232.2342,0.0,f,Fl 1,0,Fl
287.125,687.125,82,1.0,300.9471,261.1197,244.8103,298.7132,362.6671,0.0,f,Fl 1,0,Fl
303.125,303.125,86,1.0,234.3626,219.4871,225.7871,233.8871,237.3955,0.0,f,Fl 1,0,Fl
303.125,703.125,86,1.0,301.5299,261.1534,244.8163,298.766,367.8813,0.0,f,Fl 1,0,Fl
307.125,307.125,87,1.0,235.7213,220.8142,227.2071,235.3342,238.6671,0.0,f,Vln 1,13,Vln
307.125,707.125,87,1.0,301.549,261.1568,244.8177,298.9271,369.1213,0.0,f,Vln 1,13,Vln
315.125,315.125,89,1.0,238.5071,223.3071,229.8471,238.1871,241.2471,0.0,f,Vla,15,Vla
315.125,715.125,89,1.0,301.6871,261.2572,244.8471,300.3671,371.7271,0.0,f,Vla,15,Vla
323.125,323.125,91,1.0,241.6471,225.9471,232.6071,240.9871,243.8871,0.0,f,Vln 1,13,Vln
323.125,723.125,91,1.0,302.0811,261.325,245.0462,301.4049,374.3271,0.0,f,Vln 1,13,Vln
339.125,339.125,95,1.0,247.5671,231.0871,235.1159,246.6071,249.1471,0.0,f,Vln 1,13,Vln
339.125,739.125,95,1.0,302.0999,261.4091,245.0597,301.9071,379.6142,0.0,f,Vln 1,13,Vln
347.125,347.125,97,1.0,250.4871,233.6471,235.1751,249.4671,251.8471,0.0,f,Vln 1,13,Vln
347.125,747.125,97,1.0,303.3471,261.4621,245.1293,302.1668,382.3271,0.0,f,Vln 1,13,Vln
348.875,348.875,97,2.75,251.1921,234.3521,235.2201,250.1321,252.5121,0.4375,f,Ob 1,2,Ob
348.875,748.875,97,2.75,303.4664,261.466,245.1921,302.1692,383.0442,0.4375,f,Ob 1,2,Ob
351.125,351.125,98,1.0,252.1252,235.0471,235.2221,250.9852,253.2013,0.0,f,Vln 1,13,Vln
351.125,751.125,98,1.0,303.477,261.471,245.6828,302.1723,383.7626,0.0,f,Vln 1,13,Vln
352.875,352.875,98,2.75,252.7921,235.4589,235.2237,251.6721,253.8921,0.4375,f,Ob 1,2,Ob
352.875,752.875,98,2.75,303.4808,261.4749,245.6905,302.1747,384.3521,0.4375,f,Ob 1,2,Ob
355.125,355.125,99,1.0,253.5471,236.2942,235.2257,252.4142,254.5671,0.0,f,Vln 1,13,Vln
355.125,755.125,99,1.0,303.4823,261.4799,245.7271,302.1777,385.0271,0.0,f,Vln 1,13,Vln
356.125,356.125,99,2.0,253.9213,236.6342,235.2266,252.7271,254.9142,0.25,f,Ob 1,2,Ob
356.125,756.125,99,2.0,303.483,261.4815,245.7829,302.1791,385.3271,0.25,f,Ob 1,2,Ob
357.125,357.125,99,3.0,254.2471,236.9471,235.2275,253.0613,255.2271,0.5,f,Vln 1,13,Vln
