qstamp,tstamp,measure,beat,Violin solo,Tenor,Continuo
42.0,38.1818,15,3.0,r,B3,D3
42.5,38.6364,15,3.5,r,D4,B2
43.0,39.0909,16,1.0,r,C#4,B2
43.25,39.3182,16,1.25,r,F#4,D3
43.5,39.5455,16,1.5,r,F4,C#3
43.75,39.7727,16,1.75,r,F4,B2
44.0,40.0,16,2.0,r,r,B-2
44.5,40.4545,16,2.5,r,F#4,B-2
45.0,40.9091,16,3.0,r,E4,r
45.25,41.1364,16,3.25,r,D4,r
45.5,41.3636,16,3.5,r,C#4,B2
45.75,41.5909,16,3.75,r,B3,B2
46.0,41.8182,17,1.0,r,B-3,G3
46.25,42.0455,17,1.25,r,E4,G3
46.5,42.2727,17,1.5,B5,D4,E3
47.0,42.7273,17,2.0,B5,C#4,F#3
47.1667,42.8788,17,2.1667,C#6,C#4,F#3
47.3333,43.0303,17,2.3333,C#6,C#4,F#3
47.5,43.1818,17,2.5,B-5,C#4,C#3
47.6667,43.3334,17,2.6667,G#5,C#4,C#3
47.8333,43.4848,17,2.8333,G#5,C#4,C#3
48.0,43.6364,17,3.0,E5,r,B-2
48.1667,43.7879,17,3.1667,D5,r,B-2
48.3333,43.9394,17,3.3333,D5,r,B-2
48.5,44.0909,17,3.5,B4,F#3,F#2
48.6667,44.2425,17,3.6667,C#5,F#3,F#2
48.8333,44.3939,17,3.8333,C#5,F#3,F#2
49.0,44.5455,18,1.0,B4,D4,B2
49.25,44.7727,18,1.25,D5,C#4,B2
49.5,45.0,18,1.5,F#5,B3,D3
49.75,45.2273,18,1.75,B5,B3,D3
50.0,45.4545,18,2.0,D6,r,G#2
50.5,45.9091,18,2.5,r,A3,F#2
51.0,46.3636,18,3.0,r,G#3,E2
51.25,46.5909,18,3.25,B4,G#3,E2
51.5,46.8182,18,3.5,A4,D4,E3
51.75,47.0455,18,3.75,G#4,D4,E3
52.0,47.2727,19,1.0,A4,C#4,A2
52.25,47.5,19,1.25,C#5,C#4,A2
52.5,47.7273,19,1.5,E5,D4,A2
52.75,47.9545,19,1.75,G#5,B3,A2
53.0,48.1818,19,2.0,A5,C#4,r
53.5,48.6364,19,2.5,r,C#4,B2
53.75,48.8636,19,2.75,r,D4,B2
53.875,48.9773,19,2.875,r,E4,B2
54.0,49.0909,19,3.0,r,A3,C#3
54.5,49.5455,19,3.5,r,C#4,B2
54.75,49.7727,19,3.75,r,E4,B2
55.0,50.0,20,1.0,r,G4,B-2
55.25,50.2273,20,1.25,r,F#4,B-2
55.5,50.4545,20,1.5,r,E4,B-2
56.0,50.9091,20,2.0,C5,r,A2
56.5,51.3636,20,2.5,B4,E-4,A2
57.0,51.8182,20,3.0,B4,E4,G2
57.5,52.2727,20,3.5,E4,F#4,G2
57.75,52.5,20,3.75,E4,G4,G2
58.0,52.7273,21,1.0,E4,A4,F#2
58.25,52.9545,21,1.25,F#4,F#4,F#2
58.5,53.1818,21,1.5,E4,G4,B2
58.75,53.4091,21,1.75,E-4,G4,B2
59.0,53.6364,21,2.0,E4,G4,E2
59.25,53.8636,21,2.25,G4,G4,E2
59.5,54.0909,21,2.5,B4,G4,E3
59.75,54.3182,21,2.75,E5,G4,E3
60.0,54.5455,21,3.0,G5,r,E3
60.5,55.0,21,3.5,r,E4,F#3
60.75,55.2273,21,3.75,r,E4,G3
61.0,55.4545,22,1.0,r,D4,A3
61.25,55.6818,22,1.25,r,C#4,A3
61.5,55.9091,22,1.5,r,B3,G3
61.75,56.1364,22,1.75,r,A3,G3
62.0,56.3636,22,2.0,r,A4,F#3
62.25,56.5909,22,2.25,r,F#4,F#3
62.5,56.8182,22,2.5,r,E4,B3
62.75,57.0455,22,2.75,r,D4,B3
63.0,57.2727,22,3.0,r,F#4,G3
63.25,57.5,22,3.25,r,E4,G3
63.5,57.7273,22,3.5,r,D4,A3
63.75,57.9545,22,3.75,r,C#4,A3
64.0,58.1818,23,1.0,r,D4,D3
64.25,58.4091,23,1.25,G4,D4,D3
64.5,58.6364,23,1.5,F#4,D4,A3
64.75,58.8636,23,1.75,E4,D4,A3
65.0,59.0909,23,2.0,F#4,r,D4
65.25,59.3182,23,2.25,A4,r,D4
65.5,59.5455,23,2.5,D5,F#4,D3
65.75,59.7727,23,2.75,F#5,F#4,D3
66.0,60.0,23,3.0,A5,E4,C#3
66.25,60.2273,23,3.25,A5,G4,C#3
66.5,60.4545,23,3.5,r,F#4,D3
67.0,60.9091,24,1.0,r,E4,A2
67.25,61.1364,24,1.25,G5,C#4,A2
67.5,61.3636,24,1.5,F#5,A3,A2
67.75,61.5909,24,1.75,E5,A3,A2
68.0,61.8182,24,2.0,F#5,r,A2
68.25,62.0455,24,2.25,E5,r,A2
68.5,62.2727,24,2.5,D5,F#4,A2
68.75,62.5,24,2.75,C#5,F#4,A2
69.0,62.7273,24,3.0,E5,E4,A2
69.25,62.9545,24,3.25,D5,G4,A2
69.5,63.1818,24,3.5,C#5,F#4,A2
69.75,63.4091,24,3.75,B4,F#4,A2
70.0,63.6364,25,1.0,C#5,E4,A2
70.1667,63.7879,25,1.1667,B4,E4,A2
70.25,63.8636,25,1.25,B4,G#4,A2
70.3333,63.9394,25,1.3333,B4,G#4,A2
70.5,64.0909,25,1.5,E4,A4,A3
70.6667,64.2425,25,1.6667,A4,A4,A3
70.8333,64.3939,25,1.8333,A4,A4,A3
71.0,64.5455,25,2.0,C#5,A3,A3
71.1667,64.697,25,2.1667,B4,A3,A3
71.3333,64.8485,25,2.3333,B4,A3,A3
71.5,65.0,25,2.5,B4,A3,E3
71.6667,65.1515,25,2.6667,C#5,A3,E3
71.8333,65.303,25,2.8333,C#5,A3,E3
72.0,65.4545,25,3.0,E5,r,D3
72.25,65.6818,25,3.25,E5,r,C#3
72.5,65.9091,25,3.5,r,G4,B2
72.75,66.1364,25,3.75,r,G4,A2
73.0,66.3636,26,1.0,r,F#4,D3
73.25,66.5909,26,1.25,r,E4,D3
73.5,66.8182,26,1.5,r,D4,E3
73.75,67.0455,26,1.75,r,C#4,E3
74.0,67.2727,26,2.0,r,D4,F#3
74.25,67.5,26,2.25,r,A3,F#3
74.5,67.7273,26,2.5,r,B3,G3
74.75,67.9545,26,2.75,r,G3,G3
75.0,68.1818,26,3.0,A4,F#3,A3
75.25,68.4091,26,3.25,C#5,E3,A3
75.5,68.6364,26,3.5,E5,D4,A2
75.75,68.8636,26,3.75,G5,C#4,A2
76.0,69.0909,27,1.0,F#5,D4,D3
76.1667,69.2425,27,1.1667,E5,D4,D3
76.3333,69.3939,27,1.3333,E5,D4,D3
76.5,69.5455,27,1.5,A4,D4,D4
76.6667,69.697,27,1.6667,D5,D4,D4
76.8333,69.8485,27,1.8333,D5,D4,D4
77.0,70.0,27,2.0,F#5,r,D4
77.1667,70.1515,27,2.1667,E5,r,D4
77.3333,70.303,27,2.3333,E5,r,D4
77.5,70.4545,27,2.5,E5,r,C#4
77.6667,70.6061,27,2.6667,F#5,r,C#4
77.8333,70.7575,27,2.8333,F#5,r,C#4
78.0,70.9091,27,3.0,A5,r,C#4
78.1667,71.0606,27,3.1667,G5,r,C#4
78.3333,71.2121,27,3.3333,G5,r,C#4
78.5,71.3636,27,3.5,G5,r,B3
78.6667,71.5152,27,3.6667,A5,r,B3
78.8333,71.6666,27,3.8333,A5,r,B3
79.0,71.8182,28,1.0,E5,r,C#3
79.1667,71.9697,28,1.1667,D5,r,C#3
79.3333,72.1212,28,1.3333,D5,r,C#3
79.5,72.2727,28,1.5,A4,r,C#4
79.6667,72.4243,28,1.6667,C#5,r,C#4
79.8333,72.5757,28,1.8333,C#5,r,C#4
80.0,72.7273,28,2.0,E5,r,C#4
80.1667,72.8788,28,2.1667,D5,r,C#4
80.3333,73.0303,28,2.3333,D5,r,C#4
80.5,73.1818,28,2.5,D5,r,B3
80.6667,73.3334,28,2.6667,E5,r,B3
80.8333,73.4848,28,2.8333,E5,r,B3
81.0,73.6364,28,3.0,G5,r,B3
81.1667,73.7879,28,3.1667,F#5,r,B3
81.3333,73.9394,28,3.3333,F#5,r,B3
81.5,74.0909,28,3.5,F#5,r,A3
81.6667,74.2425,28,3.6667,G5,r,A3
81.8333,74.3939,28,3.8333,G5,r,A3
82.0,74.5455,29,1.0,D5,r,B2
82.1667,74.697,29,1.1667,C#5,r,B2
82.3333,74.8485,29,1.3333,C#5,r,B2
82.5,75.0,29,1.5,F#4,r,B3
82.6667,75.1515,29,1.6667,B4,r,B3
82.8333,75.303,29,1.8333,B4,r,B3
83.0,75.4545,29,2.0,D5,r,B3
83.1667,75.6061,29,2.1667,C#5,r,B3
83.3333,75.7575,29,2.3333,C#5,r,B3
83.5,75.9091,29,2.5,C#5,r,A3
83.6667,76.0606,29,2.6667,D5,r,A3
83.8333,76.2121,29,2.8333,D5,r,A3
84.0,76.3636,29,3.0,F#5,r,A3
84.1667,76.5152,29,3.1667,E5,r,A3
84.3333,76.6666,29,3.3333,E5,r,A3
84.5,76.8182,29,3.5,E5,r,G3
84.6667,76.9697,29,3.6667,F#5,r,G3
84.8333,77.1212,29,3.8333,F#5,r,G3
85.0,77.2727,30,1.0,G5,r,A2
85.25,77.5,30,1.25,C#5,r,A2
85.5,77.7273,30,1.5,E4,r,A3
85.75,77.9545,30,1.75,E4,r,B3
86.0,78.1818,30,2.0,E4,r,C#4
86.1667,78.3334,30,2.1667,G4,r,C#4
86.3333,78.4848,30,2.3333,G4,r,C#4
86.5,78.6364,30,2.5,D5,r,B3
86.6667,78.7879,30,2.6667,C#5,r,B3
86.8333,78.9394,30,2.8333,C#5,r,B3
87.0,79.0909,30,3.0,C#5,r,A3
87.1667,79.2425,30,3.1667,E5,r,A3
87.3333,79.3939,30,3.3333,E5,r,A3
87.5,79.5455,30,3.5,B5,r,G3
87.6667,79.697,30,3.6667,A5,r,G3
87.8333,79.8485,30,3.8333,A5,r,G3
88.0,80.0,31,1.0,A5,r,F#3
88.5,80.4545,31,1.5,A5,r,C#3
88.625,80.5682,31,1.625,G5,r,C#3
88.75,80.6818,31,1.75,F#5,r,C#3
88.875,80.7955,31,1.875,E5,r,C#3
89.0,80.9091,31,2.0,F#5,r,D3
89.125,81.0227,31,2.125,E5,r,D3
89.25,81.1364,31,2.25,D5,r,D3
89.375,81.25,31,2.375,C#5,r,D3
89.5,81.3636,31,2.5,D5,r,G3
89.75,81.5909,31,2.75,B4,r,G3
90.0,81.8182,31,3.0,C#5,r,A3
90.5,82.2727,31,3.5,C#5,r,A2
90.75,82.5,31,3.75,D5,r,A2
91.0,82.7273,32,1.0,D5,r,D3
91.5,83.1818,32,1.5,D5,r,C#3
91.75,83.4091,32,1.75,F#5,r,C#3
91.875,83.5227,32,1.875,E5,r,C#3
92.0,83.6364,32,2.0,F#5,r,D3
92.1667,83.7879,32,2.1667,A5,r,D3
92.3333,83.9394,32,2.3333,A5,r,D3
92.5,84.0909,32,2.5,A5,r,E3
92.6667,84.2425,32,2.6667,D6,r,E3
92.8333,84.3939,32,2.8333,D6,r,E3
93.0,84.5455,32,3.0,D6,r,F#3
93.5,85.0,32,3.5,r,F#3,A3
93.75,85.2273,32,3.75,r,G3,A3
94.0,85.4545,33,1.0,r,A3,E-3
94.25,85.6818,33,1.25,B4,B3,E-3
94.5,85.9091,33,1.5,A4,C4,E3
94.75,86.1364,33,1.75,G4,C4,E3
95.0,86.3636,33,2.0,A4,C4,F#3
95.25,86.5909,33,2.25,C5,C4,F#3
95.5,86.8182,33,2.5,E-5,B3,G3
95.75,87.0455,33,2.75,E5,B3,G3
96.0,87.2727,33,3.0,F#5,A3,A3
96.5,87.7273,33,3.5,r,G3,B3
97.0,88.1818,34,1.0,r,F#3,C4
97.25,88.4091,34,1.25,A4,F#3,C4
97.5,88.6364,34,1.5,G4,E-4,B3
97.75,88.8636,34,1.75,F#4,E-4,A3
98.0,89.0909,34,2.0,E4,E4,G3
98.25,89.3182,34,2.25,G4,E4,G3
98.5,89.5455,34,2.5,B4,G3,A3
98.75,89.7727,34,2.75,E5,F#3,A3
99.0,90.0,34,3.0,G5,E3,G3
99.5,90.4545,34,3.5,r,B3,F#3
100.0,90.9091,35,1.0,r,C4,E3
100.25,91.1364,35,1.25,C5,E4,E3
100.5,91.3636,35,1.5,B4,G4,E2
100.75,91.5909,35,1.75,A4,G4,E2
101.0,91.8182,35,2.0,B4,r,E3
101.25,92.0455,35,2.25,E5,r,E3
101.5,92.2727,35,2.5,G5,B3,D3
101.75,92.5,35,2.75,B5,B3,D3
102.0,92.7273,35,3.0,E6,B-3,C#3
102.25,92.9545,35,3.25,E6,B3,C#3
102.5,93.1818,35,3.5,r,C#4,B-3
102.75,93.4091,35,3.75,r,D4,B-3
103.0,93.6364,36,1.0,r,E4,B3
103.25,93.8636,36,1.25,r,D4,B3
103.5,94.0909,36,1.5,B5,C#4,G3
103.75,94.3182,36,1.75,B5,B3,G3
104.0,94.5455,36,2.0,B5,F#4,F#3
104.1667,94.697,36,2.1667,C#6,F#4,F#3
104.3333,94.8485,36,2.3333,C#6,F#4,F#3
104.5,95.0,36,2.5,B-5,F#4,C#3
104.6667,95.1515,36,2.6667,G#5,F#4,C#3
104.8333,95.303,36,2.8333,G#5,F#4,C#3
105.0,95.4545,36,3.0,E5,r,B-2
105.1667,95.6061,36,3.1667,D5,r,B-2
105.3333,95.7575,36,3.3333,D5,r,B-2
105.5,95.9091,36,3.5,B4,C#4,F#2
105.6667,96.0606,36,3.6667,C#5,C#4,F#2
105.75,96.1364,36,3.75,C#5,E4,F#2
105.8333,96.2121,36,3.8333,C#5,E4,F#2
106.0,96.3636,37,1.0,B4,D4,B2
106.25,96.5909,37,1.25,D5,C#4,B2
106.5,96.8182,37,1.5,F#5,B3,B2
106.75,97.0455,37,1.75,B5,B3,B2
107.0,97.2727,37,2.0,D6,B3,B2
107.5,97.7273,37,2.5,r,F#3,B2
108.0,98.1818,37,3.0,r,G3,B2
108.25,98.4091,37,3.25,D5,F#3,B2
108.5,98.6364,37,3.5,C#5,E3,B2
108.75,98.8636,37,3.75,B4,F#3,B2
109.0,99.0909,38,1.0,C#5,F#3,B-2
109.25,99.3182,38,1.25,F#5,B-3,B-2
109.5,99.5455,38,1.5,B-5,C#4,B-2
109.75,99.7727,38,1.75,C#6,C#4,B-2
110.0,100.0,38,2.0,E6,C#4,B-2
110.25,100.2273,38,2.25,E6,D4,B-2
110.5,100.4545,38,2.5,r,E4,B-2
110.75,100.6818,38,2.75,r,G4,B-2
111.0,100.9091,38,3.0,r,F#4,B-2
111.25,101.1364,38,3.25,G4,E4,B-2
111.5,101.3636,38,3.5,F#4,D4,B-2
111.75,101.5909,38,3.75,E4,C#4,B-2
112.0,101.8182,39,1.0,F#4,E-4,A2
112.25,102.0455,39,1.25,A4,F#4,A2
112.5,102.2727,39,1.5,C5,A4,F#2
112.75,102.5,39,1.75,E-5,A4,F#2
113.0,102.7273,39,2.0,F#5,r,E-2
113.5,103.1818,39,2.5,r,C4,E-2
114.0,103.6364,39,3.0,r,B3,E-2
114.25,103.8636,39,3.25,r,E-4,E-2
114.5,104.0909,39,3.5,F#4,F#4,E-2
114.75,104.3182,39,3.75,F#4,A3,E-2
115.0,104.5455,40,1.0,F#4,G3,E2
115.25,104.7727,40,1.25,F#4,F#3,E2
