qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Tenor Trombone 1,Tenor Trombone 2,Bass Trombone,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
1262.0,1266.0,U(Flute 2)&P8(Oboe 2),U(Flute 1)&P8(Oboe 2),P8(F Horn 1)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 2)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P8(Flute 2),P4(Bassoon 2)&P8(F Horn 2)&U(F Trumpet 1)&P6(Tenor Trombone 1)&P4(Bass Trombone),,,P4(A Clarinet 1)&P4(F Horn 2)&P4(F Trumpet 1)&P3(Tenor Trombone 1)&U(Bass Trombone)&P3(Viola),P8(Oboe 1)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 2)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P8(A Clarinet 1)&P4(Bassoon 2)&P8(F Trumpet 1)&P6(Tenor Trombone 1)&P4(Bass Trombone),P8(Oboe 1)&P8(F Horn 1)&U(F Horn 4)&P8(F Trumpet 2)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P8(Oboe 1)&P8(F Horn 1)&U(F Horn 3)&P8(F Trumpet 2)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),U(A Clarinet 1)&P4(Bassoon 2)&P8(F Horn 2)&P6(Tenor Trombone 1)&P4(Bass Trombone),P8(Oboe 1)&U(F Horn 1)&P8(F Horn 3)&P8(F Horn 4)&P3(Tuba)&P3(Violoncello)&P3(Contrabass),P6(A Clarinet 1)&P3(Bassoon 2)&P6(F Horn 2)&P6(F Trumpet 1)&P3(Bass Trombone),P3(Tuba)&P3(Violoncello)&P3(Contrabass),P4(A Clarinet 1)&U(Bassoon 2)&P4(F Horn 2)&P4(F Trumpet 1)&P3(Tenor Trombone 1)&P3(Viola),P3(Oboe 1)&P3(F Horn 1)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 2)&P3(Tenor Trombone 2)&U(Violoncello)&P8(Contrabass),,Main Part,P8(Main),P3(Bassoon 2)&P3(Bass Trombone),P3(Oboe 1)&P3(F Horn 1)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 2)&P3(Tenor Trombone 2)&U(Tuba)&P8(Contrabass),P3(Oboe 1)&P3(F Horn 1)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 2)&P3(Tenor Trombone 2)&P8(Tuba)&P8(Violoncello)
1266.0,1272.0,U(Flute 2),U(Flute 1),,,,P8(Tenor Trombone 1),P8(Bassoon 2),P8(Bassoon 1),P8(F Horn 4)&P3(Timpani),,,P8(F Horn 1)&P3(Timpani),,P3(Bass Trombone)&P3(Tuba),P8(A Clarinet 2),,P3(F Trumpet 2)&P8(Tuba),P3(F Trumpet 2)&P8(Bass Trombone),P3(F Horn 1)&P3(F Horn 4),Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
1272.0,1282.0,Main Part,U(Main)&U(Oboe 1),U(Main)&U(Flute 2),,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,P8(Tenor Trombone 2),,P8(F Trumpet 2),,,,,,,P8(Contrabass),P8(Violoncello)
1282.0,1285.0,U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 2)&P8(Timpani),U(Flute 1)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 2)&P8(Timpani),U(Flute 1)&U(Flute 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 2)&P8(Timpani),U(F Trumpet 1),U(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(A Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 2)&P8(Timpani),P8(Bassoon 2),P8(Bassoon 1),P8(F Horn 2),P8(F Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(F Horn 4)&P8(F Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(F Horn 3)&P8(F Trumpet 2)&P8(Timpani),U(Oboe 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&U(A Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(Timpani),,,,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 2),Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
1285.0,1289.0,Main Part,U(Main)&P8(Oboe 2)&P8(A Clarinet 2),U(A Clarinet 1),P8(Main)&P8(Flute 2)&U(A Clarinet 2),U(Oboe 1),P8(Main)&P8(Flute 2)&U(Oboe 2),P8(Bassoon 2),P8(Bassoon 1),U(F Horn 2),U(F Horn 1),U(F Horn 4),U(F Horn 3),U(F Trumpet 2),U(F Trumpet 1),,,P8(Tuba),P8(Bass Trombone),,P8(Violin 2)&P8(Viola),P8(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
1289.0,1293.0,Main Part,U(Main)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2),P3(Main)&P3(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P3(A Clarinet 2),P8(Main)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&U(A Clarinet 2),P3(Main)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2),P8(Main)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1),P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),,U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4),U(F Horn 1)&P8(F Horn 3)&P8(F Horn 4),P8(F Horn 1)&P8(F Horn 2)&U(F Horn 4),P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3),,,,,,,,P8(Bassoon 1)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1293.0,1298.0,Main Part,P8(Main),U(A Clarinet 1),,U(Oboe 1),,P8(Bassoon 2),P8(Bassoon 1),U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4),U(F Horn 1)&P8(F Horn 3)&P8(F Horn 4),P8(F Horn 1)&P8(F Horn 2)&U(F Horn 4),P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3),P8(Tenor Trombone 1),,P8(F Trumpet 1),,P8(Tuba),P8(Bass Trombone),,,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
1298.0,1300.0,U(Flute 2),U(Flute 1),,,P8(A Clarinet 2),P8(A Clarinet 1),P8(Bassoon 2)&P3(Violin 2)&P3(Viola)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P3(Violin 2)&P3(Viola)&P8(Violoncello)&U(Contrabass),P4(F Horn 2),P4(F Horn 1),,,,,P3(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P8(Timpani),P3(Tenor Trombone 1)&P5(Bass Trombone)&P5(Tuba)&P3(Timpani),P3(Tenor Trombone 1)&P5(Tenor Trombone 2)&P8(Tuba)&P3(Timpani),P3(Tenor Trombone 1)&P5(Tenor Trombone 2)&P8(Bass Trombone)&P3(Timpani),P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba),Main Part,P3(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P3(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P3(Violin 2)&P3(Viola)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P3(Violin 2)&P3(Viola)&P8(Violoncello)
1300.0,1302.0,U(Flute 2)&U(Violin 1)&P8(Viola),U(Flute 1)&U(Violin 1)&P8(Viola),,U(F Trumpet 1),,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),P4(F Horn 2)&P5(F Horn 3)&P8(F Horn 4),P4(F Horn 1)&P2(F Horn 3)&P4(F Horn 4),P5(F Horn 1)&P2(F Horn 2)&P5(F Horn 4),P8(F Horn 1)&P4(F Horn 2)&P5(F Horn 3),U(Oboe 2),,,,,,,U(Flute 1)&U(Flute 2)&P8(Viola),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Violin 1),U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
1302.0,1304.0,U(Flute 2)&U(Oboe 1),U(Flute 1)&U(Oboe 1),U(Flute 1)&U(Flute 2),,,,P8(Bassoon 2)&P3(Viola)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P3(Viola)&P8(Violoncello)&U(Contrabass),,P6(F Horn 3),P6(F Horn 2),,,,,,,,,Main Part,,P3(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P3(Viola)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P3(Viola)&P8(Violoncello)
1304.0,1308.0,U(Flute 2)&P8(Oboe 1)&P8(Violin 1),U(Flute 1)&P8(Oboe 1)&P8(Violin 1),P8(Flute 1)&P8(Flute 2)&U(Violin 1),,P6(A Clarinet 2),P6(A Clarinet 1),P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),,,,,,,,,,,,P8(Flute 1)&P8(Flute 2)&U(Oboe 1),Main Part,,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
1308.0,1314.0,U(Flute 2),U(Flute 1),,,,P6(Bassoon 1)&P6(Bassoon 2)&P6(Violoncello)&P6(Contrabass),P6(A Clarinet 2)&P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P6(A Clarinet 2)&P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),,,P6(F Horn 4),P6(F Horn 3),,,,,,,,,Main Part,,P6(A Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P6(A Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
1314.0,1322.0,U(Flute 2)&P8(Viola),U(Flute 1)&P8(Viola),P8(Oboe 2),P8(Oboe 1),,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,Main Part,P8(Main),P8(Flute 1)&P8(Flute 2),P8(Contrabass),P8(Violoncello)
1322.0,1330.0,U(Flute 2)&P8(F Trumpet 1)&P8(Viola),U(Flute 1)&P8(F Trumpet 1)&P8(Viola),,,P8(A Clarinet 2),P8(A Clarinet 1),,,,P8(F Horn 4),,P8(F Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Viola),,,,,,,Main Part,P8(Main),P8(Flute 1)&P8(Flute 2)&P8(F Trumpet 1),P8(Contrabass),P8(Violoncello)
1330.0,1338.0,P8(Flute 2),P8(Flute 1),,,Main Part,,P3(Bassoon 2),P3(Bassoon 1),P4(F Horn 3),,P4(F Horn 1),,P3(F Trumpet 2),P3(F Trumpet 1),,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
1338.0,1341.0,Main Part,P8(Main)&P8(Oboe 1)&U(Oboe 2),U(Main)&P8(Flute 2)&P8(Oboe 2),P8(Main)&U(Flute 2)&P8(Oboe 1),,,P3(Bassoon 2),P3(Bassoon 1),,,,P8(Violoncello)&P8(Contrabass),,,,,,,,P8(Violin 2)&P3(Viola),P8(Violin 1)&P3(Viola),P3(Violin 1)&P3(Violin 2),P8(F Horn 4)&P8(Contrabass),P8(F Horn 4)&P8(Violoncello)
1341.0,1349.0,P8(Flute 2),P8(Flute 1),,,Main Part,,P3(Bassoon 2),P3(Bassoon 1),,,,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
1349.0,1362.0,,,,,,Main Part,P3(Bassoon 2),P3(Bassoon 1),U(Viola),,,,,,,,,,,P8(Violin 2),P8(Violin 1),U(F Horn 1),P8(Contrabass),P8(Violoncello)
1362.0,1382.0,,,,,,,,,P6(F Horn 2),P6(F Horn 1),,,,,,,,,,Main Part,P8(Main),,,
1382.0,1394.0,,,,,,,,,,,,,,,,,,,,Main Part,P8(Main),,,
1394.0,1442.0,,,,,,,,,,,,,,,P3(Tenor Trombone 2)&P6(Bass Trombone)&P3(Tuba),P3(Tenor Trombone 1)&P4(Bass Trombone)&P8(Tuba),P6(Tenor Trombone 1)&P4(Tenor Trombone 2)&P4(Tuba),P3(Tenor Trombone 1)&P8(Tenor Trombone 2)&P4(Bass Trombone),,Main Part,P8(Main),,,
1442.0,1446.0,P6(Flute 2)&U(Oboe 1)&P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P8(F Horn 3),P6(Flute 1)&P6(Oboe 1)&U(Oboe 2)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(F Horn 3),U(Flute 1)&P6(Flute 2)&P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P8(F Horn 3),P6(Flute 1)&U(Flute 2)&P6(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(F Horn 3),P8(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(A Clarinet 2)&U(F Horn 3),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1)&P6(F Horn 3),P8(F Horn 4),,,,P8(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&U(A Clarinet 1)&P6(A Clarinet 2),P8(Bassoon 1),,,P3(Tenor Trombone 2)&P6(Bass Trombone)&P3(Tuba),P3(Tenor Trombone 1)&P4(Bass Trombone)&P8(Tuba),P6(Tenor Trombone 1)&P4(Tenor Trombone 2)&P4(Tuba),P3(Tenor Trombone 1)&P8(Tenor Trombone 2)&P4(Bass Trombone),,P8(Violin 2),P8(Violin 1),,Main Part,
1446.0,1452.0,,,,,,,P8(Bassoon 2)&U(Main)&U(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Main)&P8(Viola)&U(Contrabass),U(Violoncello),,,Main Part,,,P3(Tenor Trombone 2)&P6(Bass Trombone)&P3(Tuba),P3(Tenor Trombone 1)&P4(Bass Trombone)&P8(Tuba),P6(Tenor Trombone 1)&P4(Tenor Trombone 2)&P4(Tuba),P3(Tenor Trombone 1)&P8(Tenor Trombone 2)&P4(Bass Trombone),,,,U(Bassoon 1)&P8(Bassoon 2)&U(Main)&P8(Contrabass),U(F Horn 1),P8(Bassoon 1)&U(Bassoon 2)&P8(Main)&P8(Viola)
1452.0,1466.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(A Clarinet 1)&P8(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),U(Main),,,P8(Contrabass),,,,,P8(Tuba),P8(Bass Trombone),,,,,Main Part,P8(F Horn 4)
1466.0,1474.0,Main Part,U(Main)&P8(A Clarinet 1)&P8(A Clarinet 2),U(Oboe 2)&P3(Bass Trombone)&P3(Tuba)&P8(Violin 1)&P3(Viola)&P3(Contrabass),U(Oboe 1)&P3(Bass Trombone)&P3(Tuba)&P8(Violin 1)&P3(Viola)&P3(Contrabass),P8(Main)&P8(Flute 2)&U(A Clarinet 2),P8(Main)&P8(Flute 2)&U(A Clarinet 1),,,,,,,,,P3(Tenor Trombone 2),P3(Tenor Trombone 1),P3(Oboe 1)&P3(Oboe 2)&P8(Tuba)&P3(Violin 1)&P5(Viola)&P8(Contrabass),P3(Oboe 1)&P3(Oboe 2)&P8(Bass Trombone)&P3(Violin 1)&P5(Viola)&U(Contrabass),,P8(Oboe 1)&P8(Oboe 2)&P3(Bass Trombone)&P3(Tuba)&P3(Viola)&P3(Contrabass),,P3(Oboe 1)&P3(Oboe 2)&P5(Bass Trombone)&P5(Tuba)&P3(Violin 1)&P5(Contrabass),,P3(Oboe 1)&P3(Oboe 2)&P8(Bass Trombone)&U(Tuba)&P3(Violin 1)&P5(Viola)
1474.0,1478.0,U(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Main),U(Flute 1)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Main),U(Oboe 2),U(Oboe 1),P8(Flute 1)&P8(Flute 2)&P8(A Clarinet 2)&P8(Main),P8(Flute 1)&P8(Flute 2)&P8(A Clarinet 1)&U(Main),P8(Bassoon 2),P8(Bassoon 1),P8(F Trumpet 1),,,,P8(F Horn 1),Main Part,P3(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba),P3(Tenor Trombone 1)&P5(Bass Trombone)&P5(Tuba),P3(Tenor Trombone 1)&P5(Tenor Trombone 2)&P8(Tuba),P3(Tenor Trombone 1)&P5(Tenor Trombone 2)&P8(Bass Trombone),,,P5(Viola),P5(Violin 2),,
1478.0,1482.0,U(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(F Horn 2)&P5(F Horn 3)&P8(F Trumpet 2)&P5(Violin 2)&P8(Viola),U(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(F Horn 2)&P5(F Horn 3)&P8(F Trumpet 2)&P5(Violin 2)&P8(Viola),P5(Flute 1)&P5(Flute 2)&U(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(F Horn 2)&P8(F Horn 3)&P5(F Trumpet 2)&P8(Violin 2)&P5(Viola),P5(Flute 1)&P5(Flute 2)&U(Oboe 1)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(F Horn 2)&P8(F Horn 3)&P5(F Trumpet 2)&P8(Violin 2)&P5(Viola),U(Flute 1)&U(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 2)&P8(F Horn 2)&P5(F Horn 3)&P8(F Trumpet 2)&P5(Violin 2)&P8(Viola),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 1)&P8(F Horn 2)&P5(F Horn 3)&U(F Trumpet 2)&P5(Violin 2)&P8(Viola),P8(Bassoon 2)&U(F Horn 4)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(F Horn 4)&P8(Violoncello)&U(Contrabass),,P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P5(F Horn 3)&P8(F Trumpet 2)&P5(Violin 2)&P8(Viola),P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(F Horn 2)&P5(F Trumpet 2)&U(Violin 2)&P5(Viola),U(Bassoon 1)&P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),Main Part,P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P8(F Horn 2)&P5(F Horn 3)&P5(Violin 2)&P8(Viola),,,,,,,P5(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(F Horn 2)&U(F Horn 3)&P5(F Trumpet 2)&P5(Viola),P8(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(F Horn 2)&P5(F Horn 3)&P8(F Trumpet 2)&P5(Violin 2),U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 4)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(F Horn 4)&P8(Violoncello)
1482.0,1488.0,Main Part,U(Main)&U(A Clarinet 1)&P8(A Clarinet 2),U(Oboe 2)&P2(Bassoon 1)&P2(Bassoon 2),U(Oboe 1)&P2(Bassoon 1)&P2(Bassoon 2),U(Main)&U(Flute 2)&P8(A Clarinet 2),P8(Main)&P8(Flute 2)&P8(A Clarinet 1),P2(Oboe 1)&P2(Oboe 2)&P8(Bassoon 2),P2(Oboe 1)&P2(Oboe 2)&P8(Bassoon 1),P4(F Horn 2)&P2(F Horn 3)&P8(F Horn 4),P4(F Horn 1)&P5(F Horn 3)&P4(F Horn 4),P2(F Horn 1)&P5(F Horn 2)&P2(F Horn 4),P8(F Horn 1)&P4(F Horn 2)&P2(F Horn 3),,,P4(Tenor Trombone 2),P4(Tenor Trombone 1),P8(Tuba),P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
1488.0,1506.0,P8(A Clarinet 1),P8(A Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,,,,,,,,,P8(Tuba)&P8(Violoncello)&P8(Contrabass),P8(Bass Trombone)&P8(Violoncello)&P8(Contrabass),,Main Part,,,P8(Bass Trombone)&P8(Tuba)&P8(Contrabass),P8(Bass Trombone)&P8(Tuba)&P8(Violoncello)
1506.0,1516.0,P8(A Clarinet 1),U(Oboe 1)&P4(Oboe 2)&P8(A Clarinet 2),U(Flute 2)&P4(Oboe 2)&P8(A Clarinet 2),P4(Flute 2)&P4(Oboe 1)&P4(A Clarinet 2),P8(Flute 1),P8(Flute 2)&P8(Oboe 1)&P4(Oboe 2),,,,,U(F Horn 4),U(F Horn 3),P5(F Trumpet 2),P5(F Trumpet 1),P5(Tenor Trombone 2)&P2(Bass Trombone)&P2(Tuba)&P2(Timpani),P5(Tenor Trombone 1)&P4(Bass Trombone)&P4(Tuba)&P4(Timpani),P2(Tenor Trombone 1)&P4(Tenor Trombone 2)&P8(Tuba),P2(Tenor Trombone 1)&P4(Tenor Trombone 2)&P8(Bass Trombone),P2(Tenor Trombone 1)&P4(Tenor Trombone 2),Main Part,,,P8(Contrabass),P8(Violoncello)
1516.0,1524.0,,,,,,,,,,,P8(F Horn 4),P8(F Horn 3),Main Part,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1524.0,1541.0,,,,,,,Main Part,,,,P8(F Horn 4),P8(F Horn 3),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1541.0,1554.0,,,,,U(A Clarinet 2),U(A Clarinet 1),,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1554.0,1570.0,,,,,,,,,,,,,,,,,,,,,,,Main Part,
1570.0,1606.0,,,,,Main Part,,,,P3(F Horn 2),P3(F Horn 1),,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1606.0,1610.0,,,,,,,P8(Main)&P3(F Horn 2)&U(Timpani)&P8(Violin 1)&P3(Viola)&P5(Violoncello)&P5(Contrabass),,Main Part,P3(Bassoon 1)&P3(Main)&P3(Timpani)&P3(Violin 1)&U(Viola)&P3(Violoncello)&P3(Contrabass),,,,,,,,,U(Bassoon 1)&P8(Main)&P3(F Horn 2)&P8(Violin 1)&P3(Viola)&P5(Violoncello)&P5(Contrabass),P8(Bassoon 1)&U(Main)&P3(F Horn 2)&P8(Timpani)&P3(Viola)&P5(Violoncello)&P5(Contrabass),,P3(Bassoon 1)&P3(Main)&U(F Horn 2)&P3(Timpani)&P3(Violin 1)&P3(Violoncello)&P3(Contrabass),P5(Bassoon 1)&P5(Main)&P3(F Horn 2)&P5(Timpani)&P5(Violin 1)&P3(Viola)&P8(Contrabass),P5(Bassoon 1)&P5(Main)&P3(F Horn 2)&P5(Timpani)&P5(Violin 1)&P3(Viola)&P8(Violoncello)
1610.0,1620.0,,,,,,,U(Timpani),,P3(F Horn 2),P3(F Horn 1),,,,,,,,,U(Bassoon 1),P3(Viola),,P3(Violin 1),Main Part,P8(Main)
1620.0,1630.0,,,,,,,,,Main Part,,,,,,,,,,,P3(Viola),,P3(Violin 1),P8(Contrabass),P8(Violoncello)
1630.0,1634.0,,,U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Timpani)&U(Violin 2),,U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Timpani)&U(Violin 2),,P8(Oboe 1)&P8(A Clarinet 1)&P8(Bassoon 2)&U(Timpani)&P8(Violin 2),P8(Oboe 1)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Timpani)&P8(Violin 2),P3(F Horn 2)&P8(F Horn 3)&P8(Violin 1)&P3(Viola),P3(F Horn 1)&P3(F Horn 3)&P3(Violin 1)&P8(Viola),P8(F Horn 1)&P3(F Horn 2)&P8(Violin 1)&P3(Viola),,,,,,,,P8(Oboe 1)&P8(A Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2)&P8(Violin 2),P8(F Horn 1)&P3(F Horn 2)&P8(F Horn 3)&P3(Viola),U(Oboe 1)&U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Timpani),P3(F Horn 1)&P8(F Horn 2)&P3(F Horn 3)&P3(Violin 1),Main Part,P8(Main)
1634.0,1642.0,,,Main Part,,U(Main)&U(Violin 2),,P8(Bassoon 2)&U(Timpani)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Timpani)&P8(Violoncello)&U(Contrabass),U(Violin 1),,,,,,,,,,U(Bassoon 1)&P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(F Horn 1),U(Main)&U(A Clarinet 1),,U(Bassoon 1)&P8(Bassoon 2)&U(Timpani)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Timpani)&P8(Violoncello)
