measure,beat,label,partName,partNum
239,1,b,Ob,1
240,1,b,Vln,8
241,1,b,Cl,2
242,1,b,Vla,10
243,1,a',Vc,11
246,2,a',Ob,1
249,1.25,r,Vln,8
252,2,a',Ob,1
255,1.25,r,Vln,8
258,2.5,a',Vln,8
263,1,b,Vln,8
267,1.75,c,Vln,8
271,1,c,Vln,8
271,2,c,Ob,1
272,2.5,d,Vla,10
273,2.5,d,Cl,2
274,2.5,d,Ob,1
275,2.5,d,Fl,0
277,1,e,Ob,1
277,2,e,Fl,0
278,1,e,Ob,1
278,2,e,Fl,0
279,1,e,Ob,1
279,2,e,Fl,0
280,1,e,Ob,1
280,2,e,Fl,0
281,1,b,Vln,8
283,1,b,Vln,8
285,1.75,c,Vln,8
289,1.5,h,Vln,8
293,1.5,h,Vln,8
297,1,i,Hn,4
301,1,j,Vc,11
309,1,j,Vln,8
317,1,i,Hn,5
321,1,i,Ob,1
323,2.5,i,Vln,8
324,1.5,i,Fl,0
324,2.5,i,Vln,8
325,1.5,i,Fl,0
325,2.5,i,Vln,8
326,1.5,i,Fl,0
326,2.5,i,Vln,8
327,1.5,i,Fl,0
327,2.5,i,Vln,8
328,1.5,i,Fl,0
328,2.5,i,Vln,8
329,1.5,i,Fl,0
329,2.5,i,Vln,8
330,1.5,i,Fl,0
330,2.5,i,Vln,8
331,1.5,k,Fl,0
334,2.5,l,Vln,8
339,1,m,Hn,4
343,1,l,Cl,2
345,1,l,Cl,2
346,2,n,Ob,1
347,1,n,Fl,0
347,2,n,Ob,1
348,1,n,Fl,0
348,2,n,Ob,1
349,1,n,Fl,0
349,2,n,Ob,1
350,1,n
n,Fl,0
350,2,n,Ob,1
351,1.25,r,Vla,10
351,2.5,r,Vln,8
354,1.75,i,Hn,4
356,1.75,i,Hn,4
358,1.25,r,Vln,8
360,1,r',Vln,9
360,1.75,r',Vln,8
360,2.75,r',Vln,9
361,1.75,r',Vln,8
361,2.75,r',Vln,9
362,1.75,r',Vln,8
363,1.75,i,Vln,8
365,1.75,i,Vln,8
367,2,i,Fl,0
368,2.88,i,Hn,4
369,1.75,i,Vln,8
369,2.75,i,Vc,11
370,1.75,i,Vln,8
370,2.75,i,Vc,11
371,1.75,i',Vln,8
373,1.75,i,Vln,8
373,2.75,i,Hn,5
374,1.75,i,Vln,8
374,2.75,i,Hn,5
375,1.75,i,Vln,8
377,1,i,Ob,1
378,1.75,i,Fl,0
379,1,i,Ob,1
380,1.75,i,Fl,0
380,2.67,s,Vln,8
384,1.75,i,Fl,0
384,2.67,s,Vln,8
392,1.25,t,Vln,8
397,2,u,Vln,8
402,1,b,Vln,8
406,1.75,c,Vln,8
410,1.75,c,Vln,8
414,1.5,u,Vln,8
418,1.5,u,Vln,8
422,1.25,t,Vln,8
428,2,u,Ob,1
429,1,u,Vln,8
430,2,v,Vln,8
431,1,v,Hn,4
431,2,v,Vln,8
432,1,v,Hn,4
432,2,v,Vln,8
433,1,v,Vln,8
433,2,v,Vln,8
434,1,v,Vln,8
436,1,w,Vln,8
