qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb (alto) Horn 1,Bb (alto) Horn 2,Eb Horn 1,Eb Horn 4,Bb Trumpet 1,Bb Trumpet 2,"F, Bb Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
498.0,500.0,,,,,,,,,Main Part,P8(Main)&U(Eb Horn 1)&U(Eb Horn 4)&P8(Bb Trumpet 1)&U(Bb Trumpet 2),P8(Main)&U(Bb (alto) Horn 2)&U(Eb Horn 4)&P8(Bb Trumpet 1)&U(Bb Trumpet 2),P8(Main)&U(Bb (alto) Horn 2)&U(Eb Horn 1)&P8(Bb Trumpet 1)&U(Bb Trumpet 2),U(Main)&P8(Bb (alto) Horn 2)&P8(Eb Horn 1)&P8(Eb Horn 4)&P8(Bb Trumpet 2),P8(Main)&U(Bb (alto) Horn 2)&U(Eb Horn 1)&U(Eb Horn 4)&P8(Bb Trumpet 1),,,,,,
500.0,512.0,,,,,,,,,P8(Bb (alto) Horn 2),P8(Bb (alto) Horn 1),P8(Bb Trumpet 1)&U(Bb Trumpet 2),,P8(Eb Horn 1)&P8(Bb Trumpet 2),U(Eb Horn 1)&P8(Bb Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
512.0,525.5,Main Part,,,,,P6(Bassoon 2),,P6(Bb Clarinet 2),P8(Bb (alto) Horn 2),P8(Bb (alto) Horn 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
525.5,536.0,Main Part,,P8(Main),,P8(Bb Clarinet 2),P8(Bb Clarinet 1),U(Bassoon 2)&P8(Bb (alto) Horn 1)&P8(Bb (alto) Horn 2),U(Bassoon 1)&P8(Bb (alto) Horn 1)&P8(Bb (alto) Horn 2),P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (alto) Horn 2),P8(Bassoon 1)&P8(Bassoon 2)&P8(Bb (alto) Horn 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
536.0,547.5,Main Part,P8(Oboe 2)&P8(Eb Horn 1)&P8(Eb Horn 4)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Main),P8(Flute 2)&P8(Eb Horn 1)&P8(Eb Horn 4)&U(Bb Trumpet 1)&U(Bb Trumpet 2),,,,,P8(Bb (alto) Horn 2),P8(Bb (alto) Horn 1),P8(Flute 2)&P8(Oboe 2)&P8(Eb Horn 4)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Flute 2)&P8(Oboe 2)&P8(Eb Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Flute 2)&U(Oboe 2)&P8(Eb Horn 1)&P8(Eb Horn 4)&U(Bb Trumpet 2),P8(Flute 2)&U(Oboe 2)&P8(Eb Horn 1)&P8(Eb Horn 4)&U(Bb Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
547.5,558.0,Main Part,U(Main)&P8(Bb Clarinet 2)&P8(Violin 2),,P8(Bb Clarinet 1),P8(Oboe 2),P8(Main)&P8(Flute 2)&P8(Violin 2),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),,P8(Eb Horn 4)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),,P8(Bb (alto) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Bb (alto) Horn 2)&P8(Eb Horn 4)&P8(Bb Trumpet 2),P8(Bb (alto) Horn 2)&P8(Eb Horn 4)&P8(Bb Trumpet 1),,,P8(Main)&P8(Flute 2)&P8(Bb Clarinet 2),,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
558.0,560.0,P5(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,,,P5(Flute 1)&P2(Bb Clarinet 2)&P2(Violin 1)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P4(Flute 1)&P2(Bb Clarinet 1)&U(Violin 1)&P4(Viola)&P4(Violoncello)&P4(Contrabass),,,Main Part,P8(Main)&U(Eb Horn 1)&P8(Bb Trumpet 1)&U(Bb Trumpet 2),P8(Main)&U(Bb (alto) Horn 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2),,U(Main)&P8(Bb (alto) Horn 2)&P8(Eb Horn 1)&P8(Bb Trumpet 2),P8(Main)&U(Bb (alto) Horn 2)&U(Eb Horn 1)&P8(Bb Trumpet 1),,P4(Flute 1)&P2(Bb Clarinet 1)&U(Bb Clarinet 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),,P8(Flute 1)&P5(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Violin 1)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P5(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Violin 1)&P8(Viola)&P8(Contrabass),P8(Flute 1)&P5(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Violin 1)&P8(Viola)&P8(Violoncello)
560.0,572.0,,,,,,,,,P8(Bb (alto) Horn 2),P8(Bb (alto) Horn 1),P8(Bb Trumpet 1)&U(Bb Trumpet 2),,P8(Eb Horn 1)&P8(Bb Trumpet 2),U(Eb Horn 1)&P8(Bb Trumpet 1),,Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
572.0,584.0,,,,,,,,,P8(Bb (alto) Horn 2),P8(Bb (alto) Horn 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
584.0,596.0,Main Part,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
596.0,602.0,P8(Bb Clarinet 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bb Clarinet 1),,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
602.0,608.0,Main Part,,,,,,,,P8(Bb (alto) Horn 2),P8(Bb (alto) Horn 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
608.0,618.5,P8(Bb (alto) Horn 2),,P8(Bb Clarinet 1),,P8(Oboe 1),,P8(Main),,,P8(Flute 1),,"P8(F, Bb Timpani)",,,P8(Eb Horn 4),Main Part,,,P8(Contrabass),P8(Violoncello)
618.5,629.0,,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
629.0,635.25,Main Part,,,,,,P8(Main),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
635.25,638.25,P8(Bassoon 1),,,,,,P8(Flute 1),,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
638.25,641.25,Main Part,,,,,P6(Bb (alto) Horn 1)&P3(Bb (alto) Horn 2),P8(Main),,P6(Bb Clarinet 2)&P4(Bb (alto) Horn 2),P3(Bb Clarinet 2)&P4(Bb (alto) Horn 1),,,,,,,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
641.25,644.25,P8(Bassoon 1),,,,,,P8(Flute 1),,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
644.25,656.0,Main Part,,,,,,,,,,,,"P4(Bb Trumpet 2)&P4(F, Bb Timpani)","P4(Bb Trumpet 1)&P8(F, Bb Timpani)",P4(Bb Trumpet 1)&P8(Bb Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
656.0,668.0,,,,,Main Part,,,,,,P8(Eb Horn 4),P8(Eb Horn 1),,"P8(F, Bb Timpani)",P8(Bb Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
