qstamp,tstamp,measure,beat,Oboe d’amore 1,Oboe d’amore 2,Bass,Continuo
17.0,8.5,6,2.3333,E4,E5,r,r
17.5,8.75,6,2.6667,E-5,A4,r,r
18.0,9.0,7,1.0,E5,G#4,r,B2
18.5,9.25,7,1.3333,G#4,B4,r,B2
19.0,9.5,7,1.6667,A4,C#5,r,r
19.5,9.75,7,2.0,F#4,E-5,r,r
20.0,10.0,7,2.3333,E4,E5,r,r
20.5,10.25,7,2.6667,D5,r,r,r
21.0,10.5,8,1.0,C#5,r,r,A2
21.5,10.75,8,1.3333,C#5,r,r,A3
22.0,11.0,8,1.6667,C#5,E4,r,G#3
22.5,11.25,8,2.0,C#5,A4,r,F#3
23.0,11.5,8,2.3333,C#5,A4,r,E-3
23.5,11.75,8,2.6667,F#4,A4,r,E3
24.0,12.0,9,1.0,B4,A4,r,E-3
24.5,12.25,9,1.3333,B4,A4,r,C#3
25.0,12.5,9,1.6667,B4,E-4,r,B2
25.5,12.75,9,2.0,B4,G#4,r,E3
26.0,13.0,9,2.3333,B4,G#4,r,F#3
26.5,13.25,9,2.6667,B3,B3,r,G#3
27.0,13.5,10,1.0,C#4,C#4,r,A3
27.5,13.75,10,1.3333,E-4,E-4,r,A3
28.0,14.0,10,1.6667,E4,E4,r,r
28.5,14.25,10,2.0,G#4,G#4,r,B3
29.0,14.5,10,2.3333,F#4,F#4,r,B3
29.5,14.75,10,2.6667,E4,E4,r,r
30.0,15.0,11,1.0,E4,E4,r,C#4
30.5,15.25,11,1.3333,B4,B4,r,C#4
31.0,15.5,11,1.6667,G#4,G#4,r,r
31.5,15.75,11,2.0,E4,E4,r,G#2
32.0,16.0,11,2.3333,B4,B4,r,G#2
32.5,16.25,11,2.6667,B3,B3,r,r
33.0,16.5,12,1.0,C#4,C#4,r,A2
33.5,16.75,12,1.3333,E-4,E-4,r,A2
34.0,17.0,12,1.6667,E4,E4,r,r
34.5,17.25,12,2.0,G#4,G#4,r,B2
35.0,17.5,12,2.3333,F#4,F#4,r,B2
35.5,17.75,12,2.6667,E4,E4,r,r
36.0,18.0,13,1.0,E4,E4,r,E2
36.5,18.25,13,1.3333,E4,E4,r,E3
37.0,18.5,13,1.6667,E4,E4,r,D3
37.5,18.75,13,2.0,r,r,A3,C#3
37.75,18.875,13,2.1667,r,r,A3,D3
38.0,19.0,13,2.3333,r,r,A3,C#3
38.5,19.25,13,2.6667,r,r,B3,B2
39.0,19.5,14,1.0,r,r,C#4,A2
39.5,19.75,14,1.3333,r,r,D4,A2
40.0,20.0,14,1.6667,r,r,E4,C#3
40.5,20.25,14,2.0,r,r,D4,B2
41.0,20.5,14,2.3333,r,r,C#4,B2
41.5,20.75,14,2.6667,r,r,B3,E3
42.0,21.0,15,1.0,r,r,C#4,A3
42.5,21.25,15,1.3333,r,r,D4,B3
43.0,21.5,15,1.6667,r,r,E4,C#4
43.5,21.75,15,2.0,r,r,D4,B3
44.0,22.0,15,2.3333,r,r,C#4,A3
44.5,22.25,15,2.6667,r,r,B3,G#3
45.0,22.5,16,1.0,r,r,C#4,A3
45.25,22.625,16,1.1667,r,r,D4,A3
45.5,22.75,16,1.3333,r,r,E4,A3
46.0,23.0,16,1.6667,r,r,A3,C#3
46.5,23.25,16,2.0,r,r,D4,B2
47.0,23.5,16,2.3333,r,r,C#4,B2
47.25,23.625,16,2.5,r,r,B3,B2
47.5,23.75,16,2.6667,r,r,C#4,A2
47.75,23.875,16,2.8333,r,r,A3,A2
48.0,24.0,17,1.0,E5,r,B3,E3
48.5,24.25,17,1.3333,E5,r,B3,F#3
49.0,24.5,17,1.6667,E5,r,E3,G#3
49.5,24.75,17,2.0,E5,E4,r,G#3
50.0,25.0,17,2.3333,F#5,E4,r,A3
50.5,25.25,17,2.6667,G#5,E4,r,B3
51.0,25.5,18,1.0,A5,E4,r,C#3
51.5,25.75,18,1.3333,C#5,E4,r,C#3
52.0,26.0,18,1.6667,D5,F#4,r,r
52.5,26.25,18,2.0,B4,G#4,r,r
53.0,26.5,18,2.3333,A4,A4,r,r
53.5,26.75,18,2.6667,G#5,D4,r,r
54.0,27.0,19,1.0,A5,C#4,r,F#3
54.5,27.25,19,1.3333,C#5,E4,r,F#3
55.0,27.5,19,1.6667,D5,F#4,r,F#3
55.5,27.75,19,2.0,B4,G#4,r,r
56.0,28.0,19,2.3333,A4,A4,r,r
56.5,28.25,19,2.6667,G5,r,r,E3
57.0,28.5,20,1.0,F#5,r,r,D3
57.5,28.75,20,1.3333,F#5,r,r,D4
58.0,29.0,20,1.6667,F#5,A4,r,C#4
58.5,29.25,20,2.0,F#5,D5,r,B3
59.0,29.5,20,2.3333,F#5,D5,r,F#3
59.5,29.75,20,2.6667,B4,D5,r,A3
60.0,30.0,21,1.0,E5,D5,r,G#3
60.5,30.25,21,1.3333,E5,D5,r,F#3
61.0,30.5,21,1.6667,E5,G#4,r,E3
61.5,30.75,21,2.0,E5,C#5,r,A3
62.0,31.0,21,2.3333,E5,C#5,r,B3
62.5,31.25,21,2.6667,E4,E4,r,C#4
63.0,31.5,22,1.0,F#4,F#4,r,D3
63.5,31.75,22,1.3333,G#4,G#4,r,D3
64.0,32.0,22,1.6667,A4,A4,r,r
64.5,32.25,22,2.0,C#5,C#5,r,E3
65.0,32.5,22,2.3333,B4,B4,r,E3
65.5,32.75,22,2.6667,A4,A4,r,r
66.0,33.0,23,1.0,A4,A4,r,F#3
66.5,33.25,23,1.3333,E5,E5,r,F#3
67.0,33.5,23,1.6667,C#5,C#5,r,r
67.5,33.75,23,2.0,A4,A4,r,C#3
68.0,34.0,23,2.3333,E5,E5,r,C#3
68.5,34.25,23,2.6667,E4,E4,r,r
69.0,34.5,24,1.0,F#4,F#4,r,D3
69.5,34.75,24,1.3333,G#4,G#4,r,D3
70.0,35.0,24,1.6667,A4,A4,r,r
70.5,35.25,24,2.0,C#5,C#5,r,E3
71.0,35.5,24,2.3333,B4,B4,r,E3
71.5,35.75,24,2.6667,A4,A4,r,r
72.0,36.0,25,1.0,A4,A4,r,A3
72.25,36.125,25,1.1667,A4,A4,r,G#3
72.5,36.25,25,1.3333,A4,A4,r,A3
73.0,36.5,25,1.6667,r,r,r,E3
73.5,36.75,25,2.0,A4,E4,A3,C#3
74.5,37.25,25,2.6667,B4,E4,G#3,E3
75.0,37.5,26,1.0,C#5,E4,A3,A2
75.5,37.75,26,1.3333,D5,E4,B3,A2
76.0,38.0,26,1.6667,E5,A4,C#4,A3
76.5,38.25,26,2.0,D5,F#4,B3,D3
77.0,38.5,26,2.3333,C#5,F#4,A3,D3
77.5,38.75,26,2.6667,B4,B4,G#3,E3
78.0,39.0,27,1.0,C#5,A4,A3,A2
78.5,39.25,27,1.3333,D5,B4,A3,A2
79.0,39.5,27,1.6667,E5,C#5,E3,A3
79.5,39.75,27,2.0,D5,B4,F#3,D3
80.0,40.0,27,2.3333,C#5,C#5,A3,D3
80.5,40.25,27,2.6667,B4,D5,G#3,E3
81.0,40.5,28,1.0,C#5,C#5,A3,A2
81.5,40.75,28,1.3333,E5,D5,B3,A2
82.0,41.0,28,1.6667,A5,E5,C#4,C#3
82.5,41.25,28,2.0,D5,G#4,B3,B2
83.0,41.5,28,2.3333,B4,B4,G#3,B2
83.5,41.75,28,2.6667,C#5,E4,A3,A2
84.0,42.0,29,1.0,B4,G#4,E3,E3
84.25,42.125,29,1.1667,B4,G#4,E3,E-3
84.5,42.25,29,1.3333,B4,G#4,E3,E3
85.0,42.5,29,1.6667,B4,G#4,r,B2
85.5,42.75,29,2.0,r,r,B3,E2
86.0,43.0,29,2.3333,r,r,C#4,E3
86.5,43.25,29,2.6667,r,r,D4,D3
87.0,43.5,30,1.0,r,r,E4,C#3
87.5,43.75,30,1.3333,r,r,E4,E3
88.0,44.0,30,1.6667,r,r,E3,G#3
88.5,44.25,30,2.0,E5,r,r,C#4
89.0,44.5,30,2.3333,E5,r,r,B-3
89.5,44.75,30,2.6667,E5,r,r,B3
90.0,45.0,31,1.0,E5,C#5,r,B-3
90.5,45.25,31,1.3333,F#5,C#5,r,B-3
91.0,45.5,31,1.6667,G5,C#5,r,r
91.5,45.75,31,2.0,F#5,C#5,B-3,F#3
92.0,46.0,31,2.3333,F#5,D5,G#3,F#3
92.5,46.25,31,2.6667,F#5,E5,F#3,r
93.0,46.5,32,1.0,F#5,D5,B3,B3
93.5,46.75,32,1.3333,G5,D5,B3,B3
94.0,47.0,32,1.6667,E5,D5,B2,B2
94.5,47.25,32,2.0,D5,D5,F#3,B3
95.0,47.5,32,2.3333,D5,E5,G#3,B3
95.5,47.75,32,2.6667,D5,C#5,A3,A3
96.0,48.0,33,1.0,D5,B4,B3,G#3
96.5,48.25,33,1.3333,E5,B4,B3,G#3
97.0,48.5,33,1.6667,F#5,B4,A3,r
97.5,48.75,33,2.0,E5,B4,G#3,E3
98.0,49.0,33,2.3333,E5,C#5,F#3,E3
98.5,49.25,33,2.6667,E5,D5,E3,r
99.0,49.5,34,1.0,E5,C#5,A3,A3
99.5,49.75,34,1.3333,F#5,C#5,A3,A3
100.0,50.0,34,1.6667,D5,C#5,A2,A2
100.5,50.25,34,2.0,C#5,C#5,E3,A3
101.0,50.5,34,2.3333,C#5,D5,F#3,A3
101.5,50.75,34,2.6667,C#5,B4,G#3,G#3
102.0,51.0,35,1.0,C#5,A4,A3,F#3
102.5,51.25,35,1.3333,E-5,B4,F#3,F#3
103.0,51.5,35,1.6667,E5,C#5,G#3,E3
103.5,51.75,35,2.0,A5,B4,F#3,E-3
103.75,51.875,35,2.1667,G#5,B4,F#3,E-3
104.0,52.0,35,2.3333,F#5,B4,E-3,E-3
104.5,52.25,35,2.6667,G#5,B4,E3,E3
105.0,52.5,36,1.0,E-5,B4,B2,B2
105.5,52.75,36,1.3333,E5,G#4,B2,B2
106.0,53.0,36,1.6667,F#5,A4,r,B2
106.5,53.25,36,2.0,B4,E-4,F#3,B2
107.0,53.5,36,2.3333,C#5,E-4,A3,A2
107.5,53.75,36,2.6667,E-5,r,G#3,B2
108.0,54.0,37,1.0,E5,r,G#3,C#3
108.5,54.25,37,1.3333,G#4,B4,B3,C#3
109.0,54.5,37,1.6667,A4,C#5,A3,r
109.5,54.75,37,2.0,F#4,E-5,A3,r
110.0,55.0,37,2.3333,E4,E5,C#4,r
110.5,55.25,37,2.6667,E-5,A4,B3,r
111.0,55.5,38,1.0,E5,G#4,B3,B2
111.5,55.75,38,1.3333,G#4,B4,B3,B2
112.0,56.0,38,1.6667,A4,C#5,B3,r
112.5,56.25,38,2.0,F#4,E-5,B3,r
113.0,56.5,38,2.3333,E4,E5,B3,r
113.5,56.75,38,2.6667,D5,r,B3,r
114.0,57.0,39,1.0,C#5,r,B3,A2
114.5,57.25,39,1.3333,C#5,r,E3,A3
115.0,57.5,39,1.6667,C#5,E4,G#3,G#3
115.5,57.75,39,2.0,C#5,F#4,A3,F#3
116.0,58.0,39,2.3333,C#5,F#4,A3,E-3
116.5,58.25,39,2.6667,F#4,F#4,A3,E3
117.0,58.5,40,1.0,B4,F#4,A3,E-3
117.5,58.75,40,1.3333,B4,A4,E-3,E-3
118.0,59.0,40,1.6667,B4,E-4,F#3,B2
118.5,59.25,40,2.0,B4,E4,G#3,E3
119.0,59.5,40,2.3333,E5,E4,G#3,E3
119.5,59.75,40,2.6667,G#4,E4,G#3,D3
120.0,60.0,41,1.0,A4,E4,G#3,C#3
120.5,60.25,41,1.3333,A4,A4,C#4,F#3
120.75,60.375,41,1.5,A4,A4,B3,F#3
121.0,60.5,41,1.6667,A4,F#4,A3,E3
121.25,60.625,41,1.8333,A4,F#4,G#3,E3
121.5,60.75,41,2.0,A4,C4,F#3,E-3
122.0,61.0,41,2.3333,G#4,E-4,F#3,C3
122.5,61.25,41,2.6667,A4,C#4,F#3,C#3
123.0,61.5,42,1.0,G#4,E-4,F#3,C3
123.5,61.75,42,1.3333,G#4,E-4,C3,C3
124.0,62.0,42,1.6667,G#4,E-4,E-3,G#2
124.5,62.25,42,2.0,G#4,E-4,E3,C#3
125.0,62.5,42,2.3333,F#4,A4,E3,E-3
125.5,62.75,42,2.6667,E4,G#4,E3,E3
126.0,63.0,43,1.0,A4,F#4,E3,F#3
126.5,63.25,43,1.3333,A4,F#4,E-3,G#3
127.0,63.5,43,1.6667,A4,F#4,C#3,A3
127.5,63.75,43,2.0,A4,F#4,E-3,B2
128.0,64.0,43,2.3333,G#4,B4,E3,C#3
128.5,64.25,43,2.6667,F#4,A4,F#3,E-3
129.0,64.5,44,1.0,B4,G#4,G#3,E3
129.5,64.75,44,1.3333,B4,G#4,A3,F#3
130.0,65.0,44,1.6667,B4,G#4,B3,G#3
130.5,65.25,44,2.0,B4,G#4,C#4,A3
131.0,65.5,44,2.3333,A4,F#4,E-4,A3
131.5,65.75,44,2.6667,G#4,E4,E4,A3
132.0,66.0,45,1.0,F#4,B4,E-4,A3
132.5,66.25,45,1.3333,F#4,B4,B3,G#3
133.0,66.5,45,1.6667,F#4,B4,C#4,F#3
133.5,66.75,45,2.0,r,r,B3,G#3
134.0,67.0,45,2.3333,r,r,F#3,B3
134.5,67.25,45,2.6667,B3,B3,G#3,E3
135.0,67.5,46,1.0,C#4,C#4,E3,A3
135.5,67.75,46,1.3333,E-4,E-4,E3,A3
136.0,68.0,46,1.6667,E4,E4,E3,r
136.5,68.25,46,2.0,G#4,G#4,E3,B3
137.0,68.5,46,2.3333,F#4,F#4,A3,B3
137.5,68.75,46,2.6667,E4,E4,G#3,r
138.0,69.0,47,1.0,E4,E4,G#3,C#4
138.5,69.25,47,1.3333,B4,B4,E-4,C#4
139.0,69.5,47,1.6667,G#4,G#4,E4,r
139.5,69.75,47,2.0,E4,E4,B3,G#2
140.0,70.0,47,2.3333,B4,B4,B3,G#2
140.5,70.25,47,2.6667,B3,B3,B3,r
141.0,70.5,48,1.0,C#4,C#4,B3,A2
141.5,70.75,48,1.3333,E-4,E-4,E-3,A2
142.0,71.0,48,1.6667,E4,E4,E3,r
142.5,71.25,48,2.0,G#4,G#4,G#3,B2
143.0,71.5,48,2.3333,F#4,F#4,F#3,B2
143.5,71.75,48,2.6667,E4,E4,E3,r
144.0,72.0,49,1.0,E4,E4,E3,E3
144.25,72.125,49,1.1667,E4,E4,E3,E-3
144.5,72.25,49,1.3333,G#4,E4,E3,E3
145.0,72.5,49,1.6667,B4,G#4,r,B2
145.5,72.75,49,2.0,E5,B4,r,G#2
146.0,73.0,49,2.3333,B4,E4,r,G#2
146.5,73.25,49,2.6667,E-5,F#4,r,F#2
147.0,73.5,50,1.0,E5,G#4,r,E2
147.5,73.75,50,1.3333,F#5,A4,r,E2
148.0,74.0,50,1.6667,G#5,B4,r,E3
148.5,74.25,50,2.0,F#5,A4,r,A2
149.0,74.5,50,2.3333,E5,G#4,r,A2
149.5,74.75,50,2.6667,E-5,F#4,r,B2
150.0,75.0,51,1.0,E5,G#4,r,E3
150.5,75.25,51,1.3333,F#5,A4,r,E3
151.0,75.5,51,1.6667,G#5,B4,r,E4
151.5,75.75,51,2.0,F#5,A4,r,A3
152.0,76.0,51,2.3333,E5,G#4,r,A3
152.5,76.25,51,2.6667,E-5,F#4,r,B3
153.0,76.5,52,1.0,E5,G#4,r,E3
153.5,76.75,52,1.3333,G#5,B4,r,E3
154.0,77.0,52,1.6667,B4,E5,r,G#3
154.5,77.25,52,2.0,E-5,A4,r,F#3
155.0,77.5,52,2.3333,E-5,F#4,r,F#3
155.5,77.75,52,2.6667,E5,G#4,r,E3
156.0,78.0,53,1.0,E-5,F#4,r,B2
156.5,78.25,53,1.3333,E5,G#4,r,B2
157.0,78.5,53,1.6667,C#5,E4,r,F#3
157.5,78.75,53,2.0,B4,E-4,r,B3
158.0,79.0,53,2.3333,C#5,E-4,r,B3
158.5,79.25,53,2.6667,E-5,r,r,A3
159.0,79.5,54,1.0,E5,r,r,G#3
159.5,79.75,54,1.3333,G#4,B4,r,G#3
160.0,80.0,54,1.6667,A4,C#5,r,r
160.5,80.25,54,2.0,F#4,E-5,r,r
161.0,80.5,54,2.3333,E4,E5,r,r
161.5,80.75,54,2.6667,E-5,A4,r,r
162.0,81.0,55,1.0,E5,G#4,r,C#3
162.5,81.25,55,1.3333,G#4,B4,r,C#3
163.0,81.5,55,1.6667,A4,C#5,r,r
163.5,81.75,55,2.0,F#4,E-5,r,r
164.0,82.0,55,2.3333,E4,E5,r,r
164.5,82.25,55,2.6667,D5,r,r,B2
165.0,82.5,56,1.0,C#5,r,r,A2
165.5,82.75,56,1.3333,C#5,r,r,A3
166.0,83.0,56,1.6667,C#5,E4,r,G#3
166.5,83.25,56,2.0,C#5,A4,r,F#3
167.0,83.5,56,2.3333,C#5,A4,r,E-3
167.5,83.75,56,2.6667,F#4,A4,r,E3
168.0,84.0,57,1.0,B4,A4,r,E-3
168.5,84.25,57,1.3333,B4,A4,r,C#3
169.0,84.5,57,1.6667,B4,E-4,r,B2
169.5,84.75,57,2.0,B4,G#4,r,E3
170.0,85.0,57,2.3333,B4,G#4,r,F#3
170.5,85.25,57,2.6667,B4,B3,r,G#3
171.0,85.5,58,1.0,B4,C#4,r,A3
171.5,85.75,58,1.3333,A4,E-4,r,B3
172.0,86.0,58,1.6667,G#4,E4,r,C#4
172.5,86.25,58,2.0,B4,G#4,r,B3
173.0,86.5,58,2.3333,A4,F#4,r,B3
173.5,86.75,58,2.6667,G#4,E4,r,B2
174.0,87.0,59,1.0,G#4,E4,r,C#3
174.5,87.25,59,1.3333,E4,B4,r,C#3
175.0,87.5,59,1.6667,G#4,G#4,r,r
175.5,87.75,59,2.0,B4,E4,r,G#2
176.0,88.0,59,2.3333,E5,B4,r,G#2
176.5,88.25,59,2.6667,G#5,B3,r,r
177.0,88.5,60,1.0,F#5,C#4,r,A2
177.5,88.75,60,1.3333,A5,E-4,r,A2
178.0,89.0,60,1.6667,G#5,E4,r,r
178.5,89.25,60,2.0,B4,G#4,r,B2
179.0,89.5,60,2.3333,E-5,F#4,r,B2
179.5,89.75,60,2.6667,E5,E4,r,r
180.0,90.0,61,1.0,E4,E4,r,E3
180.25,90.125,61,1.1667,E4,E4,r,E-3
180.5,90.25,61,1.3333,E4,E4,r,E3
181.0,90.5,61,1.6667,E4,E4,r,B2
181.5,90.75,61,2.0,r,r,E3,E2
182.0,91.0,61,2.3333,r,r,F#3,E2
182.5,91.25,61,2.6667,r,r,G3,D3
183.0,91.5,62,1.0,r,r,B-2,C#3
183.5,91.75,62,1.3333,r,r,C#3,C#3
184.0,92.0,62,1.6667,r,r,E3,B2
184.5,92.25,62,2.0,C#5,r,G3,B-2
185.0,92.5,62,2.3333,C#5,r,F#3,B-2
185.5,92.75,62,2.6667,C#5,r,E3,F#2
186.0,93.0,63,1.0,C#5,F#4,D3,B2
186.5,93.25,63,1.3333,E5,F#4,C#3,B2
187.0,93.5,63,1.6667,D5,F#4,B2,C#3
187.5,93.75,63,2.0,B4,F#4,F#3,D3
188.0,94.0,63,2.3333,B4,F4,G#3,D3
188.5,94.25,63,2.6667,r,F#4,A3,C#3
189.0,94.5,64,1.0,r,D5,B3,B2
189.5,94.75,64,1.3333,r,D5,D4,F2
190.0,95.0,64,1.6667,r,r,C#4,F#2
190.5,95.25,64,2.0,D5,r,A3,B2
191.0,95.5,64,2.3333,D5,r,G#3,B2
191.5,95.75,64,2.6667,D5,r,F#3,G#2
192.0,96.0,65,1.0,D5,G#4,F3,C#3
192.5,96.25,65,1.3333,C5,G#4,E-3,E-3
193.0,96.5,65,1.6667,C#5,G#4,C#3,F3
193.5,96.75,65,2.0,G#5,G#4,C#4,F3
194.0,97.0,65,2.3333,G#5,F#4,C#4,E-3
194.5,97.25,65,2.6667,r,F4,G#3,C#3
195.0,97.5,66,1.0,r,C#5,A3,F#3
195.5,97.75,66,1.3333,r,C#5,A3,G#3
196.0,98.0,66,1.6667,r,r,A3,A3
196.5,98.25,66,2.0,F#5,r,A3,A3
197.0,98.5,66,2.3333,F#5,r,A3,G#3
197.5,98.75,66,2.6667,C#5,r,A3,F#3
198.0,99.0,67,1.0,D5,r,A3,B2
198.5,99.25,67,1.3333,D5,r,G#3,C#3
199.0,99.5,67,1.6667,D5,r,F#3,D3
199.5,99.75,67,2.0,D5,B4,F#3,D3
200.0,100.0,67,2.3333,D5,B4,E3,C#3
200.5,100.25,67,2.6667,D5,F#4,D3,B2
201.0,100.5,68,1.0,D5,G#4,B3,E2
201.5,100.75,68,1.3333,D5,G#4,B3,F#2
202.0,101.0,68,1.6667,B4,G#4,B3,G#2
202.5,101.25,68,2.0,E5,G#4,B3,G#2
203.0,101.5,68,2.3333,E5,G#4,B3,F#2
203.5,101.75,68,2.6667,B4,G#4,B3,E2
204.0,102.0,69,1.0,C#5,G#4,B3,A2
204.5,102.25,69,1.3333,C#5,G#4,A3,B2
205.0,102.5,69,1.6667,C#5,E4,G#3,C#3
205.5,102.75,69,2.0,C#5,A4,A3,C#3
206.0,103.0,69,2.3333,C#5,A4,A3,B2
206.5,103.25,69,2.6667,C#5,E4,A3,A2
207.0,103.5,70,1.0,C#5,F#4,A3,D3
207.5,103.75,70,1.3333,D5,F#4,B3,D3
208.0,104.0,70,1.6667,E5,F#4,C#4,r
208.5,104.25,70,2.0,F#5,F#4,B3,E-3
209.0,104.5,70,2.3333,F#5,B4,G#3,E-3
209.5,104.75,70,2.6667,F#5,B4,A3,r
210.0,105.0,71,1.0,F#5,B4,G#3,E3
210.5,105.25,71,1.3333,E5,C#5,A3,E3
211.0,105.5,71,1.6667,D5,D5,B3,r
211.5,105.75,71,2.0,C#5,G#4,C#4,F3
212.0,106.0,71,2.3333,B4,G#4,C#4,F3
212.25,106.125,71,2.5,A4,G#4,C#4,F3
212.5,106.25,71,2.6667,B4,G#4,C#4,r
213.0,106.5,72,1.0,A4,G#4,C#4,F#3
213.5,106.75,72,1.3333,A4,F#4,D4,F#3
214.0,107.0,72,1.6667,A4,G#4,E4,F#3
214.5,107.25,72,2.0,A4,A4,D4,F#3
215.0,107.5,72,2.3333,A4,F4,C#4,A3
215.25,107.625,72,2.5,A4,F4,B3,A3
215.5,107.75,72,2.6667,A4,F#4,C#4,D4
216.0,108.0,73,1.0,A4,D5,B3,G#3
216.5,108.25,73,1.3333,G#4,D5,B3,G#3
217.0,108.5,73,1.6667,A4,D5,A3,F#3
217.5,108.75,73,2.0,B4,D5,G#3,F3
218.0,109.0,73,2.3333,B4,C#5,D4,F3
218.25,109.125,73,2.5,B4,B4,D4,F3
218.5,109.25,73,2.6667,F4,C#5,C#4,C#3
219.0,109.5,74,1.0,F#4,C#5,A3,F#3
219.5,109.75,74,1.3333,B4,F4,G#3,F#3
220.0,110.0,74,1.6667,A4,F#4,F#3,C3
220.5,110.25,74,2.0,A4,C#4,F3,C#3
221.0,110.5,74,2.3333,B4,D4,F3,C#3
221.5,110.75,74,2.6667,G#4,B3,F3,C#2
222.0,111.0,75,1.0,F#4,A3,F#3,F#2
222.5,111.25,75,1.3333,F#4,A3,F#3,A2
223.0,111.5,75,1.6667,F#4,A3,F#3,C#3
223.5,111.75,75,2.0,F#4,A3,r,F#3
224.0,112.0,75,2.3333,F#4,C#4,r,A3
224.5,112.25,75,2.6667,G#4,F4,r,C#4
225.0,112.5,76,1.0,A4,F#4,r,F#3
225.5,112.75,76,1.3333,B4,G#4,r,F#3
226.0,113.0,76,1.6667,C#5,A4,r,F#2
226.5,113.25,76,2.0,B4,G#4,r,B2
227.0,113.5,76,2.3333,A4,F#4,r,B2
227.5,113.75,76,2.6667,G#4,F4,r,C#3
228.0,114.0,77,1.0,A4,F#4,r,F#2
228.5,114.25,77,1.3333,B4,G#4,r,F#2
229.0,114.5,77,1.6667,C#5,A4,r,F#3
229.5,114.75,77,2.0,B4,G#4,r,B2
230.0,115.0,77,2.3333,A4,F#4,r,B2
230.5,115.25,77,2.6667,G#4,F4,r,C#3
231.0,115.5,78,1.0,A4,F#4,r,F#2
231.5,115.75,78,1.3333,B4,G#4,r,F#2
232.0,116.0,78,1.6667,C#5,A4,r,E2
232.5,116.25,78,2.0,B4,G#4,r,D2
233.0,116.5,78,2.3333,B4,A4,r,D2
233.5,116.75,78,2.6667,C#5,F#4,r,D3
234.0,117.0,79,1.0,C#5,F4,r,C#3
234.5,117.25,79,1.3333,C#5,F4,r,F3
235.0,117.5,79,1.6667,C#5,F4,r,G#3
235.5,117.75,79,2.0,C#5,F4,C#3,C#3
236.0,118.0,79,2.3333,C#5,F#4,E-3,C#3
236.5,118.25,79,2.6667,C#5,G#4,F3,B2
237.0,118.5,80,1.0,C#5,C#4,F#3,A2
237.5,118.75,80,1.3333,C#5,C#4,G#3,A2
238.0,119.0,80,1.6667,C#5,F#4,A3,F#2
238.5,119.25,80,2.0,C#5,F4,G#3,C#3
239.0,119.5,80,2.3333,C#5,F#4,A3,C#3
239.5,119.75,80,2.6667,C#5,G#4,B3,C#2
240.0,120.0,81,1.0,C#5,F#4,A3,F#2
240.5,120.25,81,1.3333,C#5,G#4,G#3,F#2
241.0,120.5,81,1.6667,C#5,A4,F#3,F#3
241.5,120.75,81,2.0,C#5,G#4,F3,C#3
242.0,121.0,81,2.3333,C#5,C#5,F#3,E-3
242.5,121.25,81,2.6667,C#5,B4,G#3,F3
243.0,121.5,82,1.0,C#5,A4,A3,F#3
243.5,121.75,82,1.3333,C#5,G#4,B3,G#3
244.0,122.0,82,1.6667,C#5,F#4,C#4,A3
244.5,122.25,82,2.0,C#5,F4,B3,G#3
245.0,122.5,82,2.3333,C#5,F#4,C#4,A3
245.5,122.75,82,2.6667,F4,G#4,D4,B3
246.0,123.0,83,1.0,F#4,F#4,C#4,A3
246.5,123.25,83,1.3333,F#4,F#4,B3,G#3
247.0,123.5,83,1.6667,F#4,r,A3,F#3
