qstamp,tstamp,measure,beat,Principal Violin,Flute 1,Flute 2,Violin 1,Violin 2,Viola,Violoncello,Violone,Continuo
17.0,20.4,6,3.0,D5,E5,G4,E5,G4,E4,C4,C3,C4
17.5,21.0,6,3.5,F#5,F#5,A4,F#5,A4,E4,C4,C3,C4
18.0,21.6,7,1.0,E-5,E-5,B4,E-5,B4,F#4,B3,B2,B3
19.0,22.8,7,2.0,E5,G5,B4,r,r,r,r,r,r
19.5,23.4,7,2.5,E5,A5,C5,r,r,r,r,r,r
20.0,24.0,7,3.0,E4,G5,B4,r,r,r,r,r,r
20.5,24.6,7,3.5,E4,A5,C5,r,r,r,r,r,r
21.0,25.2,8,1.0,A4,F#5,A4,r,r,r,r,r,r
21.5,25.8,8,1.5,A4,E5,G4,r,r,r,r,r,r
22.0,26.4,8,2.0,C5,F#5,A4,r,r,r,r,r,r
22.5,27.0,8,2.5,B4,G5,B4,r,r,r,r,r,r
23.0,27.6,8,3.0,C5,E5,G4,r,r,r,r,r,r
23.5,28.2,8,3.5,C5,F#5,A4,r,r,r,r,r,r
24.0,28.8,9,1.0,B4,E-5,B4,r,r,r,r,r,r
25.0,30.0,9,2.0,F#5,F#5,E-5,F#5,E-5,B4,B3,B2,B3
25.5,30.6,9,2.5,G5,G5,E5,G5,E5,B4,B3,B2,B3
26.0,31.2,9,3.0,A5,A5,F#5,A5,F#5,B4,B2,B1,B2
26.5,31.8,9,3.5,F#5,F#5,E-5,F#5,E-5,B4,B2,B1,B2
27.0,32.4,10,1.0,G5,G5,E5,G5,E5,B4,E3,E2,E3
28.0,33.6,10,2.0,B4,F#5,E-5,r,r,r,r,r,r
28.5,34.2,10,2.5,B4,G5,E5,r,r,r,r,r,r
29.0,34.8,10,3.0,B3,A5,F#5,r,r,r,r,r,r
29.5,35.4,10,3.5,B3,F#5,E-5,r,r,r,r,r,r
30.0,36.0,11,1.0,E4,G5,E5,r,r,r,r,r,r
31.0,37.2,11,2.0,G#5,G#5,B4,G#5,B4,E4,D3,D2,D3
31.5,37.8,11,2.5,A5,A5,C5,A5,C5,E4,D3,D2,D3
32.0,38.4,11,3.0,F#5,F#5,A4,F#5,A4,E4,D4,D3,D4
32.5,39.0,11,3.5,G#5,G#5,B4,G#5,B4,E4,D4,D3,D4
33.0,39.6,12,1.0,A5,A5,C5,A5,C5,E4,C4,C3,C4
34.0,40.8,12,2.0,D4,G#5,B4,r,r,r,r,r,r
34.5,41.4,12,2.5,D4,A5,C5,r,r,r,r,r,r
35.0,42.0,12,3.0,D5,F#5,A4,r,r,r,r,r,r
35.5,42.6,12,3.5,D5,G#5,B4,r,r,r,r,r,r
36.0,43.2,13,1.0,C5,A5,C5,r,r,r,r,r,r
37.0,44.4,13,2.0,A5,A5,F#5,A5,F#5,A4,F#3,F#2,F#3
37.5,45.0,13,2.5,A5,A5,G5,A5,G5,A4,F#3,F#2,F#3
38.0,45.6,13,3.0,A5,A5,E5,A5,E5,C5,F#2,F#1,F#2
38.5,46.2,13,3.5,A5,A5,F#5,A5,F#5,C5,F#2,F#1,F#2
39.0,46.8,14,1.0,A5,A5,E-5,A5,E-5,B4,B2,B1,B2
39.5,47.4,14,1.5,A5,A5,F#5,A5,F#5,B4,B2,B1,B2
40.0,48.0,14,2.0,G#5,G#5,E5,G#5,E5,B3,E3,E2,E3
40.5,48.6,14,2.5,G#5,G#5,F#5,G#5,F#5,B3,E3,E2,E3
41.0,49.2,14,3.0,G5,G5,D5,G5,D5,E4,E2,E1,E2
41.5,49.8,14,3.5,G5,G5,E5,G5,E5,E4,E2,E1,E2
42.0,50.4,15,1.0,G5,G5,C#5,G5,C#5,E4,A2,A1,A2
42.5,51.0,15,1.5,G5,G5,E5,G5,E5,C#4,A2,A1,A2
43.0,51.6,15,2.0,F#5,F#5,D5,F#5,D5,A3,D3,D2,D3
43.5,52.2,15,2.5,F#5,F#5,E5,F#5,E5,A3,D3,D2,D3
44.0,52.8,15,3.0,F5,F5,C5,F5,C5,D4,D2,D1,D2
44.5,53.4,15,3.5,F5,F5,D5,F5,D5,D4,D2,D1,D2
45.0,54.0,16,1.0,F5,F5,B4,F5,B4,D4,G2,G1,G2
45.5,54.6,16,1.5,F5,F5,C5,F5,C5,E4,G2,G1,G2
46.0,55.2,16,2.0,E-5,E-5,B4,E-5,B4,F#4,G3,G2,G3
46.5,55.8,16,2.5,E-5,E-5,A4,E-5,A4,F#4,G3,G2,G3
47.0,56.4,16,3.0,E5,E5,G4,E5,G4,E4,C4,C3,C4
47.5,57.0,16,3.5,E5,E5,B4,E5,A4,E4,B3,B2,B3
48.0,57.6,17,1.0,E5,E5,E5,E5,E5,E4,C4,C3,C4
48.5,58.2,17,1.5,F#5,F#5,E-5,F#5,E-5,C5,A3,A2,A3
49.0,58.8,17,2.0,F#5,F#5,E-5,F#5,E-5,B4,B3,B2,B3
50.0,60.0,17,3.0,F#5,F#5,E-5,F#5,E-5,A4,B2,B1,B2
50.5,60.6,17,3.5,E5,E5,E5,E5,E5,A4,B2,B1,B2
51.0,61.2,18,1.0,E5,E5,E5,E5,E5,G4,E3,E1,E3
52.0,62.4,18,2.0,E5,B5,G5,r,r,r,r,r,r
52.5,63.0,18,2.5,E5,C6,A5,r,r,r,r,r,r
53.0,63.6,18,3.0,E4,B5,G5,r,r,r,r,r,r
53.5,64.2,18,3.5,E4,C6,A5,r,r,r,r,r,r
54.0,64.8,19,1.0,B4,D6,B5,r,r,r,r,r,r
54.5,65.4,19,1.5,C5,D6,B5,r,r,r,r,r,r
55.0,66.0,19,2.0,D5,A5,F#5,A5,F#5,D4,D3,D2,D3
55.5,66.6,19,2.5,B5,B5,G5,B5,G5,D4,D3,D2,D3
56.0,67.2,19,3.0,C6,C6,A5,C6,A5,D4,D2,D1,D2
56.5,67.8,19,3.5,A5,A5,F#5,A5,F#5,D4,D2,D1,D2
57.0,68.4,20,1.0,B5,B5,G5,B5,G5,D4,G2,G1,G2
58.0,69.6,20,2.0,D5,A5,F#5,r,r,r,r,r,r
58.5,70.2,20,2.5,D5,B5,G5,r,r,r,r,r,r
59.0,70.8,20,3.0,D4,C6,A5,r,r,r,r,r,r
59.5,71.4,20,3.5,D4,A5,F#5,r,r,r,r,r,r
60.0,72.0,21,1.0,G4,B5,G5,r,r,r,r,r,r
61.0,73.2,21,2.0,B5,B5,G#5,B5,G#5,E4,E3,E2,E3
61.5,73.8,21,2.5,C6,C6,A5,C6,A5,E4,E3,E2,E3
62.0,74.4,21,3.0,D6,D6,B5,D6,B5,E4,E2,E1,E2
62.5,75.0,21,3.5,B5,B5,G#5,B5,G#5,E4,E2,E1,E2
63.0,75.6,22,1.0,C6,C6,A5,C6,A5,E4,A2,A1,A2
63.5,76.2,22,1.5,B5,B5,G5,B5,G5,E4,A2,A1,A2
64.0,76.8,22,2.0,D6,D6,F5,D6,F5,A4,A3,A2,A3
64.5,77.4,22,2.5,C6,C6,E5,C6,E5,G#4,A3,A2,A3
65.0,78.0,22,3.0,B5,B5,C5,B5,C5,A4,F3,F2,F3
65.5,78.6,22,3.5,A5,A5,D5,A5,D5,A4,F3,F2,F3
66.0,79.2,23,1.0,G#5,G#5,E5,G#5,E5,B4,E3,E2,E3
67.0,80.4,23,2.0,D4,D6,F5,r,r,r,r,r,r
67.5,81.0,23,2.5,E4,C6,E5,r,r,r,r,r,r
68.0,81.6,23,3.0,F4,B5,D5,r,r,r,r,r,r
68.5,82.2,23,3.5,D4,A5,C5,r,r,r,r,r,r
69.0,82.8,24,1.0,E4,G#5,B4,r,r,r,r,r,r
69.5,83.4,24,1.5,E4,G#5,B4,r,r,r,D3,D2,D3
70.0,84.0,24,2.0,A5,A5,E5,A5,E5,A4,C3,C2,C3
70.5,84.6,24,2.5,A5,G5,E5,A5,D5,A4,B2,B1,B2
71.0,85.2,24,3.0,A5,F5,E5,A5,C#5,A4,C#3,C#2,C#3
71.5,85.8,24,3.5,A5,E5,E5,A5,E5,A4,A2,A1,A2
72.0,86.4,25,1.0,A5,F5,E5,A5,D5,A4,D3,D2,D3
72.5,87.0,25,1.5,G5,A5,E5,G5,E5,A4,C#3,C#2,C#3
73.0,87.6,25,2.0,F5,D6,D5,F5,F5,B4,D3,D2,D3
73.5,88.2,25,2.5,E5,C6,D5,E5,G5,B4,E3,E2,E3
74.0,88.8,25,3.0,D5,B5,D5,D5,F5,B4,F3,F2,F3
74.5,89.4,25,3.5,C5,A5,D5,C5,F5,B4,D3,D2,D3
75.0,90.0,26,1.0,B4,E6,D5,B4,E5,B4,G#3,G#2,G#3
75.5,90.6,26,1.5,B4,D6,F5,B4,E5,B4,G#3,G#2,G#3
76.0,91.2,26,2.0,G#5,C6,E5,G#5,E5,C5,E3,E2,E3
76.5,91.8,26,2.5,G#5,B5,D5,G#5,F5,C5,E3,E2,E3
77.0,92.4,26,3.0,A5,A5,C5,A5,E5,C5,A3,A2,A3
77.5,93.0,26,3.5,A5,F6,B4,A5,D5,C5,A3,A2,A3
78.0,93.6,27,1.0,A5,E6,C5,A5,C5,A4,D3,D2,D3
78.5,94.2,27,1.5,B5,D6,A4,B5,F5,A4,D3,D2,D3
79.0,94.8,27,2.0,C6,C6,G#4,C6,E5,E4,E3,E2,E3
80.0,96.0,27,3.0,B5,B5,G#4,B5,D5,E4,E2,E1,E2
80.5,96.6,27,3.5,A5,A5,A4,A5,D5,E4,E2,E1,E2
81.0,97.2,28,1.0,A5,A5,A4,A5,C5,E4,A2,A1,A2
82.0,98.4,28,2.0,C6,C6,A5,C6,A5,E4,A3,A2,A3
82.5,99.0,28,2.5,C6,C6,B5,C6,B5,E4,A3,A2,A3
83.0,99.6,28,3.0,C6,C6,G5,C6,G5,A4,A2,A1,A2
83.5,100.2,28,3.5,C6,C6,A5,C6,A5,A4,A2,A1,A2
84.0,100.8,29,1.0,C6,C6,F#5,C6,F#5,A4,D2,D1,D2
84.5,101.4,29,1.5,C6,D5,F#5,C6,F#5,A4,D2,D1,D2
84.75,101.7,29,1.75,C6,E5,F#5,C6,F#5,A4,D2,D1,D2
85.0,102.0,29,2.0,r,F#5,r,r,r,r,r,r,r
85.25,102.3,29,2.25,r,G5,r,r,r,r,r,r,r
85.5,102.6,29,2.5,r,A5,r,r,r,r,r,r,r
85.75,102.9,29,2.75,r,B5,r,r,r,r,r,r,r
86.0,103.2,29,3.0,r,C6,r,r,r,r,r,r,r
86.25,103.5,29,3.25,r,B5,r,r,r,r,r,r,r
86.5,103.8,29,3.5,r,C6,r,r,r,r,r,r,r
86.75,104.1,29,3.75,r,A5,r,r,r,r,r,r,r
87.0,104.4,30,1.0,r,B5,r,r,r,r,r,r,r
88.0,105.6,30,2.0,B5,B5,G5,B5,G5,D4,G3,G2,G3
88.5,106.2,30,2.5,B5,B5,A5,B5,A5,D4,G3,G2,G3
89.0,106.8,30,3.0,B5,B5,F#5,B5,F#5,G4,G2,G1,G2
89.5,107.4,30,3.5,B5,B5,G5,B5,G5,G4,G2,G1,G2
90.0,108.0,31,1.0,B5,B5,E5,B5,E5,G4,C2,C2,C2
90.25,108.3,31,1.25,B5,A5,E5,B5,E5,G4,C2,C2,C2
90.5,108.6,31,1.5,B5,G5,E5,B5,E5,G4,C2,C2,C2
90.75,108.9,31,1.75,B5,F#5,E5,B5,E5,G4,C2,C2,C2
91.0,109.2,31,2.0,r,E5,r,r,r,r,r,r,r
91.25,109.5,31,2.25,r,D5,r,r,r,r,r,r,r
91.5,109.8,31,2.5,r,C5,r,r,r,r,r,r,r
91.75,110.1,31,2.75,r,B4,r,r,r,r,r,r,r
92.0,110.4,31,3.0,r,C5,r,r,r,r,r,r,r
92.25,110.7,31,3.25,r,E5,r,r,r,r,r,r,r
92.5,111.0,31,3.5,r,G5,r,r,r,r,r,r,r
92.75,111.3,31,3.75,r,B5,r,r,r,r,r,r,r
93.0,111.6,32,1.0,r,A5,r,r,r,r,r,r,r
94.0,112.8,32,2.0,A5,A5,F#5,r,r,r,F#3,F#2,F#3
94.5,113.4,32,2.5,B5,A5,G5,r,r,r,F#3,F#2,F#3
95.0,114.0,32,3.0,G5,A5,E5,r,r,r,F#2,F#1,F#2
95.5,114.6,32,3.5,A5,A5,F#5,r,r,r,F#2,F#1,F#2
96.0,115.2,33,1.0,F#5,A5,E-5,r,r,r,B2,B1,B2
96.5,115.8,33,1.5,E5,A5,E-5,r,r,r,B2,B1,B2
97.0,116.4,33,2.0,F#5,A5,A5,F#5,E-5,r,r,r,r
97.5,117.0,33,2.5,G5,A5,B5,G5,E-5,r,r,r,r
98.0,117.6,33,3.0,E5,A5,G5,E5,E5,r,r,r,r
98.5,118.2,33,3.5,F#5,A5,A5,F#5,E5,r,r,r,r
99.0,118.8,34,1.0,E-5,A5,F#5,E-5,F#5,r,r,r,r
99.5,119.4,34,1.5,E-5,C6,A5,E-5,F#5,r,r,r,r
100.0,120.0,34,2.0,E-5,B5,G5,E-5,E-5,B3,B3,B2,B3
100.5,120.6,34,2.5,E-5,C6,A5,E-5,E-5,B3,B3,B2,B3
101.0,121.2,34,3.0,E-5,B5,F#5,E-5,B4,F#4,B2,B1,B2
101.5,121.8,34,3.5,E-5,C6,G5,E-5,B4,F#4,B2,B1,B2
102.0,122.4,35,1.0,E5,G5,E5,E5,B4,G4,E2,E1,E2
102.5,123.0,35,1.5,F#5,G5,D5,F#5,D5,A4,B2,B1,B2
103.0,123.6,35,2.0,G5,G5,C#5,G5,C#5,G4,E3,E2,E3
103.5,124.2,35,2.5,G5,G5,D5,G5,D5,A4,F#3,F#2,F#3
104.0,124.8,35,3.0,G5,G5,B4,G5,B4,F#4,D3,D2,D3
104.5,125.4,35,3.5,G5,G5,C#5,G5,C#5,G4,E3,E2,E3
105.0,126.0,36,1.0,G5,G5,B-4,G5,B-4,E4,C#3,C#2,C#3
105.5,126.6,36,1.5,G5,G5,B-4,G5,B-4,E4,C#3,C#2,C#3
106.0,127.2,36,2.0,F#5,F#5,B-4,F#5,B-4,C#4,F#3,F#2,F#3
106.5,127.8,36,2.5,G5,G5,B-4,G5,B-4,C#4,F#3,F#2,F#3
107.0,128.4,36,3.0,E5,E5,B-4,E5,B-4,F#4,F#2,F#1,F#2
107.5,129.0,36,3.5,F#5,F#5,B-4,F#5,B-4,F#4,F#2,F#1,F#2
108.0,129.6,37,1.0,D5,D5,B4,D5,B4,F#4,B2,B1,B2
108.5,130.2,37,1.5,E5,E5,C#5,E5,C#5,F#4,F#3,F#2,F#3
109.0,130.8,37,2.0,F#5,F#5,D5,F#5,D5,F#4,B3,B2,B3
109.5,131.4,37,2.5,F#5,F#5,E5,F#5,E5,F#4,C#4,C#3,C#4
110.0,132.0,37,3.0,F#5,F#5,C#5,F#5,C#5,A4,A3,A2,A3
110.5,132.6,37,3.5,F#5,F#5,D5,F#5,D5,A4,B3,B2,B3
111.0,133.2,38,1.0,F#5,F#5,B4,F#5,B4,D4,G3,G2,G3
111.5,133.8,38,1.5,B-5,B-5,C#5,B-5,C#5,D4,G3,G2,G3
112.0,134.4,38,2.0,B5,B5,D5,B5,D5,B3,G3,G2,G3
112.5,135.0,38,2.5,D6,D6,F#5,D6,D5,B3,G3,G2,G3
113.0,135.6,38,3.0,C#6,C#6,D5,C#6,E5,G4,G3,G2,G3
113.5,136.2,38,3.5,B5,B5,E5,B5,E5,G4,G3,G2,G3
114.0,136.8,39,1.0,B-5,B-5,F#5,B-5,F#5,C#4,F#3,F#2,F#3
114.5,137.4,39,1.5,B-5,C#6,F#5,B-5,F#5,C#4,F#3,F#2,F#3
115.0,138.0,39,2.0,B5,D6,F#5,B5,F#5,B3,B3,B2,B3
115.5,138.6,39,2.5,B5,E6,F#5,B5,F#5,B3,B3,B2,B3
116.0,139.2,39,3.0,r,C#6,F#5,r,r,r,A3,A2,A3
116.5,139.8,39,3.5,r,D6,F#5,r,r,r,A3,A2,A3
117.0,140.4,40,1.0,B5,B5,F#5,B5,G#5,D5,G#3,G#2,G#3
117.5,141.0,40,1.5,B5,D6,F#5,B5,G#5,B4,G#3,G#2,G#3
118.0,141.6,40,2.0,C#6,C#6,F5,C#6,G#5,G#4,C#4,C#3,C#4
118.5,142.2,40,2.5,C#6,D6,F5,C#6,G#5,G#4,C#4,C#3,C#4
119.0,142.8,40,3.0,r,B5,E5,r,r,r,C#3,C#2,C#3
119.5,143.4,40,3.5,r,C#6,E5,r,r,r,C#3,C#2,C#3
120.0,144.0,41,1.0,B-5,B-5,E5,B-5,F#5,C#5,F#3,F#2,F#3
120.5,144.6,41,1.5,B-5,C#6,E5,B-5,F#5,B-4,F#3,F#2,F#3
121.0,145.2,41,2.0,B5,B5,E-5,B5,F#5,F#4,B3,B2,B3
121.5,145.8,41,2.5,B5,C#6,E-5,B5,F#5,F#4,B3,B2,B3
122.0,146.4,41,3.0,r,A5,D5,r,r,r,B2,B1,B2
122.5,147.0,41,3.5,r,B5,D5,r,r,r,B2,B1,B2
123.0,147.6,42,1.0,G#5,G#5,D5,G#5,G#5,B4,E3,E2,E3
123.5,148.2,42,1.5,G#5,B5,D5,G#5,G#5,G#4,E3,E2,E3
124.0,148.8,42,2.0,A5,G#5,C#5,A5,A5,E4,A3,A2,A3
124.5,149.4,42,2.5,A5,B5,C#5,A5,A5,E4,A3,A2,A3
125.0,150.0,42,3.0,r,G5,C5,r,r,r,A2,A1,A2
125.5,150.6,42,3.5,r,A5,C5,r,r,r,A2,A1,A2
126.0,151.2,43,1.0,F#5,F#5,C5,F#5,D5,A4,D2,D1,D2
126.5,151.8,43,1.5,E5,G5,C5,E5,D5,A4,D2,D1,D2
127.0,152.4,43,2.0,D5,F#5,B-4,D5,D5,D4,D3,D2,D3
127.5,153.0,43,2.5,C#5,E5,B-4,C#5,B-4,D4,D3,D2,D3
128.0,153.6,43,3.0,B4,D5,B4,B4,B4,D4,G3,G2,G3
128.5,154.2,43,3.5,D5,F#5,B4,D5,A4,D4,F#3,F#2,F#3
129.0,154.8,44,1.0,E5,B5,B4,E5,G4,C#4,G3,G2,G3
129.5,155.4,44,1.5,G5,B-5,C#5,G5,G5,E4,E3,E2,E3
130.0,156.0,44,2.0,C#5,B-5,C#5,C#5,F#5,B-3,F#3,F#2,F#3
130.5,156.6,44,2.5,C#5,B-5,C#5,C#5,G5,B-3,F#3,F#2,F#3
131.0,157.2,44,3.0,C#5,B-5,C#5,C#5,E5,F#4,F#2,F#1,F#2
131.5,157.8,44,3.5,B4,B5,B4,B4,F#5,F#4,F#2,F#1,F#2
132.0,158.4,45,1.0,B4,B5,B4,B4,D5,F#4,B2,B1,B2
133.0,159.6,45,2.0,B4,F#5,D5,r,r,r,r,r,r
133.5,160.2,45,2.5,B4,G5,E5,r,r,r,r,r,r
134.0,160.8,45,3.0,B3,F#5,D5,r,r,r,r,r,r
134.5,161.4,45,3.5,B3,G5,E5,r,r,r,r,r,r
135.0,162.0,46,1.0,F#4,A5,F#5,r,r,r,r,r,r
135.5,162.6,46,1.5,G4,A5,F#5,r,r,r,r,r,r
136.0,163.2,46,2.0,A4,E5,C#5,E5,C#5,A4,A3,A2,A3
136.5,163.8,46,2.5,F#5,F#5,D5,F#5,D5,A4,A3,A2,A3
137.0,164.4,46,3.0,G5,G5,E5,G5,E5,A4,A2,A1,A2
137.5,165.0,46,3.5,E5,E5,C#5,E5,C#5,A4,A2,A1,A2
138.0,165.6,47,1.0,F#5,F#5,D5,F#5,D5,A4,D2,D1,D2
139.0,166.8,47,2.0,A4,E5,C#5,r,r,r,r,r,r
139.5,167.4,47,2.5,A4,F#5,D5,r,r,r,r,r,r
140.0,168.0,47,3.0,A3,G5,E5,r,r,r,r,r,r
140.5,168.6,47,3.5,A3,E5,C#5,r,r,r,r,r,r
141.0,169.2,48,1.0,D4,F#5,D5,r,r,r,r,r,r
142.0,170.4,48,2.0,F#5,F#5,E-5,F#5,E-5,B4,B3,B2,B3
142.5,171.0,48,2.5,G5,G5,E5,G5,E5,B4,B3,B2,B3
143.0,171.6,48,3.0,A5,A5,F#5,A5,F#5,B4,B2,B1,B2
143.5,172.2,48,3.5,F#5,F#5,E-5,F#5,E-5,B4,B2,B1,B2
144.0,172.8,49,1.0,G5,G5,E5,G5,E5,B4,E2,E1,E2
144.5,173.4,49,1.5,F#5,F#5,D5,F#5,D5,B4,E2,E1,E2
145.0,174.0,49,2.0,A5,A5,C5,A5,C5,E4,E3,E2,E3
145.5,174.6,49,2.5,G5,G5,B4,G5,B4,E-4,E3,E2,E3
146.0,175.2,49,3.0,F#5,F#5,G4,F#5,G4,E4,C3,C2,C3
146.5,175.8,49,3.5,E5,E5,A4,E5,A4,E4,C3,C2,C3
147.0,176.4,50,1.0,E-5,E-5,B4,E-5,B4,F#4,B2,B1,B2
148.0,177.6,50,2.0,A3,A5,C5,r,r,r,r,r,r
148.5,178.2,50,2.5,B3,G5,B4,r,r,r,r,r,r
149.0,178.8,50,3.0,C4,F#5,A4,r,r,r,r,r,r
149.5,179.4,50,3.5,A3,E5,G5,r,r,r,r,r,r
150.0,180.0,51,1.0,B3,E-5,F#5,r,r,r,r,r,r
150.5,180.6,51,1.5,B3,E-5,F#5,r,r,r,A2,A1,A2
151.0,181.2,51,2.0,E5,E5,B5,E5,B4,E4,G2,G1,G2
151.5,181.8,51,2.5,E5,D5,B5,E5,A4,E4,F#2,F#1,F#2
152.0,182.4,51,3.0,E5,C5,B5,E5,G#4,E4,G#2,G#1,G#2
152.5,183.0,51,3.5,E5,B4,B5,E5,B4,E4,E2,E1,E2
153.0,183.6,52,1.0,E5,C5,B5,E5,A4,E4,A2,A1,A2
153.5,184.2,52,1.5,D5,E5,B5,D5,B4,E4,G#2,G#1,G#2
154.0,184.8,52,2.0,C5,A5,A5,C5,C5,F#4,A2,A1,A2
154.5,185.4,52,2.5,B4,G5,A5,B4,D5,F#4,B2,B1,B2
155.0,186.0,52,3.0,A4,F#5,A5,A4,C5,F#4,C3,C2,C3
155.5,186.6,52,3.5,G4,E5,A5,G4,C5,F#4,A2,A1,A2
156.0,187.2,53,1.0,F#4,B5,A5,F#4,B4,F#4,E-3,E-2,E-3
156.5,187.8,53,1.5,F#4,A5,C6,F#4,B4,F#4,E-3,E-2,E-3
157.0,188.4,53,2.0,E-5,G5,B5,E-5,B4,G4,B2,B1,B2
157.5,189.0,53,2.5,E-5,F#5,A5,E-5,C5,G4,B2,B1,B2
158.0,189.6,53,3.0,E5,E5,G5,E5,B4,G4,E3,E2,E3
158.5,190.2,53,3.5,E5,C6,F#5,E5,A4,G4,E3,E2,E3
159.0,190.8,54,1.0,E5,B5,G5,E5,G4,E4,A3,A2,A3
159.5,191.4,54,1.5,F#5,A5,E5,F#5,C5,E4,A3,A2,A3
160.0,192.0,54,2.0,G5,G5,E-5,G5,B4,B4,B3,B2,B3
161.0,193.2,54,3.0,F#5,F#5,E-5,F#5,A4,B4,B2,B1,B2
161.5,193.8,54,3.5,E5,E5,E5,E5,A4,B4,B2,B1,B2
162.0,194.4,55,1.0,E5,E5,E5,E5,G4,B4,E2,E1,E2
163.0,195.6,55,2.0,G5,E5,E5,G5,B4,E4,E4,E3,E4
163.5,196.2,55,2.5,G5,E5,E5,G5,B4,E4,F4,F3,F4
164.0,196.8,55,3.0,r,E5,E5,r,r,r,E4,E3,E4
164.5,197.4,55,3.5,r,E5,E5,r,r,r,F4,F3,F4
165.0,198.0,56,1.0,B5,E5,E5,B5,B4,G#4,D4,D3,D4
165.5,198.6,56,1.5,B5,E5,E5,B5,B4,G#4,C4,C3,C4
166.0,199.2,56,2.0,G#5,E5,E5,G#5,E5,B4,D4,D3,D4
166.5,199.8,56,2.5,G#5,E5,E5,G#5,E5,B4,F4,F3,F4
167.0,200.4,56,3.0,r,E5,E5,r,r,r,E4,E3,E4
167.5,201.0,56,3.5,r,E5,E5,r,r,r,D4,D3,D4
168.0,201.6,57,1.0,A5,E5,E5,A5,E5,A4,C4,C3,C4
168.5,202.2,57,1.5,A5,E5,D5,A5,E5,A4,B3,B2,B3
169.0,202.8,57,2.0,C6,E5,E5,C6,A5,E4,C4,C3,C4
169.5,203.4,57,2.5,C6,E5,F5,C6,A5,E4,D4,D3,D4
170.0,204.0,57,3.0,r,E5,E5,r,r,r,C4,C3,C4
170.5,204.6,57,3.5,r,E5,F5,r,r,r,D4,D3,D4
171.0,205.2,58,1.0,D6,E5,D5,D6,G5,B4,B3,B2,B3
171.5,205.8,58,1.5,D6,E5,C5,D6,G5,B4,A3,A2,A3
172.0,206.4,58,2.0,G#5,E5,D5,G#5,B4,D4,B3,B2,B3
172.5,207.0,58,2.5,G#5,E5,F5,G#5,B4,D4,D4,D3,D4
173.0,207.6,58,3.0,r,E5,E5,r,r,r,C4,C3,C4
173.5,208.2,58,3.5,r,E5,D5,r,r,r,B3,B2,B3
174.0,208.8,59,1.0,A5,F5,C5,A5,C5,A4,A3,A2,A3
174.5,209.4,59,1.5,G5,G5,C5,G5,C5,A4,A3,A2,A3
175.0,210.0,59,2.0,A5,A5,A5,A5,F5,C5,A2,A1,A2
176.0,211.2,59,3.0,r,F5,r,r,r,r,r,r,r
176.5,211.8,59,3.5,r,G5,r,r,r,r,r,r,r
177.0,212.4,60,1.0,A5,A5,A5,A5,F5,C4,A3,A2,A3
