qstamp_start,qstamp_end,Principal Violin,Flute 1,Flute 2,Violin 1,Violin 2,Viola,Violoncello,Violone,Continuo
52.0,55.0,,Main Part,,P3(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Violone)&P5(Continuo),P3(Violin 1)&P3(Viola)&P3(Violoncello)&P3(Violone)&P3(Continuo),P5(Violin 1)&P3(Violin 2)&P8(Violoncello)&P8(Violone)&P8(Continuo),P5(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violone)&U(Continuo),P5(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Continuo),P5(Violin 1)&P3(Violin 2)&P8(Viola)&U(Violoncello)&P8(Violone)
55.0,58.0,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
58.0,61.0,,Main Part,,P3(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Violone)&P5(Continuo),P3(Violin 1)&P3(Viola)&P3(Violoncello)&P3(Violone)&P3(Continuo),P5(Violin 1)&P3(Violin 2)&P8(Violoncello)&P8(Violone)&P8(Continuo),P5(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violone)&U(Continuo),P5(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Continuo),P5(Violin 1)&P3(Violin 2)&P8(Viola)&U(Violoncello)&P8(Violone)
61.0,64.0,Main Part,U(Main)&U(Violin 1),U(Violin 2),U(Main)&U(Flute 1),U(Flute 2),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
64.0,67.0,Main Part,P8(Main),,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
67.0,70.0,,Main Part,,P4(Violin 2)&P8(Viola),P4(Violin 1)&P4(Viola),P8(Violin 1)&P4(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
70.0,73.0,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
73.0,82.0,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
82.0,84.5,U(Violin 1),,Main Part,U(Principal Violin),U(Main),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
84.5,88.0,U(Violin 1)&P6(Viola),Main Part,U(Violin 2),U(Principal Violin)&P6(Viola),U(Flute 2),P6(Principal Violin)&P6(Violin 1),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
88.0,90.25,U(Violin 1),,Main Part,U(Principal Violin),U(Main),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
90.25,94.0,,Main Part,,P5(Violin 2)&P3(Viola),P5(Violin 1)&P3(Viola),P3(Violin 1)&P3(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
94.0,97.0,Main Part,,,P2(Violin 2),P2(Violin 1),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
97.0,100.0,U(Violin 1),,Main Part,U(Principal Violin),,U(Violoncello)&P8(Violone)&U(Continuo),U(Viola)&P8(Violone)&U(Continuo),P8(Viola)&P8(Violoncello)&P8(Continuo),U(Viola)&U(Violoncello)&P8(Violone)
100.0,103.0,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
103.0,106.0,U(Flute 1)&U(Violin 1),U(Principal Violin)&U(Violin 1),Main Part,U(Principal Violin)&U(Flute 1),U(Main),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
106.0,109.0,Main Part,U(Main)&U(Violin 1),U(Violin 2),U(Main)&U(Flute 1),U(Flute 2),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
109.0,112.0,U(Flute 1)&U(Violin 1),U(Principal Violin)&U(Violin 1),Main Part,U(Principal Violin)&U(Flute 1),U(Main),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
112.0,115.0,Main Part,,,U(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
115.0,133.0,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
133.0,136.0,,Main Part,P3(Main),P3(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Violone)&P4(Continuo),P3(Violin 1)&P6(Viola)&P6(Violoncello)&P6(Violone)&P6(Continuo),P4(Violin 1)&P6(Violin 2)&P8(Violoncello)&P8(Violone)&P8(Continuo),P4(Violin 1)&P6(Violin 2)&P8(Viola)&P8(Violone)&U(Continuo),P4(Violin 1)&P6(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Continuo),P4(Violin 1)&P6(Violin 2)&P8(Viola)&U(Violoncello)&P8(Violone)
136.0,139.0,,Main Part,P3(Main),P3(Violin 2),P3(Violin 1),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
139.0,142.0,,Main Part,,P2(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Violone)&P4(Continuo),P2(Violin 1)&P5(Viola)&P5(Violoncello)&P5(Violone)&P5(Continuo),P4(Violin 1)&P5(Violin 2)&P8(Violoncello)&P8(Violone)&P8(Continuo),P4(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Violone)&U(Continuo),P4(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Continuo),P4(Violin 1)&P5(Violin 2)&P8(Viola)&U(Violoncello)&P8(Violone)
142.0,145.0,Main Part,U(Main)&U(Violin 1),U(Violin 2),U(Main)&U(Flute 1),U(Flute 2),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
145.0,148.0,Main Part,P8(Main),,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
148.0,151.0,,Main Part,,P5(Violin 2)&P8(Viola),P5(Violin 1)&P5(Viola),P8(Violin 1)&P5(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
151.0,154.0,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
154.0,163.0,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
163.0,169.0,U(Violin 1),,,U(Principal Violin),,,Main Part,P8(Main)&P8(Continuo),U(Main)&P8(Violone)
169.0,174.0,U(Violin 1),,Main Part,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
174.0,176.0,U(Violin 1),Main Part,P6(Viola),U(Principal Violin),,P6(Flute 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
176.0,177.0,U(Flute 2)&U(Violin 1)&P3(Violin 2)&P6(Viola)&P8(Violoncello)&P8(Violone)&P8(Continuo),Main Part,U(Principal Violin)&U(Violin 1)&P3(Violin 2)&P6(Viola)&P8(Violoncello)&P8(Violone)&P8(Continuo),U(Principal Violin)&U(Flute 2)&P3(Violin 2)&P6(Viola)&P8(Violoncello)&P8(Violone)&P8(Continuo),P3(Principal Violin)&P3(Flute 2)&P3(Violin 1)&P4(Viola)&P3(Violoncello)&P3(Violone)&P3(Continuo),P6(Principal Violin)&P6(Flute 2)&P6(Violin 1)&P4(Violin 2)&P6(Violoncello)&P6(Violone)&P6(Continuo),P8(Principal Violin)&P8(Flute 2)&P8(Violin 1)&P3(Violin 2)&P6(Viola)&P8(Violone)&U(Continuo),P8(Principal Violin)&P8(Flute 2)&P8(Violin 1)&P3(Violin 2)&P6(Viola)&P8(Violoncello)&P8(Continuo),P8(Principal Violin)&P8(Flute 2)&P8(Violin 1)&P3(Violin 2)&P6(Viola)&U(Violoncello)&P8(Violone)
177.0,179.0,Main Part,,U(Main)&U(Violin 1),U(Main)&U(Flute 2),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
179.0,181.0,,Main Part,,P5(Violin 2)&P2(Viola)&P5(Violoncello)&P5(Violone)&P5(Continuo),P5(Violin 1)&P4(Viola)&P8(Violoncello)&P8(Violone)&P8(Continuo),P2(Violin 1)&P4(Violin 2)&P4(Violoncello)&P4(Violone)&P4(Continuo),P5(Violin 1)&P8(Violin 2)&P4(Viola)&P8(Violone)&U(Continuo),P5(Violin 1)&P8(Violin 2)&P4(Viola)&P8(Violoncello)&P8(Continuo),P5(Violin 1)&P8(Violin 2)&P4(Viola)&U(Violoncello)&P8(Violone)
181.0,192.5,,,Main Part,,,,,,
192.5,194.5,,,Main Part,P3(Violin 2)&P6(Viola)&P4(Violoncello)&P4(Violone)&P4(Continuo),P3(Violin 1)&P4(Viola)&P2(Violoncello)&P2(Violone)&P2(Continuo),P6(Violin 1)&P4(Violin 2)&P3(Violoncello)&P3(Violone)&P3(Continuo),P4(Violin 1)&P2(Violin 2)&P3(Viola)&P8(Violone)&U(Continuo),P4(Violin 1)&P2(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Continuo),P4(Violin 1)&P2(Violin 2)&P3(Viola)&U(Violoncello)&P8(Violone)
194.5,201.25,Main Part,,U(Violin 2),U(Main),U(Flute 2),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
201.25,210.0,U(Violin 1),Main Part,U(Violin 2),U(Principal Violin),U(Flute 2),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
