qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
78.0,27.8571,20,3.0,D6,D5,D5,D5,D5,D5,B4,D4,B3,r,D4,G3,D5,G4,B4,D4,G2,G2,D5,D4,B3,r,r
78.25,27.9464,20,3.25,D6,D5,D5,D5,D5,D5,B4,D4,B3,r,D4,G3,D5,G4,B4,D4,G2,G2,D5,D4,B3,r,r
78.5,28.0357,20,3.5,r,r,r,r,r,r,r,r,r,G1,r,r,r,r,B4,D4,G2,G2,r,E4,C4,G2,G1
78.75,28.125,20,3.75,G6,G5,G5,G5,G5,C5,G4,C4,G3,G1,E4,C4,E5,C5,B4,D4,G2,G2,G5,E4,C4,G2,G1
79.0,28.2143,20,4.0,A6,A5,A5,A5,A5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,A5,E4,C4,G2,G1
79.25,28.3036,20,4.25,G6,G5,G5,G5,G5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,G5,E4,C4,G2,G1
79.5,28.3929,20,4.5,F6,F5,F5,F5,F5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,F5,E4,C4,G2,G1
79.75,28.4821,20,4.75,E6,E5,E5,E5,E5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,E5,E4,C4,G2,G1
80.0,28.5714,21,1.0,D6,D5,D5,D5,D5,D5,B4,D4,B3,r,D4,G3,D5,G4,B4,D4,G2,G2,D5,D4,B3,r,r
80.25,28.6607,21,1.25,D6,D5,D5,D5,D5,D5,B4,D4,B3,r,D4,G3,D5,G4,B4,D4,G2,G2,D5,D4,B3,r,r
80.5,28.75,21,1.5,r,r,r,r,r,r,r,r,r,G1,r,r,r,r,B4,D4,G2,G2,r,E4,C4,G2,G1
80.75,28.8393,21,1.75,G6,G5,G5,G5,G5,C5,G4,C4,G3,G1,E4,C4,E5,C5,B4,D4,G2,G2,G5,E4,C4,G2,G1
81.0,28.9286,21,2.0,A6,A5,A5,A5,A5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,A5,E4,C4,G2,G1
81.25,29.0179,21,2.25,G6,G5,G5,G5,G5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,G5,E4,C4,G2,G1
81.5,29.1071,21,2.5,F6,F5,F5,F5,F5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,F5,E4,C4,G2,G1
81.75,29.1964,21,2.75,E6,E5,E5,E5,E5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,E5,E4,C4,G2,G1
82.0,29.2857,21,3.0,D6,D5,D5,D5,D5,D5,B4,D4,B3,r,D4,G3,D5,G4,B4,D4,G2,G2,D5,D4,B3,r,r
82.25,29.375,21,3.25,D6,D5,D5,D5,D5,D5,B4,D4,B3,r,D4,G3,D5,G4,B4,D4,G2,G2,D5,D4,B3,r,r
82.5,29.4643,21,3.5,r,r,r,r,r,r,r,r,r,G1,r,r,r,r,B4,D4,G2,G2,r,E4,C4,G2,G1
82.75,29.5536,21,3.75,G6,G5,G5,G5,G5,C5,G4,C4,G3,G1,E4,C4,E5,C5,B4,D4,G2,G2,G5,E4,C4,G2,G1
83.0,29.6429,21,4.0,A6,A5,A5,A5,A5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,A5,E4,C4,G2,G1
83.25,29.7321,21,4.25,G6,G5,G5,G5,G5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,G5,E4,C4,G2,G1
83.5,29.8214,21,4.5,F6,F5,F5,F5,F5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,F5,E4,C4,G2,G1
83.75,29.9107,21,4.75,E6,E5,E5,E5,E5,E5,C5,E4,C4,G1,E4,C4,E5,C5,r,r,r,G2,E5,E4,C4,G2,G1
84.0,30.0,22,1.0,D6,D5,D5,D5,D5,D5,B4,D4,B3,G1,D4,G3,D5,G4,B4,D4,G2,G2,D5,D4,B3,G2,G1
84.5,30.1786,22,1.5,r,r,r,r,r,r,r,r,r,G1,r,r,r,r,B4,D4,G2,r,G5,G5,G4,G2,G1
85.0,30.3571,22,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F5,F4,r,r
85.5,30.5357,22,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E5,E4,r,r
86.0,30.7143,22,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D5,D4,r,r
86.5,30.8929,22,3.5,r,r,r,r,r,r,r,E4,E4,r,r,r,r,r,r,r,r,r,E5,E5,E4,r,r
87.0,31.0714,22,4.0,r,r,r,r,r,r,r,D4,D4,r,r,r,r,r,r,r,r,r,D5,D5,D4,r,r
87.5,31.25,22,4.5,r,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,r,r,r,C5,C5,C4,r,r
88.0,31.4286,23,1.0,r,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,r,r,r,B4,B4,B3,r,r
88.5,31.6071,23,1.5,r,r,r,r,r,E5,E5,E4,E4,r,r,r,r,r,r,r,r,r,E5,E5,E4,E4,r
