qstamp_start,qstamp_end,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
100.0,116.0,Main Part,,,U(C Clarinet 1)&P8(Bassoon 1),U(C Clarinet 2)&P8(Bassoon 2),U(Oboe 1)&P8(Bassoon 1),U(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(C Clarinet 1),P8(Oboe 2)&P8(C Clarinet 2),P8(Violoncello)&U(Contrabass),,,"P4(C Trumpet 2)&P4(C, G Timpani)","P4(C Trumpet 1)&P8(C, G Timpani)",,,,P4(C Trumpet 1)&P8(C Trumpet 2),,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
116.0,148.0,Main Part,,,,,,,,,P8(Violoncello)&U(Contrabass),,,,,,,,,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
148.0,160.0,Main Part,,,P3(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2),P3(Oboe 1)&P3(C Clarinet 1)&P8(C Clarinet 2),P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 2),P3(Oboe 1)&P8(Oboe 2)&P3(C Clarinet 1),,P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)&U(Contrabass),U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1),,,,,P8(Violin 2),P8(Violin 1),,U(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
160.0,168.5,Main Part,,,,,,,,,P8(Violoncello)&U(Contrabass),U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1),P8(Tenor Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Bass Trombone),P8(Alto Trombone)&P8(Tenor Trombone),,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
168.5,170.5,Main Part,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),,,,,,,,,,,P8(Viola),,P8(Violin 1),,
170.5,172.5,Main Part,,,,,,,,,P8(Violoncello)&U(Contrabass),,,,,,,,,P8(Viola),,P8(Violin 1),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
172.5,175.0,Main Part,,,,,,,,,P8(Violoncello)&U(Contrabass),,,,,,,,,P8(Violin 2)&P3(Viola),P8(Violin 1)&P3(Viola),P3(Violin 1)&P3(Violin 2),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
175.0,181.0,,P8(Oboe 2)&P8(C Clarinet 1)&P8(Bassoon 1),U(Oboe 1)&P8(C Clarinet 2)&P8(Bassoon 2),U(Flute 2)&P8(C Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&U(C Clarinet 1)&P8(Bassoon 1),P8(Flute 1)&U(Oboe 2)&P8(Bassoon 1),P8(Flute 2)&P8(Oboe 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 2)&P8(C Clarinet 1),P8(Flute 2)&P8(Oboe 1)&P8(C Clarinet 2),P8(Violoncello)&U(Contrabass),P8(C Horn 2),P8(C Horn 1),"P8(C Trumpet 2)&P8(C, G Timpani)","P8(C Trumpet 1)&P8(C, G Timpani)",,,,P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
181.0,183.0,,P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P6(Flute 1)&U(Oboe 1)&P6(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),P6(Flute 1)&U(Flute 2)&P6(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),P8(Flute 1)&P6(Flute 2)&P6(Oboe 1)&U(C Clarinet 1)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P8(Flute 1)&P6(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P6(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(C Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),P8(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P6(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P3(C Horn 1)&P3(C Horn 2),U(Contrabass),P4(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 2),P4(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1),,,,,,,Main Part,P6(Viola),P6(Violin 2),,U(Contrabassoon)
183.0,191.0,U(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(Main)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2),U(Piccolo)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(Main)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2),P3(Piccolo)&P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Main)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2),P8(Piccolo)&P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(Main)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2),P3(Piccolo)&P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Main)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2),,,P8(Piccolo)&P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2)&P5(Main)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2),P3(Piccolo)&P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P3(Main)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2),U(Contrabass),Main Part,P5(Piccolo)&P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bassoon 1)&P3(Bassoon 2)&U(Main)&P8(C Trumpet 1)&P8(C Trumpet 2),P5(Piccolo)&P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Main)&P8(C Horn 2)&U(C Trumpet 2),P5(Piccolo)&P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(Main)&P8(C Horn 2)&U(C Trumpet 1),,,,,,,,,U(Contrabassoon)
191.0,197.0,U(Flute 1)&P8(Oboe 1)&P8(Bassoon 1),U(Piccolo)&P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(Bassoon 2),P8(Piccolo)&P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P6(C Clarinet 2),P6(C Clarinet 1),P8(Piccolo)&P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),P8(Violin 1)&P8(Violoncello)&U(Contrabass),Main Part,U(Main)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Main)&P8(C Horn 2)&U(C Trumpet 2),P8(Main)&P8(C Horn 2)&U(C Trumpet 1),,,,,P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),,,P8(Contrabassoon)&P8(Violin 1)&P8(Contrabass),U(Contrabassoon)&P8(Violin 1)&P8(Violoncello)
197.0,199.0,"U(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(Main)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Alto Trombone)&P8(Tenor Trombone)&P4(Bass Trombone)&P4(C, G Timpani)","U(Piccolo)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(Main)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Alto Trombone)&P8(Tenor Trombone)&P4(Bass Trombone)&P4(C, G Timpani)","P6(Piccolo)&P6(Flute 1)&P6(Oboe 1)&P8(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(Main)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P8(Alto Trombone)&P6(Tenor Trombone)&P3(Bass Trombone)&P3(C, G Timpani)","P8(Piccolo)&P8(Flute 1)&P6(Flute 2)&P6(Oboe 2)&U(C Clarinet 1)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(Main)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Alto Trombone)&P8(Tenor Trombone)&P4(Bass Trombone)&P4(C, G Timpani)","P6(Piccolo)&P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P6(C Clarinet 1)&U(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(Main)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&U(Alto Trombone)&P6(Tenor Trombone)&P3(Bass Trombone)&P3(C, G Timpani)","P8(Piccolo)&P8(Flute 1)&P6(Flute 2)&U(Oboe 1)&P6(Oboe 2)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(Main)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Alto Trombone)&P8(Tenor Trombone)&P4(Bass Trombone)&P4(C, G Timpani)","P6(Piccolo)&P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(C Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P3(Main)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&U(Alto Trombone)&P6(Tenor Trombone)&P3(Bass Trombone)&P3(C, G Timpani)","P8(Piccolo)&P8(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P6(Bassoon 2)&P4(Main)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Alto Trombone)&U(Tenor Trombone)&P4(Bass Trombone)&P4(C, G Timpani)","P6(Piccolo)&P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P3(Main)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P8(Alto Trombone)&P6(Tenor Trombone)&P3(Bass Trombone)&P3(C, G Timpani)",U(Contrabass),Main Part,"P4(Piccolo)&P4(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&U(Main)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Alto Trombone)&P4(Tenor Trombone)&P8(Bass Trombone)&P8(C, G Timpani)","P4(Piccolo)&P4(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Main)&P8(C Horn 2)&U(C Trumpet 2)&P3(Alto Trombone)&P4(Tenor Trombone)&P8(Bass Trombone)&P8(C, G Timpani)","P4(Piccolo)&P4(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Main)&P8(C Horn 2)&U(C Trumpet 1)&P3(Alto Trombone)&P4(Tenor Trombone)&P8(Bass Trombone)&P8(C, G Timpani)","P6(Piccolo)&P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(C Clarinet 1)&U(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(Main)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P6(Tenor Trombone)&P3(Bass Trombone)&P3(C, G Timpani)","P8(Piccolo)&P8(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&U(Bassoon 1)&P6(Bassoon 2)&P4(Main)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P6(Alto Trombone)&P4(Bass Trombone)&P4(C, G Timpani)","P4(Piccolo)&P4(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Main)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Alto Trombone)&P4(Tenor Trombone)&U(C, G Timpani)",P4(Piccolo)&P4(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Main)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Alto Trombone)&P4(Tenor Trombone)&U(Bass Trombone),,P6(Viola),P6(Violin 2),,U(Contrabassoon)
199.0,205.0,,,,,,,,P6(Bassoon 2),P6(Bassoon 1),U(Contrabass),Main Part,,,,,,,,,,,,U(Contrabassoon)
205.0,207.0,,,,,,,,,,U(Contrabass),,,,,,,,,Main Part,,,,U(Contrabassoon)
207.0,213.0,,,,,,,,,,U(Contrabass),,,,,,,,,Main Part,,,,U(Contrabassoon)
213.0,215.0,,,,,,,,P6(Bassoon 2),P6(Bassoon 1),P8(Viola),P3(C Horn 2),P3(C Horn 1),,,,,,,Main Part,P8(Main),P8(Contrabassoon),P8(Contrabass),P8(Violoncello)
215.0,222.0,,,,P8(Bassoon 1),P8(Bassoon 2),,,P8(Oboe 1),P8(Oboe 2),,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
222.0,224.0,,,,P8(Main)&U(Violin 1)&P8(Viola),P8(Bassoon 2)&P4(C Horn 1)&P3(C Horn 2)&U(Violin 2)&P3(Violoncello)&P3(Contrabass),,,Main Part,P8(Oboe 2)&P4(C Horn 1)&P3(C Horn 2)&P8(Violin 2)&P3(Violoncello)&P3(Contrabass),,P4(Oboe 2)&P4(Bassoon 2)&P2(C Horn 2)&P4(Violin 2)&P2(Violoncello)&P2(Contrabass),P3(Oboe 2)&P3(Bassoon 2)&P2(C Horn 1)&P3(Violin 2)&U(Violoncello)&P8(Contrabass),,,,,,,U(Oboe 1)&P8(Main)&P8(Viola),U(Oboe 2)&P8(Bassoon 2)&P4(C Horn 1)&P3(C Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Oboe 1)&U(Main)&P8(Violin 1),P3(Oboe 2)&P3(Bassoon 2)&P2(C Horn 1)&U(C Horn 2)&P3(Violin 2)&P8(Contrabass),P3(Oboe 2)&P3(Bassoon 2)&P2(C Horn 1)&P8(C Horn 2)&P3(Violin 2)&P8(Violoncello)
224.0,237.0,,,P8(Contrabassoon),,,P3(C Clarinet 2)&P3(Alto Trombone)&P8(Tenor Trombone)&P3(Bass Trombone),P3(C Clarinet 1)&U(Alto Trombone)&P3(Tenor Trombone)&P8(Bass Trombone),Main Part,,P8(Flute 2),,,,"P8(C, G Timpani)",P3(C Clarinet 1)&U(C Clarinet 2)&P3(Tenor Trombone)&P8(Bass Trombone),P8(C Clarinet 1)&P3(C Clarinet 2)&P3(Alto Trombone)&P3(Bass Trombone),P3(C Clarinet 1)&P8(C Clarinet 2)&P8(Alto Trombone)&P3(Tenor Trombone),P8(C Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
237.0,252.0,,,,,,,,,,P8(Violoncello)&U(Contrabass),P8(C Trumpet 1),,P8(C Horn 1),,,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
252.0,268.0,,,,,,P3(Bassoon 2)&U(Viola),,,P3(C Clarinet 1)&P3(Viola),,,,,,,,,,Main Part,,U(C Clarinet 1)&P3(Bassoon 2),,
268.0,284.0,,"U(Flute 2)&U(Oboe 2)&P3(Main)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C, G Timpani)&P3(Contrabass)","U(Flute 1)&U(Oboe 2)&P3(Main)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C, G Timpani)&P3(Contrabass)",,"U(Flute 1)&U(Flute 2)&P3(Main)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C, G Timpani)&P3(Contrabass)",P8(Viola),,,,Main Part,"P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P3(Main)&U(C Horn 2)&P8(C Trumpet 1)&P8(C, G Timpani)&P3(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P3(Main)&U(C Horn 1)&P8(C Trumpet 1)&P8(C, G Timpani)&P3(Contrabass)","U(Flute 1)&U(Flute 2)&U(Oboe 2)&P3(Main)&P8(C Horn 1)&P8(C Horn 2)&P8(C, G Timpani)&P3(Contrabass)",,,,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P3(Main)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P3(Contrabass),,,P8(C Clarinet 1),,"P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(Main)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C, G Timpani)"
