qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
220.0,226.0,U(Traverso)&U(Oboe 1)&U(Violin 1)&U(Soprano),,,,U(Tromba 1)&U(Oboe 1)&U(Violin 1)&U(Soprano),U(Tromba 1)&U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Main),U(Tromba 1)&U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Tenor),U(Tromba 1)&U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Viola),Main Part,
226.0,234.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Main),U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),Main Part,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
234.0,238.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Main),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),Main Part,U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
238.0,246.0,,,,,U(Oboe 1)&U(Violin 1)&U(Main),U(Traverso)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Continuo),U(Traverso)&U(Oboe 1)&U(Main),U(Oboe 2)&U(Alto),U(Tenor),Main Part,U(Oboe 2)&U(Violin 2),U(Viola),,U(Bassoon)
246.0,250.0,,Main Part,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
250.0,262.0,Main Part,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),,U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Tenor),U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Viola),,
262.0,266.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),,U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Main),U(Tenor)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Violin 1),Main Part,U(Viola)&U(Continuo),,U(Viola)&U(Tenor)
266.0,272.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),,U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Main)&U(Continuo),U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),Main Part,,U(Viola)&U(Main)
272.0,276.0,,Main Part,P8(Timpani)&P8(Bassoon)&P8(Bass),P8(Tromba 3)&U(Bassoon)&U(Bass),U(Main)&U(Oboe 1)&U(Violin 1)&U(Soprano),U(Main)&U(Traverso)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),P8(Tromba 3)&U(Timpani)&U(Bass),U(Main)&U(Traverso)&U(Oboe 1)&U(Soprano),U(Oboe 2)&U(Alto),U(Tenor),U(Main)&U(Traverso)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Viola),P8(Tromba 3)&U(Timpani)&U(Bassoon),
276.0,294.0,P8(Oboe 2)&P8(Violin 2)&P8(Alto),U(Traverso)&U(Oboe 1)&U(Violin 1)&U(Soprano),,,U(Tromba 2)&U(Oboe 1)&U(Violin 1)&U(Soprano),U(Tromba 2)&U(Traverso)&U(Violin 1)&U(Soprano),P8(Tromba 1)&U(Violin 2)&U(Alto),U(Main)&U(Continuo),U(Tromba 2)&U(Traverso)&U(Oboe 1)&U(Soprano),P8(Tromba 1)&U(Oboe 2)&U(Alto),U(Tenor),U(Tromba 2)&U(Traverso)&U(Oboe 1)&U(Violin 1),P8(Tromba 1)&U(Oboe 2)&U(Violin 2),U(Viola),Main Part,U(Bassoon)&U(Main)
