qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
202.0,211.0,P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),,P8(Violin 2),P8(Flute 1)&P8(Bassoon 1)&P8(Bassoon 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Flute 1)&P8(Oboe 2)&U(Bassoon 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P8(Flute 1)&P8(Oboe 2)&U(Bassoon 1)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P8(Eb Horn 2)&P8(Violin 1),P8(Eb Horn 1)&P8(Violin 1),P4(Flute 1)&P4(Oboe 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(C Trumpet 2)&P8(Timpani),P4(Flute 1)&P4(Oboe 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(C Trumpet 1)&P8(Timpani),P4(Flute 1)&P4(Oboe 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Eb Horn 1)&P8(Eb Horn 2),P8(Oboe 1),Main Part,P8(Contrabass),P8(Violoncello)
211.0,223.0,P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main),,P8(Flute 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Main),P8(Flute 1)&U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(Main),P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&U(Violin 1),P8(Bb Clarinet 1)&U(Eb Horn 1)&P8(Eb Horn 2)&P8(Violin 1),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 2)&P8(Main),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1)&P8(Main),P8(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Eb Horn 2)&P8(Violin 1),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Violin 1),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2),Main Part,,P8(Contrabass),P8(Violoncello)
223.0,229.0,P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),,P8(Flute 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Eb Horn 1)&U(Violin 1)&P8(Viola),P8(Eb Horn 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1),P8(Bb Clarinet 1)&P8(Violin 1)&U(Viola),P8(Bb Clarinet 2),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),U(Bb Clarinet 1)&P8(Eb Horn 1)&P8(Viola),Main Part,P8(Bb Clarinet 1)&U(Eb Horn 1)&P8(Violin 1),P8(Contrabass),P8(Violoncello)
229.0,235.0,,,P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Viola),U(Violin 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),,,P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,U(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Contrabass),P8(Violoncello)
235.0,247.0,Main Part,P8(Bb Clarinet 2),U(Main)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(Main)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(Flute 2),P8(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani),U(Eb Horn 2),U(Eb Horn 1),P8(Main)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 2)&P8(Timpani),P8(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2)&P8(C Trumpet 1)&P8(Timpani),P8(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&U(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
247.0,259.0,P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&U(Main)&P8(Viola),P8(Bb Clarinet 2)&U(Violin 2),P8(Bassoon 2),P8(Flute 1)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Main)&U(Viola),P8(Flute 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Main)&U(Viola),P8(Flute 2)&P8(Violin 2),P8(Flute 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Main)&P8(Viola),P8(Oboe 1),U(Eb Horn 2),U(Eb Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,U(Flute 2)&P8(Bb Clarinet 2),P8(Flute 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Main),P8(Contrabass),P8(Violoncello)
259.0,270.0,P8(Bb Clarinet 1)&P8(Bassoon 1)&U(Main),P8(Bb Clarinet 2)&P8(Bassoon 2)&U(Violin 2),,P8(Viola),P8(Flute 1)&P8(Bassoon 1)&P8(Main),P8(Flute 2)&P8(Bassoon 2)&P8(Violin 2),P8(Flute 1)&P8(Bb Clarinet 1)&P8(Main),P8(Flute 2)&P8(Bb Clarinet 2)&P8(Violin 2),U(Eb Horn 2),U(Eb Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,U(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Oboe 2),P8(Contrabass),P8(Violoncello)
270.0,273.0,P5(Main)&P5(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&U(Violin 1)&P5(Viola),P8(Bb Clarinet 2)&P8(Bassoon 2)&U(Violin 2),Main Part,P5(Flute 1)&U(Main)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P5(Violin 1)&P8(Viola),P8(Flute 1)&P5(Main)&P5(Oboe 2)&P8(Bassoon 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Violin 1)&P5(Viola),P8(Flute 2)&P8(Bassoon 2)&P8(Violin 2),P8(Flute 1)&P5(Main)&P5(Oboe 2)&P8(Bb Clarinet 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Violin 1)&P5(Viola),P8(Flute 2)&P8(Bb Clarinet 2)&P8(Violin 2),U(Eb Horn 2)&P5(Timpani),U(Eb Horn 1)&P5(Timpani),P5(Flute 1)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P8(C Trumpet 2)&P5(Violin 1),P5(Flute 1)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P8(C Trumpet 1)&P5(Violin 1),P5(Eb Horn 1)&P5(Eb Horn 2),U(Flute 1)&P5(Main)&P5(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Viola),U(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),P5(Flute 1)&P8(Main)&P8(Oboe 2)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P5(Violin 1),P8(Contrabass),P8(Violoncello)
273.0,276.0,P5(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&U(Main)&P5(Viola),P8(Bb Clarinet 2)&P8(Bassoon 2)&U(Violin 2),P5(Flute 1)&U(Oboe 2)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P5(Main)&P8(Viola),P5(Flute 1)&U(Oboe 1)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P5(Main)&P8(Viola),P8(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&P8(Bassoon 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Main)&P5(Viola),P8(Flute 2)&P8(Bassoon 2)&P8(Violin 2),P8(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Main)&P5(Viola),P8(Flute 2)&P8(Bb Clarinet 2)&P8(Violin 2),U(Eb Horn 2)&P5(Timpani),U(Eb Horn 1)&P5(Timpani),P5(Flute 1)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P8(C Trumpet 2)&P5(Main),P5(Flute 1)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P8(C Trumpet 1)&P5(Main),P5(Eb Horn 1)&P5(Eb Horn 2),Main Part,U(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),P5(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P5(Main),P8(Contrabass),P8(Violoncello)
276.0,279.0,P5(Main)&P5(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&U(Violin 1),P8(Bb Clarinet 2)&P8(Bassoon 2)&U(Violin 2),Main Part,P5(Flute 1)&U(Main)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P5(Violin 1),P8(Flute 1)&P5(Main)&P5(Oboe 2)&P8(Bassoon 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Violin 1),P8(Flute 2)&P8(Bassoon 2)&P8(Violin 2),P8(Flute 1)&P5(Main)&P5(Oboe 2)&P8(Bb Clarinet 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Violin 1),P8(Flute 2)&P8(Bb Clarinet 2)&P8(Violin 2),U(Eb Horn 2)&P5(Timpani),U(Eb Horn 1)&P5(Timpani),P5(Flute 1)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P8(C Trumpet 2)&P5(Violin 1),P5(Flute 1)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P8(C Trumpet 1)&P5(Violin 1),P5(Eb Horn 1)&P5(Eb Horn 2),U(Flute 1)&P5(Main)&P5(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P5(C Trumpet 1)&P5(C Trumpet 2),U(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),,P8(Contrabass),P8(Violoncello)
279.0,290.0,P5(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&U(Main)&P8(Viola),P8(Bb Clarinet 2)&P8(Bassoon 2)&U(Violin 2),P5(Flute 1)&U(Oboe 2)&P5(Bb Clarinet 1)&P5(Bassoon 1)&U(C Trumpet 1)&P8(C Trumpet 2)&P5(Main)&P5(Viola),P5(Flute 1)&U(Oboe 1)&P5(Bb Clarinet 1)&P5(Bassoon 1)&U(C Trumpet 1)&P8(C Trumpet 2)&P5(Main)&P5(Viola),P8(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&P8(Bassoon 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Main)&U(Viola),P8(Flute 2)&P8(Bassoon 2)&P8(Violin 2),P8(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Main)&P8(Viola),P8(Flute 2)&P8(Bb Clarinet 2)&P8(Violin 2),U(Eb Horn 2),U(Eb Horn 1),P5(Flute 1)&U(Oboe 1)&U(Oboe 2)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P8(C Trumpet 2)&P5(Main)&P5(Viola),P5(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P8(C Trumpet 1)&P5(Main)&P5(Viola),,Main Part,U(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Main),P8(Contrabass),P8(Violoncello)
290.0,301.0,P8(Oboe 1)&U(Violin 1),,P8(Flute 1)&P8(Violin 1),,,,,,U(Eb Horn 2),U(Eb Horn 1),,,,U(Flute 1)&P8(Oboe 1),,,Main Part,
301.0,313.0,Main Part,,P8(Main),,,,,,U(Eb Horn 2),U(Eb Horn 1),,,,,,,,
313.0,325.0,Main Part,,P8(Main),,,,,,U(Eb Horn 2),U(Eb Horn 1),,,,,,,,
325.0,337.0,P8(Oboe 1),,P8(Flute 1),,,,U(Bassoon 2),U(Bassoon 1),U(Eb Horn 2),U(Eb Horn 1),,,,Main Part,,,,
337.0,346.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),P3(Bb Clarinet 2),P3(Bb Clarinet 1),U(Bassoon 2),U(Bassoon 1),U(Eb Horn 2),U(Eb Horn 1),,,,Main Part,,,,
346.0,358.0,P8(Oboe 1)&P8(Bb Clarinet 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Bb Clarinet 1),P8(Flute 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),P8(Eb Horn 2),P8(Eb Horn 1),,,,Main Part,,,U(Bassoon 1)&U(Bassoon 2),
