qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,C Trumpet 1,C Trumpet 2,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
72.0,29.5833,25,3.0,r,r,r,r,r,r,r,r,G4,E-4,r,r,r,r,r,r,B-2,B-1
73.0,30.0833,26,1.0,r,r,r,r,r,r,r,r,B-4,G4,r,r,r,G#4,F4,C4,G#2,G#1
74.0,30.5833,26,2.0,r,r,r,r,r,r,r,r,G#4,F4,r,r,r,r,r,r,r,r
75.0,31.0833,26,3.0,r,r,r,r,r,r,r,r,G4,E-4,r,r,r,r,r,r,G#2,G#1
76.0,31.5833,27,1.0,r,r,r,r,r,r,r,r,F4,B-3,r,r,r,F4,D4,B-3,B-2,B-1
79.0,33.0833,28,1.0,B-5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,F4,F4,r,r,r,B-5,F5,D4,B-2,B-1
80.0,33.5833,28,2.0,B-5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,F4,F4,r,r,r,B-5,F5,D4,B-2,B-1
81.0,34.0833,28,3.0,B-5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,F4,F4,r,r,r,B-5,F5,D4,B-2,B-1
82.0,34.5833,29,1.0,B-5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,F#4,F#4,r,r,r,B-5,F#5,E-4,E-3,E-2
85.0,36.0833,30,1.0,B-5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,F4,F4,r,r,r,B-5,F5,D4,F3,F2
86.0,36.5833,30,2.0,B-5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,F4,F4,r,r,r,B-5,F5,D4,F3,F2
87.0,37.0833,30,3.0,B-5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,F4,F4,r,r,r,B-5,F5,D4,F3,F2
88.0,37.5833,31,1.0,B-5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,E-4,E-4,r,r,r,B-5,E-5,E-4,F#3,F#2
91.0,39.0833,32,1.0,B-5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,F4,F4,r,r,r,B-5,F5,B-4,D3,D2
92.0,39.5833,32,2.0,B-5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,F4,F4,r,r,r,B-5,F5,B-4,D3,D2
93.0,40.0833,32,3.0,B-5,B-5,B-5,B-4,B-4,B-3,B-3,B-2,F4,F4,r,r,r,B-5,F5,B-4,D3,D2
94.0,40.5833,33,1.0,B-5,F#5,B-5,F#5,B-4,B-3,B-3,B-2,F#4,F#4,r,r,r,B-5,F#5,B-4,E-3,E-2
96.0,41.5833,33,3.0,B-5,F#5,B-5,F#5,B-4,B-3,B-3,B-2,F#4,F#4,r,r,r,B-5,F#5,B-4,C#3,C#2
97.0,42.0833,34,1.0,C#6,B-5,C#6,B-5,C#5,B-4,E-4,E-4,G#4,G#4,r,r,r,C#6,B-5,C#5,B2,B1
98.0,42.5833,34,2.0,B5,G#5,B5,G#5,B4,G#4,E-4,E-4,G#4,G#4,r,r,r,B5,G#5,B4,B2,B1
99.0,43.0833,34,3.0,B-5,F#5,B-5,F#5,B-4,F#4,E-4,E-4,G#4,G#4,r,r,r,B-5,F#5,B-4,B2,B1
100.0,43.5833,35,1.0,G#5,F5,G#5,F5,G#4,F4,G#3,G#3,C#4,C#4,r,r,r,G#5,F5,G#4,C#3,C#2
103.0,45.0833,36,1.0,B-5,F#5,B-5,F#5,B-4,F#4,C#4,C#4,F#4,F#4,r,r,r,B-5,F#5,B-4,F#2,F#1
106.0,46.5833,37,1.0,F#5,E-5,F#5,E-5,F#4,E-4,F#3,F#3,E-4,E-4,r,r,r,F#5,E-5,F#4,B2,B1
108.0,47.5833,37,3.0,F#5,E-5,F#5,E-5,F#4,E-4,F#3,F#3,E-4,E-4,r,r,r,F#5,E-5,F#4,B-2,B-1
109.0,48.0833,38,1.0,B-5,F#5,B-5,F#5,B-4,F#4,G#3,G#3,F4,F4,r,r,r,B-5,F#5,B-4,G#2,G#1
110.0,48.5833,38,2.0,G#5,F5,G#5,F5,G#4,F4,G#3,G#3,F4,F4,r,r,r,G#5,F5,G#4,G#2,G#1
111.0,49.0833,38,3.0,F#5,E-5,F#5,E-5,F#4,E-4,G#3,G#3,F4,F4,r,r,r,F#5,E-5,F#4,G#2,G#1
112.0,49.5833,39,1.0,F5,D5,F5,D5,F4,F4,B-3,B-3,B-3,B-2,r,r,r,F5,D5,F4,B-2,B-1
114.0,50.5833,39,3.0,F5,D5,F5,D5,B4,B4,B3,B3,B-3,B-2,r,r,r,F5,D5,F4,B-2,B-1
115.0,51.0833,40,1.0,F5,D5,F5,D5,B-4,B-4,B-3,B-3,B-3,B-2,r,r,r,F5,D5,F4,B-2,B-1
117.0,52.0833,40,3.0,F#5,E-5,F#5,E-5,B-4,B-4,B-3,B-3,B-3,B-2,r,r,r,F#5,E-5,F#4,E-2,E-1
118.0,52.5833,41,1.0,F5,D5,F5,D5,B-4,B-4,B-3,B-3,B-3,B-2,r,r,r,F5,D5,F4,B-2,B-1
120.0,53.5833,41,3.0,F5,D5,F5,D5,B4,B4,B3,B3,B-3,B-2,r,r,r,F5,D5,F4,B-2,B-1
121.0,54.0833,42,1.0,F5,D5,F5,D5,B-4,B-4,B-3,B-3,B-3,B-2,r,r,r,F5,D5,F4,B-2,B-1
123.0,55.0833,42,3.0,F#5,E-5,F#5,E-5,B-4,B-4,E-3,r,B-3,B-2,r,r,r,F#5,E-5,F#4,E-2,E-1
124.0,55.5833,43,1.0,F5,D5,F5,D5,B-4,B-3,B-3,B-2,B-3,B-2,r,r,r,F5,D5,F4,B-2,B-1
126.0,56.5833,43,3.0,F#5,E-5,F#5,E-5,B-4,B-3,E-3,E-2,B-3,B-2,r,r,r,F#5,E-5,F#4,E-2,E-1
127.0,57.0833,44,1.0,F5,D5,F5,D5,B-4,B-3,B-3,B-2,B-3,B-2,r,r,r,F5,D5,F4,B-2,B-1
129.0,58.0833,44,3.0,F#5,E-5,F#5,E-5,B-4,B-3,E-3,E-2,B-3,B-2,r,r,r,F#5,E-5,F#4,E-2,E-1
130.0,58.5833,45,1.0,F5,D5,F5,D5,B-4,B-3,B-3,B-2,B-3,B-2,r,r,r,F5,D5,F4,B-2,B-1
133.0,60.0833,46,1.0,F5,D5,F5,D5,B-4,B-3,B-3,B-2,B-3,B-2,r,r,r,F5,D5,F4,B-2,B-1
134.0,60.5833,46,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#3,C#2
135.0,61.0833,46,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
136.0,61.5833,47,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-2
138.0,62.5833,47,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,C#3
139.0,63.0833,48,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3
141.0,64.0833,48,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2
142.0,64.5833,49,1.0,r,r,r,r,r,r,r,F3,r,r,r,r,r,r,r,r,F3,F2
145.0,66.0833,50,1.0,r,r,r,r,r,r,r,F3,r,r,r,r,r,F4,E-4,C4,F3,F2
147.0,67.0833,50,3.0,r,r,r,r,r,r,r,F3,r,r,r,r,r,A4,E-4,C4,F3,F2
148.0,67.5833,51,1.0,r,r,r,r,B-4,B-4,B-3,F3,r,r,r,r,r,B-4,C#4,B-3,B-2,B-1
150.0,68.5833,51,3.0,r,r,r,r,C5,A4,C4,F3,r,r,r,r,r,C5,C4,A3,B-2,B-1
151.0,69.0833,52,1.0,E-6,r,C6,r,E-5,C5,E-4,F3,r,r,r,r,r,E-5,E-4,C4,B-2,B-1
153.0,70.0833,52,3.0,C#6,r,B-5,r,C#5,B-4,C#4,F3,r,r,r,r,r,C#5,C#4,B-3,B-2,B-1
154.0,70.5833,53,1.0,C6,r,A5,r,C5,A4,C4,F3,r,r,r,r,r,C5,C4,A3,F2,F1
156.0,71.5833,53,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,F1
157.0,72.0833,54,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
158.0,72.5833,54,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#3,C#2
159.0,73.0833,54,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
160.0,73.5833,55,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-2
162.0,74.5833,55,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,C#3
163.0,75.0833,56,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3
165.0,76.0833,56,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2
166.0,76.5833,57,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
168.0,77.5833,57,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,G#3
169.0,78.0833,58,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G3
171.0,79.0833,58,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,B2
172.0,79.5833,59,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C3
174.0,80.5833,59,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-4,E-3
175.0,81.0833,60,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D3
177.0,82.0833,60,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,F#3,F#2
178.0,82.5833,61,1.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,r,r,G3,G3,G2
180.0,83.5833,61,3.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,r,r,C#3,C#3,C#2
181.0,84.0833,62,1.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,r,r,D3,D3,D2
182.0,84.5833,62,2.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,B4,B3,D3,D3,D2
183.0,85.0833,62,3.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,E5,E4,D3,D3,D2
184.0,85.5833,63,1.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,F5,F4,G3,G3,G2
186.0,86.5833,63,3.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,r,r,C#3,C#3,C#2
187.0,87.0833,64,1.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,r,r,D3,D3,D2
188.0,87.5833,64,2.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,B4,B3,D3,D3,D2
189.0,88.0833,64,3.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,E5,E4,D3,D3,D2
190.0,88.5833,65,1.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,F5,F4,G3,G3,G2
191.0,89.0833,65,2.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,r,r,C#3,C#3,C#2
192.0,89.5833,65,3.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,r,r,D3,D3,D2
193.0,90.0833,66,1.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,F5,F4,G3,G3,G2
194.0,90.5833,66,2.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,r,r,C#3,C#3,C#2
195.0,91.0833,66,3.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,r,r,D3,D3,D2
196.0,91.5833,67,1.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,F5,F4,G3,G3,G2
197.0,92.0833,67,2.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,r,r,C#3,C#3,C#2
198.0,92.5833,67,3.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,r,r,D3,D3,D2
199.0,93.0833,68,1.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,G5,G4,G3,G3,G2
200.0,93.5833,68,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D3,D2
201.0,94.0833,68,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,E-3,E-2
202.0,94.5833,69,1.0,r,r,G5,r,r,r,r,r,G4,G3,r,r,r,G5,G4,G#3,G#3,G#2
203.0,95.0833,69,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E3,E2
204.0,95.5833,69,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F3,F2
205.0,96.0833,70,1.0,r,r,G5,r,G5,G4,r,r,G4,G3,r,r,r,G5,G4,B3,B3,B2
206.0,96.5833,70,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,F#3,F#2
207.0,97.0833,70,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G3,G2
208.0,97.5833,71,1.0,r,r,G5,r,G5,G4,r,r,G4,G3,r,r,r,G5,G4,C4,C4,C3
209.0,98.0833,71,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,G#3,G#2
210.0,98.5833,71,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A2
211.0,99.0833,72,1.0,D6,r,D5,D5,G5,G4,D4,D4,G4,G3,G4,G3,G2,G5,D5,D4,B3,B2
212.0,99.5833,72,2.0,D6,r,D5,D5,G5,G4,D4,D4,G4,G3,r,r,r,G5,D5,D4,B3,B2
213.0,100.0833,72,3.0,D6,r,D5,D5,G5,G4,D4,D4,G4,G3,r,r,r,G5,D5,D4,B3,B2
214.0,100.5833,73,1.0,E-6,r,E-5,E-5,G5,G4,E-4,E-4,G4,G3,G4,G3,G2,G5,E-5,C4,C4,C3
217.0,102.0833,74,1.0,D6,r,D5,D5,G5,G4,D4,D4,G4,G3,G4,G3,G2,G5,D5,B3,D4,D3
218.0,102.5833,74,2.0,D6,r,D5,D5,G5,G4,D4,D4,G4,G3,r,r,r,G5,D5,B3,D4,D3
219.0,103.0833,74,3.0,D6,r,D5,D5,G5,G4,D4,D4,G4,G3,r,r,r,G5,D5,B3,D4,D3
220.0,103.5833,75,1.0,C6,r,C5,C5,G5,G4,C4,C4,G4,G3,G4,G3,G2,G5,C5,C4,E-4,E-3
223.0,105.0833,76,1.0,D6,r,D5,D5,G5,G4,D4,D4,G4,G3,G4,G3,G2,G5,D5,G4,B3,B2
224.0,105.5833,76,2.0,D6,r,D5,D5,G5,G4,D4,D4,G4,G3,r,r,r,G5,D5,G4,B3,B2
225.0,106.0833,76,3.0,D6,r,D5,D5,G5,G4,D4,D4,G4,G3,r,r,r,G5,D5,G4,B3,B2
226.0,106.5833,77,1.0,E-6,r,E-5,E-5,G5,G4,E-4,E-4,G4,G3,G4,G3,G2,G5,E-5,G4,C4,C3
228.0,107.5833,77,3.0,E-6,r,E-5,E-5,G5,G4,E-4,E-4,G4,G3,r,r,r,G5,E-5,G4,B-3,B-2
229.0,108.0833,78,1.0,F6,r,F5,F5,B-5,G5,F4,F4,B-4,G4,C5,C4,C3,B-5,G5,B-4,G#3,G#2
230.0,108.5833,78,2.0,F6,r,F5,F5,G#5,F5,F4,F4,G#4,F4,r,r,r,G#5,F5,G#4,G#3,G#2
231.0,109.0833,78,3.0,F6,r,F5,F5,G5,E-5,F4,F4,G4,E-4,r,r,r,G5,E-5,G4,G#3,G#2
232.0,109.5833,79,1.0,D6,r,B-4,B-4,F5,D5,B-3,B-3,F4,B-3,r,r,r,F5,D5,F4,B-3,B-2
235.0,111.0833,80,1.0,C6,C6,C6,C5,C6,C5,C4,C3,G4,G4,C5,C4,C3,E5,C5,C4,C3,C2
236.0,111.5833,80,2.0,C6,C6,C6,C5,C6,C5,C4,C3,G4,G4,C5,C4,C3,r,r,r,C3,C2
237.0,112.0833,80,3.0,C6,C6,C6,C5,C6,C5,C4,C3,G4,G4,C5,C4,C3,r,r,r,C3,C2
238.0,112.5833,81,1.0,C6,C6,C6,C5,C6,C5,C4,C3,G#4,G#4,C5,C4,C3,G#5,C5,F3,F3,F2
241.0,114.0833,82,1.0,C6,C6,C6,C5,C6,C5,C4,C3,G4,G4,C5,C4,C3,G5,C5,G3,G3,G2
242.0,114.5833,82,2.0,C6,C6,C6,C5,C6,C5,C4,C3,G4,G4,C5,C4,C3,r,r,r,G3,G2
243.0,115.0833,82,3.0,C6,C6,C6,C5,C6,C5,C4,C3,G4,G4,C5,C4,C3,r,r,r,G3,G2
244.0,115.5833,83,1.0,C6,C6,C6,C5,C6,C5,C4,C3,F4,F4,C5,C4,C3,F5,C5,G#3,G#3,G#2
247.0,117.0833,84,1.0,C6,G5,C6,C5,C5,G4,C4,C3,G4,G4,C5,C4,C3,C6,G5,C5,E3,E2
248.0,117.5833,84,2.0,C6,G5,C6,C5,C5,G4,C4,C3,G4,G4,C5,C4,C3,C6,G5,C5,E3,E2
249.0,118.0833,84,3.0,C6,G5,C6,C5,C5,G4,C4,C3,G4,G4,C5,C4,C3,C6,G5,C5,E3,E2
250.0,118.5833,85,1.0,C6,G#5,C6,C5,C5,G#4,C4,C3,G#4,G#4,C5,C4,C3,C6,G#5,C5,F3,F2
252.0,119.5833,85,3.0,C6,G#5,C6,C5,C5,G#4,C4,C3,G#4,G#4,C5,C4,r,C6,G#5,C5,E-3,E-2
253.0,120.0833,86,1.0,E-6,C6,C6,E-5,E-5,C5,E-4,C4,B-4,B-4,r,r,r,E-6,C6,E-5,C#3,C#2
254.0,120.5833,86,2.0,C#6,B-5,B-5,C#5,C#5,B-4,C#4,B-3,B-4,B-4,r,r,r,C#6,B-5,C#5,C#3,C#2
255.0,121.0833,86,3.0,C6,G#5,G#5,C5,C5,G#4,C4,G#3,B-4,B-4,r,r,r,C6,G#5,C5,C#3,C#2
256.0,121.5833,87,1.0,B-5,G5,G5,B-4,B-4,G4,B-3,G3,E-4,E-4,r,r,r,B-5,G5,B-4,E-3,E-2
259.0,123.0833,88,1.0,C6,G#5,G#5,C5,C5,G#4,C4,G#3,G#4,G#4,C5,C4,C3,C6,G#5,C5,G#2,G#1
262.0,124.5833,89,1.0,G#5,F5,F5,G#4,G#4,F4,G#3,F3,F4,F4,r,r,r,G#5,F5,G#4,C#3,C#2
264.0,125.5833,89,3.0,G#5,F5,F5,G#4,G#4,F4,G#3,F3,F4,F4,r,r,r,G#5,F5,G#4,C3,C2
265.0,126.0833,90,1.0,C6,G#5,G#5,C5,C5,G#4,C4,G#3,G4,G4,r,r,r,C6,G#5,C5,B-2,B-1
266.0,126.5833,90,2.0,B-5,G5,G5,B-4,B-4,G4,B-3,G3,G4,G4,r,r,r,B-5,G5,B-4,B-2,B-1
267.0,127.0833,90,3.0,G#5,F5,F5,G#4,G#4,F4,G#3,F3,G4,G4,r,r,r,G#5,F5,G#4,B-2,B-1
268.0,127.5833,91,1.0,G5,E5,E5,G4,G4,E4,G3,E3,G4,G4,C5,C4,C3,G5,E5,G4,C3,C2
270.0,128.5833,91,3.0,G5,E5,C#5,C#5,G4,E4,G3,E3,r,r,C5,C4,r,G5,E5,C#4,C3,C2
271.0,129.0833,92,1.0,G5,E5,C5,C5,G4,E4,G3,E3,r,r,C5,C4,r,G5,E5,C4,C3,C2
273.0,130.0833,92,3.0,G#5,F5,C5,C5,G#4,F4,G#3,F3,G#4,G#4,C5,C4,C3,G#5,F5,C4,F2,F1
274.0,130.5833,93,1.0,G5,E5,C5,C5,G4,E4,G3,E3,G4,G4,C5,C4,C3,G5,E5,C4,C3,C2
276.0,131.5833,93,3.0,G5,E5,C#5,C#5,G4,E4,G3,E3,r,r,C5,C4,r,G5,E5,C#4,C3,C2
277.0,132.0833,94,1.0,G5,E5,C5,C5,G4,E4,G3,E3,r,r,C5,C4,r,G5,E5,C4,C3,C2
279.0,133.0833,94,3.0,G#5,F5,C5,C5,G#4,F4,G#3,F3,G#4,G#4,C5,C4,C3,G#5,F5,G#4,F2,F1
280.0,133.5833,95,1.0,G5,E5,C5,C5,G4,E4,G3,E3,G4,G4,C5,C4,C3,G5,E5,G4,C3,C2
282.0,134.5833,95,3.0,G#5,F5,C5,C5,G#4,F4,G#3,F3,G#4,G#4,C5,C4,r,G#5,F5,G#4,F2,F1
283.0,135.0833,96,1.0,G5,E5,C5,C5,G4,E4,G3,E3,G4,G4,C5,C4,C3,G5,E5,G4,C3,C2
285.0,136.0833,96,3.0,G#5,F5,C5,C5,G#4,F4,G#3,F3,G#4,G#4,C5,C4,r,G#5,F5,G#4,F2,F1
286.0,136.5833,97,1.0,G5,E5,C5,C5,G4,E4,G3,E3,G4,G4,C5,C4,C3,G5,E5,G4,C3,C2
289.0,138.0833,98,1.0,G5,E5,C5,C5,G4,E4,G3,E3,r,r,C5,C4,r,G5,E5,G4,C3,C2
290.0,138.5833,98,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,E-2
291.0,139.0833,98,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2
292.0,139.5833,99,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3
294.0,140.5833,99,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-3
295.0,141.0833,100,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D3
297.0,142.0833,100,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,F#2
298.0,142.5833,101,1.0,r,r,r,r,r,r,r,r,G3,G3,r,r,r,r,r,r,G3,G2
301.0,144.0833,102,1.0,G5,r,G4,r,r,r,r,r,G3,G3,r,r,r,G5,r,r,G4,r
302.0,144.5833,102,2.0,G5,r,G4,r,r,r,r,r,G3,G3,r,r,r,G5,r,r,G4,r
303.0,145.0833,102,3.0,B5,r,B4,r,r,r,r,r,G3,G3,r,r,r,G5,r,r,F4,r
