qstamp,tstamp,measure,beat,Violin 1,Violin 2,Violin 3,Viola 1,Viola 2,Viola 3,Violoncello 1,Violoncello 2,Violoncello 3,Violone,Harpsichord
40.5,24.3,12,1.0,F#5,F#5,D5,r,r,r,D4,D4,D3,D3,D4
40.75,24.45,12,1.25,F#5,A5,D5,r,r,r,D4,D4,D3,D3,D4
41.0,24.6,12,1.5,D6,D5,D5,D5,A4,F#4,D4,D4,D3,D3,D4
41.25,24.75,12,1.75,D6,E5,D5,C#5,G4,E4,D4,D4,D3,D3,D4
41.5,24.9,12,2.0,r,F#5,r,D5,A4,D4,r,r,r,r,r
41.75,25.05,12,2.25,r,G5,r,D5,A4,D4,r,r,r,r,r
42.0,25.2,12,2.5,C#6,A5,E5,r,r,r,A3,A3,A3,A2,A3
42.25,25.35,12,2.75,C#6,G5,E5,r,r,r,A3,A3,A3,A2,A3
42.5,25.5,12,3.0,D6,F#5,F#5,r,r,r,D3,D3,D3,D2,D3
42.75,25.65,12,3.25,D6,F#5,A5,r,r,r,D3,D3,D3,D2,D3
43.0,25.8,12,3.5,A5,D6,D5,D5,A4,F#4,D3,D3,D3,D2,D3
43.25,25.95,12,3.75,A5,D6,E5,C#5,G4,E4,D3,D3,D3,D2,D3
43.5,26.1,12,4.0,D5,r,F#5,D5,A4,D4,r,r,r,r,r
43.75,26.25,12,4.25,D5,r,G5,D5,A4,D4,r,r,r,r,r
44.0,26.4,12,4.5,E5,C#6,A5,A4,A4,A4,A2,A2,A2,A1,A2
44.25,26.55,12,4.75,E5,C#6,G5,A4,A4,A4,A2,A2,A2,A1,A2
44.5,26.7,13,1.0,F#5,D6,F#5,A4,A4,A4,D2,D2,D2,D1,D2
45.0,27.0,13,1.5,E5,E5,E5,G4,G4,G4,D3,D3,D3,D2,D3
45.25,27.15,13,1.75,D5,D5,D5,F#4,F#4,F#4,D3,D3,D3,D2,D3
45.5,27.3,13,2.0,E5,E5,E5,G4,G4,G4,G2,G2,G2,G1,G2
46.0,27.6,13,2.5,D5,D5,D5,F#4,F#4,F#4,A2,A2,A2,A1,A2
46.25,27.75,13,2.75,C#5,C#5,C#5,E4,E4,E4,A2,A2,A2,A1,A2
46.5,27.9,13,3.0,D5,D5,D5,D4,D4,D4,B2,B2,B2,B1,B2
47.0,28.2,13,3.5,C#5,C#5,C#5,D5,D5,D5,A2,A2,A2,A1,A2
47.25,28.35,13,3.75,B4,B4,B4,D5,D5,D5,G2,G2,G2,G1,G2
47.5,28.5,13,4.0,A4,A4,A4,D5,D5,D5,F#2,F#2,F#2,F#1,F#2
47.75,28.65,13,4.25,D5,D5,D5,D5,D5,D5,F#2,F#2,F#2,F#1,F#2
48.0,28.8,13,4.5,A4,A4,A4,D4,D4,D4,E2,E2,E2,E1,E2
48.25,28.95,13,4.75,D5,D5,D5,D4,D4,D4,D2,D2,D2,D1,D2
48.5,29.1,14,1.0,B4,B4,B4,D4,D4,D4,G2,G2,G2,G1,G2
49.0,29.4,14,1.5,A4,A4,A4,D5,D5,D5,F#2,F#2,F#2,F#1,F#2
49.25,29.55,14,1.75,G4,G4,G4,D5,D5,D5,E2,E2,E2,E1,E2
49.5,29.7,14,2.0,F#4,F#4,F#4,D5,D5,D5,D2,D2,D2,D1,D2
49.75,29.85,14,2.25,D5,D5,D5,D5,D5,D5,D2,D2,D2,D1,D2
50.0,30.0,14,2.5,F#4,F#4,F#4,D4,D4,D4,D4,D4,D4,D3,D4
50.25,30.15,14,2.75,D5,D5,D5,D4,D4,D4,C#4,C#4,C#4,C#3,C#4
50.5,30.3,14,3.0,G4,G4,G4,D4,D4,D4,B3,B3,B3,B2,B3
51.0,30.6,14,3.5,F#4,F#4,F#4,D5,D5,D5,A3,A3,A3,A2,A3
51.25,30.75,14,3.75,E4,E4,E4,D5,D5,D5,G3,G3,G3,G2,G3
51.5,30.9,14,4.0,D4,D4,D4,D5,D5,D5,F#3,F#3,F#3,F#2,F#3
51.75,31.05,14,4.25,D5,D5,D5,D5,D5,D5,F#3,F#3,F#3,F#2,F#3
52.0,31.2,14,4.5,E4,E4,E4,D4,D4,D4,G#3,G#3,G#3,G#2,G#3
52.25,31.35,14,4.75,D5,D5,D5,D4,D4,D4,G#3,G#3,G#3,G#2,G#3
52.5,31.5,15,1.0,F#4,F#4,F#4,D4,D4,D4,A3,A3,A3,A2,A3
52.75,31.65,15,1.25,D5,D5,D5,D4,D4,D4,A3,A3,A3,A2,A3
53.0,31.8,15,1.5,G#4,G#4,G#4,D5,D5,D5,A2,A2,A2,A1,A2
53.25,31.95,15,1.75,D5,D5,D5,D5,D5,D5,A2,A2,A2,A1,A2
53.5,32.1,15,2.0,A4,A4,A4,C#5,C#5,C#5,A2,A2,A2,A1,A2
53.75,32.25,15,2.25,C#5,C#5,C#5,C#5,C#5,C#5,A2,A2,A2,A1,A2
54.0,32.4,15,2.5,A4,A4,A4,B4,B4,B4,A3,A3,A3,A2,A3
54.25,32.55,15,2.75,D5,D5,D5,B4,B4,B4,B3,B3,B3,B2,B3
54.5,32.7,15,3.0,A4,A4,A4,A4,A4,A4,C#4,C#4,C#4,C#3,C#4
54.75,32.85,15,3.25,E5,E5,E5,A4,A4,A4,C#4,C#4,C#4,C#3,C#4
55.0,33.0,15,3.5,A4,A4,A4,D4,D4,D4,D4,D4,D4,D3,D4
55.25,33.15,15,3.75,F#5,F#5,F#5,D4,D4,D4,D4,D4,D4,D3,D4
55.5,33.3,15,4.0,A4,A4,A4,C#4,C#4,C#4,E4,E4,E4,E3,E4
55.75,33.45,15,4.25,G5,G5,G5,C#4,C#4,C#4,E4,E4,E4,E3,E4
56.0,33.6,15,4.5,A4,A4,A4,E4,E4,E4,C#4,C#4,C#4,C#3,C#4
56.25,33.75,15,4.75,A5,A5,A5,E4,E4,E4,C#4,C#4,C#4,C#3,C#4
56.5,33.9,16,1.0,F#5,F#5,F#5,D4,D4,D4,D4,D4,D4,D3,D4
57.0,34.2,16,1.5,E5,E5,E5,E4,E4,E4,G3,G3,G3,G2,G3
57.25,34.35,16,1.75,D5,D5,D5,F#4,F#4,F#4,G3,G3,G3,G2,G3
57.5,34.5,16,2.0,A4,A4,A4,E4,E4,E4,A3,A3,A3,A2,A3
58.0,34.8,16,2.5,C#5,C#5,C#5,A4,A4,A4,A2,A2,A2,A1,A2
58.5,35.1,16,3.0,D5,D5,D5,F#4,F#4,F#4,D3,D3,D2,D1,D2
59.0,35.4,16,3.5,D5,D5,D5,F#4,F#4,F#4,D4,D4,D3,D2,D3
59.25,35.55,16,3.75,D5,D5,D5,F#4,F#4,F#4,C4,C4,C3,C2,C3
59.5,35.7,16,4.0,r,r,r,r,r,r,B3,B3,B2,B1,B2
59.75,35.85,16,4.25,r,r,r,r,r,r,C4,C4,C3,C2,C3
60.0,36.0,16,4.5,G5,D5,G4,r,r,r,B3,B3,B2,B1,B2
60.25,36.15,16,4.75,F#5,C5,A4,r,r,r,A3,A3,A2,A1,A2
60.5,36.3,17,1.0,G5,D5,B4,r,r,r,G3,G3,G2,G1,G2
61.0,36.6,17,1.5,D5,B4,G4,r,r,r,G3,G3,G2,G1,G2
61.25,36.75,17,1.75,C5,A4,F#4,r,r,r,G3,G3,G2,G1,G2
61.5,36.9,17,2.0,D5,B4,G4,r,r,r,r,r,r,r,r
62.0,37.2,17,2.5,r,r,r,B4,G4,D4,r,r,r,r,r
62.25,37.35,17,2.75,r,r,r,A4,F#4,C4,r,r,r,r,r
62.5,37.5,17,3.0,r,r,r,B4,G4,D4,r,r,r,r,r
63.0,37.8,17,3.5,r,r,r,G4,D4,B3,r,r,r,r,r
63.25,37.95,17,3.75,r,r,r,F#4,C4,A3,r,r,r,r,r
63.5,38.1,17,4.0,r,r,r,G4,D4,B3,r,r,r,r,r
64.0,38.4,17,4.5,r,r,r,r,r,r,G3,D4,B3,r,r
64.25,38.55,17,4.75,r,r,r,r,r,r,F#3,C4,A3,r,r
64.5,38.7,18,1.0,r,r,r,r,r,r,G3,B3,G3,r,r
64.75,38.85,18,1.25,r,r,r,r,r,r,G3,C4,G3,r,r
65.0,39.0,18,1.5,B4,B4,B4,D4,D4,D4,G2,B3,D3,G1,G2
65.25,39.15,18,1.75,C5,C5,C5,D4,D4,D4,A2,A3,D3,A1,A2
65.5,39.3,18,2.0,D5,D5,D5,G4,G4,G4,B2,G3,B2,B1,B2
65.75,39.45,18,2.25,D5,D5,D5,B4,B4,B4,B2,G3,B2,B1,B2
66.0,39.6,18,2.5,E5,E5,E5,A4,A4,A4,C#3,C#3,C#3,C#2,C#3
66.25,39.75,18,2.75,E5,E5,E5,G4,G4,G4,C#3,C#3,C#3,C#2,C#3
66.5,39.9,18,3.0,A4,A4,A4,F#4,F#4,F#4,D3,D3,D3,D2,D3
66.75,40.05,18,3.25,A4,A4,A4,A4,F#4,F#4,D3,D3,D3,D2,D3
67.0,40.2,18,3.5,D6,A5,F#5,D4,F#4,F#4,D3,D3,D3,D2,D3
67.25,40.35,18,3.75,C#6,G5,E5,E4,F#4,F#4,D3,D3,D3,D2,D3
67.5,40.5,18,4.0,D6,A5,D5,F#4,r,r,r,r,r,r,r
67.75,40.65,18,4.25,D6,A5,D5,G4,r,r,r,r,r,r,r
68.0,40.8,18,4.5,r,r,r,A4,E4,C#4,A3,A3,A3,A2,A3
68.25,40.95,18,4.75,r,r,r,G4,E4,C#4,A3,A3,A3,A2,A3
68.5,41.1,19,1.0,r,r,r,F#4,F#4,D4,D4,D4,D4,D3,D4
68.75,41.25,19,1.25,r,r,r,F#4,A4,D4,D4,D4,D4,D3,D4
69.0,41.4,19,1.5,D6,A5,F#5,D5,D4,D4,D4,D4,D4,D3,D4
69.25,41.55,19,1.75,C#6,G5,E5,D5,E4,D4,D4,D4,D4,D3,D4
69.5,41.7,19,2.0,D6,A5,D5,r,F#4,r,r,r,r,r,r
69.75,41.85,19,2.25,D6,A5,D5,r,G4,r,r,r,r,r,r
70.0,42.0,19,2.5,r,r,r,C#5,A4,E4,A3,A3,A3,A2,A3
70.25,42.15,19,2.75,r,r,r,C#5,G4,E4,A3,A3,A3,A2,A3
70.5,42.3,19,3.0,r,r,r,D5,F#4,F#4,D3,D3,D3,D2,D3
70.75,42.45,19,3.25,r,r,r,D5,F#4,A4,D3,D3,D3,D2,D3
71.0,42.6,19,3.5,D6,A5,F#5,A4,D5,D4,D3,D3,D3,D2,D3
71.25,42.75,19,3.75,C#6,G5,E5,A4,D5,E4,D3,D3,D3,D2,D3
71.5,42.9,19,4.0,D6,A5,D5,D4,r,F#4,r,r,r,r,r
71.75,43.05,19,4.25,D6,A5,D5,D4,r,G4,r,r,r,r,r
72.0,43.2,19,4.5,r,r,r,D5,D5,A4,A2,A2,A2,A1,A2
72.25,43.35,19,4.75,r,r,r,C#5,C#5,G4,A2,A2,A2,A1,A2
72.5,43.5,20,1.0,r,r,r,D5,D5,F#4,D2,D2,D2,D1,D2
73.0,43.8,20,1.5,D5,D5,D5,A4,A4,A4,D3,D3,D3,D2,D3
73.25,43.95,20,1.75,D5,D5,D5,G4,G4,G4,D3,D3,D3,D2,D3
73.5,44.1,20,2.0,F#5,F#5,F#5,A4,A4,A4,D3,D3,D3,D2,D3
74.0,44.4,20,2.5,A5,A5,A5,D5,D5,D5,D2,D2,D2,D1,D2
74.25,44.55,20,2.75,A5,A5,A5,C#5,C#5,C#5,D2,D2,D2,D1,D2
74.5,44.7,20,3.0,F#5,F#5,F#5,D5,D5,D5,D2,D2,D2,D1,D2
75.0,45.0,20,3.5,D5,D5,D5,F#4,F#4,F#4,D3,D3,D3,D2,D3
75.25,45.15,20,3.75,D5,D5,D5,E4,E4,E4,D3,D3,D3,D2,D3
75.5,45.3,20,4.0,F#5,F#5,F#5,F#4,F#4,F#4,D3,D3,D3,D2,D3
76.0,45.6,20,4.5,A5,A5,A5,D5,D5,D5,D2,D2,D2,D1,D2
76.25,45.75,20,4.75,A5,A5,A5,C#5,C#5,C#5,D2,D2,D2,D1,D2
76.5,45.9,21,1.0,F#5,F#5,F#5,D5,D5,D5,D2,D2,D2,D1,D2
77.0,46.2,21,1.5,A4,A4,A4,D4,D4,D4,D3,D3,D3,D2,D3
77.25,46.35,21,1.75,A4,A4,A4,E4,E4,E4,C#3,C#3,C#3,C#2,C#3
77.5,46.5,21,2.0,D5,D5,D5,F#4,F#4,F#4,B2,B2,B2,B1,B2
77.75,46.65,21,2.25,F#5,F#5,F#5,F#4,F#4,F#4,B2,B2,B2,B1,B2
78.0,46.8,21,2.5,E5,E5,E5,G#4,G#4,G#4,E3,E3,E3,E2,E3
78.25,46.95,21,2.75,D5,D5,D5,G#4,G#4,G#4,E3,E3,E3,E2,E3
78.5,47.1,21,3.0,C#5,C#5,C#5,A4,A4,A4,A2,A2,A2,A1,A2
78.75,47.25,21,3.25,C#5,E5,C#5,A4,A4,A4,A2,A2,A2,A1,A2
79.0,47.4,21,3.5,C#5,A4,C#5,C#5,A4,E4,A2,A2,A2,A1,A2
79.25,47.55,21,3.75,C#5,B4,C#5,B4,G#4,D4,A2,A2,A2,A1,A2
79.5,47.7,21,4.0,r,C#5,r,A4,A4,E4,r,r,r,r,r
79.75,47.85,21,4.25,r,D5,r,A4,A4,E4,r,r,r,r,r
80.0,48.0,21,4.5,C#5,E5,A4,r,r,r,A2,A2,A2,A1,A2
80.25,48.15,21,4.75,C#5,F#5,A4,r,r,r,A2,A2,A2,A1,A2
80.5,48.3,22,1.0,B4,G5,G4,r,r,r,E3,E3,E3,E2,E3
80.75,48.45,22,1.25,B4,G5,B4,r,r,r,E3,E3,E3,E2,E3
81.0,48.6,22,1.5,B4,G5,E4,B4,G4,E4,E3,E3,E3,E2,E3
81.25,48.75,22,1.75,B4,G5,F#4,A4,F#4,E-4,E3,E3,E3,E2,E3
81.5,48.9,22,2.0,r,r,G4,B4,E4,E4,r,r,r,r,r
81.75,49.05,22,2.25,r,r,A4,B4,E4,E4,r,r,r,r,r
82.0,49.2,22,2.5,E5,G5,B4,r,r,r,E3,E3,E3,E2,E3
82.25,49.35,22,2.75,E5,G5,C#5,r,r,r,E3,E3,E3,E2,E3
82.5,49.5,22,3.0,D5,F#5,D5,r,r,r,B2,B2,B2,B1,B2
82.75,49.65,22,3.25,F#5,F#5,D5,r,r,r,B2,B2,B2,B1,B2
83.0,49.8,22,3.5,B4,F#5,D5,B4,F#4,D4,B2,B2,B2,B1,B2
83.25,49.95,22,3.75,C#5,F#5,D5,A4,E4,C#4,B2,B2,B2,B1,B2
83.5,50.1,22,4.0,D5,r,r,B4,F#4,B3,r,r,r,r,r
83.75,50.25,22,4.25,E5,r,r,B4,F#4,B3,r,r,r,r,r
