qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
188.0,208.0,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),,U(A Horn 2),U(A Horn 1),U(D Trumpet 2)&P8(Timpani),U(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
208.0,212.0,P8(Bassoon 1),U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P8(Viola),U(Flute 2)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P8(Viola),P8(Flute 2)&P8(Oboe 1)&U(A Clarinet 2)&P8(Bassoon 2)&U(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Viola),,P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bassoon 2)&U(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Viola),P8(Flute 1),P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani)&U(Viola),P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 2)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Viola),P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 2)&U(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Viola),U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani)&P8(Viola),U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani)&P8(Viola),P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&U(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Viola),Main Part,P8(Main),P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&U(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(Contrabass),P8(Violoncello)
212.0,220.0,Main Part,,P8(A Clarinet 2),,,P8(Oboe 1),,P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(Bassoon 2)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(Bassoon 2)&U(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),U(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Violin 2),P8(Violin 1),P8(Violoncello),P8(Viola),
220.0,226.25,Main Part,,,,,,,,,,,,,P8(Violin 2),P8(Violin 1),P8(Violoncello),P8(Viola),
226.25,228.5,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,Main Part,P8(Main),,,
228.5,230.5,Main Part,,P8(Main),,,,,,,,,,,P8(Violin 2),P8(Violin 1),,,
230.5,234.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,Main Part,P8(Main),,,
234.0,236.0,Main Part,,P8(Main),,,,,,,,,,,P8(Violin 2),P8(Violin 1),,,
236.0,238.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,Main Part,P8(Main),,,
238.0,241.75,Main Part,,P8(Main),,,,,,,,,,,P8(Violin 2),P8(Violin 1),,,
241.75,245.75,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,Main Part,P8(Main),,,
245.75,247.75,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,Main Part,P8(Main),,,
247.75,260.0,Main Part,,,,P3(A Clarinet 2)&P4(A Horn 1)&P4(A Horn 2),P3(A Clarinet 1)&P6(A Horn 1)&P6(A Horn 2),,,P4(A Clarinet 1)&P6(A Clarinet 2)&P8(A Horn 2),P4(A Clarinet 1)&P6(A Clarinet 2)&P8(A Horn 1),,,,U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
260.0,283.5,Main Part,,,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
283.5,301.5,Main Part,,P8(Main),,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),P8(A Horn 2),P8(A Horn 1),,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
301.5,324.5,Main Part,,,P8(Main),,,,,P8(A Horn 2),P8(A Horn 1),,,,,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
324.5,349.5,Main Part,,,,,,,,,,P8(Timpani),,P8(D Trumpet 1),,,,P8(Contrabass),P8(Violoncello)
349.5,361.5,Main Part,,P8(Main)&P8(Oboe 2),P8(Main)&P8(Oboe 1),P8(Violin 1),,U(Bassoon 2),U(Bassoon 1),P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Clarinet 1),,,P8(Contrabass),P8(Violoncello)
361.5,386.0,Main Part,P5(Oboe 2)&P7(Bassoon 2),,P5(Flute 2)&P3(Bassoon 2),,,P8(Main),P7(Flute 2)&P3(Oboe 2),P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
386.0,391.0,P8(A Clarinet 1)&P8(Bassoon 1),P5(Oboe 2)&P8(A Clarinet 2),,P5(Flute 2)&P5(A Clarinet 2),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P5(Oboe 2),P8(Flute 1)&P8(A Clarinet 1),P8(Violoncello)&P8(Contrabass),P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
391.0,408.0,,,,,,,,,,,P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
408.0,414.0,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),,,,,,,Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
414.0,449.0,,,,,,,,,P8(A Horn 2),P8(A Horn 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
449.0,461.0,,U(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani),,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,U(Flute 2)&U(D Trumpet 2)&P8(Timpani),U(Flute 2)&U(D Trumpet 1)&P8(Timpani),P8(Flute 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
461.0,485.0,P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 2),P8(Oboe 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),,,U(D Trumpet 2)&P8(Timpani),U(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
485.0,527.0,,P8(Oboe 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),,P8(Flute 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),,,,P8(Flute 2)&P8(Oboe 2)&U(A Horn 1)&P8(A Horn 2),P8(Flute 2)&P8(Oboe 2)&U(Bassoon 2)&P8(A Horn 2),P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2)&P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,,
527.0,531.5,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),,,,,,,Main Part,,,,
531.5,545.0,P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&U(A Clarinet 1)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2),,P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Horn 1)&P8(A Horn 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&U(Bassoon 2)&P8(A Horn 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 2)&P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,,
545.0,551.0,P8(Oboe 1)&P8(Bassoon 1),U(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P8(Flute 1)&P8(Bassoon 1),U(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P8(Flute 2)&P8(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P8(Flute 2)&P8(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P5(A Horn 1)&P5(A Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P5(Flute 2)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P5(Flute 2)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P5(Flute 2)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P5(Flute 2)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P5(Flute 2)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P5(Bassoon 2)&P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
551.0,572.0,Main Part,,P8(Main)&P8(A Clarinet 1)&U(Violin 1),,P8(Main)&P8(Oboe 1)&P8(Violin 1),,,,,,U(D Trumpet 2),U(D Trumpet 1),,P8(Main)&U(Oboe 1)&P8(A Clarinet 1),,,P8(Contrabass),P8(Violoncello)
572.0,606.0,Main Part,,P8(Oboe 2),P8(Oboe 1),,,,,P8(A Horn 2),P8(A Horn 1),U(D Trumpet 2)&P8(Timpani),U(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
606.0,629.5,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
629.5,647.5,P8(Oboe 1),,P8(Flute 1),,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),P8(A Horn 2),P8(A Horn 1),,,,Main Part,U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
647.5,670.5,P8(Oboe 2),,Main Part,P8(Flute 1),,,,,P8(A Horn 2),P8(A Horn 1),,,,,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
670.5,695.5,,,Main Part,,,,,,,,P8(Timpani),,P8(D Trumpet 1),,,,P8(Contrabass),P8(Violoncello)
695.5,707.5,P8(Oboe 1)&P8(Oboe 2),,P8(Flute 1)&P8(Oboe 2),P8(Flute 1)&P8(Oboe 1),P8(Main),,U(Bassoon 2),U(Bassoon 1),P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
707.5,732.0,P8(Bassoon 1),P5(Oboe 2)&P7(Bassoon 2),,P5(Flute 2)&P3(Bassoon 2),,,P8(Flute 1),P7(Flute 2)&P3(Oboe 2),P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
732.0,737.0,P8(A Clarinet 1)&P8(Bassoon 1),P5(Oboe 2)&P8(A Clarinet 2),,P5(Flute 2)&P5(A Clarinet 2),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P5(Oboe 2),P8(Flute 1)&P8(A Clarinet 1),P8(Violoncello)&P8(Contrabass),P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
737.0,754.0,,,,,,,,,,,P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
754.0,760.0,Main Part,,P8(Main)&P8(Bassoon 1),,,,P8(Main)&P8(Oboe 1),,,,,,,,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
760.0,795.0,Main Part,,,,,,,,P8(A Horn 2),P8(A Horn 1),,,,,,,P8(Contrabass),P8(Violoncello)
795.0,807.0,Main Part,U(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani),,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,U(Flute 2)&U(D Trumpet 2)&P8(Timpani),U(Flute 2)&U(D Trumpet 1)&P8(Timpani),P8(Flute 2)&P8(D Trumpet 1)&P8(D Trumpet 2),U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
807.0,831.0,Main Part,P8(Main)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Bassoon 1),P8(Main)&P8(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 2),P8(Oboe 1),P8(Main)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),,,U(D Trumpet 2)&P8(Timpani),U(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
