qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
50.0,43.4783,13,3.0,r,r,r,r,B4,G#4,B3,G#3,r,r,r,r,r,r,r,r,r,r
52.0,45.2174,14,1.0,G#4,r,r,r,G#4,r,D4,B3,r,r,r,r,r,D4,B3,E3,E3,E2
52.25,45.4348,14,1.25,G#4,r,r,r,G#4,r,D4,B3,r,r,r,r,r,D4,B3,E3,E3,E2
52.5,45.6522,14,1.5,A4,r,r,r,A4,r,D4,B3,r,r,r,r,r,E4,C#4,E3,E3,E2
52.75,45.8696,14,1.75,B4,r,r,r,B4,r,D4,B3,r,r,r,r,r,F#4,D4,E3,E3,E2
53.0,46.087,14,2.0,C#5,r,r,r,C#5,r,D4,B3,r,r,r,r,r,G#4,E4,r,E3,E2
53.25,46.3043,14,2.25,D5,r,r,r,D5,r,D4,B3,r,r,r,r,r,A4,F#4,r,E3,E2
53.5,46.5217,14,2.5,E5,r,r,r,E5,r,D4,B3,r,r,r,r,r,B4,G#4,r,E3,E2
53.75,46.7391,14,2.75,F#5,r,r,r,F#5,r,D4,B3,r,r,r,r,r,C#5,A4,r,E3,E2
54.0,46.9565,14,3.0,G#5,r,G#5,r,G#5,B4,D4,B3,E4,E3,r,r,r,D5,B4,D4,E3,E2
54.25,47.1739,14,3.25,A5,r,A5,r,D5,B4,D4,B3,E4,E3,r,r,r,E5,C#5,E4,E3,E2
54.5,47.3913,14,3.5,B5,r,B5,r,D5,B4,D4,B3,E4,E3,r,r,r,F#5,D5,F#4,E3,E2
54.75,47.6087,14,3.75,C#6,r,C#6,r,D5,B4,D4,B3,E4,E3,r,r,r,G#5,E5,G#4,E3,E2
55.0,47.8261,14,4.0,D6,D6,D6,B5,D5,B4,D4,B3,E4,E3,r,r,r,A5,F#5,A4,E3,E2
55.25,48.0435,14,4.25,E6,E6,D6,B5,D5,B4,D4,B3,E4,E3,r,r,r,B5,G#5,B4,E3,E2
55.5,48.2609,14,4.5,F#6,F#6,D6,B5,D5,B4,D4,B3,E4,E3,r,r,r,C#6,A5,C#5,E3,E2
55.75,48.4783,14,4.75,G#6,E6,D6,B5,D5,B4,D4,B3,E4,E3,r,r,r,D6,B5,D5,E3,E2
56.0,48.6957,15,1.0,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,A2,C#6,A5,C#5,A2,A1
56.25,48.913,15,1.25,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,A2,C#6,A5,C#4,A2,A1
56.5,49.1304,15,1.5,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,A2,C#6,A5,C#4,B2,B1
56.75,49.3478,15,1.75,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,A2,C#6,A5,C#4,C#3,C#2
57.0,49.5652,15,2.0,A6,E6,C#6,A5,C#5,A4,C#4,A3,A4,A3,A5,A4,r,r,A5,C#4,D3,D2
