score_qstamp,qstamp,measure,beat,246972_tstamp,831985_tstamp,728903_tstamp,728916_tstamp,728893_tstamp,728898_tstamp,729161_tstamp,728923_tstamp,736748_tstamp,728931_tstamp,728940_tstamp,728935_tstamp,728927_tstamp,728907_tstamp,728911_tstamp,728944_tstamp,728958_tstamp,728961_tstamp
12.0,12.0,5,3.0,2.289,2.289,4.449,5.029,0.3963,10.369,4.029,5.109,4.689,0.329,0.2341,4.969,1.249,4.349,4.309,2.669,2.709,3.509
13.0,13.0,6,1.0,2.4614,2.4614,4.6214,5.2014,0.3976,23.5414,4.2014,5.2814,4.8656,0.3876,0.235,5.1414,1.4214,4.5214,4.4814,2.8014,2.8814,3.6614
14.0,14.0,6,2.0,2.6338,2.6338,4.7938,5.3738,0.399,23.7138,4.3738,5.4538,5.0938,0.3984,0.2358,5.3138,1.5938,4.6938,4.6538,2.9738,3.0538,3.7938
15.0,15.0,6,3.0,2.8062,2.8062,4.9662,5.5462,0.4462,23.9124,4.5462,5.6262,5.2662,0.5462,0.2367,5.4462,1.7662,4.8462,4.8324,3.1262,3.2262,3.9662
16.0,16.0,7,1.0,2.9786,2.9786,5.1386,5.7186,0.5786,24.1572,4.7186,5.7986,5.4386,0.7186,0.2375,5.6186,1.9386,4.9795,5.0186,3.2786,3.3586,4.1186
17.0,17.0,7,2.0,3.151,3.151,5.311,5.891,0.751,24.979,4.851,5.971,5.653,0.891,0.2384,5.751,2.111,5.131,5.191,3.431,3.531,4.251
18.0,18.0,7,3.0,3.3234,3.3234,5.4834,6.0634,0.9234,25.3268,5.0234,6.1234,5.8434,1.0434,0.2392,5.9234,2.2834,5.3034,5.3634,3.5634,3.7034,4.4234
19.0,19.0,8,1.0,3.4559,3.4559,5.6559,6.1959,1.0959,25.5159,5.1959,6.2959,6.0159,1.2159,0.2559,6.0959,2.4559,5.4759,5.5359,3.7359,3.8759,4.5959
20.0,20.0,8,2.0,3.6283,3.6283,5.8283,6.3683,1.2683,25.6883,5.3283,6.4683,6.2283,1.3883,0.4283,6.2683,2.6283,5.6083,5.7083,3.8742,3.9971,4.7361
21.0,21.0,8,3.0,3.8007,3.8007,6.0007,6.5407,1.4407,25.8607,5.5007,6.6407,6.4007,1.5607,0.5903,6.4207,2.7807,5.7807,5.8807,4.0407,4.1607,4.8807
22.0,22.0,9,1.0,3.9731,3.9731,6.1531,6.7131,1.6131,26.0531,5.6731,6.8131,6.5731,1.7331,0.7531,6.5331,2.8617,5.9531,6.0531,4.0931,4.2931,4.9666
23.0,23.0,9,2.0,4.1455,4.1455,6.3255,6.8855,1.8055,26.2255,5.8455,6.9855,6.7655,1.9055,0.9255,6.6855,2.8647,6.1255,6.2255,4.2655,4.4655,5.1255
24.0,24.0,9,3.0,4.3179,4.3179,6.4779,7.0579,1.9779,26.3979,5.9579,7.1579,6.9379,2.0779,1.0979,6.8579,2.8678,6.2779,6.3979,4.4379,4.6379,5.2979
25.0,25.0,10,1.0,4.4903,4.4903,6.6503,7.2303,2.1503,29.5103,6.1103,7.3303,7.1206,2.2503,1.2421,7.0103,2.8709,6.3703,6.5703,4.5903,4.8103,5.4703
26.0,26.0,10,2.0,4.6828,4.6828,6.7828,7.4028,2.3228,29.6828,6.2828,7.5028,7.3428,2.4428,1.3428,7.1828,2.874,6.5428,6.7428,4.7628,4.9828,5.6428
26.5,26.5,10,2.5,4.769,4.769,6.849,7.489,2.409,29.769,6.369,7.589,7.429,2.529,1.429,7.269,2.8755,6.629,6.829,4.849,5.069,5.729
27.0,27.0,10,3.0,4.8552,4.8552,6.9352,7.5752,2.4952,29.8552,6.4552,7.6752,7.5152,2.6152,1.5152,7.3352,2.8771,6.7152,6.9152,4.9352,5.1552,5.8152
27.5,27.5,10,3.5,4.9414,4.9414,7.0214,7.6607,2.5614,29.9414,6.5207,7.7407,7.6414,2.7214,1.6014,7.4214,2.8786,6.8014,7.0014,5.0214,5.2414,5.8814
28.0,28.0,11,1.0,5.0276,5.0276,7.1152,7.7276,2.6476,32.9336,6.5876,7.8076,7.7276,2.8076,1.6876,7.5076,2.8876,6.8876,7.0876,5.1076,5.3276,5.9676
29.0,29.0,11,2.0,5.2,5.2,7.3,7.9,2.82,34.16,6.76,7.96,7.92,3.0,1.86,7.64,3.0,7.06,7.28,5.2,5.5,6.14
30.0,30.0,11,3.0,5.3724,5.3724,7.4924,8.0524,2.9924,34.8296,6.9324,8.1124,8.1048,3.1724,2.0324,7.8124,3.1724,7.1924,7.4524,5.3724,5.6324,6.3124
31.0,31.0,12,1.0,5.5048,5.5048,7.6648,8.2048,3.1448,35.2248,7.1048,8.2848,8.2848,3.3448,2.2048,7.9848,3.3448,7.3648,7.6048,5.5448,5.8048,6.4248
32.0,32.0,12,2.0,5.6772,5.6772,7.8372,8.3772,3.3172,35.5632,7.2172,8.4572,8.4744,3.5172,2.3772,8.1572,3.5172,7.4972,7.7772,5.7172,5.9772,6.5372
33.0,33.0,12,3.0,5.8497,5.8497,8.0097,8.5297,3.4897,35.7497,7.3897,8.6297,8.6497,3.6897,2.5497,8.3097,3.6697,7.6697,7.9497,5.8297,6.1497,6.7097
34.0,34.0,13,1.0,6.0221,6.0221,8.1821,8.7021,3.6621,35.9221,7.5621,8.8042,8.8242,3.8421,2.7221,8.4421,3.8421,7.8221,8.1221,5.9821,6.3021,6.8821
35.0,35.0,13,2.0,6.2145,6.2145,8.3545,8.8945,3.8345,36.0945,7.7345,8.9945,9.0145,4.0145,2.8945,8.6145,4.0145,8.0145,8.3145,6.1545,6.509,7.0345
36.0,36.0,13,3.0,6.3869,6.3869,8.5269,9.0669,4.0069,36.3007,7.9069,9.1669,9.1938,4.1869,3.0669,8.7869,4.1869,8.1469,8.4869,6.2869,6.6869,7.2069
37.0,37.0,14,1.0,6.5593,6.5593,8.6993,9.2393,4.1793,40.0452,8.0793,9.3393,9.3993,4.3793,3.2393,8.9593,4.3593,8.2993,8.6593,6.4593,6.8593,7.3993
38.0,38.0,14,2.0,6.7317,6.7317,8.8717,9.4117,4.3717,40.5317,8.2517,9.4717,9.5717,4.5717,3.4117,9.1317,4.5317,8.4317,8.8317,6.6317,7.0317,7.5717
39.0,39.0,14,3.0,6.9041,6.9041,9.0641,9.5841,4.5441,75.2891,8.3441,9.6441,9.7641,4.7441,3.5841,9.2441,4.7041,8.6041,9.0041,6.7641,7.1507,7.7441
40.0,40.0,15,1.0,7.0766,7.0766,9.2366,9.7566,4.7166,79.4366,8.5166,9.8166,9.9366,4.9166,3.7566,9.4166,4.8766,8.7766,9.1766,6.9366,7.2766,7.9166
41.0,41.0,15,2.0,7.249,7.249,9.409,9.929,4.889,79.609,8.689,9.989,10.209,5.089,3.929,9.589,5.049,8.949,9.389,7.109,7.449,8.089
42.0,42.0,15,3.0,7.4214,7.4214,9.5814,10.1014,5.0614,79.7814,8.8614,10.1614,10.4014,5.3014,4.1014,9.7614,5.2814,9.1214,9.5614,7.2814,7.6214,8.2014
43.0,43.0,16,1.0,7.5938,7.5938,9.7676,10.2738,5.2338,79.9538,9.0338,10.3338,10.5738,5.4738,4.2738,9.7928,5.4538,9.2869,9.7338,7.4538,7.7938,8.3738
44.0,44.0,16,2.0,7.7662,7.7662,9.9462,10.4462,5.4062,80.1262,9.2062,10.5062,10.7462,5.6662,4.4462,9.8862,5.6262,9.4462,9.9062,7.6062,7.9662,8.5462
45.0,45.0,16,3.0,7.9386,7.9386,10.1186,10.6186,5.5786,80.2986,9.3786,10.6786,10.9186,5.8386,4.6186,10.0586,5.7986,9.5786,10.0786,7.7786,8.1386,8.7186
46.0,46.0,17,1.0,8.111,8.111,10.291,10.791,5.751,80.491,9.551,10.851,11.131,6.011,4.791,10.231,5.971,9.691,10.251,7.871,8.311,8.891
47.0,47.0,17,2.0,8.2834,8.2834,10.4634,10.9317,5.9234,80.6634,9.7234,11.0117,11.3034,6.1834,4.9634,10.4034,6.1434,9.8634,10.4234,8.0434,8.4834,9.0634
48.0,48.0,17,3.0,8.4559,8.4559,10.6359,11.0959,6.0959,80.8359,9.8959,11.1759,11.4959,6.3559,5.1359,10.5759,6.3159,10.0359,10.5959,8.1359,8.6559,9.1393
49.0,49.0,18,1.0,8.6083,8.6083,10.8083,11.2683,6.2683,81.0083,10.0683,11.3483,11.6683,6.5283,5.3483,10.7483,6.4883,10.2083,10.7683,8.3083,8.8083,9.2683
50.0,50.0,18,2.0,8.7807,8.7807,10.9807,11.4407,6.4407,81.1807,10.2407,11.5007,11.8607,6.7007,5.5207,10.9207,6.6607,10.3607,10.9407,8.4407,8.9807,9.4007
51.0,51.0,18,3.0,8.9531,8.9531,11.1531,11.5866,6.6131,81.3531,10.4131,11.6531,12.0731,6.8731,5.6931,11.0931,6.8331,10.5331,11.1131,8.6131,9.1266,9.5731
52.0,52.0,19,1.0,9.1255,9.1255,11.3218,11.7455,6.7855,81.5255,10.5855,11.8255,12.2455,7.0455,5.8655,11.2655,7.0055,10.6752,11.2855,8.7455,9.2455,9.6855
53.0,53.0,19,2.0,9.2979,9.2979,11.4579,11.9179,6.9579,81.6979,10.7579,11.9979,12.4179,7.2179,6.0379,11.4379,7.1779,10.8379,11.4579,8.9179,9.4179,9.8579
54.0,54.0,19,3.0,9.4703,9.4703,11.6303,12.0703,7.1303,81.8703,10.8103,12.1703,12.5903,7.3903,6.2103,11.6103,7.3503,10.9903,11.6303,9.0703,9.5903,10.0303
55.0,55.0,20,1.0,9.6428,9.6428,11.8028,12.2428,7.3028,82.0428,10.9828,12.3428,12.8228,7.5628,6.3912,11.7828,7.5228,11.1628,11.8228,9.2028,9.7628,10.2028
56.0,56.0,20,2.0,9.8152,9.8152,11.9552,12.4152,7.4552,82.2152,11.1352,12.4952,12.9952,7.7352,6.6152,11.9552,7.6952,11.3352,11.9952,9.3752,9.9352,10.2952
57.0,57.0,20,3.0,9.9876,9.9876,12.1276,12.5876,7.6276,100.2476,11.2676,12.6676,13.1752,7.9076,6.7876,12.1276,7.8676,11.5076,12.1476,9.5276,10.0876,10.4676
58.0,58.0,21,1.0,10.16,10.16,12.3,12.76,7.8,100.42,11.44,12.84,13.4,8.08,6.94,12.3,8.04,11.64,12.32,9.66,10.26,10.64
59.0,59.0,21,2.0,10.3324,10.3324,12.4724,12.9324,7.9524,103.8456,11.5724,13.0124,13.5724,8.2524,7.0324,12.4724,8.2124,11.7924,12.4924,9.8324,10.3724,10.7924
60.0,60.0,21,3.0,10.5048,10.5048,12.6448,13.0648,8.1248,105.1048,11.7448,13.1448,13.7496,8.4248,7.1848,12.6448,8.3848,11.9648,12.6696,9.9848,10.5448,10.9448
61.0,61.0,22,1.0,10.6772,10.6772,12.8172,13.2372,8.2972,108.4876,11.9172,13.3172,13.9372,8.5972,7.3572,12.8172,8.5572,12.1372,12.8572,10.1372,10.7172,11.0972
62.0,62.0,22,2.0,10.8497,10.8497,12.9897,13.4097,8.4697,109.1697,12.0897,13.4897,14.1297,8.7697,7.5697,12.9897,8.7297,12.3097,13.0297,10.2697,10.8697,11.2497
63.0,63.0,22,3.0,11.0021,11.0021,13.1421,13.5821,8.6421,109.361,12.2621,13.6621,14.3221,8.9421,7.7421,13.1621,8.9021,12.4021,13.2021,10.4221,11.0421,11.4221
64.0,64.0,23,1.0,11.1745,11.1745,13.2945,13.7545,8.8145,109.709,12.3945,13.8145,14.4945,9.1145,7.9145,13.2745,9.0745,12.5745,13.3745,10.5772,11.2145,11.5189
65.0,65.0,23,2.0,11.3469,11.3469,13.4669,13.9269,8.9869,109.8869,12.5669,13.9869,14.6669,9.2869,8.0869,13.4469,9.2469,12.7469,13.5469,10.7269,11.3869,11.6869
66.0,66.0,23,3.0,11.5193,11.5193,13.6393,14.0993,9.1593,110.0593,12.7393,14.1593,14.8986,9.4593,8.2593,13.6193,9.4193,12.8993,13.7193,10.8993,11.4993,11.8193
67.0,67.0,24,1.0,11.6917,11.6917,13.8117,14.2517,9.3317,110.3955,12.8717,14.3317,15.0717,9.6317,8.4317,13.7517,9.5917,13.0117,13.8917,11.0317,11.6717,11.9917
68.0,68.0,24,2.0,11.9041,11.9041,13.9841,14.4241,9.5241,110.6841,13.0441,14.4841,15.2641,9.8241,8.6041,13.9241,9.7841,13.1841,14.0641,11.2041,11.8441,12.1641
68.5,68.5,24,2.5,11.9903,11.9903,14.0703,14.5103,9.6103,110.7703,13.1303,14.5703,15.3903,9.9103,8.6903,14.0103,9.8703,13.2703,14.1503,11.2903,11.9303,12.2503
69.0,69.0,24,3.0,12.0766,12.0766,14.1566,14.5966,9.6966,110.8566,13.2166,14.6566,15.4766,9.9966,8.7766,14.0766,9.9566,13.3566,14.2366,11.3766,12.0166,12.3166
69.5,69.5,24,3.5,12.1628,12.1628,14.2228,14.6828,9.7628,111.0828,13.2914,14.7428,15.5628,10.0828,8.7904,14.1628,10.0428,13.4428,14.3028,11.4228,12.0828,12.4028
70.0,70.0,25,1.0,12.249,12.249,14.309,14.769,9.849,119.769,13.349,14.829,15.649,10.169,8.809,14.249,10.129,13.509,14.389,11.509,12.169,12.469
71.0,71.0,25,2.0,12.4214,12.4214,14.4814,14.9414,10.0214,124.4056,13.5014,15.0014,15.8614,10.3414,8.9814,14.4014,10.3014,13.6814,14.5814,11.6614,12.3414,12.6414
72.0,72.0,25,3.0,12.5938,12.5938,14.6538,15.1138,10.1938,127.6876,13.6738,15.1538,16.0338,10.5338,9.0538,14.5738,10.4738,13.8338,14.7538,11.8338,12.5138,12.8138
73.0,73.0,26,1.0,12.7662,12.7662,14.8062,15.2462,10.3462,132.9262,13.8462,15.2862,16.2062,10.7062,9.1049,14.7262,10.6262,13.9862,14.9262,12.0062,12.6662,12.9262
74.0,74.0,26,2.0,12.9386,12.9386,14.9786,15.4186,10.5186,153.9856,14.0186,15.4586,16.4786,10.8786,9.1115,14.8786,10.7986,14.1586,15.0986,12.0798,12.8386,13.0986
75.0,75.0,26,3.0,13.091,13.091,15.151,15.571,10.691,157.764,14.191,15.631,16.651,11.071,9.1181,15.051,10.971,14.331,15.271,12.251,13.011,13.211
76.0,76.0,27,1.0,13.2634,13.2634,15.3268,15.7468,10.8634,159.811,14.3234,15.8034,16.8234,11.2434,9.2434,15.2234,11.1434,14.4634,15.3834,12.4034,13.1834,13.3434
77.0,77.0,27,2.0,13.4359,13.4359,15.5159,15.9359,11.0359,162.9124,14.478,15.9559,16.9959,11.4159,9.4159,15.3959,11.3159,14.6359,15.5559,12.5159,13.3186,13.5159
78.0,78.0,27,3.0,13.6083,13.6083,15.6883,16.1083,11.2083,163.6705,14.6083,16.1283,17.1966,11.5883,9.5083,15.5683,11.4883,14.7683,15.7449,12.6883,13.4883,13.6883
79.0,79.0,28,1.0,13.7807,13.7807,15.8407,16.2807,11.3807,164.7878,14.7807,16.3007,17.3807,11.7607,9.6201,15.7407,11.6807,14.9407,15.9407,12.8607,13.6607,13.8607
80.0,80.0,28,2.0,13.9531,13.9531,16.0131,16.4531,11.5531,171.7731,14.9466,16.4731,17.5531,11.9331,9.6373,15.9131,11.8531,15.0966,16.1131,13.0331,13.8331,14.0331
81.0,81.0,28,3.0,14.1255,14.1255,16.1855,16.5855,11.7055,171.951,15.1055,16.6455,17.7855,12.1055,9.7855,16.0855,12.0255,15.2455,16.2855,13.1655,14.0055,14.1855
82.0,82.0,29,1.0,14.3179,14.3179,16.3579,16.7579,11.8779,172.1379,15.2779,16.8179,17.9579,12.2779,9.9579,16.2579,12.1979,15.399,16.4579,13.3179,14.1779,14.3579
83.0,83.0,29,2.0,14.5103,14.5103,16.5303,16.9303,12.0703,172.3103,15.4503,16.9903,18.2503,12.4903,10.1303,16.4903,12.3703,15.5703,16.6303,13.4903,14.3503,14.5303
84.0,84.0,29,3.0,14.6828,14.6828,16.7028,17.1028,12.2428,172.4828,15.6228,17.1628,18.4228,12.6628,10.3028,16.6628,12.5428,15.7428,16.8028,13.6343,14.5228,14.6833
85.0,85.0,30,1.0,14.8552,14.8552,16.8752,17.2752,12.4152,172.6552,15.7952,17.3352,18.5952,12.8352,10.4752,16.8752,12.7152,15.9152,16.9752,13.7952,14.6952,14.7552
86.0,86.0,30,2.0,15.0276,15.0276,17.0476,17.4476,12.5876,172.8276,15.9676,17.5076,18.7676,13.0076,10.6476,17.0476,12.9076,16.0476,17.1552,13.9676,14.8676,14.9276
87.0,87.0,30,3.0,15.2,15.2,17.22,17.6,12.76,173.0,16.12,17.68,18.94,13.18,10.82,17.22,13.08,16.22,17.34,14.1,15.04,15.1
88.0,88.0,31,1.0,15.3724,15.3724,17.3924,17.7724,12.9324,173.1724,16.2924,17.8524,19.1248,13.3524,10.9924,17.3924,13.2524,16.3924,17.5124,14.2375,15.1724,15.2324
89.0,89.0,31,2.0,15.5448,15.5448,17.5648,17.9448,13.0648,173.3448,16.4248,18.0248,19.3144,13.5448,11.1648,17.5648,13.4248,16.5648,17.6848,14.3848,15.3448,15.4048
90.0,90.0,31,3.0,15.7172,15.7172,17.7372,18.1172,13.2372,173.5172,16.5372,18.1972,19.5172,13.7172,11.3372,17.7372,13.5772,16.7372,17.8572,14.5572,15.4972,15.5572
91.0,91.0,32,1.0,15.8897,15.8897,17.9097,18.2897,13.3897,173.6897,16.7097,18.3697,19.6897,13.8897,11.4497,17.9097,13.7497,16.8497,18.0297,14.6966,15.6697,15.7297
92.0,92.0,32,2.0,16.0621,16.0621,18.0821,18.4726,13.5621,173.8421,16.8821,18.5221,19.8621,14.0421,11.5802,18.0821,13.9221,16.9621,18.2021,14.8621,15.8421,15.8621
93.0,93.0,32,3.0,16.2345,16.2345,18.2545,18.7345,13.7345,174.0145,17.0545,18.6745,20.0345,14.2145,11.5994,18.2545,14.0945,17.0945,18.3745,14.9945,16.0145,16.0345
94.0,94.0,33,1.0,16.4069,16.4069,18.4269,18.9207,13.9138,174.1869,17.2269,18.8469,20.2207,14.3869,11.7069,18.4738,14.2669,17.2669,18.5469,15.1669,16.1869,16.1469
95.0,95.0,33,2.0,16.5793,16.5793,18.5993,19.1193,14.0993,174.3593,17.3993,19.0193,20.4193,14.5593,11.8793,18.6593,14.4593,17.4393,18.7593,15.3193,16.3593,16.2993
96.0,96.0,33,3.0,16.7717,16.7717,18.7717,19.2917,14.2717,174.5317,17.5717,19.1717,20.6619,14.7317,12.0517,18.8317,14.6317,17.6117,18.9317,15.4917,16.4717,16.4717
97.0,97.0,34,1.0,16.9441,16.9441,18.9441,19.3577,14.4441,174.7041,17.7441,19.3441,20.8841,14.9441,12.1641,19.0041,14.8041,17.7841,19.1041,15.6641,16.6441,16.6441
98.0,98.0,34,2.0,17.1166,17.1166,19.1166,19.5166,14.6166,174.8766,17.8966,19.5166,21.0566,15.1166,12.3366,19.1766,14.9766,17.9566,19.2766,15.7566,16.7966,16.8166
99.0,99.0,34,3.0,17.269,17.269,19.289,19.689,14.789,175.049,18.049,19.689,21.229,15.289,12.509,19.329,15.149,18.129,19.409,15.929,16.969,16.889
100.0,100.0,35,1.0,17.4414,17.4414,19.4414,19.8614,14.9614,175.2214,18.2214,19.8614,21.4614,15.4642,12.6814,19.5014,15.3214,18.2738,19.5814,16.1014,17.1414,17.0614
101.0,101.0,35,2.0,17.6138,17.6138,19.6138,20.0338,15.1338,175.3538,18.3338,20.0338,21.6338,15.6738,12.8538,19.6738,15.4938,18.4338,19.7538,16.2538,17.2938,17.2138
102.0,102.0,35,3.0,17.7862,17.7862,19.7662,20.2062,15.2862,175.5262,18.5062,20.2062,21.8062,15.8462,13.0262,19.8462,15.6662,18.6062,19.9262,16.4262,17.4262,17.3862
103.0,103.0,36,1.0,17.9586,17.9586,19.9386,20.3786,15.4586,175.6986,18.6786,20.3786,21.9786,16.0186,13.1986,20.0186,15.8386,18.7386,20.0986,16.4986,17.5986,17.5186
104.0,104.0,36,2.0,18.131,18.131,20.111,20.491,15.631,175.871,18.851,20.551,22.171,16.222,13.371,20.211,16.051,18.911,20.271,16.671,17.731,17.691
105.0,105.0,36,3.0,18.3034,18.3034,20.2434,20.6634,15.7434,176.0234,19.0234,20.7234,22.3434,16.4034,13.5434,20.3834,16.2234,19.0634,20.4434,16.8434,17.9034,17.8634
106.0,106.0,37,1.0,18.4759,18.4759,20.4159,20.8359,15.9159,176.1759,19.1959,20.8559,22.5477,16.5759,13.7159,20.5559,16.3959,19.2359,20.6159,16.9959,18.0359,17.9359
107.0,107.0,37,2.0,18.6483,18.6483,20.5883,21.0083,16.0883,176.3483,19.3683,21.0283,22.7283,16.7483,13.8883,20.7283,16.5683,19.3941,20.7883,17.1683,18.2083,18.1083
108.0,108.0,37,3.0,18.8207,18.8207,20.7607,21.1807,16.2607,176.5207,19.5407,21.2007,22.9007,16.9207,14.0607,20.9007,16.7407,19.5607,20.9607,17.2807,18.3807,18.2807
109.0,109.0,38,1.0,18.9931,18.9931,20.9331,21.3131,16.4331,176.6931,19.7131,21.3731,23.1131,17.0931,14.2331,21.0426,16.9131,19.7331,21.1331,17.4531,18.5531,18.4331
110.0,110.0,38,2.0,19.1655,19.1655,21.1055,21.4855,16.6455,176.8655,19.902,21.5255,23.2855,17.2655,14.4055,21.1455,17.2655,19.9055,21.3055,17.6255,18.7255,18.6055
111.0,111.0,38,3.0,19.3379,19.3379,21.2979,21.6579,16.8179,177.0579,20.1179,21.6979,23.5379,17.4579,14.5779,21.3179,17.4379,20.0779,21.4779,17.779,18.8979,18.7779
112.0,112.0,39,1.0,19.5103,19.5103,21.4703,21.8303,16.9903,177.2303,20.2903,21.8703,23.7103,17.6303,14.7503,21.4052,17.6103,20.2503,21.6503,17.9103,19.0652,18.9276
113.0,113.0,39,2.0,19.6828,19.6828,21.6428,22.0028,17.1628,177.4028,20.4628,22.0428,23.8828,17.8056,14.9228,21.5628,17.7828,20.4228,21.8228,18.0828,19.2228,19.0628
114.0,114.0,39,3.0,19.8552,19.8552,21.8152,22.1752,17.3352,177.5752,20.6352,22.2152,24.0552,17.9952,15.0952,21.7352,17.9552,20.5552,21.9952,18.2288,19.3952,19.1952
115.0,115.0,40,1.0,20.0276,20.0276,21.9876,22.3476,17.5076,177.7476,20.8076,22.3276,24.2276,18.1676,15.2676,21.9076,18.1276,20.7276,22.1338,18.3676,19.5676,19.3676
116.0,116.0,40,2.0,20.2,20.2,22.16,22.52,17.68,177.92,20.98,22.5,24.4,18.34,15.44,22.08,18.3,20.9,22.3,18.54,19.74,19.54
117.0,117.0,40,3.0,20.3724,20.3724,22.3124,22.6924,17.8524,178.0924,21.1175,22.6724,24.5724,18.5124,15.6124,22.2524,18.4524,21.0524,22.4724,18.7062,19.9124,19.6854
118.0,118.0,41,1.0,20.5448,20.5448,22.4848,22.8648,17.9848,178.2248,21.1327,22.8448,24.7648,18.6848,15.7848,22.405,18.5375,21.2031,22.6448,18.8648,20.0048,19.7848
119.0,119.0,41,2.0,20.7172,20.7172,22.6572,23.0372,18.1572,178.3972,21.2172,23.0172,25.006,18.8572,15.8469,22.4251,18.6972,21.2572,22.8172,19.0172,20.1772,19.9572
120.0,120.0,41,3.0,20.8897,20.8897,22.8097,23.2097,18.3297,178.5697,21.3566,23.1566,25.1897,19.0297,15.857,22.4342,18.8697,21.4097,22.9897,19.1497,20.3497,20.1097
121.0,121.0,42,1.0,21.0621,21.0621,22.9821,23.3821,18.5021,178.7421,21.5221,23.3221,25.3621,19.2021,15.9803,22.5021,19.0421,21.5821,23.1221,19.3021,20.5221,20.2421
122.0,122.0,42,2.0,21.2345,21.2345,23.1545,23.5545,18.6745,178.9145,21.6836,23.4945,25.5345,19.3745,16.0345,22.6745,19.2145,21.7545,23.3145,19.4745,20.6945,20.3945
123.0,123.0,42,3.0,21.4069,21.4069,23.3269,23.7269,18.8469,179.0869,21.8069,23.6669,25.7269,19.5469,16.2069,22.8469,19.3869,21.9269,23.4869,19.6069,20.8669,20.5669
124.0,124.0,43,1.0,21.5793,21.5793,23.4993,23.8793,19.0193,179.2593,21.9793,23.8393,25.8993,19.7193,16.3793,23.0193,19.5593,22.0593,23.6593,19.7193,21.0393,20.7193
125.0,125.0,43,2.0,21.7517,21.7517,23.6717,24.0317,19.2034,179.4317,22.1517,23.9958,26.1717,19.8917,16.5517,23.1917,19.7317,22.2317,23.8317,19.8917,21.2117,20.8517
126.0,126.0,43,3.0,21.9241,21.9241,23.8441,24.2041,19.3841,179.6041,22.3241,24.1641,26.3441,20.0641,16.7241,23.3441,19.9041,22.4041,24.0041,20.0441,21.3641,21.0241
127.0,127.0,44,1.0,22.0966,22.0966,24.0166,24.3766,19.5566,179.7766,22.4966,24.3166,26.5166,20.2366,16.8833,23.5166,20.0766,22.4993,24.1766,20.1592,21.5166,21.1966
128.0,128.0,44,2.0,22.349,22.349,24.189,24.569,19.729,179.949,22.669,24.489,26.749,20.429,16.989,23.689,20.289,22.669,24.349,20.309,21.689,21.369
128.5,128.5,44,2.5,22.4352,22.4352,24.2752,24.6552,19.8152,180.0352,22.7552,24.5752,26.8504,20.5152,17.0752,23.7752,20.3752,22.7552,24.4352,20.3952,21.7752,21.4552
