qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Horn 3,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
88.0,15.1724,31,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G#4,r,B2,B1
89.0,15.3448,31,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,E-4,r,B-2,B-1
90.0,15.5172,31,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G#4,r,B2,B1
91.0,15.6897,32,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,E-4,r,B-2,B-1
92.0,15.8621,32,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G#4,r,B2,B1
93.0,16.0345,32,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,E-4,r,B-2,B-1
94.0,16.2069,33,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G#4,r,B2,B1
95.0,16.3793,33,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G#4,r,B2,B1
96.0,16.5517,33,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#4,E-4,C3,C2
97.0,16.7241,34,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#4,E-4,C3,C2
98.0,16.8966,34,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,F4,G#4,C#3,C#2
99.0,17.069,34,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#4,E-4,C3,C2
100.0,17.2414,35,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,F4,G#4,C#3,C#2
101.0,17.4138,35,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#4,E-4,C3,C2
102.0,17.5862,35,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,F4,G#4,C#3,C#2
103.0,17.7586,36,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#4,E-4,C3,C2
104.0,17.931,36,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,F4,G#4,C#3,C#2
105.0,18.1034,36,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#4,E-4,C3,C2
106.0,18.2759,37,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,F4,G#4,C#3,C#2
107.0,18.4483,37,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,G#4,F4,C#3,C#2
108.0,18.6207,37,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#4,F#4,C3,C2
109.0,18.7931,38,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#4,F#4,C3,C2
110.0,18.9655,38,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,G#4,F4,C#3,C#2
111.0,19.1379,38,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,B-4,G#4,C#3,C#2
112.0,19.3103,39,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,B-4,G#4,C#3,C#2
113.0,19.4828,39,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,B-4,F4,D3,D2
114.0,19.6552,39,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,B-4,G#4,D3,D2
115.0,19.8276,40,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,B-4,G#4,D3,D2
116.0,20.0,40,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,B-4,G4,E-3,E-2
117.0,20.1724,40,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C5,B-4,E-3,E-2
118.0,20.3448,41,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C5,B-4,E-3,E-2
119.0,20.5172,41,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C5,G4,E3,E2
120.0,20.6897,41,3.0,C6,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C5,B-4,E3,E2
121.0,20.8621,42,1.0,F6,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C5,A4,F3,F2
122.0,21.0345,42,2.0,F6,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C5,A3,r,r
123.0,21.2069,42,3.0,F6,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,B-4,G3,r,r
124.0,21.3793,43,1.0,F6,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,A4,F3,F3,F2
125.0,21.5517,43,2.0,F6,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C5,A3,r,r
126.0,21.7241,43,3.0,F6,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,B-4,G3,r,r
127.0,21.8966,44,1.0,F6,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,A4,F3,F3,F2
128.0,22.069,44,2.0,G6,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,A4,F3,r,r
128.5,22.1552,44,2.5,F6,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,A4,F3,r,r
129.0,22.2414,44,3.0,E6,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B-4,G3,r,r
129.5,22.3276,44,3.5,D6,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,B-4,G3,r,r
130.0,22.4138,45,1.0,C6,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,A3,F3,F2
131.0,22.5862,45,2.0,C6,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,G4,E3,r,r
132.0,22.7586,45,3.0,C6,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A4,F3,r,r
133.0,22.931,46,1.0,B-5,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,G3,C3,C2
134.0,23.1034,46,2.0,B-5,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,F4,D3,r,r
135.0,23.2759,46,3.0,B-5,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,G4,E3,r,r
136.0,23.4483,47,1.0,A5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,F3,F3,F2
137.0,23.6207,47,2.0,C6,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C4,A3,r,r
138.0,23.7931,47,3.0,A5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,C4,r,r
139.0,23.9655,48,1.0,G5,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,B-3,C3,C2
140.0,24.1379,48,2.0,B-5,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,C4,G3,r,r
141.0,24.3103,48,3.0,G5,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,B-3,r,r
142.0,24.4828,49,1.0,F5,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,A3,F3,F3,F2
143.0,24.6552,49,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,A3,r,r
144.0,24.8276,49,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,C4,r,r
145.0,25.0,50,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,r,r
148.0,25.5172,51,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A3,r,r
149.0,25.6897,51,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C4,r,r
150.0,25.8621,51,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A3,r,r
151.0,26.0345,52,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,B-4,G3,C3,C2
152.0,26.2069,52,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,C5,B-3,C3,C2
153.0,26.3793,52,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,B-4,G3,C3,C2
154.0,26.5517,53,1.0,C6,r,C5,r,r,r,C4,r,r,r,r,r,r,r,C6,A4,F3,F3,F2
155.0,26.7241,53,2.0,C6,r,C5,r,r,r,C4,r,r,r,r,r,r,r,C6,C5,A3,A3,A2
156.0,26.8966,53,3.0,C6,r,C5,r,r,r,C4,r,r,r,r,r,r,r,C6,A4,F3,C4,C3
157.0,27.069,54,1.0,D6,r,D5,r,r,r,D4,r,r,r,r,r,r,r,r,r,C4,r,r
160.0,27.5862,55,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,B-3,r,r
161.0,27.7586,55,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,r,r
162.0,27.931,55,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,B-3,r,r
163.0,28.1034,56,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,C5,A3,D3,D2
164.0,28.2759,56,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,D5,C4,D3,D2
165.0,28.4483,56,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,C5,A3,D3,D2
166.0,28.6207,57,1.0,D6,r,D5,r,r,r,D4,r,r,r,r,r,r,r,D6,B-4,G3,G3,G2
167.0,28.7931,57,2.0,D6,r,D5,r,r,r,D4,r,r,r,r,r,r,r,D6,D5,B-3,B-3,B-2
168.0,28.9655,57,3.0,D6,r,D5,r,r,r,D4,r,r,r,r,r,r,r,D6,B-4,B-3,G3,G2
169.0,29.1379,58,1.0,D6,r,D5,r,r,r,D4,r,r,r,r,r,r,r,D6,A4,A3,F#3,F#2
170.0,29.3103,58,2.0,r,r,r,r,r,r,D3,r,r,r,r,r,r,r,A5,A4,F#3,D3,D2
171.0,29.4828,58,3.0,D6,r,F#5,D5,r,r,D4,r,r,r,r,r,r,r,F#5,F#4,D4,C4,C3
172.0,29.6552,59,1.0,D6,r,G5,D5,r,r,B-3,r,r,r,r,r,r,r,G5,G4,D4,B-3,B-2
173.0,29.8276,59,2.0,D6,r,B-5,D5,r,r,G3,r,r,r,r,r,r,r,B-5,B-4,B-3,G3,G2
174.0,30.0,59,3.0,C#6,r,G5,G4,r,r,E-3,r,r,r,r,r,r,r,C#5,C#4,G3,E-3,E-2
175.0,30.1724,60,1.0,D6,r,F#5,D5,r,r,D3,r,r,r,r,r,r,r,D5,D4,F#3,D3,D2
176.0,30.3448,60,2.0,r,r,r,r,r,r,C4,A3,r,r,r,r,r,r,F#5,F#4,D4,A3,A2
177.0,30.5172,60,3.0,D6,C6,A5,C5,r,r,A3,F#3,r,r,r,r,r,r,A5,A4,D4,F#3,F#2
178.0,30.6897,61,1.0,D6,B-5,G5,B-4,r,r,D4,B-3,r,r,r,r,r,r,B-5,B-4,D4,G3,G2
179.0,30.8621,61,2.0,D6,B-5,G5,B-4,r,r,B-3,G3,r,r,r,r,r,r,G5,G4,D4,B-3,B-2
180.0,31.0345,61,3.0,G6,C#6,G5,C#5,r,r,E-4,E-3,r,r,r,r,r,r,C#6,C#5,G4,E-4,E-3
181.0,31.2069,62,1.0,F#6,D6,F#5,D5,r,r,D4,D3,r,r,r,r,r,r,D6,D5,F#4,D4,D3
182.0,31.3793,62,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,C#5,C#5,C#4,C#3
183.0,31.5517,62,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,D5,D5,D4,D3
184.0,31.7241,63,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,A4,A3,A2
185.0,31.8966,63,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-4,B-4,B-3,B-2
186.0,32.069,63,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,F#4,F#4,G#3,F#2
187.0,32.2414,64,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,G4,G3,G2
188.0,32.4138,64,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
189.0,32.5862,64,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,E-4,E-4,E-3,E-2
190.0,32.7586,65,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
191.0,32.931,65,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,E-4,E-4,E-3,E-2
192.0,33.1034,65,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#4,C#4,C#3,C#2
193.0,33.2759,66,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
194.0,33.4483,66,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#4,C#4,C#3,C#2
195.0,33.6207,66,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
196.0,33.7931,67,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#4,C#4,C#3,C#2
197.0,33.9655,67,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
198.0,34.1379,67,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#4,C#4,C#3,C#2
199.0,34.3103,68,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
200.0,34.4828,68,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#4,C#4,C#3,C#2
201.0,34.6552,68,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
202.0,34.8276,69,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#4,C#4,C#3,C#2
203.0,35.0,69,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
204.0,35.1724,69,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#4,C#4,C#3,C#2
205.0,35.3448,70,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
206.0,35.5172,70,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r,r
207.0,35.6897,70,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r,r
208.0,35.8621,71,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r,r
209.0,36.0345,71,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r,r
210.0,36.2069,71,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r,r
211.0,36.3793,72,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r,r
212.0,36.5517,72,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r,r
213.0,36.7241,72,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r,r
214.0,36.8966,73,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r,r
215.0,37.069,73,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r,r
216.0,37.2414,73,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,r,r
217.0,37.4138,74,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
218.0,37.5862,74,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
219.0,37.7586,74,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
220.0,37.931,75,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
221.0,38.1034,75,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
222.0,38.2759,75,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
223.0,38.4483,76,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
224.0,38.6207,76,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
225.0,38.7931,76,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
