qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
106.5,108.0,P8(Oboe 1)&P8(Bassoon 2)&P8(E Horn 1)&P8(E Horn 2),Main Part,P8(Flute 1)&P8(Bassoon 2)&P8(E Horn 1)&P8(E Horn 2),P8(Main)&U(A Clarinet 1),P8(Main)&U(Oboe 2),,,P8(Flute 1)&P8(Oboe 1)&P8(E Horn 1)&P8(E Horn 2),P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 2)&U(E Horn 2),P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 2)&U(E Horn 1),,,U(E Trumpet 2),U(E Trumpet 1),,P8(Violin 2)&P8(Contrabass),P8(Violin 1)&P8(Contrabass),P8(Violoncello),P8(Viola),P8(Violin 1)&P8(Violin 2)
108.0,109.5,P8(E Horn 2),P8(E Horn 1),P8(Bassoon 1)&P8(Bassoon 2),U(A Clarinet 1),U(Oboe 2),,P8(Oboe 1)&U(Bassoon 2),P8(Oboe 1)&U(Bassoon 1),P8(Flute 2),P8(Flute 1),U(C Horn 4),U(C Horn 3),U(E Trumpet 2),U(E Trumpet 1),,Main Part,,,,
109.5,111.0,U(Oboe 1)&P8(Bassoon 2)&P8(C Horn 3)&P8(C Horn 4),Main Part,U(Flute 1)&P8(Bassoon 2)&P8(C Horn 3)&P8(C Horn 4),U(Main)&U(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),U(Main)&U(Oboe 2)&P8(A Clarinet 2)&P3(Bassoon 1),P8(Main)&P8(Oboe 2)&P8(A Clarinet 1)&P3(Bassoon 1),P3(Main)&P3(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2),P8(Flute 1)&P8(Oboe 1)&P8(C Horn 3)&P8(C Horn 4),P3(E Horn 2),P3(E Horn 1),P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 2)&U(C Horn 4),P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 2)&U(C Horn 3),U(E Trumpet 2),U(E Trumpet 1),,P3(Violoncello),P3(Viola),P3(Violin 2),P3(Violin 1),
111.0,114.0,,,,P8(A Clarinet 2),,P8(Oboe 2),,,,,U(C Horn 4),U(C Horn 3),U(E Trumpet 2),U(E Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
114.0,117.0,Main Part,U(Main),P8(Violin 1),,,,,,U(E Horn 2),U(E Horn 1),,,U(E Trumpet 2)&P8(Contrabass),U(E Trumpet 1)&P8(Contrabass),,P8(Oboe 1),,,,P8(E Trumpet 1)&P8(E Trumpet 2)
117.0,120.0,Main Part,U(Main),,,,,,,U(E Horn 2),U(E Horn 1),,,,,,U(Violin 2)&P5(Viola)&P5(Violoncello),U(Violin 1)&P5(Viola)&P5(Violoncello),P5(Violin 1)&P5(Violin 2)&U(Violoncello),P5(Violin 1)&P5(Violin 2)&U(Viola),
120.0,132.0,,,,,,,,,,,,,,,,,,,Main Part,
132.0,135.0,,,,,,,Main Part,U(Viola),,,,,,,,,U(Main),U(Bassoon 2),,
135.0,138.0,,,,,,,U(Violin 2),U(Viola),,,,,,,,,U(Bassoon 1),U(Bassoon 2),Main Part,
138.0,141.0,,,,,,,Main Part,U(Main)&U(Viola),,,,,,,,,,U(Main)&U(Bassoon 2),,
141.0,147.0,,,,,U(A Clarinet 2),U(A Clarinet 1),U(Bassoon 2),U(Bassoon 1),,,,,,,,,,,Main Part,
147.0,148.5,,,,,Main Part,U(Main),,,,,,,,,,,,,,
148.5,150.0,,,,,,,U(Bassoon 2)&P8(Contrabass),U(Bassoon 1)&P8(Contrabass),,,,,,,,Main Part,,,,P8(Bassoon 1)&P8(Bassoon 2)
150.0,151.5,,,,,,,Main Part,U(Main),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
151.5,152.5,,,,,,,,,,,,,,,,,,,Main Part,
152.5,155.5,,,,,,,,,,,,,,,,Main Part,,,,
155.5,161.5,U(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Flute 1)&P8(Flute 2)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,,,,Main Part,
161.5,170.0,Main Part,U(Main)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Main)&P8(Flute 2)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1),,,,,,,,,,,,
170.0,170.5,U(Flute 2),U(Flute 1),,,,,,,,,,,,,,Main Part,,,,
170.5,171.0,Main Part,U(Main),,,,,,,,,,,,,,,,,,
171.0,171.5,U(Flute 2),U(Flute 1),,,,,,,,,,,,,,Main Part,,,,
171.5,172.0,Main Part,U(Main),,,,,,,,,,,,,,,,,,
172.0,172.5,,,,,,,,,,,,,,,,Main Part,,,,
172.5,173.0,,,,,,,,,,,,,,,,,,Main Part,,
173.0,173.5,,,,,,,,,,,,,,,,Main Part,,,,
173.5,174.0,,,,,,,,,,,,,,,,,,Main Part,,
174.0,174.5,,,,,,,,,,,,,,,,Main Part,,,,
174.5,175.0,,,,,,,,,,,,,,,,,,Main Part,,
175.0,175.5,,,,,,,P2(Bassoon 2)&P2(E Horn 1)&P5(E Horn 2)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P2(Bassoon 1)&P8(E Horn 1)&P4(E Horn 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P2(Bassoon 1)&P8(Bassoon 2)&P4(E Horn 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P5(Bassoon 1)&P4(Bassoon 2)&P4(E Horn 1)&P4(Viola)&P4(Violoncello)&P4(Contrabass),,,,,,Main Part,,P2(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 1)&P4(E Horn 2)&P8(Violoncello)&P8(Contrabass),P2(Bassoon 1)&U(Bassoon 2)&P8(E Horn 1)&P4(E Horn 2)&P8(Viola)&P8(Contrabass),P2(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 1)&P4(E Horn 2)&P8(Viola)&P8(Violoncello)
175.5,180.0,,,,,,,,,,,,,,,,,,Main Part,P8(Contrabass),P8(Violoncello)
180.0,187.5,P4(Flute 2),P4(Flute 1),,,U(A Clarinet 2),U(A Clarinet 1),,,P3(E Horn 2),P3(E Horn 1),,,,,,Main Part,,,,
187.5,192.0,Main Part,,,,,,,,P3(E Horn 2),P3(E Horn 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
192.0,213.0,,,,,,,,,,,,,,,,Main Part,,,,
213.0,219.0,U(Flute 2),U(Flute 1),P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),P8(Oboe 1)&U(A Clarinet 1)&U(A Clarinet 2),P8(Oboe 1)&U(Oboe 2)&U(A Clarinet 2),P8(Oboe 1)&U(Oboe 2)&U(A Clarinet 1),,,Main Part,,,,,,,,,,,
219.0,220.5,Main Part,U(Main)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),U(Main)&U(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&U(A Clarinet 1)&U(A Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&U(A Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&U(A Clarinet 1),,,P8(E Horn 2)&P4(Viola)&P8(Violoncello)&P8(Contrabass),P8(E Horn 1)&P4(Viola)&U(Violoncello)&P8(Contrabass),,,,,,,,P4(E Horn 1)&P4(E Horn 2)&P4(Violoncello)&P4(Contrabass),P8(E Horn 1)&U(E Horn 2)&P4(Viola)&P8(Contrabass),P8(E Horn 1)&P8(E Horn 2)&P4(Viola)&P8(Violoncello)
220.5,225.0,,P8(A Clarinet 2),P8(Bassoon 1),,,P8(Flute 2),P8(Oboe 1),,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
225.0,231.0,P8(A Clarinet 1),P8(A Clarinet 2),P8(C Horn 3),P8(C Horn 4),P8(Flute 1),P8(Flute 2),P8(Bassoon 2)&U(E Horn 1)&U(E Horn 2),P8(Bassoon 1)&P8(E Horn 1)&P8(E Horn 2),U(Bassoon 1)&P8(Bassoon 2)&U(E Horn 2),U(Bassoon 1)&P8(Bassoon 2)&U(E Horn 1),P8(Oboe 1),P8(Oboe 2),,,,,,,Main Part,P8(Main)
231.0,234.0,,,,,,,,,,,,,,,,Main Part,,,,
234.0,237.0,P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&U(A Clarinet 1)&P4(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 1)&P4(E Horn 2)&P3(C Horn 3)&P4(C Horn 4),P3(Flute 1)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 1)&P6(Bassoon 2)&P3(E Horn 1)&P6(E Horn 2)&P8(C Horn 3)&P6(C Horn 4),U(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P4(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 1)&P4(E Horn 2)&P3(C Horn 3)&P4(C Horn 4),P3(Flute 1)&U(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 1)&P6(Bassoon 2)&P3(E Horn 1)&P6(E Horn 2)&P8(C Horn 3)&P6(C Horn 4),U(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P4(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 1)&P4(E Horn 2)&P3(C Horn 3)&P4(C Horn 4),P4(Flute 1)&P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P4(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P4(E Horn 1)&P8(E Horn 2)&P6(C Horn 3)&P8(C Horn 4),P4(Flute 1)&P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2)&P4(E Horn 1)&U(E Horn 2)&P6(C Horn 3)&U(C Horn 4),P4(Flute 1)&P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&P4(E Horn 1)&U(E Horn 2)&P6(C Horn 3)&U(C Horn 4),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P4(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(E Horn 2)&P3(C Horn 3)&P4(C Horn 4),P4(Flute 1)&P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P4(E Horn 1)&P6(C Horn 3)&U(C Horn 4),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 1)&P6(Bassoon 2)&P3(E Horn 1)&P6(E Horn 2)&P6(C Horn 4),P4(Flute 1)&P6(Flute 2)&P4(Oboe 1)&P6(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P4(E Horn 1)&U(E Horn 2)&P6(C Horn 3),,,,,,,,Main Part
237.0,238.5,Main Part,U(Oboe 2)&P8(C Horn 3),U(Main)&U(A Clarinet 1)&P8(E Horn 1),U(Flute 2)&P8(C Horn 3),U(Main)&U(Oboe 1)&P8(E Horn 1),,U(Bassoon 2)&U(E Horn 2),U(Bassoon 1)&U(E Horn 2),P8(Main)&P8(Oboe 1)&P8(A Clarinet 1),U(Bassoon 1)&U(Bassoon 2),P8(Flute 2)&P8(Oboe 2),,,,,P8(Violoncello)&P8(Contrabass),P6(Viola),P6(Violin 2),P8(Violin 1)&P8(Contrabass),P8(Violin 1)&P8(Violoncello)
238.5,241.5,P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&U(A Clarinet 1)&P8(E Horn 1),P3(Flute 1)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P3(E Horn 1),U(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P8(E Horn 1),P3(Flute 1)&U(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P3(E Horn 1),U(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P8(E Horn 1),P8(C Horn 3),U(Bassoon 2)&P8(C Horn 4),U(Bassoon 1)&P8(C Horn 4),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1),,P8(A Clarinet 2),P8(Bassoon 1)&P8(Bassoon 2),,,,Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
241.5,243.0,Main Part,P3(Main)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P8(E Horn 2),U(Main)&P3(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P3(E Horn 2),P3(Main)&U(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(E Horn 2),U(Main)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(E Horn 2),,U(Bassoon 2)&P8(C Horn 3)&P8(C Horn 4),U(Bassoon 1)&P8(C Horn 3)&P8(C Horn 4),,P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1),P8(Bassoon 1)&P8(Bassoon 2)&U(C Horn 4),P8(Bassoon 1)&P8(Bassoon 2)&U(C Horn 3),,,,P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P3(Violin 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Violin 1)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)
243.0,245.0,P8(Oboe 1)&P8(A Clarinet 1),P8(Oboe 2)&P8(A Clarinet 2)&P8(E Horn 1)&P8(E Horn 2),P8(Flute 1)&U(A Clarinet 1),P8(Flute 2)&U(A Clarinet 2)&P8(E Horn 1)&P8(E Horn 2),P8(Flute 1)&U(Oboe 1),P8(Flute 2)&U(Oboe 2)&P8(E Horn 1)&P8(E Horn 2),U(Bassoon 2),U(Bassoon 1),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 2)&U(E Horn 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 2)&U(E Horn 1),U(C Horn 4),U(C Horn 3),U(E Trumpet 2),U(E Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
245.0,249.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&U(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&U(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1),,,Main Part,P8(Main),,,P8(E Trumpet 2),P8(E Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
249.0,250.5,P8(Oboe 2)&P8(A Clarinet 1),P8(Oboe 1)&P8(A Clarinet 2),P8(Flute 2)&P8(A Clarinet 2),P8(Flute 1)&U(A Clarinet 1),P8(Flute 1)&U(Oboe 2),P8(Flute 2)&P8(Oboe 1),P8(Bassoon 2),P8(Bassoon 1),P8(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2)&P8(Timpani)&P8(Violoncello)&P8(Contrabass),P8(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2)&P8(Timpani)&U(Violoncello)&P8(Contrabass),,,P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 2)&P8(Timpani)&P8(Violoncello)&P8(Contrabass),P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 1)&P8(Timpani)&P8(Violoncello)&P8(Contrabass),P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2)&P8(Violoncello)&P8(Contrabass),Main Part,,P8(Main),P8(E Horn 1)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2)&P8(Timpani)&P8(Contrabass),P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2)&P8(Timpani)&P8(Violoncello)
250.5,253.5,P8(A Clarinet 1),P5(Oboe 2)&P8(A Clarinet 2),,P5(Flute 2)&P5(A Clarinet 2),P8(Flute 1),P8(Flute 2)&P5(Oboe 2),P8(Bassoon 2),P8(Bassoon 1),P8(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),P8(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2),,,P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 2),P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 1),,,,,Main Part,P8(Main)
253.5,255.0,P8(A Clarinet 1),P8(A Clarinet 2),,,P8(Flute 1),P8(Flute 2),P8(Bassoon 2),P8(Bassoon 1),P8(E Horn 2)&P8(E Trumpet 1)&U(E Trumpet 2)&P8(Timpani),P8(E Horn 1)&P8(E Trumpet 1)&P8(E Trumpet 2)&U(Timpani),P8(C Horn 4),P8(C Horn 3),P8(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 2)&P8(Timpani),U(E Horn 1)&P8(E Horn 2)&P8(E Trumpet 1)&P8(Timpani),P8(E Horn 1)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
255.0,258.0,P8(A Clarinet 1),,,,P8(Flute 1),,P8(Bassoon 2),P8(Bassoon 1),P8(E Horn 2)&P3(C Horn 3)&P3(C Horn 4)&P8(Timpani),P8(E Horn 1)&P3(C Horn 3)&P3(C Horn 4)&P8(Timpani),P3(E Horn 1)&P3(E Horn 2)&P8(C Horn 4)&P3(Timpani),P3(E Horn 1)&P3(E Horn 2)&P8(C Horn 3)&P3(Timpani),P8(E Trumpet 2),P8(E Trumpet 1),P8(E Horn 1)&P8(E Horn 2)&P3(C Horn 3)&P3(C Horn 4),Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
258.0,261.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P3(A Clarinet 2)&P8(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&U(A Clarinet 2)&P3(Timpani),P8(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P3(Timpani),Main Part,P8(E Horn 2),,P8(Bassoon 2),P8(C Horn 4),P8(C Horn 3),,,P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2),,P3(Viola)&P8(Contrabass),P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Viola),P8(Violin 2)&P3(Viola)
261.0,276.0,,,,,,,P3(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2)&P3(C Horn 3)&P3(C Horn 4),P3(Bassoon 1)&P8(E Horn 1)&U(E Horn 2)&P5(C Horn 3)&P5(C Horn 4),P3(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 2)&P5(C Horn 3)&P5(C Horn 4),P3(Bassoon 1)&U(Bassoon 2)&P8(E Horn 1)&P5(C Horn 3)&P5(C Horn 4),P3(Bassoon 1)&P5(Bassoon 2)&P5(E Horn 1)&P5(E Horn 2)&P8(C Horn 4),P3(Bassoon 1)&P5(Bassoon 2)&P5(E Horn 1)&P5(E Horn 2)&P8(C Horn 3),,,,Main Part,,,,
276.0,282.0,,,,,,,,,,,,,,,,Main Part,,,,
282.0,286.0,,,,,P6(A Clarinet 2),P6(A Clarinet 1),,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
286.0,287.5,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
287.5,303.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),,,,,,,,,,,,,,,,
303.0,306.0,,,,,P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2),P6(A Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P4(E Horn 1)&P4(E Horn 2),P8(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2),P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&P4(E Horn 1)&P4(E Horn 2),P3(A Clarinet 1)&P4(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&U(E Horn 2),P3(A Clarinet 1)&P4(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&U(E Horn 1),,,,,,,,Main Part,,
306.0,317.5,,,,,Main Part,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
317.5,323.5,,,U(Oboe 2),U(Oboe 1),Main Part,,P4(Bassoon 2)&P4(E Horn 1)&P3(E Horn 2)&P3(Violoncello)&P3(Contrabass),P4(Bassoon 1)&P8(E Horn 1)&P6(E Horn 2)&P6(Violoncello)&P6(Contrabass),P4(Bassoon 1)&P8(Bassoon 2)&P6(E Horn 2)&P6(Violoncello)&P6(Contrabass),P3(Bassoon 1)&P6(Bassoon 2)&P6(E Horn 1)&U(Violoncello)&P8(Contrabass),,,,,,,,,P3(Bassoon 1)&P6(Bassoon 2)&P6(E Horn 1)&U(E Horn 2)&P8(Contrabass),P3(Bassoon 1)&P6(Bassoon 2)&P6(E Horn 1)&P8(E Horn 2)&P8(Violoncello)
323.5,329.0,,,Main Part,,,,P4(Bassoon 2)&P4(E Horn 1)&P3(E Horn 2),P4(Bassoon 1)&P8(E Horn 1)&P6(E Horn 2),P4(Bassoon 1)&P8(Bassoon 2)&P6(E Horn 2),P3(Bassoon 1)&P6(Bassoon 2)&P6(E Horn 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
