qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Trumpet 1,F Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
271.0,288.0,,,,,,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,Main Part,
288.0,300.0,U(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1),U(Flute 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&U(Bb Clarinet 1)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 2)&P8(F Horn 2)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1),P8(Oboe 1)&P8(Bb Clarinet 2)&U(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Timpani),,P8(Oboe 1)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Timpani),P8(Oboe 1)&U(Bb Clarinet 2)&P8(Bassoon 2)&P8(F Horn 2)&P8(F Trumpet 2)&P8(Timpani),P8(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(F Horn 2)&P8(F Trumpet 1)&P8(Timpani),P8(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2),U(Violin 2),U(Violin 1),P8(Main)&P8(Contrabass),Main Part,P8(Viola)&P8(Main)
300.0,312.0,,,P8(Bb Clarinet 2),U(Bb Clarinet 1),U(Oboe 2),P8(Oboe 1),,,P8(F Horn 2)&P8(F Trumpet 1)&U(F Trumpet 2),P8(F Horn 1)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 2),U(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1),,Main Part,U(Main),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
312.0,324.0,,P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2),,,,,,,P8(Flute 2)&P8(F Horn 2)&P8(F Trumpet 1)&U(F Trumpet 2),P8(Flute 2)&P8(F Horn 1)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 2)&P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 2),P8(Flute 2)&U(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1),,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
324.0,336.0,,,,,,,,,,,,,,Main Part,P8(Main)&P7(Viola)&P7(Violoncello)&P7(Contrabass),P7(Main)&P7(Violin 2)&P8(Violoncello)&P8(Contrabass),P7(Main)&P7(Violin 2)&P8(Viola)&P8(Contrabass),P7(Main)&P7(Violin 2)&P8(Viola)&P8(Violoncello)
336.0,345.0,P3(Oboe 1)&P8(Oboe 2),,P3(Flute 1)&P3(Oboe 2),P8(Flute 1)&P3(Oboe 1),,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
345.0,369.0,,,,,,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
369.0,414.0,,,,,,,,P8(Violoncello)&P8(Contrabass),P8(F Horn 2)&P8(F Trumpet 1)&U(F Trumpet 2),P8(F Horn 1)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 2),U(F Horn 1)&P8(F Horn 2)&P8(F Trumpet 1),,Main Part,,,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
414.0,425.0,Main Part,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
425.0,449.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2),P8(Main)&P8(Flute 2)&U(Oboe 2),P8(Main)&P8(Flute 2)&U(Oboe 1),,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
