qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Tenor Trombone 1,Tenor Trombone 2,Bass Trombone,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
43.0,9.7719,11,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,G#3,r,r
43.5,9.8855,11,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
44.0,9.9991,12,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
44.5,10.1127,12,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,C4,A3,r,r
45.0,10.2263,12,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,C4,A3,r,r
45.5,10.3399,12,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
46.0,10.4535,12,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
46.5,10.5671,12,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C#4,B-3,r,r
47.0,10.6807,12,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C#4,B-3,r,r
47.5,10.7943,12,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
48.0,10.9079,13,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
48.5,11.0215,13,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,B3,r,r
49.0,11.1351,13,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,B3,r,r
49.5,11.2487,13,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
50.0,11.3623,13,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B2
50.5,11.4759,13,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,F4,r,r
51.0,11.5895,13,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,F4,r,r
51.5,11.7031,13,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B2
52.0,11.8167,14,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3
52.5,11.9303,14,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,E4,r,r
53.0,12.0439,14,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,E4,r,r
53.5,12.1575,14,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3
54.0,12.2711,14,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,F#2
54.5,12.3847,14,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A4,E4,r,r
55.0,12.4983,14,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A4,E4,r,r
55.5,12.6119,14,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,F#2
56.0,12.7255,15,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B2
56.5,12.8391,15,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,E-4,r,r
57.0,12.9527,15,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,E-4,r,r
57.5,13.0663,15,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B2
58.0,13.1799,15,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2
58.5,13.2935,15,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,r,r
59.0,13.4071,15,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,G4,D4,r,r
59.5,13.5207,15,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2
60.0,13.6343,16,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A2
60.5,13.7479,16,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,C4,r,r
61.0,13.8615,16,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,G4,C4,r,r
61.5,13.9751,16,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A2
62.0,14.0887,16,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
62.5,14.2023,16,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,C4,r,r
63.0,14.3159,16,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,F4,C4,r,r
63.5,14.4295,16,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
64.0,14.5431,17,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,E-2
64.5,14.6567,17,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,F#4,C4,r,r
65.0,14.7703,17,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,F#4,C4,r,r
65.5,14.8839,17,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,C4,E-3,E-2
66.0,14.9975,17,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2
66.5,15.1111,17,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,C4,r,r
67.0,15.2247,17,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,C4,r,r
67.5,15.3383,17,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,C4,E3,E2
68.0,15.4519,18,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
68.5,15.5655,18,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C4,A3,r,r
69.0,15.6791,18,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C4,A3,r,r
69.5,15.7927,18,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,C4,A3,A2,A1
70.0,15.9063,18,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,B1
70.5,16.0199,18,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,F#3,r,r
71.0,16.1335,18,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,A3,F#3,r,r
71.5,16.2471,18,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,A3,F#3,B2,B1
72.0,16.3607,19,1.0,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,E4,G3,E3,C3,C2
72.5,16.4743,19,1.25,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,E4,G3,E3,r,r
73.0,16.5879,19,1.5,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,E4,G3,E3,r,r
73.5,16.7015,19,1.75,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
74.0,16.8151,19,2.0,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
74.5,16.9287,19,2.25,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,E4,G#3,E3,r,r
75.0,17.0423,19,2.5,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,E4,G#3,E3,r,r
75.5,17.1559,19,2.75,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
76.0,17.2695,20,1.0,r,r,B4,r,B4,B3,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
76.5,17.3831,20,1.25,r,r,B4,r,B4,B3,B3,r,r,r,r,r,r,r,r,r,r,r,r,D4,A3,F3,r,r
77.0,17.4967,20,1.5,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,D4,A3,F3,r,r
77.5,17.6103,20,1.75,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
78.0,17.7239,20,2.0,r,r,A4,r,A4,A3,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
78.5,17.8375,20,2.25,r,r,A4,r,A4,A3,A3,r,r,r,r,r,r,r,r,r,r,r,r,F4,B3,D3,r,r
79.0,17.9511,20,2.5,r,r,A4,r,A4,A3,A3,r,r,r,r,r,r,r,r,r,r,r,r,F4,B3,D3,r,r
79.5,18.0647,20,2.75,r,r,G4,r,G4,G3,G3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
80.0,18.1783,21,1.0,r,r,E4,r,E4,E3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
80.5,18.2919,21,1.25,r,r,E4,r,E4,E3,E3,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,E3,r,r
81.0,18.4055,21,1.5,r,r,E4,r,E4,E3,E3,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,E3,r,r
81.5,18.5191,21,1.75,r,r,E4,r,E4,E3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
82.0,18.6327,21,2.0,r,r,E4,r,E4,E3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
82.5,18.7463,21,2.25,r,r,E4,r,E4,E3,E3,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,E4,r,r
83.0,18.8599,21,2.5,r,r,E4,r,E4,E3,E3,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,E4,r,r
83.5,18.9735,21,2.75,r,r,E4,r,E4,E3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
84.0,19.0871,22,1.0,r,r,B4,r,B4,B3,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
84.5,19.2007,22,1.25,r,r,B4,r,B4,B3,B3,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,E-4,r,r
85.0,19.3143,22,1.5,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,E-4,r,r
85.5,19.4279,22,1.75,r,r,C5,r,C5,C4,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
86.0,19.5415,22,2.0,r,r,A4,r,A4,A3,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
86.5,19.6551,22,2.25,r,r,A4,r,A4,A3,A3,r,r,r,r,r,r,r,r,r,r,r,r,B4,F4,D4,r,r
87.0,19.7687,22,2.5,r,r,A4,r,A4,A3,A3,r,r,r,r,r,r,r,r,r,r,r,r,B4,F4,D4,r,r
87.5,19.8823,22,2.75,r,r,G4,r,G4,G3,G3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
88.0,19.9959,23,1.0,r,r,E4,r,E4,E3,E3,r,E4,r,r,E3,r,r,r,r,r,r,E3,r,r,r,C3,C2
88.5,20.1095,23,1.25,r,r,E4,r,E4,E3,E3,r,E4,r,r,E3,r,r,r,r,r,r,E3,C5,E4,G3,r,r
89.0,20.2231,23,1.5,r,r,E4,r,E4,E3,E3,r,E4,r,r,E3,r,r,r,r,r,r,E3,C5,E4,G3,r,r
89.5,20.3367,23,1.75,r,r,D4,r,D4,D3,D3,r,D4,r,r,D3,r,r,r,r,r,r,E3,r,r,r,C3,C2
90.0,20.4503,23,2.0,r,r,E4,r,E4,E3,E3,r,E4,r,r,E3,r,r,r,r,r,r,E3,r,r,r,C3,C2
90.5,20.5639,23,2.25,r,r,E4,r,E4,E3,E3,r,E4,r,r,E3,r,r,r,r,r,r,E3,E4,E4,G3,r,r
90.6667,20.6018,23,2.3333,r,r,E4,r,E4,E3,E3,r,E4,r,r,E3,r,r,r,r,r,r,E3,E4,E4,G3,r,r
91.0,20.6775,23,2.5,r,r,E4,r,E4,E3,E3,r,E4,r,r,E3,r,r,r,r,r,r,E3,F#4,E4,A3,r,r
91.3333,20.7532,23,2.6667,r,r,E4,r,E4,E3,E3,r,E4,r,r,E3,r,r,r,r,r,r,E3,F#4,E4,A3,r,r
91.5,20.7911,23,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,r,r,r,C3,C2
92.0,20.9047,24,1.0,r,r,F#4,r,F#4,F#3,F#3,r,F#4,r,r,F#3,r,r,r,r,r,r,E3,r,r,r,C3,C2
92.5,21.0183,24,1.25,r,r,F#4,r,F#4,F#3,F#3,r,F#4,r,r,F#3,r,r,r,r,r,r,E3,F#4,E4,A3,r,r
93.0,21.1319,24,1.5,r,r,F#4,r,F#4,F#3,F#3,r,F#4,r,r,F#3,r,r,r,r,r,r,E3,E4,E4,A3,r,r
93.5,21.2455,24,1.75,r,r,E4,r,E4,E3,E3,r,E4,r,r,E3,r,r,r,r,r,r,E3,r,r,r,C3,C2
94.0,21.3591,24,2.0,r,r,F#4,r,F#4,F#3,F#3,r,F#4,r,r,F#3,r,r,r,r,r,r,E3,r,r,r,C3,C2
94.5,21.4727,24,2.25,r,r,F#4,r,F#4,F#3,F#3,r,F#4,r,r,F#3,r,r,r,r,r,r,E3,F#4,E4,A3,r,r
94.6667,21.5106,24,2.3333,r,r,F#4,r,F#4,F#3,F#3,r,F#4,r,r,F#3,r,r,r,r,r,r,E3,F#4,E4,A3,r,r
95.0,21.5863,24,2.5,r,r,F#4,r,F#4,F#3,F#3,r,F#4,r,r,F#3,r,r,r,r,r,r,E3,G4,E4,G3,r,r
95.3333,21.662,24,2.6667,r,r,F#4,r,F#4,F#3,F#3,r,F#4,r,r,F#3,r,r,r,r,r,r,E3,G4,E4,G3,r,r
95.5,21.6999,24,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,r,r,r,C3,C2
96.0,21.8135,25,1.0,G5,G5,G4,r,G4,G3,G3,C#3,G4,E4,r,G3,r,r,r,r,r,r,E3,r,r,r,C#3,C#2
96.5,21.9271,25,1.25,G5,G5,G4,r,G4,G3,G3,C#3,G4,E4,r,G3,r,r,r,r,r,r,E3,G4,G4,G3,r,r
97.0,22.0407,25,1.5,G5,G5,G4,r,G4,G3,G3,C#3,G4,E4,r,G3,r,r,r,r,r,r,r,A4,G4,A3,r,r
97.5,22.1543,25,1.75,A5,A5,A4,r,A4,A3,A3,C#3,A4,E4,r,A3,r,r,r,r,r,r,r,r,r,r,C#3,C#2
98.0,22.2679,25,2.0,A5,A5,A4,r,A4,A3,A3,C#3,A4,E4,r,A3,r,r,r,r,r,r,E3,r,r,r,C#3,C#2
98.5,22.3815,25,2.25,A5,A5,A4,r,A4,A3,A3,C#3,A4,E4,r,A3,r,r,r,r,r,r,E3,A4,G4,A3,r,r
99.0,22.4951,25,2.5,A5,A5,A4,r,A4,A3,A3,C#3,A4,G4,r,A3,r,r,r,r,r,r,r,B4,G4,B3,r,r
99.5,22.6087,25,2.75,B5,B5,B4,r,B4,B3,B3,C#3,B4,G4,r,B3,r,r,r,r,r,r,r,r,r,r,C#3,C#2
100.0,22.7223,26,1.0,B5,B5,B4,r,B4,B3,B3,D3,B4,G4,B3,B3,r,r,r,r,r,r,B2,r,r,r,D3,D2
100.5,22.8359,26,1.25,C6,C6,C5,r,C5,C4,C4,D3,B4,G4,B3,B3,r,r,r,r,r,r,B2,C5,G4,B3,r,r
101.0,22.9495,26,1.5,C6,C6,C5,r,C5,C4,C4,D3,B4,G4,B3,B3,r,r,r,r,r,r,r,C5,G4,B3,r,r
101.5,23.0631,26,1.75,C#6,C#6,C#5,r,C#5,C#4,C#4,D3,B4,G4,B3,B3,r,r,r,r,r,r,r,C#5,G4,B3,B2,B1
102.0,23.1767,26,2.0,C#6,C#6,C#5,r,C#5,C#4,C#4,B2,B4,F#4,B3,A3,r,r,r,r,r,r,B2,C#5,G4,B3,B2,B1
102.5,23.2903,26,2.25,D6,D6,D5,r,D5,D4,D4,B2,B4,F#4,B3,A3,r,r,r,r,r,r,B2,D5,F#4,A3,r,r
103.0,23.4039,26,2.5,D6,D6,D5,r,D5,D4,D4,B2,B4,F#4,B3,A3,r,r,r,r,r,r,B2,D5,F#4,A3,r,r
103.5,23.5175,26,2.75,E-6,E-6,E-5,r,E-5,E-4,E-4,B2,B4,F#4,B3,A3,r,r,r,r,r,r,B2,E-5,F#4,A3,B2,B1
104.0,23.6311,27,1.0,E6,E6,E5,r,E5,E4,E4,E3,B4,E4,B3,G3,E5,E4,r,r,r,r,E3,E5,E4,G3,E3,E2
104.5,23.7447,27,1.25,E6,E6,E5,r,E5,E4,E4,E3,B4,E4,B3,G3,E5,E4,r,r,r,r,E3,G4,E4,B3,r,r
105.0,23.8583,27,1.5,r,r,r,r,r,r,r,r,r,E4,r,r,E5,E4,r,r,r,r,r,G4,E4,B3,r,r
105.5,23.9719,27,1.75,r,r,r,r,r,r,r,r,r,E4,r,r,E5,E4,r,r,r,r,r,r,r,r,E3,E2
106.0,24.0855,27,2.0,r,r,r,r,r,r,F#4,A3,r,E4,r,E3,E5,E4,r,r,r,r,r,r,r,r,E3,E2
106.5,24.1991,27,2.25,r,r,r,r,r,r,F#4,A3,r,E4,r,E3,E5,E4,r,r,r,r,r,F#4,E4,A3,r,r
107.0,24.3127,27,2.5,r,r,r,r,r,r,F#4,A3,r,E4,r,E3,E5,E4,r,r,r,r,r,F#4,E4,A3,r,r
107.5,24.4263,27,2.75,r,r,r,r,r,r,F#4,A3,r,E4,r,E3,E5,E4,r,r,r,r,r,r,r,r,E3,E2
108.0,24.5399,28,1.0,r,r,r,r,r,r,G4,B3,r,D4,r,E3,D5,D4,r,r,r,r,r,r,r,r,E3,E2
108.5,24.6535,28,1.25,r,r,r,r,r,r,G4,B3,r,D4,r,E3,D5,D4,r,r,r,r,r,G4,E4,B3,r,r
109.0,24.7671,28,1.5,r,r,r,r,r,r,G4,B3,r,r,r,E3,E5,E4,r,r,r,r,E3,G4,E4,B3,r,r
109.5,24.8807,28,1.75,r,r,r,r,r,r,G4,B3,r,r,r,E3,E5,E4,r,r,r,r,E3,r,r,r,E3,E2
