qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe  2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
114.0,21.1111,39,3.0,C5,r,r,r,C5,C4,C4,r,r,r,r,r,C5,C4,C4,r,r
115.0,21.2963,40,1.0,B4,r,r,r,B4,B3,B3,r,r,r,r,r,B4,B3,B3,r,r
116.0,21.4815,40,2.0,G4,r,r,r,G4,G3,G3,r,r,r,r,r,G4,G3,G3,G2,G1
117.0,21.6667,40,3.0,A4,r,r,r,A4,A3,A3,r,r,r,r,r,A4,A3,A3,A2,A1
118.0,21.8519,41,1.0,B4,r,r,r,B4,B3,B3,r,r,r,r,r,B4,B3,B3,B2,B1
119.0,22.037,41,2.0,G4,r,r,r,G4,G3,G3,r,r,r,r,r,G4,G3,G3,G2,G1
120.0,22.2222,41,3.0,r,r,G4,r,r,r,r,r,G4,G4,r,r,G4,G3,G3,G2,G1
121.0,22.4074,42,1.0,r,r,C5,r,r,r,r,r,C4,C3,r,r,C5,C4,C3,C3,C2
123.0,22.7778,42,3.0,r,r,E5,r,r,r,r,r,C4,C3,r,r,E5,E4,E3,r,r
124.0,22.963,43,1.0,r,r,G5,r,r,r,r,r,C4,C3,r,r,G5,G4,G3,C3,C2
125.0,23.1481,43,2.0,r,r,E5,r,r,r,r,r,C4,C3,r,r,E5,E4,E3,r,r
126.0,23.3333,43,3.0,r,r,E5,r,r,r,r,r,C4,C3,r,r,E5,E4,E3,r,r
127.0,23.5185,44,1.0,r,r,G5,r,r,r,r,r,C4,C3,r,r,G5,G4,G3,C3,C2
128.0,23.7037,44,2.0,r,r,B5,r,r,r,r,r,C4,C3,r,r,B5,B4,B3,r,r
129.0,23.8889,44,3.0,r,r,C6,r,r,r,r,r,C4,C3,r,r,C6,C5,C4,r,r
129.5,23.9815,44,3.5,r,r,A5,r,r,r,r,r,C4,C3,r,r,A5,A4,A3,r,r
130.0,24.0741,45,1.0,r,r,G5,r,r,r,r,r,C4,C3,r,r,G5,G4,G3,C3,C2
132.0,24.4444,45,3.0,r,r,B5,r,r,r,B3,D3,C4,C3,r,r,B5,B4,D4,r,r
133.0,24.6296,46,1.0,r,r,C6,r,r,r,C4,E3,C4,C3,r,r,C6,C5,E4,C3,C2
134.0,24.8148,46,2.0,r,r,G5,r,G4,E4,G3,E3,C4,C3,r,r,G5,G4,E4,r,r
135.0,25.0,46,3.0,r,r,A5,F5,A4,F4,A3,F3,C4,C3,r,r,A5,A4,F4,r,r
136.0,25.1852,47,1.0,r,r,G5,E5,G4,E4,G3,E3,C4,C3,r,r,G5,G4,E4,C3,C2
137.0,25.3704,47,2.0,r,r,E5,C5,G4,C4,E4,G3,C4,C3,r,r,E5,E4,C4,r,r
138.0,25.5556,47,3.0,C6,r,F5,C5,A4,C4,F4,A3,C4,C3,r,r,F5,F4,C4,r,r
139.0,25.7407,48,1.0,C6,r,E5,C5,G4,C4,E4,G3,C4,r,r,r,E5,E4,C4,C3,C2
140.0,25.9259,48,2.0,C6,r,C5,G4,C5,E4,C4,G3,C4,r,r,r,C5,C4,E3,r,r
141.0,26.1111,48,3.0,B5,r,D5,B4,B4,F4,D4,B3,G4,G4,r,r,D5,D4,F3,G2,G1
142.0,26.2963,49,1.0,C6,r,E5,C5,C5,E4,E4,C4,G4,G4,r,r,E5,E4,E3,C3,C2
143.0,26.4815,49,2.0,C6,r,C5,E4,r,r,C4,E3,C4,r,r,r,C5,C4,r,r,r
144.0,26.6667,49,3.0,C6,r,r,r,r,r,r,r,C4,r,r,r,C5,C4,C3,C3,C2
145.0,26.8519,50,1.0,C6,r,r,r,r,r,r,r,C4,C3,r,r,C6,C5,C4,C4,C3
