qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe  2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
483.0,493.0,,,Main Part,P4(Main)&U(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(F Horn 1)&P4(F Horn 2)&P4(Violin 1)&P4(Violin 2)&P4(Viola),P4(Main)&U(Oboe  2)&P6(Bb Clarinet 2)&P4(F Horn 1)&P4(F Horn 2)&P4(Violin 1)&P4(Violin 2)&P4(Viola),P3(Main)&P6(Oboe  2)&P6(Bb Clarinet 1)&P3(F Horn 1)&P3(F Horn 2)&P3(Violin 1)&P3(Violin 2)&P3(Viola),,,P8(Main)&P4(Oboe  2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 2)&U(Violin 1)&U(Violin 2)&P8(Viola),P8(Main)&P4(Oboe  2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P8(Violin 1)&P8(Violin 2)&U(Viola),,,P8(Main)&P4(Oboe  2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(F Horn 1)&P8(F Horn 2)&U(Violin 2)&P8(Viola),P8(Main)&P4(Oboe  2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(F Horn 1)&P8(F Horn 2)&U(Violin 1)&P8(Viola),P8(Main)&P4(Oboe  2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&U(F Horn 2)&P8(Violin 1)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
493.0,509.0,,,Main Part,P6(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),,P6(Oboe  2)&P6(Bassoon 1)&P8(Bassoon 2),P8(Oboe  2)&P6(Bb Clarinet 2)&P6(Bassoon 2),P6(Oboe  2)&P8(Bb Clarinet 2)&P6(Bassoon 1),P8(Main)&P8(F Horn 2),P8(Main)&P8(F Horn 1),,,U(Violin 2),U(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
509.0,525.0,,,Main Part,P6(Bb Clarinet 2),,P6(Oboe  2),,,P8(Main)&P8(F Horn 2),P8(Main)&P8(F Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),U(Violin 2),U(Violin 1),,P8(Contrabass),P8(Violoncello)
525.0,529.0,P3(Flute 2)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&U(Main)&P3(Oboe  2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),Main Part,P8(Flute 1)&P3(Flute 2)&P3(Main)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Flute 2)&P8(Main)&P3(Oboe  2)&P3(Bb Clarinet 2)&U(F Horn 1)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1)&P3(F Horn 1)&U(F Horn 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),P3(Flute 1)&P8(Flute 2)&P8(Main)&P3(Oboe  2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(F Horn 1)&P8(Violoncello)&P8(Contrabass),P8(C Trumpet 2),P8(C Trumpet 1),,,U(Bassoon 1)&U(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Violoncello)
529.0,533.0,P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),,Main Part,P8(Flute 1)&P3(Main)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P3(Flute 1)&P8(Main)&P3(Oboe  2)&P3(Bb Clarinet 2),P8(Flute 1)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1),U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),,,P8(C Trumpet 2),P8(C Trumpet 1),,,U(Bassoon 1)&U(Bassoon 2),P8(Contrabass),P8(Violoncello)
533.0,537.0,P3(Flute 2)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&U(Main)&P3(Oboe  2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(F Horn 1)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),Main Part,P8(Flute 1)&P3(Flute 2)&P3(Main)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Flute 2)&P8(Main)&P3(Oboe  2)&P3(Bb Clarinet 2)&U(F Horn 1)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1)&P3(F Horn 1)&U(F Horn 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&U(Viola),U(Bassoon 1)&U(Viola),P3(Flute 1)&P8(Flute 2)&P8(Main)&P3(Oboe  2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(F Horn 1)&P8(Violoncello)&P8(Contrabass),P8(C Trumpet 2),P8(C Trumpet 1),,,U(Bassoon 1)&U(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Main)&P8(Oboe  2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(F Horn 1)&P8(F Horn 2)&P8(Violoncello)
537.0,541.0,,,P3(Oboe  2)&P8(Main)&P3(Bb Clarinet 2),P3(Oboe 1)&P3(Main)&P8(Bb Clarinet 2),Main Part,P3(Oboe 1)&P8(Oboe  2)&P3(Main),U(Viola),,,,P8(C Trumpet 2),P8(C Trumpet 1),,,U(Bassoon 1),P8(Contrabass),P8(Violoncello)
541.0,552.5,,,U(Violin 1),,Main Part,,,,P8(C Trumpet 1)&P8(C Trumpet 2),,P8(F Horn 1)&P8(C Trumpet 2),P8(F Horn 1)&P8(C Trumpet 1),U(Oboe 1),,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
552.5,557.0,P8(Main)&P8(Violin 1),,Main Part,,,,,,P8(C Trumpet 1)&P8(C Trumpet 2),,P8(F Horn 1)&P8(C Trumpet 2),P8(F Horn 1)&P8(C Trumpet 1),P8(Flute 1)&U(Main),,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
557.0,572.0,P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P3(Flute 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),Main Part,,P8(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 2),P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1),,,P8(F Horn 2)&U(C Trumpet 2),P8(F Horn 1)&P8(C Trumpet 2),,U(F Horn 1)&P8(F Horn 2),P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
