qstamp,tstamp,measure,beat,Flute,Oboe 1,Oboe 2,Bassoon 1,Bassoon 2,Bb Horn 1,Bb Horn 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
118.0,49.1667,30,2.0,A5,E-5,B-4,G3,G3,r,r,A5,A4,E-4,E-3,E-2
118.5,49.375,30,2.25,G5,E-5,B-4,G3,G3,r,r,G5,G4,E-4,E-3,E-2
119.0,49.5833,30,2.5,F5,E-5,B-4,G3,G3,r,r,F5,F4,E-4,E-3,E-2
119.5,49.7917,30,2.75,E-5,E-5,B-4,G3,G3,r,r,E-5,E-4,E-4,E-3,E-2
120.0,50.0,31,1.0,D5,D5,B-4,F3,F3,r,r,D5,D4,D4,F2,F1
121.5,50.625,31,1.75,D5,D5,B-4,F3,F3,r,r,F5,F4,D4,F2,F1
122.0,50.8333,31,2.0,r,D5,B-4,F3,F3,r,r,B-5,B-4,D4,r,r
123.0,51.25,31,2.5,r,D5,B-4,F3,F3,r,r,B-5,B-4,D4,r,r
124.0,51.6667,32,1.0,B-5,D5,B-4,F3,F3,r,r,B-5,B-4,D4,F2,F1
125.5,52.2917,32,1.75,A5,D5,B-4,F3,F3,r,r,A5,A4,D4,B-2,B-1
126.0,52.5,32,2.0,G5,D5,B-4,F3,F3,r,r,G5,G4,D4,D3,D2
126.5,52.7083,32,2.25,F5,D5,B-4,F3,F3,r,r,F5,F4,D4,D3,D2
127.0,52.9167,32,2.5,E-5,D5,B-4,F3,F3,r,r,E-5,E-4,D4,D3,D2
127.5,53.125,32,2.75,D5,D5,B-4,F3,F3,r,r,D5,D4,D4,D3,D2
128.0,53.3333,33,1.0,C5,C5,G4,E-3,E-3,r,r,C5,C4,C4,E-3,E-2
129.5,53.9583,33,1.75,C5,C5,G4,E-3,E-3,r,r,E-5,E-4,C4,E-3,E-2
130.0,54.1667,33,2.0,r,C5,G4,E-3,E-3,r,r,G5,G4,C4,E-3,E-2
131.0,54.5833,33,2.5,r,C5,G4,E-3,E-3,r,r,G5,G4,C4,E-3,E-2
132.0,55.0,34,1.0,C6,C5,C5,E-3,E-3,r,r,G5,G4,C4,E-3,E-2
134.0,55.8333,34,2.0,C6,C5,C5,E-3,E-3,r,r,F#5,F#4,C4,E-3,E-2
135.0,56.25,34,2.5,B-5,C5,C5,E-3,E-3,r,r,F#5,F#4,C4,E-3,E-2
135.5,56.4583,34,2.75,A5,C5,C5,E-3,E-3,r,r,F#5,F#4,C4,E-3,E-2
136.0,56.6667,35,1.0,B-5,F5,B-4,D3,D3,r,r,F5,F4,B-3,D3,D2
138.0,57.5,35,2.0,A5,F5,A4,E-3,E-3,r,r,F5,A4,F4,E-3,E-2
138.5,57.7083,35,2.25,G5,E-5,G4,E-3,E-3,r,r,E-5,G4,E-4,E-3,E-2
139.0,57.9167,35,2.5,F5,D5,F4,E-3,E-3,r,r,D5,F4,D4,E-3,E-2
139.5,58.125,35,2.75,E-5,C5,E-4,E-3,E-3,r,r,C5,E-4,C4,E-3,E-2
140.0,58.3333,36,1.0,D5,B-4,D4,F3,F3,r,r,B-4,D4,B-3,F3,F2
140.5,58.5417,36,1.25,D5,B-4,D4,F3,F3,r,r,B-4,D4,F4,F3,F2
141.0,58.75,36,1.5,D5,B-4,D4,F3,F3,r,r,B-4,D4,F4,F3,F2
141.5,58.9583,36,1.75,D5,B-4,D4,F3,F3,r,r,B-4,D4,F4,F3,F2
142.0,59.1667,36,2.0,C5,A4,C4,F3,F3,r,r,A4,C4,F4,F3,F2
144.0,60.0,37,1.0,r,C5,A4,E-3,E-3,r,r,C5,C4,C4,E-3,E-2
145.5,60.625,37,1.75,r,C5,A4,E-3,E-3,r,r,E-5,E-4,C4,E-3,E-2
146.0,60.8333,37,2.0,r,C5,A4,E-3,E-3,r,r,G5,G4,C4,E-3,E-2
147.0,61.25,37,2.5,r,C5,A4,E-3,E-3,r,r,G5,G4,C4,E-3,E-2
148.0,61.6667,38,1.0,C6,C5,A4,E-3,E-3,r,r,G5,G4,C4,E-3,E-2
150.0,62.5,38,2.0,C6,C5,A4,E-3,E-3,r,r,F#5,F#4,C4,E-3,E-2
151.0,62.9167,38,2.5,B-5,C5,A4,E-3,E-3,r,r,F#5,F#4,C4,E-3,E-2
151.5,63.125,38,2.75,A5,C5,A4,E-3,E-3,r,r,F#5,F#4,C4,E-3,E-2
152.0,63.3333,39,1.0,B-5,F5,B-4,D3,D3,r,r,F5,F4,B-3,D3,D2
154.0,64.1667,39,2.0,A5,F5,A4,E-3,E-3,r,r,F5,A4,F4,E-3,E-2
154.5,64.375,39,2.25,G5,E-5,G4,E-3,E-3,r,r,E-5,G4,E-4,E-3,E-2
155.0,64.5833,39,2.5,F5,D5,F4,E-3,E-3,r,r,D5,F4,D4,E-3,E-2
155.5,64.7917,39,2.75,E-5,C5,E-4,E-3,E-3,r,r,C5,E-4,C4,E-3,E-2
156.0,65.0,40,1.0,D5,B-4,D4,F3,F3,r,r,B-4,D4,B-3,F3,F2
158.0,65.8333,40,2.0,C5,A4,C4,F3,F3,r,r,A4,C4,A3,F2,F1
160.0,66.6667,41,1.0,B-4,B-4,B-4,B-3,B-2,B-3,D3,B-4,B-4,B-3,B-2,B-1
161.5,67.2917,41,1.75,D5,D5,D5,B-3,B-2,B-3,D3,D5,B-4,B-3,B-2,B-1
162.0,67.5,41,2.0,F5,F5,F5,B-3,B-2,B-3,D3,F5,B-4,B-3,B-2,B-1
162.5,67.7083,41,2.25,F5,F5,F5,B-3,B-2,B-3,D3,F5,B-4,B-3,B-2,B-1
163.0,67.9167,41,2.5,A5,C#5,A4,B-3,B-2,r,r,A5,A4,C#4,B-2,B-1
163.5,68.125,41,2.75,A5,C#5,A4,B-3,B-2,r,r,A5,A4,C#4,B-2,B-1
164.0,68.3333,42,1.0,B-5,D5,B-4,B-3,B-2,r,r,B-5,B-4,D4,B-2,B-1
164.5,68.5417,42,1.25,B-5,D5,B-4,B-3,B-2,r,r,B-5,B-4,D4,B-2,B-1
165.0,68.75,42,1.5,C#6,E5,C#5,B-3,B-2,r,r,C#6,C#5,E4,B-2,B-1
165.5,68.9583,42,1.75,C#6,E5,C#5,B-3,B-2,r,r,C#6,C#5,E4,B-2,B-1
166.0,69.1667,42,2.0,D6,F5,D5,B-3,B-2,r,r,D6,D5,F4,B-2,B-1
166.5,69.375,42,2.25,D6,F5,D5,B-3,B-2,r,r,D6,D5,F4,B-2,B-1
167.0,69.5833,42,2.5,E6,E5,C#5,B-3,B-2,r,r,E6,E5,B-4,B-2,B-1
167.5,69.7917,42,2.75,E6,E5,C#5,B-3,B-2,r,r,E6,E5,B-4,B-2,B-1
168.0,70.0,43,1.0,F6,F5,D5,B-2,B-2,F4,D4,F6,F5,B-3,B-2,B-1
169.5,70.625,43,1.75,F6,F5,D5,D3,D3,F4,D4,F6,F5,D4,D3,D2
170.0,70.8333,43,2.0,F6,F5,D5,F3,F3,F4,D4,F6,F5,F4,F3,F2
171.0,71.25,43,2.5,F6,F5,D5,A3,A3,F4,D4,F6,F5,A4,A3,A2
172.0,71.6667,44,1.0,F6,F5,D5,B-3,B-3,F4,D4,F6,F5,B-4,B-3,B-2
173.0,72.0833,44,1.5,F6,F5,D5,C#4,C#4,F4,D4,F6,F5,C#5,C#4,C#3
174.0,72.5,44,2.0,F6,F5,D5,D4,D4,F4,D4,F6,F5,D5,D4,D3
175.0,72.9167,44,2.5,F6,F5,D5,F4,F4,F4,D4,F6,F5,F5,F4,F3
176.0,73.3333,45,1.0,E-6,A5,C5,F3,F3,F4,F3,E-6,A5,C5,F3,F2
177.5,73.9583,45,1.75,D6,B-5,D5,F3,F3,F4,F3,D6,B-5,D5,F3,F2
178.0,74.1667,45,2.0,C6,G5,E-5,F3,F3,F4,F3,C6,G5,E-5,F3,F2
179.5,74.7917,45,2.75,B-5,F5,D5,F3,F3,F4,F3,B-5,F5,D5,F3,F2
180.0,75.0,46,1.0,A5,E-5,C5,F3,F3,F4,F3,A5,E-5,C5,F3,F2
181.5,75.625,46,1.75,G5,D5,B-4,F3,F3,F4,F3,G5,D5,B-4,F3,F2
182.0,75.8333,46,2.0,F5,C5,A4,F3,F3,F4,F3,F5,C5,A4,F3,F2
183.5,76.4583,46,2.75,A4,C5,A4,F3,F3,F4,F3,A4,E-4,C5,F3,F2
184.0,76.6667,47,1.0,B-4,B-4,B-4,B-3,B-2,B-3,D3,B-4,B-4,B-4,B-2,B-1
184.5,76.875,47,1.25,B-4,B-4,B-4,B-3,B-2,B-3,D3,B-4,B-4,B-3,B-2,B-1
185.0,77.0833,47,1.5,B-4,B-4,B-4,B-3,B-2,B-3,D3,B-4,B-4,B-3,B-2,B-1
185.5,77.2917,47,1.75,D5,D5,D5,B-3,B-2,B-3,D3,D5,B-4,B-3,B-2,B-1
186.0,77.5,47,2.0,F5,F5,F5,B-3,B-2,B-3,D3,F5,B-4,B-3,B-2,B-1
186.5,77.7083,47,2.25,F5,F5,F5,B-3,B-2,B-3,D3,F5,B-4,B-3,B-2,B-1
187.0,77.9167,47,2.5,A5,C#5,A4,B-3,B-2,r,r,A5,A4,C#4,B-2,B-1
187.5,78.125,47,2.75,A5,C#5,A4,B-3,B-2,r,r,A5,A4,C#4,B-2,B-1
188.0,78.3333,48,1.0,B-5,D5,B-4,B-3,B-2,r,r,B-5,B-4,D4,B-2,B-1
188.5,78.5417,48,1.25,B-5,D5,B-4,B-3,B-2,r,r,B-5,B-4,D4,B-2,B-1
189.0,78.75,48,1.5,C#6,E5,C#5,B-3,B-2,r,r,C#6,C#5,E4,B-2,B-1
189.5,78.9583,48,1.75,C#6,E5,C#5,B-3,B-2,r,r,C#6,C#5,E4,B-2,B-1
190.0,79.1667,48,2.0,D6,F5,D5,B-3,B-2,r,r,D6,D5,F4,B-2,B-1
190.5,79.375,48,2.25,D6,F5,D5,B-3,B-2,r,r,D6,D5,F4,B-2,B-1
191.0,79.5833,48,2.5,E6,E5,C#5,B-3,B-2,r,r,E6,E5,B-4,B-2,B-1
191.5,79.7917,48,2.75,E6,E5,C#5,B-3,B-2,r,r,E6,E5,B-4,B-2,B-1
192.0,80.0,49,1.0,F6,F5,D5,B-2,B-2,F4,D4,F6,F5,B-3,B-2,B-1
193.5,80.625,49,1.75,F6,F5,D5,D3,D3,F4,D4,F6,F5,D4,D3,D2
194.0,80.8333,49,2.0,F6,F5,D5,F3,F3,F4,D4,F6,F5,F4,F3,F2
195.0,81.25,49,2.5,F6,F5,D5,A3,A3,F4,D4,F6,F5,A4,A3,A2
196.0,81.6667,50,1.0,F6,F5,D5,B-3,B-3,F4,D4,F6,F5,B-4,B-3,B-2
197.0,82.0833,50,1.5,F6,F5,D5,C#4,C#4,F4,D4,F6,F5,C#5,C#4,C#3
198.0,82.5,50,2.0,F6,F5,D5,D4,D4,F4,D4,F6,F5,D5,D4,D3
199.0,82.9167,50,2.5,F6,F5,D5,F4,F4,F4,D4,F6,F5,F5,F4,F3
200.0,83.3333,51,1.0,F#6,C5,A4,D3,D3,D4,D3,F#5,F#5,A4,D3,D2
201.5,83.9583,51,1.75,G6,D5,B-4,D3,D3,D4,D3,G5,D5,B-4,D3,D2
202.0,84.1667,51,2.0,A6,E-5,C5,D3,D3,D4,D3,A5,E-5,C5,D3,D2
203.5,84.7917,51,2.75,G6,D5,B-4,D3,D3,D4,D3,G5,D5,B-4,D3,D2
204.0,85.0,52,1.0,F#6,C5,A4,D3,D3,D4,D3,F#5,C5,A4,D3,D2
205.5,85.625,52,1.75,E-6,B-4,G4,D3,D3,D4,D3,E-5,B-4,G4,D3,D2
206.0,85.8333,52,2.0,D6,A4,F#4,D3,D3,D4,D3,D5,A4,F#4,D3,D2
207.5,86.4583,52,2.75,C6,F#5,A4,D3,D3,D4,D3,C5,F#4,C4,D3,D2
208.0,86.6667,53,1.0,B-5,G5,B-4,G3,G3,D4,D4,B-4,G4,B-3,G2,G1
208.5,86.875,53,1.25,B-5,G5,B-4,G3,G3,D4,D4,B-4,B-4,G4,G2,G1
209.0,87.0833,53,1.5,B-5,G5,B-4,G3,G3,D4,D4,B-4,B-4,G4,G2,G1
209.5,87.2917,53,1.75,B-5,G5,B-4,G3,G3,D4,D4,D5,B-4,G4,G2,G1
210.0,87.5,53,2.0,B-5,G5,B-4,G3,G3,D4,D4,G5,B-4,G4,r,r
211.0,87.9167,53,2.5,B-5,G5,B-4,G3,G3,D4,D4,B-5,B-4,G4,r,r
212.0,88.3333,54,1.0,B5,G#5,B4,F3,F3,D4,D4,B5,B4,G#4,F3,F2
213.5,88.9583,54,1.75,B5,G#5,B4,F3,F3,D4,D4,B5,B4,G#4,B3,B2
214.0,89.1667,54,2.0,B5,G#5,B4,F3,F3,D4,D4,B4,B4,G#4,D4,D3
215.0,89.5833,54,2.5,B5,G#5,B4,F3,F3,D4,D4,B4,B4,F4,F4,F3
215.5,89.7917,54,2.75,B5,G#5,B4,F3,F3,D4,D4,B4,B4,F4,F4,F3
216.0,90.0,55,1.0,C6,G5,C5,E3,E3,C4,C4,C5,C5,E4,E4,E3
217.5,90.625,55,1.75,C6,G5,C5,E3,E3,C4,C4,E5,C5,E4,E4,E3
218.0,90.8333,55,2.0,C6,G5,C5,E3,E3,C4,C4,G5,C5,E4,E3,E2
219.0,91.25,55,2.5,C6,G5,C5,E3,E3,C4,C4,C6,C5,E4,E3,E2
220.0,91.6667,56,1.0,A5,F#5,A4,E-3,E-3,C4,C4,A5,A4,E-4,E-3,E-2
221.5,92.2917,56,1.75,A5,F#5,A4,E-3,E-3,C4,C4,A5,A4,E-4,A3,A2
222.0,92.5,56,2.0,A5,F#5,A4,E-3,E-3,C4,C4,A4,A4,E-4,C4,C3
223.0,92.9167,56,2.5,A5,F#5,A4,E-3,E-3,C4,C4,A4,A4,E-4,E-4,E-3
224.0,93.3333,57,1.0,B-5,F5,B-4,D3,D3,F4,B-3,B-4,B-4,D4,D4,D3
225.5,93.9583,57,1.75,B-5,F5,B-4,D3,D3,F4,B-3,D5,B-4,D4,D4,D3
226.0,94.1667,57,2.0,B-5,F5,B-4,D3,D3,F4,B-3,F5,B-4,D4,D3,D2
227.0,94.5833,57,2.5,B-5,F5,B-4,D3,D3,F4,B-3,B-5,B-4,D4,D3,D2
228.0,95.0,58,1.0,B5,F5,F4,C#3,C#3,F4,F3,B5,B4,C#4,C#3,C#2
229.5,95.625,58,1.75,B5,G5,G4,C#3,C#3,F4,F3,B5,B4,C#4,F3,F2
230.0,95.8333,58,2.0,B5,G#5,G#4,C#3,C#3,F4,F3,B4,B4,C#4,A3,A2
231.0,96.25,58,2.5,B5,F5,F4,C#3,C#3,F4,F3,B4,B4,C#4,C#4,C#3
232.0,96.6667,59,1.0,C6,E5,C5,C3,C3,C4,C4,C5,C5,C4,C4,C3
233.5,97.2917,59,1.75,C6,E5,C5,C3,C3,C4,C4,E5,C5,C4,C4,C3
234.0,97.5,59,2.0,C6,E5,C5,C3,C3,C4,C4,G5,C5,C4,C3,C2
235.0,97.9167,59,2.5,C6,E5,C5,C3,C3,C4,C4,C6,C5,C4,C3,C2
236.0,98.3333,60,1.0,F6,F5,B4,C#3,C#3,F4,F3,F6,B4,C#4,C#3,C#2
237.5,98.9583,60,1.75,F6,F5,B4,C#3,C#3,F4,F3,F6,B4,C#4,F3,F2
238.0,99.1667,60,2.0,B5,F5,B4,C#3,C#3,F4,F3,B5,B4,C#4,G#3,G#2
239.0,99.5833,60,2.5,B5,F5,B4,C#3,C#3,F4,F3,B5,B4,C#4,C#4,C#3
240.0,100.0,61,1.0,C6,E5,C5,C3,C3,C4,C4,C6,C5,C4,C4,C3
