qstamp,tstamp,measure,beat,Traverso 1,Violin 1,Violin 2,Viola,Soprano 1 solo,Tenor solo,Continuo
40.0,31.5789,11,1.0,E5,C#5,r,r,r,r,A3
40.5,31.9737,11,1.5,E5,D5,r,r,r,r,A2
41.0,32.3684,11,2.0,F5,D4,r,r,r,r,r
41.25,32.5658,11,2.25,G#4,D4,r,r,r,r,r
41.5,32.7632,11,2.5,B4,F4,D4,r,r,r,r
41.75,32.9605,11,2.75,A4,F4,D4,r,r,r,r
42.0,33.1579,11,3.0,C#5,G4,E4,r,r,r,r
42.25,33.3553,11,3.25,B4,G4,E4,r,r,r,r
42.5,33.5526,11,3.5,D5,A4,F4,r,r,r,r
42.75,33.75,11,3.75,C#5,A4,F4,r,r,r,r
43.0,33.9474,11,4.0,E5,B4,G4,r,r,r,r
43.25,34.1447,11,4.25,D5,B4,G4,r,r,r,r
43.5,34.3421,11,4.5,F5,C#5,A4,r,r,r,r
43.75,34.5395,11,4.75,E5,C#5,A4,r,r,r,r
44.0,34.7368,12,1.0,G#5,D5,B4,r,r,r,r
44.5,35.1316,12,1.5,G#5,E5,C#5,r,r,r,A3
45.0,35.5263,12,2.0,A5,r,C#4,A3,r,r,E3
45.25,35.7237,12,2.25,A4,r,C#4,A3,r,r,E3
45.5,35.9211,12,2.5,C#5,r,r,r,r,r,A3
45.75,36.1184,12,2.75,E5,r,r,r,r,r,A3
46.0,36.3158,12,3.0,A5,r,E4,C#4,r,r,C#3
46.25,36.5132,12,3.25,E5,r,E4,C#4,r,r,C#3
46.5,36.7105,12,3.5,C#5,r,r,r,r,r,E3
46.75,36.9079,12,3.75,A4,r,r,r,r,r,E3
47.0,37.1053,12,4.0,C#5,r,A4,E4,r,r,A2
47.25,37.3026,12,4.25,E5,r,A4,E4,r,r,A2
47.5,37.5,12,4.5,A5,r,r,r,r,r,C#3
47.75,37.6974,12,4.75,E5,r,r,r,r,r,C#3
48.0,37.8947,13,1.0,D6,A5,E5,A4,r,r,G2
48.5,38.2895,13,1.5,D6,A5,r,r,r,r,A3
49.0,38.6842,13,2.0,C#6,A5,A4,C#5,r,r,E3
49.25,38.8816,13,2.25,A4,A5,A4,C#5,r,r,E3
49.5,39.0789,13,2.5,C#5,A5,r,r,r,r,G3
49.75,39.2763,13,2.75,E5,A5,r,r,r,r,G3
50.0,39.4737,13,3.0,A5,A5,C#5,E5,r,r,C#3
50.25,39.6711,13,3.25,E5,A5,C#5,E5,r,r,C#3
50.5,39.8684,13,3.5,C#5,A5,r,r,r,r,E3
50.75,40.0658,13,3.75,A4,A5,r,r,r,r,E3
51.0,40.2632,13,4.0,C#5,A5,E5,C#5,r,r,A2
51.25,40.4605,13,4.25,E5,A5,E5,C#5,r,r,A2
51.5,40.6579,13,4.5,A5,A5,r,r,r,r,C#3
51.75,40.8553,13,4.75,E5,A5,r,r,r,r,C#3
52.0,41.0526,14,1.0,C#6,A5,E5,A4,r,r,F#2
52.5,41.4474,14,1.5,C#6,A5,r,r,r,r,A3
