qstamp_start,qstamp_end,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
274.5,276.5,U(Oboe d’amore 1)&U(Violin 1)&P8(Main),,U(Traverso 1)&U(Violin 1)&P8(Main),U(Violin 2)&U(Soprano 1),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&P8(Main),U(Oboe d’amore 2)&U(Soprano 1),,U(Oboe d’amore 2)&U(Violin 2),Main Part,,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
276.5,278.5,U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1),U(Traverso 2)&U(Oboe d’amore 2),,Main Part,,,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
278.5,279.5,U(Oboe d’amore 1)&U(Violin 1)&U(Soprano 1),U(Oboe d’amore 2)&U(Violin 2)&U(Main),U(Traverso 1)&U(Violin 1)&U(Soprano 1),U(Traverso 2)&U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Traverso 1)&U(Oboe d’amore 1)&U(Soprano 1),U(Traverso 2)&U(Oboe d’amore 2)&U(Main),,U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1),Main Part,,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
279.5,286.0,U(Violin 1)&U(Main),U(Oboe d’amore 2)&U(Violin 2)&U(Soprano 2),,U(Traverso 2)&U(Violin 2)&U(Soprano 2),U(Bass)&U(Continuo),U(Traverso 1)&U(Main),U(Traverso 2)&U(Oboe d’amore 2)&U(Soprano 2),,Main Part,U(Traverso 2)&U(Oboe d’amore 2)&U(Violin 2),,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
286.0,295.5,U(Violin 1),U(Violin 2),,Main Part,U(Continuo),U(Traverso 1),U(Traverso 2),,U(Soprano 2)&P4(Alto)&P3(Tenor)&P8(Bass),U(Soprano 1)&P4(Alto)&P3(Tenor)&P8(Bass),P4(Soprano 1)&P4(Soprano 2)&P6(Tenor)&P4(Bass),P3(Soprano 1)&P3(Soprano 2)&P6(Alto)&P3(Bass),P8(Soprano 1)&P8(Soprano 2)&P4(Alto)&P3(Tenor),U(Bassoon)
295.5,296.5,Main Part,P4(Main)&P4(Violin 1)&U(Violin 2),,,U(Continuo),U(Main)&P4(Traverso 2)&P4(Violin 2),P4(Main)&U(Traverso 2)&P4(Violin 1),,,,,,,U(Bassoon)
296.5,297.5,U(Violin 1),Main Part,P3(Main)&P3(Violin 2),P3(Viola),U(Continuo),U(Traverso 1),U(Main)&P3(Oboe d’amore 1),P3(Oboe d’amore 2),,,,,,U(Bassoon)
297.5,298.5,Main Part,P4(Main)&P4(Violin 1)&U(Violin 2),,,U(Continuo),U(Main)&P4(Traverso 2)&P4(Violin 2),P4(Main)&U(Traverso 2)&P4(Violin 1),,,,,,,U(Bassoon)
298.5,299.5,U(Violin 1),Main Part,,,U(Continuo),U(Traverso 1),U(Main),,,,,,,U(Bassoon)
299.5,300.5,Main Part,U(Violin 2),,P4(Viola),U(Continuo),U(Main),U(Traverso 2),P4(Oboe d’amore 2),,,,,,U(Bassoon)
300.5,302.0,U(Violin 1),Main Part,,,U(Continuo),U(Traverso 1),U(Main),,,,,,,U(Bassoon)
302.0,312.5,,Main Part,,,,,,,,,,,,
312.5,314.5,Main Part,U(Oboe d’amore 2),U(Main),U(Traverso 2),U(Continuo),,,,,,,,,U(Bassoon)
314.5,315.5,U(Oboe d’amore 1),Main Part,U(Traverso 1),U(Main),U(Continuo),,,,,,,,,U(Bassoon)
315.5,316.5,Main Part,U(Oboe d’amore 2),U(Main),U(Traverso 2),U(Continuo),,,,,,,,,U(Bassoon)
316.5,317.5,U(Oboe d’amore 1),Main Part,U(Traverso 1),U(Main),U(Continuo),,,,,,,,,U(Bassoon)
317.5,318.5,Main Part,P4(Main)&P4(Oboe d’amore 1)&U(Oboe d’amore 2),U(Main)&P4(Traverso 2)&P4(Oboe d’amore 2),P4(Main)&U(Traverso 2)&P4(Oboe d’amore 1),U(Continuo),,,,,,,,,U(Bassoon)
318.5,320.0,U(Oboe d’amore 1),Main Part,U(Traverso 1),U(Main),U(Continuo),,,,,,,,,U(Bassoon)
320.0,330.0,U(Oboe d’amore 1),U(Oboe d’amore 2),U(Traverso 1),U(Traverso 2),U(Main)&U(Continuo),,,,,,,,Main Part,U(Bassoon)&U(Main)
