qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,E Horn 3,E Horn 4,D Trumpet 1,D Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
611.0,616.0,Main Part,,,,,,,,P5(D Horn 2)&P8(D Trumpet 1)&P5(D Trumpet 2)&P5(Violin 1)&P5(Violin 2)&P5(Viola)&P5(Contrabass),P5(D Horn 1)&P5(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),,,P8(D Horn 1)&P5(D Horn 2)&P5(D Trumpet 2)&P5(Violin 1)&P5(Violin 2)&P5(Viola)&P5(Contrabass),P5(D Horn 1)&P8(D Horn 2)&P5(D Trumpet 1)&P8(Violin 1)&U(Violin 2)&U(Viola)&P8(Contrabass),,,,,,P5(D Horn 1)&P8(D Horn 2)&P5(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P5(D Horn 1)&P8(D Horn 2)&P5(D Trumpet 1)&U(D Trumpet 2)&P8(Violin 1)&U(Viola)&P8(Contrabass),P5(D Horn 1)&P8(D Horn 2)&P5(D Trumpet 1)&U(D Trumpet 2)&P8(Violin 1)&U(Violin 2)&P8(Contrabass),,P5(D Horn 1)&P8(D Horn 2)&P5(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)
616.0,676.0,,,,,,P5(D Trumpet 1)&P8(D Trumpet 2),,,,,,,P5(A Clarinet 2)&P5(D Trumpet 2),P8(A Clarinet 2)&P5(D Trumpet 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
676.0,708.0,Main Part,,,,P8(Main),,,,,,,,,,,,,,,,,,,
708.0,733.0,Main Part,P3(Oboe 2)&P5(A Clarinet 2)&P3(E Horn 3)&P3(E Horn 4),,P3(Flute 2)&P3(A Clarinet 2)&P8(E Horn 3)&P8(E Horn 4),P8(Main),P5(Flute 2)&P3(Oboe 2)&P3(E Horn 3)&P3(E Horn 4),,,,,P3(Flute 2)&P8(Oboe 2)&P3(A Clarinet 2)&P8(E Horn 4),P3(Flute 2)&P8(Oboe 2)&P3(A Clarinet 2)&P8(E Horn 3),,,,,,,,,,,,
733.0,820.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,P8(D Trumpet 2),P8(D Trumpet 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
820.0,824.0,Main Part,U(Main)&P8(A Clarinet 1),,,P8(Main)&P8(Flute 2),,U(Bassoon 2),U(Bassoon 1),U(D Horn 2),U(D Horn 1),,,,,,,,,,P8(Violoncello),,,P8(Violin 1),
824.0,828.0,P8(A Clarinet 1),,,,P8(Flute 1),,U(Bassoon 2),U(Bassoon 1),U(D Horn 2),U(D Horn 1),P8(E Horn 4),P8(E Horn 3),,,,,,,,Main Part,,,,
828.0,836.0,Main Part,,,,,,,,,,P8(E Horn 4),P8(E Horn 3),,,,,,,,,,P4(Violoncello),P4(Viola),
836.0,840.0,P8(Bassoon 2),,,,,,,P8(Flute 1),,,P8(E Horn 4),P8(E Horn 3),,,,,,,,Main Part,,,,
840.0,844.0,Main Part,,,,P8(Main)&P4(E Horn 3)&P4(E Horn 4),,U(Bassoon 2),U(Bassoon 1),,,P4(Main)&P4(A Clarinet 1)&P8(E Horn 4),P4(Main)&P4(A Clarinet 1)&P8(E Horn 3),,,,,,,,P2(Violin 2)&P4(Viola),P2(Violin 1)&P5(Viola),P4(Violin 1)&P5(Violin 2),,
844.0,853.0,P2(Flute 2)&P8(A Clarinet 1)&P4(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(E Horn 3)&P4(E Horn 4),P2(Flute 1)&P2(A Clarinet 1)&P5(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P5(E Horn 3)&P5(E Horn 4),P8(D Horn 1),,P8(Flute 1)&P2(Flute 2)&P4(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(E Horn 3)&P4(E Horn 4),P4(Flute 1)&P5(Flute 2)&P4(A Clarinet 1)&P4(Bassoon 1)&P4(Bassoon 2)&U(E Horn 3)&P8(E Horn 4),P8(Flute 1)&P2(Flute 2)&P8(A Clarinet 1)&P4(A Clarinet 2)&U(Bassoon 2)&P4(E Horn 3)&P4(E Horn 4),P8(Flute 1)&P2(Flute 2)&P8(A Clarinet 1)&P4(A Clarinet 2)&U(Bassoon 1)&P4(E Horn 3)&P4(E Horn 4),P8(Oboe 1),,P4(Flute 1)&P5(Flute 2)&P4(A Clarinet 1)&U(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 4),P4(Flute 1)&P5(Flute 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 3),,,,,,,,Main Part,,,,
853.0,880.0,,,Main Part,,,P8(Bassoon 2),,P8(A Clarinet 2),,,,,,,,,,,,,,,,
880.0,896.0,P8(Main)&P8(Bassoon 1),,,,Main Part,P8(Bassoon 2),P8(Flute 1)&P8(Main),P8(A Clarinet 2),,,,,,,,,,,,,,,,
896.0,934.0,,,,,,,,,,,,,,,,P8(Contrabass),,,,Main Part,,,,P8(Trombone 2)
934.0,950.0,Main Part,,P8(Trombone 1)&P8(Trombone 3),,P8(Main)&P8(Trombone 2),,,,,,,,,,P8(Oboe 1)&P8(Trombone 3),P8(Main)&P8(A Clarinet 1),P8(Oboe 1)&P8(Trombone 1),P3(Viola),,,,P3(Tuba),P8(Contrabass),P8(Violoncello)
950.0,972.0,Main Part,,,,P8(Trombone 2)&P8(Tuba),,,,P8(D Trumpet 1),P8(D Trumpet 2)&U(Timpani),,,P8(D Horn 1),P8(D Horn 2)&P8(Timpani),,P8(A Clarinet 1)&P8(Tuba),,P8(A Clarinet 1)&P8(Trombone 2),U(D Horn 2)&P8(D Trumpet 2),,,,,
972.0,1052.5,,,,,,,,,P5(D Horn 2)&P8(D Trumpet 1)&P5(D Trumpet 2),P5(D Horn 1)&P5(D Trumpet 1)&P8(D Trumpet 2),,,P8(D Horn 1)&P5(D Horn 2)&P5(D Trumpet 2),P5(D Horn 1)&P8(D Horn 2)&P5(D Trumpet 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1052.5,1120.0,,,,,,,,,,,,,P8(D Trumpet 2),P8(D Trumpet 1),,,,,,Main Part,,,,
1120.0,1152.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),,,,,,,,,,,,Main Part,,,,
1152.0,1200.0,Main Part,,,,,,,,,,,,,,,,,,,,,,,
1200.0,1223.5,Main Part,P8(Oboe 2),P8(Main)&P8(A Clarinet 2),P8(Flute 2),,P8(Main)&P8(Oboe 1),,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1223.5,1247.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,P8(Bassoon 2),P8(Bassoon 1),P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2),P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),,,P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2),U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1247.0,1264.0,Main Part,P8(Oboe 2),,P8(Flute 2),,,U(Bassoon 2),U(Bassoon 1),P8(D Horn 2),P8(D Horn 1),P3(E Horn 4),P3(E Horn 3),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),,,,,P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
1264.0,1280.0,,,,,P8(Viola),,U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),P8(D Trumpet 1),P8(D Trumpet 2),,,P8(D Horn 1),P8(D Horn 2),,,,,,Main Part,,P8(A Clarinet 1),U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
1280.0,1298.0,P8(A Clarinet 1),P8(A Clarinet 2),,,P8(Flute 1),P8(Flute 2),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),,,U(E Horn 4),U(E Horn 3),,,,,,,,Main Part,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
1298.0,1348.0,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),,U(D Horn 2),U(D Horn 1),,,,,,,,,,,,,,
1348.0,1361.0,P8(Oboe 1)&P8(Bassoon 1)&P8(D Horn 1)&P8(D Horn 2),P8(Oboe 2)&P8(A Clarinet 2),P8(Flute 1)&P8(Bassoon 1)&P8(D Horn 1)&P8(D Horn 2),P8(Flute 2)&P8(A Clarinet 2),,P8(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Oboe 1)&P8(D Horn 1)&U(D Horn 2),,P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 1)&P8(D Horn 2),P8(Flute 1)&P8(Oboe 1)&U(Bassoon 1)&P8(D Horn 1),,,,,,,,,,Main Part,P8(Main)&P8(Violoncello),,P8(Main)&P8(Violin 2),
1361.0,1377.0,,,,,,,P8(Bassoon 2)&P8(Violoncello),P8(Bassoon 1)&P8(Violoncello),P8(D Horn 2),P8(D Horn 1),P3(E Horn 4),P3(E Horn 3),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),,,,,P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P8(Main),,P8(Bassoon 1)&P8(Bassoon 2),
1377.0,1408.0,Main Part,U(Main),,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,P8(D Trumpet 2),P8(D Trumpet 1),P3(Trombone 2)&P5(Trombone 3)&P5(Tuba),P3(Trombone 1)&P3(Trombone 3)&P3(Tuba),P5(Trombone 1)&P3(Trombone 2)&P8(Tuba),P5(Trombone 1)&P3(Trombone 2)&P8(Trombone 3),,,,,,
1408.0,1448.0,P8(A Clarinet 1),P8(A Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,,,,,,,Main Part,,,,,,,,,
1448.0,1496.0,Main Part,,,,,,,,,,P8(E Horn 4),P8(E Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
1496.0,1544.0,,,,,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Violoncello)&P8(Contrabass),,,,,,,,,,,,Main Part,,,P8(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
1544.0,1616.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
1616.0,1664.0,,,,,,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,,,,,P8(Timpani),P3(Trombone 2)&P8(Trombone 3)&P8(Tuba),P3(Trombone 1)&P3(Trombone 3)&P3(Tuba),P8(Trombone 1)&P3(Trombone 2)&P8(Tuba),P8(Trombone 1)&P3(Trombone 2)&P8(Trombone 3),P8(D Trumpet 2),Main Part,,,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
1664.0,1672.0,P8(A Clarinet 1),P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Timpani)&P5(Violin 1)&P5(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),,,P8(Flute 1),P8(Flute 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Timpani)&P5(Violin 1)&P5(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P5(Flute 2)&P5(A Clarinet 2)&P8(Bassoon 2)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P5(Flute 2)&P5(A Clarinet 2)&P8(Bassoon 1)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),P8(Main),P8(D Trumpet 2),U(E Horn 4)&U(Trombone 1)&P3(Trombone 2)&P3(Trombone 3)&P3(Tuba),U(E Horn 3)&U(Trombone 1)&P3(Trombone 2)&P3(Trombone 3)&P3(Tuba),Main Part,P8(D Horn 2),U(E Horn 3)&U(E Horn 4)&P3(Trombone 2)&P3(Trombone 3)&P3(Tuba),P3(E Horn 3)&P3(E Horn 4)&P3(Trombone 1)&P5(Trombone 3)&P5(Tuba),P3(E Horn 3)&P3(E Horn 4)&P3(Trombone 1)&P5(Trombone 2)&P8(Tuba),P3(E Horn 3)&P3(E Horn 4)&P3(Trombone 1)&P5(Trombone 2)&P8(Trombone 3),P5(Flute 2)&P5(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P5(Flute 2)&P5(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Timpani)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P5(Flute 2)&P5(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Timpani)&U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P5(Flute 2)&P5(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P5(Flute 2)&P5(A Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P5(Flute 2)&P5(A Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1672.0,1696.0,Main Part,P8(Oboe 2)&P8(A Clarinet 2),P8(Main)&U(A Clarinet 1),P8(Flute 2)&U(A Clarinet 2),P8(Main)&U(Oboe 1),P8(Flute 2)&U(Oboe 2),P8(Bassoon 2)&P8(Timpani)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Timpani)&P8(Violoncello)&U(Contrabass),P8(D Trumpet 1),P8(D Trumpet 2),,,P8(D Horn 1),P8(D Horn 2),P3(Trombone 2),P3(Trombone 1),,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 2)&P8(Viola),P8(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),U(Bassoon 1)&P8(Bassoon 2)&P8(Timpani)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Timpani)&P8(Violoncello)
1696.0,1712.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(D Horn 2)&P3(D Trumpet 2)&P8(Main)&P3(Trombone 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Main),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P3(A Clarinet 2)&P3(D Horn 2)&P3(D Trumpet 2)&P8(Main)&P3(Trombone 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&U(A Clarinet 2)&P3(Main),P8(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P3(D Horn 2)&P3(D Trumpet 2)&P8(Main)&P3(Trombone 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P3(Main),P8(Bassoon 2)&P8(E Horn 3)&P8(E Horn 4)&P8(Trombone 3)&U(Timpani)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(E Horn 3)&P8(E Horn 4)&P8(Trombone 3)&P8(Timpani)&P8(Violoncello)&U(Contrabass),P8(D Trumpet 1),P3(Flute 1)&P3(Oboe 1)&P3(A Clarinet 1)&P8(D Trumpet 2)&P3(Main),P8(Bassoon 1)&P8(Bassoon 2)&U(E Horn 4)&P8(Trombone 3)&P8(Timpani)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(E Horn 3)&P8(Trombone 3)&P8(Timpani)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1),P3(Flute 1)&P3(Oboe 1)&P3(A Clarinet 1)&P8(D Horn 2)&P3(Main),Main Part,P3(Flute 1)&P3(Oboe 1)&P3(A Clarinet 1)&P3(Main),P8(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 3)&P8(E Horn 4)&P8(Timpani)&P8(Violoncello)&P8(Contrabass),,U(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 3)&P8(E Horn 4)&P8(Trombone 3)&U(Violoncello)&P8(Contrabass),,,,U(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 3)&P8(E Horn 4)&P8(Trombone 3)&U(Timpani)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(E Horn 3)&P8(E Horn 4)&P8(Trombone 3)&P8(Timpani)&P8(Violoncello)
