id	performers	publisher	year	imslp_number	imslp_link	score_id
11	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11024 SD.	1964	736429	https://imslp.org/images/4/4a/PMLP1582-01.04._Symphony_No._1_In_C_Major%2C_Opus_21-_Adagio%2C_Allegro_Molto_E_Vivace.mp3	38
12	London Symphony Orchestra, Josef Krips	Everest. SDBR 3089.	1962	736431	https://imslp.org/images/4/47/PMLP1582-aa01.01._Symphony_No._1_In_C_Major%2C_Op._21_1st_Movement_-_Adagio_Molto%3B_Allegro_Con_Brio.mp3	35
13	London Symphony Orchestra, Josef Krips	Everest. SDBR 3089.	1962	736433	https://imslp.org/images/9/96/PMLP1582-aa01.02._Symphony_No._1_In_C_Major%2C_Op._21_2nd_Movement_-_Andante_Cantabile_Con_Moto.mp3	36
14	London Symphony Orchestra, Josef Krips	Everest. SDBR 3089.	1962	736434	https://imslp.org/images/0/09/PMLP1582-aa01.03._Symphony_No._1_In_C_Major%2C_Op._21_3rd_Movement_-_Menuetto%3B_Allegro_Molto_E_Vivace%3B_Trio.mp3	37
15	London Symphony Orchestra, Josef Krips	Everest. SDBR 3089.	1962	736435	https://imslp.org/images/1/17/PMLP1582-aa01.04._Symphony_No._1_In_C_Major%2C_Op._21_4th_Movement_-_Adagio%3B_Allegro_Molto_E_Vivace.mp3	38
16	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729155	https://imslp.org/images/1/1c/PMLP1582-01.01._Symphony_No._1_In_C_Major%2C_Op._21-_1st_Movement_-_Adagio_Molto%3B_Allegro_Con_Brio.mp3	35
17	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729156	https://imslp.org/images/5/54/PMLP1582-01.02._Symphony_No._1_In_C_Major%2C_Op._21-_2nd_Movement_-_Andante_Cantabile_Con_Moto.mp3	36
18	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729157	https://imslp.org/images/c/ce/PMLP1582-01.03._Symphony_No._1_In_C_Major%2C_Op._21-_3rd_Movement_-_Menuetto%3B_Allegro_Molto_E_Vivace%3B_Trio.mp3	37
19	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729158	https://imslp.org/images/6/6e/PMLP1582-01.04._Symphony_No._1_In_C_Major%2C_Op._21-_4th_Movement_-_Adagio%3B_Allegro_Molto_E_Vivace.mp3	38
20	Detroit Symphony Orchestra, Paul Paray	Mercury. MG50205.	1959	711703	https://imslp.org/images/d/d0/PMLP1582-02.02._Adagio_Molto_-_Allegro_Con_Brio.mp3	35
21	Detroit Symphony Orchestra, Paul Paray	Mercury. MG50205.	1959	711704	https://imslp.org/images/c/c5/PMLP1582-02.03._Andante_Cantabile_Con_Molto.mp3	36
22	Detroit Symphony Orchestra, Paul Paray	Mercury. MG50205.	1959	711705	https://imslp.org/images/d/dc/PMLP1582-02.04._Menuetto_%28Allegro_Molto_E_Vivace%29.mp3	37
23	Detroit Symphony Orchestra, Paul Paray	Mercury. MG50205.	1959	711706	https://imslp.org/images/3/3d/PMLP1582-02.05._Adagio_-_Allegro_Molto_E_Vivace.mp3	38
24	Columbia Symphony Orchestra, Bruno Walter	CBS. BRG 72056.	1959	723417	https://imslp.org/images/5/5f/PMLP1582-02.02._Symphony_No._1_In_C_Major%2C_Op._21-_1st_Movt-_Adagio_Molto_-_Allegro_Con_Brio.mp3	35
25	Columbia Symphony Orchestra, Bruno Walter	CBS. BRG 72056.	1959	723418	https://imslp.org/images/9/90/PMLP1582-02.03._Symphony_No._1_In_C_Major%2C_Op._21-_2nd_Movt-_Andante_Cantabile_Con_Moto.mp3	36
26	Columbia Symphony Orchestra, Bruno Walter	CBS. BRG 72056.	1959	723419	https://imslp.org/images/1/19/PMLP1582-02.04._Symphony_No._1_In_C_Major%2C_Op._21-_3rd_Movt-_Menuetto.mp3	37
27	Columbia Symphony Orchestra, Bruno Walter	CBS. BRG 72056.	1959	723420	https://imslp.org/images/c/cf/PMLP1582-02.05._Symphony_No._1_In_C_Major%2C_Op._21-_4th_Movt-_Adagio_-_Allegro_Molto.mp3	38
28	Orchestre de la Suisse Romande, Ernest Ansermet	London Records. STS 15032.	1956	735781	https://imslp.org/images/5/59/PMLP1582-01.01._Beethoven-_Symphony_No._1_In_C%2C_Op._21-_Adagio_molto_._._._Allegro_con_brio.mp3	35
29	Orchestre de la Suisse Romande, Ernest Ansermet	London Records. STS 15032.	1956	735782	https://imslp.org/images/7/75/PMLP1582-01.02._Beethoven-_Symphony_No._1_In_C%2C_Op._21-_Andante_cantabile.mp3	36
30	Orchestre de la Suisse Romande, Ernest Ansermet	London Records. STS 15032.	1956	735783	https://imslp.org/images/c/cf/PMLP1582-01.03._Beethoven-_Symphony_No._1_In_C%2C_Op._21-_Menuetto.mp3	37
31	Orchestre de la Suisse Romande, Ernest Ansermet	London Records. STS 15032.	1956	735784	https://imslp.org/images/9/90/PMLP1582-01.04._Beethoven-_Symphony_No._1_In_C%2C_Op._21-_Adagio_._._._Allegro_molto_e_vivace.mp3	38
32	Wiener Symphoniker, Hermann Scherchen	Westminster. WN 18034.	1955	736410	https://imslp.org/images/5/5f/PMLP1582-01.01._Symphony_No._1_In_C_Major%2C_Op._21_-_Adagio_Molto_-_Allegro_Con_Brio.mp3	35
33	Wiener Symphoniker, Hermann Scherchen	Westminster. WN 18034.	1955	736411	https://imslp.org/images/e/e2/PMLP1582-01.02._Symphony_No._1_In_C_Major%2C_Op._21_-_Andante_Cantabile_Con_Moto.mp3	36
34	Wiener Symphoniker, Hermann Scherchen	Westminster. WN 18034.	1955	736412	https://imslp.org/images/b/b1/PMLP1582-01.03._Symphony_No._1_In_C_Major%2C_Op._21_-_Minuetto_-_Allegro_Molto_E_Vivace.mp3	37
35	Wiener Symphoniker, Hermann Scherchen	Westminster. WN 18034.	1955	736413	https://imslp.org/images/9/93/PMLP1582-01.04._Symphony_No._1_In_C_Major%2C_Op._21_-_Adagio_-_Allegro_Molto.mp3	38
36	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11024 SD.	1964	736441	https://imslp.org/images/8/83/PMLP2580-02.01._Symphony_No._2_In_D_Major%2C_Opus_36-_Adagio_Molto%2C_Allegro_Con_Brio.mp3	39
37	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11024 SD.	1964	736442	https://imslp.org/images/a/a6/PMLP2580-02.02._Symphony_No._2_In_D_Major%2C_Opus_36-_Larghetto.mp3	40
38	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11024 SD.	1964	736443	https://imslp.org/images/f/f2/PMLP2580-02.03._Symphony_No._2_In_D_Major%2C_Opus_36-_Scherzo-_Allegro.mp3	41
39	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11024 SD.	1964	736444	https://imslp.org/images/6/64/PMLP2580-02.04._Symphony_No._2_In_D_Major%2C_Opus_36-_Allegro_Molto.mp3	42
40	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729167	https://imslp.org/images/c/c3/PMLP2580-02.01._Symphony_No._2_In_D_Major%2C_Op._36-_First_Movement_-_Adagio_Molto%3B_Allegro_Con_Brio.mp3	39
41	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729168	https://imslp.org/images/9/97/PMLP2580-02.02._Symphony_No._2_In_D_Major%2C_Op._36-_Second_Movement_-_Larghetto.mp3	40
42	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729169	https://imslp.org/images/1/12/PMLP2580-02.03._Symphony_No._2_In_D_Major%2C_Op._36-_Third_Movement_-_Scherzo.mp3	41
43	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729170	https://imslp.org/images/4/4c/PMLP2580-02.04._Symphony_No._2_In_D_Major%2C_Op._36-_Fourth_Movement_-_Allegro_Molto.mp3	42
44	Detroit Symphony Orchestra, Paul Paray	Mercury. MG50205.	1959	711707	https://imslp.org/images/a/a9/PMLP2580-01.01._Adagio_Molto_-_Allegro_Con_Brio.mp3	39
45	Detroit Symphony Orchestra, Paul Paray	Mercury. MG50205.	1959	711708	https://imslp.org/images/e/ea/PMLP2580-01.02._Larghetto.mp3	40
46	Detroit Symphony Orchestra, Paul Paray	Mercury. MG50205.	1959	711709	https://imslp.org/images/c/cc/PMLP2580-01.03._Scherzo_%28Allegro%29.mp3	41
47	Detroit Symphony Orchestra, Paul Paray	Mercury. MG50205.	1959	711710	https://imslp.org/images/f/f8/PMLP2580-02.01._Allegro_Molto.mp3	42
48	Columbia Symphony Orchestra, Bruno Walter	CBS. BRG 72056.	1959	723421	https://imslp.org/images/6/6f/PMLP2580-01.01._Symphony_No._2_In_D_Major%2C_Op._36-_1st_Movt-_Adagio_Molto_-_Allegro_Con_Brio.mp3	39
49	Columbia Symphony Orchestra, Bruno Walter	CBS. BRG 72056.	1959	723422	https://imslp.org/images/0/08/PMLP2580-01.02._Symphony_No._2_In_D_Major%2C_Op._36-_2nd_Movt-_Larghetto.mp3	40
50	Columbia Symphony Orchestra, Bruno Walter	CBS. BRG 72056.	1959	723423	https://imslp.org/images/f/f3/PMLP2580-01.03._Symphony_No._2_In_D_Major%2C_Op._36-_3rd_Movt-_Scherzo_%28Allegro%29.mp3	41
51	Columbia Symphony Orchestra, Bruno Walter	CBS. BRG 72056.	1959	723424	https://imslp.org/images/e/e9/PMLP2580-02.01._Symphony_No._2_In_D_Major%2C_Op._36-_4th_Movt-_Allegro_Molto.mp3	42
52	Czech National Symphony Orchestra	Palo Alto: Musopen.	2012	246970	https://imslp.org/images/6/6a/PMLP02581-Symphony_No._3_in_E_Flat_Major_Eroica%2C_Op._55_-_I._Allegro_con_brio.mp3	43
53	Czech National Symphony Orchestra	Palo Alto: Musopen.	2012	246971	https://imslp.org/images/8/80/PMLP02581-Symphony_No._3_in_E_Flat_Major_Eroica%2C_Op._55_-_II._Marcia_funebre_Adagio_assai.mp3	44
54	Czech National Symphony Orchestra	Palo Alto: Musopen.	2012	246972	https://imslp.org/images/5/53/PMLP02581-Symphony_No._3_in_E_Flat_Major_Eroica%2C_Op._55_-_III._Scherzo_Allegro_vivace.mp3	45
55	Czech National Symphony Orchestra	Palo Alto: Musopen.	2012	246973	https://imslp.org/images/7/75/PMLP02581-Symphony_No._3_in_E_Flat_Major_Eroica%2C_Op._55_-_IV._Finale_Allegro_molto.mp3	46
56	Czech National Symphony Orchestra	Palo Alto: Musopen.	2012	831988	https://imslp.org/images/7/7d/PMLP2581-Symphony_No._3_in_E_Flat_Major_Eroica%2C_Op._55_-_1._Allegro_con_brio.flac	43
57	Czech National Symphony Orchestra	Palo Alto: Musopen.	2012	831987	https://imslp.org/images/5/54/PMLP2581-Symphony_No._3_in_E_Flat_Major_Eroica%2C_Op._55_-_2._Marcia_funebre_Adagio_assai.flac	44
58	Czech National Symphony Orchestra	Palo Alto: Musopen.	2012	831985	https://imslp.org/images/e/ec/PMLP2581-Symphony_No._3_in_E_Flat_Major_Eroica%2C_Op._55_-_3._Scherzo_Allegro_vivace.flac	45
59	Czech National Symphony Orchestra	Palo Alto: Musopen.	2012	831986	https://imslp.org/images/c/c2/PMLP2581-Symphony_No._3_in_E_Flat_Major_Eroica%2C_Op._55_-_4._Finale_Allegro_molto.flac	46
60	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11019 SD.	1963	728900	https://imslp.org/images/9/9b/PMLP2581-01.01._Symphony_No._3_In_E_Flat%2C_Op._55_%28%22Eroica%22%29-_First_Movement-_Allegro_Con_Brio.mp3	43
61	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11019 SD.	1963	728901	https://imslp.org/images/b/be/PMLP2581-01.02._Symphony_No._3_In_E_Flat%2C_Op._55_%28%22Eroica%22%29-_Second_Movement-_Marcia_Funebre_-_Adagio_Assai.mp3	44
62	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11019 SD.	1963	728902	https://imslp.org/images/9/9f/PMLP2581-02.01._Symphony_No._3_In_E_Flat%2C_Op._55_%28%22Eroica%22%29-_Second_Movement-_Marcia_Funebre_-_Adagio_Assai_%28Concluded%29.mp3	44
63	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11019 SD.	1963	728903	https://imslp.org/images/0/0e/PMLP2581-02.02._Symphony_No._3_In_E_Flat%2C_Op._55_%28%22Eroica%22%29-_Third_Movement-_Scherzo_-_Allegro_Vivace.mp3	45
64	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11019 SD.	1963	728904	https://imslp.org/images/2/26/PMLP2581-02.03._Symphony_No._3_In_E_Flat%2C_Op._55_%28%22Eroica%22%29-_Fourth_Movement-_Finale_-_Allegro_Molto%2C_Poco_Andante%2C_Presto.mp3	46
65	Wiener Philharmoniker, Pierre Monteux	RCA Victrola Red Seal. VICS 1036.	1963	728913	https://imslp.org/images/a/a5/PMLP2581-01.01._Symphony_No.3_In_E_Flat%2C_%28Op.55%29_%28%22Eroica%22%29-_Allegro_Con_Brio.mp3	43
66	Wiener Philharmoniker, Pierre Monteux	RCA Victrola Red Seal. VICS 1036.	1963	728914	https://imslp.org/images/9/93/PMLP2581-01.02._Symphony_No.3_In_E_Flat%2C_%28Op.55%29_%28%22Eroica%22%29-_Marcia_Funebre-_Adagio_Assai.mp3	44
67	Wiener Philharmoniker, Pierre Monteux	RCA Victrola Red Seal. VICS 1036.	1963	728915	https://imslp.org/images/5/5e/PMLP2581-02.01._Symphony_No._3_In_E-Flat%2C_Op._55_%28%22Eroica%22%29-_Second_Movement-_Marcia_Funebre_Adagio_Assai_%28Concluded%29.mp3	44
68	Wiener Philharmoniker, Pierre Monteux	RCA Victrola Red Seal. VICS 1036.	1963	728916	https://imslp.org/images/f/fa/PMLP2581-02.02._Symphony_No._3_In_E-Flat%2C_Op._55_%28%22Eroica%22%29-_Third_Movement-_Scherzo-_Allegro_Vivace.mp3	45
69	Wiener Philharmoniker, Pierre Monteux	RCA Victrola Red Seal. VICS 1036.	1963	728917	https://imslp.org/images/5/5b/PMLP2581-02.03._Symphony_No._3_In_E-Flat%2C_Op._55_%28%22Eroica%22%29-_Fourth_Movement-_Finale-_Allegro_Molto.mp3	46
70	Berliner Philharmoniker, Herbert von Karajan	Deutsche Grammophon. 2535 302.	1962	728891	https://imslp.org/images/3/38/PMLP2581-01.01._1._Satz-_Allegro_Con_Brio.mp3	43
71	Berliner Philharmoniker, Herbert von Karajan	Deutsche Grammophon. 2535 302.	1962	728892	https://imslp.org/images/e/e2/PMLP2581-01.02._2._Satz-_Marcia_Funebre-_Adagio_Assai.mp3	44
72	Berliner Philharmoniker, Herbert von Karajan	Deutsche Grammophon. 2535 302.	1962	728893	https://imslp.org/images/0/03/PMLP2581-02.01._3._Satz-_Scherzo-_Allegro_Vivace.mp3	45
73	Berliner Philharmoniker, Herbert von Karajan	Deutsche Grammophon. 2535 302.	1962	728894	https://imslp.org/images/8/86/PMLP2581-02.02._4._Satz-_Finale-_Allegro_Molto_-_Poco_Andante_-_Presto.mp3	46
74	London Philharmonic, Adrian Boult	Alshire. ASC 814.	1962	728895	https://imslp.org/images/f/f2/PMLP2581-01.01._Allegro_Con_Brio.mp3	43
75	London Philharmonic, Adrian Boult	Alshire. ASC 814.	1962	728896	https://imslp.org/images/5/5e/PMLP2581-01.02._Marcia_Funebre%2C_Adagio_assai.mp3	44
76	London Philharmonic, Adrian Boult	Alshire. ASC 814.	1962	728897	https://imslp.org/images/a/a7/PMLP2581-02.01._Marcia_Funebre%2C_Adagio_assai_%28continued%29.mp3	44
77	London Philharmonic, Adrian Boult	Alshire. ASC 814.	1962	728898	https://imslp.org/images/0/08/PMLP2581-02.02._Scherzo%2C_Allegro_vivace.mp3	45
78	London Philharmonic, Adrian Boult	Alshire. ASC 814.	1962	728899	https://imslp.org/images/2/2b/PMLP2581-02.03._Finale%2C_Allegro_molto.mp3	46
79	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729159	https://imslp.org/images/4/42/PMLP2581-03.01._Symphony_No._3_In_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_First_Movement_-_Allegro_Con_Brio.mp3	43
80	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729160	https://imslp.org/images/d/dc/PMLP2581-03.02._Symphony_No._3_In_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Second_Movement_-_Marcia_Funebre-_Adagio_Assai.mp3	44
81	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729161	https://imslp.org/images/5/53/PMLP2581-04.01._Symphony_No._3_In_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Third_Movement_-_Scherzo-_Allegro_Vivace%3B_Trio.mp3	45
82	Royal Philharmonic Orchestra, René Leibowitz	Reader's Digest. RDA-6 (1-7).	1961	729162	https://imslp.org/images/5/57/PMLP2581-04.02._Symphony_No._3_In_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Fourth_Movement_-_Allegro_Molto%3B_Poco_Andante%3B_Presto.mp3	46
83	Philadelphia Orchestra, Eugene Ormandy	Columbia Masterworks. MS 6266.	1961	728920	https://imslp.org/images/6/61/PMLP2581-01.01._Symphony_No._3%2C_in_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Allegro_Con_Brio.mp3	43
84	Philadelphia Orchestra, Eugene Ormandy	Columbia Masterworks. MS 6266.	1961	728921	https://imslp.org/images/a/a8/PMLP2581-01.02._Symphony_No._3%2C_in_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Marcia_Funebre-_Adagio_Assai_%28Beginning%29.mp3	44
85	Philadelphia Orchestra, Eugene Ormandy	Columbia Masterworks. MS 6266.	1961	728922	https://imslp.org/images/e/ee/PMLP2581-02.01._Symphony_No._3%2C_in_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Marcia_Funebre-_Adagio_Assai_%28Conclusion%29_.mp3	44
86	Philadelphia Orchestra, Eugene Ormandy	Columbia Masterworks. MS 6266.	1961	728923	https://imslp.org/images/9/99/PMLP2581-02.02._Symphony_No._3%2C_in_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Scherzo-_Allegro_Vivace.mp3	45
87	Philadelphia Orchestra, Eugene Ormandy	Columbia Masterworks. MS 6266.	1961	728924	https://imslp.org/images/6/6e/PMLP2581-02.03._Symphony_No._3%2C_in_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Finale-_Allegro_Molto.mp3	46
88	Philharmonia Orchestra, Otto Klemperer	Angel Records.	1961	736745	https://imslp.org/images/0/07/PMLP2581-01.01._First_Movement-_Allegro_Con_Brio.mp3	43
89	Philharmonia Orchestra, Otto Klemperer	Angel Records.	1961	736746	https://imslp.org/images/f/f7/PMLP2581-01.02._Second_Movement%2C_Part_1-_Marcia_Funebre-_Adagio_Assai.mp3	44
90	Philharmonia Orchestra, Otto Klemperer	Angel Records.	1961	736747	https://imslp.org/images/0/07/PMLP2581-02.01._Second_Movementm_Conclusion-_Marcia_Funebre-_Adagio_Assai.mp3	44
91	Philharmonia Orchestra, Otto Klemperer	Angel Records.	1961	736748	https://imslp.org/images/2/2d/PMLP2581-02.02._Third_Movement-_Scherzo-_Allegro_Vivace%3B_Trio.mp3	45
92	Philharmonia Orchestra, Otto Klemperer	Angel Records.	1961	736749	https://imslp.org/images/f/fa/PMLP2581-02.03._Fourth_Movement-_Allegro_Molto_-_Poco_Andante_-_Presto.mp3	56
93	Orchestre de la Suisse Romande, Ernest Ansermet	London Records. STS 15069.	1958	728955	https://imslp.org/images/c/ca/PMLP2581-Suisse_Romande_-_1958_-_01.01._Allegro_Con_Brio.mp3	43
94	Orchestre de la Suisse Romande, Ernest Ansermet	London Records. STS 15069.	1958	728930	https://imslp.org/images/3/39/PMLP2581-01.02._Marcia_Funebre_-_Adagio.mp3	44
95	Orchestre de la Suisse Romande, Ernest Ansermet	London Records. STS 15069.	1958	728931	https://imslp.org/images/6/6a/PMLP2581-02.01._Scherzo-_Allegro_Vivace.mp3	45
96	Orchestre de la Suisse Romande, Ernest Ansermet	London Records. STS 15069.	1958	728932	https://imslp.org/images/1/13/PMLP2581-02.02._Finale-_Allegro_Molto.mp3	46
97	Boston Symphony Orchestra, Charles Munch	RCA Victrola. VICS 1626.	1958	728954	https://imslp.org/images/0/04/PMLP2581-Boston_-_1958_-_01.01._Allegro_Con_Brio.mp3	43
98	Boston Symphony Orchestra, Charles Munch	RCA Victrola. VICS 1626.	1958	728938	https://imslp.org/images/7/74/PMLP2581-01.02._Marcia_Funebre_-_Adagio_Assai_%28Part_1%29.mp3	44
99	Boston Symphony Orchestra, Charles Munch	RCA Victrola. VICS 1626.	1958	728939	https://imslp.org/images/7/7e/PMLP2581-02.01._Marcia_Funebre_-_Adagio_Assai_%28Part_2%29.mp3	44
100	Boston Symphony Orchestra, Charles Munch	RCA Victrola. VICS 1626.	1958	728940	https://imslp.org/images/5/5a/PMLP2581-02.02._Scherzo._Allegro_Vivace.mp3	45
101	Boston Symphony Orchestra, Charles Munch	RCA Victrola. VICS 1626.	1958	728941	https://imslp.org/images/1/11/PMLP2581-02.03._Finale._Allegro_Molto.mp3	46
102	Symphony of the Air, Igor Markevitch	Decca. DL 9912.	1957	728933	https://imslp.org/images/0/03/PMLP2581-01.01._1st_Movement-_Allegro_con_brio.mp3	43
103	Symphony of the Air, Igor Markevitch	Decca. DL 9912.	1957	728934	https://imslp.org/images/9/9f/PMLP2581-01.02._2nd_Movement-_Marcia_funebre-_Adagio_assai.mp3	44
104	Symphony of the Air, Igor Markevitch	Decca. DL 9912.	1957	728935	https://imslp.org/images/b/b3/PMLP2581-02.01._3rd_Movement-_Scherzo-_Allegro_vivace.mp3	45
105	Symphony of the Air, Igor Markevitch	Decca. DL 9912.	1957	728936	https://imslp.org/images/c/c1/PMLP2581-02.02._4th_Movement-_Finale-_Allegro_molto.mp3	46
106	Berliner Philharmoniker, Eugen Jochum	Decca. DL 9865.	1955	728925	https://imslp.org/images/9/91/PMLP2581-01.01._1st_Movement-_Allegro_Con_Brio.mp3	43
107	Berliner Philharmoniker, Eugen Jochum	Decca. DL 9865.	1955	728926	https://imslp.org/images/f/f3/PMLP2581-01.02._2nd_Movement-_Marcia_Funebre_%28Adagio_Assai%29.mp3	44
108	Berliner Philharmoniker, Eugen Jochum	Decca. DL 9865.	1955	728927	https://imslp.org/images/b/b4/PMLP2581-02.01._3rd_Movement-_Scherzo_%28Allegro_Vivace%29.mp3	45
109	Berliner Philharmoniker, Eugen Jochum	Decca. DL 9865.	1955	728928	https://imslp.org/images/c/cf/PMLP2581-02.02._4th_Movement-_Finale_%28Allegro_Molto%29.mp3	46
110	Pittsburgh Symphony Orchestra, William Steinberg	Capitol Records. P 8334.	1955	728905	https://imslp.org/images/f/fa/PMLP2581-01.01._First_Movement_-_Allegro_Con_Brio.mp3	43
111	Pittsburgh Symphony Orchestra, William Steinberg	Capitol Records. P 8334.	1955	728906	https://imslp.org/images/5/52/PMLP2581-01.02._Second_Movement_-_Marcia_Fun%C3%A8bre-_Adagio_Assai.mp3	44
112	Pittsburgh Symphony Orchestra, William Steinberg	Capitol Records. P 8334.	1955	728907	https://imslp.org/images/7/7b/PMLP2581-02.01._Third_Movement_-_Scherzo-_Allegro_Vivace.mp3	45
113	Pittsburgh Symphony Orchestra, William Steinberg	Capitol Records. P 8334.	1955	728908	https://imslp.org/images/9/9a/PMLP2581-02.02._Fourth_Movement_-_Finale-_Allegro_Motto.mp3	46
114	New York Philharmonic, Bruno Walter	Columbia Masterworks. ML 4228.	1949	728909	https://imslp.org/images/7/70/PMLP2581-01.01._Symphony_No._3_In_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Band_No._1-_First_Movement-_Allegro_Con_Brio.mp3	43
115	New York Philharmonic, Bruno Walter	Columbia Masterworks. ML 4228.	1949	728910	https://imslp.org/images/b/bd/PMLP2581-01.02._Symphony_No._3_In_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Band_No._2-_Second_Movement-_Marche_Funebre_%28Adagio_Assai%29.mp3	44
116	New York Philharmonic, Bruno Walter	Columbia Masterworks. ML 4228.	1949	728911	https://imslp.org/images/3/3d/PMLP2581-02.01._Symphony_No._3_In_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Band_No._1-_Third_Movement-_Scherzo_%28Allegro_Vivace%29.mp3	45
117	New York Philharmonic, Bruno Walter	Columbia Masterworks. ML 4228.	1949	728912	https://imslp.org/images/1/12/PMLP2581-02.02._Symphony_No._3_In_E-Flat_Major%2C_Op._55_%28%22Eroica%22%29-_Band_No._2-_Fourth_Movement-_Finale_%28Allegro_Molto%29.mp3	46
118	Boston Symphony Orchestra, Serge Koussevitzky	RCA Victor Red Seal. DM 1161.	1947	728942	https://imslp.org/images/1/1b/PMLP2581-01.I.AllegroConBrio.mp3	43
119	Boston Symphony Orchestra, Serge Koussevitzky	RCA Victor Red Seal. DM 1161.	1947	728943	https://imslp.org/images/a/a2/PMLP2581-02.Ii.MarciaFunebre-AdagioAssai.mp3	44
120	Boston Symphony Orchestra, Serge Koussevitzky	RCA Victor Red Seal. DM 1161.	1947	728944	https://imslp.org/images/c/cd/PMLP2581-03.Iii.Scherzo-AllegroVivaceTrio.mp3	45
