score_qstamp,qstamp,measure,beat,736441_tstamp,729167_tstamp,711707_tstamp,723421_tstamp,RNS_tstamp
50.625,50.625,18,3.5,91.6414,82.3614,84.2014,86.5814,93.6014
50.7917,50.7917,18,3.6667,91.8796,82.5996,84.4396,86.8196,93.8396
50.9583,50.9583,18,3.8333,92.1176,82.8376,84.6776,87.0576,94.0776
51.125,51.125,19,1.0,92.3714,83.0757,84.9157,87.2957,94.3314
51.2917,51.2917,19,1.1667,92.6539,83.3339,85.3139,87.6139,94.7339
51.4583,51.4583,19,1.3333,92.8919,83.6319,85.5519,87.8519,94.9919
51.625,51.625,19,1.5,93.13,83.96,85.8,88.09,95.23
51.75,51.75,19,1.625,93.3086,84.2286,85.9886,88.3286,95.4086
51.7917,51.7917,19,1.6667,93.3681,84.2881,86.0481,88.3881,95.4762
51.8125,51.8125,19,1.6875,93.3979,84.3179,86.0779,88.4179,95.5179
51.875,51.875,19,1.75,93.4871,84.4071,86.1671,88.5071,95.6071
51.9375,51.9375,19,1.8125,93.5764,84.4964,86.2564,88.5964,95.6964
51.9583,51.9583,19,1.8333,93.6061,84.5261,86.2861,88.6261,95.7261
52.0,52.0,19,1.875,93.6657,84.5857,86.3657,88.6857,95.7857
52.0625,52.0625,19,1.9375,93.755,84.675,86.455,88.775,95.875
52.125,52.125,19,2.0,93.8443,84.7643,86.5443,88.8686,95.9643
52.2917,52.2917,19,2.1667,94.0824,85.0024,86.8224,89.1424,96.3424
52.4583,52.4583,19,2.3333,94.3204,85.2404,87.0604,89.4004,96.6004
52.625,52.625,19,2.5,94.5586,85.4786,87.3186,89.6386,96.8386
52.75,52.75,19,2.625,94.7371,85.6571,87.5171,89.8171,97.0171
52.7917,52.7917,19,2.6667,94.7967,85.7167,87.5767,89.8767,97.0767
52.8125,52.8125,19,2.6875,94.8264,85.7464,87.6064,89.9064,97.1064
52.875,52.875,19,2.75,94.9157,85.8357,87.6957,89.9957,97.1957
52.9375,52.9375,19,2.8125,95.005,85.925,87.785,90.085,97.285
52.9583,52.9583,19,2.8333,95.0347,85.9547,87.8294,90.1735,97.3147
53.0,53.0,19,2.875,95.0943,86.0143,87.9343,90.2543,97.3886
53.0625,53.0625,19,2.9375,95.1836,86.1036,88.0236,90.3436,97.4836
53.125,53.125,19,3.0,95.2729,86.1929,88.1129,90.4329,97.5729
53.2917,53.2917,19,3.1667,95.511,86.431,88.351,90.671,97.811
53.4583,53.4583,19,3.3333,95.749,86.669,88.589,90.909,98.049
53.625,53.625,19,3.5,95.9871,86.9071,88.8271,91.1471,98.2871
53.7917,53.7917,19,3.6667,96.2253,87.1453,89.0653,91.3853,98.5253
53.9583,53.9583,19,3.8333,96.4633,87.4033,89.3033,91.6233,98.7633
54.125,54.125,20,1.0,96.7042,87.6442,89.547,91.8842,99.0014
54.2917,54.2917,20,1.1667,96.9796,87.9196,89.9196,92.1596,99.2796
54.4583,54.4583,20,1.3333,97.2176,88.2176,90.1928,92.3976,99.5176
54.625,54.625,20,1.5,97.4557,88.4557,90.4357,92.6357,99.7557
54.75,54.75,20,1.625,97.6343,88.6343,90.6143,92.8286,99.9343
54.7917,54.7917,20,1.6667,97.6939,88.6939,90.6739,92.8939,99.9939
54.8125,54.8125,20,1.6875,97.7272,88.7236,90.7036,92.9236,100.0416
54.875,54.875,20,1.75,97.8329,88.8129,90.7929,93.0258,100.2329
54.9375,54.9375,20,1.8125,97.9221,88.9021,90.8821,93.1221,100.3221
54.9583,54.9583,20,1.8333,97.9519,88.9319,90.9119,93.1519,100.3519
55.0,55.0,20,1.875,98.0114,88.9914,90.9714,93.2114,100.4114
55.0625,55.0625,20,1.9375,98.1007,89.0807,91.0607,93.3007,100.5007
55.125,55.125,20,2.0,98.19,89.17,91.15,93.39,100.59
55.2917,55.2917,20,2.1667,98.4681,89.4681,91.4881,93.781,100.8481
55.4583,55.4583,20,2.3333,98.7061,89.7061,91.7261,94.1261,101.0861
55.625,55.625,20,2.5,98.9443,89.9443,91.9643,94.3643,101.3443
55.75,55.75,20,2.625,99.1229,90.1229,92.1429,94.5429,101.5629
55.7917,55.7917,20,2.6667,99.1824,90.1824,92.2024,94.6024,101.6224
55.8125,55.8125,20,2.6875,99.2121,90.2121,92.2321,94.6321,101.6521
55.875,55.875,20,2.75,99.3014,90.3014,92.3214,94.7214,101.7414
55.9375,55.9375,20,2.8125,99.3907,90.3907,92.4107,94.8107,101.8507
55.9583,55.9583,20,2.8333,99.4204,90.4204,92.4404,94.8404,102.0004
56.0,56.0,20,2.875,99.48,90.48,92.5,94.9,102.06
56.0625,56.0625,20,2.9375,99.5693,90.5693,92.5893,94.9893,102.1493
56.125,56.125,20,3.0,99.6586,90.6586,92.6786,95.0786,102.2386
56.2917,56.2917,20,3.1667,99.8167,90.8967,92.9167,95.3167,102.4767
56.4583,56.4583,20,3.3333,100.0547,91.1347,93.1547,95.5547,102.7147
56.625,56.625,20,3.5,100.2929,91.3729,93.3929,95.7929,102.9529
56.7917,56.7917,20,3.6667,100.531,91.611,93.591,96.031,103.191
56.9583,56.9583,20,3.8333,100.769,91.869,93.829,96.269,103.429
57.125,57.125,21,1.0,101.0071,92.1071,94.0742,96.5071,103.7071
57.2917,57.2917,21,1.1667,101.2453,92.4853,94.4453,96.7453,104.0053
57.4583,57.4583,21,1.3333,101.4833,92.7233,94.7833,96.9833,104.2433
57.625,57.625,21,1.5,101.7214,92.9614,95.0214,97.2214,104.4814
57.75,57.75,21,1.625,101.94,93.14,95.2,97.42,104.66
57.7917,57.7917,21,1.6667,101.9996,93.1996,95.2596,97.4796,104.7196
57.8125,57.8125,21,1.6875,102.0293,93.2293,95.2893,97.5093,104.7493
57.875,57.875,21,1.75,102.1186,93.3186,95.3786,97.5986,104.9186
57.9375,57.9375,21,1.8125,102.2079,93.4079,95.4679,97.6879,105.0079
57.9583,57.9583,21,1.8333,102.2376,93.4376,95.4976,97.7176,105.0376
58.0,58.0,21,1.875,102.2971,93.4971,95.5571,97.7771,105.0971
58.0625,58.0625,21,1.9375,102.3864,93.5864,95.6464,97.8664,105.1864
58.125,58.125,21,2.0,102.4757,93.6757,95.7357,97.9557,105.2757
58.2917,58.2917,21,2.1667,102.7139,93.9139,95.9739,98.1939,105.5139
58.4583,58.4583,21,2.3333,102.9519,94.1519,96.2119,98.4319,105.8519
58.625,58.625,21,2.5,103.19,94.39,96.45,98.67,106.09
58.75,58.75,21,2.625,103.3686,94.5686,96.6686,98.9886,106.2686
58.7917,58.7917,21,2.6667,103.4281,94.6281,96.7281,99.0481,106.3281
58.8125,58.8125,21,2.6875,103.4579,94.6579,96.7579,99.0779,106.3579
58.875,58.875,21,2.75,103.5471,94.7471,96.8471,99.1671,106.4471
58.9375,58.9375,21,2.8125,103.5988,94.8364,96.9364,99.2564,106.5364
58.9583,58.9583,21,2.8333,103.6261,94.8661,96.9661,99.2861,106.5661
59.0,59.0,21,2.875,103.6857,94.9257,97.0257,99.3457,106.6257
59.0625,59.0625,21,2.9375,103.7383,95.015,97.115,99.435,106.715
59.125,59.125,21,3.0,103.8243,95.1043,97.2043,99.5443,106.8043
59.2917,59.2917,21,3.1667,104.0624,95.3424,97.4424,99.7824,107.0424
59.4583,59.4583,21,3.3333,104.3004,95.5804,97.7004,100.0204,107.2804
59.625,59.625,21,3.5,104.5386,95.8186,97.9386,100.2586,107.5186
59.7917,59.7917,21,3.6667,104.7767,96.0567,98.1767,100.4967,107.7567
59.9583,59.9583,21,3.8333,104.9874,96.2947,98.4147,100.7347,107.9747
60.125,60.125,22,1.0,105.2129,96.5329,98.6529,100.9729,108.2129
60.2917,60.2917,22,1.1667,105.451,96.851,98.971,101.391,108.451
60.4583,60.4583,22,1.3333,105.689,97.089,99.209,101.629,108.847
60.625,60.625,22,1.5,105.9271,97.3697,99.4755,101.8871,109.2484
60.75,60.75,22,1.625,106.1057,97.6257,99.7657,102.0857,109.4657
60.7917,60.7917,22,1.6667,106.1653,97.6853,99.8253,102.1453,109.5253
60.8125,60.8125,22,1.6875,106.195,97.715,99.855,102.175,109.555
60.875,60.875,22,1.75,106.2843,97.8043,99.9443,102.2643,109.6443
60.9375,60.9375,22,1.8125,106.3736,97.8936,100.0336,102.3536,109.7336
60.9583,60.9583,22,1.8333,106.4033,97.9233,100.0633,102.3833,109.7633
61.0,61.0,22,1.875,106.4629,97.9829,100.1229,102.4429,109.8229
61.0625,61.0625,22,1.9375,106.5521,98.0721,100.2121,102.5321,109.9121
61.125,61.125,22,2.0,106.6414,98.1614,100.3014,102.6298,110.0014
61.2917,61.2917,22,2.1667,106.8796,98.3996,100.5396,102.9796,110.2796
61.4583,61.4583,22,2.3333,107.1176,98.6376,100.7776,103.2176,110.5176
61.625,61.625,22,2.5,107.3557,98.8678,101.0157,103.4557,110.7557
61.75,61.75,22,2.625,107.5343,99.0143,101.1943,103.6343,110.9343
61.7917,61.7917,22,2.6667,107.5939,99.0739,101.2539,103.6939,110.9939
61.8125,61.8125,22,2.6875,107.6236,99.1036,101.2836,103.7236,111.0236
61.875,61.875,22,2.75,107.6929,99.1929,101.3729,103.8129,111.1129
61.9375,61.9375,22,2.8125,107.7821,99.2821,101.4621,103.9021,111.2021
61.9583,61.9583,22,2.8333,107.8119,99.3119,101.4919,103.9319,111.2319
62.0,62.0,22,2.875,107.8714,99.3714,101.5514,103.9914,111.2914
62.0625,62.0625,22,2.9375,107.9607,99.4607,101.6407,104.0807,111.3807
62.125,62.125,22,3.0,108.05,99.55,101.75,104.17,111.47
62.2917,62.2917,22,3.1667,108.2881,99.7881,102.0162,104.4681,111.7843
62.4583,62.4583,22,3.3333,108.5261,100.0661,102.2661,104.7322,112.0861
62.625,62.625,22,3.5,108.7643,100.3243,102.5443,104.9843,112.3243
62.7917,62.7917,22,3.6667,109.0024,100.5624,102.7824,105.2224,112.5624
62.9583,62.9583,22,3.8333,109.2404,100.8004,103.0204,105.4808,112.8004
63.125,63.125,23,1.0,109.4786,101.0386,103.2586,105.7386,113.0386
63.2917,63.2917,23,1.1667,109.7167,101.2767,103.4967,105.9767,113.3167
63.4583,63.4583,23,1.3333,109.9547,101.5347,103.7347,106.2147,113.5547
63.625,63.625,23,1.5,110.1929,101.7729,103.9929,106.4729,113.7929
63.75,63.75,23,1.625,110.3714,101.9514,104.2628,106.7714,114.1514
63.7917,63.7917,23,1.6667,110.431,102.011,104.331,106.831,114.211
63.8125,63.8125,23,1.6875,110.4607,102.0407,104.3607,106.8607,114.2407
63.875,63.875,23,1.75,110.55,102.13,104.45,106.95,114.33
63.9375,63.9375,23,1.8125,110.6393,102.2193,104.5393,107.0393,114.4193
63.9583,63.9583,23,1.8333,110.669,102.249,104.569,107.069,114.449
64.0,64.0,23,1.875,110.7286,102.3086,104.6286,107.1286,114.5086
64.0625,64.0625,23,1.9375,110.8179,102.3979,104.7179,107.2179,114.5979
64.125,64.125,23,2.0,110.9071,102.4871,104.8071,107.3071,114.6871
64.2917,64.2917,23,2.1667,111.1453,102.7453,105.0453,107.5453,114.9253
64.4583,64.4583,23,2.3333,111.3833,102.9833,105.2833,107.7833,115.1633
64.625,64.625,23,2.5,111.6214,103.2414,105.527,108.0214,115.4014
64.75,64.75,23,2.625,111.8,103.42,105.78,108.2,115.58
64.7917,64.7917,23,2.6667,111.8596,103.4796,105.8396,108.2596,115.6396
64.8125,64.8125,23,2.6875,111.8893,103.5093,105.8693,108.2893,115.6693
64.875,64.875,23,2.75,111.9786,103.5986,105.9586,108.3786,115.7586
64.9375,64.9375,23,2.8125,112.0679,103.6879,106.0479,108.4679,115.8479
64.9583,64.9583,23,2.8333,112.0976,103.7176,106.0776,108.4976,115.8776
65.0,65.0,23,2.875,112.1386,103.7771,106.1371,108.5571,115.9371
65.0625,65.0625,23,2.9375,112.2264,103.8728,106.2264,108.6464,116.0264
65.125,65.125,23,3.0,112.3157,103.9757,106.3157,108.7357,116.1157
65.2917,65.2917,23,3.1667,112.5739,104.2739,106.5539,109.0339,116.4539
65.4583,65.4583,23,3.3333,112.8119,104.5119,106.7919,109.2719,116.6919
65.625,65.625,23,3.5,113.05,104.75,107.03,109.53,116.97
65.6875,65.6875,23,3.5625,113.2379,104.8393,107.1393,109.6593,117.0593
65.75,65.75,23,3.625,113.3286,104.9286,107.2286,109.7486,117.1486
65.7917,65.7917,23,3.6667,113.3881,104.9881,107.2881,109.8081,117.2081
65.8125,65.8125,23,3.6875,113.4179,105.0179,107.3179,109.8379,117.2379
65.875,65.875,23,3.75,113.5071,105.1071,107.4071,109.9271,117.3271
65.9375,65.9375,23,3.8125,113.5964,105.1964,107.4964,110.0164,117.4164
65.9583,65.9583,23,3.8333,113.6322,105.2261,107.5261,110.0461,117.4461
66.0,66.0,23,3.875,113.7057,105.2857,107.5857,110.1057,117.5057
66.0625,66.0625,23,3.9375,113.795,105.375,107.715,110.195,117.61
66.125,66.125,24,1.0,113.8843,105.5215,107.8486,110.2886,117.8443
67.0,67.0,24,1.875,115.2143,106.8543,109.2343,111.7343,119.4143
67.125,67.125,24,2.0,115.4187,107.0458,109.4387,111.9903,119.6258
68.0,68.0,24,2.875,116.8229,108.3629,110.7829,113.3229,121.2229
68.125,68.125,24,3.0,116.9842,108.5414,110.9614,113.5014,121.5028
68.625,68.625,24,3.5,117.7557,109.3357,111.6957,114.2157,122.2557
