measure_number,time,is_first_in_measure
56,328.7271,True
57,330.0071,True
58,331.3471,True
59,332.6671,True
60,333.9471,True
61,335.2471,True
62,336.5071,True
63,337.8084,True
64,339.1013,True
65,340.3542,True
66,341.6342,True
67,342.9271,True
68,344.2271,True
69,345.5871,True
70,346.8871,True
71,348.2671,True
72,349.6471,True
73,350.9542,True
74,352.4071,True
75,353.6555,True
76,354.8742,True
77,356.0942,True
78,357.4884,True
79,358.7871,True
80,360.0071,True
81,361.3071,True
82,362.6671,True
83,363.9271,True
84,365.2471,True
85,366.5071,True
86,367.8813,True
87,369.1213,True
88,370.4071,True
89,371.7271,True
90,373.0271,True
91,374.3271,True
92,375.6684,True
93,376.9671,True
94,378.3271,True
95,379.6142,True
96,380.9671,True
97,382.3271,True
98,383.7626,True
99,385.0271,True
100,386.3342,True
101,387.7071,True
102,389.0613,True
104,391.8871,True
105,393.1071,True
106,394.3671,True
107,395.6271,True
108,396.9342,True
109,398.2813,True
110,399.6942,True
111,401.0271,True
112,402.4271,True
113,403.7871,True
114,405.1271,True
115,406.4271,True
116,407.6671,True
117,409.0271,True
118,410.2471,True
119,411.6071,True
120,412.8671,True
121,414.1671,True
122,415.5671,True
123,416.8671,True
124,418.2271,True
125,419.5071,True
126,420.7871,True
127,422.1071,True
128,423.4071,True
129,424.5871,True
130,425.9271,True
131,427.2671,True
132,428.5613,True
136,429.9471,True
137,431.1671,True
138,432.4826,True
139,433.8271,True
140,435.2071,True
141,436.4071,True
142,437.7471,True
143,438.9671,True
144,440.2471,True
145,441.5271,True
146,442.7742,True
147,444.0271,True
148,445.2613,True
149,446.6884,True
150,447.9671,True
151,449.2471,True
152,450.5142,True
153,451.7471,True
154,453.0471,True
155,454.3071,True
156,455.6071,True
157,456.8742,True
158,458.1471,True
159,459.4671,True
160,460.7942,True
161,462.0542,True
162,463.3071,True
163,464.5942,True
164,465.9813,True
165,467.2284,True
166,468.5871,True
167,469.8142,True
168,471.1671,True
169,472.4813,True
170,473.7742,True
171,475.0871,True
172,476.3955,True
173,477.7671,True
174,479.0671,True
175,480.3671,True
176,481.6542,True
177,483.0471,True
178,484.3471,True
179,485.6342,True
180,486.9271,True
181,488.2071,True
182,489.8271,True
183,491.0071,True
184,492.2471,True
185,493.5271,True
186,494.9084,True
187,496.1942,True
188,497.4671,True
189,498.7071,True
190,500.0671,True
191,501.2871,True
192,502.5671,True
193,503.8071,True
194,505.0871,True
195,506.3471,True
196,507.6542,True
197,508.9013,True
198,510.1942,True
199,511.4213,True
200,512.7671,True
201,514.0742,True
202,515.3871,True
203,516.6871,True
204,517.9471,True
205,519.2271,True
206,520.5471,True
207,521.8271,True
208,523.1342,True
209,524.3742,True
210,525.6671,True
211,526.9471,True
212,528.1871,True
213,529.4413,True
214,530.7071,True
215,531.9471,True
216,533.1671,True
217,534.7271,True
218,535.9342,True
219,537.2871,True
220,538.6671,True
221,539.8671,True
222,541.1071,True
223,542.3542,True
224,543.6871,True
225,544.9071,True
226,546.1271,True
227,547.3271,True
228,548.6226,True
229,549.8871,True
230,551.1142,True
231,552.4071,True
232,553.7271,True
233,555.0271,True
234,556.4168,True
235,557.7071,True
236,558.9671,True
237,560.2026,True
238,561.5071,True
239,562.7342,True
240,563.9871,True
241,565.2471,True
242,566.5742,True
243,567.7871,True
244,569.1142,True
245,570.3871,True
246,571.7271,True
247,572.9871,True
248,574.3071,True
249,575.7471,True
250,576.9413,True
251,578.2271,True
252,579.4871,True
253,580.8271,True
254,582.1871,True
255,583.3871,True
256,584.7013,True
257,586.0413,True
258,587.2942,True
259,588.5613,True
260,589.7871,True
261,591.1671,True
262,592.4671,True
263,593.6671,True
264,595.0271,True
265,596.2871,True
266,597.7671,True
267,598.9471,True
268,600.1671,True
269,601.4671,True
270,602.7671,True
271,604.0742,True
272,605.3471,True
273,606.7471,True
274,608.0671,True
275,609.4271,True
276,610.7626,True
277,612.2071,True
279,614.8671,True
280,616.2071,True
281,617.4071,True
282,618.7671,True
283,620.0671,True
284,621.3671,True
285,622.7071,True
286,623.9671,True
287,625.3071,True
288,626.6871,True
289,627.9871,True
290,629.2871,True
291,630.5471,True
292,631.9071,True
293,633.1671,True
294,634.4071,True
295,635.7271,True
296,637.0071,True
297,638.4271,True
298,639.7071,True
299,641.0471,True
300,642.3436,True
301,643.6071,True
302,644.9271,True
303,646.1471,True
304,647.4871,True
305,648.7671,True
306,650.1671,True
307,651.3813,True
308,652.8271,True
309,654.0071,True
310,655.2871,True
311,656.6471,True
312,658.0271,True
313,659.2542,True
314,660.5871,True
315,661.9871,True
316,663.2671,True
317,664.5342,True
318,665.8671,True
319,667.1542,True
320,668.4471,True
321,669.7742,True
322,671.0871,True
323,672.5471,True
324,673.7471,True
325,674.9942,True
326,676.3071,True
327,677.5871,True
328,678.9671,True
329,680.3071,True
330,681.5484,True
331,683.0071,True
332,684.2071,True
333,685.5271,True
334,686.7742,True
335,688.1684,True
336,689.4071,True
337,690.8071,True
338,692.0071,True
339,693.3071,True
340,694.6671,True
341,695.9871,True
342,697.3471,True
343,698.5471,True
344,699.8342,True
345,701.0684,True
346,702.3271,True
347,703.6271,True
348,704.8671,True
349,706.1271,True
350,707.3671,True
351,708.6271,True
352,709.8613,True
353,711.1471,True
354,712.3871,True
355,713.6871,True
356,714.9671,True
357,716.2271,True
358,717.4871,True
359,718.7671,True
360,720.0426,True
361,721.2871,True
362,722.6013,True
363,723.9071,True
364,725.4471,True
