qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Horn 3,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
398.0,404.0,P5(Oboe 1)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),,P5(Flute 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),,P3(Flute 1)&P3(Oboe 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Eb Horn 1)&P8(Eb Horn 2),P5(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet 1)&P8(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),P5(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2),,P3(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&U(Eb Horn 2),P3(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&U(Eb Horn 1),,,,,Main Part,P3(Main),P3(Violoncello),P3(Viola),
404.0,410.0,P5(Bassoon 1),,P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2),,P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P8(Oboe 1)&P3(Bb Clarinet 1)&P3(Eb Horn 1)&P3(Eb Horn 2),P5(Flute 1),,P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Eb Horn 2),P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Eb Horn 1),,,,,Main Part,P3(Main)&P4(Viola)&P6(Violoncello),P2(Main)&P4(Violin 2)&P3(Violoncello),P4(Main)&P6(Violin 2)&P3(Viola),
410.0,416.0,P5(Main)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),,Main Part,,P3(Flute 1)&P3(Main)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Eb Horn 1)&P8(Eb Horn 2),P5(Flute 1)&P8(Main)&P3(Bb Clarinet 1)&P8(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),P5(Flute 1)&P8(Main)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2),,P3(Flute 1)&P3(Main)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&U(Eb Horn 2),P3(Flute 1)&P3(Main)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&U(Eb Horn 1),,,,,P3(Violin 2),P3(Violin 1),P3(Violoncello),P3(Viola),
416.0,422.0,,P8(Oboe 2)&P5(Bassoon 2)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),Main Part,P8(Flute 2)&P5(Bassoon 2)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),,P8(Main)&P3(Eb Horn 1)&P3(Eb Horn 2),,P5(Flute 2)&P5(Oboe 2)&P3(Violin 1)&P5(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P3(Main)&P3(Bb Clarinet 2)&P8(Eb Horn 2),P3(Main)&P3(Bb Clarinet 2)&P8(Eb Horn 1),,,,,P3(Flute 2)&P3(Oboe 2)&P3(Bassoon 2)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 2)&P8(Oboe 2)&P5(Bassoon 2)&P3(Violin 1)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P5(Flute 2)&P5(Oboe 2)&U(Bassoon 2)&P3(Violin 1)&P5(Violin 2)&U(Violoncello)&P8(Contrabass),P5(Flute 2)&P5(Oboe 2)&U(Bassoon 2)&P3(Violin 1)&P5(Violin 2)&U(Viola)&P8(Contrabass),P5(Flute 2)&P5(Oboe 2)&P8(Bassoon 2)&P3(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Violoncello)
422.0,427.0,Main Part,P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Violin 2)&P5(Violoncello)&P5(Contrabass),P3(Main)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Violin 1)&P8(Viola),P8(Flute 2)&U(Bb Clarinet 1)&P8(Violin 2)&P5(Violoncello)&P5(Contrabass),P8(Flute 2)&U(Oboe 2)&P8(Violin 2)&P5(Violoncello)&P5(Contrabass),P3(Main)&P8(Oboe 1)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Violin 1)&P8(Viola),,,P8(Main)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 2)&P8(Violin 1)&P3(Viola),P8(Main)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Violin 1)&P3(Viola),,,,,P8(Main)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P3(Viola),P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P5(Violoncello)&P5(Contrabass),P3(Main)&P8(Oboe 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Violin 1),P5(Flute 2)&P5(Oboe 2)&P5(Bb Clarinet 1)&P5(Violin 2)&P8(Contrabass),P5(Flute 2)&P5(Oboe 2)&P5(Bb Clarinet 1)&P5(Violin 2)&P8(Violoncello)
427.0,451.0,Main Part,P5(Main)&P3(Oboe 1)&P3(Bb Clarinet 2)&P5(Eb Horn 1)&P5(Eb Horn 2)&P5(Violoncello)&P5(Contrabass),P3(Main)&P3(Flute 2)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Violoncello)&P3(Contrabass),P3(Oboe 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 2),P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 2),P3(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Violoncello)&P3(Contrabass),,P8(Viola),P8(Main)&P5(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P5(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&U(Violoncello)&P8(Contrabass),,P8(Bb Trumpet 2)&P5(Timpani),P8(Bb Trumpet 1)&P5(Timpani),P5(Bb Trumpet 1)&P5(Bb Trumpet 2),,,P8(Bassoon 2),P8(Main)&P5(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&U(Eb Horn 2)&P8(Contrabass),P8(Main)&P5(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Violoncello)
451.0,473.0,,,Main Part,,,,,,P8(Eb Horn 2),P8(Eb Horn 1),,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
473.0,494.0,,,Main Part,,,,U(Bassoon 2),U(Bassoon 1),,,,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
494.0,499.0,,,,,,,,,,,,,,,Main Part,,,P8(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
499.0,528.0,,,,,,,,,,,,,,,Main Part,,,P8(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
528.0,551.0,,,Main Part,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
551.0,559.0,,,Main Part,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
559.0,562.0,Main Part,,P8(Main)&P8(Bassoon 1),,,,P8(Main)&P8(Oboe 1),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
562.0,568.0,Main Part,,P8(Main)&P8(Bassoon 1),,,,P8(Main)&P8(Oboe 1),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
568.0,574.0,P8(Oboe 1)&P8(Main),,P8(Flute 1)&P8(Main),,,,Main Part,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
574.0,590.0,,,,,,,Main Part,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
590.0,614.0,,,,,,,,,,,,,,,Main Part,P8(Main)&P8(Contrabass),,,P8(Main)&P8(Violin 2)
614.0,625.0,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
625.0,636.0,,,,,,,Main Part,,,,,,,,P3(Violin 2)&P5(Viola),P3(Violin 1)&P3(Viola),P5(Violin 1)&P3(Violin 2),P8(Contrabass),P8(Violoncello)
636.0,648.0,,,P5(Bb Clarinet 1)&P8(Main)&P5(Bassoon 2),,P5(Oboe 1)&P5(Main)&P8(Bassoon 2),,Main Part,P5(Oboe 1)&P8(Bb Clarinet 1)&P5(Main),,,,,,,,P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Violin 2)&P5(Violoncello)&P5(Contrabass),P3(Violin 2)&P5(Viola)&P8(Contrabass),P3(Violin 2)&P5(Viola)&P8(Violoncello)
648.0,682.0,,,P8(Main),,,,,,P8(Eb Horn 2),P8(Eb Horn 1),,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
682.0,697.0,P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Main)&P8(Violin 2),P8(Bb Clarinet 2),P8(Flute 1)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Main)&P8(Violin 2),P8(Flute 1)&U(Oboe 1)&P8(Bb Clarinet 1)&P8(Main)&P8(Violin 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Violin 2),P8(Flute 2),,P8(Viola)&P8(Violoncello)&P8(Contrabass),,P8(Eb Horn 3)&U(Timpani),P8(Eb Horn 2)&P8(Timpani),P8(Bb Trumpet 2),P8(Bb Trumpet 1),U(Eb Horn 2)&P8(Eb Horn 3),Main Part,P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Main),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
697.0,721.0,Main Part,U(Main),U(Oboe 2)&P8(Bb Clarinet 2),U(Oboe 1)&P8(Bb Clarinet 2),P8(Violin 1)&U(Violin 2),P8(Oboe 1)&P8(Oboe 2),,P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Eb Horn 2)&P8(Eb Horn 3),P8(Eb Horn 1)&P8(Eb Horn 3),P8(Eb Horn 1)&P8(Eb Horn 2),P8(Bb Trumpet 2),P8(Bb Trumpet 1),,P8(Bb Clarinet 1)&P8(Violin 2),U(Bb Clarinet 1)&P8(Violin 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
721.0,764.0,Main Part,,,,,,,,,,,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,P8(Violin 2),P8(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
764.0,775.0,,,,,,,,,,,,,,,Main Part,,P3(Main)&P8(Violoncello)&P8(Contrabass),P3(Main)&P8(Viola)&P8(Contrabass),P3(Main)&P8(Viola)&P8(Violoncello)
775.0,788.0,P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 2),,,,P8(Main),,,,,,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,Main Part,P8(Flute 2),P8(Flute 1)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Viola)&P8(Contrabass),P8(Flute 1)&P8(Viola)&P8(Violoncello)
788.0,794.0,Main Part,,,,,,,,,,,,,,P7(Violin 2)&P3(Viola)&P5(Violoncello),P7(Violin 1)&P5(Viola)&P3(Violoncello),P3(Violin 1)&P5(Violin 2)&P3(Violoncello),P5(Violin 1)&P3(Violin 2)&P3(Viola),
794.0,800.0,Main Part,,P2(Bb Clarinet 1)&P3(Bassoon 1)&P4(Bassoon 2),,P2(Oboe 1)&P4(Bassoon 1)&P3(Bassoon 2),,P3(Oboe 1)&P4(Bb Clarinet 1)&P6(Bassoon 2),P4(Oboe 1)&P3(Bb Clarinet 1)&P6(Bassoon 1),,,,,,,,P5(Viola),P5(Violin 2),,
800.0,806.0,,Main Part,,,,,P6(Bassoon 2),P6(Bassoon 1),,,,,,,P3(Violin 2)&P2(Viola)&P4(Violoncello),P3(Violin 1)&P4(Viola)&P6(Violoncello),P2(Violin 1)&P4(Violin 2)&P3(Violoncello),P4(Violin 1)&P6(Violin 2)&P3(Viola),
806.0,812.0,P5(Oboe 1)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),Main Part,P5(Flute 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),,P3(Flute 1)&P3(Oboe 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Eb Horn 1)&P8(Eb Horn 2),P5(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet 1)&P8(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),P5(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2),,P3(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&U(Eb Horn 2),P3(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&U(Eb Horn 1),,,,,P3(Violin 2),P3(Violin 1),P3(Violoncello),P3(Viola),
812.0,818.0,P5(Bassoon 1),,P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2),,P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P8(Oboe 1)&P3(Bb Clarinet 1)&P3(Eb Horn 1)&P3(Eb Horn 2),P5(Flute 1),,P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Eb Horn 2),P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Eb Horn 1),,,,,Main Part,P3(Main)&P4(Viola)&P6(Violoncello),P2(Main)&P4(Violin 2)&P3(Violoncello),P4(Main)&P6(Violin 2)&P3(Viola),
818.0,824.0,P5(Oboe 1)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),,P5(Flute 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),,P3(Flute 1)&P3(Oboe 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Eb Horn 1)&P8(Eb Horn 2),P5(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet 1)&P8(Bassoon 1)&P3(Eb Horn 1)&P3(Eb Horn 2),P5(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2),,P3(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&U(Eb Horn 2),P3(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&U(Eb Horn 1),,,,,Main Part,P3(Main),P3(Violoncello),P3(Viola),
824.0,830.0,,P8(Oboe 2)&P5(Bassoon 2)&P3(Main)&P8(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2),P8(Flute 2)&P5(Bassoon 2)&P3(Main)&P8(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),,P8(Oboe 1)&P3(Eb Horn 1)&P3(Eb Horn 2),,P5(Flute 2)&P5(Oboe 2)&P3(Main)&P5(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 2),P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1),,,,,Main Part,P8(Flute 2)&P8(Oboe 2)&P5(Bassoon 2)&P3(Main)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P5(Flute 2)&P5(Oboe 2)&U(Bassoon 2)&P3(Main)&P5(Violin 2)&U(Violoncello)&P8(Contrabass),P5(Flute 2)&P5(Oboe 2)&U(Bassoon 2)&P3(Main)&P5(Violin 2)&U(Viola)&P8(Contrabass),P5(Flute 2)&P5(Oboe 2)&P8(Bassoon 2)&P3(Main)&P5(Violin 2)&P8(Viola)&P8(Violoncello)
830.0,835.0,P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P3(Viola),P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Violin 2)&P5(Violoncello)&P5(Contrabass),P3(Flute 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Main)&P8(Viola),P8(Flute 2)&U(Bb Clarinet 1)&P8(Violin 2)&P5(Violoncello)&P5(Contrabass),P8(Flute 2)&U(Oboe 2)&P8(Violin 2)&P5(Violoncello)&P5(Contrabass),P3(Flute 1)&P8(Oboe 1)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Main)&P8(Viola),,,P8(Flute 1)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 2)&P8(Main)&P3(Viola),P8(Flute 1)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Main)&P3(Viola),,,,,Main Part,P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P5(Violoncello)&P5(Contrabass),P3(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Main),P5(Flute 2)&P5(Oboe 2)&P5(Bb Clarinet 1)&P5(Violin 2)&P8(Contrabass),P5(Flute 2)&P5(Oboe 2)&P5(Bb Clarinet 1)&P5(Violin 2)&P8(Violoncello)
835.0,859.0,Main Part,P5(Main)&P3(Oboe 1)&P3(Bb Clarinet 2)&P5(Eb Horn 1)&P5(Eb Horn 2)&P5(Violoncello)&P5(Contrabass),P3(Main)&P3(Flute 2)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Violoncello)&P3(Contrabass),P3(Oboe 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 2),P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 2),P3(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(Violoncello)&P3(Contrabass),,P8(Viola),P8(Main)&P5(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P5(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&U(Violoncello)&P8(Contrabass),,P8(Bb Trumpet 2)&P5(Timpani),P8(Bb Trumpet 1)&P5(Timpani),P5(Bb Trumpet 1)&P5(Bb Trumpet 2),,,P8(Bassoon 2),P8(Main)&P5(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&U(Eb Horn 2)&P8(Contrabass),P8(Main)&P5(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Violoncello)
859.0,881.0,Main Part,,,,,,,,P8(Eb Horn 2),P8(Eb Horn 1),,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
881.0,895.0,,,P8(Bb Clarinet 2),P8(Eb Horn 2),,P8(Oboe 1),U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),,P8(Oboe 2),,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,Main Part,,,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
