qstamp,tstamp,measure,beat,Hunting Horn,Bassoon 1,Bassoon 2,Bass solo,Continuo
78.0,55.7143,27,1.0,G4,r,r,A2,E3
78.5,56.0714,27,1.5,A4,r,r,G3,C#3
78.75,56.25,27,1.75,B4,r,r,G3,C#3
79.0,56.4286,27,2.0,A4,r,r,F#3,D3
79.25,56.6071,27,2.25,G4,r,r,F#3,D3
79.5,56.7857,27,2.5,F#4,r,r,B3,E3
79.75,56.9643,27,2.75,E4,r,r,B3,E3
80.0,57.1429,27,3.0,D4,r,r,A3,F#3
80.5,57.5,27,3.5,D5,r,r,G3,G3
80.75,57.6786,27,3.75,D5,r,r,F#3,G3
81.0,57.8571,28,1.0,C#5,A3,E3,E3,A3
81.5,58.2143,28,1.5,A4,E3,C#3,E3,A3
82.0,58.5714,28,2.0,A4,E3,C#3,E3,r
82.5,58.9286,28,2.5,A4,F#3,D3,E3,A2
83.0,59.2857,28,3.0,A4,F#3,D3,r,F#2
83.5,59.6429,28,3.5,A4,E3,C#3,r,D2
83.75,59.8214,28,3.75,A4,F#3,D3,r,D2
84.0,60.0,29,1.0,A4,G3,E3,A2,C#2
84.5,60.3571,29,1.5,A4,r,r,A2,C#3
84.75,60.5357,29,1.75,A4,r,r,A2,B2
85.0,60.7143,29,2.0,A4,r,r,E3,C#3
85.5,61.0714,29,2.5,A4,r,r,E3,E3
86.0,61.4286,29,3.0,A4,r,r,G3,C#3
86.5,61.7857,29,3.5,A4,r,r,G3,A2
87.0,62.1429,30,1.0,A4,A3,F#3,F#3,D3
87.5,62.5,30,1.5,A3,F#3,D3,E3,D3
87.75,62.6786,30,1.75,A3,F#3,D3,F#3,D3
88.0,62.8571,30,2.0,D4,F#3,D3,D3,r
88.5,63.2143,30,2.5,D4,G3,E3,r,A3
89.0,63.5714,30,3.0,D4,G3,E3,r,F#3
89.5,63.9286,30,3.5,D4,F#3,D3,r,D3
89.75,64.1071,30,3.75,D4,G3,E3,r,D3
90.0,64.2857,31,1.0,D4,A3,F#3,B2,B2
90.5,64.6429,31,1.5,D4,r,r,B2,D3
90.75,64.8214,31,1.75,D4,r,r,B2,C#3
91.0,65.0,31,2.0,D4,r,r,F#3,B2
91.5,65.3571,31,2.5,D4,r,r,F#3,F#2
92.0,65.7143,31,3.0,D4,r,r,A3,D2
92.5,66.0714,31,3.5,D4,r,r,A3,B2
93.0,66.4286,32,1.0,D4,r,r,G#3,E2
93.5,66.7857,32,1.5,B4,r,r,F#3,E2
93.75,66.9643,32,1.75,A4,r,r,G#3,E2
94.0,67.1429,32,2.0,G#4,r,r,E3,r
94.25,67.3214,32,2.25,A4,r,r,E3,r
94.5,67.5,32,2.5,F#4,G#3,E3,r,D3
94.75,67.6786,32,2.75,G#4,G#3,E3,r,D3
95.0,67.8571,32,3.0,E4,A3,F#3,r,C#3
95.25,68.0357,32,3.25,F#4,A3,F#3,r,C#3
95.5,68.2143,32,3.5,E4,B3,G#3,r,B2
95.75,68.3929,32,3.75,D4,B3,G#3,r,B2
96.0,68.5714,33,1.0,E4,C#4,A3,A2,A2
96.5,68.9286,33,1.5,r,A3,C#3,A2,A2
97.0,69.2857,33,2.0,r,A3,C#3,A3,r
97.5,69.6429,33,2.5,r,B3,D3,A3,r
98.0,70.0,33,3.0,r,B3,D3,G#3,r
98.5,70.3571,33,3.5,r,A3,C#3,G#3,r
98.75,70.5357,33,3.75,r,B3,D3,G#3,r
99.0,70.7143,34,1.0,r,C#4,E3,A3,r
99.5,71.0714,34,1.5,r,B3,D3,A3,r
99.75,71.25,34,1.75,r,C#4,E3,A3,r
100.0,71.4286,34,2.0,r,D4,F#3,A3,A3
100.5,71.7857,34,2.5,r,C#4,E3,A3,A3
101.0,72.1429,34,3.0,r,B3,D3,r,A2
101.5,72.5,34,3.5,r,A3,C#3,r,A2
102.0,72.8571,35,1.0,r,B3,D3,G#3,A2
102.5,73.2143,35,1.5,r,G#3,B2,G#3,B2
102.75,73.3929,35,1.75,r,G#3,B2,A3,A2
102.875,73.4821,35,1.875,r,G#3,B2,B3,A2
103.0,73.5714,35,2.0,r,G#3,B2,D3,G#2
103.5,73.9286,35,2.5,r,A3,C#3,C#3,E2
104.0,74.2857,35,3.0,r,A3,C#3,C#3,E3
104.5,74.6429,35,3.5,r,G#3,B2,E3,E3
104.75,74.8214,35,3.75,r,A3,C#3,E3,E3
105.0,75.0,36,1.0,r,B3,D3,G#3,E3
105.25,75.1786,36,1.25,r,B3,D3,F#3,F#3
105.5,75.3571,36,1.5,r,A3,C#3,E3,E3
105.75,75.5357,36,1.75,r,B3,D3,E3,D3
106.0,75.7143,36,2.0,r,C#4,E3,E3,C#3
106.5,76.0714,36,2.5,r,B3,D3,E3,D3
107.0,76.4286,36,3.0,r,A3,C#3,r,E3
107.5,76.7857,36,3.5,r,G#3,B2,r,E2
108.0,77.1429,37,1.0,r,A3,C#3,r,A2
108.5,77.5,37,1.5,r,A3,C#3,E3,A2
108.75,77.6786,37,1.75,r,A3,C#3,E3,G#2
109.0,77.8571,37,2.0,r,r,r,F#3,A2
109.5,78.2143,37,2.5,r,A3,F#3,E3,F#2
109.75,78.3929,37,2.75,r,G#3,E3,E3,F#2
110.0,78.5714,37,3.0,r,A3,F#3,E-3,B2
110.25,78.75,37,3.25,r,A3,F#3,E3,B2
110.5,78.9286,37,3.5,r,B3,G#3,C#3,A2
110.75,79.1071,37,3.75,r,A3,F#3,E-3,B2
111.0,79.2857,38,1.0,r,G#3,E3,E3,E2
111.5,79.6429,38,1.5,r,G#3,E3,B2,E3
111.75,79.8214,38,1.75,r,G#3,E3,B2,D3
112.0,80.0,38,2.0,r,r,r,E3,C#3
112.5,80.3571,38,2.5,r,G3,E3,D3,B2
112.75,80.5357,38,2.75,r,F#3,D3,D3,B2
113.0,80.7143,38,3.0,r,G3,E3,C#3,A2
113.5,81.0714,38,3.5,r,A3,F#3,C#3,G2
113.75,81.25,38,3.75,r,G3,E3,C#3,A2
114.0,81.4286,39,1.0,r,F#3,D3,C#3,D2
114.5,81.7857,39,1.5,A4,F#3,D3,F#3,D2
114.75,81.9643,39,1.75,G4,F#3,D3,E3,D2
115.0,82.1429,39,2.0,F#4,F#3,D3,D3,r
115.25,82.3214,39,2.25,G4,F#3,D3,E3,r
115.5,82.5,39,2.5,E4,F#3,D3,C#3,r
115.75,82.6786,39,2.75,F#4,F#3,D3,D3,r
116.0,82.8571,39,3.0,D4,F#3,D3,B2,D3
116.25,83.0357,39,3.25,D4,F#3,D3,D3,D3
116.5,83.2143,39,3.5,r,E3,A3,C#3,D3
116.75,83.3929,39,3.75,r,F#3,A3,B2,D3
117.0,83.5714,40,1.0,r,G#3,B3,E3,D3
117.5,83.9286,40,1.5,E4,F#3,A3,E3,E3
117.75,84.1071,40,1.75,E4,G#3,B3,E3,D3
118.0,84.2857,40,2.0,E4,A3,C#4,A2,C#3
118.25,84.4643,40,2.25,D4,A3,C#4,A2,C#3
118.5,84.6429,40,2.5,C#4,E3,D4,A2,B2
118.75,84.8214,40,2.75,D4,E3,D4,A2,B2
119.0,85.0,40,3.0,E4,E4,C#4,A2,A2
119.25,85.1786,40,3.25,F#4,E4,C#4,A2,A2
119.5,85.3571,40,3.5,G#4,E4,B3,A2,G#2
119.75,85.5357,40,3.75,E4,E4,B3,A2,G#2
120.0,85.7143,41,1.0,A4,E4,C#4,r,F#2
120.5,86.0714,41,1.5,r,F#4,A3,A3,F#2
120.75,86.25,41,1.75,r,E4,A3,G3,F#2
121.0,86.4286,41,2.0,r,D4,B3,F#3,r
121.25,86.6071,41,2.25,r,D4,B3,G3,r
121.5,86.7857,41,2.5,r,C#4,C#4,E3,F#2
121.75,86.9643,41,2.75,r,C#4,C#4,F#3,F#2
122.0,87.1429,41,3.0,r,B3,D4,D3,B2
122.25,87.3214,41,3.25,r,B3,D4,E3,B2
122.5,87.5,41,3.5,r,C#4,F#3,C#3,A2
122.75,87.6786,41,3.75,r,C#4,F#3,D3,A2
123.0,87.8571,42,1.0,r,D4,F#3,B2,G#2
123.25,88.0357,42,1.25,r,D4,F#3,C#3,G#2
123.5,88.2143,42,1.5,r,B3,E3,D3,B2
123.75,88.3929,42,1.75,r,B3,D3,D3,B2
124.0,88.5714,42,2.0,r,G#3,E3,D3,E3
124.5,88.9286,42,2.5,r,A3,E3,B2,D3
124.75,89.1071,42,2.75,r,B3,E3,B2,D3
125.0,89.2857,42,3.0,r,C#4,E3,E3,C#3
125.5,89.6429,42,3.5,r,G#3,E3,D3,B2
126.0,90.0,43,1.0,r,A3,E3,C#3,A2
126.25,90.1786,43,1.25,r,A3,E3,D3,A2
126.5,90.3571,43,1.5,r,r,D4,B2,E2
126.75,90.5357,43,1.75,r,r,D4,C#3,E2
127.0,90.7143,43,2.0,r,r,C#4,A2,F#2
127.25,90.8929,43,2.25,r,r,B3,A2,F#2
127.5,91.0714,43,2.5,r,F#4,C#4,A2,D2
127.75,91.25,43,2.75,r,F#4,A3,B2,D2
128.0,91.4286,43,3.0,r,E4,G#3,B2,E2
128.5,91.7857,43,3.5,r,D4,G#3,B2,E3
128.75,91.9643,43,3.75,r,D4,A3,A2,E3
129.0,92.1429,44,1.0,r,C#4,A3,A2,F#3
129.5,92.5,44,1.5,r,r,r,D3,G#3
129.625,92.5893,44,1.625,r,r,r,C#3,G#3
129.75,92.6786,44,1.75,r,r,r,B2,G#3
130.0,92.8571,44,2.0,r,r,r,C#3,A3
130.5,93.2143,44,2.5,r,r,r,F#3,D3
130.75,93.3929,44,2.75,r,r,r,D3,D3
131.0,93.5714,44,3.0,r,r,r,B2,E3
131.5,93.9286,44,3.5,r,r,r,G#3,E2
132.0,94.2857,45,1.0,A3,E4,C#4,A3,A2
132.5,94.6429,45,1.5,A3,C#4,A3,A3,A2
133.0,95.0,45,2.0,A4,C#4,A3,A3,r
133.5,95.3571,45,2.5,A4,D4,B3,A3,r
134.0,95.7143,45,3.0,G#4,D4,B3,r,r
134.5,96.0714,45,3.5,G#4,C#4,A3,r,r
134.75,96.25,45,3.75,G#4,D4,B3,r,r
135.0,96.4286,46,1.0,A4,E4,C#4,r,r
135.5,96.7857,46,1.5,A4,D4,B3,r,r
135.75,96.9643,46,1.75,A4,E4,C#4,r,r
136.0,97.1429,46,2.0,A3,F#4,D4,r,A2
136.5,97.5,46,2.5,A3,E4,C#4,r,A2
137.0,97.8571,46,3.0,A3,D4,B3,r,A3
137.5,98.2143,46,3.5,A3,C#4,A3,r,A3
138.0,98.5714,47,1.0,E4,D4,B3,r,A3
138.5,98.9286,47,1.5,E4,B3,G#3,r,B3
138.75,99.1071,47,1.75,E4,B3,G#3,r,A3
139.0,99.2857,47,2.0,D5,B3,G#3,r,G#3
139.5,99.6429,47,2.5,D5,C#4,A3,r,E3
140.0,100.0,47,3.0,C#5,C#4,A3,r,E2
140.5,100.3571,47,3.5,C#5,B3,G#3,r,E2
140.75,100.5357,47,3.75,C#5,C#4,A3,r,E2
141.0,100.7143,48,1.0,B4,D4,B3,r,E2
141.5,101.0714,48,1.5,B4,C#4,A3,r,E3
141.75,101.25,48,1.75,B4,D4,B3,r,D3
142.0,101.4286,48,2.0,E4,E4,C#4,r,C#3
142.5,101.7857,48,2.5,E4,D4,B3,r,D3
143.0,102.1429,48,3.0,E4,C#4,A3,r,E3
143.5,102.5,48,3.5,E4,B3,G#3,r,E2
144.0,102.8571,49,1.0,E4,C#4,A3,r,A2
144.5,103.2143,49,1.5,E4,E3,A3,r,A3
144.75,103.3929,49,1.75,D4,E3,A3,r,A3
145.0,103.5714,49,2.0,E4,A3,r,r,r
145.25,103.75,49,2.25,F#4,A3,r,r,r
145.5,103.9286,49,2.5,G4,A3,C#3,r,A2
145.75,104.1071,49,2.75,G4,A3,D3,r,B2
146.0,104.2857,49,3.0,G4,A3,E3,r,C#3
146.25,104.4643,49,3.25,B4,A3,E3,r,C#3
146.5,104.6429,49,3.5,A4,A3,C#3,r,A2
146.75,104.8214,49,3.75,G4,A3,C#3,r,A2
147.0,105.0,50,1.0,F#4,A3,D3,r,D3
147.25,105.1786,50,1.25,E4,A3,D3,r,D3
147.5,105.3571,50,1.5,D4,F#3,A3,r,D2
147.75,105.5357,50,1.75,E4,F#3,A3,r,D2
148.0,105.7143,50,2.0,F#4,B3,r,r,r
148.25,105.8929,50,2.25,G#4,B3,r,r,r
148.5,106.0714,50,2.5,A4,B3,E-3,r,B2
148.75,106.25,50,2.75,A4,B3,E3,r,C#3
149.0,106.4286,50,3.0,A4,B3,F#3,r,E-3
149.25,106.6071,50,3.25,C#5,B3,F#3,r,E-3
149.5,106.7857,50,3.5,B4,B3,E-3,r,B2
149.75,106.9643,50,3.75,A4,B3,E-3,r,B2
150.0,107.1429,51,1.0,G#4,B3,E3,r,E3
150.25,107.3214,51,1.25,F#4,A3,E3,r,E3
150.5,107.5,51,1.5,E4,G#3,B3,r,E2
150.75,107.6786,51,1.75,F#4,A3,B3,r,E2
151.0,107.8571,51,2.0,G#4,B3,r,r,r
151.25,108.0357,51,2.25,A4,B3,F#3,r,r
151.5,108.2143,51,2.5,B4,G#3,G#3,r,E3
151.75,108.3929,51,2.75,C#5,G#3,A3,r,E3
152.0,108.5714,51,3.0,D5,E3,B3,r,G#2
152.25,108.75,51,3.25,C#5,E3,A3,r,G#2
152.5,108.9286,51,3.5,B4,E3,G#3,r,E3
152.75,109.1071,51,3.75,D5,E3,B3,r,E3
153.0,109.2857,52,1.0,C#5,E3,A3,r,A2
153.25,109.4643,52,1.25,B4,E3,A3,r,A2
153.5,109.6429,52,1.5,A4,D4,r,r,B2
153.75,109.8214,52,1.75,G#4,D4,r,r,B2
154.0,110.0,52,2.0,A4,C#4,r,r,C#3
154.25,110.1786,52,2.25,A4,B3,r,r,C#3
154.5,110.3571,52,2.5,B4,A3,F#4,r,D3
154.75,110.5357,52,2.75,B4,B3,F#4,r,D3
155.0,110.7143,52,3.0,E4,B3,G#3,r,E3
155.5,111.0714,52,3.5,G#4,B3,E4,r,E2
155.75,111.25,52,3.75,G#4,A3,E4,r,E2
156.0,111.4286,53,1.0,A4,A3,C#4,A2,A2
