qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,"D, A Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
28.25,31.875,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(Main)&P8(Violin 2)&P8(Violoncello),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(Main)&P8(Violin 2)&P8(Violoncello),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(Main)&P8(Violin 2)&P8(Violoncello),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(D Horn 1)&P8(D Horn 2)&P8(Main)&P8(Violin 2)&P8(Violoncello),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(Main)&U(Violin 2)&P8(Violoncello),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(D Horn 1)&P8(D Horn 2)&P8(Main)&P8(Violin 2)&P8(Violoncello),U(Bassoon 2),U(Bassoon 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 2)&P8(Main)&P8(Violin 2)&P8(Violoncello),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(Main)&P8(Violin 2)&P8(Violoncello),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),"P8(D Trumpet 2)&P8(D, A Timpani)&P8(Contrabass)","P8(D Trumpet 1)&P8(D, A Timpani)&P8(Contrabass)",P8(D Trumpet 1)&P8(D Trumpet 2)&U(Contrabass),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(Main)&P8(Violoncello),,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(Main)&P8(Violin 2),"P8(D Trumpet 1)&P8(D Trumpet 2)&U(D, A Timpani)"
31.875,46.0,P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Main),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Bb Clarinet 1)&U(Main),P8(Flute 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Oboe 1)&P8(Main),P8(Flute 2)&P8(Oboe 2),,,,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
46.0,52.5,,,P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(D Horn 1)&P3(D Horn 2),,P8(Oboe 1)&P3(Bb Clarinet 2)&P3(D Horn 1)&P3(D Horn 2),P3(Oboe 1)&P3(Bb Clarinet 1)&U(D Horn 1)&U(D Horn 2),P8(Main),,P3(Oboe 1)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&U(D Horn 2),P3(Oboe 1)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&U(D Horn 1),U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
52.5,54.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(D Horn 1)&P2(D Horn 2)&P5(Violin 1)&P5(Violin 2)&P8(Viola)&P2(Violoncello)&P2(Contrabass),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(D Horn 1)&P4(D Horn 2)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(D Horn 1)&P2(D Horn 2)&P5(Violin 1)&P5(Violin 2)&P8(Viola)&P2(Violoncello)&P2(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(D Horn 1)&P4(D Horn 2)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(D Horn 1)&P2(D Horn 2)&P5(Violin 1)&P5(Violin 2)&P8(Viola)&P2(Violoncello)&P2(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(D Horn 1)&P4(D Horn 2)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P2(D Horn 1)&P2(D Horn 2)&P5(Violin 1)&P5(Violin 2)&U(Viola)&P2(Violoncello)&P2(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P4(D Horn 1)&P4(D Horn 2)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P4(Violoncello)&P4(Contrabass),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 2)&P6(Violin 1)&P6(Violin 2)&P2(Viola)&P8(Violoncello)&P8(Contrabass),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P6(Violin 1)&P6(Violin 2)&P2(Viola)&U(Violoncello)&P8(Contrabass),,,Main Part,"P8(Main)&P8(D, A Timpani)",P8(Main)&P8(D Trumpet 2),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P6(D Horn 1)&P6(D Horn 2)&P8(Violin 2)&P5(Viola)&P6(Violoncello)&P6(Contrabass),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P6(D Horn 1)&P6(D Horn 2)&P8(Violin 1)&P5(Viola)&P6(Violoncello)&P6(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P2(D Horn 1)&P2(D Horn 2)&P5(Violin 1)&P5(Violin 2)&P2(Violoncello)&P2(Contrabass),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&U(D Horn 2)&P6(Violin 1)&P6(Violin 2)&P2(Viola)&P8(Contrabass),P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P6(Violin 1)&P6(Violin 2)&P2(Viola)&P8(Violoncello)
54.0,56.5,Main Part,P3(Main)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Main)&P3(Flute 2)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1),P8(D Horn 2),P8(D Horn 1),,,"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",P8(D Trumpet 1)&P8(D Trumpet 2),P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
56.5,58.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&P8(Violin 1)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&P8(Violin 1)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P3(Violin 1)&U(Violin 2)&P5(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&U(Violin 1)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(D Horn 1)&P3(D Horn 2)&P8(Violin 1)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P8(D Horn 2)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(D Horn 1)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&U(Violoncello)&P8(Contrabass),,,Main Part,"P8(Main)&P8(D, A Timpani)",P8(Main)&P8(D Trumpet 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P3(Violin 1)&P5(Viola)&P8(Violoncello)&P8(Contrabass),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P5(D Horn 1)&P5(D Horn 2)&P3(Violin 1)&P5(Violin 2)&P5(Violoncello)&P5(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(D Horn 1)&U(D Horn 2)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P3(Violin 1)&P8(Violin 2)&P5(Viola)&P8(Violoncello)
58.0,61.0,Main Part,P3(Main),P3(Oboe 2),P3(Oboe 1)&P3(Bassoon 1),P3(Bassoon 2),P3(Bassoon 1),P3(Oboe 2)&P3(Bb Clarinet 2),P3(Main)&P3(Bb Clarinet 1),,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),"P8(D Trumpet 2)&P8(D, A Timpani)","P8(D Trumpet 1)&P8(D, A Timpani)",P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
61.0,71.875,Main Part,,P3(Oboe 2),P3(Oboe 1),,,P8(Bassoon 2),P8(Bassoon 1),,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,,
71.875,75.875,,,,,P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&U(Violin 2)&P8(Violoncello),P5(Bb Clarinet 1)&P5(D Horn 1)&P8(D Horn 2)&P5(Violin 2)&P5(Violoncello),,,P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(D Horn 2)&P8(Violin 2)&U(Violoncello),P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(D Horn 1)&P5(Violin 2)&P5(Violoncello),,,,,,Main Part,U(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&P8(Violoncello),P8(Contrabass),P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(D Horn 1)&P5(D Horn 2)&P8(Violin 2),P8(Viola)
75.875,79.875,,,,,P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&U(Violin 2)&P8(Violoncello),P5(Bb Clarinet 1)&P5(D Horn 1)&P8(D Horn 2)&P5(Violin 2)&P5(Violoncello),,,P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(D Horn 2)&P8(Violin 2)&U(Violoncello),P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(D Horn 1)&P5(Violin 2)&P5(Violoncello),,,,,,,U(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&P8(Violoncello),Main Part,P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(D Horn 1)&P5(D Horn 2)&P8(Violin 2),P8(Main)
79.875,83.875,,,,,P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&U(Violin 2)&P8(Violoncello),P5(Bb Clarinet 1)&P5(D Horn 1)&P8(D Horn 2)&P5(Violin 2)&P5(Violoncello),,,P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(D Horn 2)&P8(Violin 2)&U(Violoncello),P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(D Horn 1)&P5(Violin 2)&P5(Violoncello),,,,,,Main Part,U(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&P8(Violoncello),P8(Contrabass),P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(D Horn 1)&P5(D Horn 2)&P8(Violin 2),P8(Viola)
83.875,88.875,,,,,P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&U(Violin 2)&P8(Violoncello),P5(Bb Clarinet 1)&P5(D Horn 1)&P8(D Horn 2)&P5(Violin 2)&P5(Violoncello),,,P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(D Horn 2)&P8(Violin 2)&U(Violoncello),P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(D Horn 1)&P5(Violin 2)&P5(Violoncello),,,,,,,U(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&P8(Violoncello),Main Part,P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(D Horn 1)&P5(D Horn 2)&P8(Violin 2),P8(Main)
88.875,91.875,,P5(Oboe 1)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&P8(Violin 2)&P8(Violoncello),P5(Flute 2)&P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(D Horn 1)&P8(D Horn 2)&P5(Violin 2)&P5(Violoncello),,P8(Flute 2)&P5(Oboe 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&U(Violin 2)&P8(Violoncello),P5(Flute 2)&P8(Oboe 1)&P5(Bb Clarinet 1)&P5(D Horn 1)&P8(D Horn 2)&P5(Violin 2)&P5(Violoncello),,,P8(Flute 2)&P5(Oboe 1)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(D Horn 2)&P8(Violin 2)&U(Violoncello),P5(Flute 2)&P8(Oboe 1)&P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(D Horn 1)&P5(Violin 2)&P5(Violoncello),,,,,,Main Part,P8(Flute 2)&P5(Oboe 1)&U(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(D Horn 1)&P5(D Horn 2)&P8(Violoncello),P8(Contrabass),P8(Flute 2)&P5(Oboe 1)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(D Horn 1)&P5(D Horn 2)&P8(Violin 2),P8(Viola)
