qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano 1,Alto 1,Tenor 1,Bass 1,Soprano 2,Alto 2,Tenor 2,Bass 2,Continuo
24.0,27.0,,,,,,,,,,,,Main Part,,,,,,,,
27.0,30.0,,,,,P6(Traverso 2),P6(Traverso 1),,,P4(Viola),,P4(Violin 1),,,,Main Part,,,,,
30.0,34.5,,,,,,,,,,,,,,Main Part,,,,,,
34.5,39.0,U(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Soprano 2)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),U(Tromba 1)&U(Tromba 3)&P8(Timpani)&U(Soprano 2)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),U(Tromba 1)&U(Tromba 2)&P8(Timpani)&U(Soprano 2)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),P8(Tromba 1)&P8(Tromba 2)&P8(Tromba 3)&P8(Soprano 2)&P8(Alto 2)&U(Tenor 2)&U(Bass 2),Main Part,U(Main),,,,,,,,,P8(Continuo),U(Tromba 1)&U(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),U(Tromba 1)&U(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Soprano 2)&P8(Tenor 2)&P8(Bass 2),P8(Tromba 1)&P8(Tromba 2)&P8(Tromba 3)&U(Timpani)&P8(Soprano 2)&P8(Alto 2)&U(Bass 2),P8(Tromba 1)&P8(Tromba 2)&P8(Tromba 3)&U(Timpani)&P8(Soprano 2)&P8(Alto 2)&U(Tenor 2),P8(Bass 1)
39.0,41.75,Main Part,U(Main)&U(Tromba 3)&P8(Timpani)&U(Soprano 2)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),U(Main)&U(Tromba 2)&P8(Timpani)&U(Soprano 2)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),P8(Main)&P8(Tromba 2)&P8(Tromba 3)&P8(Soprano 2)&P8(Alto 2)&P8(Tenor 2)&P8(Bass 2),U(Traverso 2),U(Traverso 1),U(Soprano 1),,,,,U(Oboe 1),,,P8(Continuo),U(Main)&U(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),U(Main)&U(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Soprano 2)&P8(Tenor 2)&P8(Bass 2),P8(Main)&P8(Tromba 2)&P8(Tromba 3)&P8(Timpani)&P8(Soprano 2)&P8(Alto 2)&U(Bass 2),P8(Main)&P8(Tromba 2)&P8(Tromba 3)&P8(Timpani)&P8(Soprano 2)&P8(Alto 2)&U(Tenor 2),P8(Bass 1)
41.75,45.0,U(Tromba 2)&U(Tromba 3)&P8(Timpani),U(Tromba 1)&U(Tromba 3)&P8(Timpani),U(Tromba 1)&U(Tromba 2)&P8(Timpani),P8(Tromba 1)&P8(Tromba 2)&P8(Tromba 3),Main Part,U(Main),,,,,,,,,P8(Continuo),U(Alto 2)&P8(Tenor 2)&P8(Bass 2),U(Soprano 2)&P8(Tenor 2)&P8(Bass 2),P8(Soprano 2)&P8(Alto 2)&P8(Bass 2),P8(Soprano 2)&P8(Alto 2)&P8(Tenor 2),P8(Bass 1)
45.0,47.75,,,,,U(Traverso 2),U(Traverso 1),,,,,,,,,U(Continuo),Main Part,U(Main)&P8(Tenor 2)&P8(Bass 2),P8(Main)&P8(Alto 2)&P8(Bass 2),P8(Main)&P8(Alto 2)&P8(Tenor 2),U(Bass 1)
47.75,51.0,,,,,Main Part,U(Main),,,P3(Violin 2),P3(Violin 1),,,,,P8(Continuo),U(Alto 2)&P8(Tenor 2)&P8(Bass 2),U(Soprano 2)&P8(Tenor 2)&P8(Bass 2),P8(Soprano 2)&P8(Alto 2)&P8(Bass 2),P8(Soprano 2)&P8(Alto 2)&P8(Tenor 2),P8(Bass 1)
51.0,54.0,,,,,U(Traverso 2),U(Traverso 1),,,P4(Violin 2)&P8(Viola),P4(Violin 1)&P4(Viola),P8(Violin 1)&P4(Violin 2),,,,U(Continuo),Main Part,P8(Main)&P8(Tenor 2)&P8(Bass 2),P8(Main)&P8(Alto 2)&P8(Bass 2),P8(Main)&P8(Alto 2)&P8(Tenor 2),U(Bass 1)
54.0,57.0,,,,,Main Part,U(Main),,,U(Soprano 1),,,U(Violin 1),,,U(Continuo),,,,,U(Bass 1)
57.0,60.0,,,,,,,,,U(Soprano 1),,U(Tenor 1),U(Violin 1),,U(Viola),P8(Continuo),,,Main Part,,P8(Bass 1)
60.0,63.0,,,,,,,,,,,,,,,,,Main Part,,,
63.0,66.0,,,,,,,,,P5(Viola),,P5(Violin 1),,,,,,,,Main Part,
66.0,70.5,,,,,,,,,,,,,,,,Main Part,,,,
70.5,75.0,U(Soprano 1)&P8(Alto 1)&P8(Tenor 1)&P8(Bass 1),,,,Main Part,U(Main),,,,,,U(Tromba 1)&P8(Alto 1)&P8(Tenor 1)&P8(Bass 1),P8(Tromba 1)&P8(Soprano 1)&U(Tenor 1)&P8(Bass 1),P8(Tromba 1)&P8(Soprano 1)&U(Alto 1)&P8(Bass 1),P8(Tromba 1)&P8(Soprano 1)&P8(Alto 1)&P8(Tenor 1),,,,U(Continuo),U(Bass 2)
75.0,77.75,Main Part,,,,U(Traverso 2),U(Traverso 1),U(Violin 1)&U(Soprano 2),U(Violin 2),U(Oboe 1)&U(Soprano 2),U(Oboe 2),U(Tenor 2),U(Main)&P8(Alto 1)&P8(Tenor 1)&P8(Bass 1),P8(Main)&P8(Soprano 1)&U(Tenor 1)&P8(Bass 1),P8(Main)&P8(Soprano 1)&U(Alto 1)&P8(Bass 1),P8(Main)&P8(Soprano 1)&P8(Alto 1)&P8(Tenor 1),U(Oboe 1)&U(Violin 1),,U(Viola),U(Continuo),U(Bass 2)
77.75,81.0,,,,,Main Part,U(Main),,,,,,P8(Alto 1)&P8(Tenor 1)&P8(Bass 1),P8(Soprano 1)&P8(Tenor 1)&P8(Bass 1),P8(Soprano 1)&P8(Alto 1)&P8(Bass 1),P8(Soprano 1)&P8(Alto 1)&P8(Tenor 1),,,,P8(Continuo),P8(Bass 2)
81.0,83.75,,,,,U(Traverso 2),U(Traverso 1),,,,,,Main Part,P8(Main)&P8(Tenor 1)&P8(Bass 1),P8(Main)&P8(Alto 1)&P8(Bass 1),P8(Main)&P8(Alto 1)&P8(Tenor 1),,,,,
83.75,87.0,U(Tromba 2)&U(Tromba 3)&P8(Timpani),U(Tromba 1)&U(Tromba 3)&P8(Timpani),U(Tromba 1)&U(Tromba 2)&P8(Timpani),P8(Tromba 1)&P8(Tromba 2)&P8(Tromba 3),Main Part,U(Main),,,,,,P8(Alto 1)&P8(Tenor 1)&P8(Bass 1),P8(Soprano 1)&P8(Tenor 1)&P8(Bass 1),P8(Soprano 1)&P8(Alto 1)&P8(Bass 1),P8(Soprano 1)&P8(Alto 1)&P8(Tenor 1),,,,P8(Continuo),P8(Bass 2)
87.0,89.75,Main Part,U(Main)&U(Tromba 3)&P8(Timpani)&U(Soprano 1)&U(Alto 1)&P8(Tenor 1)&P8(Bass 1),U(Main)&U(Tromba 2)&P8(Timpani)&U(Soprano 1)&U(Alto 1)&P8(Tenor 1)&P8(Bass 1),P8(Main)&P8(Tromba 2)&P8(Tromba 3)&P8(Soprano 1)&P8(Alto 1)&P8(Tenor 1)&P8(Bass 1),U(Traverso 2),U(Traverso 1),,,U(Soprano 2),,P8(Alto 2),U(Main)&U(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Alto 1)&P8(Tenor 1)&P8(Bass 1),U(Main)&U(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Soprano 1)&P8(Tenor 1)&P8(Bass 1),P8(Main)&P8(Tromba 2)&P8(Tromba 3)&P8(Timpani)&P8(Soprano 1)&P8(Alto 1)&U(Bass 1),P8(Main)&P8(Tromba 2)&P8(Tromba 3)&P8(Timpani)&P8(Soprano 1)&P8(Alto 1)&U(Tenor 1),U(Violin 1),P8(Viola),,U(Continuo),U(Bass 2)
89.75,93.0,U(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Soprano 1)&U(Alto 1)&P8(Tenor 1),U(Tromba 1)&U(Tromba 3)&P8(Timpani)&U(Soprano 1)&U(Alto 1)&P8(Tenor 1),U(Tromba 1)&U(Tromba 2)&P8(Timpani)&U(Soprano 1)&U(Alto 1)&P8(Tenor 1),P8(Tromba 1)&P8(Tromba 2)&P8(Tromba 3)&P8(Soprano 1)&P8(Alto 1)&P8(Tenor 1),Main Part,U(Main),,,,P4(Viola),P4(Violin 2),U(Tromba 1)&U(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Alto 1)&P8(Tenor 1),U(Tromba 1)&U(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Soprano 1)&P8(Tenor 1),P8(Tromba 1)&P8(Tromba 2)&P8(Tromba 3)&P8(Timpani)&P8(Soprano 1)&P8(Alto 1),,,,,,
93.0,96.0,,,,,,,,,,,,,,,Main Part,,,,,
96.0,99.0,,,,,,,,,,,,,,Main Part,,,,,,
99.0,102.0,,,,,P3(Traverso 2),P3(Traverso 1),,,P3(Viola),,P3(Violin 1),,Main Part,,,,,,,
102.0,105.0,,,,,,,,,,,,Main Part,,,,,,,,
105.0,108.0,,,,,,,,,P3(Violin 2),P3(Violin 1),,,,,,Main Part,,,,
108.0,111.0,,,,,,,,,P4(Viola),,P4(Violin 1),,,,,,Main Part,,,
111.0,114.0,,,,,,,,,,,,,,,,,,Main Part,,
114.0,117.0,,,,,,,,,,P3(Viola),P3(Violin 2),P8(Tenor 1),,P8(Soprano 1),,,,,Main Part,
117.0,120.0,P8(Tromba 2),P8(Tromba 1),,,Main Part,U(Main),,,,U(Viola),U(Violin 2),,,,,,,,,
120.0,123.0,Main Part,,,,P8(Traverso 2),P8(Traverso 1),,,,U(Viola),U(Violin 2),U(Alto 1)&P8(Tenor 1)&P8(Bass 1),U(Soprano 1)&P8(Tenor 1)&P8(Bass 1),P8(Soprano 1)&P8(Alto 1)&U(Bass 1),P8(Soprano 1)&P8(Alto 1)&U(Tenor 1),U(Alto 2)&P8(Tenor 2),U(Soprano 2)&P8(Tenor 2),P8(Soprano 2)&P8(Alto 2),,
123.0,126.0,,,P8(Timpani)&P8(Soprano 1)&U(Alto 1)&P4(Tenor 1)&P8(Bass 1),P8(Tromba 3)&P8(Soprano 1)&P8(Alto 1)&P4(Tenor 1)&P8(Bass 1),,,,,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),P8(Tromba 3)&P8(Timpani)&P8(Alto 1)&P4(Tenor 1)&P8(Bass 1),U(Tromba 3)&P8(Timpani)&P8(Soprano 1)&P4(Tenor 1)&P8(Bass 1),P4(Tromba 3)&P4(Timpani)&P4(Soprano 1)&P4(Alto 1)&P4(Bass 1),P8(Tromba 3)&P8(Timpani)&P8(Soprano 1)&P8(Alto 1)&P4(Tenor 1),Main Part,U(Main)&P8(Tenor 2)&P8(Bass 2),P8(Main)&P8(Alto 2)&U(Bass 2),P8(Main)&P8(Alto 2)&U(Tenor 2),
126.0,127.5,P3(Tromba 2),P3(Tromba 1),,,U(Traverso 2)&P8(Oboe 1)&P8(Violin 1),U(Traverso 1)&P8(Oboe 1)&P8(Violin 1),P8(Traverso 1)&P8(Traverso 2)&U(Violin 1),,P8(Traverso 1)&P8(Traverso 2)&U(Oboe 1),,,Main Part,,,,P6(Alto 2)&P3(Tenor 2)&P5(Bass 2),P6(Soprano 2)&P4(Tenor 2)&P2(Bass 2),P3(Soprano 2)&P4(Alto 2)&P3(Bass 2),P5(Soprano 2)&P2(Alto 2)&P3(Tenor 2),
127.5,129.0,P3(Tromba 2)&P8(Alto 2),P3(Tromba 1)&P3(Alto 2),U(Viola),,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),U(Tromba 3),P4(Alto 1)&P3(Tenor 1)&P4(Bass 1),P4(Soprano 1)&P6(Tenor 1)&P8(Bass 1),P3(Soprano 1)&P6(Alto 1)&P6(Bass 1),P4(Soprano 1)&P8(Alto 1)&P6(Tenor 1),Main Part,P8(Tromba 1)&P3(Tromba 2),,,
129.0,130.0,P3(Tromba 2)&P8(Alto 1)&P8(Alto 2),P3(Tromba 1)&P3(Alto 1)&P3(Alto 2),,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,Main Part,P8(Tromba 1)&P3(Tromba 2)&U(Alto 2),,,U(Main)&P3(Tenor 2),P8(Tromba 1)&P3(Tromba 2)&U(Alto 1),P3(Main)&P3(Soprano 2),U(Continuo),U(Bass 2)
130.0,133.5,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Main)&U(Oboe 1)&U(Violin 1),U(Main)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Main)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,,,,
133.5,135.0,P3(Tromba 2)&P3(Alto 1)&P3(Tenor 1),P3(Tromba 1)&P5(Alto 1),,,U(Traverso 2)&U(Violin 1),U(Traverso 1)&U(Violin 1),,U(Violin 2),U(Traverso 1)&U(Traverso 2),U(Oboe 2),,Main Part,P3(Tromba 1)&P5(Tromba 2),P3(Tromba 1),,P3(Alto 2)&P5(Tenor 2)&P5(Bass 2),P3(Soprano 2)&P3(Tenor 2)&P3(Bass 2),P5(Soprano 2)&P3(Alto 2)&P8(Bass 2),P5(Soprano 2)&P3(Alto 2)&P8(Tenor 2),
135.0,138.0,P3(Tromba 2),P3(Tromba 1),P8(Timpani),P8(Tromba 3),U(Traverso 2)&U(Violin 1),U(Traverso 1)&U(Violin 1),,U(Violin 2),U(Traverso 1)&U(Traverso 2),U(Oboe 2),,,,,,Main Part,,,,
138.0,141.0,P3(Tromba 2),P3(Tromba 1),,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,Main Part,P3(Tenor 1)&P3(Bass 1),P3(Alto 1)&P5(Bass 1),P3(Alto 1)&P5(Tenor 1),,,,,
141.0,144.0,,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,Main Part,,,,P3(Tenor 2)&P4(Bass 2),P3(Alto 2)&P2(Bass 2),P4(Alto 2)&P2(Tenor 2),
144.0,147.0,P3(Tromba 2),P3(Tromba 1),P8(Timpani),P8(Tromba 3),U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,Main Part,P3(Tenor 1)&P3(Bass 1),P3(Alto 1)&P5(Bass 1),P3(Alto 1)&P5(Tenor 1),,,,,
147.0,150.0,P3(Tromba 2)&P3(Tromba 3)&P3(Timpani),P3(Tromba 1)&P5(Tromba 3)&P8(Timpani),P3(Tromba 1)&P5(Tromba 2)&P5(Timpani),P3(Tromba 1)&P8(Tromba 2)&P5(Tromba 3),U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,Main Part,,P8(Continuo),,,,,P8(Bass 1)
150.0,156.0,Main Part,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,,,,
156.0,159.0,,,,,,,,,,,,P3(Alto 1),P3(Soprano 1),Main Part,,P3(Alto 2),P3(Soprano 2),,,
