qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
490.0,499.0,,,,,,,,,,,,Main Part,,,,P8(Continuo),P8(Bass)
499.0,506.0,,,,,,,,,,,,,,,Main Part,P8(Continuo),P8(Bass)
506.0,514.0,,,,,,,,,,,,,,,Main Part,P8(Continuo),P8(Bass)
514.0,524.0,,,,,,,,,,,,Main Part,,,,P8(Continuo),P8(Bass)
524.0,529.0,,,,,,,,,,,,,Main Part,,,P8(Continuo),P8(Bass)
529.0,534.0,,,,,,,,,,,,,,,,Main Part,P8(Main)
534.0,540.0,,,,,,,,,,,,P3(Soprano 2),P3(Soprano 1),,Main Part,P8(Continuo),P8(Bass)
540.0,546.0,,,,,,,,,,,,,,Main Part,,U(Continuo),U(Bass)
546.0,550.0,,,,,,,,,,,,Main Part,P2(Alto)&P4(Tenor)&P4(Bass)&P4(Continuo),P2(Soprano 2)&P3(Tenor)&P3(Bass)&P3(Continuo),P4(Soprano 2)&P3(Alto)&U(Bass)&U(Continuo),P4(Soprano 2)&P3(Alto)&U(Tenor)&U(Continuo),P4(Soprano 2)&P3(Alto)&U(Tenor)&U(Bass)
550.0,557.0,,,,,,,,,,,,,,Main Part,,U(Continuo),U(Bass)
557.0,562.0,,,,,,,,,,,,,Main Part,,,,
562.0,568.0,,,,,,,,,,,,,,Main Part,,,
568.0,580.0,,,,,,,,,,,,,Main Part,,,,
580.0,585.0,,,,P8(Traverso 1)&P8(Oboe 1)&P8(Violin 1)&P5(Violin 2)&P3(Viola),P8(Timpani)&U(Oboe 1)&U(Violin 1)&P5(Violin 2)&P3(Viola),,P8(Timpani)&U(Traverso 1)&U(Violin 1)&P5(Violin 2)&P3(Viola),,P8(Timpani)&U(Traverso 1)&U(Oboe 1)&P5(Violin 2)&P3(Viola),P5(Timpani)&P5(Traverso 1)&P5(Oboe 1)&P5(Violin 1)&P3(Viola),P3(Timpani)&P3(Traverso 1)&P3(Oboe 1)&P3(Violin 1)&P3(Violin 2),,Main Part,P3(Tenor)&P6(Bass),P3(Alto)&P4(Bass),P6(Alto)&P4(Tenor),
585.0,587.0,,,,,Main Part,,U(Main)&U(Violin 1),,U(Main)&U(Oboe 1),,,,,,,,
587.0,589.0,Main Part,,,P8(Traverso 2)&P8(Oboe 2)&P8(Violin 2)&P5(Viola),U(Oboe 1)&U(Violin 1),P8(Timpani)&U(Oboe 2)&U(Violin 2)&P5(Viola),U(Traverso 1)&U(Violin 1),P8(Timpani)&U(Traverso 2)&U(Violin 2)&P5(Viola),U(Traverso 1)&U(Oboe 1),P8(Timpani)&U(Traverso 2)&U(Oboe 2)&P5(Viola),P5(Timpani)&P5(Traverso 2)&P5(Oboe 2)&P5(Violin 2),P5(Soprano 2)&P5(Tenor),P5(Soprano 1)&P8(Tenor),,P5(Soprano 1)&P8(Soprano 2),,
589.0,591.0,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Oboe 2),U(Main)&U(Violin 1),U(Traverso 2),U(Main)&U(Oboe 1),,,P5(Tenor)&P5(Bass),,,P5(Soprano 1)&U(Bass),P5(Soprano 1)&U(Tenor),
591.0,593.0,Main Part,,,P3(Violin 2)&P8(Viola),U(Oboe 1)&U(Violin 1),U(Oboe 2),U(Traverso 1)&U(Violin 1),U(Traverso 2),U(Traverso 1)&U(Oboe 1),P3(Timpani)&P3(Viola),P8(Timpani)&P3(Violin 2),P8(Soprano 2)&P5(Alto)&P5(Bass),P8(Soprano 1)&P5(Alto)&P5(Bass),P5(Soprano 1)&P5(Soprano 2)&P8(Bass),,P5(Soprano 1)&P5(Soprano 2)&P8(Alto),
593.0,595.0,P3(Tromba 2)&P5(Tromba 3),P3(Tromba 1)&P3(Tromba 3),P5(Tromba 1)&P3(Tromba 2),,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,P5(Alto)&P8(Tenor),P5(Soprano 2)&P5(Tenor),P8(Soprano 2)&P5(Alto),,
595.0,597.0,Main Part,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,P3(Soprano 2)&P3(Alto)&P3(Tenor)&P3(Bass),P3(Soprano 1)&P5(Alto)&P8(Tenor),P3(Soprano 1)&P5(Soprano 2)&P5(Tenor),P3(Soprano 1)&P8(Soprano 2)&P5(Alto),P3(Soprano 1),
597.0,599.0,P5(Tromba 2)&P3(Tromba 3),P5(Tromba 1)&P3(Tromba 3),P3(Tromba 1)&P3(Tromba 2),,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,P3(Tenor)&P3(Bass),,,P3(Soprano 1),P3(Soprano 1),
599.0,620.0,Main Part,,,,U(Main)&U(Oboe 1)&U(Violin 1),,U(Main)&U(Traverso 1)&U(Violin 1),U(Violin 2),U(Main)&U(Traverso 1)&U(Oboe 1),U(Oboe 2),,,,,,,
620.0,633.0,Main Part,,,,P8(Main)&U(Oboe 1)&U(Violin 1),,P8(Main)&U(Traverso 1)&U(Violin 1),U(Violin 2),P8(Main)&U(Traverso 1)&U(Oboe 1),U(Oboe 2),,,,,,,
633.0,650.0,,,,,Main Part,,U(Violin 1),U(Violin 2),U(Oboe 1),U(Oboe 2),,,,,,,
650.0,654.0,,,,,,,,,,,,,,,Main Part,,
654.0,658.0,,,,,,,,,,,,,,Main Part,,,
658.0,662.0,,,,,,,,,,,,,Main Part,,,,
662.0,666.0,,,,,P3(Traverso 2),P3(Traverso 1),,,,,,,,,,Main Part,
666.0,684.0,,,,,,,U(Violin 1),U(Violin 2),U(Oboe 1),U(Oboe 2),,Main Part,,,,,
684.0,692.0,,,,,,,U(Violin 1),U(Violin 2),U(Oboe 1),U(Oboe 2),,,,,Main Part,,
692.0,700.0,,,,,,,U(Violin 1),U(Violin 2),U(Oboe 1),U(Oboe 2),,,,Main Part,,,
700.0,708.0,,,,,,,U(Violin 1),,U(Oboe 1),,,Main Part,,,,,
708.0,712.0,,,,,P3(Traverso 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Violin 1)&P3(Violin 2)&P4(Viola),P3(Traverso 1)&P3(Oboe 1)&P3(Oboe 2)&P3(Violin 1)&P8(Violin 2)&P6(Viola),P8(Traverso 1)&P3(Traverso 2)&U(Oboe 2)&U(Violin 1)&P3(Violin 2)&P4(Viola),P8(Traverso 1)&P3(Traverso 2)&U(Oboe 1)&U(Violin 1)&P3(Violin 2)&P4(Viola),P8(Traverso 1)&P3(Traverso 2)&U(Oboe 1)&U(Oboe 2)&P3(Violin 2)&P4(Viola),P3(Traverso 1)&P8(Traverso 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Violin 1)&P6(Viola),P4(Traverso 1)&P6(Traverso 2)&P4(Oboe 1)&P4(Oboe 2)&P4(Violin 1)&P6(Violin 2),,Main Part,,,,
712.0,713.0,,,,P8(Tenor)&U(Bass),U(Oboe 1)&U(Violin 1)&P5(Violin 2)&P3(Viola),,U(Traverso 1)&U(Violin 1)&P5(Violin 2)&P3(Viola),,U(Traverso 1)&U(Oboe 1)&P5(Violin 2)&P3(Viola),P5(Traverso 1)&P5(Oboe 1)&P5(Violin 1)&P3(Viola),P3(Traverso 1)&P3(Oboe 1)&P3(Violin 1)&P3(Violin 2),,,Main Part,P8(Timpani)&P8(Bass),U(Timpani)&P8(Tenor),
713.0,715.0,,,,,Main Part,,U(Main)&U(Violin 1)&U(Soprano 2),,U(Main)&U(Oboe 1)&U(Soprano 2),,,P5(Alto),U(Main)&U(Oboe 1)&U(Violin 1),P5(Soprano 1),,,
715.0,717.0,Main Part,,,P8(Traverso 2)&P8(Oboe 2)&P8(Violin 2)&P5(Viola),U(Oboe 1)&U(Violin 1),P8(Timpani)&U(Oboe 2)&U(Violin 2)&P5(Viola),U(Traverso 1)&U(Violin 1),P8(Timpani)&U(Traverso 2)&U(Violin 2)&P5(Viola),U(Traverso 1)&U(Oboe 1),P8(Timpani)&U(Traverso 2)&U(Oboe 2)&P5(Viola),P5(Timpani)&P5(Traverso 2)&P5(Oboe 2)&P5(Violin 2),,,P8(Tenor),P8(Alto),,
717.0,719.0,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Oboe 2),U(Main)&U(Violin 1),U(Traverso 2),U(Main)&U(Oboe 1),,,P8(Tenor),,,P8(Soprano 1),,
719.0,721.0,Main Part,,,P3(Violin 2)&P8(Viola),U(Oboe 1)&U(Violin 1),U(Oboe 2),U(Traverso 1)&U(Violin 1),U(Traverso 2),U(Traverso 1)&U(Oboe 1),P3(Timpani)&P3(Viola),P8(Timpani)&P3(Violin 2),U(Soprano 2)&P5(Alto)&P8(Bass),U(Soprano 1)&P5(Alto)&P8(Bass),P5(Soprano 1)&P5(Soprano 2)&P5(Bass),,P8(Soprano 1)&P8(Soprano 2)&P5(Alto),
721.0,723.0,P3(Tromba 2)&P5(Tromba 3),P3(Tromba 1)&P3(Tromba 3),P5(Tromba 1)&P3(Tromba 2),,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,P5(Tenor)&P8(Bass),,P5(Soprano 2)&P5(Bass),P8(Soprano 2)&P5(Tenor),
723.0,725.0,Main Part,,,,U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,P5(Soprano 2),P5(Soprano 1),,,,
725.0,727.0,P5(Tromba 2)&P3(Tromba 3),P5(Tromba 1)&P3(Tromba 3),P3(Tromba 1)&P3(Tromba 2),,Main Part,U(Oboe 2)&U(Violin 2),U(Main)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Main)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,P3(Tenor)&P5(Bass),P3(Alto)&P3(Bass),P5(Alto)&P3(Tenor),
727.0,742.0,Main Part,,,,U(Main)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Main)&U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Main)&U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,,,,,
742.0,750.0,U(Traverso 1)&U(Oboe 1)&U(Violin 1),,,U(Bass),U(Tromba 1)&U(Oboe 1)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Tromba 1)&U(Traverso 1)&U(Violin 1),U(Traverso 2)&U(Violin 2),U(Tromba 1)&U(Traverso 1)&U(Oboe 1),U(Traverso 2)&U(Oboe 2),,,P5(Tenor),Main Part,P5(Soprano 2),U(Timpani),
750.0,758.0,,,,,,,,,,,,Main Part,,,,,
758.0,766.0,,,,,,,,,,,,,,,Main Part,,
766.0,768.0,,,,,,,,,,,,,Main Part,,,P8(Continuo),P8(Bass)
768.0,778.0,P4(Tromba 2)&P4(Tromba 3)&P4(Timpani),P4(Tromba 1)&U(Tromba 3)&P8(Timpani),P4(Tromba 1)&U(Tromba 2)&P8(Timpani),P4(Tromba 1)&P8(Tromba 2)&P8(Tromba 3),U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2)&P4(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2)&P4(Viola),P4(Oboe 2)&P4(Violin 2),,,,,Main Part,
778.0,793.0,Main Part,,,,U(Main),U(Oboe 1),U(Traverso 2),U(Violin 2),,U(Oboe 2),,,,,,,
793.0,812.0,,P4(Tromba 3),P4(Tromba 2),,Main Part,,,,,,,P6(Soprano 2)&P3(Alto)&P6(Tenor)&P6(Bass),P6(Soprano 1)&P4(Alto)&P8(Tenor)&P8(Bass),P3(Soprano 1)&P4(Soprano 2)&P4(Tenor)&P4(Bass),P6(Soprano 1)&P8(Soprano 2)&P4(Alto)&P8(Bass),P6(Soprano 1)&P8(Soprano 2)&P4(Alto)&P8(Tenor),
812.0,817.0,Main Part,,,P8(Continuo),U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,P8(Timpani)
817.0,826.0,,P4(Tromba 3),P4(Tromba 2),,Main Part,,U(Violin 1),U(Violin 2),U(Oboe 1),U(Oboe 2),,,,,,,
826.0,830.0,,,,,,,,,,,,,,Main Part,,,
830.0,834.0,,,,,,,,,,,,,,,Main Part,,
834.0,838.0,,,,,,,,,,,,,,,,Main Part,
838.0,842.0,,,,,P3(Traverso 2),P3(Traverso 1),,,,,,,Main Part,,,U(Continuo),U(Bass)
842.0,857.0,,,,,P3(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&U(Violin 1)&P3(Violin 2)&P4(Viola),P3(Traverso 1)&P3(Oboe 1)&U(Oboe 2)&P3(Violin 1)&U(Violin 2)&P6(Viola),U(Traverso 1)&P3(Traverso 2)&P3(Oboe 2)&U(Violin 1)&P3(Violin 2)&P4(Viola),P3(Traverso 1)&U(Traverso 2)&P3(Oboe 1)&P3(Violin 1)&U(Violin 2)&P6(Viola),U(Traverso 1)&P3(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&P3(Violin 2)&P4(Viola),P3(Traverso 1)&U(Traverso 2)&P3(Oboe 1)&U(Oboe 2)&P3(Violin 1)&P6(Viola),P4(Traverso 1)&P6(Traverso 2)&P4(Oboe 1)&P6(Oboe 2)&P4(Violin 1)&P6(Violin 2),Main Part,,,,,
857.0,861.0,,,,,Main Part,,U(Violin 1),,U(Oboe 1),,,P4(Tenor),,,P4(Soprano 1),,
861.0,869.0,,,,,,,U(Violin 1),,U(Oboe 1),,,,Main Part,,,,
869.0,877.0,,,,,,,,,,,,Main Part,,,,,
877.0,890.0,,,,,,,,,,,,,,,,Main Part,
890.0,892.0,,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2)&P3(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2)&P3(Viola),P3(Oboe 2)&P3(Violin 2),Main Part,,,,,
892.0,894.0,,,,,U(Traverso 2)&U(Oboe 1)&P5(Oboe 2)&U(Violin 1)&P5(Violin 2)&P3(Viola),U(Traverso 1)&U(Oboe 1)&P5(Oboe 2)&U(Violin 1)&P5(Violin 2)&P3(Viola),U(Traverso 1)&U(Traverso 2)&P5(Oboe 2)&U(Violin 1)&P5(Violin 2)&P3(Viola),P5(Traverso 1)&P5(Traverso 2)&P5(Oboe 1)&P5(Violin 1)&U(Violin 2)&P3(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&P5(Oboe 2)&P5(Violin 2)&P3(Viola),P5(Traverso 1)&P5(Traverso 2)&P5(Oboe 1)&U(Oboe 2)&P5(Violin 1)&P3(Viola),P3(Traverso 1)&P3(Traverso 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Violin 1)&P3(Violin 2),P3(Soprano 2)&P3(Bass),P3(Soprano 1)&P8(Bass),,Main Part,P3(Soprano 1)&P8(Soprano 2),
894.0,898.0,,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,Main Part,,,
898.0,900.0,,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2)&P3(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2)&P3(Viola),P3(Oboe 2)&P3(Violin 2),Main Part,,,,,
900.0,902.0,,,,,U(Traverso 2)&U(Oboe 1)&P5(Oboe 2)&U(Violin 1)&P5(Violin 2)&P3(Viola),U(Traverso 1)&U(Oboe 1)&P5(Oboe 2)&U(Violin 1)&P5(Violin 2)&P3(Viola),U(Traverso 1)&U(Traverso 2)&P5(Oboe 2)&U(Violin 1)&P5(Violin 2)&P3(Viola),P5(Traverso 1)&P5(Traverso 2)&P5(Oboe 1)&P5(Violin 1)&U(Violin 2)&P3(Viola),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&P5(Oboe 2)&P5(Violin 2)&P3(Viola),P5(Traverso 1)&P5(Traverso 2)&P5(Oboe 1)&U(Oboe 2)&P5(Violin 1)&P3(Viola),P3(Traverso 1)&P3(Traverso 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Violin 1)&P3(Violin 2),P6(Soprano 2)&P6(Bass),P6(Soprano 1)&P8(Bass),,Main Part,P6(Soprano 1)&P8(Soprano 2),
902.0,905.0,,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1)&P3(Viola),U(Traverso 1)&U(Oboe 1)&U(Violin 1)&P3(Viola),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&P3(Viola),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&P3(Viola),U(Oboe 2),P3(Traverso 1)&P3(Traverso 2)&P3(Oboe 1)&P3(Violin 1),,P8(Tenor),Main Part,P8(Soprano 2),,
905.0,921.0,,U(Tromba 3),U(Tromba 2),,U(Oboe 1)&U(Violin 1),,U(Traverso 1)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Oboe 1),U(Oboe 2),,Main Part,,,,P8(Continuo),P8(Bass)
921.0,930.0,Main Part,,,,U(Main)&U(Oboe 1)&U(Violin 1),,U(Main)&U(Traverso 1)&U(Violin 1),U(Violin 2),U(Main)&U(Traverso 1)&U(Oboe 1),U(Oboe 2),,,,,,,
930.0,938.0,,,,,,,,,,U(Alto),U(Main),,,U(Violin 2),Main Part,,
938.0,946.0,,,,,P6(Traverso 2)&U(Oboe 1)&P6(Oboe 2)&U(Violin 1)&U(Soprano 1)&P6(Soprano 2),P6(Traverso 1)&P6(Oboe 1)&U(Oboe 2)&P6(Violin 1)&P6(Soprano 1)&U(Soprano 2),U(Traverso 1)&P6(Traverso 2)&P6(Oboe 2)&U(Violin 1)&U(Soprano 1)&P6(Soprano 2),P6(Traverso 1)&U(Traverso 2)&P6(Oboe 1)&P6(Violin 1)&P6(Soprano 1)&U(Soprano 2),U(Traverso 1)&P6(Traverso 2)&U(Oboe 1)&P6(Oboe 2)&U(Soprano 1)&P6(Soprano 2),U(Main),U(Tenor),U(Traverso 1)&P6(Traverso 2)&U(Oboe 1)&P6(Oboe 2)&U(Violin 1)&P6(Soprano 2),P6(Traverso 1)&U(Traverso 2)&P6(Oboe 1)&U(Oboe 2)&P6(Violin 1)&P6(Soprano 1),Main Part,U(Viola),,
946.0,954.0,,,,,U(Oboe 1)&U(Violin 1)&U(Main),U(Oboe 2)&U(Soprano 2),U(Traverso 1)&U(Violin 1)&U(Main),U(Traverso 2)&U(Soprano 2),U(Traverso 1)&U(Oboe 1)&U(Main),U(Alto),U(Tenor),Main Part,U(Traverso 2)&U(Oboe 2),U(Violin 2),U(Viola),,
954.0,962.0,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano 1),P8(Viola)&P8(Main),U(Traverso 1)&U(Violin 1)&U(Soprano 1),,U(Traverso 1)&U(Oboe 1)&U(Soprano 1),,P8(Traverso 2)&U(Main),U(Traverso 1)&U(Oboe 1)&U(Violin 1),,,Main Part,,
962.0,970.0,P4(Tromba 2)&P8(Alto),P4(Tromba 1)&P4(Alto),,,U(Oboe 1)&U(Violin 1)&U(Soprano 1),P8(Viola)&P8(Tenor),U(Traverso 1)&U(Violin 1)&U(Soprano 1),U(Soprano 2),U(Traverso 1)&U(Oboe 1)&U(Soprano 1),,P8(Traverso 2)&U(Tenor),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Oboe 2),P8(Tromba 1)&P4(Tromba 2),P8(Traverso 2)&U(Viola),Main Part,U(Main)
970.0,976.0,Main Part,,,,U(Oboe 1)&U(Violin 1)&U(Soprano 1),P8(Viola)&P8(Tenor),U(Traverso 1)&U(Violin 1)&U(Soprano 1),U(Soprano 2),U(Traverso 1)&U(Oboe 1)&U(Soprano 1),P8(Main)&U(Alto),P8(Traverso 2)&U(Tenor),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Oboe 2),P8(Main)&U(Violin 2),P8(Traverso 2)&U(Viola),U(Continuo),U(Bass)
976.0,978.0,P3(Tromba 2)&P3(Tenor),P3(Tromba 1)&P3(Oboe 2)&P3(Soprano 2)&P8(Tenor),P8(Timpani),P8(Tromba 3),U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Soprano 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1)&U(Soprano 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano 1),P3(Tromba 2)&U(Soprano 2)&P3(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Soprano 1),,P3(Main)&P3(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1),P3(Tromba 2)&U(Oboe 2)&P3(Tenor),,P3(Tromba 1)&P8(Tromba 2)&P3(Oboe 2)&P3(Soprano 2),Main Part,P3(Viola)&U(Main)
978.0,992.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Main),U(Oboe 2),,Main Part,,,,U(Continuo),U(Bass)
992.5,1000.0,Main Part,P3(Main),,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Soprano 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),,,,U(Oboe 2),,,,
