qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
61.0,64.0,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main)&U(Soprano 2),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main)&U(Soprano 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1)&U(Main)&U(Soprano 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Main)&U(Soprano 2),U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Main)&U(Soprano 2),,U(Tenor),Main Part,U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main),,U(Viola),,U(Bassoon)
64.0,67.0,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main)&U(Soprano 2),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main)&U(Soprano 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1)&U(Main)&U(Soprano 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Main)&U(Soprano 2),U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Main)&U(Soprano 2),,U(Tenor),Main Part,U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main),,U(Viola),,U(Bassoon)
67.0,70.0,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main)&U(Soprano 2),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main)&U(Soprano 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1)&U(Main)&U(Soprano 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Main)&U(Soprano 2),U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Main)&U(Soprano 2),,U(Tenor),Main Part,U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main),,U(Viola),,U(Bassoon)
70.0,72.5,,P4(Tromba 3)&P4(Timpani),P4(Tromba 2)&P8(Timpani),P4(Tromba 2)&P8(Tromba 3),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),P8(Bass)&U(Continuo),,,,Main Part,,,,P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
72.5,75.5,Main Part,P4(Tromba 3),P4(Tromba 2),,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),U(Violin 2),U(Violin 1),,P6(Soprano 2)&P3(Alto)&P6(Tenor)&P6(Bass),P6(Soprano 1)&P4(Alto)&P8(Tenor)&P8(Bass),P3(Soprano 1)&P4(Soprano 2)&P4(Tenor)&P4(Bass),P6(Soprano 1)&P8(Soprano 2)&P4(Alto)&U(Bass),P6(Soprano 1)&P8(Soprano 2)&P4(Alto)&U(Tenor),U(Bassoon)
75.5,78.5,Main Part,P4(Tromba 3)&P8(Timpani),P4(Tromba 2)&P4(Timpani),P8(Tromba 2)&P4(Tromba 3),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),U(Violin 2),U(Violin 1),,P6(Soprano 2)&P3(Alto)&P6(Tenor),P6(Soprano 1)&P4(Alto)&P8(Tenor),P3(Soprano 1)&P4(Soprano 2)&P4(Tenor),P6(Soprano 1)&P8(Soprano 2)&P4(Alto),,U(Bassoon)
78.5,81.5,Main Part,P4(Tromba 3)&P4(Timpani),P4(Tromba 2)&P8(Timpani),P4(Tromba 2)&P8(Tromba 3),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),P8(Bass)&U(Continuo),U(Violin 2),U(Violin 1),,P6(Soprano 2)&P3(Alto)&P6(Tenor),P6(Soprano 1)&P4(Alto)&P8(Tenor),P3(Soprano 1)&P4(Soprano 2)&P4(Tenor),P6(Soprano 1)&P8(Soprano 2)&P4(Alto),P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
81.5,84.5,Main Part,P4(Tromba 3)&P4(Timpani),P4(Tromba 2)&P8(Timpani),P4(Tromba 2)&P8(Tromba 3),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),P3(Soprano 1)&P4(Soprano 2)&P4(Tenor)&P8(Bass)&U(Continuo),U(Violin 2),U(Violin 1),,P3(Bassoon)&P6(Soprano 2)&P6(Tenor)&P3(Bass)&P3(Continuo),P4(Bassoon)&P6(Soprano 1)&P8(Tenor)&P4(Bass)&P4(Continuo),,P4(Bassoon)&P6(Soprano 1)&P8(Soprano 2)&P4(Bass)&P4(Continuo),P8(Bassoon)&P3(Soprano 1)&P4(Soprano 2)&P4(Tenor)&P8(Continuo),U(Bassoon)&P3(Soprano 1)&P4(Soprano 2)&P4(Tenor)&P8(Bass)
84.5,87.5,Main Part,P3(Tromba 3)&P4(Timpani),P3(Tromba 2)&P2(Timpani),P4(Tromba 2)&P2(Tromba 3),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),P2(Alto)&P8(Bass)&U(Continuo),U(Violin 2),U(Violin 1),,,,P2(Bassoon)&P2(Bass)&P2(Continuo),,P8(Bassoon)&P2(Alto)&P8(Continuo),U(Bassoon)&P2(Alto)&P8(Bass)
87.5,89.5,Main Part,P3(Tromba 3)&P4(Timpani),P3(Tromba 2)&P2(Timpani),P4(Tromba 2)&P2(Tromba 3),P3(Traverso 2)&U(Oboe 1)&P3(Oboe 2),P3(Traverso 1)&P3(Oboe 1)&U(Oboe 2),U(Traverso 1)&P3(Traverso 2)&P3(Oboe 2),P3(Traverso 1)&U(Traverso 2)&P3(Oboe 1),U(Continuo),U(Violin 2),U(Violin 1),,P3(Soprano 2),P3(Soprano 1),P2(Bass),,P2(Alto),U(Bassoon)
89.5,105.0,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Continuo),,,,Main Part,,,,,U(Bassoon)
105.0,106.5,P8(Main),,P8(Timpani),P8(Tromba 3),U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Alto),U(Tenor),,Main Part,U(Violin 2),U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
106.5,109.5,P8(Soprano 2),,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Main),P8(Bass),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Main),,,Main Part,P8(Tromba 1),,,P8(Bassoon),
109.5,124.5,,,,,,,,,,,,,,,,Main Part,,
124.5,145.5,,,,,,,,,,,,,,,Main Part,,,
145.5,147.5,,,,,,,,,,,,,Main Part,,,,,
147.5,159.5,,,,,,,,,,,,,,,,Main Part,,
159.5,160.5,,,,,,,,,,,,,,Main Part,,,,
160.5,162.5,,,,,,,,,,,,,,,,,Main Part,
162.5,170.0,,,,,,,,,,,,,,,Main Part,,,
170.0,175.25,,,,,,,,,,,,,,Main Part,,,,
175.25,176.25,,,,,,,,,,,,,,Main Part,,,,
176.25,183.5,,,,,,,,,,,,,,,,,Main Part,
183.5,189.5,,,,,P3(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&P4(Violin 1)&P4(Violin 2)&P4(Viola),P3(Traverso 1)&P3(Oboe 1)&U(Oboe 2)&P6(Violin 1)&P6(Violin 2)&P6(Viola),U(Traverso 1)&P3(Traverso 2)&P3(Oboe 2)&P4(Violin 1)&P4(Violin 2)&P4(Viola),P3(Traverso 1)&U(Traverso 2)&P3(Oboe 1)&P6(Violin 1)&P6(Violin 2)&P6(Viola),,P4(Traverso 1)&P6(Traverso 2)&P4(Oboe 1)&P6(Oboe 2)&U(Violin 2)&U(Viola),P4(Traverso 1)&P6(Traverso 2)&P4(Oboe 1)&P6(Oboe 2)&U(Violin 1)&U(Viola),P4(Traverso 1)&P6(Traverso 2)&P4(Oboe 1)&P6(Oboe 2)&U(Violin 1)&U(Violin 2),Main Part,,,,,
189.5,195.5,,,,,Main Part,U(Oboe 2),U(Main),U(Traverso 2),U(Continuo),,,,U(Soprano 2)&P4(Alto)&P6(Tenor)&P8(Bass),U(Soprano 1)&P4(Alto)&P6(Tenor)&P8(Bass),P4(Soprano 1)&P4(Soprano 2)&P3(Tenor)&P4(Bass),P6(Soprano 1)&P6(Soprano 2)&P3(Alto)&P6(Bass),P8(Soprano 1)&P8(Soprano 2)&P4(Alto)&P6(Tenor),U(Bassoon)
195.5,198.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),Main Part,,,,,,,,U(Bassoon)
198.5,201.0,,,,,Main Part,U(Oboe 2),U(Main),U(Traverso 2),U(Continuo),,,,P6(Soprano 2)&P3(Alto)&P6(Tenor)&P6(Bass),P6(Soprano 1)&P4(Alto)&P8(Tenor)&P8(Bass),P3(Soprano 1)&P4(Soprano 2)&P4(Tenor)&P4(Bass),P6(Soprano 1)&P8(Soprano 2)&P4(Alto)&U(Bass),P6(Soprano 1)&P8(Soprano 2)&P4(Alto)&U(Tenor),U(Bassoon)
201.0,204.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),P6(Violin 2),P6(Violin 1),,Main Part,P8(Tenor),P3(Main),P8(Soprano 2),,U(Bassoon)
204.5,208.5,P6(Tromba 2),P6(Tromba 1),P4(Timpani),P4(Tromba 3),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,Main Part,,,,,U(Bassoon)
208.5,211.5,P6(Tromba 2),P6(Tromba 1),P3(Timpani),P3(Tromba 3),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),Main Part,,,,,,,,U(Bassoon)
211.5,214.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),Main Part,,,P2(Soprano 2)&P4(Alto)&P4(Tenor)&P5(Bass),P2(Soprano 1)&P3(Alto)&P3(Tenor)&P4(Bass),P4(Soprano 1)&P3(Soprano 2)&P8(Tenor)&P2(Bass),P4(Soprano 1)&P3(Soprano 2)&P8(Alto)&P2(Bass),P5(Soprano 1)&P4(Soprano 2)&P2(Alto)&P2(Tenor),U(Bassoon)
214.5,216.5,,,,,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2),U(Main)&U(Traverso 2)&U(Oboe 2),U(Main)&U(Traverso 2)&U(Oboe 1),U(Continuo),,,,,P3(Alto),P3(Soprano 2),,,U(Bassoon)
216.5,220.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,Main Part,,,,,U(Bassoon)
220.5,225.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),U(Violin 2),U(Violin 1),,Main Part,,,,,U(Bassoon)
225.5,228.5,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Oboe 2),U(Main),U(Traverso 2),P8(Bass)&U(Continuo),U(Violin 2),U(Violin 1),,P4(Soprano 2)&P3(Alto)&P8(Tenor),P4(Soprano 1)&P6(Alto)&P4(Tenor),P3(Soprano 1)&P6(Soprano 2)&P3(Tenor),P8(Soprano 1)&P4(Soprano 2)&P3(Alto),P8(Bassoon)&P8(Continuo),U(Bassoon)&P8(Bass)
228.5,231.5,P3(Tromba 2),P3(Tromba 1),,,Main Part,U(Oboe 2),U(Main),U(Traverso 2),P4(Soprano 1)&P6(Alto)&P8(Bass)&P8(Continuo),U(Violin 2),U(Violin 1),,P4(Bassoon)&P3(Alto)&P4(Bass)&P4(Continuo),,P6(Bassoon)&P3(Soprano 1)&P6(Bass)&P6(Continuo),,P8(Bassoon)&P4(Soprano 1)&P6(Alto)&P8(Continuo),P8(Bassoon)&P4(Soprano 1)&P6(Alto)&P8(Bass)
231.5,234.5,,,,,Main Part,U(Oboe 2),U(Main),U(Traverso 2),P3(Tenor)&P8(Bass)&P8(Continuo),U(Violin 2),U(Violin 1),,,,,P3(Bassoon)&P3(Bass)&P3(Continuo),P8(Bassoon)&P3(Tenor)&P8(Continuo),P8(Bassoon)&P3(Tenor)&P8(Bass)
234.5,236.5,,,,,Main Part,U(Oboe 2),U(Main),U(Traverso 2),U(Continuo),U(Violin 2),U(Violin 1),,,,P3(Bass),,P3(Alto),U(Bassoon)
236.5,238.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Bass)&U(Continuo),,U(Viola),U(Violin 2),,Main Part,,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
238.5,252.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Main),U(Bass),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Main),U(Viola),U(Violin 2),Main Part,,,,U(Bassoon),
252.5,253.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1),,U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Alto),,,Main Part,U(Violin 2),,,
253.5,254.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1),,U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Main),,,,Main Part,,,
254.5,255.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1),,U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Alto),,,,U(Violin 2),,Main Part,U(Main)
255.5,258.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Soprano 1),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Soprano 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1)&U(Soprano 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Soprano 1),,U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Soprano 1),U(Alto),,U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),,U(Violin 2),Main Part,,
258.5,259.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Soprano 1),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1)&U(Soprano 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1)&U(Soprano 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1)&U(Soprano 1),,U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Soprano 1),U(Alto),,U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),Main Part,U(Violin 2),,,
259.5,267.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Violin 1),,U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Alto),,,,U(Violin 2),,Main Part,
267.5,268.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),,U(Main),,U(Tenor),P2(Bass),Main Part,,U(Viola),P2(Soprano 1),
268.5,269.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),,U(Soprano 2),,U(Main),,U(Violin 1),,Main Part,,
269.5,270.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),,U(Soprano 2),,U(Tenor),,U(Violin 1),,U(Viola),Main Part,
270.5,271.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2)&U(Main),U(Traverso 1)&U(Oboe 1)&U(Oboe 2)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe 2)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&U(Main),,,U(Alto),U(Tenor),Main Part,,U(Violin 2),U(Viola),,
271.5,282.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),,,,U(Tenor),,Main Part,,U(Viola),,
282.5,283.5,,,,,U(Oboe 1),U(Oboe 2)&U(Violin 2)&U(Main),U(Traverso 1),U(Traverso 2)&U(Violin 2)&U(Main),,,U(Traverso 2)&U(Oboe 2)&U(Main),,Main Part,,,,,
283.5,284.5,,,,,U(Oboe 1)&U(Violin 1)&U(Main),U(Oboe 2)&U(Violin 2)&U(Soprano 1),U(Traverso 1)&U(Violin 1)&U(Main),U(Traverso 2)&U(Violin 2)&U(Soprano 1),,U(Traverso 1)&U(Oboe 1)&U(Main),U(Traverso 2)&U(Oboe 2)&U(Soprano 1),,U(Traverso 2)&U(Oboe 2)&U(Violin 2),Main Part,,,,
284.5,285.5,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano 2),U(Oboe 2)&P8(Violin 2)&U(Soprano 1),U(Traverso 1)&U(Violin 1)&U(Soprano 2),U(Traverso 2)&P8(Violin 2)&U(Soprano 1),,U(Traverso 1)&U(Oboe 1)&U(Soprano 2),P8(Traverso 2)&P8(Oboe 2)&P8(Soprano 1),,U(Traverso 2)&U(Oboe 2)&P8(Violin 2),U(Traverso 1)&U(Oboe 1)&U(Violin 1),,,Main Part,U(Main)
285.5,286.5,,,,,U(Oboe 1)&U(Violin 1)&U(Soprano 2),U(Oboe 2)&U(Soprano 1),U(Traverso 1)&U(Violin 1)&U(Soprano 2),U(Traverso 2)&U(Soprano 1),,U(Traverso 1)&U(Oboe 1)&U(Soprano 2),U(Main),U(Tenor),U(Traverso 2)&U(Oboe 2),U(Traverso 1)&U(Oboe 1)&U(Violin 1),Main Part,U(Viola),U(Continuo),U(Bass)
