qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
6.75,3.6818,3,1.75,G5,E5,A4,A2,D5,r,D5,r,C#3,A3,A3,A3,A4,A4,C#4,E4,A3,C#3
7.0,3.8182,3,2.0,r,r,r,r,C#5,r,C#5,r,r,A3,A3,A3,E5,r,G4,r,r,r
7.25,3.9545,3,2.25,r,r,r,r,B4,r,B4,r,r,A3,A3,A3,E5,r,G4,r,r,r
7.5,4.0909,3,2.5,r,r,r,r,A4,r,A4,r,r,A3,A3,A3,C#5,r,E4,r,r,r
7.75,4.2273,3,2.75,r,r,r,r,G#4,r,G#4,r,r,A3,A3,A3,C#5,r,E4,r,r,r
8.0,4.3636,3,3.0,r,r,r,r,A4,r,A4,r,r,A3,A3,A3,D5,r,F#4,r,r,r
8.25,4.5,3,3.25,r,r,r,r,B4,r,B4,r,r,A3,A3,A3,D5,r,F#4,r,r,r
8.5,4.6364,3,3.5,r,r,r,r,C#5,r,C#5,r,r,A3,A3,A3,E5,r,G4,r,r,r
8.75,4.7727,3,3.75,r,r,r,r,D5,r,D5,r,r,A3,A3,A3,F#5,r,A4,r,r,r
9.0,4.9091,4,1.0,r,r,r,r,C#5,r,C#5,r,r,A3,A3,A3,E5,r,G4,r,r,r
9.5,5.1818,4,1.5,G5,E5,A4,A2,r,r,r,r,A3,C#6,G5,E5,A4,C#5,G4,E4,A2,A3
9.75,5.3182,4,1.75,G5,E5,A4,A2,r,r,r,r,A3,G5,E5,C#5,A4,C#5,G4,E4,A2,A3
10.0,5.4545,4,2.0,C#6,G5,E5,A2,r,r,r,r,A2,G5,E5,C#5,A4,C#5,G4,E4,A3,A2
10.25,5.5909,4,2.25,C#6,G5,E5,A2,r,r,r,r,A2,E5,C#5,G4,A4,C#5,G4,E4,A3,A2
10.5,5.7273,4,2.5,E6,C#6,G5,A2,A4,C#5,A4,C#5,A3,E5,C#5,G4,A4,C#5,G4,E4,A2,A3
10.75,5.8636,4,2.75,E6,C#6,G5,A2,A4,D5,A4,D5,A3,C#5,A4,E4,A4,C#5,G4,E4,B2,A3
11.0,6.0,4,3.0,G5,E5,A5,A2,E5,E5,E5,E5,A2,C#5,A4,E4,E5,C#5,G4,E4,C#3,A2
11.25,6.1364,4,3.25,G5,E5,A5,A2,E5,E5,E5,E5,A2,A4,G4,C#4,E5,C#5,G4,E4,C#3,A2
11.5,6.2727,4,3.5,F#5,D5,A4,A2,F#5,A4,F#5,A4,A3,A4,G4,C#4,F#5,D5,C#4,E4,A2,A3
11.75,6.4091,4,3.75,E5,C#5,A4,A2,G5,A4,G5,A4,A3,A4,G4,C#4,G5,E5,C#4,E4,A2,A3
12.0,6.5455,5,1.0,F#5,D5,A4,D3,F#5,A4,F#5,A4,D3,A4,F#4,A3,F#5,D5,A4,F#4,D3,D3
12.5,6.8182,5,1.5,F#5,D5,A4,D3,F#5,D5,F#5,D5,D4,A4,F#4,A3,F#5,D5,A4,F#4,D4,D4
12.75,6.9545,5,1.75,F#5,D5,A4,D3,F#5,D5,F#5,D5,A3,A4,F#4,A3,F#5,D5,A4,F#4,D4,A3
13.0,7.0909,5,2.0,F#5,D5,r,r,A5,F#5,A5,F#5,A3,r,r,r,F#5,D5,A4,F#4,A3,A3
13.25,7.2273,5,2.25,F#5,D5,r,r,A5,F#5,A5,F#5,F#3,r,r,r,F#5,D5,A4,F#4,A3,F#3
13.5,7.3636,5,2.5,F#5,D5,r,r,D6,A5,D6,A5,F#3,D5,A4,F#4,F#5,D5,A4,F#4,F#3,F#3
13.75,7.5,5,2.75,F#5,D5,r,r,D6,A5,D6,A5,D3,E5,A4,F#4,F#5,D5,A4,F#4,F#3,D3
14.0,7.6364,5,3.0,F#5,D5,r,r,A5,F#5,A5,F#5,D3,F#5,D5,A4,F#5,D5,A4,F#4,D3,D3
14.25,7.7727,5,3.25,F#5,D5,r,r,A5,F#5,A5,F#5,F#3,G5,D5,A4,F#5,D5,A4,F#4,D3,F#3
14.5,7.9091,5,3.5,F#5,D5,r,r,F#5,D5,F#5,D5,F#3,A5,D5,A4,F#5,D5,A4,F#4,F#3,F#3
14.75,8.0455,5,3.75,F#5,D5,r,r,F#5,D5,F#5,D5,D3,F#5,D5,A4,F#5,D5,A4,F#4,F#3,D3
15.0,8.1818,6,1.0,F#5,D5,D4,D3,r,r,r,r,B2,D6,F#5,B4,F#5,D5,B4,F#4,B2,B2
15.5,8.4545,6,1.5,F#5,D5,D4,D3,D5,B4,D5,B4,B3,D5,B4,F#4,F#5,D5,B4,F#4,B3,B3
15.75,8.5909,6,1.75,F#5,D5,D4,D3,D5,B4,D5,B4,F#3,D5,B4,F#4,F#5,D5,B4,F#4,B3,F#3
16.0,8.7273,6,2.0,F#5,D5,r,r,F#5,D5,F#5,D5,F#3,r,r,r,F#5,D5,B4,F#4,F#3,F#3
16.25,8.8636,6,2.25,F#5,D5,r,r,F#5,D5,F#5,D5,D3,r,r,r,F#5,D5,B4,F#4,F#3,D3
16.5,9.0,6,2.5,F#5,D5,r,r,B5,F#5,B5,F#5,D3,B4,F#4,D4,F#5,D5,B4,F#4,D3,D3
16.75,9.1364,6,2.75,F#5,D5,r,r,B5,F#5,B5,F#5,B2,C#5,F#4,D4,F#5,D5,B4,F#4,D3,B2
17.0,9.2727,6,3.0,F#5,D5,r,r,F#5,D5,F#5,D5,B2,D5,B4,F#4,F#5,D5,B4,F#4,B2,B2
17.25,9.4091,6,3.25,F#5,D5,r,r,F#5,D5,F#5,D5,D3,E5,B4,F#4,F#5,D5,B4,F#4,B2,D3
17.5,9.5455,6,3.5,F#5,D5,r,r,D5,B4,D5,B4,D3,F#5,B4,F#4,F#5,D5,B4,F#4,D3,D3
17.75,9.6818,6,3.75,F#5,D5,r,r,D5,B4,D5,B4,B2,D5,B4,F#4,F#5,D5,B4,F#4,D3,B2
18.0,9.8182,7,1.0,F#5,D5,A4,D3,A4,A4,A4,A4,F#2,A5,D5,F#4,F#5,D5,A4,F#4,F#2,F#2
18.5,10.0909,7,1.5,F#5,D5,A4,D3,A4,A4,A4,A4,F#3,A4,F#4,D4,F#5,D5,A4,F#4,F#3,F#3
18.75,10.2273,7,1.75,F#5,D5,A4,D3,A4,A4,A4,A4,D3,A4,F#4,D4,F#5,D5,A4,F#4,F#3,D3
19.0,10.3636,7,2.0,F#5,D5,r,r,A4,A4,A4,A4,D3,D5,A4,F#4,F#5,D5,A4,F#4,D3,D3
19.25,10.5,7,2.25,F#5,D5,r,r,A4,A4,A4,A4,A2,D5,A4,F#4,F#5,D5,A4,F#4,D3,A2
19.5,10.6364,7,2.5,F#5,D5,r,r,B4,B4,B4,B4,A2,F#5,D5,A4,F#5,D5,A4,F#4,A2,A2
19.75,10.7727,7,2.75,F#5,D5,r,r,C#5,C#5,C#5,C#5,F#2,F#5,D5,A4,F#5,D5,A4,F#4,A2,F#2
20.0,10.9091,7,3.0,F#5,D5,r,r,D5,D5,D5,D5,F#2,D5,A4,D5,F#5,D5,A4,F#4,F#3,F#2
20.25,11.0455,7,3.25,F#5,D5,r,r,E5,E5,E5,E5,A2,D5,A4,D5,F#5,D5,A4,F#4,F#3,A2
20.5,11.1818,7,3.5,F#5,D5,r,r,F#5,F#5,F#5,F#5,A2,A4,F#4,D4,F#5,D5,A4,F#4,D3,A2
20.75,11.3182,7,3.75,F#5,D5,r,r,D5,D5,D5,D5,F#2,A4,F#4,D4,F#5,D5,A4,F#4,D3,F#2
21.0,11.4545,8,1.0,E5,D5,r,r,B4,B4,B4,B4,G#2,r,r,r,E5,D5,B4,B3,G#3,G#2
21.5,11.7273,8,1.5,E5,D5,r,r,B4,B4,B4,B4,G#3,B4,E4,B3,E5,D5,B4,E4,G#3,G#3
21.75,11.8636,8,1.75,E5,D5,r,r,B4,B4,B4,B4,E3,B4,E4,B3,E5,D5,B4,E4,G#3,E3
22.0,12.0,8,2.0,E5,D5,r,r,B4,B4,B4,B4,E3,D5,B4,E4,E5,D5,B4,G#4,G#3,E3
22.25,12.1364,8,2.25,E5,D5,r,r,A4,A4,A4,A4,B2,D5,B4,E4,E5,D5,B4,G#4,G#3,B2
22.5,12.2727,8,2.5,E5,D5,r,r,G#4,G#4,G#4,G#4,B2,E5,B4,G#4,E5,D5,B4,E4,G#3,B2
22.75,12.4091,8,2.75,E5,D5,r,r,A4,A4,A4,A4,G#2,E5,B4,G#4,E5,D5,B4,E4,G#3,G#2
23.0,12.5455,8,3.0,E5,D5,r,r,B4,B4,B4,B4,G#2,D5,B4,E4,E5,D5,B4,B3,G#3,G#2
23.25,12.6818,8,3.25,E5,D5,r,r,C#5,C#5,C#5,C#5,B2,D5,B4,E4,E5,D5,B4,B3,G#3,B2
23.5,12.8182,8,3.5,E5,D5,r,r,D5,D5,D5,D5,B2,B4,E4,G#4,E5,D5,B4,E4,G#3,B2
23.75,12.9545,8,3.75,E5,D5,r,r,B4,B4,B4,B4,G#2,B4,E4,G#4,E5,D5,B4,E4,G#3,G#2
24.0,13.0909,9,1.0,E5,A4,r,A2,C#5,C#5,C#5,C#5,A2,A4,E4,C#4,E5,C#5,A4,E4,A3,A2
24.25,13.2273,9,1.25,E5,A4,r,A2,C#5,C#5,C#5,C#5,A2,G#4,E4,C#4,E5,C#5,A4,E4,A3,A2
24.5,13.3636,9,1.5,A4,A4,A4,A2,r,r,r,r,A2,A4,r,r,A4,r,A4,C#4,E3,A2
24.75,13.5,9,1.75,A4,A4,A4,A2,r,r,r,r,A2,B4,r,r,A4,r,A4,C#4,E3,A2
25.0,13.6364,9,2.0,A4,A4,A4,r,r,r,r,r,r,C#5,r,r,E5,r,r,r,C#4,r
25.25,13.7727,9,2.25,A4,A4,A4,r,r,r,r,r,r,D5,r,r,E5,r,r,r,C#4,r
25.5,13.9091,9,2.5,A4,A4,A4,r,r,r,r,r,r,E5,r,r,C#5,r,r,r,A3,r
25.75,14.0455,9,2.75,A4,A4,A4,r,r,r,r,r,r,F#5,r,r,C#5,r,r,r,A3,r
26.0,14.1818,9,3.0,A4,A4,A4,r,r,r,r,r,r,G#5,r,r,D5,r,r,r,B3,r
26.25,14.3182,9,3.25,A4,A4,A4,r,r,r,r,r,r,B5,r,r,D5,r,r,r,B3,r
26.5,14.4545,9,3.5,A4,A4,A4,r,r,r,r,r,r,A5,r,r,E5,r,r,r,C#4,r
26.75,14.5909,9,3.75,A4,A4,A4,r,r,r,r,r,r,G#5,r,r,F#5,r,r,r,D4,r
27.0,14.7273,10,1.0,A4,A4,A4,r,r,r,r,r,r,A5,r,r,E5,r,r,r,C#4,r
27.5,15.0,10,1.5,r,r,r,r,C#5,A4,C#5,A4,A3,A5,E5,C#5,C#5,r,E4,r,A3,A3
27.75,15.1364,10,1.75,r,r,r,r,C#5,A4,C#5,A4,A3,E5,C#5,A4,C#5,r,E4,r,A3,A3
28.0,15.2727,10,2.0,r,r,r,r,E5,C#5,E5,C#5,A2,E5,C#5,A4,C#5,r,E4,r,A3,A2
28.25,15.4091,10,2.25,r,r,r,r,E5,C#5,E5,C#5,A2,C#5,A4,E4,C#5,r,E4,r,A3,A2
28.5,15.5455,10,2.5,r,r,r,r,A5,E5,A5,E5,A3,C#5,A4,E4,C#5,r,E4,r,A2,A3
28.75,15.6818,10,2.75,r,r,r,r,A5,E5,A5,E5,A3,A4,E4,C#4,D5,r,E4,r,B2,A3
29.0,15.8182,10,3.0,r,r,r,r,E5,C#5,E5,C#5,A2,A4,E4,C#4,E5,r,A4,r,C#3,A2
29.25,15.9545,10,3.25,r,r,r,r,E5,C#5,E5,C#5,A2,E4,C#4,A3,E5,r,A4,r,C#3,A2
29.5,16.0909,10,3.5,r,r,r,r,D5,B4,D5,B4,A3,E4,C#4,A3,E5,r,B4,r,E3,A3
29.75,16.2273,10,3.75,r,r,r,r,C#5,A4,C#5,A4,A3,E4,C#4,A3,E5,r,C#5,r,E3,A3
30.0,16.3636,11,1.0,r,r,r,r,D5,B4,D5,B4,G#3,E4,E4,E4,E5,r,B4,r,G#3,G#3
30.5,16.6364,11,1.5,E5,E5,E5,r,r,r,r,r,G#3,r,B4,r,B4,E4,E4,G#3,E3,G#3
30.75,16.7727,11,1.75,E5,E5,E5,r,r,r,r,r,G#3,r,A4,r,B4,E4,E4,G#3,E3,G#3
31.0,16.9091,11,2.0,E5,E5,E5,r,r,r,r,r,r,r,G#4,r,r,B4,r,D4,r,r
31.25,17.0455,11,2.25,E5,E5,E5,r,r,r,r,r,r,r,F#4,r,r,B4,r,D4,r,r
31.5,17.1818,11,2.5,E5,E5,E5,r,r,r,r,r,r,r,E4,r,r,G#4,r,B3,r,r
31.75,17.3182,11,2.75,E5,E5,E5,r,r,r,r,r,r,r,E-4,r,r,G#4,r,B3,r,r
32.0,17.4545,11,3.0,E5,E5,E5,r,r,r,r,r,r,r,E4,r,r,A4,r,C#4,r,r
32.25,17.5909,11,3.25,E5,E5,E5,r,r,r,r,r,r,r,F#4,r,r,A4,r,C#4,r,r
32.5,17.7273,11,3.5,E5,E5,E5,r,r,r,r,r,r,r,G#4,r,r,B4,r,D4,r,r
32.75,17.8636,11,3.75,E5,E5,E5,r,r,r,r,r,r,r,A4,r,r,C#5,r,E4,r,r
33.0,18.0,12,1.0,E5,E5,E5,r,r,r,r,r,r,r,G#4,r,r,B4,r,D4,r,r
33.5,18.2727,12,1.5,r,r,r,r,D5,B4,D5,B4,E3,G#5,D5,B4,E5,E4,B4,D4,E3,E3
33.75,18.4091,12,1.75,r,r,r,r,D5,B4,D5,B4,E3,D5,B4,G#4,E5,E4,B4,D4,E3,E3
34.0,18.5455,12,2.0,r,r,r,r,G#5,D5,G#5,D5,E2,D5,B4,G#4,E5,B4,G#4,D4,E4,E2
34.25,18.6818,12,2.25,r,r,r,r,G#5,D5,G#5,D5,E2,B4,G#4,D4,E5,B4,G#4,D4,E4,E2
34.5,18.8182,12,2.5,r,r,r,r,B5,G#5,B5,G#5,E3,B4,G#4,D4,E5,B4,G#4,D4,E3,E3
34.75,18.9545,12,2.75,r,r,r,r,B5,G#5,B5,G#5,E3,G#4,E4,B3,E5,B4,G#4,D4,F#3,E3
35.0,19.0909,12,3.0,r,r,r,r,D5,B4,D5,B4,E2,G#4,E4,B3,E5,B4,G#4,D4,G#3,E2
35.25,19.2273,12,3.25,r,r,r,r,D5,B4,D5,B4,E2,E4,B3,G#3,E5,B4,G#4,D4,G#3,E2
35.5,19.3636,12,3.5,r,r,r,r,C#5,A4,C#5,A4,E3,E4,B3,G#3,E5,C#5,A4,G#3,E3,E3
35.75,19.5,12,3.75,r,r,r,r,B4,G#4,B4,G#4,E3,E4,B3,G#3,E5,D5,B4,G#3,E3,E3
36.0,19.6364,13,1.0,r,r,r,r,C#5,A4,C#5,A4,A2,E4,A3,E3,E5,C#5,A4,A3,A2,A2
36.5,19.9091,13,1.5,r,r,r,r,C#5,A4,C#5,A4,A3,C#5,A4,E4,E5,C#5,A4,A3,A3,A3
36.75,20.0455,13,1.75,r,r,r,r,C#5,A4,C#5,A4,E3,C#5,A4,E4,E5,C#5,A4,A3,A3,E3
37.0,20.1818,13,2.0,r,r,r,r,r,r,r,r,E3,E5,C#5,A4,E5,C#5,A4,A3,E3,E3
37.25,20.3182,13,2.25,r,r,r,r,r,r,r,r,C#3,E5,C#5,A4,E5,C#5,A4,A3,E3,C#3
37.5,20.4545,13,2.5,r,r,r,r,A4,A4,A4,A4,C#3,A5,E5,C#5,E5,C#5,A4,A3,C#3,C#3
37.75,20.5909,13,2.75,r,r,r,r,B4,B4,B4,B4,A2,A5,E5,C#5,E5,C#5,A4,A3,C#3,A2
38.0,20.7273,13,3.0,r,r,r,r,C#5,C#5,C#5,C#5,A2,E5,C#5,E5,E5,C#5,A4,A3,A2,A2
38.25,20.8636,13,3.25,r,r,r,r,D5,D5,D5,D5,C#3,E5,C#5,E5,E5,C#5,A4,A3,A2,C#3
38.5,21.0,13,3.5,r,r,r,r,E5,E5,E5,E5,C#3,C#5,A4,E4,E5,C#5,A4,A3,C#3,C#3
38.75,21.1364,13,3.75,r,r,r,r,C#5,C#5,C#5,C#5,A2,C#5,A4,E4,E5,C#5,A4,A3,C#3,A2
39.0,21.2727,14,1.0,r,r,r,r,A5,A5,A5,A5,F#2,r,r,r,F#5,C#5,A4,C#4,F#2,F#2
39.5,21.5455,14,1.5,r,r,r,r,A4,A4,A4,A4,F#3,A4,F#4,C#4,F#5,C#5,A4,C#4,F#3,F#3
39.75,21.6818,14,1.75,r,r,r,r,A4,A4,A4,A4,C#3,A4,F#4,C#4,F#5,C#5,A4,C#4,F#3,C#3
40.0,21.8182,14,2.0,r,r,r,r,r,r,r,r,C#3,C#5,A4,F#4,F#5,C#5,A4,C#4,C#3,C#3
40.25,21.9545,14,2.25,r,r,r,r,r,r,r,r,A2,C#5,A4,F#4,F#5,C#5,A4,C#4,C#3,A2
40.5,22.0909,14,2.5,r,r,r,r,F#4,F#4,F#4,F#4,A2,F#5,C#5,A4,F#5,C#5,A4,C#4,A3,A2
40.75,22.2273,14,2.75,r,r,r,r,G#4,G#4,G#4,G#4,F#2,F#5,C#5,A4,F#5,C#5,A4,C#4,A3,F#2
41.0,22.3636,14,3.0,r,r,r,r,A4,A4,A4,A4,F#2,C#5,A4,C#5,F#5,C#5,A4,C#4,F#3,F#2
41.25,22.5,14,3.25,r,r,r,r,B4,B4,B4,B4,A2,C#5,A4,C#5,F#5,C#5,A4,C#4,F#3,A2
41.5,22.6364,14,3.5,r,r,r,r,C#5,C#5,C#5,C#5,A2,A4,F#4,C#4,F#5,C#5,A4,C#4,A3,A2
41.75,22.7727,14,3.75,r,r,r,r,A4,A4,A4,A4,F#2,A4,F#4,C#4,F#5,C#5,A4,C#4,A3,F#2
42.0,22.9091,15,1.0,r,r,r,r,E5,E5,E5,E5,C#2,E4,C#5,A4,E5,C#5,A4,C#4,C#3,C#2
42.5,23.1818,15,1.5,r,r,r,r,C#5,E4,C#5,E4,C#3,E4,E4,A3,E5,C#5,A4,C#4,C#4,C#3
42.75,23.3182,15,1.75,r,r,r,r,C#5,E4,C#5,E4,A2,E4,E4,A3,E5,C#5,A4,C#4,C#4,A2
43.0,23.4545,15,2.0,r,r,r,r,E5,A4,E5,A4,A2,E4,E4,C#4,E5,C#5,A4,C#4,A3,A2
43.25,23.5909,15,2.25,r,r,r,r,E5,A4,E5,A4,E2,E4,E4,C#4,E5,C#5,A4,C#4,A3,E2
43.5,23.7273,15,2.5,r,r,r,r,A5,C#5,A5,C#5,E2,F#4,F#4,E4,E5,C#5,A4,C#4,E3,E2
43.75,23.8636,15,2.75,r,r,r,r,A5,C#5,A5,C#5,C#2,G#4,G#4,E4,E5,C#5,A4,C#4,E3,C#2
44.0,24.0,15,3.0,r,r,r,r,E5,A4,E5,A4,C#2,A4,A4,A4,E5,C#5,A4,C#4,C#3,C#2
44.25,24.1364,15,3.25,r,r,r,r,E5,A4,E5,A4,E2,B4,B4,A4,E5,C#5,A4,C#4,C#3,E2
44.5,24.2727,15,3.5,r,r,r,r,C#5,E4,C#5,E4,E2,C#5,C#5,A3,E5,C#5,A4,C#4,E3,E2
44.75,24.4091,15,3.75,r,r,r,r,C#5,E4,C#5,E4,C#2,A4,A4,A3,E5,C#5,A4,C#4,E3,C#2
45.0,24.5455,16,1.0,r,r,r,r,r,r,r,r,E-2,F#4,F#4,r,F#5,B4,A4,F#4,E-3,E-2
45.5,24.8182,16,1.5,r,r,r,r,B4,F#4,B4,F#4,E-3,F#4,F#4,E-4,F#5,B4,A4,F#4,E-4,E-3
45.75,24.9545,16,1.75,r,r,r,r,B4,F#4,B4,F#4,B2,F#4,F#4,E-4,F#5,B4,A4,F#4,E-4,B2
46.0,25.0909,16,2.0,r,r,r,r,F#5,E-5,F#5,E-5,B2,F#4,F#4,B3,F#5,B4,A4,E-4,B3,B2
46.25,25.2273,16,2.25,r,r,r,r,F#5,E-5,F#5,E-5,F#2,E4,E4,B3,F#5,B4,A4,E-4,B3,F#2
46.5,25.3636,16,2.5,r,r,r,r,A5,F#5,A5,F#5,F#2,E-4,E-4,F#3,F#5,B4,A4,E-4,F#3,F#2
46.75,25.5,16,2.75,r,r,r,r,A5,F#5,A5,F#5,E-2,E4,E4,F#3,F#5,B4,A4,E-4,F#3,E-2
47.0,25.6364,16,3.0,r,r,r,r,F#5,B4,F#5,B4,E-2,F#4,F#4,B3,F#5,B4,A4,B3,E-3,E-2
47.25,25.7727,16,3.25,r,r,r,r,F#5,B4,F#5,B4,F#2,G#4,G#4,B3,F#5,B4,A4,B3,E-3,F#2
47.5,25.9091,16,3.5,r,r,r,r,B4,F#4,B4,F#4,F#2,A4,A4,E-4,F#5,B4,A4,B3,B2,F#2
47.75,26.0455,16,3.75,r,r,r,r,B4,F#4,B4,F#4,E-2,F#4,F#4,E-4,F#5,B4,A4,B3,B2,E-2
48.0,26.1818,17,1.0,r,r,r,r,r,r,r,r,E2,G#4,G#4,B3,E5,B4,G#4,B3,E3,E2
48.5,26.4545,17,1.5,r,r,r,r,G#5,B4,G#5,B4,E2,E4,E4,E4,B4,r,r,E4,E3,E2
49.0,26.7273,17,2.0,r,r,r,r,G#5,B4,G#5,B4,r,E4,E4,E4,r,r,r,r,E3,r
49.5,27.0,17,2.5,r,r,r,r,F#5,A4,F#5,A4,r,E4,E4,E4,r,r,r,r,E3,r
49.75,27.1364,17,2.75,r,r,r,r,E5,G#4,E5,G#4,r,E4,E4,E4,r,r,r,r,E3,r
50.0,27.2727,17,3.0,r,r,r,r,F#5,A4,F#5,A4,r,E4,E4,E4,r,r,r,r,E3,r
50.5,27.5455,17,3.5,r,r,r,r,F#5,A4,F#5,A4,r,E4,E4,E4,r,r,r,r,E3,r
50.75,27.6818,17,3.75,r,r,r,r,G#5,B4,G#5,B4,r,E4,E4,E4,r,r,r,r,E3,r
50.875,27.75,17,3.875,r,r,r,r,A5,C#5,A5,C#5,r,E4,E4,E4,r,r,r,r,E3,r
51.0,27.8182,18,1.0,r,r,r,r,G#5,B4,G#5,B4,r,C#4,C#4,C#4,r,r,r,r,F3,r
51.5,28.0909,18,1.5,r,r,r,r,G#5,B4,G#5,B4,F3,C#4,C#4,C#4,B4,G#4,r,r,F3,F3
52.0,28.3636,18,2.0,r,r,r,r,G#5,B4,G#5,B4,F2,r,r,r,B4,G#4,r,r,r,F2
52.25,28.5,18,2.25,r,r,r,r,G#5,B4,G#5,B4,F2,r,r,r,C#5,A4,r,r,r,F2
52.5,28.6364,18,2.5,r,r,r,r,G#5,B4,G#5,B4,F3,r,r,r,D5,B4,r,r,r,F3
53.0,28.9091,18,3.0,r,r,r,r,G#5,B4,G#5,B4,F2,r,r,r,D5,B4,r,r,r,F2
53.5,29.1818,18,3.5,r,r,r,r,G#5,B4,G#5,B4,F3,r,r,r,C#5,A4,r,r,r,F3
53.75,29.3182,18,3.75,r,r,r,r,G#5,B4,G#5,B4,F3,r,r,r,B4,G#4,r,r,r,F3
54.0,29.4545,19,1.0,r,r,r,r,r,r,r,r,F#2,r,r,r,A4,F#4,r,r,r,F#2
54.5,29.7273,19,1.5,r,r,r,r,A4,F#4,A4,F#4,F#2,C#4,C#4,C#4,C#5,A4,A3,F#3,F#3,F#2
54.75,29.8636,19,1.75,r,r,r,r,B4,G#4,B4,G#4,F#2,C#4,C#4,C#4,B4,G#4,A3,F#3,F#3,F#2
54.875,29.9318,19,1.875,r,r,r,r,C#5,A4,C#5,A4,F#2,C#4,C#4,C#4,B4,G#4,A3,F#3,F#3,F#2
55.0,30.0,19,2.0,r,r,r,r,C#5,A4,C#5,A4,r,C#4,C#4,C#4,A4,F#4,A3,F#3,F#3,r
55.25,30.1364,19,2.25,r,r,r,r,C#5,A4,C#5,A4,r,C#4,C#4,C#4,A4,F#4,B3,G#3,F#3,r
55.5,30.2727,19,2.5,r,r,r,r,A4,F#4,A4,F#4,r,C#4,C#4,C#4,A4,F#4,C#4,A3,F#3,r
55.75,30.4091,19,2.75,r,r,r,r,B4,G#4,B4,G#4,r,C#4,C#4,C#4,A4,F#4,C#4,A3,F#3,r
