qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,G Horn 1,G Horn 2,C Horn 3,C Horn 4,Violin 1,Violin 2,Viola,Violoncello,Contrabass
310.0,328.0,,,,,Main Part,,,,,,P8(C Horn 4)&P3(Violin 1)&P3(Violin 2)&U(Viola)&P5(Violoncello)&P8(Contrabass),P8(C Horn 3)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&P5(Violoncello)&P8(Contrabass),P3(C Horn 3)&P3(C Horn 4)&P8(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(C Horn 3)&P3(C Horn 4)&P8(Violin 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),U(C Horn 3)&P8(C Horn 4)&P3(Violin 1)&P3(Violin 2)&P5(Violoncello)&P8(Contrabass),P5(C Horn 3)&P5(C Horn 4)&P3(Violin 1)&P3(Violin 2)&P5(Viola)&P5(Contrabass),P8(C Horn 3)&P8(C Horn 4)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&P5(Violoncello)
328.0,346.0,,,,,,,,,,,P8(C Horn 4),P8(C Horn 3),Main Part,,,,
346.0,358.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(C Horn 3)&P8(C Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(C Horn 3)&P8(C Horn 4),Main Part,,,,,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Horn 3),,P8(Viola)&P8(Contrabass),P8(Violin 2)&P8(Contrabass),,P8(Violin 2)&P8(Viola)
358.0,370.0,,,,,P5(A Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2),P5(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P5(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,,,Main Part,,,,
370.0,376.0,P3(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1),P3(Flute 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 2)&P5(Bassoon 1),P3(Flute 1)&P8(Flute 2)&P3(A Clarinet 1)&P3(Bassoon 1),P5(Flute 1)&P3(Flute 2)&P5(A Clarinet 1)&P3(A Clarinet 2),,,,,,Main Part,,,,
376.0,382.0,Main Part,,,,,,,,,,,,,P3(Viola),P3(Violin 2),,
382.0,403.0,U(Flute 2),U(Flute 1),,,,P8(Bassoon 1),P8(A Clarinet 2),,,,,,Main Part,,,,
403.0,415.0,Main Part,P8(A Clarinet 2)&P8(Bassoon 2),,,P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Main)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),,,,,,,,,
415.0,439.0,,,U(Oboe 2)&P3(A Clarinet 1)&P5(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),U(Oboe 1)&P3(A Clarinet 1)&P5(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P3(Oboe 1)&P3(Oboe 2)&P7(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2),P5(Oboe 1)&P5(Oboe 2)&P7(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2),P3(Oboe 1)&P3(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 2),P3(Oboe 1)&P3(Oboe 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1),,,,,Main Part,,,,
439.0,442.0,,,Main Part,U(Main)&P5(A Clarinet 2),,P5(Main)&P5(Oboe 2),U(Bassoon 2),U(Bassoon 1),,,,,P3(Violin 2)&P5(Viola),P3(Violin 1)&P3(Viola),P5(Violin 1)&P3(Violin 2),,
