qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,E Horn 3,E Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
35.5,30.0,10,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E3,E2,E1
36.0,30.4225,10,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,F1
36.5,30.8451,10,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F3,F2,F1
37.0,31.2676,10,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,G3,E2
37.5,31.6901,10,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,E4,G3,E2
38.0,32.1127,10,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,G#3,F2
38.5,32.5352,10,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,F4,G#3,F2
39.0,32.9577,11,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,E3,C4,E2
39.5,33.3803,11,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,G4,E4,C4,E2
40.0,33.8028,11,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,F3,C#4,F2
40.5,34.2254,11,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,G#4,F4,C#4,F2
41.0,34.6479,11,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,G3,E4,G2
41.5,35.0704,11,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C#5,G4,E4,G2
42.0,35.493,11,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,G#3,F4,G#2
42.5,35.9155,11,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C#5,G#4,F4,G#2
43.0,36.338,12,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,C#5,G#4,G#3,F1
44.0,37.1831,12,2.0,F6,F5,F5,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
45.0,38.0282,12,3.0,E-6,E-5,E-5,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
46.0,38.8732,12,4.0,D6,D5,D5,r,G5,G5,D4,r,C2,G5,G5,r,r,r,r,r,r,r,G2,G3,G3,G3,r,r
47.0,39.7183,13,1.0,C6,C5,C5,r,G#5,E-5,C4,r,F2,G#5,E-5,r,r,C5,C4,r,r,r,C3,C4,C4,C4,r,r
48.0,40.5634,13,2.0,C6,C5,r,r,G5,E-5,r,r,F2,G5,E-5,r,r,C5,C4,r,r,r,r,C4,C4,C4,r,r
49.0,41.4085,13,3.0,C6,C5,r,r,F5,D5,r,r,F2,F5,D5,r,r,C5,C4,r,r,r,r,B3,B3,B3,r,r
50.0,42.2535,13,4.0,C6,C5,r,r,E5,C5,r,r,C2,E5,C5,r,r,C5,C4,r,r,r,r,C4,C4,C4,C3,C2
51.0,43.0986,14,1.0,C6,C5,r,r,F5,C#5,r,r,r,F5,C#5,r,r,C5,C4,r,r,r,r,G#3,G#3,G#3,F3,F2
52.0,43.9437,14,2.0,C6,C5,r,r,E-5,C5,r,r,r,E-5,C5,r,r,C5,C4,r,r,r,r,G#3,G#3,G#3,F3,F2
53.0,44.7887,14,3.0,C6,C5,r,r,D5,B4,r,r,r,D5,B4,r,r,C5,C4,r,r,r,r,G#3,G#3,G#3,F3,F2
54.0,45.6338,14,4.0,C6,C5,r,r,E5,C5,E3,C3,r,E5,C5,r,r,C5,C4,r,r,r,C3,G3,G3,G3,C3,C2
55.0,46.4789,15,1.0,C5,C5,r,r,r,r,F3,C#3,r,r,r,r,r,C5,C4,r,r,r,C3,r,r,F3,r,r
56.0,47.3239,15,2.0,C5,C5,r,r,r,r,E-3,C3,r,r,r,r,r,C5,C4,r,r,r,r,G#3,G#3,E-3,F2,F1
57.0,48.169,15,3.0,r,r,r,r,r,r,D3,B2,r,r,r,r,r,r,r,r,r,r,r,G#3,G#3,G#3,F2,F1
58.0,49.0141,15,4.0,r,r,r,r,r,r,E3,C3,r,r,r,r,r,r,r,r,r,r,C3,G3,G3,G3,C2,C2
59.0,49.8592,16,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,r,r,r,r,r
59.5,50.2817,16,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,r,r,C4,C3,C2
