qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,C Trumpet 1,C Trumpet 2,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
64.5,68.5,,,P3(Bb Clarinet),,P3(Oboe 1),,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
68.5,72.5,,,P3(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Oboe 1)&P3(Bassoon 1)&P8(Bassoon 2),,,P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1),P2(Eb Horn 2),P2(Eb Horn 1),,,,,Main Part,,P8(Contrabass),P8(Violoncello)
72.5,74.0,,,P3(Bassoon 2)&P5(Violoncello)&P5(Contrabass),,P2(Bb Clarinet 2),P2(Bb Clarinet),,P3(Oboe 1),,,,,,,Main Part,,P5(Oboe 1)&P8(Contrabass),P5(Oboe 1)&P8(Violoncello)
74.0,82.0,,,P8(Bb Clarinet),P8(Bb Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
82.0,86.0,,,P5(Bassoon 2)&P5(Violoncello)&P5(Contrabass),,,,,P5(Oboe 1)&U(Violoncello)&P8(Contrabass),"P5(C Trumpet 1)&P5(C Trumpet 2)&P5(C, G Timpani)",,"P5(Eb Horn 1)&P8(C Trumpet 2)&P8(C, G Timpani)","P5(Eb Horn 1)&P8(C Trumpet 1)&P8(C, G Timpani)",P5(Eb Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P5(Oboe 1)&U(Bassoon 2)&P8(Contrabass),P5(Oboe 1)&P8(Bassoon 2)&P8(Violoncello)
86.0,94.5,P3(Flute 2)&P8(Oboe 2)&P8(Eb Horn 2)&P8(Viola),P3(Flute 1)&P3(Oboe 2)&P3(Eb Horn 2)&P3(Viola),P8(Eb Horn 1),P8(Flute 1)&P3(Flute 2)&P8(Eb Horn 2)&P8(Viola),P3(Bb Clarinet 2)&P3(Bassoon 1),P3(Bb Clarinet)&P8(Bassoon 1),P3(Bb Clarinet)&P8(Bb Clarinet 2),,P8(Oboe 1),P8(Flute 1)&P3(Flute 2)&P8(Oboe 2)&P8(Viola),"P8(C Trumpet 2)&P8(C, G Timpani)","P8(C Trumpet 1)&P8(C, G Timpani)",P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,P8(Flute 1)&P3(Flute 2)&P8(Oboe 2)&P8(Eb Horn 2),P8(Contrabass),P8(Violoncello)
94.5,102.5,P3(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Eb Horn 2),P3(Flute 1)&P3(Oboe 2)&P3(Bb Clarinet)&P3(Eb Horn 2),P8(Eb Horn 1),P8(Flute 1)&P3(Flute 2)&P8(Bb Clarinet)&P8(Eb Horn 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 2)&P8(Eb Horn 2),,,,P8(Oboe 1),P8(Flute 1)&P3(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet),"P8(C Trumpet 2)&P8(C, G Timpani)","P8(C Trumpet 1)&P8(C, G Timpani)",P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
102.5,110.0,P3(Flute 2),P3(Flute 1),"P2(Oboe 2)&P2(Bb Clarinet)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P2(Bassoon 2)&P8(Eb Horn 1)&P2(Eb Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)&P8(Viola)&P4(Violoncello)&P4(Contrabass)","P2(Oboe 1)&U(Bb Clarinet)&P2(Bb Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P2(Eb Horn 1)&P8(Eb Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(C, G Timpani)&P2(Viola)&P3(Violoncello)&P3(Contrabass)","P2(Oboe 1)&U(Oboe 2)&P2(Bb Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P2(Eb Horn 1)&P8(Eb Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(C, G Timpani)&P2(Viola)&P3(Violoncello)&P3(Contrabass)","P8(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet)&P3(Bassoon 1)&P2(Bassoon 2)&U(Eb Horn 1)&P2(Eb Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)&P8(Viola)&P4(Violoncello)&P4(Contrabass)","P3(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet)&P3(Bb Clarinet 2)&P4(Bassoon 2)&P3(Eb Horn 1)&P4(Eb Horn 2)&P6(C Trumpet 1)&P6(C Trumpet 2)&P6(C, G Timpani)&P3(Viola)&P6(Violoncello)&P6(Contrabass)","P2(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P2(Bb Clarinet 2)&P4(Bassoon 1)&P2(Eb Horn 1)&P8(Eb Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(C, G Timpani)&P2(Viola)&P3(Violoncello)&P3(Contrabass)","P8(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet)&U(Bb Clarinet 2)&P3(Bassoon 1)&P2(Bassoon 2)&P2(Eb Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)&P8(Viola)&P4(Violoncello)&P4(Contrabass)","P2(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P2(Bb Clarinet 2)&P4(Bassoon 1)&P8(Bassoon 2)&P2(Eb Horn 1)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(C, G Timpani)&P2(Viola)&P3(Violoncello)&P3(Contrabass)","P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P3(Bassoon 2)&P4(Eb Horn 1)&P3(Eb Horn 2)&P8(C Trumpet 2)&P8(C, G Timpani)&P4(Viola)&P8(Violoncello)&P8(Contrabass)","P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P3(Bassoon 2)&P4(Eb Horn 1)&P3(Eb Horn 2)&P8(C Trumpet 1)&P8(C, G Timpani)&P4(Viola)&P8(Violoncello)&P8(Contrabass)",P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P3(Bassoon 2)&P4(Eb Horn 1)&P3(Eb Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P4(Viola)&U(Violoncello)&P8(Contrabass),P8(Main),Main Part,"P8(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P2(Bassoon 2)&P8(Eb Horn 1)&P2(Eb Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)&P4(Violoncello)&P4(Contrabass)","P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P3(Bassoon 2)&P4(Eb Horn 1)&P3(Eb Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(C, G Timpani)&P4(Viola)&P8(Contrabass)","P4(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P3(Bassoon 2)&P4(Eb Horn 1)&P3(Eb Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(C, G Timpani)&P4(Viola)&P8(Violoncello)"
110.0,118.5,P8(Bb Clarinet 2),P8(Violin 1)&P8(Main)&P6(Violoncello)&P6(Contrabass),P8(Viola),U(Bb Clarinet)&P4(Bassoon 1),U(Oboe 2)&P4(Bassoon 1),P8(Flute 1),P4(Oboe 2)&P4(Bb Clarinet),,,,"P8(C Trumpet 2)&P8(C, G Timpani)","P8(C Trumpet 1)&P8(C, G Timpani)",P8(C Trumpet 1)&P8(C Trumpet 2),P8(Flute 2)&U(Main)&P6(Violoncello)&P6(Contrabass),Main Part,P8(Oboe 1),P6(Flute 2)&P6(Violin 1)&P6(Main)&P8(Contrabass),P6(Flute 2)&P6(Violin 1)&P6(Main)&P8(Violoncello)
118.5,126.0,,,,,,,,,U(Eb Horn 2),U(Eb Horn 1),,,,P3(Violin 2)&P5(Main),P3(Violin 1)&P3(Main),Main Part,,
