qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,C Trumpet 1,C Trumpet 2,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
414.0,424.0,,,,,P3(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P3(Bb Clarinet)&P3(Eb Horn 1)&P3(Eb Horn 2),,,P8(Bb Clarinet)&P3(Bb Clarinet 2)&P8(Eb Horn 2),P8(Bb Clarinet)&P3(Bb Clarinet 2)&P8(Eb Horn 1),,,,Main Part,,,,
424.0,432.0,,,Main Part,,P8(Eb Horn 1)&P8(Eb Horn 2),P8(Main),P8(Bassoon 2),P8(Bassoon 1),P8(Bb Clarinet)&P8(Eb Horn 2),P8(Bb Clarinet)&P8(Eb Horn 1),,,,P8(Violin 2)&P8(Violoncello),P8(Violin 1)&U(Violoncello),P8(Contrabass),P8(Violin 1)&U(Violin 2),P8(Viola)
432.0,442.0,,,Main Part,,P4(Main)&P4(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P8(Main)&P4(Bb Clarinet)&P4(Eb Horn 1)&P4(Eb Horn 2),P8(Bassoon 2),P8(Bassoon 1),P4(Main)&P8(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Eb Horn 2),P4(Main)&P8(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Eb Horn 1),,,,P8(Violin 2)&P8(Violoncello),P8(Violin 1)&U(Violoncello),P8(Contrabass),P8(Violin 1)&U(Violin 2),P8(Viola)
442.0,446.5,,P4(Oboe 2)&P4(C Trumpet 1)&P4(C Trumpet 2),P8(Bb Clarinet 2),P4(Flute 2)&U(C Trumpet 1)&U(C Trumpet 2),P8(Eb Horn 2),P8(Oboe 1),P8(Bassoon 2)&P3(Main)&U(Viola)&P8(Contrabass),P8(Bassoon 1)&P3(Main)&P8(Viola)&U(Contrabass),Main Part,P8(Bb Clarinet),P4(Flute 2)&U(Oboe 2)&U(C Trumpet 2),P4(Flute 2)&U(Oboe 2)&U(C Trumpet 1),,P8(Violin 2),P8(Violin 1),U(Bassoon 1)&P8(Bassoon 2)&P3(Main)&P8(Contrabass),,P8(Bassoon 1)&U(Bassoon 2)&P3(Main)&P8(Viola)
446.5,454.0,,P8(Bb Clarinet),,,P8(Flute 2),,,P8(Viola)&P8(Violoncello)&P8(Contrabass),Main Part,,P8(C Trumpet 2),P8(C Trumpet 1),,U(Violin 2),U(Violin 1),P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 2)&U(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
454.0,464.0,,,,,,,,,,,P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
464.0,476.5,,,,,,,,,P8(Eb Horn 2),P8(Eb Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
476.5,478.5,U(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2),Main Part,P8(Flute 1)&P8(Flute 2)&U(Main)&U(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Main)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),,P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet)&U(Bassoon 1),P8(Eb Horn 2),P8(Eb Horn 1),,,,P8(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P3(Violin 1)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P8(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Violoncello)
478.5,482.5,U(Flute 2)&U(Main)&U(Oboe 2)&U(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),U(Flute 1)&U(Main)&U(Oboe 2)&U(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),Main Part,U(Flute 1)&U(Flute 2)&U(Main)&U(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),U(Flute 1)&U(Flute 2)&U(Main)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),,P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet)&U(Bassoon 2)&P8(Eb Horn 1)&U(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet)&U(Bassoon 1)&P8(Eb Horn 1)&U(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Main)&P8(Oboe 2)&P8(Bb Clarinet)&U(Bassoon 1)&U(Bassoon 2)&P8(Eb Horn 1),,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
482.5,484.5,P8(Oboe 2)&P8(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2),,P8(Bb Clarinet 2),P8(Flute 1)&U(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1),P8(Flute 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bassoon 1),Main Part,P8(Main),,,,,,,P8(Contrabass),P8(Violoncello)
484.5,486.5,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 1),Main Part,P8(Main),,,,P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Violin 1)&P5(Viola)&P8(Violoncello)&P8(Contrabass),P3(Violin 1)&P5(Violin 2)&P5(Violoncello)&P5(Contrabass),P3(Violin 1)&P8(Violin 2)&P5(Viola)&P8(Contrabass),P3(Violin 1)&P8(Violin 2)&P5(Viola)&P8(Violoncello)
486.5,490.5,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 1)&P8(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(Eb Horn 1)&U(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Eb Horn 1)&U(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P8(Eb Horn 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
490.5,512.5,P8(Main),,,,,,,P8(Viola),,,,,,Main Part,,P8(Bassoon 2),P8(Contrabass),P8(Violoncello)
512.5,514.5,,,,,U(Bb Clarinet 2)&U(Main)&U(Eb Horn 2),U(Bb Clarinet)&U(Main)&U(Eb Horn 2),U(Bassoon 2),U(Bassoon 1),Main Part,U(Bb Clarinet)&U(Bb Clarinet 2)&U(Main),,,,U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)
514.5,520.5,,,,,U(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&U(Eb Horn 1)&U(Eb Horn 2)&P5(Main)&P5(Viola)&P5(Violoncello)&P5(Contrabass),U(Bb Clarinet)&U(Bassoon 1)&U(Bassoon 2)&U(Eb Horn 1)&U(Eb Horn 2)&P5(Main)&P5(Viola)&P5(Violoncello)&P5(Contrabass),U(Bb Clarinet)&U(Bb Clarinet 2)&U(Bassoon 2)&U(Eb Horn 1)&U(Eb Horn 2)&P5(Main)&P5(Viola)&P5(Violoncello)&P5(Contrabass),U(Bb Clarinet)&U(Bb Clarinet 2)&U(Bassoon 1)&U(Eb Horn 1)&U(Eb Horn 2)&P5(Main)&P5(Viola)&P5(Violoncello)&P5(Contrabass),U(Bb Clarinet)&U(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&U(Eb Horn 2)&P5(Main)&P5(Viola)&P5(Violoncello)&P5(Contrabass),U(Bb Clarinet)&U(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&U(Eb Horn 1)&P5(Main)&P5(Viola)&P5(Violoncello)&P5(Contrabass),,,,Main Part,,P5(Bb Clarinet)&P5(Bb Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Eb Horn 1)&P5(Eb Horn 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),P5(Bb Clarinet)&P5(Bb Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Eb Horn 1)&P5(Eb Horn 2)&P8(Main)&P8(Viola)&U(Contrabass),P5(Bb Clarinet)&P5(Bb Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Eb Horn 1)&P5(Eb Horn 2)&P8(Main)&P8(Viola)&U(Violoncello)
520.5,522.5,,,,,U(Bb Clarinet 2),U(Bb Clarinet),P8(Bassoon 2)&P4(Viola)&P4(Violoncello),P8(Bassoon 1)&P4(Viola)&P4(Violoncello),,,,,,,Main Part,P4(Bassoon 1)&P4(Bassoon 2)&U(Violoncello),P4(Bassoon 1)&P4(Bassoon 2)&U(Viola),
522.5,522.5,,,,,Main Part,U(Main)&P4(Bassoon 1)&P4(Bassoon 2)&P5(Violin 2),P4(Main)&P4(Bb Clarinet 2)&P8(Bassoon 2)&P2(Violin 2)&P4(Viola)&P4(Violoncello),P4(Main)&P4(Bb Clarinet 2)&P8(Bassoon 1)&P2(Violin 2)&P4(Viola)&P4(Violoncello),,,,,,,P5(Main)&P5(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P5(Viola)&P5(Violoncello),P4(Bassoon 1)&P4(Bassoon 2)&P5(Violin 2)&U(Violoncello),P4(Bassoon 1)&P4(Bassoon 2)&P5(Violin 2)&U(Viola),
522.5,524.5,,,,,U(Main)&P4(Bassoon 1)&P4(Bassoon 2)&P5(Violin 2),Main Part,P4(Bb Clarinet)&P4(Main)&P8(Bassoon 2)&P2(Violin 2)&P4(Viola)&P4(Violoncello),P4(Bb Clarinet)&P4(Main)&P8(Bassoon 1)&P2(Violin 2)&P4(Viola)&P4(Violoncello),,,,,,,P5(Bb Clarinet)&P5(Main)&P2(Bassoon 1)&P2(Bassoon 2)&P5(Viola)&P5(Violoncello),P4(Bassoon 1)&P4(Bassoon 2)&P5(Violin 2)&U(Violoncello),P4(Bassoon 1)&P4(Bassoon 2)&P5(Violin 2)&U(Viola),
524.5,526.5,,,,,U(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P5(Violin 2),U(Bb Clarinet)&P4(Bassoon 1)&P4(Bassoon 2)&P5(Violin 2),P4(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Bassoon 2)&P2(Violin 2)&P4(Viola)&P4(Violoncello),P4(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Bassoon 1)&P2(Violin 2)&P4(Viola)&P4(Violoncello),,,,,,Main Part,P5(Bb Clarinet)&P5(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P5(Viola)&P5(Violoncello),P4(Bassoon 1)&P4(Bassoon 2)&P5(Violin 2)&U(Violoncello),P4(Bassoon 1)&P4(Bassoon 2)&P5(Violin 2)&U(Viola),
526.5,528.5,,,,,U(Bb Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Violin 1),U(Bb Clarinet)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Violin 1),P4(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Bassoon 2)&P8(Violin 1)&P4(Main)&P4(Violoncello),P4(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Bassoon 1)&P8(Violin 1)&P4(Main)&P4(Violoncello),,,,,,P4(Bb Clarinet)&P4(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(Main)&P4(Violoncello),,Main Part,P4(Bassoon 1)&P4(Bassoon 2)&P4(Violin 1)&U(Main),
528.5,530.5,,,,,U(Bb Clarinet 2),U(Bb Clarinet),P8(Bassoon 2),P8(Bassoon 1),,,,,,,Main Part,U(Violoncello),U(Viola),
530.5,532.5,,,,,Main Part,U(Main)&P3(Bassoon 1)&P3(Bassoon 2)&P5(Violin 2),P3(Main)&P3(Bb Clarinet 2)&P8(Bassoon 2)&P3(Violin 2)&P3(Viola)&P3(Violoncello),P3(Main)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Violin 2)&P3(Viola)&P3(Violoncello),,,,,,,P5(Main)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P5(Viola)&P5(Violoncello),P3(Bassoon 1)&P3(Bassoon 2)&P5(Violin 2)&U(Violoncello),P3(Bassoon 1)&P3(Bassoon 2)&P5(Violin 2)&U(Viola),
532.5,534.5,,,,,U(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P5(Violin 2),U(Bb Clarinet)&P3(Bassoon 1)&P3(Bassoon 2)&P5(Violin 2),P3(Bb Clarinet)&P3(Bb Clarinet 2)&P8(Bassoon 2)&P3(Violin 2)&P3(Viola)&P3(Violoncello),P3(Bb Clarinet)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Violin 2)&P3(Viola)&P3(Violoncello),,,,,,Main Part,P5(Bb Clarinet)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P5(Viola)&P5(Violoncello),P3(Bassoon 1)&P3(Bassoon 2)&P5(Violin 2)&U(Violoncello),P3(Bassoon 1)&P3(Bassoon 2)&P5(Violin 2)&U(Viola),
534.5,536.5,,,,,U(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P5(Violin 2),U(Bb Clarinet)&P3(Bassoon 1)&P3(Bassoon 2)&P5(Violin 2),P3(Bb Clarinet)&P3(Bb Clarinet 2)&P8(Bassoon 2)&P3(Violin 1)&P3(Violin 2)&P3(Main)&P3(Violoncello),P3(Bb Clarinet)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Violin 1)&P3(Violin 2)&P3(Main)&P3(Violoncello),,,,,,P3(Bassoon 1)&P3(Bassoon 2),P5(Bb Clarinet)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P5(Main)&P5(Violoncello),Main Part,P3(Bassoon 1)&P3(Bassoon 2)&P5(Violin 2)&U(Main),
536.5,538.5,,,,,P5(Violin 2)&P8(Viola)&P8(Violoncello),,P8(Bassoon 2),P8(Bassoon 1),,,,,,Main Part,P5(Bb Clarinet)&P5(Viola)&P5(Violoncello),P8(Bb Clarinet)&P5(Violin 2)&U(Violoncello),P8(Bb Clarinet)&P5(Violin 2)&U(Viola),
538.5,540.5,,,,,P5(Bb Clarinet 2)&P8(Viola)&P8(Violoncello),P5(Bb Clarinet)&P5(Viola)&P5(Violoncello),P8(Bassoon 2),P8(Bassoon 1),,,,,,,Main Part,P8(Bb Clarinet)&P5(Bb Clarinet 2)&U(Violoncello),P8(Bb Clarinet)&P5(Bb Clarinet 2)&U(Viola),
540.5,542.5,,,,,P5(Bb Clarinet 2)&P8(Viola)&P8(Violoncello),P5(Bb Clarinet)&P5(Viola)&P5(Violoncello),P8(Bassoon 2),P8(Bassoon 1),,,,,,Main Part,,P8(Bb Clarinet)&P5(Bb Clarinet 2)&U(Violoncello),P8(Bb Clarinet)&P5(Bb Clarinet 2)&U(Viola),
542.5,544.5,,,,,P5(Bb Clarinet 2)&P8(Viola)&P8(Violoncello),P5(Bb Clarinet)&P5(Viola)&P5(Violoncello),P8(Bassoon 2),P8(Bassoon 1),,,,,,,Main Part,P8(Bb Clarinet)&P5(Bb Clarinet 2)&U(Violoncello),P8(Bb Clarinet)&P5(Bb Clarinet 2)&U(Viola),
544.5,552.5,,,,,P5(Bb Clarinet 2)&U(Violin 2),P5(Bb Clarinet)&P5(Violin 2),P8(Bassoon 2),P8(Bassoon 1),P8(Eb Horn 2),P8(Eb Horn 1),,,,Main Part,U(Bb Clarinet)&P5(Bb Clarinet 2),U(Violoncello),U(Viola),
552.5,554.5,,,,,P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Bb Clarinet)&P3(Bassoon 1)&P8(Bassoon 2),P8(Bb Clarinet)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Bb Clarinet)&P8(Bb Clarinet 2)&P3(Bassoon 1),P8(Eb Horn 2),P8(Eb Horn 1),,,,,,Main Part,U(Main),
554.5,556.5,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(Bb Clarinet),P8(Bb Clarinet 2),P8(Eb Horn 2),P8(Eb Horn 1),,,,Main Part,P8(Main),U(Violoncello),U(Viola),
556.5,558.5,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(Bb Clarinet),P8(Bb Clarinet 2),P8(Eb Horn 2),P8(Eb Horn 1),,,,P8(Violin 2),P8(Violin 1),Main Part,U(Main),
558.5,560.5,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(Bb Clarinet),P8(Bb Clarinet 2),P8(Eb Horn 2),P8(Eb Horn 1),,,,Main Part,P8(Main),U(Violoncello),U(Viola),
560.5,564.0,,,,,,,,,P8(Eb Horn 2),P8(Eb Horn 1),,,,P8(Violin 2),P8(Violin 1),Main Part,U(Main),
564.0,568.5,P3(Oboe 1)&P8(Bb Clarinet)&P3(Bb Clarinet 2),,P3(Flute 1)&P3(Bb Clarinet)&P8(Bb Clarinet 2),,P8(Flute 1)&P3(Oboe 1)&P3(Bb Clarinet 2),P3(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet),,,,,,,,Main Part,P8(Main),U(Violoncello),U(Viola),
568.5,570.5,Main Part,,P8(Bb Clarinet 2)&P8(Bassoon 2),,P8(Main)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 2),P8(Main)&P8(Bb Clarinet),P8(Oboe 1)&P8(Bb Clarinet 2),,,,,,,,U(Violoncello),U(Viola),
570.5,572.5,P3(Oboe 1)&P8(Bb Clarinet)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),,P3(Flute 1)&P3(Bb Clarinet)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),,P8(Flute 1)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet)&P8(Bb Clarinet 2)&P3(Bassoon 1),,,,,,,,Main Part,U(Main),
572.5,574.5,Main Part,,P8(Bb Clarinet 2)&P8(Bassoon 2),,P8(Main)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 2),P8(Main)&P8(Bb Clarinet),P8(Oboe 1)&P8(Bb Clarinet 2),,,,,,,,U(Violoncello),U(Viola),
574.5,578.5,P3(Oboe 1)&P8(Bb Clarinet)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),,P3(Flute 1)&P3(Bb Clarinet)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),,P8(Flute 1)&P3(Oboe 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet)&P3(Bb Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet)&P8(Bb Clarinet 2)&P3(Bassoon 1),P8(Eb Horn 2),P8(Eb Horn 1),"P8(C Trumpet 2)&P8(C, G Timpani)","P8(C Trumpet 1)&P8(C, G Timpani)",P8(C Trumpet 1)&P8(C Trumpet 2),,,Main Part,U(Main),
578.5,580.5,P8(Bb Clarinet),,P8(Bb Clarinet 2),,P8(Flute 1),P8(Oboe 1),,,P8(Eb Horn 2)&P8(Contrabass),P8(Eb Horn 1)&P8(Contrabass),"P8(C Trumpet 2)&P8(C, G Timpani)","P8(C Trumpet 1)&P8(C, G Timpani)",P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,P8(Main),U(Violoncello),U(Viola),P8(Eb Horn 1)&P8(Eb Horn 2)
580.5,582.5,Main Part,,"P4(Oboe 2)&P8(Bb Clarinet 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)","P4(Oboe 1)&P4(Bb Clarinet 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(C, G Timpani)",P8(Main)&P8(Bassoon 1),"P8(Oboe 1)&P4(Oboe 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)",P8(Main)&P8(Bb Clarinet),P8(Contrabass),P8(Eb Horn 2),P8(Eb Horn 1),"P4(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 2)&U(C Trumpet 2)&P8(C, G Timpani)","P4(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 2)&U(C Trumpet 1)&P8(C, G Timpani)",P4(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Violin 2),P8(Violin 1),U(Violoncello),U(Viola),P8(Bassoon 2)
582.5,584.5,P8(Bb Clarinet)&P8(Bassoon 1),,"P4(Oboe 2)&P8(Bb Clarinet 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)","P4(Oboe 1)&P4(Bb Clarinet 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(C, G Timpani)",P8(Flute 1)&P8(Bassoon 1),"P8(Oboe 1)&P4(Oboe 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)",P8(Flute 1)&P8(Bb Clarinet),P4(Eb Horn 1)&P4(Eb Horn 2)&P8(Contrabass),P4(Bassoon 2)&P8(Eb Horn 2)&P4(Contrabass),P4(Bassoon 2)&P8(Eb Horn 1)&P4(Contrabass),"P4(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 2)&U(C Trumpet 2)&P8(C, G Timpani)","P4(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 2)&U(C Trumpet 1)&P8(C, G Timpani)",P4(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 2)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,P8(Main),U(Violoncello),U(Viola),P8(Bassoon 2)&P4(Eb Horn 1)&P4(Eb Horn 2)
584.5,586.5,Main Part,,"P4(Oboe 2)&P8(Bb Clarinet 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)","P4(Oboe 1)&P4(Bb Clarinet 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(C, G Timpani)",P8(Main)&P8(Bassoon 1),"P8(Oboe 1)&P4(Oboe 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)",P8(Main)&P8(Bb Clarinet),P8(Contrabass),P8(Eb Horn 2),P8(Eb Horn 1),"P4(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 2)&U(C Trumpet 2)&P8(C, G Timpani)","P4(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 2)&U(C Trumpet 1)&P8(C, G Timpani)",P4(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Violin 2),P8(Violin 1),U(Violoncello),U(Viola),P8(Bassoon 2)
