qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,English Horn,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Tenor Trombone 1,Tenor Trombone 2,Bass Trombone,Tuba,"B, D, E Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
1102.5,1114.5,"U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&P7(Bassoon 1)&P8(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P5(Violoncello)&P5(Contrabass)","U(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&P7(Bassoon 1)&P8(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P5(Violoncello)&P5(Contrabass)","U(Flute 1)&U(Flute 2)&P8(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&P7(Bassoon 1)&P8(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P5(Violoncello)&P5(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P4(A Clarinet 1)&U(A Clarinet 2)&P7(Bassoon 1)&P8(Bassoon 2)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P5(Violoncello)&P5(Contrabass)","P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(F Trumpet 1)&P4(F Trumpet 2)&P4(Tenor Trombone 1)&P8(Tenor Trombone 2)&P2(Bass Trombone)&P2(Tuba)&P4(B, D, E Timpani)&P2(Violoncello)&P2(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P4(A Clarinet 1)&P7(Bassoon 1)&P8(Bassoon 2)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P5(Violoncello)&P5(Contrabass)","P7(Flute 1)&P7(Flute 2)&P7(Oboe 1)&P7(Oboe 2)&P4(A Clarinet 1)&P7(A Clarinet 2)&P7(Bassoon 2)&P7(F Trumpet 1)&P7(F Trumpet 2)&P7(Tenor Trombone 1)&P4(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P7(B, D, E Timpani)&P3(Violoncello)&P3(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&P7(Bassoon 1)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&U(B, D, E Timpani)&P5(Violoncello)&P5(Contrabass)",,Main Part,,U(F Horn 4),U(F Horn 3),"P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P4(A Clarinet 1)&U(A Clarinet 2)&P7(Bassoon 1)&P8(Bassoon 2)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P5(Violoncello)&P5(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&P7(Bassoon 1)&P8(Bassoon 2)&P8(F Trumpet 1)&U(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P5(Violoncello)&P5(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&P7(Bassoon 1)&P8(Bassoon 2)&P8(F Trumpet 1)&U(F Trumpet 2)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P5(Violoncello)&P5(Contrabass)","P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P8(A Clarinet 1)&P4(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(F Trumpet 1)&P4(F Trumpet 2)&P4(Tenor Trombone 1)&P2(Bass Trombone)&P2(Tuba)&P4(B, D, E Timpani)&P2(Violoncello)&P2(Contrabass)","P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(Tenor Trombone 1)&P2(Tenor Trombone 2)&P8(Tuba)&P5(B, D, E Timpani)&U(Violoncello)&P8(Contrabass)","P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(Tenor Trombone 1)&P2(Tenor Trombone 2)&P8(Bass Trombone)&P5(B, D, E Timpani)&P8(Violoncello)&U(Contrabass)",P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&P7(Bassoon 1)&U(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P5(Violoncello)&P5(Contrabass),,,,"P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(Tenor Trombone 1)&P2(Tenor Trombone 2)&U(Bass Trombone)&P8(Tuba)&P5(B, D, E Timpani)&P8(Contrabass)","P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(Tenor Trombone 1)&P2(Tenor Trombone 2)&P8(Bass Trombone)&U(Tuba)&P5(B, D, E Timpani)&P8(Violoncello)"
1114.5,1126.5,P8(A Clarinet 1),,,,P8(Flute 1),,,U(Violoncello),,,,,,,,,,,,,Main Part,P8(Main),,U(Bassoon 2),
1126.5,1143.5,Main Part,,,,,,,,,,,P8(F Horn 4),P8(F Horn 3),P8(F Trumpet 2),P8(F Trumpet 1),,,,,,,,,,
1143.5,1161.5,Main Part,,,,,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1161.5,1198.5,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,P8(Tuba),P8(Bass Trombone),,Main Part,,,P8(Contrabass),P8(Violoncello)
1198.5,1208.0,,,,,P4(Violoncello)&P4(Contrabass),,,,,Main Part,P5(F Horn 3)&P2(F Horn 4),P5(F Horn 2)&P6(F Horn 4),P2(F Horn 2)&P6(F Horn 3),,,,,,,,,,,P4(A Clarinet 1)&P8(Contrabass),P4(A Clarinet 1)&P8(Violoncello)
1208.0,1252.25,,,,,Main Part,,,,,,,,,,,,,,,,,,,,
1252.25,1259.5,Main Part,P8(Main),P8(Oboe 2),P8(Oboe 1),,,,,,,,P3(F Horn 4),P3(F Horn 3),,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
1259.5,1269.5,,,,,Main Part,,,,,,,,,,,,,,,,P8(Violin 2),P8(Violin 1),,,
1269.5,1299.5,,,,,,,,,,,,,,,,,,P8(Tuba),P8(Bass Trombone),,Main Part,,,,
1299.5,1306.0,U(Flute 2),U(Flute 1),,,,,P8(Violoncello)&P8(Contrabass),,,,P3(F Horn 3)&P3(F Trumpet 1)&P8(F Trumpet 2)&U(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba),P3(F Horn 2)&P5(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&U(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba),,P3(F Horn 2)&P5(F Horn 3)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&P5(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba),P8(F Horn 2)&P3(F Horn 3)&P3(F Trumpet 1)&P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba),U(F Horn 2)&P3(F Horn 3)&P3(F Trumpet 1)&P8(F Trumpet 2)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba),P3(F Horn 2)&U(F Horn 3)&P5(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&P3(Bass Trombone)&P3(Tuba),P8(F Horn 2)&P3(F Horn 3)&P3(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Tuba),P8(F Horn 2)&P3(F Horn 3)&P3(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone),,Main Part,,,P8(Bassoon 1)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)
1306.0,1308.5,,,Main Part,,P3(Bassoon 2),,,P3(A Clarinet 1),,,,,,,,,,,,,P3(Violoncello)&P3(Contrabass),,,P3(Violin 1)&P8(Contrabass),P3(Violin 1)&P8(Violoncello)
1308.5,1311.5,,,,,Main Part,,U(Viola),U(Violoncello)&P8(Contrabass),,,,,,,,,,,,,,,U(Bassoon 1),U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
1311.5,1317.5,,,,,,,,,,,,,,,,,,,,,Main Part,,,,
1317.5,1329.5,Main Part,,,,,,,,,,,,,,,,,,,,,,,,
1329.5,1341.5,,,Main Part,,,,,,,,,,,,,,,,,,,,,,
1341.5,1365.5,P8(Oboe 1),,P8(Flute 1),,,,P5(Bassoon 2)&P5(F Horn 1)&P5(F Horn 3)&U(F Horn 4),P5(Bassoon 1)&P8(F Horn 1)&P8(F Horn 3)&P5(F Horn 4),,P5(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 3)&P5(F Horn 4),,P5(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P5(F Horn 4),U(Bassoon 1)&P5(Bassoon 2)&P5(F Horn 1)&P5(F Horn 3),,,,,,,,Main Part,,,,
1365.5,1370.0,,,,,,,,,,P3(F Horn 2),P3(F Horn 1),,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1370.0,1381.5,,,,,,,,,,Main Part,,,,,,,,,,,,,,,
1381.5,1384.5,,,,,,,,,,,,Main Part,,,,,,,,,,P5(Viola)&P8(Contrabass),P5(Violin 2)&P5(Contrabass),,P8(Violin 2)&P5(Viola)
1384.5,1403.0,,,,,,,,,,,,,,,,,,,,,P3(Violin 2),P3(Violin 1),,Main Part,
1403.0,1419.5,P8(Flute 2)&U(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Oboe 1)&U(Oboe 2),U(Flute 1)&P8(Flute 2)&P8(Oboe 2),P8(Flute 1)&U(Flute 2)&P8(Oboe 1),,,,,,,,,,Main Part,,P6(Tenor Trombone 2),P6(Tenor Trombone 1),P8(Tuba),P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
1419.5,1425.5,Main Part,P8(Main)&P8(Oboe 1)&U(Oboe 2),U(Main)&P8(Flute 2)&P8(Oboe 2),P8(Main)&U(Flute 2)&P8(Oboe 1),,,,,,,,,,,,,,P8(Tuba),P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
1425.5,1427.0,P8(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P5(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba),P8(Flute 1)&P8(Oboe 1)&U(Oboe 2)&P5(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba),U(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P5(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba),P8(Flute 1)&U(Flute 2)&P8(Oboe 1)&P5(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba),P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P3(A Clarinet 1)&P5(Bassoon 1)&P5(Bassoon 2),P3(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 2),P3(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1),,,,,,U(F Trumpet 2),U(F Trumpet 1),P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P3(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Tenor Trombone 1)&P3(Bass Trombone)&P3(Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P5(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone),,,P3(Main),Main Part,P8(Contrabass),P8(Violoncello)
1427.0,1450.25,,,,,,,,,,,,,,Main Part,,,,P8(Tuba),P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
1450.25,1463.0,U(Oboe 1)&P8(A Clarinet 2),P8(Oboe 2)&U(A Clarinet 1),U(Flute 1)&P8(A Clarinet 2),P8(Flute 2)&P8(A Clarinet 1),U(Flute 2)&P8(Oboe 2),P8(Flute 1)&P8(Oboe 1),P8(Bassoon 2),P8(Bassoon 1),,,,,,P6(Tenor Trombone 1)&P6(Tenor Trombone 2),,P6(F Trumpet 1)&P8(Tenor Trombone 2),P6(F Trumpet 1)&P8(Tenor Trombone 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1463.0,1475.0,Main Part,U(Main),,,,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),,P8(F Horn 2),P8(F Horn 1),P8(F Horn 4),P8(F Horn 3),,,,,P8(Tuba),P8(Bass Trombone),,,,,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
1475.0,1499.0,,,,,,,,,,,,,,,,,,P8(Tuba),P8(Bass Trombone),,Main Part,,,P8(Contrabass),P8(Violoncello)
1499.0,1521.5,,,,,,,,,,,,,,Main Part,,P5(Bass Trombone)&P5(Tuba),,P5(Tenor Trombone 1)&P8(Tuba),P5(Tenor Trombone 1)&P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
1521.5,1527.5,,,,,U(A Clarinet 2)&U(Viola),U(A Clarinet 1)&U(Viola),Main Part,U(Contrabass),,"U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(B, D, E Timpani)","U(F Horn 1)&P8(F Horn 3)&P8(F Horn 4)&P8(B, D, E Timpani)","P8(F Horn 1)&P8(F Horn 2)&U(F Horn 4)&U(B, D, E Timpani)","P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&U(B, D, E Timpani)",,,,,,,P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&U(F Horn 4),,,U(A Clarinet 1)&U(A Clarinet 2),U(Main),U(Bassoon 2)
1527.5,1533.5,,,"U(Oboe 2)&P8(F Horn 4)&P8(B, D, E Timpani)&U(Violin 2)","U(Oboe 1)&P8(F Horn 4)&P8(B, D, E Timpani)&U(Violin 2)",Main Part,U(Main)&U(Viola),U(Violoncello),P8(Contrabass),,,,,"P8(Oboe 1)&P8(Oboe 2)&U(B, D, E Timpani)&P8(Violin 2)",,,,,,,P8(Oboe 1)&P8(Oboe 2)&U(F Horn 4)&P8(Violin 2),,"U(Oboe 1)&U(Oboe 2)&P8(F Horn 4)&P8(B, D, E Timpani)",U(Main)&U(A Clarinet 2),U(Bassoon 1),P8(Bassoon 2)
1533.5,1539.5,U(Flute 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Bass Trombone)&P8(Tuba)&U(Violin 1),U(Flute 1)&P8(F Horn 1)&P8(F Horn 2)&P8(Bass Trombone)&P8(Tuba)&U(Violin 1),Main Part,U(Main)&U(Violin 2),U(A Clarinet 2)&U(Viola),U(A Clarinet 1)&U(Viola),U(Violoncello),"U(F Horn 4)&U(B, D, E Timpani)&P8(Contrabass)",,P8(Flute 1)&P8(Flute 2)&P8(F Horn 2)&P8(Bass Trombone)&P8(Tuba)&P8(Violin 1),P8(Flute 1)&P8(Flute 2)&P8(F Horn 1)&P8(Bass Trombone)&P8(Tuba)&P8(Violin 1),,"U(Bassoon 2)&U(B, D, E Timpani)&P8(Contrabass)",,,,,P8(Flute 1)&P8(Flute 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Tuba)&P8(Violin 1),P8(Flute 1)&P8(Flute 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Bass Trombone)&P8(Violin 1),U(Bassoon 2)&U(F Horn 4)&P8(Contrabass),U(Flute 1)&U(Flute 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Bass Trombone)&P8(Tuba),U(Main)&U(Oboe 2),U(A Clarinet 1)&U(A Clarinet 2),U(Bassoon 1),"P8(Bassoon 2)&P8(F Horn 4)&P8(B, D, E Timpani)"
1539.5,1546.5,Main Part,U(Main)&U(Violin 1),U(Oboe 2)&U(Violin 2),U(Oboe 1)&U(Violin 2),U(A Clarinet 2)&U(Viola),U(A Clarinet 1)&U(Viola),U(Violoncello),P8(F Horn 3)&U(F Horn 4)&U(Bass Trombone)&P8(Tuba)&P8(Contrabass),,,,P8(Bassoon 2)&P8(F Horn 4)&P8(Bass Trombone)&P8(Tuba)&P8(Contrabass),U(Bassoon 2)&P8(F Horn 3)&U(Bass Trombone)&P8(Tuba)&P8(Contrabass),U(F Trumpet 2),U(F Trumpet 1),P3(Tenor Trombone 2),P3(Tenor Trombone 1),U(Bassoon 2)&P8(F Horn 3)&U(F Horn 4)&P8(Tuba)&P8(Contrabass),P8(Bassoon 2)&P8(F Horn 3)&P8(F Horn 4)&P8(Bass Trombone)&U(Contrabass),,U(Main)&U(Flute 2),U(Oboe 1)&U(Oboe 2),U(A Clarinet 1)&U(A Clarinet 2),U(Bassoon 1),P8(Bassoon 2)&P8(F Horn 3)&P8(F Horn 4)&P8(Bass Trombone)&U(Tuba)
1546.5,1558.25,,,P3(Oboe 2),P3(Oboe 1),P8(Tenor Trombone 2),,P8(Bassoon 2)&P8(Bass Trombone)&P8(Tuba)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bass Trombone)&P8(Tuba)&U(Violoncello)&P8(Contrabass),,Main Part,U(Main),P8(Viola),,U(F Trumpet 2),U(F Trumpet 1),,P8(A Clarinet 1),P8(Bassoon 1)&U(Bassoon 2)&P8(Tuba)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),,P8(Violin 2),P8(Violin 1),P8(F Horn 3),P8(Bassoon 1)&U(Bassoon 2)&U(Bass Trombone)&P8(Tuba)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Bass Trombone)&U(Tuba)&P8(Violoncello)
1558.25,1570.5,Main Part,U(Main)&U(Violin 1)&P8(Violin 2),,,P8(A Clarinet 2),P8(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,,U(Main)&U(Flute 2)&P8(Violin 2),P8(Main)&P8(Flute 2)&P8(Violin 1),,P8(Contrabass),P8(Violoncello)
1570.5,1582.5,P8(A Clarinet 1),P8(A Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,,,,,,P3(F Trumpet 2),P3(F Trumpet 1),Main Part,U(Main)&P8(Bass Trombone),P8(Main)&P8(Tenor Trombone 2),,,,,,P8(Contrabass),P8(Violoncello)
1582.5,1593.5,P8(A Clarinet 1),P8(A Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,,Main Part,P3(Main),,,P3(F Trumpet 2),P3(F Trumpet 1),,,P8(Tuba),P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
1593.5,1606.5,,,,,P8(Main),,,,,,,,,,,,,P8(Tuba),P8(Bass Trombone),,Main Part,,,P8(Contrabass),P8(Violoncello)
1606.5,1617.5,,,,,,,,,,,,,,Main Part,,,,P8(Tuba),P8(Bass Trombone),,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
1617.5,1643.5,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1643.5,1649.5,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(F Horn 1),P8(Main)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(F Horn 1),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&U(A Clarinet 2)&U(F Horn 1),U(Main)&U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P8(F Horn 1),P8(Main)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1)&U(F Horn 1),P8(Bassoon 2),P8(Bassoon 1),,P8(Main)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2),,,,,U(Violin 1),,,,,,U(F Trumpet 2),,,,
1649.5,1656.5,"U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P5(Tenor Trombone 1)&P8(Bass Trombone)&P8(Tuba)&P8(B, D, E Timpani)","U(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P5(Tenor Trombone 1)&P8(Bass Trombone)&P8(Tuba)&P8(B, D, E Timpani)","U(Flute 1)&U(Flute 2)&P8(Oboe 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P5(Tenor Trombone 1)&P8(Bass Trombone)&P8(Tuba)&P8(B, D, E Timpani)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(F Trumpet 1)&U(F Trumpet 2)&P5(Tenor Trombone 1)&P8(Bass Trombone)&P8(Tuba)&P8(B, D, E Timpani)",,,,,,,,U(F Horn 4),U(F Horn 3),"P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&U(F Trumpet 2)&P5(Tenor Trombone 1)&P8(Bass Trombone)&P8(Tuba)&P8(B, D, E Timpani)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&U(F Trumpet 1)&P5(Tenor Trombone 1)&P8(Bass Trombone)&P8(Tuba)&P8(B, D, E Timpani)","P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(Bass Trombone)&P5(Tuba)&P5(B, D, E Timpani)",,"P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P5(Tenor Trombone 1)&P8(Tuba)&U(B, D, E Timpani)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P5(Tenor Trombone 1)&P8(Bass Trombone)&P8(B, D, E Timpani)",P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P5(Tenor Trombone 1)&U(Bass Trombone)&P8(Tuba),Main Part,U(Main),,,
1656.5,1659.5,,,,,,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),,Main Part,U(F Horn 3),U(F Horn 2),,U(F Trumpet 2),U(F Trumpet 1),,,,,,P8(Violin 2)&P8(Viola),P8(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
1659.5,1675.5,P8(Oboe 2)&P8(A Clarinet 2)&P8(Tenor Trombone 1),P8(Bass Trombone)&P8(Tuba),U(A Clarinet 1)&P8(Tenor Trombone 2),P8(Flute 1)&U(A Clarinet 2)&P8(Tenor Trombone 1),U(Oboe 1)&P8(Tenor Trombone 2),P8(Flute 1)&U(Oboe 2)&P8(Tenor Trombone 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,,,P8(F Trumpet 2),,Main Part,P8(F Horn 3),P8(Flute 1)&P8(Oboe 2)&P8(A Clarinet 2),P8(Oboe 1)&P8(A Clarinet 1),P8(Flute 2)&P8(Tuba),P8(Flute 2)&P8(Bass Trombone),,P8(Violin 2),P8(Violin 1),,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
