qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
150.5,159.5,,,,,,,,,,,,,,,Main Part,,,
159.5,165.0,,,,,,,Main Part,,,,,,,,,U(Main),,
165.0,168.0,,,,P8(F Horn 1)&P8(F Horn 2),,,,Main Part,P8(Oboe 2)&U(F Horn 2),P8(Oboe 2)&U(F Horn 1),,,,,,,U(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
168.0,169.5,P4(C Clarinet 1)&P8(C Clarinet 2),,P8(Main),P8(F Horn 2),P4(Flute 1)&P4(C Clarinet 2),P8(Flute 1)&P4(C Clarinet 1),,U(Violoncello)&P8(Contrabass),Main Part,P8(Oboe 2),,,,,,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
169.5,178.5,Main Part,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
178.5,189.0,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(C Clarinet 1),P8(C Clarinet 2),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
189.0,201.0,,,,,,,,,,,,,,Main Part,,,,
201.0,212.0,Main Part,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
212.0,218.0,P8(C Clarinet 2)&P8(F Horn 1),,P8(Oboe 2),P8(Oboe 1),P8(Bassoon 2)&P8(F Horn 2),P8(Flute 1)&U(F Horn 1),,P8(C Clarinet 1)&U(F Horn 2),P8(Flute 1)&U(C Clarinet 2),P8(C Clarinet 1)&U(Bassoon 2),,,,Main Part,,,,
218.0,230.0,Main Part,,,,,,,,,,P8(C Trumpet 2),P8(C Trumpet 1),,,,,,
230.0,236.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
236.0,241.5,,,,U(C Clarinet 1),U(Oboe 2),,,,,,P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
241.5,244.5,,,P8(F Horn 1)&P8(F Horn 2)&P8(Viola)&P6(Violoncello)&P6(Contrabass),,,,,,P8(Oboe 1)&P8(F Horn 2)&U(Viola)&P6(Violoncello)&P6(Contrabass),P8(Oboe 1)&P8(F Horn 1)&P8(Viola)&P6(Violoncello)&P6(Contrabass),,,,Main Part,,P8(Oboe 1)&U(F Horn 1)&P8(F Horn 2)&P6(Violoncello)&P6(Contrabass),P6(Oboe 1)&P6(F Horn 1)&P6(F Horn 2)&P6(Viola)&P8(Contrabass),P6(Oboe 1)&P6(F Horn 1)&P6(F Horn 2)&P6(Viola)&P8(Violoncello)
244.5,261.5,,,Main Part,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
261.5,273.0,Main Part,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
273.0,274.5,,,Main Part,P3(Main),,,,,P3(F Horn 2),P3(F Horn 1),,,,,P4(Viola),P4(Violin 2),P8(Contrabass),P8(Violoncello)
274.5,279.0,,,,,P3(C Clarinet 2),P3(C Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
279.0,280.5,,,Main Part,P3(Main),,,,,P3(F Horn 2),P3(F Horn 1),,,,,P4(Viola),P4(Violin 2),P8(Contrabass),P8(Violoncello)
280.5,285.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
285.0,289.5,P8(Violin 2),,,,P5(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P5(C Clarinet 1)&P8(Bassoon 1)&P3(Bassoon 2)&P7(Viola)&P7(Violoncello)&P7(Contrabass),P5(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 2)&P7(Viola)&P7(Violoncello)&P7(Contrabass),P3(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 1)&P5(Viola)&P5(Violoncello)&P5(Contrabass),Main Part,,,,,,P8(Flute 1),P3(C Clarinet 1)&P7(C Clarinet 2)&P7(Bassoon 1)&P5(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P3(C Clarinet 1)&P7(C Clarinet 2)&P7(Bassoon 1)&P5(Bassoon 2)&P8(Viola)&P8(Contrabass),P3(C Clarinet 1)&P7(C Clarinet 2)&P7(Bassoon 1)&P5(Bassoon 2)&P8(Viola)&P8(Violoncello)
289.5,291.5,Main Part,,P8(Violin 1),P3(F Horn 2),,,P3(Bassoon 2),P3(Bassoon 1),,P3(Oboe 2),,,,P8(Oboe 1),P8(Main),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
