qstamp_start,qstamp_end,Principal Violin,Flute 1,Flute 2,Violin 1,Violin 2,Viola,Violoncello,Violone,Continuo
117.25,117.75,Main Part,,,U(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
117.75,118.25,U(Violin 1)&P3(Violin 2),Main Part,,U(Principal Violin)&P3(Violin 2),P3(Principal Violin)&P3(Violin 1),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
118.25,118.75,Main Part,,,U(Main)&P3(Violin 2),P3(Main)&P3(Violin 1),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
118.75,119.25,U(Violin 1),Main Part,P3(Main),U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
119.25,119.75,Main Part,P3(Flute 2),P3(Flute 1),U(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
119.75,120.25,U(Violin 1)&P3(Violin 2),Main Part,,U(Principal Violin)&P3(Violin 2),P3(Principal Violin)&P3(Violin 1),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
120.25,123.25,Main Part,,,P8(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
123.25,126.25,Main Part,P3(Flute 2)&P8(Violin 1)&P4(Violin 2)&P3(Viola),P3(Flute 1)&P3(Violin 1)&P6(Violin 2)&U(Viola),P8(Flute 1)&P3(Flute 2)&P4(Violin 2)&P3(Viola),P4(Flute 1)&P6(Flute 2)&P4(Violin 1)&P6(Viola),P3(Flute 1)&U(Flute 2)&P3(Violin 1)&P6(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
126.25,129.25,Main Part,,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
129.25,132.0,Main Part,P4(Flute 2)&P4(Violin 1)&P8(Violin 2)&P6(Viola),P4(Flute 1)&U(Violin 1)&P4(Violin 2)&P3(Viola),P4(Flute 1)&U(Flute 2)&P4(Violin 2)&P3(Viola),P8(Flute 1)&P4(Flute 2)&P4(Violin 1)&P6(Viola),P6(Flute 1)&P3(Flute 2)&P3(Violin 1)&P6(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
132.0,135.25,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
135.25,138.25,Main Part,P6(Flute 2)&P6(Violin 1)&P4(Violin 2)&P4(Viola),P6(Flute 1)&U(Violin 1)&P3(Violin 2)&P3(Viola),P6(Flute 1)&U(Flute 2)&P3(Violin 2)&P3(Viola),P4(Flute 1)&P3(Flute 2)&P3(Violin 1)&P8(Viola),P4(Flute 1)&P3(Flute 2)&P3(Violin 1)&P8(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
138.25,144.25,Main Part,,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
144.25,147.25,Main Part,,,,,,U(Continuo),,U(Violoncello)
147.25,150.25,Main Part,,,,,,U(Continuo),,U(Violoncello)
150.25,153.0,Main Part,P5(Flute 2)&U(Violin 1)&P5(Violin 2)&P3(Viola)&P8(Violone),P5(Flute 1)&P5(Violin 1)&P8(Violin 2)&P3(Viola)&P5(Violone),U(Flute 1)&P5(Flute 2)&P5(Violin 2)&P3(Viola)&P8(Violone),P5(Flute 1)&P8(Flute 2)&P5(Violin 1)&P3(Viola)&P5(Violone),P3(Flute 1)&P3(Flute 2)&P3(Violin 1)&P3(Violin 2)&P3(Violone),U(Continuo),P8(Flute 1)&P5(Flute 2)&P8(Violin 1)&P5(Violin 2)&P3(Viola),U(Violoncello)
153.0,156.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
156.25,159.25,Main Part,P3(Flute 2),P3(Flute 1),P3(Violin 2)&P3(Viola),P3(Violin 1)&P8(Viola),P3(Violin 1)&P8(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
159.25,162.25,Main Part,,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
162.25,165.0,Main Part,P5(Flute 2)&P5(Violin 1)&P8(Violin 2)&P3(Viola),P5(Flute 1)&U(Violin 1)&P5(Violin 2)&P3(Viola),P5(Flute 1)&U(Flute 2)&P5(Violin 2)&P3(Viola),P8(Flute 1)&P5(Flute 2)&P5(Violin 1)&P3(Viola),P3(Flute 1)&P3(Flute 2)&P3(Violin 1)&P3(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
165.0,168.25,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
168.25,171.25,Main Part,P3(Flute 2)&P3(Violin 1)&P5(Violin 2)&P5(Viola),P3(Flute 1)&U(Violin 1)&P3(Violin 2)&P3(Viola),P3(Flute 1)&U(Flute 2)&P3(Violin 2)&P3(Viola),P5(Flute 1)&P3(Flute 2)&P3(Violin 1)&P8(Viola),P5(Flute 1)&P3(Flute 2)&P3(Violin 1)&P8(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
171.25,174.25,Main Part,,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
174.25,180.25,Main Part,,,,,,U(Continuo),,U(Violoncello)
180.25,183.25,Main Part,,,,,,U(Continuo),,U(Violoncello)
183.25,186.5,Main Part,P3(Flute 2),P3(Flute 1),U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),,,
186.5,192.5,,Main Part,,,,U(Violoncello),U(Viola),P8(Continuo),P8(Violone)
192.5,198.5,,,,Main Part,,U(Violoncello),U(Viola),P8(Continuo),P8(Violone)
198.5,204.0,,Main Part,,P5(Viola),,P5(Violin 1),,P8(Continuo),P8(Violone)
204.0,213.5,,Main Part,,,,,P8(Violone),P8(Violoncello),
213.5,222.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
222.25,227.75,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
227.75,228.25,Main Part,,,U(Main)&P3(Violin 2)&P5(Viola)&P3(Violoncello)&P3(Violone)&P3(Continuo),P3(Main)&P3(Violin 1)&P3(Viola)&P8(Violoncello)&P8(Violone)&P8(Continuo),P5(Main)&P5(Violin 1)&P3(Violin 2)&P3(Violoncello)&P3(Violone)&P3(Continuo),P3(Main)&P3(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Violone)&U(Continuo),P3(Main)&P3(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Continuo),P3(Main)&P3(Violin 1)&P8(Violin 2)&P3(Viola)&U(Violoncello)&P8(Violone)
228.25,228.75,U(Violin 1),Main Part,,U(Principal Violin),P3(Viola),P3(Violin 2),P3(Main)&P8(Violone)&U(Continuo),P3(Main)&P8(Violoncello)&P8(Continuo),P3(Main)&U(Violoncello)&P8(Violone)
228.75,229.25,Main Part,,,U(Main)&P3(Violoncello)&P3(Violone)&P3(Continuo),P3(Viola),P3(Violin 2),P3(Main)&P3(Violin 1)&P8(Violone)&U(Continuo),P3(Main)&P3(Violin 1)&P8(Violoncello)&P8(Continuo),P3(Main)&P3(Violin 1)&U(Violoncello)&P8(Violone)
229.25,229.75,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
229.75,230.25,Main Part,,,U(Main),P6(Viola),P6(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
230.25,230.75,U(Violin 1),Main Part,,U(Principal Violin),P6(Viola),P6(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
230.75,231.25,Main Part,,,U(Main),P6(Viola)&P6(Violoncello)&P6(Violone)&P6(Continuo),P6(Violin 2)&P8(Violoncello)&P8(Violone)&P8(Continuo),P6(Violin 2)&P8(Viola)&P8(Violone)&U(Continuo),P6(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Continuo),P6(Violin 2)&P8(Viola)&U(Violoncello)&P8(Violone)
231.25,234.25,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
234.25,235.75,U(Violin 1)&P5(Violin 2)&P3(Viola),Main Part,,U(Principal Violin)&P5(Violin 2)&P3(Viola),P5(Principal Violin)&P5(Violin 1)&P3(Viola),P3(Principal Violin)&P3(Violin 1)&P3(Violin 2),U(Continuo),,U(Violoncello)
235.75,237.25,U(Violin 1),,Main Part,U(Principal Violin),,,U(Continuo),,U(Violoncello)
237.25,240.25,U(Violin 1),Main Part,,U(Principal Violin),,,,,
240.25,246.25,U(Violin 1),Main Part,,U(Principal Violin),,,,,
246.25,250.75,U(Violin 1)&P4(Violin 2)&P3(Viola)&P8(Violone),Main Part,,U(Principal Violin)&P4(Violin 2)&P3(Viola)&P8(Violone),P4(Principal Violin)&P4(Violin 1)&P6(Viola)&P4(Violone),P3(Principal Violin)&P3(Violin 1)&P6(Violin 2)&P3(Violone),,P8(Principal Violin)&P8(Violin 1)&P4(Violin 2)&P3(Viola),
250.75,253.75,,,Main Part,,,,,,
253.75,255.25,,Main Part,,,,,,,
255.25,256.75,,,Main Part,,,,,,
256.75,258.25,,Main Part,,,,,,,
258.25,259.75,,,Main Part,,,,P3(Main)&U(Continuo),,P3(Main)&U(Violoncello)
259.75,261.25,,Main Part,,,,,U(Continuo),,U(Violoncello)
261.25,262.75,,,Main Part,,,,U(Continuo),,U(Violoncello)
262.75,267.25,,Main Part,,,,,,,
267.25,270.25,,,Main Part,,,,,,
270.25,271.75,,Main Part,,,,,,,
271.75,273.25,,,Main Part,,,,,,
273.25,274.75,,Main Part,,,,,,,
274.75,276.0,P4(Violin 1)&U(Violin 2)&P3(Viola)&P4(Violone),,Main Part,P4(Principal Violin)&P4(Violin 2)&P6(Viola)&P8(Violone),U(Principal Violin)&P4(Violin 1)&P3(Viola)&P4(Violone),P3(Principal Violin)&P6(Violin 1)&P3(Violin 2)&P6(Violone),U(Continuo),P4(Principal Violin)&P8(Violin 1)&P4(Violin 2)&P6(Viola),U(Violoncello)
276.0,279.125,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
279.125,312.0,Main Part,,,,,,P8(Violone),P8(Violoncello),
312.0,315.0,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
315.0,321.0,,,Main Part,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),U(Continuo),,U(Violoncello)
321.0,330.5,,Main Part,,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
330.5,338.0,,Main Part,,,,,U(Continuo),,U(Violoncello)
338.0,339.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
339.25,345.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
345.25,345.75,Main Part,,,U(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
345.75,346.25,U(Violin 1)&P3(Violin 2),Main Part,P3(Main),U(Principal Violin)&P3(Violin 2),P3(Principal Violin)&P3(Violin 1),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
346.25,346.75,Main Part,,,U(Main)&P3(Violoncello)&P3(Violone)&P3(Continuo),,,P3(Main)&P3(Violin 1)&P8(Violone)&U(Continuo),P3(Main)&P3(Violin 1)&P8(Violoncello)&P8(Continuo),P3(Main)&P3(Violin 1)&U(Violoncello)&P8(Violone)
346.75,347.25,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
347.25,347.75,Main Part,,,U(Main)&P3(Violin 2)&P3(Violoncello)&P3(Violone)&P3(Continuo),P3(Main)&P3(Violin 1),,P3(Main)&P3(Violin 1)&P8(Violone)&U(Continuo),P3(Main)&P3(Violin 1)&P8(Violoncello)&P8(Continuo),P3(Main)&P3(Violin 1)&U(Violoncello)&P8(Violone)
347.75,351.25,,Main Part,,,,,U(Continuo),,U(Violoncello)
351.25,360.0,Main Part,P5(Flute 2),P5(Flute 1),,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
360.0,363.25,,,Main Part,,,,,P8(Continuo),P8(Violone)
363.25,366.25,Main Part,P3(Flute 2),P3(Flute 1),,,,,U(Continuo),U(Violone)
366.25,372.0,Main Part,P4(Flute 2),P4(Flute 1),,,,U(Violone)&U(Continuo),U(Violoncello)&U(Continuo),U(Violoncello)&U(Violone)
372.0,375.25,,,Main Part,,,,P8(Violone)&P8(Continuo),P8(Violoncello)&P8(Continuo),P8(Violoncello)&P8(Violone)
375.25,378.25,Main Part,P6(Flute 2)&P4(Viola),P6(Flute 1)&P3(Viola),,,P4(Flute 1)&P3(Flute 2),P8(Violone)&P8(Continuo),P8(Violoncello)&P8(Continuo),P8(Violoncello)&P8(Violone)
378.25,384.25,Main Part,,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
384.25,387.25,Main Part,P3(Viola),,P8(Violin 2)&P8(Violone),P8(Violin 1)&P8(Violone),P3(Flute 1),U(Continuo),P8(Violin 1)&P8(Violin 2),U(Violoncello)
387.25,390.25,Main Part,,,,,,U(Continuo),,U(Violoncello)
390.25,393.5,Main Part,,,P3(Violin 2),P3(Violin 1),,U(Continuo),,U(Violoncello)
393.5,399.5,,P6(Flute 2),P6(Flute 1),Main Part,,,U(Continuo),,U(Violoncello)
399.5,411.25,,Main Part,,,,,U(Continuo),,U(Violoncello)
411.25,414.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
414.25,417.25,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
417.25,420.25,,Main Part,,,,,U(Continuo),,U(Violoncello)
420.25,423.25,Main Part,,,,,,U(Continuo),,U(Violoncello)
423.25,426.25,,,Main Part,,,,U(Continuo),,U(Violoncello)
426.25,427.75,U(Violin 1)&P4(Violin 2)&P3(Viola),Main Part,,U(Principal Violin)&P4(Violin 2)&P3(Viola),P4(Principal Violin)&P4(Violin 1)&P6(Viola),P3(Principal Violin)&P3(Violin 1)&P6(Violin 2),U(Continuo),,U(Violoncello)
427.75,429.25,U(Violin 1),,Main Part,U(Principal Violin),,,U(Continuo),,U(Violoncello)
429.25,430.75,P3(Violin 2)&P6(Viola),Main Part,,P3(Violone),P3(Principal Violin)&P4(Viola),P6(Principal Violin)&P4(Violin 2),U(Continuo),P3(Violin 1),U(Violoncello)
430.75,432.5,U(Violin 1),,Main Part,U(Principal Violin),,,U(Continuo),,U(Violoncello)
432.5,433.75,,Main Part,,,,,U(Continuo),,U(Violoncello)
433.75,435.25,U(Violin 1),,Main Part,U(Principal Violin),,,U(Continuo),,U(Violoncello)
435.25,436.75,,Main Part,,,,,U(Continuo),,U(Violoncello)
436.75,438.25,,,Main Part,,,,P8(Violone),P8(Violoncello),
438.25,442.75,,Main Part,,P4(Violin 2)&P3(Viola)&P8(Violone),P4(Violin 1)&P6(Viola)&P4(Violone),P3(Violin 1)&P6(Violin 2)&P3(Violone),,P8(Violin 1)&P4(Violin 2)&P3(Viola),
442.75,445.75,,,Main Part,,,,,,
445.75,447.25,,Main Part,,P3(Violin 2),P3(Violin 1),,P8(Continuo),,P8(Violoncello)
447.25,448.75,,,Main Part,,,,P8(Continuo),,P8(Violoncello)
448.75,450.25,,Main Part,,,,,P8(Continuo),,P8(Violoncello)
450.25,451.75,,,Main Part,,,,P8(Continuo),,P8(Violoncello)
451.75,453.25,,Main Part,,P4(Violin 2)&P8(Viola),P4(Violin 1)&P4(Viola),P8(Violin 1)&P4(Violin 2),P8(Violone),P8(Violoncello),
453.25,454.75,,,Main Part,,,,P8(Violone),P8(Violoncello),
454.75,459.25,,Main Part,,,,,,,
459.25,462.25,,,Main Part,,,,,,
462.25,465.5,,Main Part,,P3(Violin 2),P3(Violin 1),,,,
465.5,471.5,,,,Main Part,,,,P8(Continuo),P8(Violone)
471.5,477.5,,Main Part,,P4(Violoncello),,,P4(Violin 1),P8(Continuo),P8(Violone)
477.5,483.0,,,,Main Part,,,,P8(Continuo),P8(Violone)
483.0,486.0,Main Part,,,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
486.0,492.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
492.25,502.75,Main Part,,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
502.75,507.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
507.25,507.75,,Main Part,,P6(Viola),,P6(Violin 1),P3(Main)&P8(Violone)&U(Continuo),P3(Main)&P8(Violoncello)&P8(Continuo),P3(Main)&U(Violoncello)&P8(Violone)
507.75,508.25,Main Part,,,U(Main)&P3(Violoncello)&P3(Violone)&P3(Continuo),,,P3(Main)&P3(Violin 1)&P8(Violone)&U(Continuo),P3(Main)&P3(Violin 1)&P8(Violoncello)&P8(Continuo),P3(Main)&P3(Violin 1)&U(Violoncello)&P8(Violone)
508.25,508.75,U(Violin 1),Main Part,,U(Principal Violin),P3(Viola),P3(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
508.75,509.25,Main Part,,,U(Main),P3(Viola),P3(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
509.25,509.75,U(Violin 1)&P3(Viola),Main Part,,U(Principal Violin)&P3(Viola),P3(Viola),P3(Principal Violin)&P3(Violin 1)&P3(Violin 2),P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
509.75,510.25,Main Part,,,U(Main)&P3(Viola)&P3(Violoncello)&P3(Violone)&P3(Continuo),P3(Viola)&P3(Violoncello)&P3(Violone)&P3(Continuo),P3(Main)&P3(Violin 1)&P3(Violin 2)&P8(Violoncello)&P8(Violone)&P8(Continuo),P3(Main)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violone)&U(Continuo),P3(Main)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Continuo),P3(Main)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&U(Violoncello)&P8(Violone)
510.25,516.0,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
516.0,519.0,U(Violin 1),,Main Part,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
519.0,525.0,U(Violin 1)&P3(Viola),Main Part,,U(Principal Violin)&P3(Viola),,P3(Principal Violin)&P3(Violin 1),U(Continuo),,U(Violoncello)
525.0,534.25,,Main Part,,,,,P8(Violone),P8(Violoncello),
534.25,537.25,,,Main Part,,,,,,
537.25,540.25,,Main Part,,,P3(Viola),P3(Violin 2),U(Continuo),,U(Violoncello)
540.25,543.25,,,Main Part,,P3(Viola),P3(Violin 2),U(Continuo),,U(Violoncello)
543.25,546.25,Main Part,,,,,,U(Continuo),,U(Violoncello)
546.25,549.0,,Main Part,,,,,U(Continuo),,U(Violoncello)
549.0,552.0,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
552.0,558.0,,Main Part,P3(Main),P3(Viola),,P3(Violin 1),U(Continuo),,U(Violoncello)
558.0,561.0,Main Part,P8(Viola),,,,P8(Flute 1),P8(Continuo),,P8(Violoncello)
561.0,567.5,,,,Main Part,P3(Main),,,,
567.5,585.25,,Main Part,,,,,,,
585.25,588.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
588.25,591.25,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
591.25,594.25,,Main Part,,,,,U(Continuo),,U(Violoncello)
594.25,597.25,Main Part,,,,,,U(Continuo),,U(Violoncello)
597.25,600.0,,,Main Part,,,,U(Continuo),,U(Violoncello)
600.0,603.0,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
603.0,609.0,,,Main Part,P3(Viola),,P3(Violin 1),U(Continuo),,U(Violoncello)
609.0,618.5,,Main Part,,,,,P8(Violone),P8(Violoncello),
618.5,627.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
627.25,633.25,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
633.25,633.75,Main Part,,,U(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
633.75,634.25,U(Violin 1)&P3(Violin 2),Main Part,,U(Principal Violin)&P3(Violin 2),P3(Principal Violin)&P3(Violin 1),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
634.25,634.75,Main Part,,,U(Main)&P3(Violin 2),P3(Main)&P3(Violin 1),,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
634.75,635.25,U(Violin 1),Main Part,P3(Main),U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
635.25,635.75,Main Part,P3(Flute 2),P3(Flute 1),U(Main),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
635.75,639.0,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
