qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,E Horn 3,E Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
618.5,626.5,,,Main Part,,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
626.5,634.5,P3(Bb Clarinet 2)&P8(C Horn 1)&P8(C Horn 2)&P3(E Horn 4)&P8(C Trumpet 1)&P8(C Trumpet 2),,,,P8(E Horn 3),P3(Flute 1)&P3(C Horn 1)&P3(C Horn 2)&P8(E Horn 4)&P3(C Trumpet 1)&P3(C Trumpet 2),P8(Bassoon 2),P8(Bassoon 1),,P8(Flute 1)&P3(Bb Clarinet 2)&U(C Horn 2)&P3(E Horn 4)&U(C Trumpet 1)&U(C Trumpet 2),P8(Flute 1)&P3(Bb Clarinet 2)&U(C Horn 1)&P3(E Horn 4)&U(C Trumpet 1)&U(C Trumpet 2),P8(Bb Clarinet 1),P3(Flute 1)&P8(Bb Clarinet 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2),P8(Flute 1)&P3(Bb Clarinet 2)&U(C Horn 1)&U(C Horn 2)&P3(E Horn 4)&U(C Trumpet 2),P8(Flute 1)&P3(Bb Clarinet 2)&U(C Horn 1)&U(C Horn 2)&P3(E Horn 4)&U(C Trumpet 1),,,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
634.5,642.5,,,Main Part,,,,,,,,,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
642.5,651.0,Main Part,P4(Contrabassoon)&P8(Timpani)&P3(Violin 1)&P3(Violin 2)&P4(Violoncello)&P4(Contrabass),,,,,,,P4(Flute 2)&P4(Timpani)&P6(Violin 1)&P6(Violin 2)&P8(Violoncello)&U(Contrabass),,,,,,,,,,P8(Flute 2)&P4(Contrabassoon)&P3(Violin 1)&P3(Violin 2)&P4(Violoncello)&P4(Contrabass),P3(Flute 2)&P6(Contrabassoon)&P3(Timpani)&U(Violin 2)&P6(Violoncello)&P6(Contrabass),P3(Flute 2)&P6(Contrabassoon)&P3(Timpani)&U(Violin 1)&P6(Violoncello)&P6(Contrabass),,P4(Flute 2)&P8(Contrabassoon)&P4(Timpani)&P6(Violin 1)&P6(Violin 2)&P8(Contrabass),P4(Flute 2)&U(Contrabassoon)&P4(Timpani)&P6(Violin 1)&P6(Violin 2)&P8(Violoncello)
651.0,659.0,Main Part,P3(Main)&P3(Bassoon 1)&P8(Bassoon 2),,,P3(Bb Clarinet 2),P3(Bb Clarinet 1),P8(Main)&P3(Flute 2)&P3(Bassoon 2),P3(Main)&P8(Flute 2)&P3(Bassoon 1),P8(Violoncello)&U(Contrabass),,,,,,,,,,,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
659.0,667.0,P3(Flute 2),P3(Flute 1),P3(Oboe 2)&U(C Horn 1)&P3(C Horn 2),P3(Oboe 1)&P3(C Horn 1)&U(C Horn 2),Main Part,P8(Bassoon 2),P8(Main),P8(Bb Clarinet 2),P8(Violoncello)&U(Contrabass),U(Oboe 1)&P3(Oboe 2)&P3(C Horn 2),P3(Oboe 1)&U(Oboe 2)&P3(C Horn 1),,,P8(C Trumpet 2),P8(C Trumpet 1),,,,,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
667.0,683.0,,,U(Bb Clarinet 1)&P8(Viola),U(Bb Clarinet 2),U(Oboe 1)&P8(Viola),U(Oboe 2),,,P8(Violoncello)&U(Contrabass),,,,,,,,,,,Main Part,,P8(Oboe 1)&P8(Bb Clarinet 1),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
683.0,716.0,,,P8(Bb Clarinet 1),,P8(Oboe 1),,,,P8(Violoncello)&P8(Contrabass),,,,,,,,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),P8(Contrabassoon)&P8(Violoncello)
716.0,738.0,,P8(Oboe 2),,P8(Flute 2),,,,,,U(C Horn 2),U(C Horn 1),Main Part,,,,,,,,,,,,
738.0,799.0,,,,,,,,,,,,,,,,,,,,Main Part,,,,
799.0,803.0,,,Main Part,U(C Horn 2),,,P8(Bassoon 2),P8(Bassoon 1),,,U(Oboe 2),,,,,,,,,P8(Violoncello),U(Viola),U(Violin 2),P8(Violin 1),
803.0,810.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),U(Bb Clarinet 2),U(Bb Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,,,,,U(C Trumpet 2),U(C Trumpet 1),,,,,Main Part,,,P8(Main),
810.0,824.5,,,,,Main Part,,,,,,,,,P8(C Trumpet 2),P8(C Trumpet 1),,,,,,,,,
824.5,842.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1),U(Bb Clarinet 2),U(Bb Clarinet 1),,,,,,U(E Horn 4),U(E Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),,,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
842.0,859.5,,,Main Part,,,,,,,P8(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2),P8(C Horn 1)&P5(C Trumpet 1)&P5(C Trumpet 2),,,P5(C Horn 1)&P5(C Horn 2)&P8(C Trumpet 2),P5(C Horn 1)&P5(C Horn 2)&P8(C Trumpet 1),,,,,,,,,
859.5,875.0,P8(C Trumpet 1),P8(C Trumpet 2)&P8(Timpani),,P3(E Horn 3),,,,,,,,P3(Oboe 2),,P8(Flute 1),P8(Flute 2)&P8(Timpani),,,,P8(Flute 2)&P8(C Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
875.0,881.5,,,P8(Bb Clarinet 2),U(Bb Clarinet 1)&U(Violin 2),U(Oboe 2)&U(Violin 2),P8(Oboe 1),P8(Bassoon 2)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&U(Contrabass),,,,,,,,,,,Main Part,U(Oboe 2)&U(Bb Clarinet 1),,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
881.5,891.0,,,,,,,,,P8(Violoncello)&U(Contrabass),,,,,P8(C Trumpet 2),P8(C Trumpet 1),,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
891.0,897.5,P8(Oboe 1)&P8(Main),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Main),P8(Flute 2)&U(Bb Clarinet 2),,P8(Flute 2)&U(Oboe 2),P8(Bassoon 2)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&U(Contrabass),,,,P8(C Trumpet 1)&P8(C Trumpet 2),P8(E Horn 4)&P8(C Trumpet 2),P8(E Horn 4)&P8(C Trumpet 1),,,,,Main Part,,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
897.5,907.0,P8(Oboe 1)&P3(C Horn 1),P8(Oboe 2),P8(Flute 1)&P3(C Horn 1),P8(Flute 2),,,P8(Bassoon 2),P8(Bassoon 1),P8(Violoncello)&U(Contrabass),P3(Flute 1)&P3(Oboe 1),,,P8(C Trumpet 1)&P8(C Trumpet 2),P8(E Horn 4)&P8(C Trumpet 2),P8(E Horn 4)&P8(C Trumpet 1),,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
907.0,924.0,P8(Oboe 1)&P8(E Horn 3),P8(Oboe 2)&P8(E Horn 4),P8(Flute 1)&P8(E Horn 3),P8(Flute 2)&P8(E Horn 4),,,U(Bassoon 2)&P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),,,P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),P8(C Trumpet 2),P8(C Trumpet 1),,,,,Main Part,P8(Main),,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Violoncello)
924.0,971.5,,,,,,,,,,,,,,,,,,,,Main Part,,,,
971.5,973.5,,,Main Part,,,,P3(Bassoon 2),P3(Bassoon 1),,P3(C Horn 2),P3(C Horn 1),,,,,,,,,P8(Viola),P8(Violoncello),P8(Violin 1),P8(Violin 2),
973.5,975.5,Main Part,,,,,,P3(Bassoon 2),P3(Bassoon 1),,P3(C Horn 2),P3(C Horn 1),,,,,,,,,P8(Viola),P8(Violoncello),P8(Violin 1),P8(Violin 2),
975.5,977.5,,,Main Part,,,,P3(Bassoon 2),P3(Bassoon 1),,P3(C Horn 2),P3(C Horn 1),,,,,,,,,P8(Viola),P8(Violoncello),P8(Violin 1),P8(Violin 2),
977.5,991.5,Main Part,,,,,,,,,,,,,,,,,,,,,,,
991.5,993.5,P8(Oboe 1),Main Part,P8(Flute 1),,,,P8(Main),P4(Violin 1),,,,,,,,,,,,P4(Bassoon 2),,,,
993.5,995.5,Main Part,,P8(Main),,,,,,,P3(C Horn 2),P3(C Horn 1),,,,,,,,,,,,,
995.5,997.5,P8(Oboe 1),Main Part,P8(Flute 1),,,,P8(Main),,,,,,,,,,,,,,,,,
997.5,1024.5,Main Part,,,,,,,,,,,,,,,,,,,,,,,
1024.5,1031.0,,,,,,,P8(Bassoon 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Viola)&U(Violoncello)&P8(Contrabass),,,,,,,,,,,,Main Part,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
1031.0,1039.0,U(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),U(Flute 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Oboe 2),P8(Oboe 1),P8(Flute 1)&P8(Flute 2)&U(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Bb Clarinet 1),P8(Bassoon 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Viola)&U(Violoncello)&P8(Contrabass),,,,,,,,,,,,Main Part,,U(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
