score_qstamp,qstamp,measure,beat,726696_tstamp,728534_tstamp,729214_tstamp,726691_tstamp,729227_tstamp,726680_tstamp,726652_tstamp,726628_tstamp,726688_tstamp,726641_tstamp
5.0,5.0,5,1.0,11.8855,14.6417,8.7217,12.2472,13.1417,171.7034,8.9817,179.397,13.2851,9.4468
5.375,5.375,5,1.25,12.9127,15.1509,9.4109,13.2509,13.9181,172.5344,9.4709,180.2109,14.069,10.0618
5.5,5.5,5,1.3333,13.0939,15.5339,9.5739,13.4139,14.1539,172.9034,9.7139,180.5539,14.5739,10.2339
6.0,6.0,5,1.6667,13.7861,16.1661,10.2261,14.1261,14.8322,173.6461,10.3661,181.3322,15.2688,10.9461
6.375,6.375,5,1.9167,14.4712,16.6552,10.7152,14.836,15.4152,174.1656,10.6752,182.0576,16.032,11.4352
6.5,6.5,6,1.0,14.6783,16.8783,10.9183,15.0183,15.6766,174.3383,10.8383,182.2983,16.2383,11.6183
6.875,6.875,6,1.25,15.5474,17.5474,11.5874,15.8874,16.4696,175.1474,11.3474,183.214,17.0748,12.2896
7.0,7.0,6,1.3333,15.7104,17.7312,11.7504,16.0504,16.6704,175.3104,11.5104,183.5632,17.3104,12.6352
7.75,7.75,6,1.8333,17.2887,18.9087,12.9087,17.6261,17.9487,176.6087,12.4287,185.1687,18.7574,13.7287
8.0,8.0,7,1.0,17.8148,19.2348,13.1548,18.1148,18.2748,176.9148,12.7348,185.4948,19.1948,14.0548
8.375,8.375,7,1.25,18.6229,19.9039,13.7639,19.0839,18.9575,177.8039,13.2639,186.3239,19.9634,14.8239
8.5,8.5,7,1.3333,18.968,20.067,13.927,19.275,19.507,177.967,13.427,186.494,20.235,14.987
9.0,9.0,7,1.6667,20.2591,20.7391,14.8591,20.5591,20.3391,179.0591,14.0991,187.5074,21.5191,15.7591
9.375,9.375,7,1.9167,20.9683,21.6166,15.3683,21.2683,20.9283,179.6883,14.6083,188.4883,22.1181,16.2566
9.5,9.5,8,1.0,21.1313,21.7913,15.5313,21.4313,21.0913,179.8626,14.7713,188.7765,22.3913,16.5339
11.0,11.0,9,1.0,24.6278,24.5278,17.8078,24.9078,23.9278,182.6278,16.6478,191.8278,25.6478,19.0078
12.0,12.0,9,1.6667,26.726,26.0898,19.4122,26.9938,25.3932,184.2922,17.8722,194.1922,27.1722,20.3322
12.375,12.375,9,1.9167,27.5517,26.773,19.933,27.8143,25.9834,184.8865,18.3665,194.7177,27.712,20.8486
12.5,12.5,10,1.0,27.8929,27.1843,20.4843,28.2243,26.4729,185.4372,18.6129,195.4329,28.6215,21.4387
14.0,14.0,11,1.0,31.2009,29.7209,22.7609,31.4218,29.2209,188.2209,20.4609,198.2609,31.8209,23.9209
15.0,15.0,11,1.6667,32.6452,30.9956,24.0652,32.9452,30.5704,189.5452,21.5852,199.912,33.6052,25.4852
15.375,15.375,11,1.9167,33.1543,31.6543,24.5943,33.4543,31.1143,190.0943,22.0943,200.5943,34.1143,26.0143
15.5,15.5,12,1.0,33.9148,31.9174,24.9748,34.1696,31.5948,190.6548,22.2774,201.0122,34.8774,26.3296
16.5,16.5,12,1.6667,35.7217,33.8017,26.6617,35.9651,33.0817,192.3434,23.5417,203.3617,37.8217,27.9417
16.75,16.75,12,1.8333,36.3878,34.2678,27.0478,36.5478,33.5878,193.2878,23.8678,203.6878,38.1478,28.6878
17.0,17.0,13,1.0,36.7139,34.5939,27.3739,36.8739,34.0756,193.6139,24.1939,204.0139,38.4739,29.1739
17.5,17.5,13,1.3333,37.6861,35.5827,28.2105,37.8661,34.9861,194.8149,24.8661,205.0461,39.6905,30.2661
18.5,18.5,14,1.0,39.3312,36.9704,29.5704,39.5016,36.7104,196.5104,26.0904,206.3704,41.6912,31.5704
19.0,19.0,14,1.3333,40.4164,37.8982,30.4826,40.646,37.6452,197.5652,26.7826,207.7626,42.9052,32.6826
20.0,20.0,15,1.0,42.007,39.367,31.847,42.167,39.367,199.287,28.127,209.067,44.947,33.987
20.5,20.5,15,1.3333,43.2591,40.2991,32.6191,43.5391,40.0391,199.9391,28.8791,210.2164,45.7191,34.6991
21.0,21.0,15,1.6667,43.9113,41.1513,33.2713,44.2026,41.1913,200.6939,29.5513,211.4113,47.0113,35.6052
21.1667,21.1667,15,1.7778,44.1287,41.3687,33.4887,44.4687,41.4174,201.6209,29.7774,211.6287,47.4687,35.8687
21.3333,21.3333,15,1.8889,44.626,41.592,33.826,44.806,41.766,202.102,30.086,212.05,47.866,36.106
21.375,21.375,15,1.9167,44.6804,41.8404,33.8804,44.8604,41.8204,202.2604,30.1404,212.1604,47.9204,36.1604
21.5,21.5,16,1.0,44.9035,42.0035,34.0835,45.0635,42.027,202.4835,30.3525,212.3235,48.1835,36.4035
22.25,22.25,16,1.5,46.4417,43.2817,35.4617,46.5617,43.6617,203.9817,31.4417,214.1617,49.8217,37.3817
22.5,22.5,16,1.6667,46.8756,43.6756,35.7956,47.0156,43.9878,204.4712,31.7678,214.4878,50.2712,37.9556
22.75,22.75,16,1.8333,47.4078,44.1034,36.2495,47.5973,44.5173,205.0512,32.1417,215.0912,50.8634,38.3878
23.0,23.0,17,1.0,48.2,44.6,36.62,48.3,44.98,205.72,32.48,215.78,51.6,39.18
23.25,23.25,17,1.1667,48.5261,44.9461,36.9522,48.6261,45.4844,206.0661,32.8061,216.1461,51.9261,39.5061
23.5,23.5,17,1.3333,49.0332,45.3722,37.4922,49.1654,46.0322,206.5322,33.1322,216.5122,52.321,39.8322
24.25,24.25,17,1.8333,50.1704,46.5704,38.5504,50.7704,47.1304,207.8104,34.1104,217.5904,53.4104,40.8104
24.5,24.5,18,1.0,50.5165,46.8965,38.893,51.1365,47.4565,208.1365,34.4365,218.1765,53.8965,41.1365
24.75,24.75,18,1.1667,51.5652,47.6826,39.6078,51.593,48.5208,208.8956,34.8278,219.2878,55.1252,41.9382
25.0,25.0,18,1.3333,52.3774,48.1287,39.9687,52.2992,49.0287,209.5061,35.2087,219.9287,55.5887,42.5687
25.5,25.5,18,1.6667,53.2009,48.8609,40.7209,53.2609,50.2209,210.6809,35.8809,220.7218,56.9009,43.6009
25.75,25.75,18,1.8333,53.562,49.295,41.047,53.635,50.547,211.027,36.207,221.179,57.247,43.927
26.0,26.0,19,1.0,54.033,49.673,41.373,54.126,50.873,211.438,36.593,221.893,57.633,44.293
26.5,26.5,19,1.3333,55.3356,50.6652,42.5652,55.7052,52.2652,212.9852,37.446,223.1956,58.8504,44.9452
27.0,27.0,19,1.6667,56.1574,51.5574,43.2174,56.3774,52.9174,213.6374,38.1774,224.1774,59.9174,45.7374
27.1667,27.1667,19,1.7778,56.4948,51.7948,43.4348,56.5948,53.4548,213.9348,38.4348,224.6348,60.3548,46.0948
27.3333,27.3333,19,1.8889,56.9121,52.0321,43.6521,57.0321,53.6721,214.2121,38.6521,224.9121,60.5721,46.4121
27.375,27.375,19,1.9167,57.1265,52.3065,43.7265,57.1865,53.7665,214.4265,38.7065,225.2265,60.8465,46.6065
27.5,27.5,20,1.0,57.4496,52.4696,43.9096,57.4896,53.9296,214.5896,38.8696,225.4096,61.0592,46.7696
28.5,28.5,20,1.6667,59.3739,53.8339,45.3739,59.4539,55.3512,216.1878,40.1539,227.1929,63.159,48.2339
28.6667,28.6667,20,1.7778,59.6226,54.0513,45.5913,59.6713,55.6426,216.5478,40.3713,227.6713,63.4991,48.4513
28.8333,28.8333,20,1.8889,60.0487,54.4357,45.8887,60.0887,55.9687,216.9487,40.6661,228.0487,63.7861,48.6687
28.875,28.875,20,1.9167,60.103,54.623,45.943,60.143,56.103,217.003,40.746,228.123,63.881,48.723
29.0,29.0,21,1.0,60.3061,54.7861,46.1061,60.3461,56.2661,217.2027,40.9261,228.3061,64.241,48.8861
30.0,30.0,21,1.6667,61.992,56.2624,47.6304,62.012,57.8128,218.9248,42.1904,229.9432,66.1304,50.2904
30.1667,30.1667,21,1.7778,62.3479,56.8479,48.0079,62.3679,58.3079,219.2479,42.4079,230.6079,66.8079,50.5079
30.3333,30.3333,21,1.8889,62.7452,57.0652,48.2504,62.6912,58.5252,219.6452,42.6252,230.9876,67.1216,50.7852
30.5,30.5,22,1.0,62.9626,57.2826,48.4878,62.9826,58.7426,219.9026,42.8452,231.4226,67.4782,51.0026
31.0,31.0,22,1.3333,64.0148,57.9748,49.7752,64.402,59.5548,221.8888,43.5348,232.4592,68.5148,51.9748
31.5,31.5,22,1.6667,65.527,58.867,50.547,65.507,60.561,222.807,44.201,233.447,69.467,52.647
32.0,32.0,23,1.0,66.6193,59.5191,51.2391,66.6193,61.4391,223.4991,44.8791,234.4955,70.7337,53.551
33.0,33.0,23,1.6667,68.0235,61.2035,52.3835,68.0035,63.0435,224.8035,46.0835,236.3635,72.6035,54.8635
33.375,33.375,23,1.9167,68.5378,61.7052,52.8726,68.5304,63.5452,225.3726,46.5726,237.0726,73.2178,55.3904
33.5,33.5,24,1.0,68.7828,61.9856,53.0757,68.7628,63.7557,225.6071,46.7357,237.3114,73.6514,55.6856
33.6667,33.6667,24,1.1111,69.0131,62.2331,53.2931,68.9931,63.9731,225.9331,46.931,237.5331,73.9131,55.9331
33.8333,33.8333,24,1.2222,69.3704,62.4704,53.5104,69.3304,64.2104,226.1504,47.1304,238.0304,74.1304,56.1504
34.0,34.0,24,1.3333,69.6112,62.6878,53.759,69.6068,64.6278,226.4078,47.3478,238.5478,74.6068,56.3678
34.1667,34.1667,24,1.4444,69.9265,62.9053,54.0253,69.8853,64.8453,226.6253,47.5653,238.7653,74.8853,56.5853
34.3333,34.3333,24,1.5556,70.3226,63.1226,54.2826,70.2826,65.1026,226.9626,47.7675,238.9826,75.3626,56.8626
34.5,34.5,24,1.6667,70.54,63.42,54.5,70.52,65.32,227.42,47.96,239.2,75.6,57.08
34.6667,34.6667,24,1.7778,71.0374,63.7974,54.7574,70.9774,65.7174,227.6974,48.1774,239.4974,76.0174,57.3574
34.8333,34.8333,24,1.8889,71.3547,64.0147,55.0147,71.3347,65.9494,228.0547,48.3947,239.7747,76.3347,57.6747
35.0,35.0,25,1.0,71.5722,64.2522,55.2322,71.5522,66.2044,228.3532,48.6122,240.0522,76.601,57.8922
35.1667,35.1667,25,1.1111,71.8496,64.4696,55.4696,71.8096,66.4496,228.6096,48.8296,240.2896,76.8496,58.1096
35.3333,35.3333,25,1.2222,72.0869,64.6869,55.6869,72.1138,66.6669,228.9869,48.9724,240.6069,77.0669,58.3269
35.5,35.5,25,1.3333,72.3043,64.9443,55.9043,72.3443,66.9043,229.2043,49.1443,240.8243,77.2843,58.5443
35.6667,35.6667,25,1.4444,72.5218,65.1618,56.1218,72.5618,67.3018,229.4218,49.3618,241.0618,77.5818,58.7618
35.8333,35.8333,25,1.5556,73.0546,65.5892,56.3391,73.0173,67.5191,229.811,49.5791,241.2791,77.7991,58.9791
36.0,36.0,25,1.6667,73.2765,65.8165,56.573,73.319,67.753,230.093,49.7965,241.6945,78.3205,59.1965
36.1667,36.1667,25,1.7778,73.494,66.034,56.894,73.652,68.094,230.398,50.014,241.974,78.594,59.414
36.3333,36.3333,25,1.8889,73.8469,66.2913,57.1513,73.9113,68.3113,230.7191,50.2313,242.1913,78.9765,59.6313
36.375,36.375,25,1.9167,74.0057,66.3457,57.2114,73.9657,68.3657,230.8257,50.2857,242.4457,79.1313,59.6857
36.5,36.5,26,1.0,74.2922,66.5461,57.4087,74.2809,68.5635,231.0722,50.4487,242.6574,79.4087,59.8487
36.6667,36.6667,26,1.1111,74.5661,66.7861,57.6461,74.5661,68.9461,231.4661,50.653,242.9261,79.6261,60.0861
36.8333,36.8333,26,1.2222,74.7834,67.0034,58.0234,74.8034,69.1634,231.7034,50.8417,243.1834,79.9634,60.3034
37.0,37.0,26,1.3333,75.1009,67.2209,58.2409,75.0209,69.4245,231.9209,51.0209,243.4409,80.1854,60.5209
37.1667,37.1667,26,1.4444,75.3183,67.5115,58.4583,75.2383,69.7183,232.1383,51.2192,243.6583,80.4983,60.7383
37.3333,37.3333,26,1.5556,75.5756,67.7356,58.6756,75.4956,69.9356,232.4648,51.4356,244.0956,80.7312,60.9556
37.5,37.5,26,1.6667,76.046,68.093,58.893,75.986,70.193,232.813,51.653,244.452,81.199,61.173
37.6667,37.6667,26,1.7778,76.4905,68.5105,59.1105,76.3705,70.5905,233.3505,51.8368,244.7105,81.6105,61.3905
37.8333,37.8333,26,1.8889,76.7756,68.7278,59.3278,76.6868,70.8278,233.6078,52.0478,245.0278,81.8678,61.6078
38.0,38.0,27,1.0,77.1252,68.9452,59.5556,77.0208,71.0852,233.8252,52.2652,245.2452,82.1164,61.8408
38.1667,38.1667,27,1.1111,77.4227,69.1627,59.9627,77.3627,71.5427,234.5827,52.4827,246.2227,82.4227,62.2054
38.3333,38.3333,27,1.2222,77.64,69.38,60.26,77.58,71.82,234.92,52.652,246.44,82.68,62.44
38.5,38.5,27,1.3333,77.8574,69.5974,60.4774,77.7974,72.0374,235.1374,52.8374,246.6574,83.9588,62.6574
38.6667,38.6667,27,1.4444,78.0748,69.8148,60.6948,78.0148,72.2548,235.3548,53.0548,246.8748,84.3348,62.8748
38.8333,38.8333,27,1.5556,78.2921,70.0321,60.9121,78.2321,72.4721,235.5721,53.2721,247.1163,84.6731,63.0921
39.0,39.0,27,1.6667,78.5496,70.3696,61.1296,78.4696,72.6896,235.7896,53.4896,247.3496,84.9696,63.3096
39.375,39.375,27,1.9167,79.7148,70.9522,61.6187,79.6509,73.1787,236.2974,53.9787,247.8761,85.4587,63.7987
39.5,39.5,28,1.0,79.9817,71.1217,61.7817,79.9017,73.3617,236.4817,54.1217,248.0417,85.6217,63.9617
40.0,40.0,28,1.3333,80.8139,71.9939,62.4339,80.7339,74.0739,237.3939,54.7739,249.0539,86.2878,64.7139
40.5,40.5,28,1.6667,81.8061,72.6461,63.2061,81.7061,74.7661,238.0461,55.3461,249.7661,86.9861,65.3661
40.875,40.875,28,1.9167,82.4056,73.2104,63.7352,82.3464,75.5752,239.3352,55.7952,250.4904,87.7152,65.8952
41.0,41.0,29,1.0,82.6332,73.3783,63.8983,82.5383,75.7383,239.4983,55.9583,250.6583,88.043,66.0783
41.5,41.5,29,1.3333,83.4704,74.2104,64.6504,83.3704,76.5432,240.3904,56.6104,251.6816,89.0704,66.7704
42.0,42.0,29,1.6667,84.4626,74.9026,65.3026,84.3426,77.2826,241.0426,57.1826,252.4452,90.1426,67.4226
42.375,42.375,29,1.9167,85.2517,75.6751,66.0917,85.1317,77.9517,242.0634,57.6717,253.2317,90.9117,68.0317
42.5,42.5,30,1.0,85.474,75.9488,66.3288,85.3392,78.1696,242.2948,57.8348,253.4644,91.214,68.3036
44.0,44.0,31,1.0,88.1513,78.3913,68.4713,88.0452,80.4226,245.0113,59.4513,255.9513,94.0313,70.3713
44.375,44.375,31,1.25,88.9004,79.0808,69.1404,88.8404,81.0804,245.7604,59.9402,256.6204,94.8204,70.9404
44.5,44.5,31,1.3333,89.0635,79.2835,69.3035,89.0035,81.2435,245.9505,60.0835,256.7835,94.9835,71.1035
45.0,45.0,31,1.6667,89.9957,79.9557,69.9357,89.8557,82.0157,246.7757,60.6357,257.7157,95.9157,71.7957
45.5,45.5,32,1.0,91.0278,80.9478,70.5878,90.8478,82.8878,247.7278,61.1878,258.6278,96.8878,72.5078
46.0,46.0,32,1.3333,92.22,82.16,71.44,92.08,83.8,249.02,61.7886,259.54,98.1,73.5
46.5,46.5,32,1.6667,92.9522,82.8122,72.1166,92.7722,84.4844,249.6722,62.3722,260.5644,98.9044,74.1522
46.875,46.875,32,1.9167,93.6852,83.3413,72.6413,93.5413,85.1413,250.4013,62.8213,261.1613,99.5013,74.6413
47.0,47.0,33,1.0,93.9946,83.5329,72.8043,93.7243,85.3043,250.6886,62.9443,261.3286,99.7529,74.8043
47.1667,47.1667,33,1.1111,94.5818,83.8818,73.1236,94.2418,85.6418,251.0018,63.1618,261.7836,100.0018,75.0618
47.3333,47.3333,33,1.2222,94.7991,84.0991,73.3591,94.4591,85.8591,251.2391,63.3591,262.0191,100.2191,75.2791
47.5,47.5,33,1.3333,95.0765,84.3565,73.5765,94.6765,86.1165,251.5495,63.5765,262.2765,100.653,75.4965
47.6667,47.6667,33,1.4444,95.294,84.574,73.794,94.994,86.454,251.854,63.794,262.554,100.934,75.734
47.8333,47.8333,33,1.5556,95.5113,84.8313,74.0313,95.2313,86.6713,252.1113,63.9513,262.8313,101.1513,75.9513
48.0,48.0,33,1.6667,95.7887,85.1487,74.2687,95.6287,86.9287,252.4287,64.1687,263.1887,101.5487,76.1687
48.1667,48.1667,33,1.7778,96.1122,85.4461,74.5461,95.9922,87.1461,252.6461,64.3861,263.6061,101.9861,76.4061
48.3333,48.3333,33,1.8889,96.4234,85.6834,74.7634,96.2234,87.397,253.0868,64.5434,263.8434,102.2234,76.6234
48.5,48.5,34,1.0,96.7818,85.9045,74.9845,96.5818,87.7009,253.4818,64.7609,264.0618,102.4499,76.8409
48.6667,48.6667,34,1.1111,97.1383,86.1983,75.2783,96.8783,87.9183,253.7183,64.9661,264.2983,102.8783,77.0583
48.8333,48.8333,34,1.2222,97.3556,86.4956,75.4956,97.1356,88.1356,254.0356,65.1556,264.6156,103.1156,77.2956
49.0,49.0,34,1.3333,97.573,86.713,75.713,97.393,88.373,254.253,65.293,264.833,103.333,77.513
49.1667,49.1667,34,1.4444,97.7905,87.0305,75.9305,97.6105,88.5905,254.5105,65.4905,265.0505,103.5505,77.7505
49.3333,49.3333,34,1.5556,98.0678,87.2912,76.1756,97.8478,88.8078,254.7278,65.7078,265.2878,103.7678,77.9878
49.5,49.5,34,1.6667,98.2904,87.5452,76.4052,98.0704,89.0564,254.9452,65.9052,265.5052,103.9904,78.2052
49.6667,49.6667,34,1.7778,99.0054,87.9027,76.7227,98.8227,89.5189,255.5627,66.1227,266.0827,104.6027,78.4227
49.8333,49.8333,34,1.8889,99.24,88.12,76.98,99.04,89.84,255.78,66.295,266.3,104.82,78.64
49.875,49.875,34,1.9167,99.2943,88.1743,77.0343,99.0943,89.8943,255.8343,66.3343,266.3543,104.8743,78.6943
50.0,50.0,35,1.0,99.4974,88.3574,77.2374,99.2774,90.1174,256.0974,66.4774,266.5748,105.0774,78.8574
50.1667,50.1667,35,1.1111,100.0548,88.6948,77.4748,99.7748,90.4748,256.3948,66.6948,266.9548,105.5148,79.0748
50.3333,50.3333,35,1.2222,100.3121,88.9121,77.6921,100.0521,90.6921,256.7121,66.8721,267.1721,105.7321,79.2921
50.5,50.5,35,1.3333,100.5488,89.1896,77.9096,100.2696,90.9096,256.9496,67.0696,267.4696,105.9496,79.5096
50.6667,50.6667,35,1.4444,100.907,89.507,78.187,100.681,91.147,257.343,67.287,267.827,106.388,79.727
50.8333,50.8333,35,1.5556,101.1286,89.7243,78.4043,100.9243,91.4015,257.6643,67.4843,268.0443,106.6643,79.9643
51.0,51.0,35,1.6667,101.3685,89.9417,78.6234,101.1502,91.6902,257.8817,67.6017,268.2821,106.8868,80.1817
51.1667,51.1667,35,1.7778,101.6792,90.1992,78.8592,101.6592,92.0192,258.3592,67.8192,268.7192,107.1592,80.3992
51.3333,51.3333,35,1.8889,102.0965,90.5365,79.1965,101.8765,92.2365,258.5765,68.0365,268.9365,107.4565,80.6165
51.5,51.5,36,1.0,102.3417,90.7956,79.4139,102.0939,92.4539,258.8078,68.2339,269.1539,107.7295,80.8339
51.6667,51.6667,36,1.1111,102.7513,91.0713,79.7113,102.5113,92.8113,259.1313,68.4456,269.5513,108.1513,81.0713
51.8333,51.8333,36,1.2222,102.9974,91.3661,79.9287,102.7922,93.0548,259.4696,68.6296,269.7687,108.4687,81.2887
52.0,52.0,36,1.3333,103.2261,91.6061,80.1461,103.0661,93.3061,259.7661,68.8261,269.9922,108.6861,81.5061
52.1667,52.1667,36,1.4444,103.4435,91.834,80.3635,103.3455,93.527,260.008,69.0435,270.3035,108.907,81.7235
52.3333,52.3333,36,1.5556,104.0016,92.1408,80.5808,103.7608,93.7608,260.3416,69.1408,270.5608,109.2608,81.9408
52.5,52.5,36,1.6667,104.3583,92.3583,80.7983,104.0983,94.0349,260.6183,69.3183,270.8183,109.4783,82.1583
52.6667,52.6667,36,1.7778,104.6557,92.6957,81.1757,104.3557,94.3757,260.8757,69.5357,271.2557,109.7957,82.3757
52.8333,52.8333,36,1.8889,104.873,92.933,81.393,104.633,94.593,261.193,69.753,271.473,110.013,82.593
52.875,52.875,36,1.9167,104.9496,92.9874,81.4674,104.7474,94.6622,261.3548,69.8074,271.5348,110.0822,82.6474
53.0,53.0,37,1.0,105.1504,93.1808,81.6504,104.9104,94.8504,261.5408,69.9704,271.7104,110.2704,82.8104
53.1667,53.1667,37,1.1111,105.5158,93.4079,81.8679,105.3479,95.0679,261.9279,70.1879,272.0079,110.6079,83.0279
53.3333,53.3333,37,1.2222,105.8068,93.6772,82.0904,105.6408,95.3852,262.1808,70.4052,272.2252,111.0052,83.2452
53.5,53.5,37,1.3333,106.1426,94.0426,82.3852,105.9026,95.6826,262.4626,70.6226,272.5356,111.2226,83.4626
53.6667,53.6667,37,1.4444,106.36,94.26,82.62,106.12,95.9,262.7,70.74,272.84,111.44,83.68
53.8333,53.8333,37,1.5556,106.7173,94.5373,82.8573,106.4373,96.1573,263.1373,70.9573,273.0973,111.8373,83.8973
54.0,54.0,37,1.6667,106.9348,94.7844,83.2548,106.6844,96.4348,263.3548,71.0748,273.4148,112.2548,84.1148
54.1667,54.1667,37,1.7778,107.4522,95.1722,83.4722,107.2122,96.8522,263.7522,71.2922,273.8122,112.5122,84.4322
54.3333,54.3333,37,1.8889,107.7095,95.4095,83.6095,107.4495,97.0695,263.9695,71.5095,274.0295,112.7295,84.6495
54.375,54.375,37,1.9167,107.7912,95.4639,83.6639,107.5039,97.1478,264.0395,71.5639,274.0878,112.7839,84.7039
54.5,54.5,38,1.0,108.094,95.695,83.834,107.736,97.327,264.274,71.727,274.327,112.967,84.867
56.0,56.0,39,1.0,111.4035,98.082,86.3235,111.1035,99.8035,268.6035,73.8635,277.4835,117.5435,87.1435
57.0,57.0,39,1.6667,112.7078,99.5678,87.6278,112.4078,101.2478,269.9078,74.6478,278.9468,119.1878,88.4478
57.375,57.375,39,1.9167,113.297,100.057,88.117,112.977,101.737,270.397,75.077,279.497,119.677,88.977
57.5,57.5,40,1.0,113.48,100.22,88.28,113.14,101.96,270.56,75.24,279.66,119.84,89.14
58.0,58.0,40,1.3333,114.482,101.2922,89.0522,114.103,103.0522,271.2122,75.8922,280.4722,120.5122,89.9054
58.5,58.5,40,1.6667,115.8043,102.0443,89.9243,115.4243,103.7043,272.0043,76.4843,281.1243,121.2043,90.7043
58.875,58.875,40,1.9167,116.3535,102.5335,90.4335,116.0335,104.1935,272.7135,76.9735,281.7605,121.6935,91.2135
59.0,59.0,41,1.0,116.5565,102.773,90.5965,116.2295,104.4165,273.19,77.1365,281.9365,122.0555,91.3765
59.5,59.5,41,1.3333,117.6687,103.6087,91.5887,117.3287,105.5287,274.1287,77.7887,282.7887,123.1435,92.0487
60.0,60.0,41,1.6667,118.6409,104.3609,92.2809,118.3209,106.1809,275.0009,78.4409,283.6809,124.2409,92.9209
60.375,60.375,41,1.9167,119.29,105.0,92.77,118.99,106.72,275.84,78.93,284.57,124.73,93.49
60.5,60.5,42,1.0,119.613,105.226,92.953,119.253,107.013,276.193,79.093,284.733,124.919,93.653
61.0,61.0,42,1.3333,120.5252,106.1652,93.6452,120.1652,107.6652,276.8852,79.6909,285.3852,126.0652,94.3052
62.0,62.0,43,1.0,122.1696,107.7496,95.3696,121.7792,109.408,278.8696,80.9496,287.1288,127.9096,95.7096
63.5,63.5,44,1.0,124.7461,110.0861,97.5061,124.3661,111.8861,281.7661,82.7261,289.4661,130.8861,97.8861
65.0,65.0,45,1.0,127.0226,112.5826,99.8626,126.6026,114.1626,284.5252,84.4626,291.6356,133.9026,99.9626
66.5,66.5,46,1.0,129.7373,114.7382,101.8991,129.2928,116.4982,287.2191,86.2191,294.0164,136.7791,101.9191
68.0,68.0,47,1.0,132.0757,117.1542,104.0957,131.5957,118.7157,289.8671,87.9957,296.3714,139.3557,103.8757
69.5,69.5,48,1.0,134.5166,119.5522,106.3844,134.0566,121.2132,292.4922,89.7122,298.7966,142.0732,105.8322
71.0,71.0,49,1.0,137.3174,121.8548,108.6261,136.8348,123.3548,295.2087,91.3087,301.1287,144.7974,107.7887
71.5,71.5,49,1.3333,138.6272,122.8018,109.5436,138.1009,125.0409,296.4016,92.0009,302.1609,146.8809,108.5609
72.0,72.0,49,1.6667,139.453,123.793,110.253,138.933,125.793,298.325,92.733,303.113,147.533,109.213
72.5,72.5,50,1.0,140.146,124.7652,111.1052,140.0052,126.4452,299.0052,93.3852,304.4852,148.5852,109.9164
73.5,73.5,50,1.6667,141.8296,126.0696,112.4096,141.3096,127.7496,300.4296,94.5348,305.9896,149.9696,111.3496
73.75,73.75,50,1.8333,142.1557,126.3957,112.7357,141.6357,128.1357,300.7557,94.6157,306.3157,150.2957,111.6757
74.0,74.0,51,1.0,142.8617,126.7217,113.0617,142.3617,128.4817,301.1017,94.9216,306.6417,150.6108,112.0017
74.25,74.25,51,1.1667,143.1878,127.0634,113.3956,142.6878,128.8278,301.4278,95.0078,306.9878,150.9278,112.3278
