qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
46.5,14.2347,12,2.25,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,D5,G#3,B3,A3
47.0,14.3878,12,2.5,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,D5,G#3,B3,B3
48.0,14.6939,13,1.0,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,C#5,C#4,B3,B3
49.0,15.0,13,1.5,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,C#5,C#4,B3,C#4
49.5,15.1531,13,1.75,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,C#5,C#4,B3,B3
50.0,15.3061,13,2.0,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,F4,C#4,A3,A3
51.0,15.6122,13,2.5,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,F4,C#4,G#3,G#3
52.0,15.9184,14,1.0,r,r,r,r,r,r,r,r,r,r,r,B4,C#4,F#4,C#4,A3,A3
53.0,16.2245,14,1.5,r,r,r,r,r,r,r,r,r,r,r,B4,C#4,G#4,C#4,G#3,G#3
54.0,16.5306,14,2.0,r,r,r,r,r,r,r,r,r,r,r,A4,C#5,A4,F#4,F#3,F#3
55.0,16.8367,14,2.5,r,r,r,r,r,r,r,r,r,r,r,C#5,C#5,A4,C#4,E3,E3
56.0,17.1429,15,1.0,r,r,r,r,r,r,r,r,r,r,r,F#5,C#5,A4,A3,D3,D3
57.0,17.449,15,1.5,r,r,r,r,r,r,r,r,r,r,r,F#5,C#5,A4,F#3,D3,C#3
58.0,17.7551,15,2.0,r,r,r,r,r,r,r,r,r,r,r,F#5,C5,G#4,D4,D3,D3
59.0,18.0612,15,2.5,r,r,r,r,r,r,r,r,r,r,r,F#5,C5,F#4,D4,D3,D3
60.0,18.3673,16,1.0,r,r,r,r,r,r,r,r,r,r,r,F5,C#5,G#4,G#3,C#3,C#3
62.0,18.9796,16,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,r,r
63.0,19.2857,16,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,r,C#3
64.0,19.5918,17,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,r,D3
65.0,19.898,17,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,r,D3
66.0,20.2041,17,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,r
67.0,20.5102,17,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,E-3
68.0,20.8163,18,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,E3
69.0,21.1224,18,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,r,F3
69.5,21.2755,18,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,r,F3
70.0,21.4286,18,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,A3,r,F#3
71.0,21.7347,18,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,F#3,r,D3
72.0,22.0408,19,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,G#3,r,B2
73.0,22.3469,19,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,G#3,r,D3
74.0,22.6531,19,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,G#3,r,C#3
75.0,22.9592,19,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,G#3,r,B2
76.0,23.2653,20,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,F#3,r,B-2
77.0,23.5714,20,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,B-3,r,F#2
77.5,23.7245,20,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,B-3,r,F#2
78.0,23.8776,20,2.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,B3,r,B2
79.0,24.1837,20,2.5,r,r,r,r,r,r,r,r,r,r,r,r,B4,B3,F#3,r,E-3
80.0,24.4898,21,1.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,C#4,G#3,r,E3
81.0,24.7959,21,1.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,C#4,B3,r,C#3
82.0,25.102,21,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,C#4,A3,r,F#3
83.0,25.4082,21,2.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,C#4,G#3,r,E3
84.0,25.7143,22,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,B3,F#3,r,E-3
85.0,26.0204,22,1.5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E-4,B3,r,B2
85.5,26.1735,22,1.75,r,r,r,r,r,r,r,r,r,r,r,r,F#4,E-4,B3,r,B2
86.0,26.3265,22,2.0,r,r,r,r,r,r,r,r,r,r,r,E5,G#4,E4,B3,r,E3
87.0,26.6327,22,2.5,r,r,r,r,r,r,r,r,r,r,r,E5,E4,B3,G#3,r,G#3
88.0,26.9388,23,1.0,r,r,r,r,r,r,r,r,r,r,r,E5,F#4,C#4,A3,r,A3
89.0,27.2449,23,1.5,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,E4,A3,r,F#3
90.0,27.551,23,2.0,r,r,r,r,r,r,r,r,r,r,r,D5,F#4,D4,B3,r,B3
91.0,27.8571,23,2.5,r,r,r,r,r,r,r,r,r,r,r,D5,F#4,C#4,B3,r,A3
92.0,28.1633,24,1.0,r,r,r,r,r,r,r,r,r,r,r,D5,E4,B3,E3,r,G#3
93.0,28.4694,24,1.5,r,r,r,r,r,r,r,r,r,r,r,C#5,G#4,E4,E3,r,E3
93.5,28.6224,24,1.75,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,E4,E3,r,E3
94.0,28.7755,24,2.0,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,E4,r,A3,A3
95.0,29.0816,24,2.5,r,r,r,r,r,r,r,r,r,r,r,A4,E4,C#4,r,A3,A3
96.0,29.3878,25,1.0,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,D4,r,A3,A3
97.0,29.6939,25,1.5,r,r,r,r,r,r,r,r,r,r,r,B4,A4,D4,B3,D3,D3
98.0,30.0,25,2.0,r,r,r,r,r,r,r,r,r,r,r,B4,G4,E4,B3,G3,G3
99.0,30.3061,25,2.5,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,E4,B3,G3,G3
100.0,30.6122,26,1.0,r,r,r,r,r,r,r,r,r,r,r,A4,E4,A3,C#4,G3,G3
101.0,30.9184,26,1.5,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,A3,A3,F#3,F#3
101.5,31.0714,26,1.75,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,A3,A3,E3,E3
102.0,31.2245,26,2.0,r,r,r,r,r,r,r,r,r,r,r,D5,A4,r,D4,F#3,F#3
103.0,31.5306,26,2.5,r,r,r,r,r,r,r,r,r,r,r,F#4,D5,B4,D4,D3,D3
104.0,31.8367,27,1.0,r,r,r,r,r,r,r,r,r,r,r,G4,D5,B4,B3,E3,E3
105.0,32.1429,27,1.5,r,r,r,r,r,r,r,r,r,r,r,B4,D5,G4,E4,E3,E3
106.0,32.449,27,2.0,r,r,r,r,r,r,r,r,r,r,r,A4,C#5,E4,E4,E3,A2
107.0,32.7551,27,2.5,r,r,r,r,r,r,r,r,r,r,r,G4,C#5,E4,C#4,E3,A2
108.0,33.0612,28,1.0,r,r,r,r,r,r,r,r,r,r,r,F#4,C#5,F#4,D4,D3,D3
109.0,33.3673,28,1.5,r,r,r,r,r,r,r,r,r,r,r,B-4,C#5,D4,D4,F#3,F#3
110.0,33.6735,28,2.0,r,r,r,r,r,r,r,r,r,r,r,B4,B4,D4,D4,G3,G3
111.0,33.9796,28,2.5,r,r,r,r,r,r,r,r,r,r,r,D5,B4,F#4,C#4,D3,D3
111.5,34.1327,28,2.75,r,r,r,r,r,r,r,r,r,r,r,D5,B4,F#4,B3,D3,D3
112.0,34.2857,29,1.0,r,r,r,r,r,r,r,r,r,r,r,C#5,B4,G4,E4,E3,E3
113.0,34.5918,29,1.5,r,r,r,r,r,r,r,r,r,r,r,C#5,B4,G4,E4,C#3,C#3
114.0,34.898,29,2.0,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,F#4,E4,F#3,F#3
115.0,35.2041,29,2.5,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,F#4,E-4,E3,E3
115.5,35.3571,29,2.75,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,F#4,C#4,E3,E3
116.0,35.5102,30,1.0,r,r,r,r,r,r,r,r,r,r,r,B4,A4,F#4,F#4,E-3,E-3
117.0,35.8163,30,1.5,r,r,r,r,r,r,r,r,r,r,r,B4,A4,E4,B3,G3,E3
117.5,35.9694,30,1.75,r,r,r,r,r,r,r,r,r,r,r,B4,A4,E4,B3,G3,F#3
118.0,36.1224,30,2.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,B4,E4,G3,G3
119.0,36.4286,30,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,D4,F#3,F#3
120.0,36.7347,31,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,D4,F3,F3
121.0,37.0408,31,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,C#4,F3,F3
122.0,37.3469,31,2.0,r,r,r,r,r,r,r,r,r,r,r,C#5,C#5,B-4,C#4,F#3,F#3
123.0,37.6531,31,2.5,r,r,r,r,r,r,r,r,r,r,r,C#5,C#5,B-4,C#4,F#3,F#3
124.0,37.9592,32,1.0,r,r,r,r,r,r,r,r,r,r,r,D5,C#5,F#4,B3,B2,B2
125.0,38.2653,32,1.5,r,r,r,r,r,r,r,r,r,r,r,D5,F#4,F#4,B3,B2,C#3
126.0,38.5714,32,2.0,r,r,r,r,r,r,r,r,r,r,r,D5,B4,r,r,r,D3
127.0,38.8776,32,2.5,r,r,r,r,r,r,r,r,r,r,r,D5,B4,r,r,r,B2
128.0,39.1837,33,1.0,r,r,r,r,r,r,r,r,r,r,r,C#5,B4,r,r,r,F#3
129.0,39.4898,33,1.5,r,r,r,r,r,r,r,r,r,r,r,F#4,A4,r,r,r,A3
129.5,39.6429,33,1.75,r,r,r,r,r,r,r,r,r,r,r,F#4,G#4,r,r,r,A3
130.0,39.7959,33,2.0,r,r,r,r,r,r,r,r,r,r,r,F#5,A4,r,r,r,D4
131.0,40.102,33,2.5,r,r,r,r,r,r,r,r,r,r,r,F#5,F#4,r,r,r,C#4
132.0,40.4082,34,1.0,r,r,r,r,r,r,r,r,r,r,r,F#5,G#4,r,r,r,B3
133.0,40.7143,34,1.5,r,r,r,r,r,r,r,r,r,r,r,F#5,G#4,r,r,r,G#3
134.0,41.0204,34,2.0,r,r,r,r,r,r,r,r,r,r,r,F5,G#4,C#5,C#4,r,C#4
135.0,41.3265,34,2.5,r,r,r,r,r,r,r,r,r,r,r,F5,G#4,C#5,C#4,r,C#3
136.0,41.6327,35,1.0,r,r,r,r,r,r,r,r,r,r,r,F#5,F#4,C#5,D4,r,F#3
137.0,41.9388,35,1.5,r,r,r,r,r,r,r,r,r,r,r,F#5,F#4,F#4,D4,r,B3
138.0,42.2449,35,2.0,r,r,r,r,r,r,r,r,r,r,r,F#5,r,B4,D4,r,A3
139.0,42.551,35,2.5,r,r,r,r,r,r,r,r,r,r,r,F#5,r,B4,D4,r,G#3
140.0,42.8571,36,1.0,r,r,r,r,r,r,r,r,r,r,r,E5,r,B4,C#4,r,A3
140.5,43.0102,36,1.25,r,r,r,r,r,r,r,r,r,r,r,E5,r,B4,C#4,r,B3
141.0,43.1633,36,1.5,r,r,r,r,r,r,r,r,r,r,r,C#5,r,A4,F#3,r,C#4
141.5,43.3163,36,1.75,r,r,r,r,r,r,r,r,r,r,r,C#5,r,G#4,F#3,r,C#4
142.0,43.4694,36,2.0,r,r,r,r,r,r,r,r,r,r,r,D5,r,A4,F#4,r,C#4
143.0,43.7755,36,2.5,r,r,r,r,r,r,r,r,r,r,r,D5,r,F#4,F#4,r,B3
144.0,44.0816,37,1.0,r,r,r,r,r,r,r,r,r,r,r,D5,r,G#4,F#4,r,B3
145.0,44.3878,37,1.5,r,r,r,r,r,r,r,r,r,r,r,C#5,r,G#4,F#4,r,A3
145.5,44.5408,37,1.75,r,r,r,r,r,r,r,r,r,r,r,C5,r,G#4,F#4,r,G#3
146.0,44.6939,37,2.0,r,r,r,r,r,r,r,r,r,r,r,C#5,G#4,G#4,F4,r,C#4
147.0,45.0,37,2.5,r,r,r,r,r,r,r,r,r,r,r,C#5,G#4,G#4,F4,r,B3
148.0,45.3061,38,1.0,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,F#4,F#4,r,A3
149.0,45.6122,38,1.5,r,r,r,r,r,r,r,r,r,r,r,F#4,A4,C#4,E4,r,B3
149.5,45.7653,38,1.75,r,r,r,r,r,r,r,r,r,r,r,F#4,A4,C#4,E4,r,C#4
150.0,45.9184,38,2.0,r,r,r,r,r,r,r,r,r,r,r,B4,A4,F#4,D4,r,D4
151.0,46.2245,38,2.5,r,r,r,r,r,r,r,r,r,r,r,B4,A4,F#4,B3,r,B3
152.0,46.5306,39,1.0,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,F4,C#4,r,C#4
153.0,46.8367,39,1.5,r,r,r,r,r,r,r,r,r,r,r,A4,C#4,G#4,F3,r,F3
153.5,46.9898,39,1.75,r,r,r,r,r,r,r,r,r,r,r,G#4,C#4,G#4,F3,r,F3
154.0,47.1429,39,2.0,r,r,r,r,r,r,r,r,r,r,r,A4,C#5,C#4,F#3,r,F#3
155.0,47.449,39,2.5,r,r,r,r,r,r,r,r,r,r,r,F#4,C#5,E-4,A3,r,A3
156.0,47.7551,40,1.0,r,r,r,r,r,r,r,r,r,r,r,G#4,C#5,E4,G#3,r,G#3
157.0,48.0612,40,1.5,r,r,r,r,r,r,r,r,r,r,r,G#4,C#5,E4,F#3,r,F#3
158.0,48.3673,40,2.0,r,r,r,r,r,r,r,r,r,r,r,G#4,C5,E-4,G#3,G#3,G#3
159.0,48.6735,40,2.5,r,r,r,r,r,r,r,r,r,r,r,G#4,C5,E-4,G#3,G#3,G#2
160.0,48.9796,41,1.0,r,r,r,r,r,r,r,r,r,r,r,G#4,C#5,C#4,C#3,A3,A2
161.0,49.2857,41,1.5,r,r,r,r,r,r,r,r,r,r,r,G#4,E5,C#4,C#3,A3,A3
161.5,49.4388,41,1.75,r,r,r,r,r,r,r,r,r,r,r,G#4,E5,C#4,C#3,A3,G#3
162.0,49.5918,41,2.0,r,r,r,r,r,r,r,r,r,r,r,F#4,E-5,C4,r,A3,A3
163.0,49.898,41,2.5,r,r,r,r,r,r,r,r,r,r,r,F#4,C#5,C#4,r,A3,A2
164.0,50.2041,42,1.0,r,r,r,r,r,r,r,r,r,r,r,F#4,C5,G#4,r,G#3,G#2
165.0,50.5102,42,1.5,r,r,r,r,r,r,r,r,r,r,r,E4,C#5,G#4,r,C#3,C#3
165.5,50.6633,42,1.75,r,r,r,r,r,r,r,r,r,r,r,E-4,C#5,G#4,r,C#3,C3
166.0,50.8163,42,2.0,r,r,r,r,r,r,r,r,r,r,r,E4,r,G#4,G#3,C#4,C#3
167.0,51.1224,42,2.5,r,r,r,r,r,r,r,r,r,r,r,C#4,E5,G#4,G#3,C#4,C#3
168.0,51.4286,43,1.0,r,r,r,r,r,r,r,r,r,r,r,E-4,F#5,E-4,A3,C#4,C#3
169.0,51.7347,43,1.5,r,r,r,r,r,r,r,r,r,r,r,E-4,F#5,F#4,A3,C#4,C#3
170.0,52.0408,43,2.0,r,r,r,r,r,r,r,r,r,r,r,E-4,F#5,E4,A3,C4,C3
171.0,52.3469,43,2.5,r,r,r,r,r,r,r,r,r,r,r,E-4,F#5,E-4,A3,C4,C3
172.0,52.6531,44,1.0,r,r,r,r,r,r,r,r,r,r,r,C#4,E5,E4,G#3,C#4,C#3
172.5,52.8061,44,1.25,r,r,r,r,r,r,r,r,r,r,r,C#4,E5,F#4,G#3,C#4,C#3
173.0,52.9592,44,1.5,r,r,r,r,r,r,r,r,r,r,r,C#4,C#5,G#4,C#3,C#4,E3
173.5,53.1122,44,1.75,r,r,r,r,r,r,r,r,r,r,r,C#4,E-5,G#4,C#3,C#4,E-3
174.0,53.2653,44,2.0,r,r,r,r,r,r,r,r,r,r,r,r,E5,G#4,C#4,C#3,C#3
175.0,53.5714,44,2.5,r,r,r,r,r,r,r,r,r,r,r,r,F#5,F#4,C#4,C#3,E-3
176.0,53.8776,45,1.0,r,r,r,r,r,r,r,r,r,r,r,r,G#5,E4,C#4,C#3,E3
177.0,54.1837,45,1.5,r,r,r,r,r,r,r,r,r,r,r,r,G#5,E-4,C4,E-3,G#3
178.0,54.4898,45,2.0,r,r,r,r,r,r,r,r,r,r,r,C#5,G#4,C#4,C#4,E3,E3
179.0,54.7959,45,2.5,r,r,r,r,r,r,r,r,r,r,r,C#5,G#4,G#4,E4,C#3,C#3
180.0,55.102,46,1.0,r,r,r,r,r,r,r,r,r,r,r,C#5,r,A4,E4,F#3,F#3
181.0,55.4082,46,1.5,r,r,r,r,r,r,r,r,r,r,r,F#4,r,A4,E-4,F#3,G#3
181.5,55.5612,46,1.75,r,r,r,r,r,r,r,r,r,r,r,F#4,r,A4,C#4,F#3,A3
182.0,55.7143,46,2.0,r,r,r,r,r,r,r,r,r,r,r,B4,r,A4,E-4,F#3,B3
183.0,56.0204,46,2.5,r,r,r,r,r,r,r,r,r,r,r,B4,B4,A4,E-4,F#3,B2
184.0,56.3265,47,1.0,r,r,r,r,r,r,r,r,r,r,r,B4,C#5,G#4,E4,E3,E3
185.0,56.6327,47,1.5,r,r,r,r,r,r,r,r,r,r,r,A4,C#5,E4,E4,E4,E2
185.5,56.7857,47,1.75,r,r,r,r,r,r,r,r,r,r,r,G#4,C#5,E4,E4,E4,E2
186.0,56.9388,47,2.0,r,r,r,r,r,r,r,r,r,r,r,A4,C#5,E4,r,E4,E3
187.0,57.2449,47,2.5,r,r,r,r,r,r,r,r,r,r,r,E4,B4,G#4,r,E4,E3
188.0,57.551,48,1.0,r,r,r,r,r,r,r,r,r,r,r,F#4,A4,C#5,r,E4,E3
189.0,57.8571,48,1.5,r,r,r,r,r,r,r,r,r,r,r,F#4,C#5,F#4,r,A3,A2
190.0,58.1633,48,2.0,r,r,r,r,r,r,r,r,r,r,r,F#4,B4,B4,r,D4,D3
191.0,58.4694,48,2.5,r,r,r,r,r,r,r,r,r,r,r,D5,A4,B4,r,D4,B2
192.0,58.7755,49,1.0,r,r,r,r,r,r,r,r,r,r,r,E5,G#4,B4,r,D4,E3
193.0,59.0816,49,1.5,r,r,r,r,r,r,r,r,r,r,r,E5,G#4,E4,r,C#4,F#3
193.5,59.2347,49,1.75,r,r,r,r,r,r,r,r,r,r,r,E5,G#4,E4,r,B3,G#3
194.0,59.3878,49,2.0,r,r,r,r,r,r,r,r,r,r,r,E5,E4,A4,C#4,C#4,A3
195.0,59.6939,49,2.5,r,r,r,r,r,r,r,r,r,r,r,E5,E4,A4,C#4,A3,F#3
196.0,60.0,50,1.0,r,r,r,r,r,r,r,r,r,r,r,D5,r,A4,D4,B3,B3
197.0,60.3061,50,1.5,r,r,r,r,r,r,r,r,r,r,r,D5,r,G#4,D4,B3,B2
197.5,60.4592,50,1.75,r,r,r,r,r,r,r,r,r,r,r,D5,r,F#4,D4,B3,B2
198.0,60.6122,50,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,D4,B3,B3
199.0,60.9184,50,2.5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,F4,D4,B3,B3
200.0,61.2245,51,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,C#4,B3,B3
201.0,61.5306,51,1.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,F#3,A3,A3
201.5,61.6837,51,1.75,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,F#3,G#3,G#3
202.0,61.8367,51,2.0,r,r,r,r,r,r,r,r,r,r,r,A4,A4,F#4,F#4,A3,A3
203.0,62.1429,51,2.5,r,r,r,r,r,r,r,r,r,r,r,A4,G4,E4,F#4,A3,A3
204.0,62.449,52,1.0,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,D4,F#4,A3,A3
205.0,62.7551,52,1.5,r,r,r,r,r,r,r,r,r,r,r,B4,A4,B3,F#4,D3,D3
206.0,63.0612,52,2.0,r,r,r,r,r,r,r,r,r,r,r,B4,G4,E4,E4,G3,G3
207.0,63.3673,52,2.5,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,D4,E4,G3,G3
208.0,63.6735,53,1.0,r,r,r,r,r,r,r,r,r,r,r,A4,E4,C#4,E4,G3,G3
209.0,63.9796,53,1.5,r,r,r,r,r,r,r,r,r,r,r,D4,D4,B3,F#4,F#3,F#3
209.5,64.1327,53,1.75,r,r,r,r,r,r,r,r,r,r,r,D4,C#4,B3,G4,E3,E3
210.0,64.2857,53,2.0,r,r,r,r,r,r,r,r,r,r,r,D5,D4,A3,A4,F#3,F#3
211.0,64.5918,53,2.5,r,r,r,r,r,r,r,r,r,r,r,D5,F#4,A3,F#4,D3,D3
212.0,64.898,54,1.0,r,r,r,r,r,r,r,r,r,r,r,D5,A4,r,E4,E3,A3
213.0,65.2041,54,1.5,r,r,r,r,r,r,r,r,r,r,r,D5,A4,r,E4,E3,G3
214.0,65.5102,54,2.0,r,r,r,r,r,r,r,r,r,r,r,C#5,E4,E4,E4,A3,A3
