qstamp_start,qstamp_end,Violin 1,Violin 2,Violin 3,Viola 1,Viola 2,Viola 3,Violoncello 1,Violoncello 2,Violoncello 3,Violone,Harpsichord
83.0,85.0,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
85.0,86.0,P3(Violin 2),P3(Violin 1),,Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
86.0,87.0,Main Part,,,P6(Viola 2),P6(Viola 1),,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
87.0,88.0,P3(Violin 2),P3(Violin 1),,Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
88.0,100.5,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
100.5,113.0,,Main Part,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
113.0,122.5,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
122.5,130.5,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
130.5,138.5,,,,Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
138.5,149.0,,,,,,,Main Part,U(Main)&U(Violoncello 3),U(Main)&U(Violoncello 2),P8(Harpsichord),P8(Violone)
149.0,151.0,,,,Main Part,,,,,,P8(Harpsichord),P8(Violone)
151.0,154.0,Main Part,,,P4(Viola 2)&P3(Viola 3),P4(Viola 1)&P6(Viola 3),P3(Viola 1)&P6(Viola 2),U(Violoncello 2)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 2),P8(Harpsichord),P8(Violone)
154.0,157.0,U(Violin 2)&U(Violin 3),U(Violin 1)&U(Violin 3),U(Violin 1)&U(Violin 2),Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
157.0,164.5,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
164.5,176.5,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
176.5,183.75,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
183.75,198.75,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
198.75,199.75,P3(Violin 3),,P3(Violin 1),Main Part,U(Main)&U(Viola 3)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Violone)&P8(Harpsichord),U(Main)&U(Viola 2)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Violone)&P8(Harpsichord),P8(Main)&P8(Viola 2)&P8(Viola 3)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),P8(Main)&P8(Viola 2)&P8(Viola 3)&U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),P8(Main)&P8(Viola 2)&P8(Viola 3)&U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Main)&P8(Viola 2)&P8(Viola 3)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),P8(Main)&P8(Viola 2)&P8(Viola 3)&U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
199.75,212.0,,Main Part,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
212.0,214.0,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 2),P8(Harpsichord),P8(Violone)
214.0,216.0,,,,Main Part,,,U(Violoncello 2)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 2),P8(Harpsichord),P8(Violone)
216.0,217.0,U(Violin 2)&U(Violin 3)&P8(Viola 1)&P8(Viola 2)&P8(Viola 3),U(Violin 1)&U(Violin 3)&P8(Viola 1)&P8(Viola 2)&P8(Viola 3),U(Violin 1)&U(Violin 2)&P8(Viola 1)&P8(Viola 2)&P8(Viola 3),P8(Violin 1)&P8(Violin 2)&P8(Violin 3)&U(Viola 2)&U(Viola 3),P8(Violin 1)&P8(Violin 2)&P8(Violin 3)&U(Viola 1)&U(Viola 3),P8(Violin 1)&P8(Violin 2)&P8(Violin 3)&U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 2),P8(Main),Main Part
217.0,221.0,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 2),P8(Harpsichord),P8(Violone)
221.0,223.0,U(Violin 2)&U(Violin 3),U(Violin 1)&U(Violin 3),U(Violin 1)&U(Violin 2),Main Part,,P5(Violone)&P5(Harpsichord),U(Violoncello 2)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 2),P5(Viola 3)&P8(Harpsichord),P5(Viola 3)&P8(Violone)
223.0,231.0,Main Part,,,,U(Viola 3),U(Viola 2),U(Violoncello 2)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 2),P8(Harpsichord),P8(Violone)
231.0,233.0,,,,Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
233.0,235.0,,,,,Main Part,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
235.0,237.0,,,,,,Main Part,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
237.0,241.0,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
241.0,243.0,,Main Part,,P4(Viola 2),P4(Viola 1),,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
243.0,247.0,,,Main Part,,,,,U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
247.0,249.0,P5(Violin 2),P5(Violin 1),,,P3(Viola 3),P3(Viola 2),Main Part,,P8(Violone)&U(Harpsichord),P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 3)&P8(Violone)
249.0,251.0,P5(Violin 2),P5(Violin 1),,,P3(Viola 3),P3(Viola 2),,Main Part,,P8(Harpsichord),P8(Violone)
251.0,253.0,P5(Violin 2),P5(Violin 1),,,P3(Viola 3),P3(Viola 2),,,Main Part,P8(Harpsichord),P8(Violone)
253.0,255.0,U(Violin 2)&U(Violin 3),U(Violin 1)&U(Violin 3),U(Violin 1)&U(Violin 2),,,,,Main Part,,P8(Harpsichord),P8(Violone)
255.0,257.0,Main Part,,,,,,,,,P8(Harpsichord),P8(Violone)
257.0,259.0,P4(Violin 2),P4(Violin 1),,Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
259.0,260.0,P3(Violin 2)&P3(Violin 3),P3(Violin 1)&U(Violin 3),P3(Violin 1)&U(Violin 2),P4(Viola 2),P4(Viola 1),,Main Part,U(Main)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Main)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Main)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Main)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
260.0,262.0,Main Part,,,P3(Viola 2)&P8(Viola 3),P3(Viola 1)&P3(Viola 3),P8(Viola 1)&P3(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
262.0,263.75,,,,Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
263.75,276.0,,,Main Part,U(Viola 3),,U(Viola 1),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
276.0,287.0,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
287.0,295.0,Main Part,,,,,,P8(Violone)&P8(Harpsichord),,,P8(Violoncello 1)&P8(Harpsichord),P8(Violoncello 1)&P8(Violone)
295.0,297.0,U(Violin 2)&P6(Violin 3),U(Violin 1)&P6(Violin 3),P6(Violin 1)&P6(Violin 2),P3(Viola 2),P3(Viola 1),,Main Part,,,P8(Harpsichord),P8(Violone)
297.0,299.0,P6(Violin 2)&P3(Violin 3),P6(Violin 1)&P4(Violin 3),P3(Violin 1)&P4(Violin 2),Main Part,,,,,,P8(Harpsichord),P8(Violone)
299.0,301.0,Main Part,,,P6(Viola 2)&P8(Viola 3),P6(Viola 1)&P6(Viola 3),P8(Viola 1)&P6(Viola 2),U(Violoncello 2)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 3),U(Violoncello 1)&U(Violoncello 2),P8(Harpsichord),P8(Violone)
301.0,302.0,P3(Violin 2),P3(Violin 1),,Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
302.0,303.0,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
303.0,304.0,,P4(Violin 3),P4(Violin 2),Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
