qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
43.5,21.75,15,2.5,B5,G5,D5,D3,B5,B5,B5,D5,B5,D5,D4,B5,D5,B4,D4,G3,G3
44.0,22.0,15,3.0,A5,F#5,D5,A2,A5,A5,A5,D5,A5,D5,F#4,A5,D5,F#4,A3,A3,A3
44.5,22.25,15,3.5,G5,E5,A4,A2,G5,G5,G5,C#5,G5,C#5,A4,G5,C#5,A4,A3,A2,A2
45.0,22.5,16,1.0,F#5,D5,A4,D3,F#5,F#5,F#5,D5,F#5,D5,A4,F#5,D5,A4,A3,D3,D3
45.25,22.625,16,1.25,F#5,D5,A4,D3,G5,E5,F#5,D5,F#5,D5,A4,G5,E5,B4,A3,D3,D3
45.5,22.75,16,1.5,r,r,r,r,F#5,D5,r,r,r,r,r,F#5,D5,A4,F#4,D4,r
45.75,22.875,16,1.75,r,r,r,r,G5,E5,r,r,r,r,r,G5,E5,B4,E4,C#4,r
46.0,23.0,16,2.0,A5,F#5,D5,D3,F#5,D5,D5,A4,D5,A4,F#4,F#5,D5,A4,F#4,D4,D2
46.25,23.125,16,2.25,A5,F#5,D5,D3,G5,E5,D5,A4,D5,A4,F#4,G5,E5,B4,F#4,D4,D2
46.5,23.25,16,2.5,r,r,r,r,F#5,D5,r,r,r,r,r,F#5,D5,A4,A4,A3,r
46.75,23.375,16,2.75,r,r,r,r,G5,E5,r,r,r,r,r,G5,E5,B4,A4,G3,r
47.0,23.5,16,3.0,F#5,D5,A4,D3,F#5,D5,F#5,D5,F#5,D5,A4,F#5,D5,A4,D4,A3,D3
47.25,23.625,16,3.25,F#5,D5,A4,D3,G5,E5,F#5,D5,F#5,D5,A4,G5,E5,B4,D4,A3,D3
47.5,23.75,16,3.5,r,r,r,r,F#5,D5,r,r,r,r,r,F#5,D5,A4,F#4,F#3,r
47.75,23.875,16,3.75,r,r,r,r,G5,E5,r,r,r,r,r,G5,E5,B4,F#4,E3,r
48.0,24.0,17,1.0,D5,A4,F#4,D3,F#5,D5,A5,F#5,A5,F#5,D5,F#5,D5,A4,A3,F#3,r
48.5,24.25,17,1.5,r,r,r,r,r,r,r,r,r,r,r,D5,A4,F#4,D4,D3,F#3
48.75,24.375,17,1.75,r,r,r,r,r,r,r,r,r,r,r,C#5,G4,F#4,D4,E3,E3
49.0,24.5,17,2.0,r,r,r,r,r,r,r,r,r,r,r,D5,A4,D4,A3,F#3,F#3
49.5,24.75,17,2.5,r,r,r,r,r,r,r,r,A5,F#5,D5,A4,A4,D4,A3,A3,A3
49.75,24.875,17,2.75,r,r,r,r,r,r,r,r,G5,E5,D5,A4,A4,D4,A3,A3,A3
50.0,25.0,17,3.0,r,r,r,r,r,r,r,r,A5,F#5,D4,C5,A4,D4,A3,F#3,F#3
50.5,25.25,17,3.5,r,r,r,r,r,r,r,r,C5,A4,D4,C5,A4,D4,G3,E3,D3
50.75,25.375,17,3.75,r,r,r,r,r,r,r,r,C5,A4,D4,C5,A4,D4,F#3,D3,D3
51.0,25.5,18,1.0,r,r,r,r,r,r,r,r,C5,A4,D4,C5,A4,D4,G3,G3,G2
51.25,25.625,18,1.25,r,r,r,r,r,r,r,r,C5,A4,D4,C5,A4,D4,A3,G3,G2
51.5,25.75,18,1.5,r,r,r,r,r,r,B5,D5,B4,G4,D4,B4,G4,D4,B3,G3,G3
51.75,25.875,18,1.75,r,r,r,r,r,r,A5,D5,B4,G4,D4,B4,G4,D4,B3,F#3,F#3
52.0,26.0,18,2.0,r,r,r,r,r,r,B5,G5,r,r,r,D5,B4,D4,B3,G3,G3
52.5,26.25,18,2.5,r,r,r,r,r,r,G5,D5,r,r,r,G5,D5,D4,B3,B3,B3
52.75,26.375,18,2.75,r,r,r,r,r,r,F#5,D5,r,r,r,G5,D5,D4,B3,B3,B3
53.0,26.5,18,3.0,r,r,r,r,r,r,G5,E5,r,r,r,G5,E5,G3,B3,E3,E3
53.5,26.75,18,3.5,r,r,r,r,r,r,E5,B4,r,r,r,E5,B4,G4,B3,G3,G3
54.0,27.0,19,1.0,r,r,r,r,r,r,C#5,A4,r,r,r,C#5,A4,E4,C#4,A3,A3
54.25,27.125,19,1.25,r,r,r,r,r,r,A4,A4,A4,E4,C#4,A4,A4,E4,C#4,A3,A3
54.5,27.25,19,1.5,r,r,r,r,r,r,B4,A4,B4,F#4,D4,B4,A4,F#4,D4,G3,G3
54.75,27.375,19,1.75,r,r,r,r,r,r,C#5,A4,C#5,G4,E4,C#5,A4,G4,E4,G3,G3
55.0,27.5,19,2.0,r,r,r,r,r,r,D5,A4,D5,A4,F#4,D5,A4,A4,F#4,F#3,F#3
55.25,27.625,19,2.25,r,r,r,r,r,r,E5,A4,E5,A4,F#4,E5,A4,A4,F#4,F#3,F#3
55.5,27.75,19,2.5,r,r,r,r,r,r,F#5,E5,F#5,G4,C#4,F#5,E5,G4,C#4,E3,E3
55.75,27.875,19,2.75,r,r,r,r,r,r,G5,E5,G5,G4,C#4,G5,E5,G4,C#4,E3,E3
56.0,28.0,19,3.0,r,r,r,r,r,r,A5,A4,A5,F#4,D4,A5,D5,F#4,D4,F#3,F#3
56.25,28.125,19,3.25,r,r,r,r,r,r,A5,G4,A5,F#4,D4,A5,D5,F#4,D4,F#3,F#3
56.5,28.25,19,3.5,r,r,r,r,r,r,G5,A4,G5,A4,D4,G5,D5,A4,D4,E3,D3
56.75,28.375,19,3.75,r,r,r,r,r,r,F#5,B4,F#5,A4,D4,F#5,D5,A4,D4,D3,D3
57.0,28.5,20,1.0,A5,E5,A4,A2,r,r,E5,C#5,E5,A4,C#4,E5,C#5,A4,E4,A3,A3
57.5,28.75,20,1.5,r,r,r,r,A5,C#5,r,r,E5,A4,C#4,E5,C#5,A4,E4,A3,A3
57.75,28.875,20,1.75,r,r,r,r,B5,D5,r,r,E5,A4,C#4,E5,C#5,A4,E4,A3,A3
58.0,29.0,20,2.0,C#6,A5,E5,A2,C#6,E5,C#5,A4,r,r,r,r,r,r,r,r,r
58.25,29.125,20,2.25,C#6,A5,E5,A2,D6,F#5,C#5,A4,r,r,r,r,r,r,r,r,r
58.5,29.25,20,2.5,r,r,r,r,C#6,E5,r,r,E4,E4,A3,E4,E5,C#4,E4,E3,E3
58.75,29.375,20,2.75,r,r,r,r,D6,F#5,r,r,E4,E4,A3,E4,E5,C#4,E4,E3,E3
59.0,29.5,20,3.0,A5,E5,A4,A2,C#6,E5,E5,C#5,A4,E4,A3,A4,E4,E4,E4,C#3,C#3
59.25,29.625,20,3.25,A5,E5,A4,A2,D6,F#5,E5,C#5,A4,E4,A3,A4,E4,E4,E4,C#3,C#3
59.5,29.75,20,3.5,r,r,r,r,C#6,E5,r,r,B4,G#4,E4,B4,G#4,E4,B3,E3,E3
59.75,29.875,20,3.75,r,r,r,r,B5,D5,r,r,B4,G#4,E4,B4,G#4,E4,B3,E3,E3
60.0,30.0,21,1.0,E5,A4,A4,A2,A5,C#5,A5,E5,C#5,A4,E4,C#5,A4,E4,A3,A2,A2
60.5,30.25,21,1.5,r,r,r,r,r,r,r,r,D5,B4,E4,D5,B4,E4,G#3,E3,E3
60.6667,30.3333,21,1.6667,r,r,r,r,r,r,r,r,C#5,A4,E4,C#5,A4,E4,G#3,E3,E3
60.8333,30.4167,21,1.8333,r,r,r,r,r,r,r,r,C#5,A4,E4,C#5,A4,E4,G#3,E3,E3
61.0,30.5,21,2.0,r,r,r,r,r,r,r,r,C#5,A4,E4,C#5,A4,E4,C#4,A3,A3
61.5,30.75,21,2.5,r,r,r,r,r,r,r,r,D5,G#4,E4,D5,G#4,E4,B3,B3,B3
62.0,31.0,21,3.0,r,r,r,r,r,r,r,r,C#5,A4,E4,C#5,A4,E4,C#4,A3,A3
62.5,31.25,21,3.5,r,r,r,r,r,r,r,r,B4,F4,G#4,B4,F4,G#4,C#4,G#3,G#3
63.0,31.5,22,1.0,r,r,r,r,r,r,F#5,C#5,A4,F#4,C#4,A4,F#4,C#4,F#4,F#3,F#3
63.25,31.625,22,1.25,r,r,r,r,r,r,F#5,C#5,G#4,F4,B3,A4,F#4,C#4,F#4,F#3,F#3
63.5,31.75,22,1.5,r,r,r,r,F#5,F#5,r,r,A4,F#4,C#4,A4,C#5,C#4,A3,C#3,F#2
63.75,31.875,22,1.75,r,r,r,r,G#5,F5,r,r,A4,F#4,C#4,G#4,B4,C#4,B3,C#3,F#2
64.0,32.0,22,2.0,r,r,r,r,A5,F#5,A5,F#5,r,r,r,F#4,A4,C#4,C#4,F#2,F#3
64.25,32.125,22,2.25,r,r,r,r,B5,G#5,A5,F#5,r,r,r,F#4,A4,C#4,C#4,F#2,F#3
64.5,32.25,22,2.5,r,r,r,r,A5,F#5,r,r,F#4,C#4,A3,F#4,C#5,F#4,C#4,A3,A3
64.75,32.375,22,2.75,r,r,r,r,B5,G#5,r,r,F#4,C#4,A3,F#4,C#5,F#4,C#4,A3,A3
65.0,32.5,22,3.0,r,r,r,r,A5,F#5,F#5,C#5,B4,F#4,D4,B4,F#4,F#4,D4,D3,D3
65.25,32.625,22,3.25,r,r,r,r,B5,G#5,F#5,C#5,B4,F#4,D4,B4,F#4,F#4,D4,D3,D3
65.5,32.75,22,3.5,r,r,r,r,A5,F#5,r,r,C#5,F#4,C#4,C#5,A4,F#4,C#4,F#3,F#3
65.75,32.875,22,3.75,r,r,r,r,B5,G#5,r,r,C#5,F#4,C#4,C#5,A4,F#4,C#4,F#3,F#3
66.0,33.0,23,1.0,r,r,r,r,A5,F#5,D5,F#4,D5,F#4,B3,D5,A4,F#4,B3,B2,B2
66.5,33.25,23,1.5,r,r,r,r,r,r,r,r,C#5,G#4,E4,C#5,G#4,E4,B3,D3,D3
