qstamp,tstamp,measure,beat,Violin solo,Violin 1,Violin 2,Viola,Soprano 2 solo (sic),Continuo
11.0,8.9189,4,3.5,F#4,r,r,r,r,B2
11.25,9.1216,4,3.75,G#4,r,r,r,r,B2
11.375,9.223,4,3.875,A4,r,r,r,r,B2
11.5,9.3243,4,4.0,G#4,r,r,r,r,E3
11.625,9.4257,4,4.125,F#4,r,r,r,r,E3
11.75,9.527,4,4.25,E4,r,r,r,r,E3
12.0,9.7297,4,4.5,B4,B4,G#4,E4,r,D3
12.125,9.8311,4,4.625,A4,B4,G#4,E4,r,D3
12.25,9.9324,4,4.75,G#4,B4,G#4,E4,r,D3
12.5,10.1351,5,1.0,E5,C#5,A4,A3,r,C#3
12.75,10.3378,5,1.25,E5,A4,F#4,A3,r,C#3
13.0,10.5405,5,1.5,E5,A4,F#4,C#4,r,A2
13.25,10.7432,5,1.75,E5,B4,G#4,C#4,r,A2
13.375,10.8446,5,1.875,E5,C#5,A4,C#4,r,A2
13.5,10.9459,5,2.0,E5,B4,G#4,E4,r,E3
13.75,11.1486,5,2.25,E5,G#4,E4,E4,r,E3
14.0,11.3514,5,2.5,E5,G#4,E4,B3,r,G#3
14.25,11.5541,5,2.75,E5,A4,F#4,B3,r,G#3
14.375,11.6554,5,2.875,E5,B4,G#4,B3,r,G#3
14.5,11.7568,5,3.0,E5,A4,F#4,B3,r,B3
14.75,11.9595,5,3.25,F#5,F#4,E-4,B3,r,B3
14.875,12.0608,5,3.375,E5,F#4,E-4,B3,r,B3
15.0,12.1622,5,3.5,E-5,F#4,E-4,B3,r,B2
15.125,12.2635,5,3.625,C#5,F#4,E-4,B3,r,B2
15.25,12.3649,5,3.75,B4,G#4,E4,B3,r,B2
15.375,12.4662,5,3.875,B4,A4,F#4,B3,r,B2
15.5,12.5676,5,4.0,B4,G#4,E4,B3,r,E3
15.75,12.7703,5,4.25,C#5,G#4,E4,B3,r,E3
15.875,12.8716,5,4.375,B4,G#4,E4,B3,r,E3
16.0,12.973,5,4.5,A4,B4,E4,B3,r,G#2
16.125,13.0743,5,4.625,G#4,B4,E4,B3,r,G#2
16.25,13.1757,5,4.75,F#4,B4,E4,B3,r,G#2
16.375,13.277,5,4.875,E4,B4,E4,B3,r,G#2
16.5,13.3784,6,1.0,C#5,A4,E4,C#4,r,A2
16.625,13.4797,6,1.125,B4,A4,E4,C#4,r,A2
16.75,13.5811,6,1.25,A4,A4,E4,C#4,r,A2
17.0,13.7838,6,1.5,E-5,r,r,r,r,B2
17.125,13.8851,6,1.625,C#5,r,r,r,r,B2
17.25,13.9865,6,1.75,B4,r,r,r,r,B2
17.5,14.1892,6,2.0,E5,r,r,r,r,C#3
17.625,14.2905,6,2.125,E-5,r,r,r,r,C#3
17.75,14.3919,6,2.25,C#5,r,r,r,r,C#3
18.0,14.5946,6,2.5,F#5,A4,F#4,B3,r,E-3
18.125,14.6959,6,2.625,E5,A4,F#4,B3,r,E-3
18.25,14.7973,6,2.75,E-5,A4,F#4,B3,r,E-3
18.5,15.0,6,3.0,G#5,G#4,E4,B3,r,E3
18.625,15.1014,6,3.125,F#5,G#4,E4,B3,r,E3
18.75,15.2027,6,3.25,E5,G#4,E4,B3,r,E3
19.0,15.4054,6,3.5,A5,r,r,r,r,F#3
19.125,15.5068,6,3.625,G#5,r,r,r,r,F#3
19.25,15.6081,6,3.75,F#5,r,r,r,r,F#3
19.5,15.8108,6,4.0,B5,r,r,r,r,G#3
19.625,15.9122,6,4.125,A5,r,r,r,r,G#3
19.75,16.0135,6,4.25,G#5,r,r,r,r,G#3
20.0,16.2162,6,4.5,C#6,G#4,E4,C#4,r,A3
20.125,16.3176,6,4.625,B5,G#4,E4,C#4,r,A3
20.25,16.4189,6,4.75,A5,G#4,E4,C#4,r,A3
20.5,16.6216,7,1.0,E-6,F#4,B3,F#4,r,A3
20.625,16.723,7,1.125,C#6,F#4,B3,F#4,r,A3
20.75,16.8243,7,1.25,B5,F#4,B3,F#4,r,A3
21.0,17.027,7,1.5,E6,E5,B4,G#4,r,G#3
21.25,17.2297,7,1.75,E-6,E5,B4,G#4,r,A3
21.375,17.3311,7,1.875,C#6,E5,B4,G#4,r,A3
21.5,17.4324,7,2.0,B5,E5,B4,G#4,r,B3
21.75,17.6351,7,2.25,A5,E5,B4,G#4,r,B3
21.875,17.7365,7,2.375,G#5,E5,B4,G#4,r,B3
22.0,17.8378,7,2.5,A5,E-5,B4,F#4,r,B2
22.25,18.0405,7,2.75,G#5,E-5,B4,F#4,r,B2
22.375,18.1419,7,2.875,F#5,E-5,B4,F#4,r,B2
22.5,18.2432,7,3.0,E5,E5,B4,G#4,r,E2
22.75,18.4459,7,3.25,E5,D5,B4,G#4,r,E2
23.0,18.6486,7,3.5,E4,D5,B4,G#4,r,E3
23.25,18.8514,7,3.75,E4,C#5,B4,G#4,r,F#3
23.5,19.0541,7,4.0,r,C#5,r,r,r,E3
23.75,19.2568,7,4.25,r,B4,r,r,r,E3
24.0,19.4595,7,4.5,B4,B4,F#4,B3,r,D3
24.25,19.6622,7,4.75,B4,B-4,F#4,B3,r,D3
24.5,19.8649,8,1.0,B-4,B-4,E4,C#4,r,C#3
24.75,20.0676,8,1.25,B4,B-4,E4,C#4,r,C#3
25.0,20.2703,8,1.5,B4,r,r,r,r,B2
25.25,20.473,8,1.75,C#5,r,r,r,r,B2
25.5,20.6757,8,2.0,F#4,r,r,r,r,B-2
25.75,20.8784,8,2.25,E5,r,r,r,r,B-2
26.0,21.0811,8,2.5,E5,C#5,B-4,F#4,r,F#2
26.25,21.2838,8,2.75,D5,C#5,B-4,F#4,r,F#2
26.375,21.3851,8,2.875,C#5,C#5,B-4,F#4,r,F#2
26.5,21.4865,8,3.0,D5,D5,B4,F#4,r,B2
26.75,21.6892,8,3.25,C#5,D5,B4,F#4,r,B2
26.875,21.7905,8,3.375,B4,D5,B4,F#4,r,B2
27.0,21.8919,8,3.5,B-4,r,r,r,r,C#3
27.125,21.9932,8,3.625,B4,r,r,r,r,C#3
27.25,22.0946,8,3.75,C#5,r,r,r,r,C#3
27.5,22.2973,8,4.0,C#5,r,r,r,r,D3
27.75,22.5,8,4.25,B4,r,r,r,r,D3
27.875,22.6014,8,4.375,B-4,r,r,r,r,D3
28.0,22.7027,8,4.5,B4,D5,F#4,B3,r,B2
28.125,22.8041,8,4.625,C#5,D5,F#4,B3,r,B2
28.25,22.9054,8,4.75,D5,D5,F#4,B3,r,B2
28.5,23.1081,9,1.0,G#4,G#4,E4,B3,r,E3
28.75,23.3108,9,1.25,A4,G#4,E4,B3,r,E3
29.0,23.5135,9,1.5,A4,r,r,r,r,F#3
29.25,23.7162,9,1.75,B4,r,r,r,r,F#3
29.5,23.9189,9,2.0,E4,r,r,r,r,G#3
29.75,24.1216,9,2.25,D5,r,r,r,r,G#3
30.0,24.3243,9,2.5,D5,B4,G#4,E4,r,E3
30.25,24.527,9,2.75,C#5,B4,G#4,E4,r,E3
30.375,24.6284,9,2.875,B4,B4,G#4,E4,r,E3
30.5,24.7297,9,3.0,C#5,C#5,A4,E4,r,A2
30.75,24.9324,9,3.25,B4,C#5,A4,E4,r,A2
30.875,25.0338,9,3.375,A4,C#5,A4,E4,r,A2
31.0,25.1351,9,3.5,G#4,r,r,r,r,B2
31.125,25.2365,9,3.625,A4,r,r,r,r,B2
31.25,25.3378,9,3.75,B4,r,r,r,r,B2
31.5,25.5405,9,4.0,A4,r,r,r,r,C#3
31.75,25.7432,9,4.25,G4,r,r,r,r,C#3
31.875,25.8446,9,4.375,F#4,r,r,r,r,C#3
32.0,25.9459,9,4.5,E4,E4,C#4,A3,r,A2
32.125,26.0473,9,4.625,F#4,E4,C#4,A3,r,A2
32.25,26.1486,9,4.75,G4,E4,C#4,A3,r,A2
32.5,26.3514,10,1.0,F#4,F#4,D4,A3,r,D3
32.75,26.5541,10,1.25,D4,F#4,D4,A3,r,D3
33.0,26.7568,10,1.5,D4,r,r,r,r,B2
33.125,26.8581,10,1.625,C#4,r,r,r,r,B2
33.25,26.9595,10,1.75,D4,r,r,r,r,B2
33.5,27.1622,10,2.0,D4,G#4,D4,E3,r,E3
33.625,27.2635,10,2.125,G#4,G#4,D4,E3,r,E3
33.75,27.3649,10,2.25,E5,G#4,D4,E3,r,E3
34.0,27.5676,10,2.5,E5,r,r,r,r,C#3
34.125,27.6689,10,2.625,D5,r,r,r,r,C#3
34.25,27.7703,10,2.75,C#5,r,r,r,r,C#3
34.375,27.8716,10,2.875,B4,r,r,r,r,C#3
34.5,27.973,10,3.0,A4,A4,D4,A3,r,F#3
34.75,28.1757,10,3.25,D4,A4,D4,A3,r,F#3
35.0,28.3784,10,3.5,D4,r,r,r,r,F#2
35.125,28.4797,10,3.625,C#4,r,r,r,r,F#2
35.25,28.5811,10,3.75,D4,r,r,r,r,F#2
35.5,28.7838,10,4.0,D4,B4,D4,G#3,r,G#2
35.625,28.8851,10,4.125,B4,B4,D4,G#3,r,G#2
35.75,28.9865,10,4.25,F#5,B4,D4,G#3,r,G#2
36.0,29.1892,10,4.5,F#5,r,r,r,r,E2
36.25,29.3919,10,4.75,E5,r,r,r,r,E2
36.375,29.4932,10,4.875,D5,r,r,r,r,E2
36.5,29.5946,11,1.0,C#5,r,r,r,r,A2
36.625,29.6959,11,1.125,B4,r,r,r,r,A2
36.75,29.7973,11,1.25,A4,r,r,r,r,A2
37.0,30.0,11,1.5,D5,A4,A3,D4,r,F#2
37.125,30.1014,11,1.625,C#5,A4,A3,D4,r,F#2
37.25,30.2027,11,1.75,B4,A4,A3,D4,r,F#2
37.5,30.4054,11,2.0,A4,B4,F#4,D4,r,D2
38.0,30.8108,11,2.5,G#4,G#4,E4,B3,r,E2
38.375,31.1149,11,2.875,A4,G#4,E4,B3,r,E2
38.5,31.2162,11,3.0,A4,A4,E-4,A3,r,F#2
38.75,31.4189,11,3.25,E-4,A4,E-4,A3,r,F#2
38.875,31.5203,11,3.375,E4,A4,E-4,A3,r,F#2
39.0,31.6216,11,3.5,F#4,C5,r,r,r,r
39.25,31.8243,11,3.75,F#4,C5,r,r,r,r
39.375,31.9257,11,3.875,G#4,C5,r,r,r,r
39.5,32.027,11,4.0,A4,E-4,r,r,r,r
39.75,32.2297,11,4.25,A4,E-4,r,r,r,r
39.875,32.3311,11,4.375,B4,E-4,r,r,r,r
40.0,32.4324,11,4.5,C5,r,E4,A3,r,E3
40.5,32.8378,12,1.0,C5,r,F#4,A3,r,E-3
40.625,32.9392,12,1.125,B4,r,F#4,A3,r,E-3
40.75,33.0405,12,1.25,A4,r,F#4,A3,r,E-3
40.875,33.1419,12,1.375,G#4,r,F#4,A3,r,E-3
41.0,33.2432,12,1.5,A4,F#5,r,r,r,r
41.125,33.3446,12,1.625,C5,F#5,r,r,r,r
41.25,33.4459,12,1.75,E-5,F#5,r,r,r,r
41.5,33.6486,12,2.0,E-5,A4,r,r,r,r
41.625,33.75,12,2.125,E5,A4,r,r,r,r
41.75,33.8514,12,2.25,F#5,A4,r,r,r,r
41.875,33.9527,12,2.375,E5,A4,r,r,r,r
42.0,34.0541,12,2.5,E-5,r,F#4,B3,r,B2
42.125,34.1554,12,2.625,C5,r,F#4,B3,r,B2
42.25,34.2568,12,2.75,B4,r,F#4,B3,r,B2
42.375,34.3581,12,2.875,A4,r,F#4,B3,r,B2
42.5,34.4595,12,3.0,G#4,r,E4,B3,r,E3
42.625,34.5608,12,3.125,E4,r,E4,B3,r,E3
42.75,34.6622,12,3.25,D4,r,E4,B3,r,E3
42.875,34.7635,12,3.375,C#4,r,E4,B3,r,E3
43.0,34.8649,12,3.5,D4,B4,r,r,r,r
43.125,34.9662,12,3.625,G#4,B4,r,r,r,r
43.25,35.0676,12,3.75,B4,B4,r,r,r,r
43.5,35.2703,12,4.0,B4,D4,r,r,r,r
43.625,35.3716,12,4.125,A4,D4,r,r,r,r
43.75,35.473,12,4.25,G#4,D4,r,r,r,r
43.875,35.5743,12,4.375,F#4,D4,r,r,r,r
44.0,35.6757,12,4.5,E4,r,B3,B3,r,G#2
44.125,35.777,12,4.625,D4,r,B3,B3,r,G#2
44.25,35.8784,12,4.75,C#4,r,B3,B3,r,G#2
44.375,35.9797,12,4.875,B3,r,B3,B3,r,G#2
44.5,36.0811,13,1.0,C#4,r,A3,E3,r,A2
44.625,36.1824,13,1.125,F#4,r,A3,E3,r,A2
44.75,36.2838,13,1.25,E-4,r,A3,E3,r,A2
45.0,36.4865,13,1.5,E-4,A4,A3,E3,r,C#2
45.25,36.6892,13,1.75,E4,A4,A3,E3,r,C#2
45.375,36.7905,13,1.875,A3,A4,A3,E3,r,C#2
45.5,36.8919,13,2.0,C#4,C#4,A3,F#3,r,D2
46.0,37.2973,13,2.5,B3,B3,G#3,G#3,r,E2
46.375,37.6014,13,2.875,A3,B3,G#3,G#3,r,E2
46.5,37.7027,13,3.0,A3,A3,A3,C#3,r,A2
46.75,37.9054,13,3.25,C#4,A3,A3,C#3,r,A2
46.875,38.0068,13,3.375,E4,A3,A3,C#3,r,A2
47.0,38.1081,13,3.5,A4,A3,A3,C#3,r,A2
47.125,38.2095,13,3.625,C#5,A3,A3,C#3,r,A2
47.25,38.3108,13,3.75,E5,A3,A3,C#3,r,A2
47.375,38.4122,13,3.875,G#5,A3,A3,C#3,r,A2
47.5,38.5135,13,4.0,A5,A3,A3,C#3,r,r
48.0,38.9189,13,4.5,r,r,r,r,E4,r
48.5,39.3243,14,1.0,r,r,r,r,A4,r
48.75,39.527,14,1.25,r,r,r,r,G#4,r
49.0,39.7297,14,1.5,r,A4,r,C#4,A4,r
49.25,39.9324,14,1.75,r,G#4,r,B3,B4,r
49.5,40.1351,14,2.0,r,G#4,r,B3,B4,r
49.75,40.3378,14,2.25,r,B4,r,D4,A4,r
50.0,40.5405,14,2.5,r,B4,r,D4,B4,r
50.25,40.7432,14,2.75,r,A4,r,C#4,C#5,r
50.5,40.9459,14,3.0,r,A4,r,C#4,C#5,r
50.75,41.1486,14,3.25,r,C#5,r,C#4,B4,r
51.0,41.3514,14,3.5,r,C#5,A4,E4,C#5,r
51.25,41.5541,14,3.75,r,B4,G#4,E4,D5,r
51.5,41.7568,14,4.0,r,B4,G#4,E4,D5,r
51.75,41.9595,14,4.25,r,D5,B4,E4,C#5,r
52.0,42.1622,14,4.5,r,D5,B4,G#4,D5,r
52.25,42.3649,14,4.75,r,C#5,A4,G#4,E5,r
52.5,42.5676,15,1.0,r,C#5,A4,E4,E5,r
52.75,42.7703,15,1.25,r,E5,C#5,E4,C#5,r
53.0,42.973,15,1.5,r,E5,C#5,C#4,A4,r
53.25,43.1757,15,1.75,r,D5,B4,C#4,A4,r
53.5,43.3784,15,2.0,r,D5,B4,D4,A4,r
53.75,43.5811,15,2.25,r,F#5,D5,D4,G4,r
54.0,43.7838,15,2.5,r,F#5,D5,A3,F#4,D2
54.25,43.9865,15,2.75,r,E5,C#5,A3,A4,D2
54.5,44.1892,15,3.0,r,E5,C#5,A3,G4,A2
54.75,44.3919,15,3.25,r,E5,C#5,A3,F#4,C#3
55.0,44.5946,15,3.5,r,E5,C#5,A3,G4,C#3
55.25,44.7973,15,3.75,r,E5,C#5,A3,G4,B2
55.5,45.0,15,4.0,r,E5,C#5,A3,G4,B2
55.75,45.2027,15,4.25,r,E5,C#5,A3,F#4,D3
56.0,45.4054,15,4.5,E4,E5,C#5,A3,G4,D3
56.25,45.6081,15,4.75,E4,E5,C#5,A3,G4,C#3
56.5,45.8108,16,1.0,A4,E5,C#5,A3,G4,C#3
56.75,46.0135,16,1.25,A4,E5,C#5,A3,E4,C#3
57.0,46.2162,16,1.5,A4,D5,C#5,A3,F#4,A2
57.25,46.4189,16,1.75,B4,C#5,C#5,A3,G4,A2
57.375,46.5203,16,1.875,C#5,C#5,C#5,A3,G4,A2
57.5,46.6216,16,2.0,B4,D5,F#4,A3,F#4,D3
57.75,46.8243,16,2.25,C#5,D5,F#4,A3,F#4,D3
58.0,47.027,16,2.5,B4,G#4,B4,D4,D4,B2
58.25,47.2297,16,2.75,G#4,G#4,B4,D4,D4,B2
58.5,47.4324,16,3.0,A4,A4,E4,C#4,E4,C#3
59.0,47.8378,16,3.5,G#4,E4,C#4,E4,E4,B2
59.25,48.0405,16,3.75,F#4,E4,C#4,E4,E4,A2
59.5,48.2432,16,4.0,E4,r,r,r,r,G#2
59.75,48.4459,16,4.25,E4,r,r,r,G#4,G#2
60.0,48.6486,16,4.5,E5,E5,B4,E4,B4,E2
60.25,48.8514,16,4.75,E5,E5,B4,E4,E5,E2
60.5,49.0541,17,1.0,D5,D5,A4,E4,D5,A2
60.75,49.2568,17,1.25,C#5,C#5,A4,E4,C#5,A2
61.0,49.4595,17,1.5,B4,B4,E4,C#4,B4,C#3
61.25,49.6622,17,1.75,A4,A4,E4,C#4,A4,C#3
61.5,49.8649,17,2.0,D5,D5,G#4,D4,D5,B2
62.0,50.2703,17,2.5,C#5,C#5,A4,E4,C#5,A2
62.5,50.6757,17,3.0,B4,B4,G#4,E4,B4,E3
63.0,51.0811,17,3.5,B4,B4,G#4,E4,B4,F#3
63.5,51.4865,17,4.0,r,r,r,r,r,G#3
64.0,51.8919,17,4.5,B4,r,r,r,r,E3
64.5,52.2973,18,1.0,C#5,r,r,r,r,A3
64.75,52.5,18,1.25,A4,r,r,r,r,A3
65.0,52.7027,18,1.5,A4,r,r,r,r,F#3
65.25,52.9054,18,1.75,B4,r,r,r,r,F#3
65.375,53.0068,18,1.875,C#5,r,r,r,r,F#3
65.5,53.1081,18,2.0,B4,r,r,r,r,G#3
65.75,53.3108,18,2.25,G#4,r,r,r,r,G#3
66.0,53.5135,18,2.5,G#4,r,r,r,r,E3
66.25,53.7162,18,2.75,A4,r,r,r,r,E3
66.375,53.8176,18,2.875,B4,r,r,r,r,E3
66.5,53.9189,18,3.0,A4,r,r,r,r,F#3
66.75,54.1216,18,3.25,F#4,r,r,r,r,F#3
67.0,54.3243,18,3.5,F#4,r,r,r,r,B2
67.25,54.527,18,3.75,G#4,r,r,r,r,B2
67.375,54.6284,18,3.875,A4,r,r,r,r,B2
67.5,54.7297,18,4.0,G#4,r,r,r,r,E3
67.625,54.8311,18,4.125,F#4,r,r,r,r,E3
67.75,54.9324,18,4.25,E4,r,r,r,r,E3
68.0,55.1351,18,4.5,B4,B4,G#4,E4,B4,E2
68.125,55.2365,18,4.625,A4,B4,G#4,E4,B4,E2
68.25,55.3378,18,4.75,G#4,B4,G#4,E4,B4,E2
68.5,55.5405,19,1.0,E5,C#5,A4,A3,C#5,A2
68.75,55.7432,19,1.25,E5,A4,F#4,A3,A4,A2
69.0,55.9459,19,1.5,E5,A4,F#4,C#4,A4,A3
69.25,56.1486,19,1.75,E5,B4,G#4,C#4,B4,A3
69.375,56.25,19,1.875,E5,C#5,A4,C#4,C#5,A3
69.5,56.3514,19,2.0,E5,B4,G#4,E4,B4,E3
69.75,56.5541,19,2.25,E5,G#4,E4,E4,G#4,E3
70.0,56.7568,19,2.5,E5,G#4,E4,B3,G#4,G#3
70.25,56.9595,19,2.75,E5,A4,F#4,B3,A4,G#3
70.375,57.0608,19,2.875,E5,B4,G#4,B3,B4,G#3
70.5,57.1622,19,3.0,E5,A4,F#4,B3,A4,B3
70.75,57.3649,19,3.25,F#5,F#4,E-4,B3,F#4,B3
70.875,57.4662,19,3.375,E5,F#4,E-4,B3,F#4,B3
71.0,57.5676,19,3.5,E-5,F#4,E-4,B3,F#4,B2
71.125,57.6689,19,3.625,C#5,F#4,E-4,B3,F#4,B2
71.25,57.7703,19,3.75,B4,G#4,E4,B3,G#4,B2
71.375,57.8716,19,3.875,B4,A4,F#4,B3,A4,B2
71.5,57.973,19,4.0,B4,G#4,E4,B3,G#4,E3
71.625,58.0743,19,4.125,E5,G#4,E4,B3,G#4,E3
71.75,58.1757,19,4.25,E-5,G#4,E4,B3,E4,E3
71.875,58.277,19,4.375,C#5,G#4,E4,B3,E4,E3
72.0,58.3784,19,4.5,B4,r,r,r,G#4,r
72.125,58.4797,19,4.625,A4,r,r,r,G#4,r
72.25,58.5811,19,4.75,G#4,r,r,r,B4,r
72.375,58.6824,19,4.875,F#4,r,r,r,B4,r
72.5,58.7838,20,1.0,G#4,r,r,r,E5,r
72.625,58.8851,20,1.125,F#4,r,r,r,E5,r
72.75,58.9865,20,1.25,E4,r,r,r,E5,r
73.0,59.1892,20,1.5,B4,E4,r,G#3,B4,r
73.125,59.2905,20,1.625,A4,E4,r,G#3,B4,r
73.25,59.3919,20,1.75,G#4,E-4,r,F#3,B4,r
73.5,59.5946,20,2.0,A4,E-4,r,F#3,B4,r
73.625,59.6959,20,2.125,G#4,E-4,r,F#3,B4,r
73.75,59.7973,20,2.25,F#4,F#4,r,A3,B4,r
74.0,60.0,20,2.5,E-5,F#4,r,A3,A4,r
74.125,60.1014,20,2.625,C#5,F#4,r,A3,A4,r
74.25,60.2027,20,2.75,B4,E4,r,G#3,B4,r
74.5,60.4054,20,3.0,E5,E4,r,G#3,E4,E2
74.75,60.6081,20,3.25,E5,G#4,r,B3,E4,E2
75.0,60.8108,20,3.5,r,G#4,E4,B3,E4,E2
75.25,61.0135,20,3.75,r,F#4,E-4,A3,E4,E2
75.5,61.2162,20,4.0,r,F#4,E-4,A3,r,r
75.75,61.4189,20,4.25,r,A4,F#4,C#4,r,r
76.0,61.6216,20,4.5,r,A4,F#4,C#4,r,r
76.25,61.8243,20,4.75,r,G#4,E4,B3,r,r
76.5,62.027,21,1.0,r,G#4,E4,B3,r,E2
76.75,62.2297,21,1.25,r,B4,G#4,B3,r,E2
77.0,62.4324,21,1.5,r,B4,G#4,E4,r,E2
77.25,62.6351,21,1.75,r,A4,F#4,E4,r,E2
77.5,62.8378,21,2.0,r,A4,F#4,E4,E4,r
77.75,63.0405,21,2.25,r,C#5,A4,E4,E4,r
78.0,63.2432,21,2.5,r,C#5,A4,E-4,E4,r
78.25,63.4459,21,2.75,r,B4,G#4,E-4,E4,r
78.5,63.6486,21,3.0,r,B4,G#4,E4,E4,E2
78.75,63.8514,21,3.25,r,B4,E4,B3,G#4,E2
79.0,64.0541,21,3.5,r,B4,E4,B3,G#4,E2
79.25,64.2568,21,3.75,r,B4,E-4,A3,F#4,E2
79.5,64.4595,21,4.0,r,B4,E-4,A3,F#4,E2
79.75,64.6622,21,4.25,r,B4,F#4,E-4,A4,E2
80.0,64.8649,21,4.5,B4,B4,F#4,E-4,A4,E2
80.25,65.0676,21,4.75,B4,B4,E4,B3,G#4,E2
80.5,65.2703,22,1.0,E5,B4,E4,B3,G#4,E2
80.75,65.473,22,1.25,E5,B4,E4,B3,B4,E2
81.0,65.6757,22,1.5,E5,G#4,E4,E3,B4,E2
81.25,65.8784,22,1.75,F#5,G#4,E4,E3,A4,E2
81.375,65.9797,22,1.875,G#5,G#4,E4,E3,A4,E2
81.5,66.0811,22,2.0,F#5,A4,E-4,F#3,A4,E2
81.75,66.2838,22,2.25,G#5,A4,E-4,F#3,C#5,E2
82.0,66.4865,22,2.5,F#5,F#4,F#4,A3,C#5,E2
82.25,66.6892,22,2.75,E-5,F#4,F#4,A3,B4,E2
82.5,66.8919,22,3.0,E5,G#4,B3,G#3,B4,E2
83.0,67.2973,22,3.5,E-5,A4,A3,B3,B4,F#2
83.25,67.5,22,3.75,C#5,A4,A3,B3,B4,F#2
83.5,67.7027,22,4.0,B4,B4,G#3,E4,B4,G#2
84.0,68.1081,22,4.5,C#5,C#5,E-4,A3,B4,F#2
84.25,68.3108,22,4.75,B4,B4,E-4,A3,B4,F#2
84.5,68.5135,23,1.0,A4,A4,E4,B3,B4,E2
84.75,68.7162,23,1.25,G#4,G#4,E4,B3,B4,E2
85.0,68.9189,23,1.5,F#4,F#4,B3,G#3,B4,G#2
85.25,69.1216,23,1.75,E4,E4,B3,G#3,B4,G#2
85.5,69.3243,23,2.0,A4,A4,E-4,A3,B4,F#2
86.0,69.7297,23,2.5,G#4,G#4,E4,B3,B4,E2
86.5,70.1351,23,3.0,F#4,F#4,E-4,B3,B4,B2
86.75,70.3378,23,3.25,F#4,F#4,E-4,B3,A4,B2
87.0,70.5405,23,3.5,F#4,F#4,E-4,B3,A4,C#3
87.25,70.7432,23,3.75,F#4,F#4,E-4,B3,G#4,E-3
87.5,70.9459,23,4.0,r,r,r,r,G#4,E3
87.75,71.1486,23,4.25,r,r,r,r,F#4,E3
88.0,71.3514,23,4.5,B4,r,r,r,G#4,E2
88.5,71.7568,24,1.0,C#5,r,r,r,G#4,A2
88.75,71.9595,24,1.25,A4,r,r,r,G#4,A2
89.0,72.1622,24,1.5,A4,r,r,r,F#4,A3
89.25,72.3649,24,1.75,B4,r,r,r,F#4,A3
89.375,72.4662,24,1.875,C#5,r,r,r,F#4,A3
89.5,72.5676,24,2.0,B4,r,r,r,F#4,G#3
89.75,72.7703,24,2.25,G#4,r,r,r,G#4,G#3
90.0,72.973,24,2.5,G#4,r,r,r,E4,C#4
90.25,73.1757,24,2.75,A4,r,r,r,E4,C#4
90.375,73.277,24,2.875,B4,r,r,r,E4,C#4
90.5,73.3784,24,3.0,A4,r,r,r,E4,F#3
90.75,73.5811,24,3.25,F#4,r,r,r,E-4,F#3
91.0,73.7838,24,3.5,F#4,r,r,r,E-4,B3
91.25,73.9865,24,3.75,G#4,r,r,r,E4,B3
91.375,74.0878,24,3.875,A4,r,r,r,E4,B3
