qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Trombone 1,Trombone 2,Trombone 3,Harp,Soprano,Alto,Tenor,Bass,Viola 1,Viola 2,Violoncello 1,Violoncello 2,Violoncello 3,Contrabass
48.5,31.6304,13,1.5,r,r,r,r,r,r,r,F2,r,r,r,r,r,r,r,r,B-3,C3,G3,E3,F2,F1
49.0,31.9565,13,2.0,r,r,r,r,r,r,r,F2,r,r,r,r,r,r,r,r,G3,C#3,E3,E3,F2,F1
50.0,32.6087,13,3.0,r,r,r,r,r,r,r,F2,r,r,r,r,r,r,r,r,G3,C#3,E3,E3,F2,F1
50.5,32.9348,13,3.5,r,r,r,r,r,r,r,F2,r,r,r,r,r,r,r,r,G3,C#3,E3,A2,F2,F1
51.0,33.2609,13,4.0,r,r,r,r,r,r,r,F2,r,r,r,r,r,r,r,r,E3,C#3,E3,B-2,F2,F1
52.0,33.913,14,1.0,r,r,r,r,r,r,r,F2,r,r,r,r,r,r,r,r,E3,C#3,E3,B-2,F2,F1
52.5,34.2391,14,1.5,r,r,r,r,r,r,r,F2,r,r,r,r,r,r,r,r,E3,C#3,F#2,B-2,F2,F1
53.0,34.5652,14,2.0,r,r,r,r,r,r,r,F2,r,r,r,r,r,r,r,r,C#3,C#3,G2,B-2,F2,F1
54.0,35.2174,14,3.0,r,r,r,r,r,r,r,F2,r,r,r,r,r,r,r,r,C#3,C#3,G2,B-2,F2,F1
55.0,35.8696,14,4.0,r,r,r,r,r,r,r,F2,r,r,r,r,r,r,r,r,C3,C3,A2,A2,F2,F1
56.0,36.5217,15,1.0,r,r,r,r,r,r,r,F2,r,r,r,r,F4,A3,C4,F3,C3,C3,A2,A2,F2,F1
57.0,37.1739,15,2.0,r,r,r,r,r,r,r,F2,r,r,r,r,F4,A3,C4,F3,r,r,r,r,F2,F1
60.0,39.1304,16,1.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,E-4,C4,F3,r,r,r,r,r,r
64.0,41.7391,17,1.0,r,r,r,r,r,r,F3,F3,r,r,r,r,B-4,D4,B-3,F3,B-3,F3,B-3,D3,F2,F1
65.0,42.3913,17,2.0,r,r,r,r,r,r,F3,F3,r,r,r,r,r,r,r,r,B-3,F3,B-3,D3,F2,F1
65.5,42.7174,17,2.5,r,r,r,r,r,r,F3,F3,r,r,r,r,r,r,r,r,C4,F3,C4,D3,F2,F1
66.0,43.0435,17,3.0,r,r,r,r,r,r,F3,F3,r,r,r,r,r,r,r,r,D4,F3,D4,D3,F2,F1
