qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Trombone 1,Trombone 2,Trombone 3,Harp,Soprano,Alto,Tenor,Bass,Viola 1,Viola 2,Violoncello 1,Violoncello 2,Violoncello 3,Contrabass
112.0,116.0,P8(Viola 1),P2(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 2),,,P2(Flute 2)&P3(Bassoon 2)&P2(F Horn 2),P4(Flute 2)&P3(Bassoon 1)&P4(F Horn 2),,P8(Flute 2)&P2(Bassoon 1)&P4(Bassoon 2),,,,,Main Part,,,,P8(Flute 1),,P3(Violoncello 2)&P3(Violoncello 3)&P3(Contrabass),P3(Violoncello 1)&U(Violoncello 3)&P8(Contrabass),P3(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P3(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)
116.0,124.0,,,,,U(Violoncello 1),,,,,,,,,,,,Main Part,,U(Bassoon 1),U(Violoncello 3)&P8(Contrabass),U(Violoncello 2)&P8(Contrabass),P8(Violoncello 2)&P8(Violoncello 3)
124.0,128.0,P8(Viola 2),U(Main),,,U(Violoncello 1),,,,,,,,P6(Bass),,,P6(Soprano),Main Part,P8(Flute 1),U(Bassoon 1),U(Violoncello 3)&P8(Contrabass),U(Violoncello 2)&P8(Contrabass),P8(Violoncello 2)&P8(Violoncello 3)
128.0,134.0,P4(F Horn 1),,,,P8(Bassoon 2),P8(Bassoon 1),P4(Flute 1),,P4(Trombone 2)&P7(Trombone 3),P4(Trombone 1)&P4(Trombone 3),P7(Trombone 1)&P4(Trombone 2),,Main Part,,,,,,P8(Violoncello 2)&P8(Violoncello 3)&P8(Contrabass),P8(Violoncello 1)&U(Violoncello 3)&P8(Contrabass),P8(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)
134.0,136.0,P4(F Horn 1)&P8(Trombone 1)&U(Main),P4(F Horn 2)&P4(Trombone 2)&P4(Viola 2)&P8(Violoncello 1),,,,,P4(Flute 1)&P4(Trombone 1)&P4(Main),P4(Flute 2)&P8(Trombone 2)&P8(Viola 2)&P4(Violoncello 1),P8(Flute 1)&P4(F Horn 1)&P8(Main),P4(Flute 2)&P8(F Horn 2)&P8(Viola 2)&P4(Violoncello 1),U(Violoncello 2)&U(Violoncello 3)&P8(Contrabass),,P3(Alto)&P4(Tenor)&P8(Bass),P3(Soprano)&P6(Tenor)&P3(Bass),P4(Soprano)&P6(Alto)&P4(Bass),P8(Soprano)&P3(Alto)&P4(Tenor),Main Part,P4(Flute 2)&P8(F Horn 2)&P8(Trombone 2)&P4(Violoncello 1),P8(Flute 2)&P4(F Horn 2)&P4(Trombone 2)&P4(Viola 2),U(Trombone 3)&U(Violoncello 3)&P8(Contrabass),U(Trombone 3)&U(Violoncello 2)&P8(Contrabass),P8(Trombone 3)&P8(Violoncello 2)&P8(Violoncello 3)
136.0,145.0,P8(Trombone 1),,,,,,,,P8(Flute 1),,U(Bass),,Main Part,,,U(Trombone 3),,,,,P8(Contrabass),P8(Violoncello 3)
145.0,153.0,,,Main Part,,,,,,,,,,,P4(Tenor)&P3(Bass),P4(Alto)&P6(Bass),P3(Alto)&P6(Tenor),P3(Violoncello 3)&P3(Contrabass),,,,P3(Viola 1)&P8(Contrabass),P3(Viola 1)&P8(Violoncello 3)
153.0,169.0,,,,,,,P8(F Horn 2),P8(F Horn 1),,,,,Main Part,,,,,,,,P8(Contrabass),P8(Violoncello 3)
169.0,177.0,P8(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Trombone 2),U(Oboe 1),U(Flute 2),P8(Flute 1)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Trombone 2),P8(Flute 1)&P8(Oboe 2)&P3(Bassoon 2)&P3(Trombone 2),P3(Flute 1)&P3(Oboe 2)&P3(Bassoon 1)&U(Trombone 2),P8(F Horn 2),P8(F Horn 1),,P3(Flute 1)&P3(Oboe 2)&P3(Bassoon 1)&U(Bassoon 2),,,Main Part,,,,,,,,,
177.0,184.0,Main Part,P8(F Horn 1),,P8(Main)&P8(Bassoon 1),P8(Main)&P8(Oboe 2),U(Trombone 2),P8(Flute 2),,,U(Bassoon 2),,,,,P2(Bass)&U(Viola 2)&P2(Violoncello 1)&P4(Violoncello 2)&P4(Violoncello 3)&P4(Contrabass),P2(Tenor)&P2(Viola 2)&U(Violoncello 1)&P5(Violoncello 2)&P5(Violoncello 3)&P5(Contrabass),,U(Tenor)&P2(Bass)&P2(Violoncello 1)&P4(Violoncello 2)&P4(Violoncello 3)&P4(Contrabass),P2(Tenor)&U(Bass)&P2(Viola 2)&P5(Violoncello 2)&P5(Violoncello 3)&P5(Contrabass),P4(Tenor)&P5(Bass)&P4(Viola 2)&P5(Violoncello 1)&U(Violoncello 3)&P8(Contrabass),P4(Tenor)&P5(Bass)&P4(Viola 2)&P5(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P4(Tenor)&P5(Bass)&P4(Viola 2)&P5(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)
184.0,191.0,U(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P4(Trombone 2),U(Flute 1)&P2(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P4(Trombone 2),P2(Flute 1)&P2(Flute 2)&P2(Oboe 2)&P2(Bassoon 1)&P5(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2)&P5(Trombone 2),P8(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Bassoon 1)&P4(Bassoon 2)&U(F Horn 1)&P8(F Horn 2)&P4(Trombone 2),P8(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P4(Bassoon 2)&P8(F Horn 1)&U(F Horn 2)&P4(Trombone 2),P4(Flute 1)&P4(Flute 2)&P5(Oboe 1)&P4(Oboe 2)&P4(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&U(Trombone 2),P8(Flute 1)&P8(Flute 2)&P2(Oboe 1)&U(Oboe 2)&P8(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 2)&P4(Trombone 2),P8(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&U(Bassoon 1)&P4(Bassoon 2)&P8(F Horn 1)&P4(Trombone 2),,P4(Flute 1)&P4(Flute 2)&P5(Oboe 1)&P4(Oboe 2)&P4(Bassoon 1)&U(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2),,,,,Main Part,U(Violoncello 1),,,U(Bass),U(Violoncello 3)&P8(Contrabass),U(Violoncello 2)&P8(Contrabass),P8(Violoncello 2)&P8(Violoncello 3)
191.0,200.0,,,U(Soprano),,,,,,,,,,U(Oboe 1),Main Part,,,,,,,P8(Contrabass),P8(Violoncello 3)
200.0,216.0,,,,,,,U(F Horn 2),U(F Horn 1),,,,,Main Part,,,,U(Viola 2),U(Viola 1),,,P8(Contrabass),P8(Violoncello 3)
216.0,220.0,,,P3(Alto),,P8(Bassoon 2),P8(Bassoon 1),,,,U(Violoncello 1),,,,P3(Oboe 1),Main Part,,,,U(Trombone 2),,P8(Contrabass),P8(Violoncello 3)
220.0,226.0,P7(Flute 2)&P8(Bassoon 1)&P4(Bassoon 2)&P8(Trombone 1),P7(Flute 1)&P7(Bassoon 1)&P4(Bassoon 2)&P7(Trombone 1),,,P8(Flute 1)&P7(Flute 2)&P4(Bassoon 2)&U(Trombone 1),P4(Flute 1)&P4(Flute 2)&P4(Bassoon 1)&P4(Trombone 1),P2(F Horn 2),P2(F Horn 1),P8(Flute 1)&P7(Flute 2)&U(Bassoon 1)&P4(Bassoon 2),,,,,,,Main Part,,,,,P8(Contrabass),P8(Violoncello 3)
226.0,240.0,,,,,,,,,,,,,Main Part,,,,,,,,P8(Contrabass),P8(Violoncello 3)
240.0,256.0,,,,,,,P8(F Horn 2),P8(F Horn 1),,,,,Main Part,U(Viola 2),,,U(Main),U(Alto),,,P8(Contrabass),P8(Violoncello 3)
256.0,260.0,,,,,,,Main Part,P8(Main)&U(Violoncello 3)&P8(Contrabass),,,,,,,,,,,,,P8(Main)&U(F Horn 2)&P8(Contrabass),P8(Main)&P8(F Horn 2)&P8(Violoncello 3)
260.0,261.0,,,,,,,P8(F Horn 2)&P2(Main)&P8(Violoncello 3)&P8(Contrabass),P8(F Horn 1)&P2(Main)&U(Violoncello 3)&P8(Contrabass),,,,,,,,,,,,Main Part,P8(F Horn 1)&U(F Horn 2)&P2(Main)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P2(Main)&P8(Violoncello 3)
261.0,263.0,,,,,,,P8(F Horn 2)&P2(Violoncello 2)&P8(Violoncello 3)&P8(Contrabass),P8(F Horn 1)&P2(Violoncello 2)&U(Violoncello 3)&P8(Contrabass),,,,,,,,Main Part,,,,P2(F Horn 1)&P2(F Horn 2)&P2(Violoncello 3)&P2(Contrabass),P8(F Horn 1)&U(F Horn 2)&P2(Violoncello 2)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P2(Violoncello 2)&P8(Violoncello 3)
263.0,271.0,,,,,,,P8(F Horn 2)&P8(Violoncello 3)&P8(Contrabass),P8(F Horn 1)&U(Violoncello 3)&P8(Contrabass),,,,,,,Main Part,,,,,,P8(F Horn 1)&U(F Horn 2)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Violoncello 3)
271.0,279.0,,,,,,,P8(F Horn 2),P8(F Horn 1),,,,,,Main Part,,,,,,P4(Violoncello 3)&P4(Contrabass),P4(Violoncello 2)&P8(Contrabass),P4(Violoncello 2)&P8(Violoncello 3)
279.0,303.0,,,,,,,,,,,,,Main Part,,,,,,,,P8(Contrabass),P8(Violoncello 3)
303.0,311.0,,,,,,,,,,,,,,,P8(Bass),P8(Tenor),Main Part,,,,P8(Contrabass),P8(Violoncello 3)
311.0,319.0,,,,,,,,,,,,,,,Main Part,P8(Main),P4(Violoncello 3)&P4(Contrabass),,,,P4(Viola 1)&P8(Contrabass),P4(Viola 1)&P8(Violoncello 3)
319.0,325.0,P8(Violoncello 1),,,,,,,,,,,,,,Main Part,P8(Main),,,P8(Flute 1),,P8(Contrabass),P8(Violoncello 3)
325.0,331.0,P8(Violoncello 1),,,,,,,,,,,,,Main Part,,,,,P8(Flute 1),,P8(Contrabass),P8(Violoncello 3)
331.0,348.0,,,,,,,U(F Horn 2),U(F Horn 1),,,,,Main Part,,,,U(Violoncello 1),,U(Viola 1),,P8(Contrabass),P8(Violoncello 3)
348.0,351.5,P8(Oboe 1),,P8(Flute 1),,P8(Bassoon 2)&P3(Alto)&U(Violoncello 1)&P3(Violoncello 2),P8(Bassoon 1)&P3(Alto)&P8(Violoncello 1)&P3(Violoncello 2),U(F Horn 2),U(F Horn 1),,,,,,P3(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello 1)&P8(Violoncello 2),Main Part,,,,U(Bassoon 1)&P8(Bassoon 2)&P3(Alto)&P3(Violoncello 2),P3(Bassoon 1)&P3(Bassoon 2)&P8(Alto)&P3(Violoncello 1),P8(Contrabass),P8(Violoncello 3)
351.5,358.0,P7(Flute 2)&P8(Bassoon 1)&P4(Bassoon 2)&P8(Trombone 1),P7(Flute 1)&P7(Bassoon 1)&P4(Bassoon 2)&P7(Trombone 1),,,P8(Flute 1)&P7(Flute 2)&P4(Bassoon 2)&U(Trombone 1),P4(Flute 1)&P4(Flute 2)&P4(Bassoon 1)&P4(Trombone 1),,,P8(Flute 1)&P7(Flute 2)&U(Bassoon 1)&P4(Bassoon 2),,,,,,,Main Part,,,,,P8(Contrabass),P8(Violoncello 3)
358.0,369.0,,,,,,,,,,,,,Main Part,,,,,,U(Violoncello 2),U(Violoncello 1),P8(Contrabass),P8(Violoncello 3)
369.0,380.0,,,,,,,P2(F Horn 2),P2(F Horn 1),,,,,Main Part,,,,,,,,P8(Contrabass),P8(Violoncello 3)
380.0,384.0,,,,,,Main Part,,,,,,,,,P4(Bass),P4(Tenor),,,,,P8(Main)&U(Contrabass),P8(Main)&U(Violoncello 3)
384.0,388.0,,,,,,P7(Main)&P8(Violoncello 3)&P8(Contrabass),,,,,,,,,,,U(Viola 2)&P4(Violoncello 1),U(Viola 1)&P4(Violoncello 1),P4(Viola 1)&P4(Viola 2),Main Part,P8(Bassoon 2)&P7(Main)&U(Contrabass),P8(Bassoon 2)&P7(Main)&U(Violoncello 3)
388.0,396.0,,,,,,P8(Violoncello 3)&P8(Contrabass),,,,,,,P5(Alto)&P4(Tenor)&P8(Bass),P5(Soprano)&P2(Tenor)&P5(Bass),P4(Soprano)&P2(Alto)&P4(Bass),P8(Soprano)&P5(Alto)&P4(Tenor),Main Part,U(Main),,,P8(Bassoon 2)&U(Contrabass),P8(Bassoon 2)&U(Violoncello 3)
396.0,404.0,,,,,,,,,,,,,Main Part,,,,U(Viola 2)&P4(Violoncello 1)&P4(Violoncello 3)&P4(Contrabass),U(Viola 1)&P4(Violoncello 1)&P4(Violoncello 3)&P4(Contrabass),P4(Viola 1)&P4(Viola 2)&P8(Violoncello 3)&P8(Contrabass),,P4(Viola 1)&P4(Viola 2)&P8(Violoncello 1)&U(Contrabass),P4(Viola 1)&P4(Viola 2)&P8(Violoncello 1)&U(Violoncello 3)
404.0,412.0,,,,,,,U(Violoncello 1),,,,,,,,,,Main Part,U(Main),U(F Horn 1),,U(Contrabass),U(Violoncello 3)
412.0,420.0,U(Flute 2)&P3(Oboe 1)&P4(Oboe 2),U(Flute 1)&P3(Oboe 1)&P4(Oboe 2),P3(Flute 1)&P3(Flute 2)&P6(Oboe 2),P4(Flute 1)&P4(Flute 2)&P6(Oboe 1),,,,,,,,,Main Part,,,,U(Viola 2)&P3(Violoncello 1)&P3(Violoncello 2)&P3(Violoncello 3)&P3(Contrabass),U(Viola 1)&P3(Violoncello 1)&P3(Violoncello 2)&P3(Violoncello 3)&P3(Contrabass),P3(Viola 1)&P3(Viola 2)&P5(Violoncello 2)&P8(Violoncello 3)&P8(Contrabass),P3(Viola 1)&P3(Viola 2)&P5(Violoncello 1)&P5(Violoncello 3)&P5(Contrabass),P3(Viola 1)&P3(Viola 2)&P8(Violoncello 1)&P5(Violoncello 2)&U(Contrabass),P3(Viola 1)&P3(Viola 2)&P8(Violoncello 1)&P5(Violoncello 2)&U(Violoncello 3)
420.0,432.0,,,,,,,,,,,,,,Main Part,,,,,,,,
432.0,440.0,,,,,,,,,,,,,P8(Bass),,Main Part,P8(Soprano),,,,,,
440.0,457.0,,U(Oboe 1)&P3(Oboe 2),U(Flute 2)&P3(Oboe 2),P3(Flute 2)&P3(Oboe 1),P8(Bassoon 2)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Contrabass),P8(Bassoon 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Contrabass),,,,,,,Main Part,,,,,,,P8(Bassoon 1)&U(Bassoon 2)&U(Violoncello 3)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&U(Violoncello 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello 2)&P8(Violoncello 3)
457.0,476.0,,,,,,,,,,,,,Main Part,,,,,,,U(Violoncello 3)&P8(Contrabass),U(Violoncello 2)&P8(Contrabass),P8(Violoncello 2)&P8(Violoncello 3)
476.0,484.0,U(Oboe 1),U(Oboe 2),U(Flute 1),U(Flute 2),,U(Trombone 1),,,U(Bassoon 2),,,,Main Part,,,,,,,,,
484.0,492.0,U(Oboe 1),U(Oboe 2),U(Flute 1),U(Flute 2),,,,,,,P7(Viola 1)&P4(Viola 2)&P8(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Contrabass),,Main Part,,,,P7(Trombone 3)&P4(Viola 2)&P7(Violoncello 1)&P7(Violoncello 2)&P7(Violoncello 3)&P7(Contrabass),P4(Trombone 3)&P4(Viola 1)&P4(Violoncello 1)&P4(Violoncello 2)&P4(Violoncello 3)&P4(Contrabass),P8(Trombone 3)&P7(Viola 1)&P4(Viola 2)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Contrabass),U(Trombone 3)&P7(Viola 1)&P4(Viola 2)&P8(Violoncello 1)&U(Violoncello 3)&P8(Contrabass),U(Trombone 3)&P7(Viola 1)&P4(Viola 2)&P8(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P8(Trombone 3)&P7(Viola 1)&P4(Viola 2)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)
492.0,505.0,P8(Trombone 2),,,,,,,,,P8(Flute 1),,,Main Part,,,P8(Violoncello 3)&P8(Contrabass),,,,,P8(Bass)&P8(Contrabass),P8(Bass)&P8(Violoncello 3)
505.0,513.0,,,Main Part,,,,,,,,,,,P4(Tenor)&P3(Bass),P4(Alto)&P6(Bass),P3(Alto)&P6(Tenor),P3(Violoncello 3)&P3(Contrabass),,,,P3(Viola 1)&P8(Contrabass),P3(Viola 1)&P8(Violoncello 3)
513.0,529.0,,,,,,,P8(F Horn 2),P8(F Horn 1),,,,,Main Part,,,,,,,,P8(Contrabass),P8(Violoncello 3)
529.0,537.0,,,,,,,P8(F Horn 2),P8(F Horn 1),,,,,Main Part,,,,,P3(Violoncello 3),U(Violoncello 2),U(Violoncello 1),P3(Viola 2),
537.0,541.0,P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(Bassoon 1)&P6(Bassoon 2),P6(Flute 1)&P6(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P6(Flute 2)&P6(Oboe 2)&P6(Bassoon 1)&P6(Bassoon 2),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&U(Bassoon 2),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&U(Bassoon 1),Main Part,P8(Main),,,,,,,,,,,,,,
541.0,545.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),U(Bassoon 2),U(Bassoon 1),P8(F Horn 2),P8(F Horn 1),,,,,,,,,P6(Viola 2)&P8(Violoncello 1)&P6(Violoncello 2)&P6(Violoncello 3)&P6(Contrabass),P6(Viola 1)&P6(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Contrabass),P8(Viola 1)&P6(Viola 2)&P6(Violoncello 2)&P6(Violoncello 3)&P6(Contrabass),P6(Viola 1)&P8(Viola 2)&P6(Violoncello 1)&U(Violoncello 3)&P8(Contrabass),P6(Viola 1)&P8(Viola 2)&P6(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P6(Viola 1)&P8(Viola 2)&P6(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)
545.0,549.0,,,,,U(Bassoon 2),U(Bassoon 1),P8(F Horn 2),P8(F Horn 1),,,,,,,,,Main Part,,P8(Main),U(Violoncello 3)&P8(Contrabass),U(Violoncello 2)&P8(Contrabass),P8(Violoncello 2)&P8(Violoncello 3)
549.0,551.0,,P8(Oboe 2)&P8(Viola 2)&P3(Violoncello 2)&P3(Violoncello 3)&P3(Contrabass),Main Part,P8(Flute 2)&U(Viola 2)&P3(Violoncello 2)&P3(Violoncello 3)&P3(Contrabass),U(Bassoon 2),U(Bassoon 1),P8(F Horn 2),P8(F Horn 1),,,,,,,,,P8(Violoncello 1),P8(Flute 2)&U(Oboe 2)&P3(Violoncello 2)&P3(Violoncello 3)&P3(Contrabass),P8(Viola 1),P3(Flute 2)&P3(Oboe 2)&P3(Viola 2)&U(Violoncello 3)&P8(Contrabass),P3(Flute 2)&P3(Oboe 2)&P3(Viola 2)&U(Violoncello 2)&P8(Contrabass),P3(Flute 2)&P3(Oboe 2)&P3(Viola 2)&P8(Violoncello 2)&P8(Violoncello 3)
551.0,553.0,P8(Viola 1)&P3(Violoncello 1),Main Part,,P8(Main)&U(Viola 2),U(Bassoon 2)&U(Violoncello 2)&U(Violoncello 3)&P8(Contrabass),U(Bassoon 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Contrabass),P8(F Horn 2),P8(F Horn 1),,,,,,,,,P8(Flute 1)&P3(Violoncello 1),P8(Main)&U(Oboe 2),P3(Flute 1)&P3(Viola 1),U(Bassoon 1)&U(Bassoon 2)&U(Violoncello 3)&P8(Contrabass),U(Bassoon 1)&U(Bassoon 2)&U(Violoncello 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello 2)&P8(Violoncello 3)
553.0,557.0,Main Part,,P8(Main),,P8(Bassoon 2),P8(Bassoon 1),P8(F Horn 2),P8(F Horn 1),,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 3)
557.0,572.0,,,,,,,,,,,,,Main Part,,,,,,,,P8(Contrabass),P8(Violoncello 3)
572.0,575.0,,,Main Part,U(Main),P3(Bassoon 2),P3(Bassoon 1),,,,,,,U(Alto)&P8(Bass)&U(Viola 1)&P3(Viola 2)&U(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Contrabass),U(Soprano)&P8(Bass)&U(Viola 1)&P3(Viola 2)&U(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Contrabass),,P8(Soprano)&P8(Alto)&P8(Viola 1)&P3(Viola 2)&P8(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Contrabass),U(Soprano)&U(Alto)&P8(Bass)&P3(Viola 2)&U(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Contrabass),P3(Soprano)&P3(Alto)&P3(Bass)&P3(Viola 1)&P3(Violoncello 1)&P3(Violoncello 2)&P3(Violoncello 3)&P3(Contrabass),U(Soprano)&U(Alto)&P8(Bass)&U(Viola 1)&P3(Viola 2)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Contrabass),P8(Soprano)&P8(Alto)&U(Bass)&P8(Viola 1)&P3(Viola 2)&P8(Violoncello 1)&U(Violoncello 3)&P8(Contrabass),P8(Soprano)&P8(Alto)&U(Bass)&P8(Viola 1)&P3(Viola 2)&P8(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P8(Soprano)&P8(Alto)&P8(Bass)&P8(Viola 1)&P3(Viola 2)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)
575.0,580.0,U(Flute 2),U(Flute 1),,,,P4(F Horn 2),,P4(Bassoon 2),,,,,,,Main Part,,P4(Violoncello 2),,,P4(Viola 1),,
580.0,583.0,Main Part,U(Main)&P4(Oboe 1),P4(Main)&P4(Flute 2),,,,,,,,,,,,P6(Viola 1)&P8(Viola 2)&P6(Violoncello 1)&P3(Violoncello 2),,P6(Tenor)&P6(Viola 2)&P8(Violoncello 1)&P4(Violoncello 2),P8(Tenor)&P6(Viola 1)&P6(Violoncello 1)&P3(Violoncello 2),P6(Tenor)&P8(Viola 1)&P6(Viola 2)&P4(Violoncello 2),P3(Tenor)&P4(Viola 1)&P3(Viola 2)&P4(Violoncello 1),,
583.0,603.0,,,,,,U(Violoncello 3)&P8(Contrabass),,,,,,,Main Part,,,,,,,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello 3)
603.0,613.0,,,,,,,,,,,,,Main Part,,,,,,,,P8(Contrabass),P8(Violoncello 3)
