qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
112.0,120.0,Main Part,P8(Main)&U(Oboe 1)&P8(Oboe 2),P8(Main)&U(Flute 2)&P8(Oboe 2),P8(Main)&P8(Flute 2)&P8(Oboe 1),,,U(Bassoon 2),U(Bassoon 1),P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
120.0,128.0,Main Part,P8(Main),P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 2),P8(A Clarinet 1),P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),,,,,,,,,P8(Contrabass),P8(Violoncello)
128.0,136.0,Main Part,P4(Main),P8(Bassoon 1),U(A Clarinet 1)&P8(Bassoon 2),U(Oboe 2)&P8(Bassoon 2),,P8(Oboe 1),P8(Oboe 2)&P8(A Clarinet 1),P8(A Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Timpani),P8(A Horn 1)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Timpani),P6(A Horn 1)&P6(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),P6(A Horn 1)&P6(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P6(A Horn 1)&P6(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
136.0,158.75,Main Part,,,,,,,,P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2),P8(D Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
158.75,166.75,Main Part,P2(Main),P2(Oboe 2)&P2(A Clarinet 1)&P8(A Clarinet 2)&P2(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(Timpani),P2(Oboe 1)&U(A Clarinet 1)&P2(A Clarinet 2)&P8(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P4(Timpani),P2(Oboe 1)&U(Oboe 2)&P2(A Clarinet 2)&P8(Bassoon 2)&P4(A Horn 1)&P4(A Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P4(Timpani),P8(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&U(D Trumpet 1)&U(D Trumpet 2)&P3(Timpani),,P2(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P2(A Clarinet 2)&P4(A Horn 1)&P4(A Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2)&P4(Timpani),P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 2)&U(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(Timpani),P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 2)&U(A Horn 1)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(Timpani),P8(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&U(A Clarinet 2)&P2(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&U(D Trumpet 2)&P3(Timpani),P8(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&U(A Clarinet 2)&P2(Bassoon 2)&P3(A Horn 1)&P3(A Horn 2)&U(D Trumpet 1)&P3(Timpani),P3(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P3(A Clarinet 2)&P4(Bassoon 2)&P8(A Horn 1)&P8(A Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
166.75,178.75,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
178.75,188.0,,U(Oboe 2),,U(Flute 2),U(A Clarinet 2),U(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
188.0,198.0,P8(Oboe 1),,P8(Flute 1),,P3(A Clarinet 2),P3(A Clarinet 1),,,,,,,,Main Part,,P3(Main),,P3(Main)
198.0,207.0,,U(Oboe 2),P8(A Clarinet 1)&P8(A Clarinet 2),U(Flute 2),P8(Oboe 1)&U(A Clarinet 2),P8(Oboe 1)&U(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
207.0,208.0,P8(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Violin 2),,P2(A Clarinet 1)&P2(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2),P2(Oboe 2)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P2(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P2(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2),P2(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1),,,,,,Main Part,P8(Flute 2),P3(Flute 1)&P3(Main)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P3(Main)&P8(Viola)&P8(Contrabass),P3(Flute 1)&P3(Main)&P8(Viola)&P8(Violoncello)
208.0,216.75,P8(Oboe 1),,P8(Flute 1),,P3(A Clarinet 2),P3(A Clarinet 1),,,,,,,,Main Part,P3(Viola)&P3(Contrabass),P3(Violin 2)&P8(Contrabass),,P3(Violin 2)&P8(Viola)
216.75,218.75,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,,,,Main Part,,,,
218.75,220.75,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(Timpani),,,,,P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(A Clarinet 1)&P4(A Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2),Main Part,,U(Violoncello),U(Viola),
220.75,224.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(Timpani),,,,,P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(A Clarinet 1)&P4(A Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2),Main Part,,U(Violoncello),U(Viola),
224.0,226.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,,,,Main Part,,,,
226.0,230.75,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
230.75,232.75,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(Timpani),,,,,P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(A Clarinet 1)&P4(A Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2),Main Part,,,,
232.75,236.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P2(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(Timpani),,,,,P2(Flute 1)&P4(Flute 2)&P2(Oboe 1)&P4(Oboe 2)&P2(A Clarinet 1)&P4(A Clarinet 2)&P2(Bassoon 1)&P4(Bassoon 2),Main Part,,U(Violoncello),U(Viola),
236.0,238.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),,,,,,Main Part,,,,
238.0,260.0,,,P8(A Clarinet 1),P8(A Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2),P8(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
260.0,276.0,U(Main),,P8(A Clarinet 1),,P8(Oboe 1),,,,P8(A Horn 2),P8(A Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,U(Contrabass),U(Violoncello)
276.0,281.5,,,P8(A Clarinet 1),P8(A Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,P8(Main),U(Contrabass),U(Violoncello)
281.5,286.0,,,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(A Clarinet 1),P8(Oboe 2)&P8(A Clarinet 2),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P5(Main)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P3(Main)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P5(Main)&P8(Violin 2)&P3(Viola)&P8(Contrabass),P5(Main)&P8(Violin 2)&P3(Viola)&P8(Violoncello)
286.0,302.0,Main Part,,P8(A Clarinet 1),P8(A Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,,P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Horn 2)&U(D Trumpet 2),P8(A Horn 2)&U(D Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
302.0,318.0,Main Part,,,,,,,,,P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Horn 2)&U(D Trumpet 2),P8(A Horn 2)&U(D Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
318.0,334.0,,,,,,,,,,,U(D Trumpet 2),U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
334.0,348.0,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,U(D Trumpet 2),U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
348.0,356.0,Main Part,,,,,,,,P8(Main),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
