qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello 1,Violoncello 2,Contrabass
148.0,164.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 1),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 1),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 1),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(E Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(E Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 2)&P8(E Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(E Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,,P8(Contrabass),P8(Violoncello 2)
164.0,178.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(E Horn 1),P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(E Horn 1),P8(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(E Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(E Horn 1),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(E Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(Bassoon 1)&U(E Horn 1),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(E Horn 1),P8(E Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1),P8(Bassoon 2),P8(Timpani),,P8(D Trumpet 1),Main Part,,,,P8(Contrabass),P8(Violoncello 2)
178.5,196.0,P8(Flute 2),P8(Flute 1),P8(E Horn 1),,P8(Bassoon 1),,P8(A Clarinet 1),,P8(Oboe 1),,P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,,P8(Contrabass),P8(Violoncello 2)
196.0,200.0,,,,P8(E Horn 1)&P8(E Horn 2),P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(A Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 2),P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1),P8(Oboe 2)&P8(E Horn 2),P8(Oboe 2)&P8(E Horn 1),,,,Main Part,P2(Violoncello 1)&P2(Violoncello 2)&P2(Contrabass),,P2(Violin 2)&U(Violoncello 2)&P8(Contrabass),P2(Violin 2)&U(Violoncello 1)&P8(Contrabass),P2(Violin 2)&P8(Violoncello 1)&P8(Violoncello 2)
200.0,202.0,,,,,P8(Bassoon 1),,P8(A Clarinet 1),,,,,,,,Main Part,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
202.0,218.0,,,,,Main Part,P8(Bassoon 2),,P8(A Clarinet 2),,,,,,,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
218.0,232.0,,,,,Main Part,,,,P8(E Horn 2),P8(E Horn 1),P8(D Trumpet 2),P8(D Trumpet 1),,,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
232.0,244.0,,,P5(Oboe 2)&P5(A Clarinet 2),P5(Oboe 1)&U(A Clarinet 2),Main Part,P5(Oboe 1)&U(Oboe 2),,,,,,,,,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
244.0,260.0,,,,,Main Part,,,,P8(E Horn 2),P8(E Horn 1),,,,,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
260.0,268.0,,,P8(E Horn 1)&P8(E Horn 2),U(A Clarinet 2),Main Part,U(Oboe 2),U(Bassoon 2)&P3(Violin 2)&P5(Viola),U(Bassoon 1)&P3(Violin 2)&P5(Viola),P8(Oboe 1)&U(E Horn 2),P8(Oboe 1)&U(E Horn 1),,,,,P3(Bassoon 1)&P3(Bassoon 2)&P3(Viola),P5(Bassoon 1)&P5(Bassoon 2)&P3(Violin 2),U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
268.0,276.0,Main Part,,P8(Main),,,,,,,,,,,,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
276.0,287.6667,Main Part,,P8(Main),,,,,,P5(Violoncello 1)&P5(Violoncello 2)&P5(Contrabass),,,,,,,,P5(E Horn 1)&U(Violoncello 2)&P8(Contrabass),P5(E Horn 1)&U(Violoncello 1)&P8(Contrabass),P5(E Horn 1)&P8(Violoncello 1)&P8(Violoncello 2)
287.6667,292.0,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),,,,,,,Main Part,P8(Main),,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
292.0,295.0,,,,,,,,,,,,,,,,Main Part,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
295.0,296.0,,,,,,,,,P8(E Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P8(E Horn 1)&P5(D Trumpet 1)&P5(D Trumpet 2)&P5(Timpani),P5(E Horn 1)&P5(E Horn 2)&U(D Trumpet 2)&P8(Timpani),P5(E Horn 1)&P5(E Horn 2)&U(D Trumpet 1)&P8(Timpani),P5(E Horn 1)&P5(E Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,P5(Main)&P5(Viola)&P3(Violoncello 1)&P3(Violoncello 2)&P3(Contrabass),P8(Main)&P5(Violin 2)&P3(Violoncello 1)&P3(Violoncello 2)&P3(Contrabass),P3(Main)&P3(Violin 2)&P3(Viola)&U(Violoncello 2)&P8(Contrabass),P3(Main)&P3(Violin 2)&P3(Viola)&U(Violoncello 1)&P8(Contrabass),P3(Main)&P3(Violin 2)&P3(Viola)&P8(Violoncello 1)&P8(Violoncello 2)
296.0,297.0,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P8(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1),P8(E Horn 2)&P5(Main)&P5(D Trumpet 2)&P5(Timpani),P8(E Horn 1)&P5(Main)&P5(D Trumpet 2)&P5(Timpani),Main Part,P5(E Horn 1)&P5(E Horn 2)&U(Main)&P8(Timpani),P5(E Horn 1)&P5(E Horn 2)&P8(Main)&P8(D Trumpet 2),,,,,,
297.0,314.0,Main Part,U(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 2),P8(Main)&U(Oboe 2),P8(Main)&U(Oboe 1),U(Flute 2)&P8(A Clarinet 2)&P3(Bassoon 2),P8(Flute 2)&P8(A Clarinet 1)&P3(Bassoon 2),,P3(Flute 2)&P3(A Clarinet 1)&P3(A Clarinet 2),,,,,,,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
314.0,328.3333,Main Part,,P8(Main)&U(Oboe 2)&P8(Bassoon 1),P8(Main)&U(Oboe 1)&P8(Bassoon 1),,,P8(Main)&P8(Oboe 1)&P8(Oboe 2),,,,,,,,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
328.3333,346.0,Main Part,,P8(Main)&P8(Bassoon 1),,,,P8(Main)&P8(Oboe 1),,,,P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
346.0,365.0,Main Part,,P8(Main)&P8(Bassoon 1),,,,P8(Main)&P8(Oboe 1),,,,P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
365.0,372.0,,,,,,,,,,,,,,Main Part,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
372.0,380.0,,,,,,,,,,,,,,,Main Part,P6(Violoncello 1)&P6(Violoncello 2)&P6(Contrabass),P6(Viola)&U(Violoncello 2)&P8(Contrabass),P6(Viola)&U(Violoncello 1)&P8(Contrabass),P6(Viola)&P8(Violoncello 1)&P8(Violoncello 2)
380.0,388.0,,,,,,,,,,,,,,,,,Main Part,U(Main)&P8(Contrabass),P8(Main)&P8(Violoncello 2)
388.0,396.0,,,,,,,,,,,,,,,,Main Part,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
396.0,402.0,,,,,,,,,,,,,,,,Main Part,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
402.0,406.0,,,,,,,,,,,,,,Main Part,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
406.0,410.0,,,,,,,,,,,,,,,Main Part,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
410.0,414.0,,,,,,,,,,,,,,,,,Main Part,U(Main)&P8(Contrabass),P8(Main)&P8(Violoncello 2)
414.0,416.0,,,U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 2),P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1),,,,,,,,Main Part,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
416.0,418.0,P8(A Clarinet 1)&P8(A Clarinet 2),,Main Part,U(Main)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&U(A Clarinet 2),P8(Flute 1)&U(A Clarinet 1),P8(Main)&P8(Oboe 2)&U(Bassoon 2),P8(Main)&P8(Oboe 2)&U(Bassoon 1),,,,,,,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
418.0,426.0,Main Part,,P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&U(A Clarinet 2),P8(Main)&U(A Clarinet 1),P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 2),P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),,P8(E Horn 1)&U(D Trumpet 2)&P8(Timpani),P8(E Horn 1)&U(D Trumpet 1)&P8(Timpani),P8(E Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
426.0,442.0,U(Flute 2),U(Flute 1),P8(Oboe 2),P8(Oboe 1),P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),P8(E Horn 2),P8(E Horn 1),Main Part,P8(Main)&P8(Timpani),P8(Main)&P8(D Trumpet 2),,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
442.0,447.0,,,Main Part,P8(E Horn 1)&P8(E Horn 2),P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),P8(Oboe 2)&P8(E Horn 2),P8(Oboe 2)&P8(E Horn 1),,,,,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
447.0,464.0,,,,,Main Part,P8(Bassoon 2),,P8(A Clarinet 2),,,,,,,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
464.0,484.0,,,P3(Oboe 2),P3(Oboe 1),Main Part,P8(Bassoon 2),,P8(A Clarinet 2),,,P8(D Trumpet 2),P8(D Trumpet 1),,,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
484.0,494.0,Main Part,,,,P8(Bassoon 1),P8(Main)&P8(Bassoon 2),P8(A Clarinet 1),P8(Main)&P8(A Clarinet 2),U(E Horn 2),U(E Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
494.0,500.0,U(Oboe 1)&P8(A Clarinet 2)&P8(Bassoon 2),U(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 1),U(Flute 1)&P8(A Clarinet 2)&P8(Bassoon 2),U(Flute 2)&U(A Clarinet 1)&P8(Bassoon 1),U(Flute 2)&U(Oboe 2)&P8(Bassoon 1),P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1),P8(Flute 1)&P8(Oboe 1)&P8(A Clarinet 2),U(E Horn 2),U(E Horn 1),U(D Trumpet 2)&P8(Timpani),U(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
500.0,504.0,Main Part,U(Oboe 2)&U(A Clarinet 1)&P8(Bassoon 1),U(Main)&P8(A Clarinet 2)&P8(Bassoon 2),U(Flute 2)&U(A Clarinet 1)&P8(Bassoon 1),U(Flute 2)&U(Oboe 2)&P8(Bassoon 1),P8(Main)&P8(Oboe 1)&P8(Bassoon 2),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1),P8(Main)&P8(Oboe 1)&P8(A Clarinet 2),U(E Horn 2),U(E Horn 1),U(D Trumpet 2)&P8(Timpani),U(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),,,,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
504.0,506.0,,P3(Oboe 1),P3(Flute 2),,,,,,,,,,,Main Part,P6(Viola)&P2(Violoncello 1)&P2(Violoncello 2)&P2(Contrabass),P6(Violin 2)&P5(Violoncello 1)&P5(Violoncello 2)&P5(Contrabass),P2(Violin 2)&P5(Viola)&U(Violoncello 2)&P8(Contrabass),P2(Violin 2)&P5(Viola)&U(Violoncello 1)&P8(Contrabass),P2(Violin 2)&P5(Viola)&P8(Violoncello 1)&P8(Violoncello 2)
506.0,512.0,,Main Part,,P5(A Clarinet 1)&P3(A Clarinet 2),P5(Oboe 2)&P3(A Clarinet 2),P3(Oboe 2)&P3(A Clarinet 1),,,,,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello 2)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello 1)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)
512.0,516.0,,,,,Main Part,,P6(Bassoon 2)&P3(E Horn 1),P6(Bassoon 1)&P4(E Horn 1),P3(Bassoon 1)&P4(Bassoon 2),,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Viola)&U(Violoncello 2)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Viola)&U(Violoncello 1)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)
516.0,520.0,,,,,,,,,Main Part,,,,,,,P8(Violoncello 1)&P8(Violoncello 2)&P8(Contrabass),P8(Viola)&U(Violoncello 2)&P8(Contrabass),P8(Viola)&U(Violoncello 1)&P8(Contrabass),P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)
520.0,524.0,P3(Oboe 1),,P3(Flute 1),,,,,,,,,,,Main Part,,P8(Violoncello 1)&P8(Violoncello 2)&P8(Contrabass),P8(Viola)&U(Violoncello 2)&P8(Contrabass),P8(Viola)&U(Violoncello 1)&P8(Contrabass),P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)
524.0,528.0,Main Part,,,P3(A Clarinet 1)&P6(A Clarinet 2),P3(Oboe 2)&P4(A Clarinet 2),P6(Oboe 2)&P4(A Clarinet 1),,,,,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Contrabass),P8(Violin 1)&U(Viola)&U(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P8(Violin 1)&U(Violin 2)&U(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P8(Violin 1)&U(Violin 2)&U(Viola)&U(Violoncello 2)&P8(Contrabass),P8(Violin 1)&U(Violin 2)&U(Viola)&U(Violoncello 1)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)
528.0,532.0,,,,P6(A Clarinet 2),Main Part,P6(Oboe 2),P6(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2),P6(Bassoon 1)&P4(E Horn 1)&P4(E Horn 2),P3(Bassoon 1)&P4(Bassoon 2)&U(E Horn 2),P3(Bassoon 1)&P4(Bassoon 2)&U(E Horn 1),,,,P8(Violin 2)&P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)&P8(Contrabass),P8(Violin 1)&U(Viola)&U(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P8(Violin 1)&U(Violin 2)&U(Violoncello 1)&U(Violoncello 2)&P8(Contrabass),P8(Violin 1)&U(Violin 2)&U(Viola)&U(Violoncello 2)&P8(Contrabass),P8(Violin 1)&U(Violin 2)&U(Viola)&U(Violoncello 1)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello 1)&P8(Violoncello 2)
532.0,536.0,,,,,,,Main Part,,,,,,,P6(Violin 2),P6(Violin 1),,U(Violoncello 2)&P8(Contrabass),U(Violoncello 1)&P8(Contrabass),P8(Violoncello 1)&P8(Violoncello 2)
