qstamp,tstamp,measure,beat,Violin 1,Violin 2,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
325.0,105.9783,41,3.5,C6,G5,E5,r,G4,E4,E3,G3
326.0,106.3043,41,4.0,C6,A5,E-5,A4,C5,F#4,A3,F#3
327.0,106.6304,41,4.5,F#5,A5,E5,A4,C5,F#4,A3,E3
328.0,106.9565,42,1.0,B5,A5,F#5,F#4,B4,B3,A3,E-3
329.0,107.2826,42,1.5,B5,E-5,F#5,F#4,B4,B3,A3,B2
330.0,107.6087,42,2.0,B5,E5,E5,G4,B4,B3,G3,E3
331.0,107.9348,42,2.5,E5,E5,E5,G4,C5,B3,G3,D3
331.5,108.0978,42,2.75,E5,E5,E5,G4,B4,B3,G3,D3
332.0,108.2609,42,3.0,A5,E5,r,A4,A4,C#4,G3,C#3
333.0,108.587,42,3.5,A5,G4,r,A4,A4,C#4,C#3,A2
334.0,108.913,42,4.0,A5,F#4,D5,A4,A4,D4,F#3,D3
335.0,109.2391,42,4.5,D5,A4,D5,A4,G4,D4,F#3,C#3
335.5,109.4022,42,4.75,D5,A4,D5,A4,F#4,D4,F#3,C#3
336.0,109.5652,43,1.0,G5,B4,D5,B4,G4,D4,F#3,B2
337.0,109.8913,43,1.5,G5,C#5,D5,B4,G4,D4,F#3,A2
338.0,110.2174,43,2.0,G5,D5,D5,r,G3,B3,E3,B2
339.0,110.5435,43,2.5,G5,E5,C#5,r,G3,B3,E3,C#3
339.5,110.7065,43,2.75,G5,E5,B4,r,G3,B3,E3,C#3
340.0,110.8696,43,3.0,F#5,F#5,A4,r,r,F#4,E3,D3
341.0,111.1957,43,3.5,F#5,A5,C#5,r,A4,E4,A2,C#3
341.5,111.3587,43,3.75,F#5,G5,C#5,r,A4,E4,A2,C#3
342.0,111.5217,43,4.0,F#5,F#5,F#5,A4,A4,D4,D3,D3
343.0,111.8478,43,4.5,G5,E5,F#5,A4,G4,D4,D3,E3
344.0,112.1739,44,1.0,A5,D5,F#5,A4,F#4,r,D3,F#3
345.0,112.5,44,1.5,G5,D5,B4,B4,D4,r,D3,G3
345.5,112.663,44,1.75,F#5,D5,B4,B4,D4,r,D3,G3
346.0,112.8261,44,2.0,E5,r,E5,C#5,A4,A3,C#3,A3
347.0,113.1522,44,2.5,E5,r,E5,E4,A4,A3,C#3,G3
348.0,113.4783,44,3.0,E5,A4,A4,F#4,A4,A3,D3,F#3
349.0,113.8043,44,3.5,F#5,A4,A4,G4,G4,A3,D3,E3
349.5,113.9674,44,3.75,E5,A4,A4,G4,G4,A3,D3,E3
350.0,114.1304,44,4.0,D5,A4,D5,A4,F#4,A3,D3,F#3
350.5,114.2935,44,4.25,D5,G4,D5,A4,F#4,A3,D3,F#3
351.0,114.4565,44,4.5,A4,F#4,D5,A4,F#4,A3,D3,D3
351.5,114.6196,44,4.75,A4,E4,D5,A4,F#4,A3,D3,D3
352.0,114.7826,45,1.0,F#4,D4,D5,A4,F#4,A3,A2,A3
353.0,115.1087,45,1.5,D4,A4,D5,A4,F#4,A3,A2,A3
353.5,115.2717,45,1.75,D4,B4,D5,A4,F#4,A3,A2,A3
354.0,115.4348,45,2.0,A3,C#5,C#5,A4,E4,A3,A2,A3
354.5,115.5978,45,2.25,A3,D5,C#5,A4,E4,A3,A2,A3
355.0,115.7609,45,2.5,A5,E5,B4,A4,D4,A3,A2,A3
355.5,115.9239,45,2.75,G#5,F5,B4,A4,D4,A3,A2,A3
356.0,116.087,45,3.0,A5,E5,C#5,A4,E4,A3,A2,A2
