qstamp_start,qstamp_end,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Bb (basso) Horn 1,Bb (basso) Horn 2,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
70.5,80.0,Main Part,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
80.0,86.5,Main Part,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
86.5,102.0,,U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),,U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),,P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bassoon 2),P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bassoon 1),,,,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
102.0,107.5,P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Bassoon 1),,P8(Bassoon 2),,P8(Oboe 1),P8(Bb Clarinet 1),P8(Flute)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Flute)&U(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Flute)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&U(Bb Trumpet 2),P8(Flute)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&U(Bb Trumpet 1),,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
107.5,111.5,P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P6(Bb Clarinet 1)&P8(Bassoon 1)&P6(Bassoon 2),,P6(Oboe 1)&P6(Bassoon 1)&P8(Bassoon 2),,P8(Oboe 1)&P6(Bb Clarinet 1)&P6(Bassoon 2),P6(Oboe 1)&P8(Bb Clarinet 1)&P6(Bassoon 1),P8(Flute)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Flute)&U(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Flute)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&U(Bb Trumpet 2),P8(Flute)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&U(Bb Trumpet 1),,Main Part,P8(Main)&P3(Violoncello)&P3(Contrabass),,P3(Main)&P3(Violin 2)&P8(Contrabass),P3(Main)&P3(Violin 2)&P8(Violoncello)
111.5,115.5,P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P6(Main)&P6(Violin 2)&P4(Violoncello)&P4(Contrabass),,,,,,,P8(Flute)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P6(Main)&P6(Violin 2)&P4(Violoncello)&P4(Contrabass),P8(Flute)&U(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P6(Main)&P6(Violin 2)&P4(Violoncello)&P4(Contrabass),P8(Flute)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&U(Bb Trumpet 2)&P6(Main)&P6(Violin 2)&P4(Violoncello)&P4(Contrabass),P8(Flute)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&U(Bb Trumpet 1)&P6(Main)&P6(Violin 2)&P4(Violoncello)&P4(Contrabass),,Main Part,P6(Flute)&P6(Bb (basso) Horn 1)&P6(Bb (basso) Horn 2)&P6(Bb Trumpet 1)&P6(Bb Trumpet 2)&P8(Main)&P3(Violoncello)&P3(Contrabass),,P4(Flute)&P4(Bb (basso) Horn 1)&P4(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P3(Main)&P3(Violin 2)&P8(Contrabass),P4(Flute)&P4(Bb (basso) Horn 1)&P4(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P3(Main)&P3(Violin 2)&P8(Violoncello)
115.5,123.5,P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Viola),P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2),P8(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2),P8(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1),,U(Violoncello)&P8(Contrabass),P8(Flute)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&U(Viola),P8(Flute)&U(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&U(Viola),P8(Flute)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&U(Bb Trumpet 2)&P8(Viola),P8(Flute)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&U(Bb Trumpet 1)&P8(Viola),,Main Part,P8(Main),P8(Flute)&U(Bb (basso) Horn 1)&U(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
123.5,139.0,,,U(Bb Trumpet 1)&P8(Bb Trumpet 2),,,,,P8(Bb (basso) Horn 2),P8(Bb (basso) Horn 1),U(Oboe 2)&P8(Bb Trumpet 2),P8(Oboe 2)&P8(Bb Trumpet 1),,Main Part,,,,
139.0,146.0,Main Part,U(Main)&P6(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P4(Bb (basso) Horn 1)&P4(Bb (basso) Horn 2)&P6(Bb Trumpet 1)&P6(Bb Trumpet 2)&P4(Timpani)&P4(Contrabass),P6(Main)&P6(Oboe 1)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P3(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&U(Bb Trumpet 1)&P8(Bb Trumpet 2)&P3(Timpani)&P3(Contrabass),P3(Main)&P3(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P2(Bassoon 2)&P2(Bb (basso) Horn 1)&P2(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P2(Timpani)&P2(Contrabass),P8(Main)&P8(Oboe 1)&P6(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P4(Bassoon 2)&P4(Bb (basso) Horn 1)&P4(Bb (basso) Horn 2)&P6(Bb Trumpet 1)&P6(Bb Trumpet 2)&P4(Timpani)&P4(Contrabass),P3(Main)&P3(Oboe 1)&P4(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P2(Bassoon 2)&P2(Bb (basso) Horn 1)&P2(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P2(Timpani)&P2(Contrabass),P4(Main)&P4(Oboe 1)&P3(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&P8(Bb (basso) Horn 1)&U(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P8(Timpani)&P8(Contrabass),P4(Main)&P4(Oboe 1)&P3(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P8(Timpani)&P8(Contrabass),P4(Main)&P4(Oboe 1)&P3(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&U(Bassoon 2)&P8(Bb (basso) Horn 1)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P8(Timpani)&P8(Contrabass),P6(Main)&P6(Oboe 1)&U(Oboe 2)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P3(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P8(Bb Trumpet 2)&P3(Timpani)&P3(Contrabass),P6(Main)&P6(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P3(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P3(Timpani)&P3(Contrabass),P4(Main)&P4(Oboe 1)&P3(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P8(Contrabass),,,,,P4(Main)&P4(Oboe 1)&P3(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P8(Timpani)
146.0,155.0,Main Part,U(Main)&P6(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P4(Bb (basso) Horn 1)&P4(Bb (basso) Horn 2)&P6(Bb Trumpet 1)&P6(Bb Trumpet 2)&P4(Timpani),P6(Main)&P6(Oboe 1)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P3(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&U(Bb Trumpet 1)&P8(Bb Trumpet 2)&P3(Timpani),P3(Main)&P3(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P2(Bassoon 2)&P2(Bb (basso) Horn 1)&P2(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P2(Timpani),P8(Main)&P8(Oboe 1)&P6(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P4(Bassoon 2)&P4(Bb (basso) Horn 1)&P4(Bb (basso) Horn 2)&P6(Bb Trumpet 1)&P6(Bb Trumpet 2)&P4(Timpani),P3(Main)&P3(Oboe 1)&P4(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P2(Bassoon 2)&P2(Bb (basso) Horn 1)&P2(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P2(Timpani),P4(Main)&P4(Oboe 1)&P3(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&P8(Bb (basso) Horn 1)&U(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P8(Timpani),P4(Main)&P4(Oboe 1)&P3(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P8(Timpani),P4(Main)&P4(Oboe 1)&P3(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&U(Bassoon 2)&P8(Bb (basso) Horn 1)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P8(Timpani),P6(Main)&P6(Oboe 1)&U(Oboe 2)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P3(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P8(Bb Trumpet 2)&P3(Timpani),P6(Main)&P6(Oboe 1)&P8(Oboe 2)&P4(Bb Clarinet 1)&P6(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P3(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P3(Timpani),P4(Main)&P4(Oboe 1)&P3(Oboe 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P2(Bassoon 1)&P8(Bassoon 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2),,,,,
155.0,167.0,,Main Part,P3(Main),,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,
167.0,170.0,U(Violin 1),Main Part,,P3(Bb Clarinet 2)&P3(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani)&P8(Contrabass),P3(Bb Clarinet 1)&U(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani)&P3(Contrabass),P8(Bassoon 2)&U(Violoncello),P8(Bassoon 1)&P8(Violoncello),P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&U(Bb Trumpet 2)&P8(Timpani)&P3(Contrabass),P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani)&P3(Contrabass),P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 2)&P8(Timpani)&P3(Contrabass),P3(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Timpani)&P3(Contrabass),P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P3(Contrabass),U(Flute),,,U(Bassoon 1)&P8(Bassoon 2),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bb (basso) Horn 1)&P3(Bb (basso) Horn 2)&P3(Bb Trumpet 1)&P3(Bb Trumpet 2)&P3(Timpani)
170.0,174.0,Main Part,,,,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),,P8(Bb Trumpet 1)&P8(Bb Trumpet 2),P8(Bb (basso) Horn 2)&P8(Bb Trumpet 2),P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1),,,,P8(Main),U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
174.0,178.0,Main Part,P8(Main)&P8(Bassoon 1)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 2),P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 2),U(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 2),P8(Main)&P8(Oboe 1)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P4(Main)&P4(Oboe 1)&P4(Bassoon 1)&P4(Bb (basso) Horn 2)&P4(Bb Trumpet 1)&P4(Bb Trumpet 2)&P4(Timpani),P8(Main)&P8(Oboe 1)&P8(Bassoon 1)&P4(Bb (basso) Horn 1)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2)&P8(Timpani),P8(Main)&P8(Oboe 1)&P8(Bassoon 1)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 2)&P8(Timpani),P8(Main)&P8(Oboe 1)&P8(Bassoon 1)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Timpani),P8(Main)&P8(Oboe 1)&P8(Bassoon 1)&P4(Bb (basso) Horn 1)&P8(Bb (basso) Horn 2)&P8(Bb Trumpet 1)&P8(Bb Trumpet 2),,,,,
