qstamp_start,qstamp_end,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
261.0,268.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Main)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),U(Viola),Main Part,U(Bassoon)&U(Main)
268.0,276.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
276.0,280.0,U(Traverso 2)&U(Oboe d’amore 1)&P8(Bassoon)&U(Violin 1)&U(Soprano)&P8(Bass),U(Traverso 1)&U(Oboe d’amore 1)&P8(Bassoon)&U(Violin 1)&U(Soprano)&P8(Bass),U(Traverso 1)&U(Traverso 2)&P8(Bassoon)&U(Violin 1)&U(Soprano)&P8(Bass),U(Violin 2)&U(Main),P8(Traverso 1)&P8(Traverso 2)&P8(Oboe d’amore 1)&P8(Violin 1)&P8(Soprano)&U(Bass),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&P8(Bassoon)&U(Soprano)&P8(Bass),U(Oboe d’amore 2)&U(Main),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&P8(Bassoon)&U(Violin 1)&P8(Bass),Main Part,U(Viola),P8(Traverso 1)&P8(Traverso 2)&P8(Oboe d’amore 1)&U(Bassoon)&P8(Violin 1)&P8(Soprano),
280.0,298.0,,,,U(Violin 2)&U(Alto),,,U(Oboe d’amore 2)&U(Alto),U(Main),,U(Oboe d’amore 2)&U(Violin 2),Main Part,,
298.0,305.0,,,,U(Violin 2)&U(Main),,,U(Oboe d’amore 2)&U(Main),U(Tenor),,Main Part,U(Viola),,
305.0,309.0,,,,U(Violin 2)&U(Alto),,,U(Oboe d’amore 2)&U(Alto),U(Main),,U(Oboe d’amore 2)&U(Violin 2),Main Part,,
309.0,313.0,,,,U(Violin 2)&U(Main),,,U(Oboe d’amore 2)&U(Main),U(Tenor),,Main Part,U(Viola),,
313.0,316.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),,U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Main)&P3(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),Main Part,,P3(Viola)&P3(Main)
316.0,320.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Bass),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Viola),U(Bassoon),
320.0,337.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),U(Viola),Main Part,
337.0,341.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),U(Bass)&P8(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Main),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),Main Part,U(Viola),U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
341.0,345.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Bass)&P8(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Viola),U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
345.0,349.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Main)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),U(Viola),Main Part,U(Bassoon)&U(Main)
349.0,360.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),Main Part,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
360.0,369.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),U(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Main),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),Main Part,U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
369.0,379.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Viola),,U(Bassoon)
379.0,391.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),Main Part,,U(Bassoon)
391.0,401.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),,U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Main),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),Main Part,U(Viola),,
401.0,405.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Bass),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Viola),U(Bassoon),
405.0,409.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Main),,U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Main),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),Main Part,U(Viola),,
409.0,413.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),Main Part,U(Bassoon),
413.0,417.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Main)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),U(Viola),Main Part,U(Bassoon)&U(Main)
417.0,426.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Viola),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
426.0,432.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Tenor),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),U(Viola),Main Part,
432.0,453.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2),U(Bass),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2),U(Tenor),Main Part,,U(Viola),U(Bassoon),
453.0,457.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Soprano),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Soprano),U(Violin 2)&U(Alto),U(Bass)&U(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Soprano),U(Oboe d’amore 2)&U(Alto),U(Main),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1),U(Oboe d’amore 2)&U(Violin 2),Main Part,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
457.0,468.0,U(Traverso 2)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Oboe d’amore 1)&U(Violin 1)&U(Main),U(Traverso 1)&U(Traverso 2)&U(Violin 1)&U(Main),U(Violin 2)&U(Alto),U(Bass)&P8(Continuo),U(Traverso 1)&U(Traverso 2)&U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Alto),U(Tenor),Main Part,U(Oboe d’amore 2)&U(Violin 2),U(Viola),U(Bassoon)&P8(Continuo),P8(Bassoon)&P8(Bass)
