qstamp_start,qstamp_end,Flute,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Trumpet 1,Eb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
60.0,62.125,P8(Violin 1),P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Eb Horn 1)&P3(Eb Horn 2),P3(Oboe 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P5(Eb Horn 1)&P5(Eb Horn 2),P3(Oboe 1)&P3(Bb Clarinet 2)&P3(Bassoon 1),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(Bassoon 1)&P3(Bassoon 2)&P3(Eb Horn 1)&P3(Eb Horn 2),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 2)&P3(Eb Horn 1)&P3(Eb Horn 2),P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Eb Horn 1)&P5(Eb Horn 2),P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Eb Horn 2),P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Eb Horn 1),Main Part,U(Main)&P8(Timpani)&P3(Contrabass),P8(Main)&P8(Eb Trumpet 2)&P3(Contrabass),P8(Flute),U(Viola)&P8(Violoncello),U(Violin 2)&P8(Violoncello),P8(Violin 2)&P8(Viola),P3(Main)&P3(Eb Trumpet 2)&P3(Timpani)
62.125,66.0,Main Part,,,P3(Bb Clarinet 2)&U(Eb Horn 1)&P8(Eb Horn 2),P3(Bb Clarinet 1)&P3(Eb Horn 1)&P3(Eb Horn 2),,,U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Eb Horn 2),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Eb Horn 1),U(Eb Trumpet 2)&P8(Timpani),U(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),,,,,
66.0,69.0,Main Part,P8(Main),,,,,,,,,,,,,,,
69.0,75.0,P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute)&P8(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),,,,,,Main Part,P8(Violoncello)&P8(Contrabass),,P8(Violin 2)&P8(Contrabass),P8(Violin 2)&P8(Violoncello)
75.0,100.5,P8(Oboe 1),P8(Flute),,Main Part,,,,,,,,,,,,,
100.5,106.5,P8(Oboe 1)&P6(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2),P8(Flute)&P6(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2),P6(Flute)&P6(Oboe 1)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P4(Eb Horn 1)&P4(Eb Horn 2),P8(Flute)&P8(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2),P6(Flute)&P6(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1)&P4(Eb Horn 1)&P4(Eb Horn 2),Main Part,,P3(Flute)&P3(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&U(Eb Horn 2),P3(Flute)&P3(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&U(Eb Horn 1),,,,,,,,
106.5,117.0,Main Part,P8(Main)&P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(Main)&P8(Oboe 1),P8(Oboe 2),,,P8(Eb Horn 2),P8(Eb Horn 1),P8(Eb Trumpet 2)&P8(Timpani),P8(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
117.0,120.375,P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute)&U(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1),Main Part,P8(Main)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&U(Timpani),P8(Main)&P8(Eb Horn 2)&P8(Eb Trumpet 2)&P8(Timpani),U(Main)&P8(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Timpani),P8(Main)&U(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Viola)&P8(Violoncello)&P8(Contrabass),,P8(Violin 1)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)
120.375,123.0,U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Timpani)&P8(Contrabass),U(Flute)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Timpani)&P8(Contrabass),U(Flute)&U(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Timpani)&P8(Contrabass),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 1)&P8(Eb Horn 2)&U(Eb Trumpet 1)&U(Eb Trumpet 2)&P8(Timpani)&P8(Contrabass),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 1)&P8(Eb Horn 2)&U(Eb Trumpet 1)&U(Eb Trumpet 2)&P8(Timpani)&P8(Contrabass),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(Eb Horn 1)&U(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&U(Timpani)&P8(Contrabass),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Eb Horn 1)&U(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&U(Timpani)&P8(Contrabass),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 2)&U(Eb Trumpet 1)&U(Eb Trumpet 2)&P8(Timpani)&P8(Contrabass),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&U(Timpani)&P8(Contrabass),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 1)&P8(Eb Horn 2)&U(Eb Trumpet 2)&P8(Timpani)&P8(Contrabass),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 1)&P8(Eb Horn 2)&U(Eb Trumpet 1)&P8(Timpani)&P8(Contrabass),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P8(Eb Horn 1)&U(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Contrabass),P8(Violoncello),Main Part,,P8(Violin 1),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Timpani)
123.0,144.0,,,,P8(Bassoon 1),P8(Bassoon 2),P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(Eb Horn 2)&P8(Eb Trumpet 1)&U(Eb Trumpet 2)&P8(Timpani)&P8(Contrabass),P8(Eb Horn 1)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&U(Timpani)&P8(Contrabass),P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Trumpet 2)&P8(Timpani)&P8(Contrabass),U(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Timpani)&P8(Contrabass),P8(Eb Horn 1)&U(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Contrabass),Main Part,,,,P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Timpani)
144.0,147.0,,U(Oboe 2),U(Oboe 1),P8(Bassoon 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bb Clarinet 1),P8(Bb Clarinet 2)&U(Violoncello)&P8(Contrabass),P8(Eb Horn 2)&P8(Main)&U(Eb Trumpet 2)&P8(Timpani)&U(Violin 2),P8(Eb Horn 1)&P8(Main)&P8(Eb Trumpet 2)&U(Timpani)&P8(Violin 2),Main Part,U(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P8(Timpani)&U(Violin 2),P8(Eb Horn 1)&U(Eb Horn 2)&P8(Main)&P8(Eb Trumpet 2)&P8(Violin 2),,U(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&U(Eb Trumpet 2)&P8(Timpani),,P8(Bb Clarinet 2)&U(Bassoon 2)&P8(Contrabass),P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Violoncello)
147.0,151.0,Main Part,P8(Main)&P8(Oboe 2),P8(Main)&P8(Oboe 1),,,P8(Viola),P8(Violoncello)&P8(Contrabass),P8(Eb Horn 2),P8(Eb Horn 1),P8(Eb Trumpet 2)&P8(Timpani),P8(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),P8(Violin 2),P8(Violin 1),P8(Bassoon 1),P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
151.0,159.5,U(Oboe 1),U(Flute),,Main Part,,P8(Viola),P8(Contrabass),P8(Eb Horn 2),P8(Eb Horn 1),P8(Eb Trumpet 2)&P8(Timpani),P8(Eb Trumpet 1)&P8(Timpani),P8(Eb Trumpet 1)&P8(Eb Trumpet 2),,,P8(Bassoon 1),,P8(Bassoon 2)
159.5,177.375,,,,,,,,,,,,,Main Part,,,,
177.375,180.0,,,,,,Main Part,,,,,,,,,U(Violoncello),U(Viola),
180.0,186.0,,,,Main Part,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
186.0,189.0,,,,Main Part,,,,P8(Eb Horn 2)&P8(Timpani),P8(Eb Horn 1)&P8(Timpani),,,P8(Eb Horn 1)&P8(Eb Horn 2),,P8(Main),,P8(Contrabass),P8(Violoncello)
189.0,191.125,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,Main Part,P8(Main),,,,P5(Violin 2),P5(Violin 1),,,
191.125,198.5,Main Part,U(Oboe 2),U(Oboe 1),,,,,,,,,,,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
198.5,202.1667,,,Main Part,,,,P8(Eb Horn 1)&U(Eb Horn 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Eb Horn 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Eb Horn 1)&U(Violoncello)&P8(Contrabass),,,,,,,U(Bassoon 2)&P8(Eb Horn 1)&U(Eb Horn 2)&P8(Contrabass),P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Violoncello)
202.1667,213.0,Main Part,,,P8(Main)&P8(Bassoon 1),,P8(Main)&P8(Bb Clarinet 1),,,,,,,,,,P8(Contrabass),P8(Violoncello)
213.0,215.125,P8(Bb Clarinet 1)&P8(Bassoon 1)&P5(Bassoon 2),Main Part,P3(Main)&P8(Eb Horn 2),P8(Flute)&P8(Bassoon 1)&P5(Bassoon 2),,P8(Flute)&P8(Bb Clarinet 1)&P5(Bassoon 2),P5(Flute)&P5(Bb Clarinet 1)&P5(Bassoon 1),,P3(Main)&P8(Oboe 2),P3(Eb Trumpet 2)&P3(Timpani)&P3(Contrabass),P3(Eb Trumpet 1)&P8(Timpani)&P8(Contrabass),P3(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Contrabass),,P8(Violoncello),,P8(Violin 2),P3(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Timpani)
215.125,219.5,,,,,,P3(Bassoon 2),P3(Bassoon 1),,,P3(Eb Trumpet 2)&P3(Timpani),P3(Eb Trumpet 1)&P8(Timpani),P3(Eb Trumpet 1)&P8(Eb Trumpet 2),Main Part,,,,
219.5,221.125,,Main Part,P3(Main)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P3(Eb Horn 1)&P8(Eb Horn 2),P3(Main)&P5(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Eb Horn 1)&P5(Eb Horn 2),P8(Main)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 1)&P3(Eb Horn 2),P3(Main)&P5(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Eb Horn 1)&P5(Eb Horn 2),P8(Main)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Eb Horn 1)&P3(Eb Horn 2),P8(Main)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Eb Horn 2),P3(Main)&P8(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P3(Eb Horn 1),P3(Eb Trumpet 2)&P3(Timpani)&P3(Contrabass),P3(Eb Trumpet 1)&P8(Timpani)&P8(Contrabass),P3(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Contrabass),,U(Viola)&P8(Violoncello),U(Violin 2)&P8(Violoncello),P8(Violin 2)&P8(Viola),P3(Eb Trumpet 1)&P8(Eb Trumpet 2)&P8(Timpani)
221.125,225.5,,,,P8(Bassoon 1),P8(Bassoon 2),P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,P3(Eb Trumpet 2)&P3(Timpani),P3(Eb Trumpet 1)&P8(Timpani),P3(Eb Trumpet 1)&P8(Eb Trumpet 2),Main Part,,,,
225.5,231.0,,Main Part,P8(Bb Clarinet 2),P8(Main),P8(Oboe 2),,,P8(Eb Horn 2),P8(Eb Horn 1),,,,,,,,
231.0,240.0,,Main Part,,,,,,P8(Eb Horn 2),P8(Eb Horn 1),,,,,,,P8(Contrabass),P8(Violoncello)
240.0,264.0,,,,Main Part,,,,,,,,,,,,,
264.0,265.5,P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Violin 1)&P3(Violin 2)&P8(Viola),P8(Flute)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Violin 1)&P3(Violin 2)&P8(Viola),P8(Flute)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Violin 1)&P3(Violin 2)&P8(Viola),P8(Flute)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&U(Violin 1)&P3(Violin 2)&P8(Viola),P8(Flute)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Violin 1)&P3(Violin 2)&P8(Viola),,,,,,,,P8(Flute)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Violin 2)&P8(Viola),P3(Flute)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Violin 1)&P3(Viola),P8(Flute)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Violin 1)&P3(Violin 2),Main Part,
265.5,271.5,P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P3(Flute)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P8(Flute)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1),Main Part,,,,,,,,,
271.5,277.0,,Main Part,P8(Bb Clarinet 2),P8(Main),P8(Oboe 2),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
277.0,278.0,P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Violin 1)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Violin 1)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Violin 1)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(Violin 1)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Violin 1)&P8(Violoncello)&P8(Contrabass),P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P8(Violin 1)&P3(Violoncello)&P3(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(Violin 1)&U(Violoncello)&P8(Contrabass),,,,,,P3(Flute)&P8(Oboe 1)&P3(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),Main Part,,P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&U(Bassoon 2)&P3(Violin 1)&P8(Contrabass),P8(Flute)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Violin 1)&P8(Violoncello)
